phone_number,grade9swdfilledflag12,grade9gefilledflag5,appperseat5specialized,interest12,academicopportunities2,method5,boys,seats9swd3,requirement_3_1,international,grade9geapplicants9,admissionspriority212,seats105,eligibility6,admissionspriority19,program5,admissionspriority24,offer_rate3_5,admissionspriority27,requirement_3_8,seats9swd7,psal_sports_girls,requirement_3_2,common_audition3,common_audition5,grade9geapplicants8,grade9gefilledflag8,ell_programs,offer_rate1_4,requirement_4_2,grade9swdapplicantsperseat2,pct_stu_safe,requirement_4_1,admissionspriority110,interest1,requirement_3_5,grade9geapplicantsperseat8,admissionspriority26,bus,appperseat6specialized,prgdesc11,grade9gefilledflag6,offer_rate3_2,diadetails,prgdesc2,fax_number,admissionspriority17,common_audition8,appperseat4specialized,grade9swdfilledflag4,code5,grade9geapplicants6,offer_rate3_4,method6,seats9swd12,requirement_3_9,grade9swdapplicants1,program1,grade9geapplicants3
718-824-0978,,,,,"Arts: Advanced Placement Art, Drawing, Painting, Printmaking, Sculpture, Illustration, Mixed-Media, Graphic and Digital Design, Animation, Photography, Documentary Film",,,,,,,,,,,,,,,,,"Badminton, Basketball, Indoor Track, Soccer, Softball, Tennis, Volleyball",,,,,,,,,,0.85000002,,,Visual Art & Design,,,,"Bx22, Bx27, Bx36, Bx39, Bx5, BxM8",,,,,,,718-824-0963,,,,,,,,,,,214,Millennium Art Academy,
718-410-3430,,,,,"Graphic Arts, Visual Arts, Drama",,,,,,,,,,,,,,,,,"Basketball, Cross Country, Outdoor Track, Softball, Volleyball",,,,,,,,,,0.81,,,Law & Government,,,,"Bx1, Bx13, Bx2, Bx32, Bx35, Bx41, Bx41-SBS, Bx6, Bx6-SBS, BxM4",,,,,,,718-410-3950,,,,,,,,,,,364,"Bronx School for Law, Government and Justice",
718-733-5274,,,,,"Internships: Capital One Bank, The Opportunity Network, Liberty Partnership Program, Yleana Leadership Academy",,,,,,,,,,,,,,,,,"Basketball, Cross Country, Indoor Track, Outdoor Track, Softball, Volleyball",,,,,,,,,,0.92000002,,,Law & Government,,,,"Bx1, Bx12, Bx12-SBS, Bx15, Bx17, Bx19, Bx2, Bx22, Bx28, Bx34, Bx38, Bx41, Bx41-SBS, Bx9, BxM4",,,,,,,718-295-3631,,,,,,,,,,,398,Law Enforcement Academy,
212-517-5175,,,,,Extensive College Preparation: SAT and ACT Prep; CUNY College Now; Advanced Placement; Yearly College Trips; 1-on-1 College Counseling,,,,,,,,,,,,,,,,,"Basketball, Soccer, Volleyball",,,,,,,,,,0.91000003,,,Humanities & Interdisciplinary,,,,"BxM1, BxM10, BxM11, BxM3, BxM4, BxM6, BxM7, BxM8, BxM9, M1, M101, M102, M103, M15, M15-SBS, M2, M3, M31, M4, M57, M66, M72, M98, Q101, Q32, Q60, QM2, QM20, QM3",,,,,,,212-517-5334,,,,,,,,,,,275,College Preparatory,
718-721-5404,,N,,,"Information Technology, Computer Programming, Robotics, Accounting, Entrepreneurship",Screened,,8,2019-20 Marking Period Grades - 35%,,,,1.0,,,Math and Science Academy,,,,,,"Basketball, Bowling, Cross Country, Flag Football, Handball, Indoor Track, Outdoor Track, Soccer, Softball, Tennis, Volleyball, Wrestling",,,,,,Transitional Bilingual Education: Spanish,,,15,0.76999998,,,Law & Government,2019-20 Marking Period Grades - 35%,,Then to New York City residents,"Q101, Q104, Q18, Q66",,,N/A - zoned program,,,Students will graduate with the life skills necessary to succeed in both academic and social settings. They will apply their business and technology experiences in the ever-changing 21st century.,718-728-3478,,,,Y,Q15J,N/A - zoned program,,Zoned Guarantee,,,56,Forensic Science and Law Academy,260
718-696-3700,,,,,Advisory! Our advisory classes meet four times a week and stay together for four years with the same teacher.  You will join a small family group that will help you navigate high school and beyond!,,,,,,,,,,,,,,,,,"Basketball, Cross Country, Indoor Track, Outdoor Track, Softball, Swimming, Volleyball",,,,,,,,,5,0.81999999,,,,,,,"Bx28, Bx30, Bx38, Bx39, Bx41, Bx41-SBS, Bx8, BxM11",,,,,,"We are an inquiry-based, academically-focused member of the New York Performance Standards Consortium where students complete portfolios in core subjects in PBATs that replace most Regents. We offer a four-year advisory program, a senior internship program, CUNY College Now classes, service learning projects, college trips and many after school opportunities. We have partnerships with ISA, Here2Here, Big Picture Learning & The Mountain School.",718-696-3730,,,,,,,,,,,,Bronx Lab School D75 Inclusion Program,
718-688-7930,,,,,New York State EMS Certification Exam,,,,,,,,,,,,,,,,,"Basketball, Flag Football, Indoor Track, Outdoor Track, Volleyball",,,,,,,,,,0.81999999,,,Health Professions,,,,"B14, B15, B20, B83",,,,,,,718-922-0593,,,,,,,,,,,136,FDNY-Captain Vernon A. Richard High School for Fire and Life Safety,
718-392-3433,,,,,English instruction in all content classes with native language support; students grouped in small interdisciplinary learning communities,,,,,1.0,,,,,,,,,,,,"Basketball, Golf, Soccer, Softball, Tennis, Volleyball",,,,,,,,,,0.99000001,,,Project-Based Learning,,,,"B24, B62, Q100, Q101, Q102, Q32, Q39, Q60, Q67",,,,,,,718-392-3443,,,,,,,,,,,95,International High School at LaGuardia Community College,
718-230-6363,,,,,"After-school tutoring, Saturday Regents Prep, and credit recovery opportunities offer additional academic support.",,,,,,,,,,,,,,,,,"Badminton, Basketball, Soccer, Softball, Volleyball",,,,,,,,,,0.88,,,Science & Math,,,,"B41, B43, B44-SBS, B45, B48, B49",,,,,,,718-230-6370,,,,,,,,,,,64,Science Exploration Program,
718-276-0150,,,,,Advanced Placement Courses: English Literature & Composition and US History,,,,,,,,,,,,,,,,,"Badminton, Basketball, Bowling, Cross Country, Gymnastics, Indoor Track, Outdoor Track, Soccer, Softball, Tennis, Volleyball",,,,,,,,,,0.85000002,,,Computer Science & Technology,,,,"Q27, Q4, Q77, Q83, X64",,,,,,,718-276-4725,,,,,,,,,,,105,Benjamin Franklin High School for Finance & Information Technology,
718-564-2551,,,,,Pre Law Academy,,,,,,,,,,,,,,,,,"Basketball, Flag Football, Indoor Track, Outdoor Track, Softball, Swimming, Table Tennis, Tennis, Volleyball",,,,,,,,,,0.64999998,,,Humanities & Interdisciplinary,,,,"B103, B12, B16, B35, B41, B44, B44-SBS, B49, BM1, BM2, BM3, BM4",,,,,,,718-564-2552,,,,,,,,,,,76,High School for Service & Learning,
718-868-2978,,,,,"Advanced Placement Courses (AP4All)-AP Computer Science Principles, AP US History, AP Psychology",,,,,,,,,,,,,,,,,"Basketball, Flag Football, Soccer, Softball, Swimming, Tennis, Volleyball",,,,,,Transitional Bilingual Education: Spanish,,,7,0.91000003,,,Computer Science & Technology,,,,"Q22, QM17",,,,,,"Program emphasis is on math and science, using computer applications associated with inspection, repair, assembly, and troubleshooting. Student will receive training in IC3, Adobe, C++, and various multi-media programs.",718-868-1653,,,,,,,,,,,80,Computer Science Program,
718-290-8700,,,,,"Health Careers Explorations, College Planning and Access",,,,,,,,,,,,,,,,,"Basketball, Indoor Track, Outdoor Track, Soccer, Softball, Volleyball, Wrestling",,,,,,,,,,0.86000001,,,Health Professions,,,,"B103, B17, B42, B6, B60, B82, BM2",,,,,,,718-290-8705,,,,,,,,,,,163,High School for Medical Professions,
718-297-6580,,Y,,,"CUNY College Now courses, Kaplan PSAT and SAT Prep, Science Research",Screened,,8,2019-20 Marking Period Grades - 30%,,,,1.0,,,Automotive Technologies,,,,2019-20 Marking Period Grades - 30%,,"Basketball, Bowling, Cross Country, Indoor Track, Outdoor Track, Soccer, Softball, Volleyball",2019-20 Marking Period Grades - 30%,,,1541,Y,,,,13,0.87,,,Visual Art & Design,2019-20 Marking Period Grades - 30%,59,,"Q1, Q2, Q25, Q3, Q30, Q31, Q34, Q36, Q43, Q46, Q65, Q76, Q77, QM1, QM31, QM35, QM36, QM5, QM6, QM7, QM8, X68",,,Y,,,"Preparation for careers in one of these information technology areas: Apple Service Technician, Internetworking, IT Specialist, and Cyber Security. With a major focus on hands on instruction, these programs prepare students for relevant college majors with exposure to careers in all areas of IT, industry certification (A+, Apple Certified Technician, Network+, Security+), dual enrollment, and articulated college courses. Visit www.EdisonCTE.org for more information about our IT programs.",718-658-0365,,,,Y,Q67P,1320,,Screened,,,176,Visual Arts,921
718-332-6290,,,,,LTW offers career exploration through paid internships that prepare students for rewarding educational and employment experiences after graduation.,,,,,,,,,,,,,,,,,"Basketball, Bowling, Cross Country, Flag Football, Gymnastics, Indoor Track, Outdoor Track, Softball, Volleyball",,,,,,,,,,0.99000001,,,Humanities & Interdisciplinary,,,,"B31, B36, B4, B44, B44-SBS, BM3, BM4",,,,,,,718-332-6296,,,,,,,,,,,4,Professional Pathways High School,
718-410-4077,,,,,"Elective Courses: American Sign Language, History Through Film, Media Studies, Public Speaking and Debate, SAT Prep, Art Technology, Business Math, Accounting",,,,,,,,,,,,,,,,,"Basketball, Cross Country, Flag Football, Indoor Track, Outdoor Track, Softball, Volleyball, Wrestling",,,,,,,,,,0.89999998,,,Humanities & Interdisciplinary,,,,"Bx1, Bx11, Bx15, Bx18, Bx2, Bx32, Bx35, Bx41, Bx41-SBS, BxM4",,,,,,,718-340-3659,,,,,,,,,,,283,Bronx Collegiate Academy,
718-575-5580,,,,,"We offer Concert Band, Chamber Music, Jazz Ensemble, & Music Theory. Advanced electives include Social Science and Science Research.",,,,2019-20 Marking Period Grades - 10%,,,,,,,,,,,,,"Badminton, Basketball, Bowling, Cross Country, Fencing, Flag Football, Handball, Indoor Track, Outdoor Track, Soccer, Softball, Swimming, Table Tennis, Tennis, Volleyball, Wrestling",,,,,,,,,,0.97000003,,,Humanities & Interdisciplinary,,,,"Q17, Q20A, Q20B, Q25, Q34, Q44-SBS, Q64, Q88, QM4, QM44",,,,,Priority to applicants eligible for free or reduced price lunch for 50% of seats,,718-575-1366,,,,,,,,,,,306,Intensive Academic Humanities,
718-595-8600,,,,,Students complete Performance-based Assessment Tasks (PBATs) as a replacement for some Regents Exams.,,,,,1.0,,,,,,,,,,,,"Basketball, Cross Country, Handball, Indoor Track, Outdoor Track, Soccer, Softball, Tennis, Volleyball",,,,,,,,,,0.89999998,,,Health Professions,,,,"Q11, Q21, Q29, Q38, Q52-SBS, Q53-SBS, Q58, Q59, Q60, Q72, Q88, QM10, QM11, QM40",,,,,,,718-595-8605,,,,,,,,,,,56,International High School for Health Sciences,
718-731-0219,,,,,Academic Intervention Services,,,7,,1.0,,,,,,,,,,,,"Softball, Volleyball",,,,,,Transitional Bilingual Education: Spanish,,,13,0.98000002,,,Visual Art & Design,,,,"Bx1, Bx18, Bx2, Bx3, Bx32, Bx36, Bx40, Bx42, BxM4",,,,,,"Four year program provides students with computer literacy, maintenance and repair skills, knowledge of programming languages and the ability to solve technical problems.",718-731-2031,,,,,,,,,,,38,Media Communications,425
212-675-6206,,,,,"Students can participate in the sailing program with Hudson River Community Sailing and earn credits in physical education, math, and/or science.",,,,,,,,,,,,,,,,,"Basketball, Cross Country, Flag Football, Golf, Soccer, Softball, Tennis, Volleyball",,,,,,,,,,0.88,,,Humanities & Interdisciplinary; Science & Math,,,,"M11, M12, M14A, M14D, M20, M23-SBS, M55, M7, X1, X10, X10B, X12, X17, X27, X28",,,,,Priority to applicants eligible for free or reduced price lunch for 50% of seats,,212-675-6524,,,,,,,,,,,377,NYC Museum School,
212-647-1983,,,,,SAT Preparatory courses and Saturday programs.,,,,,,,,,,,,,,,,,"Basketball, Bowling, Softball, Tennis, Volleyball",,,,,,,,,,0.85000002,,,Business,,,,"M11, M12, M14A, M14D, M20, M23-SBS, M55, M7, X1, X10, X10B, X12, X17",,,,,,,212-647-1989,,,,,,,,,,,219,Manhattan Business Academy,
718-860-8240,,,,,"Double literacy and mathematics for grades 9-10, AP Literature, AP Language, AP Spanish Language, AP Calculus, AP History, PGC, Advisories, STEM Electives, Digital Art",,,,,,,,,,,,,,,,,"Badminton, Basketball, Flag Football, Outdoor Track, Soccer, Softball, Volleyball",,,,,,,,,,0.81999999,,,Humanities & Interdisciplinary,,,,"Bx11, Bx27, Bx36, Bx4, Bx4A, BxM6, Q44-SBS",,,,,,,718-860-8232,,,,,,,,,,,77,The Metropolitan Soundview High School,
212-737-1530,,Y,,,"College and Career Ready Courses: Advanced Placement (AP), College Now (with Hunter College), Math, Science, Computer Science, Theatrical Design",Audition,,6,,,,,0.0,,,Instrumental Music,,,,,,"Basketball, Soccer, Volleyball",,1.0,1.0,,,,,,7,0.92000002,,,Performing Arts,,,,"BxM1, BxM10, BxM11, BxM3, BxM4, BxM6, BxM7, BxM8, BxM9, M1, M101, M102, M103, M15, M15-SBS, M2, M3, M31, M4, M57, M66, M72, M98, Q101, Q32, Q60, QM2, QM20, QM3",,,,,,"A four-year rigorous curriculum prepares students for college and career. Students take daily solo voice and ensemble classes, studying repertoire in English, Italian, French, and German. Students perform on the main stage all four years, including a fully staged opera in 12th grade. Students study piano, musicianship/theory, and phonetics. Students may complete internships with cultural organizations, perform in events including NYSSMA adjudication, and graduate with an arts-endorsed diploma.",212-737-2863,,,,Y,M42P,,,,,,41,Musical Theater,344
718-279-6500,,Y,,,"Science, Chemistry, Biology and Physics Olympiad, Project Lead the Way: ENGINEERING & Bio-Medical, Math Team for NY State Math League, My Brother's Keeper, My Sister's Keeper, AP for all, College Access for all",Screened,,18,,,,,0.0,,,DaVinci Science/Engineering,,,Then to Queens students or residents,,N/A - zoned program,"Basketball, Cross Country, Fencing, Golf, Gymnastics, Handball, Indoor Track, Lacrosse, Outdoor Track, Soccer, Softball, Swimming, Table Tennis, Tennis, Volleyball, Wrestling",,,,,,,,,11,0.55000001,,,Law & Government,2019-20 Marking Period Grades - 40%,,,"Q27, Q30, QM35, QM5, QM8",,,,,,"This program is designed for students who have an interest in pursuing a career in media, broadcasting, and journalism.",718-631-7880,Guaranteed offer to students who live in the zoned area,,,Y,Q16L,,,D75 Special Education Inclusive Services,,,274,"Political Science, Law and Ethics",1807
718-688-7900,,,,,CUNY College Now Courses are offered for qualified students.,,,4,,,,,,,,,,,,,,"Basketball, Flag Football, Indoor Track, Outdoor Track, Volleyball",,,,,,Transitional Bilingual Education: Spanish,,,16,0.83999997,,,Performing Arts,,,,"B14, B15, B20, B83",,,,,,"A four-year intensive program which will develop students' technique, creativity, and expression while learning music theory, notation, and performance. Students will select a major in either vocal or instrumental music. Students can participate in chorus.",718-922-0953,,,,Y,,,,,,,74,Dance,360
