system,starea,department,volleyball,handball,primary_sport,zipcode,t_ball,nonregulation_soccer,pickleball,dimensions,maintenanceagreement,regulation_soccer,communityboard,track_and_field,surface_type
M241-HANDBALL-2,1663.286605834961,M-03,False,True,HDB,10002,False,False,,Handball,False,False,103,False,Asphalt
M056-03-BASKETBALL-1,2489.682388305664,M-09,False,False,BKB,10026,False,False,,Full Court,False,False,109,False,Asphalt
X177-TENNIS-3,2806.7119140625,X-09,False,False,TNS,10462,False,False,,Tennis,False,False,209,False,
B128-HANDBALL-1,1017.9892425537108,B-12,False,True,HDB,11230,False,False,,Handball,False,False,312,False,Asphalt
Q162J-HANDBALL-1,1435.139389038086,Q-14,False,True,HDB,11691,False,False,,Handball,False,False,414,False,Asphalt
M079-BASKETBALL-2,922.7543334960938,M-08,False,False,BKB,10065,False,False,,Half Court,False,False,108,False,Asphalt
X030-ZN02-BASEBALL-2,83407.87118530273,X-04,False,False,BSB,10451,False,False,,"90ft base path, 200+ft fence",False,False,204,False,Natural
B220-HANDBALL-2,913.742645263672,B-02,False,True,HDB,11205,False,False,,Handball,False,False,302,False,Asphalt
Q021-ZN03-BASEBALL-11,41728.21282958984,Q-08,False,False,SFB,11364,True,False,,"60ft base path, 150-200ft fence",False,False,408,False,Natural
M037-04-BASKETBALL-1,1824.180145263672,M-12A,False,False,BKB,10040,False,False,,Half Court,False,False,112,False,Asphalt
M071-ZN23-TENNIS-8,2795.4405364990234,M-14,False,False,TNS,10024,False,False,,Tennis,False,False,107,False,Clay
Q107-01-TENNIS-2,2685.260711669922,Q-13,False,False,TNS,11413,False,False,,Tennis,False,False,413,False,Asphalt
B334-BASKETBALL-1,3487.311721801758,B-04,False,False,BKB,11221,False,False,,Full Court,False,False,304,False,Asphalt
Q001-01-HANDBALL-2,1202.4572143554688,Q-11,False,True,HDB,11364,False,False,,Handball,False,False,411,False,Asphalt
B224-HANDBALL-4,1038.1680908203125,B-03,False,True,HDB,11221,False,False,,Handball,False,False,303,False,Asphalt
Q390-TENNIS-1,2881.2511138916016,Q-07,False,False,TNS,11357,False,False,,Tennis,False,False,407,False,Asphalt
M071-ZN17-TENNIS-5,2807.175537109375,M-14,False,False,TNS,10024,False,False,,Tennis,False,False,109,False,Asphalt
B369-SOCCER-2,18386.023056030277,B-13,False,False,SCR,11224,False,False,,,False,False,313,False,
Q102-ZN01-TENNIS-1,858.126953125,Q-05,False,False,TNS,11379,False,False,False,Unknown,False,False,405,False,
X092-ZN06-SOCCER-7,34959.56181335449,X-13,False,False,SCR,10471,False,False,False,147-295ft W x 295-393ft L,False,False,226,False,Natural
B252-SOCCER-1,9364.853378295898,B-13,False,False,SCR,11223,False,True,,45-146ft W x 75-294ft L,False,False,313,False,Synthetic
M196-BASKETBALL-2,2955.253448486328,M-03,False,False,BKB,10038,False,False,,Full Court,False,False,103,False,Asphalt
Q020-ZN04-BASKETBALL-4,4016.615737915039,Q-05,False,False,BKB,11207,False,False,,Full Court,False,False,305,False,Asphalt
Q460-HANDBALL-3,1238.531021118164,Q-14,False,True,HDB,11693,False,False,,Handball,False,False,414,False,Asphalt
X210-TENNIS-1,2849.3856048583984,X-01,False,False,TNS,10451,False,False,,Tennis,True,False,201,False,Asphalt
R046-ZN01-BOCCE-2,1028.5413208007812,R-02,False,False,BOC,10305,False,False,,Bocce,False,False,595,False,Clay
B419-BASEBALL-1,30666.36363220215,B-05,False,False,SFB,11207,False,False,,"60ft base path, 150-200ft fence",False,False,305,False,Natural
B008-HANDBALL-5,1193.8585662841797,B-16,False,True,HDB,11212,False,False,,Handball,False,False,316,False,Asphalt
Q092-HANDBALL-1,1118.0235443115234,Q-10,False,True,HDB,11420,False,False,,Handball,False,False,410,False,Asphalt
X010-ZN03-TENNIS-6,2886.88427734375,X-03,False,False,TNS,10457,False,False,,Tennis,False,False,203,False,Asphalt
X121-HANDBALL-5,1399.3214569091797,X-10,False,True,HDB,10461,False,False,,Handball,False,False,210,False,Asphalt
Q360J-HANDBALL-4,1093.234634399414,Q-04,False,True,HDB,11373,False,False,,Handball,False,False,404,False,Asphalt
Q349-BASKETBALL-4,3510.078079223633,Q-11,False,False,BKB,11364,False,False,,Half Court,False,False,411,False,Asphalt
Q163-ZN06B-HANDBALL-2,1843.189468383789,Q-14,False,True,HDB,11693,False,False,,Handball,False,False,414,False,Asphalt
B057-ZN04-BASEBALL-8,45368.01953125,B-18,False,False,SFB,11229,True,False,,"60ft base path, 150-200ft fence",False,False,318,False,Natural
X092-ZN10-FOOTBALL-1,72068.93385314941,X-13,False,False,FTB,10470,False,False,,147-295ft W x 295-393ft L,True,False,226,False,Natural
Q389-BASKETBALL-10,1196.9493560791016,Q-14,False,False,BKB,11694,False,False,,Half Court,False,False,414,False,Asphalt
Q099-ZN04-TENNIS-12,2826.3148345947266,Q-15,False,False,TNS,11368,False,False,,Tennis,False,False,481,False,Asphalt
M033-HANDBALL-2,1108.1277465820312,M-03,False,True,HDB,10002,False,False,,Handball,False,False,103,False,Asphalt
M164-BASKETBALL-1,3502.7301025390625,M-06,False,False,BKB,10010,False,False,,Full Court,False,False,106,False,Asphalt
Q293-HANDBALL-4,1159.6434173583984,Q-11,False,True,HDB,11364,False,False,,Handball,False,False,411,False,Asphalt
B357-HANDBALL-4,1283.1312866210938,B-09,False,True,HDB,11225,False,False,,Handball,False,False,309,False,Asphalt
B152-HANDBALL-1,1483.4491271972656,B-12,False,True,HDB,11219,False,False,,Handball,False,False,312,False,Asphalt
B057-04-HANDBALL-1,1131.0169525146484,B-18,False,True,HDB,11234,False,False,,Handball,False,False,318,False,Asphalt
Q308-BASKETBALL-6,2864.053359985352,Q-07,False,False,BKB,11355,False,False,,Full Court,False,False,407,False,Asphalt
Q329-HANDBALL-2,1594.2771453857422,Q-08,False,True,HDB,11367,False,False,,Handball,False,False,408,False,Asphalt
X208-BASKETBALL-3,1878.135498046875,X-09,False,False,BKB,10472,False,False,,Half Court,False,False,209,False,Asphalt
M244-BASEBALL-1,3734.9449920654297,M-07,False,False,SFB,10025,True,False,,"45-60ft base path, less than 150ft fence",False,False,107,False,Asphalt
B008-BASEBALL-2,28994.10804748535,B-16,False,False,SFB,11212,False,False,,"60ft base path, 150-200ft fence",False,False,316,False,Natural
B073-ZN28-SOCCER-2,3092.168365478516,B-14,False,False,SCR,11226,False,False,,45-146ft W x 75-294ft L,False,False,314,False,Synthetic
Q377-TENNIS-3,3855.592071533203,Q-06,False,False,TNS,11375,False,False,,,False,False,406,False,
M015-SOCCER-1,14770.457290649414,M-03,False,False,SCR,10013,False,True,,45-146ft W x 75-294ft L,False,True,103,False,Synthetic
Q300A-01-BASKETBALL-1,4258.684875488281,Q-11,False,False,BKB,11365,False,False,,Full Court,False,False,411,False,Asphalt
B166D-SOCCER-1,9358.51838684082,B-18,False,False,SCR,11234,False,True,,60 x 360ft rectangular,True,False,318,False,Synthetic
X169-BASKETBALL-2,4424.935928344727,X-12,False,False,BKB,10467,False,False,,Full Court,False,False,212,False,Asphalt
M037-ZN03-BASEBALL-1,42086.2971496582,M-12A,False,False,SFB,10032,False,False,,"60ft base path, 150-200ft fence",False,False,112,False,Natural
M148-BASKETBALL-1,3135.431167602539,M-11,False,False,BKB,10029,False,False,,Full Court,False,False,111,False,Asphalt
X118-02-BASKETBALL-6,3205.7675018310547,X-09,False,False,BKB,10473,False,False,,Full Court,False,False,209,False,Asphalt
Q398-HANDBALL-2,1338.612777709961,Q-05,False,True,HDB,11385,False,False,,Handball,False,False,405,False,Asphalt
Q212-BASKETBALL-1,2453.613677978516,Q-08,False,False,BKB,11367,False,False,,Half Court,False,False,408,False,Asphalt
Q396-BASKETBALL-1,4168.778945922852,Q-12,False,False,BKB,11413,False,False,,Full Court,False,False,412,False,Asphalt
X039-ZN17-BASKETBALL-3,4062.8616943359375,X-15,False,False,BKB,10464,False,False,,Full Court,False,False,228,False,Asphalt
B050-HANDBALL-5,1060.335205078125,B-06,False,True,HDB,11201,False,False,,Handball,False,False,306,False,Asphalt
B139-BASKETBALL-1,2996.125274658203,B-04,False,False,BKB,11221,False,False,,Full Court,False,False,304,False,Asphalt
M070-TENNIS-6,2900.7786560058594,M-08,False,False,TNS,10022,False,False,,Tennis,False,False,108,False,Clay
B028-ZN01-BASEBALL-1,95220.77821350098,B-10,False,False,BSB,11228,False,False,,"90ft base path, 200+ft fence",False,False,310,False,Natural
B057-ZN04-BASEBALL-1,44779.678787231445,B-18,False,False,BSB,11229,False,False,,"90ft base path, 200+ft fence",False,False,318,False,Natural
Q102-02-HANDBALL-10,1157.1890411376953,Q-05,False,True,HDB,11379,False,False,,Handball,False,False,405,False,Asphalt
Q369-BASKETBALL-2,1076.8683319091797,Q-11,False,False,BKB,11362,False,False,,Half Court,False,False,411,False,Asphalt
M192-HANDBALL-7,1052.1299285888672,M-11,False,True,HDB,10029,False,False,,Handball,False,False,111,False,Asphalt
B025-VOLLEYBALL-2,686.5474243164062,B-01,True,False,VLB,11211,False,False,,Volleyball,False,False,301,False,Sand
B270-BASEBALL-1,17191.71566772461,B-16,False,False,SFB,11212,False,False,,"60ft base path, 150-200ft fence",False,False,316,False,Synthetic
X200-BASKETBALL-2,3261.048553466797,X-01,False,False,BKB,10454,False,False,,Full Court,False,False,201,False,Asphalt
Q375-BASKETBALL-3,979.7439727783204,Q-07,False,False,BKB,11357,False,False,,Half Court,False,False,407,False,Asphalt
Q340-BASKETBALL-01,1513.0511322021484,Q-02,False,False,BKB,11104,False,False,,Half Court,False,False,402,False,Asphalt
B166D-BASEBALL-1,35237.45620727539,B-18,False,False,BSB,11234,True,False,,"60ft base path, 150-200ft fence",True,False,318,False,Natural
B397-TRACK-1,4684.936752319336,B-16,False,False,TRK,11212,False,False,,Jogging Path,False,False,316,False,Asphalt
X170-BASKETBALL-1,2514.3991088867188,X-10,False,False,BKB,10461,False,False,,Full Court,False,False,210,False,Asphalt
R038A-BASKETBALL-2,1791.4594268798828,R-02,False,False,BKB,10306,False,False,,Half Court,False,False,502,False,Asphalt
Q007-TENNIS-4,2786.9322814941406,Q-14,False,False,TNS,11691,False,False,,Tennis,False,False,414,False,Asphalt
Q345-HANDBALL-1,1387.9015350341797,Q-14,False,True,HDB,11691,False,False,,Handball,False,False,414,False,Asphalt
X186-HANDBALL-5,1172.2376556396484,X-08,False,True,HDB,10463,False,False,,Handball,False,False,208,False,Asphalt
B244-BASKETBALL-1,2882.172653198242,B-15,False,False,BKB,11223,False,False,,Full Court,False,False,315,False,Asphalt
B396-HANDBALL-1,1123.7828979492188,B-16,False,True,HDB,11212,False,False,,Handball,False,False,316,False,Asphalt
Q163-ZN05B-HANDBALL-4,1916.870376586914,Q-14,False,True,HDB,11693,False,False,,Handball,False,False,414,False,Asphalt
M221-BASKETBALL-1,3946.2769622802734,M-04,False,False,BKB,10019,False,False,,Full Court,False,False,104,False,Asphalt
Q002-HANDBALL-2,1239.952651977539,Q-05,False,True,HDB,11385,False,False,,Handball,False,False,405,False,Concrete
X030-01-TRACK-1,68270.51042175293,X-04,False,False,TRK,10451,False,False,,Track,False,False,204,False,Rubber
Q001-ZN01-TENNIS-4,2842.707397460937,Q-13,False,False,TNS,11426,False,False,,Tennis,False,False,413,False,Asphalt
M042-02-HANDBALL-4,1073.6307830810547,M-12,False,True,HDB,10034,False,False,,Handball,False,False,112,False,Asphalt
M241-BASKETBALL-2,662.4969635009766,M-03,False,False,BKB,10002,False,False,,Half Court,False,False,103,False,Asphalt
X085-BASKETBALL-2,4169.074996948242,X-05,False,False,BKB,10458,False,False,,Full Court,False,False,205,False,Asphalt
Q314-BASEBALL-1,33124.7686920166,Q-08,False,False,SFB,11365,True,False,,"60ft base path, 150-200ft fence",False,False,408,False,Asphalt
Q221-HANDBALL-2,1088.527847290039,Q-08,False,True,HDB,11365,False,False,,Handball,False,False,408,False,Asphalt
R125-BASKETBALL-1,3616.715835571289,R-01,False,False,BKB,10304,False,False,,Full Court,False,False,501,False,Asphalt
Q021-ZN06-SOCCER-4,15473.477661132812,Q-08,False,False,SCR,11364,False,False,,45-146ft W x 75-294ft L,False,False,408,False,Natural
X124-HANDBALL-4,1251.873519897461,X-09,False,True,HDB,10472,False,False,,Handball,False,False,209,False,Asphalt
Q015-ZN07-TENNIS-10,2654.0106506347656,Q-16,False,False,TNS,11385,False,False,,Tennis,False,False,482,False,Asphalt
Q387A-TENNIS-4,3029.9781951904297,Q-11,False,False,TNS,11360,False,False,,,False,False,411,False,
B007-HANDBALL-1,1524.5393981933594,B-11,False,True,HDB,11214,False,False,,Handball,False,False,311,False,Asphalt
R090-BASKETBALL-1,2431.593391418457,R-03,False,False,BKB,10312,False,False,,Full Court,False,False,503,False,Asphalt
Q023-01-HANDBALL-2,1279.2030181884766,Q-12,False,True,HDB,11432,False,False,,Handball,False,False,412,False,Asphalt
B258-BASKETBALL-3,3229.3190307617188,B-03,False,False,BKB,11233,False,False,,Full Court,False,False,303,False,Asphalt
Q099-ZN23-BASEBALL-1,37472.47981262207,Q-15,False,False,SFB,11367,False,False,,"60ft base path, 150-200ft fence",False,False,481,False,Natural
M160-BASKETBALL-1,4122.58171081543,M-10,False,False,BKB,10030,False,False,,Full Court,False,False,110,False,Asphalt
B223R-BASKETBALL-2,1585.2311706542969,B-01,False,False,BKB,11211,False,False,,Half Court,False,False,301,False,Asphalt
Q329-BASEBALL-1,36703.607330322266,Q-08,False,False,SFB,11367,False,False,,"45-60ft base path, less than 150ft fence",False,False,408,False,Asphalt
B018-ZN01-BASEBALL-3,43396.17372131348,B-18,False,False,SFB,11236,True,False,,"60ft base path, 150-200ft fence",False,False,318,False,Natural
X307-HANDBALL-1,1185.7248840332031,X-02,False,True,HDB,10474,False,False,,Handball,False,False,202,False,Concrete
X092-ZN02-TENNIS-1,2848.503463745117,X-13,False,False,TNS,10471,False,False,,,False,False,226,False,
M192-HOCKEY-1,9808.22769165039,M-11,False,False,HKY,10128,False,False,,Hockey,False,False,108,False,Asphalt
B193-HANDBALL-2,1005.2349853515624,B-09,False,False,HDB,11203,False,False,,Handball,False,False,309,False,Asphalt
Q163-ZN07A-HANDBALL-5,1661.9661102294922,Q-14,False,True,HDB,11694,False,False,,Handball,False,False,414,False,Asphalt
Q293-BASKETBALL-1,1147.739013671875,Q-11,False,False,BKB,11364,False,False,,Half Court,False,False,411,False,Asphalt
M105-06-SOCCER-1,17820.757202148438,M-03,False,False,SCR,10002,False,True,,45-146ft W x 75-294ft L,False,False,103,False,Synthetic
Q300B-BASKETBALL-5,2598.737564086914,Q-08,False,False,BKB,11365,False,False,,Full Court,False,False,408,False,Asphalt
Q396-HANDBALL-2,2060.059051513672,Q-12,False,True,HDB,11413,False,False,,Handball,False,False,412,False,Asphalt
X188-BASKETBALL-1,3339.057891845703,X-12,False,False,BKB,10470,False,False,,Full Court,False,False,212,False,Asphalt
X152-TENNIS-2,2158.0301818847656,X-08,False,False,TNS,10471,False,False,,,False,False,208,False,
M164-TRACK-1,2427.0704193115234,M-06,False,False,TRK,10010,False,False,,Jogging Path,False,False,106,False,Asphalt
M070-TENNIS-1,2900.775344848633,M-08,False,False,TNS,10022,False,False,,Tennis,False,False,108,False,Clay
M071-ZN20-VOLLEYBALL-5,1894.5432891845703,M-14,True,False,VLB,10024,False,False,,Volleyball,False,False,107,False,Asphalt
Q358-BASKETBALL-3,3615.640350341797,Q-13,False,False,BKB,11426,False,False,,Full Court,False,False,413,False,Asphalt
Q015-ZN04-HANDBALL-5,1209.6555786132812,Q-16,False,True,HDB,11421,False,False,,Handball,False,False,482,False,Asphalt
Q021-ZN02-TENNIS-3,2959.081649780273,Q-08,False,False,TNS,11423,False,False,,Tennis,False,False,408,False,Asphalt
Q162J-BASEBALL-1,38897.58996582031,Q-14,False,False,BSB,11691,True,False,,"60ft base path, 150-200ft fence",False,False,414,False,Natural
M105-08-HANDBALL-3,1271.907196044922,M-03,False,True,HDB,10002,False,False,,Handball,False,False,103,False,Asphalt
B057-ZN04-SOCCER-1,55215.40309143066,B-18,False,False,SCR,11229,False,True,,60 x 360ft rectangular,False,False,318,False,Natural
R005-ZN01-BASKETBALL-3,4231.913131713867,R-01,False,False,BKB,10301,False,False,,Full Court,False,False,501,False,Asphalt
B018-ZN01-CRICKET-5,17430.437713623047,B-18,False,False,CRK,11236,False,False,,60 ft Cricket Pitch,False,False,318,False,Natural
X148H1-HANDBALL-3,1338.0968322753906,X-06,False,True,HDB,10457,False,False,,Handball,False,False,206,False,Asphalt
Q012-ZN03-TENNIS-7,2742.7691192626958,Q-11,False,False,TNS,11361,False,False,,Tennis,False,False,411,False,Asphalt
B271-BASKETBALL-1,1697.704849243164,B-17,False,False,BKB,11236,False,False,,Half Court,False,False,317,False,Asphalt
Q367-BASKETBALL-1,962.3381958007812,Q-14,False,False,BKB,11693,False,False,,Half Court,False,False,414,False,Asphalt
B057-ZN01-HANDBALL-1,1179.875503540039,B-18,False,True,HDB,11229,False,False,,Handball,False,False,318,False,Asphalt
B310-HANDBALL-1,1010.5989837646484,B-01,False,True,HDB,11206,False,False,,Handball,False,False,301,False,Asphalt
B073-ZN28-BASKETBALL-5,3859.236923217773,B-14,False,False,BKB,11226,False,False,,Full Court,False,False,314,False,Asphalt
Q305-BASKETBALL-2,4073.367462158203,Q-05,False,False,BKB,11385,False,False,,Full Court,False,False,405,False,Asphalt
X118-02-BASEBALL-1,24600.16323852539,X-09,False,False,SFB,10473,False,False,,"60ft base path, 150-200ft fence",False,False,209,False,Asphalt
B237-HANDBALL-2,1482.2278442382812,B-03,False,True,HDB,11216,False,False,,Handball,False,False,303,False,Asphalt
Q162J-BASKETBALL-2,1013.7668762207032,Q-14,False,False,BKB,11691,False,False,,Half Court,False,False,414,False,Asphalt
Q162F-BASKETBALL-2,4009.485809326172,Q-14,False,False,BKB,11692,False,False,,Full Court,False,False,414,False,
Q099-ZN10-TENNIS-4,2810.545928955078,Q-15,False,False,TNS,11368,False,False,,Tennis,False,False,481,False,Asphalt
Q317-BASKETBALL-4,1053.4293518066406,Q-11,False,False,BKB,11364,False,False,,Half Court,False,False,411,False,Asphalt
R034-BASKETBALL-5,1261.131607055664,R-01,False,False,BKB,10310,False,False,,Half Court,False,False,501,False,Asphalt
B126-ZN02-CRICKET-1,73146.07499694824,B-06,False,False,CRK,11231,False,False,,,False,False,306,False,Natural
Q095-FOOTBALL-1,46487.610900878906,Q-10,False,False,FTB,11417,False,False,,147-295ft W x 295-393ft L,False,False,410,False,Natural
B331-HANDBALL-2,1474.0232391357422,B-13,False,True,HDB,11224,False,False,,Handball,False,False,313,False,Concrete
R105-FOOTBALL-1,12140.780807495115,R-01,False,False,FTB,10310,False,True,,45-146ft W x 75-294ft L,False,False,501,False,Synthetic
