alphabetic_name_long,city,census_tract,se_services,end_time,advanced_placement_courses,school_sports,ninth_priority09,nta,:@computed_region_f5dn_yrer,last_year_bus
Quest to Learn,New York,89.0,This school will provide students with disabilities the supports and services indicated on their IEPs.,3:20 PM,"Art History, Biology, Calculus AB, Chemistry, English Literature and Composition, Environmental Science, Government and Politics: United States",Cheerleading; we plan to offer Swimming,,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,12,
Foreign Language Academy of Global Studies,Bronx,35.0,This school will provide students with disabilities the supports and services indicated on their IEPs.,3:00 PM,English Literature and Composition,Please contact the school for more information.,,Mott Haven-Port Morris                                                     ,49,
PROGRESS High School for Professional Careers,Brooklyn,485.0,This school will provide students with disabilities the supports and services indicated on their IEPs.,2:45 PM,"Biology, Calculus AB, English Language and Composition, Government and Politics: United States, Human Geography, Spanish Literature, Studio Art: 2-D Design, Studio Art: 3-D Design, Studio Art: Drawing, United States History",Full program of school sports; students compete in the Grand Street Campus (GSC) Athletic Program. All activities are supported by the GSC Events Staff.,,Bushwick South                                                             ,36,
Bronx Academy of Health Careers,Bronx,372.0,This school will provide students with disabilities the supports and services indicated on their IEPs.,3:15 PM,English Language and Composition,"Baseball, Basketball & JV Basketball, Cross Country, Football & JV Football, Indoor Track, Outdoor Track, Soccer, Softball, Swimming, Volleyball",,Williamsbridge-Olinville                                                   ,29,
International Community High School,Bronx,41.0,This school will provide students with disabilities the supports and services indicated on their IEPs.,4:00 PM,,"Small Schools Athletic League: Boys and Girls Baseball, Basketball, Soccer; Girls Volleyball",,Mott Haven-Port Morris                                                     ,49,
Aviation Career & Technical Education High School,Long Island City,179.0,This school will provide students with disabilities the supports and services indicated on their IEPs.,4:30 PM,"Calculus AB, English Language and Composition, English Literature and Composition, Government and Politics: United States, Physics B, United States History, World History",,,Hunters Point-Sunnyside-West Maspeth                                       ,53,
Scholars' Academy,Rockaway Park,938.0,This school will provide students with disabilities the supports and services indicated on their IEPs.,3:00 PM,"Art History, Biology, Calculus AB, Chemistry, English Language and Composition, English Literature and Composition, Spanish Language","Co-ed: Archery, Cross Country; Girls Softball, Cheerleading, Fitness, Step, Wrestling",,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel                      ,51,
Williamsburg High School for Architecture and Design,Brooklyn,519.0,This school will provide students with disabilities the supports and services indicated on their IEPs.,3:15 PM,"Calculus AB, English Language and Composition, Human Geography, Spanish Language, United States History","Cheerleading, Co-ed Soccer Club, Dance, Girls Flag Football, Step",,North Side-South Side                                                      ,36,
Bronx High School of Science,Bronx,409.0,This school will provide students with disabilities the supports and services indicated on their IEPs.,3:45 PM,"Art History, Biology, Calculus AB, Calculus BC, Chemistry, Chinese Language and Culture, Computer Science A, Computer Science AB, Economics: Macro, Economics: Micro, English Language and Composition, English Literature and Composition, Environmental Science, European History, French Language, Government and Politics: Comparative, Government and Politics: United States, Human Geography, Italian Language and Culture, Japanese Language and Culture, Latin: Vergil, Music Theory, Physics B, Physics C: Electricity and Magnetism, Physics C: Mechanics, Psychology, Spanish Language, Spanish Literature, Statistics, Studio Art: 2-D Design, Studio Art: Drawing, United States History, World History","Our Girls' Soccer team was 2012 city champions! Please visit the Bronx Science Homepage for a list of sports, coaches and achievements.",,Van Cortlandt Village                                                      ,24,
FDNY High School for Fire and Life Safety,Brooklyn,1156.0,This school will provide students with disabilities the supports and services indicated on their IEPs.,3:00 PM,English Literature and Composition,,,East New York (Pennsylvania Ave)                                           ,45,
juan morel campos secondary school,Brooklyn,529.0,This school will provide students with disabilities the supports and services indicated on their IEPs.,3:00 PM,"Chemistry, English Language and Composition, English Literature and Composition, Government and Politics: United States, Spanish Language","Fitness, Running Club, Soccer",,Williamsburg                                                               ,36,
"High School of Fashion Industries, The",New York,91.0,This school will provide students with disabilities the supports and services indicated on their IEPs.,3:45 PM,"Biology, English Literature and Composition, Spanish Language, United States History","Varsity and Junior Varsity Competitive Cheerleading Team, Hip-Hop Reggae Dance Team, Step Team, Fencing Club, Soccer Club",,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,12,
School for Legal Studies,Brooklyn,485.0,This school will provide students with disabilities the supports and services indicated on their IEPs.,3:30 PM,"Calculus AB, Chemistry, English Language and Composition, United States History",,,Bushwick South                                                             ,36,
Energy Tech High School,Long Island City,51.0,This school will provide students with disabilities the supports and services indicated on their IEPs.,3:30 PM,,"Basketball, Volleyball, Track, and Soccer, as well as student-proposed clubs and intramural sports.",,Queensbridge-Ravenswood-Long Island City                                   ,39,
middle college high school at laguardia community college,Long Island City,179.0,This school will provide students with disabilities the supports and services indicated on their IEPs.,1:55 PM,,"Middle College High School at LaGuardia Community College athletes join students from Robert F. Wagner Jr. Secondary School and International High School at LaGuardia Community College as the Panthers, to compete in the Public Schools Athletic League (PSAL).",,Hunters Point-Sunnyside-West Maspeth                                       ,53,
High School for Media and Communications,New York,277.0,This school will provide students with disabilities the supports and services indicated on their IEPs.,3:45 PM,"Calculus AB, English Language and Composition, English Literature and Composition, Government and Politics: Comparative, Government and Politics: United States, Spanish Language, Spanish Literature","Dance Club, Rowing Club; Cycling Club sponsored by iChallenge Myself; we also provide lifeguarding classes to students.",,Washington Heights North                                                   ,47,
Academy of Innovative Technology,Brooklyn,1180.0,This school will provide students with disabilities the supports and services indicated on their IEPs.,2:30 PM,"English Literature and Composition, United States History",,,park-cemetery-etc-Brooklyn                                                 ,45,
Bronx Lab School,Bronx,372.0,This school will provide students with disabilities the supports and services indicated on their IEPs.,5:00 PM,,,,Williamsbridge-Olinville                                                   ,29,
Bronx Academy for Software Engineering (BASE),Bronx,393.0,This school will provide students with disabilities the supports and services indicated on their IEPs.,,,,,Belmont                                                                    ,35,
"Urban Assembly School of Business for Young Women, The",New York,9.0,This school will provide students with disabilities the supports and services indicated on their IEPs.,3:30 PM,"Chemistry, Spanish Language, United States History","Basketball, Golf, Track, Volleyball",,Battery Park City-Lower Manhattan                                          ,56,
Bard High School Early College Queens,Long Island City,179.0,This school will provide students with disabilities the supports and services indicated on their IEPs.,3:20 PM,,"Basketball, Cross Country, Fencing, Flag Football, Track and Field, Ultimate Frisbee, Weightlifting; Girls: Soccer, Volleyball",,Hunters Point-Sunnyside-West Maspeth                                       ,53,
High School for Excellence and Innovation,New York,291.0,This school will provide students with disabilities the supports and services indicated on their IEPs.,3:30 PM,,"Boys: Baseball, Basketball, Flag Football, Track, Volleyball; Girls: Basketball, Softball; Co-ed: Outdoor Track; Student vs. Faculty Games",,Marble Hill-Inwood                                                         ,47,
East Bronx Academy for the Future,Bronx,161.0,This school will provide students with disabilities the supports and services indicated on their IEPs.,3:00 PM,"English Language and Composition, Government and Politics: United States, Spanish Literature, United States History","Boys Baseball, Soccer; Boys and Girls Basketball, Flag Football; Co-ed Track",,Crotona Park East                                                          ,34,
Kingsborough Early College School,Brooklyn,306.0,This school will provide students with disabilities the supports and services indicated on their IEPs.,2:20 PM,,"Basketball, Flag Football, Flag Rugby, Lacrosse, Volleyball",,Gravesend                                                                  ,21,
"High School for Language and Diplomacy, The",New York,50.0,This school will provide students with disabilities the supports and services indicated on their IEPs.,3:45 PM,"English Language and Composition, Government and Politics: Comparative, Human Geography","As we expand, we plan to offer PSAL and Intramural Sports, including Martial Arts.",,Gramercy                                                                   ,11,
Secondary School for Law,Brooklyn,155.0,This school will provide students with disabilities the supports and services indicated on their IEPs.,3:12 PM,"Calculus AB, English Language and Composition, English Literature and Composition, Spanish Language, United States History",,,Park Slope-Gowanus                                                         ,14,
Preparatory Academy for Writers: A College Board School,Springfield Gardens,330.0,This school will provide students with disabilities the supports and services indicated on their IEPs.,3:05 PM,"English Language and Composition, English Literature and Composition, Environmental Science, European History, Statistics",,,Springfield Gardens North                                                  ,41,
Teachers Preparatory High School,Brooklyn,924.0,This school will provide students with disabilities the supports and services indicated on their IEPs.,2:40 PM,"Calculus AB, English Literature and Composition, United States History",Our student athletes join students from Frederick Douglass Academy VII High School to compete in the Public Schools Athletic League (PSAL). We also offer Cheerleading.,,Brownsville                                                                ,55,
Hostos-Lincoln Academy of Science,Bronx,73.0,This school will provide students with disabilities the supports and services indicated on their IEPs.,2:30 PM,"Calculus AB, English Language and Composition, English Literature and Composition, Spanish Language, Statistics",Boys and Girls Basketball,,Melrose South-Mott Haven North                                             ,49,
High School of Arts and Technology,New York,151.0,This school will provide students with disabilities the supports and services indicated on their IEPs.,2:45 PM,"Art History, Psychology, United States History",Intramural Sports,,Lincoln Square                                                             ,20,
Harry S Truman High School,Bronx,46201.0,This school will provide students with disabilities the supports and services indicated on their IEPs.,3:00 PM,"Biology, Calculus AB, Calculus BC, English Literature and Composition, Spanish Language, Statistics, United States History","Cheerleading, Dance Team, Step Team, Girls Flag Football, Spinning, Swimming",,Co-op City                                                                 ,43,
Cypress Hills Collegiate Preparatory School,Brooklyn,1180.0,This school will provide students with disabilities the supports and services indicated on their IEPs.,3:00 PM,"English Language and Composition, Government and Politics: United States, Psychology, Spanish Language, Statistics",,,park-cemetery-etc-Brooklyn                                                 ,45,
Academy for Language and Technology,Bronx,21502.0,This school will provide students with disabilities the supports and services indicated on their IEPs.,4:00 PM,"English Language and Composition, Spanish Language",Karate,,University Heights-Morris Heights                                          ,6,
Brooklyn College Academy,Brooklyn,504.0,,,,,,Windsor Terrace                                                            ,9,
West Bronx Academy for the Future,Bronx,387.0,This school will provide students with disabilities the supports and services indicated on their IEPs.,3:15 PM,"Art History, Chemistry, English Language and Composition, Spanish Language, United States History, World History","Basketball, Flag Footbal, Swimming, Volleyball",,Belmont                                                                    ,35,
DreamYard Preparatory School,Bronx,225.0,This school will provide students with disabilities the supports and services indicated on their IEPs.,3:15 PM,"Biology, English Language and Composition, English Literature and Composition, Spanish Language, Spanish Literature, United States History",,,East Concourse-Concourse Village                                           ,50,
High School for Community Leadership,Jamaica,452.0,This school will provide students with disabilities the supports and services indicated on their IEPs.,3:45 PM,"Biology, English Language and Composition, English Literature and Composition",,,Briarwood-Jamaica Hills                                                    ,25,
Bronx Center for Science and Mathematics,Bronx,14701.0,This school will provide students with disabilities the supports and services indicated on their IEPs.,3:45 PM,"Biology, Calculus AB, English Language and Composition, United States History, World History","Contact Steve Greenwald, Athletic Director, at 718-992-7089 for information regarding additional sports offerings.",,Claremont-Bathgate                                                         ,34,
Susan E. Wagner High School,Staten Island,181.0,This school will provide students with disabilities the supports and services indicated on their IEPs.,3:00 PM,"Biology, Calculus AB, Chemistry, English Language and Composition, English Literature and Composition, French Language, Government and Politics: United States, Human Geography, Spanish Language, Statistics, United States History, World History","Cheerleading, Dance Team, Steppers, Twirlers",,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill                   ,30,
"Urban Assembly School for Media Studies, The",New York,151.0,This school will provide students with disabilities the supports and services indicated on their IEPs.,3:15 PM,"Calculus AB, Chemistry, English Literature and Composition, United States History, World History","After-school Basketball, Weightlifting and Conditioning",,Lincoln Square                                                             ,20,
"Marie Curie School for Medicine, Nursing, and Health Professions, The",Bronx,273.0,This school will provide students with disabilities the supports and services indicated on their IEPs.,2:45 PM,"English Literature and Composition, Spanish Language, United States History","Basketball, Running, Soccer, Volleyball",,Van Cortlandt Village                                                      ,48,
East Side Community School,New York,34.0,This school will provide students with disabilities the supports and services indicated on their IEPs.,3:30 PM,"Calculus AB, English Literature and Composition","Basketball, Bicycling, Fitness, Flag Football, Indoor Soccer, Running, Skateboarding, Softball, Volleyball",,East Village                                                               ,70,
Wings Academy,Bronx,220.0,This school will provide students with disabilities the supports and services indicated on their IEPs.,3:00 PM,"Biology, Calculus AB, English Language and Composition, United States History",,,East Tremont                                                               ,28,
High School for Public Service: Heroes of Tomorrow,Brooklyn,810.0,This school will provide students with disabilities the supports and services indicated on their IEPs.,3:15 PM,"Biology, Calculus AB, Chemistry, English Language and Composition, English Literature and Composition, Statistics, United States History, World History",The High School for Public Service participates in PSAL Sports as part of the George Wingate Educational Campus.,,Prospect Lefferts Gardens-Wingate                                          ,17,
Frederick Douglass Academy,New York,236.0,This school will provide students with disabilities the supports and services indicated on their IEPs.,3:00 PM,"Biology, Calculus AB, Calculus BC, Chemistry, English Language and Composition, English Literature and Composition, European History, French Language, Government and Politics: United States, Physics B, Spanish Language, Statistics, United States History","Capoeira, Indoor Soccer, Martial Arts, Table Tennis, Wrestling",,Central Harlem North-Polo Grounds                                          ,18,
Performing Arts and Technology High School,Brooklyn,1156.0,This school will provide students with disabilities the supports and services indicated on their IEPs.,3:00 PM,"Biology, Chemistry",,,East New York (Pennsylvania Ave)                                           ,45,
Lower Manhattan Arts Academy,New York,18.0,This school will provide students with disabilities the supports and services indicated on their IEPs.,3:00 PM,"Calculus AB, Physics B","Intramural Sports: Basketball, Swimming",,Chinatown                                                                  ,70,
"Robert F. Wagner, Jr. Secondary School for Arts and Technology",Long Island City,199.0,This school will provide students with disabilities the supports and services indicated on their IEPs.,3:00 PM,"Biology, English Literature and Composition","We are a small school, but we boast the athletic team offerings of a big school! We have a dozen teams for boys and girls that compete every season of the year. Our athletes join International High School at LaGuardia Community College and Middle College High School at LaGuardia Community College, as the Panthers, to compete in the Public Schools Athletic League (PSAL).",,Hunters Point-Sunnyside-West Maspeth                                       ,53,
Civic Leadership Academy,Elmhurst,463.0,This school will provide students with disabilities the supports and services indicated on their IEPs.,3:30 PM,"Biology, English Literature and Composition, Government and Politics: United States, United States History","Basketball, Bowling, Flag Football, Mixed Martial Arts, Soccer, Volleyball",,Elmhurst                                                                   ,66,
High School for Service & Learning at Erasmus,Brooklyn,794.0,This school will provide students with disabilities the supports and services indicated on their IEPs.,3:45 PM,,"YMCA Sports (Indoor Soccer, Three-on-Three Basketball)",,Erasmus                                                                    ,60,
Urban Action Academy,Brooklyn,990.0,This school will provide students with disabilities the supports and services indicated on their IEPs.,3:20 PM,English Literature and Composition,"Baseball, Basketball",,Canarsie                                                                   ,5,
"Urban Assembly School of Design and Construction, The",New York,135.0,This school will provide students with disabilities the supports and services indicated on their IEPs.,3:15 PM,"English Literature and Composition, United States History, World History",Girls Softball Club,,Clinton                                                                    ,12,
Curtis High School,Staten Island,7.0,This school will provide students with disabilities the supports and services indicated on their IEPs.,3:30 PM,"Art History, Biology, Calculus AB, Calculus BC, Chemistry, English Language and Composition, English Literature and Composition, European History, French Language, Italian Language and Culture, Music Theory, Physics B, Spanish Language, Statistics, Studio Art: Drawing, United States History","Cheerleading, Dynasty Step Team",,West New Brighton-New Brighton-St. George                                  ,4,
Mott Hall High School,New York,22102.0,This school will provide students with disabilities the supports and services indicated on their IEPs.,3:30 PM,"English Literature and Composition, Spanish Language, United States History, World History",,,Central Harlem North-Polo Grounds                                          ,18,
