bn,school_accessibility_description,school_phone_number,program_highlights,progcount,grade_span_2014_2015_max,boro,grade_span_2014_2015_min,school_type2,communitydistrictnumber,header01,fourth_priority04,campus_name,bbl,longitude,neighborhood,psal_sports_boys,postalcode,overview_paragraph,borough,extra_leadership_support
M419,Partially Accessible,212-647-7410,"Performance-based Assessments: All students are required to do in-depth research and writing and present their portfolios in front of a committee. College Opportunities: College Now, Upward Bound, College Trips, Full-time College Advisor, Partnerships with Baruch College, New York University (NYU), and John Jay College. Special programs: Art for Progress, Music classes through the Midori Foundation, Jazz Ensemble, Choral Music, Drama Program with Stage Doors and Youth Theater Initiative, SAT Prep, After-school clubs and activities, PSAL Sports",1,12,M,9.0,,104,,,Bayard Rustin Educational Campus,1007420007.0,-74.0031734,Chelsea,"Baseball, Basketball, Indoor Track, Soccer, Volleyball",10011,"We are a small high school that offers a challenging academic curriculum with a strong emphasis on writing, research, and project-based inquiry learning across subjects. Students are expected to be highly motivated, active learners with strong communication and research skills. Students and teachers work together to create a learning community that fosters critical thinking and analytical skills in preparation for college and beyond. Students present and defend six portfolios before a committee in order to graduate. Our Advisory ensures that all students have strong relationships with adults that support a positive learning culture.",MANHATTAN,"After-school Homework Help, Cheerleading, Culinary Arts, Salsa, College Preparatory Workshops, Internships, Music, Visual Arts, Step Team, Student Council, Yearbook"
K445,Partially Accessible,718-232-2500,"Academic Honors Academy, Medical & Health Careers, Business and Technology, Academy of Hospitality and Tourism, Academy of Legal Studies, Small Business Operations, College Now",8,12,K,9.0,,311,,For Zoned Program only: priority to students who live in the zoned area,,3062710001.0,-74.0037419,Bensonhurst,"Baseball & JV Baseball, Basketball & JV Basketball, Bowling, Football & JV Football, Handball, Soccer, Swimming, Tennis, Volleyball, Wrestling",11214,"New Utrecht High School is committed to educating its students to their maximum potential. To reach this end, we offer a full academic program designed to meet and exceed state standards. The main goal of our staff is to support our students in mastering the challenging curriculum and preparing them for success. We offer an ever-expanding range of extracurricular activities and programs that enhance a student's high school experience. We are a community school steeped in tradition, where parents are welcomed and encouraged to be partners in their child's success.",BROOKLYN ,"Archon Community Honor Society, Art Exhibits, Chinese New Year Show, Debate Team, Fashion Show, International Festival, Key Club, Mock Trial, Model United Nations, National Honor Society (Arista), Peer Mediation/Conflict Resolution, Peer Tutoring, Spring Musical, Talent Show, Theater Guild, Tri-Music Honor Society; most programs have an internship for students who qualify. We offer over 40 after-school clubs."
X334,Not Accessible,718-665-4128,"Small academic classes that incorporate English and Native Languages, Internship, Advisory, College Now, Drama, Studio Art, College Summit, Senior Mentoring",1,12,X,9.0,International School,201,,,,2022860036.0,-73.9180559,Mott Haven,,10454,"We are a community of English Language Learners from all parts of the world, learning and working together in teams. Our school and classes are small. Students receive personal attention from teachers and school staff. Everyone learns English while learning math, science and social studies. Students are given a college preparatory experience, with internship opportunities in preparation for life after high school. We are part of a growing network of international schools with over twenty years of successful experiences working with recent immigrant youth and their families.",BRONX    ,"Art, Ballroom Dance, Before- and After-school Tutoring, Capoeira, Drama, Hip-Hop Dance, Model UN, SAT Prep Classes, School Newspaper, Senior Committee, Snowboarding, Tae Kwon Do, Changing the Odds, Tagai Mentoring"
K393,Not Accessible,718-574-2820,"College Now with Medgar Evers College, Fresh Prep Core, Science, Technology, Engineering & Mathematics (STEM) Robotics with New York City College of Technology, Dance4Peace",1,12,K,9.0,,303,,Then to Brooklyn students or residents,,3016160001.0,-73.9314894,Bedford-Stuyvesant,,11221,"The Frederick Douglass Academy IV (FDA IV) Secondary School is a place of scholarship. Our students are considered scholars. We create an atmosphere of order, civility, maturity and seriousness of purpose. A set of core rules referred to as the “twelve non-negotiables” establish and maintain this environment. Scholars at the Frederick Douglas Academy IV Secondary School are instilled with a Scholar's Creed, adapted from the Morehouse College Students' Creed, that reinforces the school's cohesive culture, underscores its high expectations and builds the scholars' sense of pride in their school and themselves.",BROOKLYN ,"After-school and Saturday Programs, Art Studio Group, Book Club, Cheerleading Team, Chess Team, Dance Club, Dance Ensemble, Homework Help, Lunch and Learn, Peer Mediation, Music, PSAT/SAT Prep, Scholars Government Association (SGA), Step Team, Summer Institute, Achieving Change in our Neighborhood (Teen Action), Violin, String Instruments, CHAMPS, School Leadership Team, Financial Literacy, Yoga, Anti-Bullying, Violence Prevention, Yearbook"
Q258,Not Accessible,718-935-3645,"Associate's degree - Up to two years of college coursework in engineering, College classes as early as 10th grade, Internships and apprenticeships, Off-site technical training, Mentor program, College and career trips, Small-group “learning labs,” Daily Advisory groups, Town Hall meetings, Student e-portfolios, Opportunities for collaborative and problem-based learning. Language Classes: As we expand, we plan to offer Spanish and Spanish Native Language Arts.",1,10,Q,9.0,"CTE, New School",401,,Then to New York City residents,,4003430001.0,-73.9325837,Long Island City,,11106,"At Energy Tech, students interested in engineering, science, math, and technology follow a unique pathway to high-demand careers in a fast-growing industry. To prepare for these competitive engineering careers, we provide extensive academic support and mentoring. Our students learn through hands-on problem solving in and out of the classroom through partnerships with LaGuardia Community College, Con Edison, and National Grid. Students can remain at our school for up to six years, earning a high school diploma and an Associates' degree - free of cost - and participate in training and internships. Students leave ready to go directly into careers or as strong candidates for 4-year colleges.",QUEENS   ,"Robotics, Computer and Media Technology, Designers and Builders, Art, Language and Culture, Community Service, Peer Mediation, Student Government, Yearbook, Dance/Step, and student-proposed clubs and activities."
Q283,Not Accessible,718-949-8405,"Individualized College, Academic and Career Planning; Advisory, Focus on developing strong writing skills",1,12,Q,6.0,,412,,,Springfield Gardens Educational Campus,4130570056.0,-73.7568961,Springfield Gardens,"Baseball, Basketball & JV Basketball, Football, Indoor Track, Outdoor Track, Soccer, Tennis, Volleyball, Wrestling",11413,"Preparatory Academy for Writers: A College Board School is a small school committed to combining a challenging curriculum with a focus on writing and publishing. Students will learn to think critically, to communicate effectively, and to be open to a wide range of ideas and experiences. Students in all programs will write for publication, both in print and online forums.",QUEENS   ,"Journalism, Dance, Drama, Intramural Athletics, Literary Magazine, Student Government, Student Leadership"
Q248,Not Accessible,718-712-2304,"College Advisory, College Tours, College Now Courses, Humanities, Financial Literacy, Pre-engineering, Robotics, Instructional Technology, MOUSE Squad, Digital Photography, Leadership & Mentorship Programs, Peer Mediation, Conflict Resolution, Extended Day Science, Technology, Engineering, and Mathematics (STEM) Enrichment Courses, Summer Enrichment Placements, 3-year Talent Block: Visual Arts, School Band, Improv, Senior Internship, 9th Grade Leadership Development, Career and College Planning",1,12,Q,9.0,,412,,Then to New York City residents,Springfield Gardens Educational Campus,4130570056.0,-73.7568961,Springfield Gardens,"Baseball, Basketball & JV Basketball, Bowling, Football, Handball, Indoor Track, Outdoor Track, Soccer, Tennis, Volleyball, Wrestling",11413,"Queens Preparatory Academy (QPA) offers its students a challenging curriculum with an emphasis on math and science achievement. Our scholars engage in inquiry-based and project-based learning to develop their critical thinking and problem solving skills as they tackle real-world problems in math, science and the humanities. Our Advisory program assists students in developing the academic, social and emotional skills that promote academic success.",QUEENS   ,"Brotherhood and Sisterhood Leadership Groups, MOUSE Squad, Peer Tutors, Peer Mediators, QPA Clubs, Community Service, Student Advisory Board, Improv Group, QPA School Band"
R600,Functionally Accessible,718-420-2600,"Scholars Institute: Honors Courses; Advancement Via Individual Determination (AVID), Project Lead The Way, Work-based Learning, State & Industry Certifications, McKee Advertising Design Enterprise (MADE); Italian, Art, Precalculus, Calculus, College Now, After-school Tutoring",6,12,R,9.0,CTE School,501,,,,5000190004.0,-74.0787503,St. George,"Baseball & JV Baseball, Basketball & JV Basketball, Bowling, Cross Country, Football, Golf, Handball, Indoor Track, Outdoor Track, Soccer, Swimming, Tennis, Volleyball, Wrestling",10301,"Our New York State endorsed Career and Technical Education program provides students with a 21st century education. We prepare students for a New York State Regents diploma, college readiness, and Career and Technical Certification leading to exciting and lucrative careers in Cisco networking, architecture, graphic design, automotive maintenance, construction, and cosmetology. Our students master both instructional and technological content in state-of-the-art labs, using industry-standard software and hardware. We pride ourselves on our affiliation with companies, organizations and foundations that support our students' learning and the vision and mission of the school.",STATEN IS,"Community Service Projects, Black Box Theater, Jazz and Rock Ensembles, Conflict Resolution, Link Employment and Responsibility Now (LEARN), PM/Saturday School, SAT Prep, Dance/Step, Computer Graphic Arts, National Honor Society, National Technical Honor Society, Peer Mediation, Robo-Wizards (Robotics), Student Government, SkillsUSA, Yearbook Committee, Young Men's Alliance, Young Women's Alliance"
X260,Not Accessible,718-992-7089,"Advisory, Guidance and College Preparatory, Mentoring, Leadership, Summer Enrichment at universities and colleges, PSAT and SAT Preparatory, Comprehensive After-school Program, Peer Tutoring, Evening School and Summer Institute for Credit Recovery",1,12,X,9.0,,203,,Then to New York City residents,,2029250056.0,-73.902818,Claremont Village,"Baseball, Basketball",10456,"The Bronx Center for Science and Mathematics offers a challenging academic program with a concentration in science and mathematics supported by the study of humanities and the integration of technology across the curriculum. Our school will meet the emotional, intellectual and social needs of all students through a strategic support structure consisting of faculty, students, parents and the community. We prepare our students for the world of work and/or college through collaboration with our partners. The foundation of our school rests on Seven Core Virtues that will prepare our students for citizenship: Respect, Integrity, Honor, Excellence, Commitment, Perseverance and Service.",BRONX    ,"Band, buildOn, Costume Design, Drama, Homework Help, Math Peer Tutoring, Modern Dance, National Honor Society/Arista, Salsa, School Leadership Team, School Spirit Team, Science Tutoring, Set Design, Soccer, Softball, Student Government, Technology, Yearbook, Yoga"
K618,Partially Accessible,718-827-2469,"Application Programming & Game Design: A three-year sequence in learning the newest technology in gaming design; Courses in Java, Graphic design, C ++ and Objective-C (computer languages that are more widely used in iPhone platforms and game design programming); A three-year sequence in web designing: Web Design (Dreamweaver, Front Page, Photoshop). Students take Dreamweaver application, web page design, web page authoring and other supporting technologies and at the end of the sequence. Students can earn Adobe certifications in Flash and Dreamweaver Microsoft Office Specialists (MOS).",1,12,K,9.0,CTE School,305,,,Franklin K. Lane Educational Campus,3040940001.0,-73.868927,Cypress Hills,"Basketball, Football, Indoor Track, Outdoor Track, Swimming",11208,"We prepare all students to enter college and employment after four years of a multi-disciplinary curriculum, integrating challenging academics with up-to-the-minute technology. Students will acquire official certifications in several Information Technology (IT) applications on state-of-the-art technology, participate in internships, and gain the experiences to make them confident, skilled and productive citizens. We will continue to support our students after they graduate through networking, alumni support groups and e-conferences.",BROOKLYN ,"A+ Computer Repair Program, Book Club, Chess, Computer Literacy for Families, Digital Filmmaking, Film, Junior Achievement, Leadership through Community Service, MOUSE Squad, Music, Open Act, Peer Mediation, Peer Tutoring, Robotics, Saturday Tutorials, Spoken Word, Stepping, Student Leadership Council, Youth Ambassadors Program"
X455,Partially Accessible,718-904-5400,"Pre-Engineering, Law and Legal Studies/Law Enforcement Academy, Computer Technology, Culinary Arts, Multimedia Communication, Air Force Junior Reserve Officers' Training Corps (AFJROTC), Summer Internship, Sports and Arts, GEAR UP, Four-year program allowing students to graduate with a high school diploma as well as an Associate degree from Mercy College.",7,12,X,9.0,,210,,For Zoned Program only: Guaranteed offer to students who apply and live in the zoned area,Harry S Truman Educational Campus,2051410150.0,-73.831687,Co-op City,"Baseball & JV Baseball, Basketball & JV Basketball, Cross Country, Football & JV Football, Indoor Track, Outdoor Track, Soccer, Tennis, Volleyball, Wrestling",10475,"Harry S Truman High School is writing a new chapter in our history as the best-kept secret in the Bronx. Our current students and their parents will tell you that we have taken the ""small school feeling"" of intimate classes, teachers who know you by name, and the time and personal attention needed to achieve success - and combined it with the variety of courses, diverse student body and world-class facilities that you can only get in a large high school environment. We've even received awards for our work in this rebuilding. Our students not only get their core academic courses, but can also choose to focus on one of six career academies. With millions of dollars in scholarships earned by our seniors each year, internships for students starting freshman year, and students moving on to prestigious universities like Fordham, NYU, St. Johns and Penn State, the question shouldn't be ""Why should I attend Truman?"" but rather, ""Why would I go anywhere else?"" It's class-leading education, close to home. If it sounds too good to be true, come and visit for yourself.",BRONX    ,"Acapella Groups, After-school Tutoring, Architecture, Air Force Junior Officers' Training Corps (AFJROTC), Best Buddies, Chorus, Concert, Construction and Engineers Mentor Program for Future Engineers, Culinary Arts, Dance, Debate Team, Drill Team, Hip-Hop Dance, Jazz, Law Team, Marching Bands, Media Arts, National Honor Society, National Honor Society/Arista, SAT Preparation, Robotics-FRC, FTC League, Student Council, Swimming Club, Visual Art, Website Design and maintenance, Weight Training, Yearbook"
K525,Functionally Accessible,718-258-9283,"Science Research (MSTAR Program), Math Seminar, Murrow Med Program, Journalism, Film Review, Psychology and Literature, Shakespeare, Law, Mock Trial, Holocaust/African/Latin Literature, Astronomy, Forensics, Marine Science, Statistics, Accounting, PowerPoint, Web Design, Business Law, Film Production, Photography, Digital Photography, Technical Theatre, Ceramics, Sculpture, Architectural Design, Fashion Design, Stage Construction and Design/Lighting/Costuming, Play Production; Jazz, Concert, Symphonic Bands; String, Chamber Orchestras; Guitar Ensemble; Women's Mixed, Gospel Chorus and Madrigal Choir; Piano, Guitar, Percussion, Virtual Enterprise, Part-time Co-op, College Now",7,12,K,9.0,,314,2013 Audition Dates,For K57C only: Open only to students whose home language is Spanish,,3067340109.0,-73.959961,Midwood,,11230,"Edward R. Murrow High School is a non-traditional educational environment. We take pride in preparing all students to be college ready, career ready, and life ready. Designated a “School of Excellence” by the United States Department of Education, Edward R. Murrow High School has a long tradition of offering a wide variety of courses that are enhanced by high-quality instruction. Here at Murrow, we also offer a wide range of extracurricular activities in a safe learning environment that helps students discover their interests as they learn to make their way in the world.",BROOKLYN ,"""The Magnet"" Literary Magazine, ""The Network"" Newspaper, Anime, ASPIRA, Big Brother Big Sister, Holiday Concert, Chess Team, Council for Unity, Debate Team, Directors' and Playwright's Workshop, Girls Learn International, Guitar Fest, Intel Science Talent Search, Italian-American Association, Key Club, Leadership Council, Math Team, Mecca, Mock Trial, Moot Court, Murrow Cares (Charity Drives), Murrow Speakers' Bureau, National Honor Society, Peer Mediation/Conflict Resolution, Photography and Digital Art, Poets' Corner, SING, Student Alliance, Technical Theatre (Stage Crew), Two Dramatic Productions, Two Musical Productions, Virtual Enterprise, Vocal Fest, Vocal Tech, We The People, Winter and Spring Concerts, Yearbook. Students can choose to join over 50 different clubs and organizations."
Q351,Functionally Accessible,718-734-3290,"Individual Success Plans (ISP), Exploration Lab, Foundations in Personal Finance (Financial Peace Foundation), Public Speaking, Academic and Social Networking through our Mentorship Program, Summer Leadership Academy, Saturday Success Academy, Advisory, Community Service, Internships",1,12,Q,9.0,,414,,Then to New York City residents,Beach Channel Educational Campus,4161670099.0,-73.825292,Rockaway Park,"Baseball, Basketball, Football, Soccer",11694,"Learning is a constant at Rockaway Collegiate High School (RCHS). We offer a collaborative educational experience in which talented students are challenged to expand their intellect and develop the habits of inquiry, expression, critical thinking, problem solving, research and presentation. We ensure this with the development of consistent structures, additional time and support when needed. RCHS strives to know each student personally through the provision of an individualized student success plan which outlines the steps each student needs to take, informed by precise data, in order to be automatically successful. Every student is required to provide portfolios and pass Regents exams.",QUEENS   ,"Drama, International Youth Leadership, Internships, Music, National Honor Society, Percussion, Step/Dance Team, Student Government, Visual Arts"
M655,Not Accessible,212-348-1694,"DNA Technology and Forensic Sciences (through a Vocational and Technical Education Act (V-TEA) state grant); Lectures, Demonstrations, Clinical Seminars, Tutorials, Mentoring, Research and Clinical Electives for academic enrichment and to augment science inquiry (through ""Center For Excellence in Youth Education"" at Mount Sinai School of Medicine); College Now, Interactive Classroom for the Gifted",2,12,M,6.0,,108,,,,1015580034.0,-73.945939,Upper East Side,"Baseball, Basketball, Indoor Track, Outdoor Track",10128,"Our mission is to provide a challenging and innovative science/mathematics academic curriculum based on the development of critical thinking skills and project-based learning in all subject areas. Our middle school students are required to complete two high school-level classes and enter the 9th grade with two NYS Regents credits in mathematics and  science. In addition, our students are provided with opportunities to participate in various internships at well-renowned hospitals/institutions. Our educational commitment to every student is to prepare them for successful careers/post-secondary preparation and to support them in fulfilling their dreams.",MANHATTAN,"Arista, Art, Cheerleading Squad, Chess, Chorus, Computer, Craft, Dance, Digital Creations, Fitness, Forensic Science, Gardening, Girls Basketball, In-house Peer Tutoring, Instrumental Music, Kaplan College Prep, Library Squad, Macy's, Model United Nations, Painting, Photography, School Newspaper, Sculpture, Step Team, Student Government, Tennis, Three-dimensional Productions, Tutoring, Web Design, Yearbook"
