male_gender_identity,geography,male_count,male_percentage,male_gender_identity_count,white_or_caucasian_count,multi_race_percentage
0.17,Brooklyn CD 006,5,0.17,5.0,1,0.0
0.21,Bronx CD 002,5,0.17,6.0,0,0.0
0.17,Brooklyn CD 015,5,0.17,5.0,13,0.03
0.57,Manhattan CD 012,15,0.53,16.0,2,0.03
0.21,Brooklyn CD 011,7,0.25,6.0,5,0.03
,Bronx CD 004,164,10.16,,2,0.61
0.21,Bronx CD 011,6,0.21,6.0,0,0.0
,Bronx CD 010,1,0.06,,0,0.0
0.25,Manhattan CD 004,11,0.39,7.0,14,0.0
,Brooklyn CD 010,3,0.18,,0,0.0
0.14,Manhattan CD 010,6,0.21,4.0,2,0.0
0.1,Bronx CD 006,5,0.17,3.0,0,0.0
,Bronx CD 001,559,34.64,,39,1.48
0.0,Bronx CD 012,832,29.71,0.0,60,0.78
1.6,Brooklyn CD 007,76,2.71,45.0,0,0.0
0.03,Queens CD 009,5,0.17,1.0,0,0.0
0.0,Manhattan CD 006,0,0.0,0.0,0,0.0
,Bronx CD 012,725,44.93,,70,2.04
0.6,Bronx CD 007,23,0.82,17.0,4,0.0
4.1,Brooklyn CD 005,1771,63.25,115.0,112,2.96
1.1,Bronx CD 001,33,1.17,31.0,4,0.03
0.39,Brooklyn CD 011,22,0.78,11.0,0,0.0
0.67,Brooklyn CD 003,21,0.75,19.0,9,0.0
0.21,Queens CD 011,266,9.5,6.0,130,0.42
0.1,Brooklyn CD 003,3,0.1,3.0,0,0.0
0.96,Bronx CD 004,33,1.17,27.0,3,0.1
,Brooklyn CD 002,18,1.11,,9,0.18
,Bronx CD 012,635,39.35,,22,0.8
1.42,Bronx CD 001,43,1.53,40.0,7,0.03
,Brooklyn CD 004,41,2.54,,7,0.0
1.92,Bronx CD 012,1083,38.68,54.0,115,1.82
,Brooklyn CD 001,28,1.73,,11,0.0
0.03,Queens CD 081,1,0.03,1.0,0,0.0
5.67,Brooklyn CD 009,372,13.28,159.0,7,0.35
0.42,Manhattan CD 010,13,0.46,12.0,4,0.0
,Bronx CD 009,570,35.32,,16,3.78
,Brooklyn CD 004,307,19.02,,34,0.99
1.14,Bronx CD 004,34,1.21,32.0,3,0.07
0.07,Richmond CD 001,2,0.07,2.0,0,0.0
0.14,Queens CD 003,5,0.17,4.0,2,0.0
,Brooklyn CD 007,10,0.61,,1,0.0
0.14,Queens CD 005,4,0.14,4.0,1,0.0
,Brooklyn CD 003,11,0.68,,5,0.06
0.03,Brooklyn CD 001,1,0.03,1.0,2,0.0
1.21,Manhattan CD 009,558,19.93,34.0,96,1.5
,Brooklyn CD 010,1,0.06,,1,0.0
0.07,Queens CD 006,216,7.71,2.0,207,0.39
2.6,Queens CD 004,76,2.71,73.0,43,0.0
0.1,Brooklyn CD 008,3,0.1,3.0,0,0.03
0.0,Manhattan CD 005,0,0.0,0.0,0,0.0
,Brooklyn CD 005,14,0.86,,2,0.06
0.03,Richmond CD 002,2,0.07,1.0,2,0.0
0.5,Brooklyn CD 015,568,20.28,14.0,353,0.82
,Brooklyn CD 005,1243,77.04,,68,3.47
1.0,Brooklyn CD 005,29,1.03,28.0,2,0.0
0.07,Brooklyn CD 018,2,0.07,2.0,0,0.0
,Bronx CD 007,16,0.99,,3,0.06
,Brooklyn CD 002,2,0.12,,0,0.0
