school_name,parent_safety_and_respect,teacher_communication_score,teacher_horizon_academic,safety_and_respect_score,communication_score,parent_academic_expectations,teacher_safety_and_respect,student_academic_expectations,parent_horizon_communication
P.S. 003 The Margaret Gioiosa School,8.9,8.1,0.78,8.7,8.0,8.3,8.6,,0.68
P.S. 161 Pedro Albizu Campos,9.1,7.2,0.68,8.1,7.5,8.5,7.9,8.4,0.85
Fannie Lou Hamer Freedom High School,8.8,8.1,0.84,7.9,7.5,8.2,8.0,7.4,0.91
P.S. 046 Arthur Tappan,8.7,7.8,0.68,7.9,7.6,8.5,7.8,8.4,0.74
P.S. 133 Fred R Moore,8.7,7.4,0.56,7.4,7.0,7.9,7.2,7.7,0.57
Franklin Delano Roosevelt High School,7.5,7.0,0.61,7.0,6.2,7.1,6.9,6.9,0.32
"High School for Arts, Imagination and Inquiry",7.8,4.2,0.32,6.6,5.5,7.2,6.0,6.9,0.5
High School of American Studies at Lehman College,9.1,7.3,0.97,8.5,7.2,8.7,8.5,8.3,0.77
P.S. 137 John L. Bernstein,8.6,6.9,0.54,7.9,7.5,8.1,7.1,,0.74
P.S. /I.S. 384 Frances E. Carter,8.6,6.4,0.58,7.8,7.0,8.1,6.9,8.3,0.67
Richard R. Green High School of Teaching,8.4,6.0,0.58,7.6,6.2,7.4,7.3,7.3,0.56
Upper School @ P.S. 25,7.8,5.7,0.36,6.7,6.1,7.4,6.1,7.2,0.46
Frances Perkins Academy,8.0,6.4,0.48,6.4,6.6,7.2,5.0,6.5,0.84
Abraham Lincoln YABC,7.6,8.7,0.95,8.0,6.9,6.5,8.8,7.1,0.23
P.S. 101 Andrew Draper,8.2,6.6,0.63,7.0,6.8,7.4,6.8,7.2,0.67
High School for Law Enforcement and Public Safety,7.3,7.0,0.65,6.6,6.3,7.3,6.9,6.5,0.53
J.H.S. 014 Shell Bank,8.0,7.7,0.75,7.0,6.9,7.9,6.7,7.3,0.67
John V. Lindsay Wildcat Academy Charter School,9.2,7.6,0.76,8.4,7.5,8.4,8.0,8.0,0.64
Boys and Girls High School,7.5,8.1,0.76,6.7,6.6,7.5,6.9,6.8,0.32
M.S. 390,8.7,6.6,0.61,7.4,7.2,8.2,6.5,,0.89
Automotive High School,7.0,6.1,0.56,6.1,6.3,7.6,6.0,6.3,0.7
J.H.S. 022 Jordan L. Mott,8.5,6.9,0.55,7.2,6.7,7.7,6.6,7.1,0.75
P.S./ IS 178 Holliswood,8.8,6.5,0.67,7.9,6.9,7.9,7.3,8.2,0.63
School of Performing Arts,8.0,6.7,0.57,6.9,6.5,7.3,6.4,7.1,0.56
M.S. 321 - Minerva,10.0,6.1,0.63,7.9,7.6,10.0,6.6,7.9,1.0
City College Academy of the Arts,8.9,7.2,0.91,8.3,7.2,8.2,8.5,7.9,0.79
P.S. 042 Benjamin Altman,8.8,6.9,0.71,8.5,7.1,7.6,8.3,,0.3
P.S. 241 Family Academy,9.0,3.9,0.23,6.8,5.6,8.2,5.9,7.2,0.67
I.S. 206 Ann Mersereau,9.2,7.0,0.65,7.7,7.2,9.0,7.3,7.6,1.0
Academy of Business and Community Development,6.8,6.0,0.52,6.0,6.0,6.3,5.9,7.6,0.05
"School of Business, Finance and Entrepreneurship",7.9,6.9,0.63,6.8,6.7,7.7,6.7,7.3,0.56
P.S. 002 Meyer London,8.7,6.2,0.56,7.9,6.8,7.3,7.2,,0.36
"Queens High School of Teaching, Liberal Arts and the Sciences",8.1,6.8,0.54,6.9,6.5,7.2,6.2,6.8,0.46
Knowledge and Power Preparatory Academy VII Middle School,8.5,5.6,0.31,6.4,6.2,7.9,5.3,7.1,0.75
P.S. 036 Unionport,9.0,7.1,0.68,8.3,7.6,8.6,7.6,,0.79
Ronald Edmonds Learning Center II,8.0,8.3,0.75,8.1,7.4,7.3,8.5,,0.42
P.S. 096 Joseph Lanzetta,7.1,4.0,0.18,5.9,5.1,6.7,4.9,7.0,0.0
P.S./I.S. 104 The Fort Hamilton School,8.2,7.6,0.84,7.9,7.3,7.7,8.2,8.4,0.37
Bronx International High School,8.7,6.6,0.71,7.8,7.0,8.2,7.6,7.6,0.87
The Forward School,7.6,5.8,0.4,6.7,6.2,7.5,6.8,7.1,0.56
Lafayette High School,8.6,7.0,0.71,7.8,6.7,7.6,8.0,7.0,0.73
M.S. 246 Walt Whitman,8.3,6.0,0.55,7.0,6.6,8.0,6.7,7.4,0.75
Medgar Evers College Preparatory School,8.0,7.0,0.67,7.3,6.4,7.9,8.0,7.2,0.44
Bronx High School for Law and Community Service,8.6,5.2,0.43,6.8,6.4,8.6,5.7,7.0,1.0
W.E.B. Dubois Academic High School,8.5,7.9,0.73,7.5,6.9,7.8,7.2,7.1,0.39
P.S./ I.S. 155 Nicholas Herkimer,7.3,7.6,0.81,7.0,6.9,7.1,7.6,7.6,0.41
Tompkins Square Middle School,8.8,8.3,0.99,8.3,7.6,8.4,8.8,7.6,0.89
P.S. 180 Hugo Newman,9.1,7.8,0.79,8.3,7.6,8.6,7.9,7.6,1.0
High School of Applied Communication,8.0,7.7,0.82,7.5,6.7,7.2,8.3,6.4,0.5
Dr. Susan S. McKinney Secondary School of the Arts,8.1,5.3,0.39,7.3,6.1,7.1,6.9,7.7,0.37
Automotive YABC,6.2,7.3,0.18,7.6,6.9,6.7,8.1,8.1,0.54
Lower Manhattan Arts Academy,8.2,7.4,0.74,7.4,6.9,7.7,7.4,7.3,0.67
Academy for College Preparation and Career Exploration: A College Board School,7.2,4.4,0.12,5.8,5.5,7.0,5.0,6.5,0.48
East Side Middle School,8.7,7.9,0.99,8.7,7.5,8.4,9.3,8.1,0.56
Pan American International High School,8.7,7.3,0.84,7.9,7.4,8.2,7.6,7.5,1.0
P.S. 154 Harriet Tubman,8.4,7.4,0.54,7.8,7.4,7.8,7.3,,0.47
P.S. 161 The Crown,8.1,6.4,0.46,6.9,6.4,7.9,6.7,7.6,0.5
Bronx Early College Academy for Teaching & Learning,9.1,7.2,0.63,8.0,7.1,8.4,8.2,7.4,0.89
Urban Assembly School for the Performing Arts,8.2,5.8,0.45,7.1,6.3,7.7,7.0,6.9,0.63
P.S. / M.S. 114 Belle Harbor,8.6,6.3,0.63,7.8,6.7,8.2,8.2,7.7,0.59
Park East High School,8.5,6.8,0.65,7.6,6.9,8.1,7.3,7.4,0.8
Metropolitan Corporate Academy High School,7.6,6.6,0.61,7.0,6.1,6.8,7.3,7.0,0.22
I.S. 73 - The Frank Sansivieri Intermediate School,7.8,3.8,0.19,6.6,5.4,7.4,5.8,7.1,0.38
P.S. 019 Judith K. Weiss,8.5,8.6,1.0,8.1,7.4,8.2,8.4,8.1,0.54
Future Leaders Institute Charter School,8.8,5.7,0.46,7.5,6.6,8.0,6.7,7.6,0.85
St. HOPE Leadership Academy Charter School,8.5,6.6,0.29,6.8,6.9,8.1,5.4,7.2,0.78
P.S. 043,8.1,6.4,0.53,6.7,6.7,8.2,6.0,7.5,0.67
Gregorio Luperon High School for Science and Mathematics,9.2,6.0,0.67,8.7,6.9,8.4,8.5,8.2,0.97
South Bronx Academy for Applied Media,8.6,7.8,0.75,7.7,7.3,8.2,8.2,7.4,0.78
John Bowne High School,8.3,6.2,0.5,7.1,6.4,8.1,6.6,6.9,0.73
P.S./I.S. 323,8.0,6.8,0.58,7.1,6.8,7.9,6.8,7.8,0.5
Brooklyn High School of the Arts,8.2,7.1,0.69,7.5,6.4,6.9,7.7,7.3,0.29
Bronx Prep Charter School,8.6,6.4,0.63,7.5,6.8,8.1,7.2,7.5,0.79
Flushing YABC,6.6,7.4,0.57,7.5,6.7,8.2,8.3,7.5,0.65
Bronx Dance Academy School,8.5,3.7,0.34,7.1,5.6,7.9,6.8,7.2,0.56
Lyons Community School,8.3,8.1,0.91,7.7,7.3,7.8,8.0,7.2,0.76
J.H.S. 227 Edward B. Shallow,7.9,5.6,0.42,7.0,5.8,7.1,6.7,6.9,0.38
P.S. 124 Yung Wing,8.7,6.8,0.66,8.4,7.1,7.5,8.1,,0.36
P.S. 146 Howard Beach,8.4,7.8,0.81,7.9,7.2,7.8,8.4,7.6,0.54
Frederick Douglass Academy VII High School,7.8,6.5,0.63,6.9,6.5,7.6,6.8,7.4,0.63
P.S. 199 Jessie Isador Straus,8.8,7.5,0.86,8.5,7.4,8.3,8.8,7.9,0.72
P.S. 108 Assemblyman Angelo Del Toro Educational Complex,8.8,7.1,0.74,8.0,7.2,8.3,7.8,8.1,0.72
"NYC Charter High School For Architecture, Engineering And Construction Industries",8.0,8.2,0.89,6.9,6.7,6.3,7.5,6.2,0.46
Queens School of Inquiry,8.4,8.1,0.93,7.9,7.5,8.1,8.4,7.8,0.72
Satellite East Middle School,8.2,7.1,0.69,7.4,7.0,7.9,7.2,7.8,0.6
P.S. 040 Augustus Saint-Gaudens,8.8,7.4,0.75,8.6,7.6,8.2,8.4,,0.63
High School for Arts & Business YABC,7.6,7.2,0.46,7.9,6.5,6.4,8.4,7.1,0.54
Metropolitan Diploma Plus High School,7.8,5.1,0.26,6.9,6.2,7.9,6.1,7.2,0.43
J.H.S. 157 Stephen A. Halsey,7.9,6.4,0.55,7.2,6.3,7.2,7.2,7.3,0.38
W. H. Maxwell Career and Technical Education High School,7.1,7.0,0.69,6.4,6.5,7.3,6.7,6.7,0.39
Harriet Tubman Charter School,8.5,6.5,0.44,7.4,6.7,7.9,7.2,7.5,0.54
Academy of Applied Mathematics and Technology,8.6,7.8,0.88,8.2,7.4,8.2,8.4,7.9,0.82
Frederick Douglass Academy VI High School,8.2,6.4,0.45,6.7,6.5,8.0,5.9,7.4,0.73
I.S. R002 George L. Egbert,7.6,6.9,0.65,6.8,6.3,7.2,7.2,6.9,0.38
P.S. 156 Laurelton,8.1,5.8,0.49,6.7,6.2,7.5,5.9,7.4,0.37
Astor Collegiate Academy,7.7,8.3,0.76,7.1,7.2,7.9,7.0,7.2,0.7
Chelsea Career and Technical Education High School,8.0,5.6,0.41,6.5,6.1,7.7,5.7,6.6,0.67
P.S. 003 Charrette School,8.7,8.1,0.78,8.6,8.3,8.6,8.4,,1.0
Academy of Collaborative Education,5.3,2.9,0.0,4.4,4.1,4.9,4.0,5.8,0.0
P.S. 174 Dumont,8.0,6.0,0.51,6.8,6.5,7.6,6.7,7.1,0.54
"Technology, Arts, and Sciences Studio",8.0,7.5,0.69,7.1,7.0,7.6,7.2,7.2,0.6
P.S. 197 John B. Russwurm,8.2,7.9,0.75,7.7,7.3,8.1,8.1,7.7,0.63
Washington Irving High School,6.9,6.6,0.58,6.3,6.5,7.6,6.3,6.7,0.67
Bronx High School for the Visual Arts,8.5,5.7,0.45,7.4,6.1,7.5,7.1,6.5,0.7
High School for Public Service: Heroes of Tomorrow,8.5,6.4,0.71,7.8,6.7,8.4,7.8,7.8,0.77
Expeditionary Learning School for Community Leaders,8.7,8.1,0.84,7.7,7.3,7.9,7.8,7.2,0.84
"Enterprise, Business and Technology High School",7.6,5.7,0.48,6.7,6.1,7.3,6.5,7.0,0.53
Tito Puente Education Complex,8.4,6.8,0.57,7.4,6.7,8.1,7.0,7.1,0.75
P.S. 084 Steinway,8.6,5.7,0.42,8.1,6.8,7.7,7.7,8.2,0.5
P.S. 030 Wilton,8.9,7.2,0.56,8.2,7.7,8.4,7.4,,0.9
P.S. / I.S. 266,8.7,7.9,0.91,7.9,7.0,7.9,8.0,7.6,0.59
Mott Hall High School,7.5,3.4,0.13,6.5,5.2,7.0,5.6,7.1,0.29
P.S. 007 Samuel Stern,8.6,6.5,0.63,7.5,6.8,8.1,7.2,7.4,0.59
The Uft Charter School,8.7,7.4,0.67,7.4,7.1,8.2,7.3,7.2,0.85
J.H.S. 057 Whitelaw Reid,8.8,7.9,0.88,8.1,7.8,8.7,7.8,8.2,1.0
Hamilton Heights School,8.8,6.3,0.49,8.4,7.2,8.1,8.0,,0.79
Bronx Haven High School,8.3,7.3,0.73,8.0,7.4,8.2,7.7,8.3,0.56
John Ericsson Middle School 126,8.1,6.1,0.5,6.5,6.3,7.6,5.8,6.7,0.67
Queens Collegiate: A College Board School,8.8,7.4,0.74,7.6,7.4,8.9,7.0,7.5,1.0
Jacqueline Kennedy Onassis High School,7.9,5.5,0.41,6.6,5.9,7.3,5.8,6.7,0.5
P.S. 065 Mother Hale Academy,8.2,5.3,0.3,7.0,6.3,7.5,5.8,,0.41
Manhattan Theatre Lab High School,7.6,5.7,0.43,6.8,6.0,7.1,6.4,7.1,0.39
P.S. 083 Donald Hertz,8.6,7.3,0.7,7.7,7.1,8.3,7.3,7.8,0.63
P.S. 126 Jacob August Riis,8.3,3.8,0.21,7.2,5.1,7.5,6.4,,0.28
Secondary School for Journalism,7.4,5.9,0.54,6.7,6.2,7.5,6.8,7.0,0.55
Repertory Company High School for Theatre Arts,8.6,6.8,0.58,7.4,6.8,8.0,7.2,7.0,0.8
I.S. 30 Mary White Ovington,8.6,7.5,0.78,7.9,6.9,7.6,8.2,7.4,0.64
Bushwick Leaders High School for Academic Excellence,8.2,5.8,0.5,6.9,6.3,8.0,6.5,6.7,0.8
Robert F. Kennedy Community High School,8.1,8.4,0.8,7.8,7.0,7.2,8.2,7.0,0.5
J.H.S. 088 Peter Rouget,8.2,6.0,0.59,7.0,6.4,7.9,6.6,7.5,0.64
Brooklyn Secondary School for Collaborative Studies,8.6,6.1,0.48,7.6,6.8,7.9,7.2,7.8,0.79
P.S. 328 Phyllis Wheatley,8.0,5.1,0.35,6.7,6.5,7.7,5.2,7.9,0.63
I.S. 281 Joseph B Cavallaro,8.3,7.4,0.69,7.7,6.7,7.6,7.8,7.4,0.53
South Shore Educational Complex YABC,6.7,7.9,0.4,7.6,6.8,6.4,8.0,7.7,0.41
I.S. 318 Eugenio Maria De Hostos,8.8,7.9,0.84,8.5,7.4,8.3,8.7,8.6,0.78
High School of Graphic Communication Arts,6.8,7.3,0.69,6.5,6.4,6.9,7.1,6.4,0.39
Kappa V,8.5,6.8,0.52,7.4,6.6,7.9,7.4,7.5,0.67
Information Technology High School,7.8,6.1,0.65,7.3,6.1,7.1,7.8,6.8,0.46
Bread & Roses Integrated Arts High School,7.7,6.4,0.67,7.1,6.1,7.0,7.3,7.0,0.36
Neighborhood School,8.7,7.1,0.71,8.5,7.5,8.0,8.3,,0.74
Brooklyn School for Music & Theatre,8.0,6.8,0.67,7.1,6.6,7.7,7.1,7.3,0.67
Academy for Conservation and the Environment,7.6,5.9,0.5,6.9,7.1,8.2,6.6,7.0,1.0
Discovery High School,7.4,4.9,0.43,6.2,5.8,7.4,5.3,6.5,0.53
P.S. 121 Nelson A. Rockefeller,9.3,7.0,0.77,8.4,7.4,8.9,8.6,8.5,1.0
I.S. 034 Tottenville,8.5,8.8,1.0,8.4,7.3,7.9,9.4,7.9,0.56
Tag Young Scholars,8.6,6.1,0.63,7.7,6.9,8.6,7.5,8.0,0.67
The Gordon Parks School,8.7,7.6,0.7,7.4,6.8,7.7,7.4,7.5,0.59
Beacon High School,8.5,6.2,0.67,8.0,6.9,8.2,7.8,7.9,0.7
ACORN Community High School,7.5,4.5,0.3,6.1,5.6,7.2,5.4,6.7,0.56
Susan E. Wagner High School,6.8,6.8,0.61,6.4,6.0,7.0,6.5,6.7,0.26
"M.S. 267 Math, Science & Technology",8.3,7.0,0.59,6.7,6.8,8.2,6.1,6.9,0.82
World Journalism Preparatory: A College Board School,8.9,7.3,0.67,7.9,7.2,7.9,7.9,7.3,0.79
PS/MS 194,8.7,6.8,0.65,7.7,6.9,8.2,7.1,7.8,0.67
I.S. 171 Abraham Lincoln,7.7,7.3,0.75,7.2,6.9,7.8,7.8,7.6,0.53
Forest Hills High School,7.7,6.8,0.58,7.0,6.2,7.1,6.9,6.9,0.29
Frederick Douglass Academy V. Middle School,8.4,7.8,0.86,7.9,7.3,8.2,8.1,7.8,0.75
J.H.S. 189 Daniel Carter Beard,8.2,7.6,0.82,7.7,6.7,7.6,8.2,7.3,0.53
I.S. M286 Renaissance Military Leadership Academy,8.8,7.4,0.65,7.7,7.3,8.5,6.8,8.1,0.85
Frederick Douglass Academy II Secondary School,8.0,5.1,0.25,6.6,6.1,7.6,5.7,7.4,0.69
John Adams High School,7.0,6.7,0.63,6.6,6.1,7.2,7.0,6.5,0.36
I.S. 027 Anning S. Prall,7.8,7.5,0.8,7.2,6.7,7.5,7.5,7.2,0.46
El Puente Academy for Peace and Justice,9.0,7.7,0.91,8.4,7.4,8.2,8.3,8.0,0.84
Bronx High School of Business,7.0,5.8,0.41,6.3,5.9,6.4,6.1,6.5,0.39
"Archimedes Academy for Math, Science and Technology Applications",8.3,5.2,0.25,6.8,6.1,7.5,6.1,7.0,0.53
Aspirations Diploma Plus High School,9.1,4.2,0.04,6.7,6.3,8.7,4.7,6.7,0.84
M.S. 319 - Maria Teresa,9.1,7.7,0.82,8.4,8.1,8.7,8.0,8.7,1.0
P.S. 3 Raul Julia Micro Society,8.9,6.3,0.63,7.6,6.9,8.4,7.0,7.7,0.85
P.S. 327 Dr. Rose B. English,8.1,6.9,0.65,6.7,6.9,8.2,6.7,7.4,0.59
"Business, Computer Applications & Entrepreneurship High School",6.1,6.5,0.41,5.7,5.7,5.9,5.7,6.5,0.09
P.S./M.S. 029 Melrose School,8.3,6.4,0.49,6.8,6.5,8.1,6.2,7.1,0.59
Williamsburg Preparatory School,8.7,7.2,0.82,8.0,7.3,8.3,8.2,7.9,0.94
Democracy Prep Charter School,9.2,8.7,0.9,8.8,8.2,9.2,9.1,8.7,1.0
P.S. 202 Ernest S. Jenkyns,8.1,7.2,0.77,7.3,6.9,8.2,7.5,7.5,0.63
Academy for Careers in Television and Film,9.1,9.1,1.0,8.4,8.3,8.9,8.5,7.8,1.0
P.S. 188 The Island School,8.0,4.9,0.39,6.6,5.6,8.0,5.7,6.7,0.28
M.S. 399,7.8,6.2,0.44,6.6,6.4,7.5,6.0,7.1,0.6
P.S. 154 Jonathan D. Hyatt,7.8,3.4,0.0,6.5,5.4,7.9,5.2,,0.41
Columbia Secondary School,8.7,6.4,0.8,8.2,7.1,8.8,8.2,8.6,0.85
Urban Assembly School of Business for Young Women,7.7,7.0,0.78,7.5,6.7,7.0,7.9,7.5,0.39
P.S. 075,8.8,7.1,0.54,7.8,7.6,8.4,6.8,,0.85
Herbert Lehman YABC,6.7,8.7,1.0,7.6,7.1,7.1,8.5,8.1,0.44
I.S. 313 School of Leadership Development,8.3,7.6,0.63,7.4,7.1,8.0,7.0,7.7,0.67
East New York Family Academy,8.6,6.5,0.59,7.7,6.6,7.8,7.7,7.4,0.58
Kappa III,9.0,7.3,0.82,8.3,7.4,8.8,8.1,8.2,1.0
I.S. 528 Bea Fuller Rodgers School,8.7,6.5,0.55,7.6,6.7,8.0,7.1,7.6,0.75
PS/IS 268,8.5,5.8,0.56,7.7,6.3,7.9,7.6,7.2,0.59
P.S. 001 Alfred E. Smith,8.6,3.3,0.23,6.9,5.3,7.5,5.2,,0.3
Civic Leadership Academy,9.3,5.4,0.39,7.7,6.6,8.6,7.2,7.0,1.0
P.S. 064 Robert Simon,8.8,8.8,0.97,9.0,8.3,8.3,9.2,,0.63
DeWitt Clinton High School,7.8,7.1,0.65,6.8,6.8,8.0,6.4,7.3,0.7
Pathways College Preparatory School: A College Board School,7.6,6.9,0.59,6.7,6.8,7.4,6.4,7.4,0.62
J.H.S. 292 Margaret S. Douglas,7.8,7.2,0.63,6.7,6.5,7.5,6.6,7.3,0.46
P.S. 102 Jacques Cartier,8.8,7.8,0.73,8.3,8.0,8.4,7.8,,0.79
J.H.S. 049 William J. Gaynor,8.3,5.6,0.29,6.8,6.4,8.3,5.9,7.1,0.82
M.S. 326 - Writers Today & Leaders Tomorrow,9.7,5.3,0.48,7.8,7.3,9.3,6.1,8.5,1.0
Monroe Academy for Visual Arts & Design,7.2,6.3,0.63,6.5,6.1,7.2,6.6,6.6,0.39
I.S. 051 Edwin Markham,7.6,7.1,0.69,6.8,6.5,7.4,7.0,7.3,0.42
Jonas Bronck Academy,9.1,6.3,0.57,8.0,6.9,8.3,7.5,8.0,0.82
Fiorello H. LaGuardia High School of Music & Art and Performing Arts,8.2,5.4,0.5,7.6,5.9,7.6,7.4,7.4,0.43
I.S. 339,8.4,6.0,0.61,6.9,6.4,8.2,5.9,7.3,0.71
I.S. 119 The Glendale,8.0,5.9,0.55,6.8,6.3,7.6,6.4,7.4,0.38
Middle School 322,8.8,4.4,0.36,7.2,6.2,8.3,6.4,7.3,0.89
Queens Preparatory Academy,7.8,5.2,0.32,6.8,6.0,7.5,6.3,7.2,0.43
P.S. 184 Newport,8.8,5.1,0.23,6.7,6.4,8.0,5.6,7.6,0.85
Edward A. Reynolds West Side High School,9.2,6.2,0.51,8.4,6.7,8.8,8.4,7.7,0.64
Adlai Stevenson YABC,5.2,7.9,0.67,7.2,6.3,6.2,8.4,7.7,0.05
J.H.S. 118 William W. Niles,8.6,5.4,0.4,7.3,6.4,8.4,6.4,7.8,0.71
P.S./I.S. 217 Roosevelt Island,8.1,6.2,0.7,7.5,6.4,7.7,7.6,7.5,0.54
Mark Twain I.S. 239 for the Gifted & Talented,8.8,8.1,0.9,8.5,7.2,8.2,9.0,7.9,0.67
Food and Finance High School,6.7,5.8,0.45,6.2,5.7,6.7,6.1,6.9,0.15
