principal,school_type
Daisy Fontanez,Middle/ High School
Alan Nolan,Transfer School
Carmen Toledo,Elementary School
Adaleza Michelena,High School
Emily Becker,Middle School
Robert Zweig,YABC
Marta Colon,High School
Liliana Polo,Transfer School
Maureen Goldfarb,High School
Angelo Marra,YABC
Sana Nasser,High School
Matthew P. Melchiorre,Elementary/ Middle School
Lynn Passarella,Middle/ High School
John Piazza,Middle School
Larry Woodbridge,Middle/ High School
Laura Mastrogiovanni,Middle School
Roberto Hernandez,YABC
Pedro Santana,Middle School
Rafaela Landin,Elementary School
Ramon Namnum,High School
Lowell Coleman,Elementary/ Middle School
Diane Varano,High School
Norma Caraballo,Elementary School
Margaret Choy-Shan,Elementary School
Sandra Maldonado,Middle/ High School
Lynnette Delgado,High School
Miriam Pedraja,Elementary/ Middle School
Estelle Hans,High School
Nilda Gomez-Katz,High School
Reginald Landeau,Middle School
John P. Tuminaro,YABC
Sharon Jeffrey Roebuck,Elementary School
Rebecca Marshall,Elementary/ Middle School
Betty Gonzalez-Soto,Elementary/ Middle School
Janet Gallardo,High School
Peter Dalton,Middle School
Keith Ryan,Middle/ High School
Karen Maldonado,Middle/ High School
Sam Decker,High School
Bennett Lieberman,High School
Kelly Shannon,Elementary School
Anne Marie Iannizzi,Middle School
Claudette Murray,Elementary/ Middle School
Zenobia White,Middle/ High School
Liza Diaz,Elementary/ Middle School
Santosha Troutman,Middle School
Ivelisse Alvarez,Elementary School
Joseph Costa,Middle School
Felice Lepore,High School
Yvonne Leimsider,Middle School
Brian Walsh,Middle School
Crystal Taylor Brown,Middle School
Ethan Mitnick,High School
Julie Johnson,Elementary/ Middle School
Gill Cornell,High School
Roxanne Cardona,Elementary School
Michele Robinson,Middle School
Frances Locurcio,Elementary/ Middle School
Marina Vinitskaya,High School
Dorald Bastian,Middle School
Beshir Abdellatif,High School
Louis Delgado,High School
Serapha Cruz,Middle School
Jorge Perdomo,Elementary School
Jorisis Stupart,Middle School
Sean Dunning,Middle School
Robert O'Brien,Elementary School
Stacy Paige Goldstein,Middle/ High School
Denise Simone,High School
Lorraine Chanon,Middle School
Joan Sullivan,Middle/ High School
Sheri Warren,Middle School
Luis Tejada,Middle School
Megan Adams,Middle School
Mona Silfen,Elementary School
Casimiro Cibelli,Middle School
Kabeya Mbuyi,YABC
Maxine Nodel,High School
Ira C. Weston,High School
Denise Talley,Elementary/ Middle School
Frances Castillo,Elementary School
Laura Peynado,Middle School
Gary Beidleman,High School
Livingstone Hilaire,High School
Debra Van Nostrand,Middle School
Marlon Bynum,High School
Zeynep Ozkan,High School
Mary Anne Sacco,Elementary School
Jason Kovac,Elementary School
Lashawn Robinson,Transfer School
Martha Polin,Transfer School
Kaia Mashariki,High School
Phyllis Tam,Middle School
Joel Rubenfeld,Elementary/ Middle School
Virginia Pepe,Elementary School
Dominic Zagami,Elementary/ Middle School
Maritza Rodriguez,Elementary School
Wayne Cox,High School
Rashid F. Davis,High School
Berena Cabarcas,High School
David Cintron,Elementary/ Middle School
Mary Padilla,Elementary School
Mirza Sanchez Medina,High School
Lillian Raimundi Ortiz,Elementary School
Renata Clement,Elementary/ Middle School
Joelle Mcken,Elementary/ Middle School
Karen Bailey,Elementary School
Antoniette Scarpinato,Transfer School
Rodney Fisher,Middle/ High School
Tammy Smith,Middle/ High School
Cynthia Arndt,Middle School
John Treadwell,Middle School
Lottie Almonte,High School
John Curry,Middle School
Patrick Kelly,Middle School
David Tinagero,High School
Eric L. Blake,Middle/ High School
Margie Baker,Middle School
Cynthia Chory,Elementary/ Middle School
Mark D. Clarke,Middle School
Dr. Eloise Messineo,YABC
Bernard Ascona,YABC
Joseph Gates,Middle School
Lisa Ripperger,Elementary School
