construction_permit_id,permit_start_date,mass_mailing_1_received_date,final_acceptance_letter_date,primary_scope_of_work,latest_inspection_site_visit,punchlist_generated,latest_permit_extension_amendment_request_date,preliminary_public_design_commission_approval,project_received_date,project_id_number_op
Q084A.20161024,2016-11-01T00:00:00.000,,2020-08-07T00:00:00.000,Environmental Improvement/Remediation,2019-05-09T00:00:00.000,2019-05-02T00:00:00.000,2018-03-06T00:00:00.000,,2012-01-28T00:00:00.000,DRG-FB
,,,,"Utility (gas, electric, telephone)",,,,,2018-03-27T00:00:00.000,
,,,,Roadway Reconstruction,,,,,2016-03-29T00:00:00.000,HWQ1187/SAND1187/SEQ200595/QED1043
Q004.20190909,,,,Sewer/Water Main,,,,,2019-07-17T00:00:00.000,SECBRQX01
,2017-07-05T00:00:00.000,,,"Utility (gas, electric, telephone)",,,2017-08-29T00:00:00.000,,2017-08-14T00:00:00.000,
,,,,Sewer/Water Main,,,,,2018-03-26T00:00:00.000,SEQ002709
M073.20180727,2018-08-20T00:00:00.000,,,Public Building,2018-11-14T00:00:00.000,,2018-09-19T00:00:00.000,,2018-07-20T00:00:00.000,
BZ08.E.20171030,2017-11-17T00:00:00.000,,,"Utility (gas, electric, telephone)",,,2017-11-27T00:00:00.000,,2017-09-06T00:00:00.000,
CNYG.20171020,2017-10-27T00:00:00.000,,,Bridge Reconstruction (Major),,,2021-01-04T00:00:00.000,,2014-03-18T00:00:00.000,HH-89
,,,,Roadway Reconstruction,,,,,2017-09-01T00:00:00.000,HWR00512
,,,,Bridge Component Rehabilitation,,,,,2018-09-06T00:00:00.000,X731.47 D900041
CNYG-5-16NF,,,,,,,,,2016-06-08T00:00:00.000,
X002.20160907,2016-09-07T00:00:00.000,,,Bridge Component Rehabilitation,,,,,2016-05-06T00:00:00.000,HBCR01B
XZ254.20161215,2016-12-15T00:00:00.000,,,Retaining Wall/Seawall,,,2017-12-05T00:00:00.000,,2011-09-15T00:00:00.000,RWX020
,,2016-11-23T00:00:00.000,,Sewer/Water Plant,,,,,2016-10-06T00:00:00.000,NR-44; WP-164
M105.20170322,2017-06-12T00:00:00.000,,,,,,,,2017-02-24T00:00:00.000,PW348-61
Q099.20160804,2016-08-05T00:00:00.000,,,,,,,,2016-07-27T00:00:00.000,
,,2018-12-05T00:00:00.000,,Sewer/Water Main,,,,,2018-12-05T00:00:00.000,SE860
,,,,Sewer/Water Main,,,,,2020-03-18T00:00:00.000,SEC20004V
CNYG.20180709,2018-09-12T00:00:00.000,,,Bridge Component Rehabilitation,,,2019-12-24T00:00:00.000,,2018-07-06T00:00:00.000,VNM 386/389
M053.20180914; M053.20200908,2018-09-18T00:00:00.000,,,Public Building,,,2020-09-02T00:00:00.000,,2018-08-01T00:00:00.000,
B266.20170519,2017-05-29T00:00:00.000,,,Private Development,,,,,2017-05-03T00:00:00.000,
X002.20210217,2021-02-22T00:00:00.000,,,"Utility (gas, electric, telephone)",,,,,2021-02-01T00:00:00.000,X002
,,,,Park Improvement/New Park,,,,,2018-08-22T00:00:00.000,
Q402.20190913,2019-10-07T00:00:00.000,,,Park Improvement/New Park,,,,,2017-04-20T00:00:00.000,
Q099.20190419,2019-04-23T00:00:00.000,,,Bridge Component Rehabilitation,,,,,2018-12-21T00:00:00.000,XM19.21 D263839
,,,,Resiliency,,,,,2017-06-23T00:00:00.000,GK26W4-01 & GK26W5-04 Stage 1 Package 1
B169.20180129,2018-02-08T00:00:00.000,,,Park Improvement/New Park,,,2019-12-12T00:00:00.000,,2018-01-02T00:00:00.000,
Q099.20170106,2017-01-07T00:00:00.000,,,,,,,,2016-12-20T00:00:00.000,
QG.20200602,2020-06-22T00:00:00.000,,,Environmental Improvement/Remediation,,,2020-06-12T00:00:00.000,,2018-02-06T00:00:00.000,GCTI10-1A
,,,,Sewer/Water Main,,,,,2014-08-26T00:00:00.000,SE807
CNYG.20200123,2020-01-31T00:00:00.000,,,,,,,,2020-01-27T00:00:00.000,
MZ269.20200818,2020-08-18T00:00:00.000,,,Sewer/Water Main,,,,,2015-09-21T00:00:00.000,MED630
,,,,Parkway/Arterial Improvement,,,,,2018-09-24T00:00:00.000,XM16.49 D263361
Q410.20180220,2018-02-26T00:00:00.000,,2018-06-27T00:00:00.000,Sewer/Water Plant,2018-06-21T00:00:00.000,,2018-05-06T00:00:00.000,,2015-12-04T00:00:00.000,JO 14-CN00-WADEE-005.00 (N-34AY)
Q220F.20171031,2017-11-13T00:00:00.000,,,Parkway/Arterial Improvement,2017-04-19T00:00:00.000,2017-04-19T00:00:00.000,,,2008-04-01T00:00:00.000,X735.56 D261344 HCP13362
XZ323.20180504,2018-05-07T00:00:00.000,,,Sewer/Water Main,,,,,2017-04-05T00:00:00.000,HEDA002
CNYG.20190418,2019-04-22T00:00:00.000,,,Bridge Component Rehabilitation,,,,,2019-01-04T00:00:00.000,RK-07
R-12-16NF,2016-09-28T00:00:00.000,,,Sewer/Water Main,,,2020-09-16T00:00:00.000,,2010-11-12T00:00:00.000,SE798
R076.20190507,,,,Park Improvement/New Park,,,,,2019-04-11T00:00:00.000,
Q437.20190620,2019-07-30T00:00:00.000,,,Park Improvement/New Park,,,,,2019-06-10T00:00:00.000,
Q415.20171227,2018-01-08T00:00:00.000,,,,,,2018-07-17T00:00:00.000,,2014-04-07T00:00:00.000,
M360.20180727,2018-07-30T00:00:00.000,,,Private Development,,,2019-04-08T00:00:00.000,,2018-07-05T00:00:00.000,M360
Q001.20200729,2020-07-31T00:00:00.000,,,"Utility (gas, electric, telephone)",,,,,2020-07-29T00:00:00.000,
,,,,Sewer/Water Main,,,,,2018-04-02T00:00:00.000,JOC-17-EG JO# 18-2600 WDFGE-003
,,,,Bicycle Improvement,,,,,2016-12-07T00:00:00.000,HWK1048C
,,2018-06-18T00:00:00.000,,Sewer/Water Main,,,,,2018-06-18T00:00:00.000,SER200255
XG.20180607,2018-08-01T00:00:00.000,2018-01-19T00:00:00.000,2019-02-07T00:00:00.000,New Roadway/Road Extension,2019-12-05T00:00:00.000,2019-12-05T00:00:00.000,,,2017-03-23T00:00:00.000,X731.49 D263747
,,,,Sewer/Water Main,,,,,2019-06-03T00:00:00.000,SE885
,,,,Sewer/Water Main,,,,,2018-08-28T00:00:00.000,TL-16 18-438
,,,,Bridge Component Rehabilitation,,,,,2019-05-29T00:00:00.000,
,,,,Pedestrian Safety,,,,,2019-07-15T00:00:00.000,HWP2020TA
Q020.20180619,2018-06-25T00:00:00.000,,,Park Improvement/New Park,,,,,2018-06-07T00:00:00.000,Q020
M203D.20170324,2017-03-24T00:00:00.000,,,,,,,,2017-03-02T00:00:00.000,
M300.20180720,2018-07-30T00:00:00.000,,,Park Improvement/New Park,,,,,2018-06-11T00:00:00.000,
Q099.20190122,2019-10-01T00:00:00.000,,,Bridge Component Rehabilitation,,,,,2018-11-09T00:00:00.000,XM18.51 D264024
X039.20190501,2019-05-22T00:00:00.000,,,Park Improvement/New Park,,,,,2019-04-22T00:00:00.000,
Q007.20181218,2019-01-02T00:00:00.000,,,Environmental Improvement/Remediation,,,,,2018-12-07T00:00:00.000,
,,,,Public Building,,,2020-12-04T00:00:00.000,,2020-12-04T00:00:00.000,
M235.20180227,2018-04-26T00:00:00.000,,,Private Development,,,,,2018-01-16T00:00:00.000,M235
X039.20200618,2020-06-22T00:00:00.000,,,"Utility (gas, electric, telephone)",,,,,2020-05-12T00:00:00.000,
Q104.20171116,2017-11-20T00:00:00.000,,,"Utility (gas, electric, telephone)",,,,,2017-08-18T00:00:00.000,
M360.20170304,2017-06-01T00:00:00.000,,,,,,,,2016-11-01T00:00:00.000,
,,,,Park Improvement/New Park,,,,,2017-12-11T00:00:00.000,
M077.20190304,2019-03-11T00:00:00.000,,,Park Improvement/New Park,,,,,2019-03-04T00:00:00.000,
M022.20170630,2017-07-06T00:00:00.000,,,"Utility (gas, electric, telephone)",,,,,2017-06-14T00:00:00.000,
B371.20170721,2017-07-24T00:00:00.000,,,Private Development,,,2018-06-15T00:00:00.000,,2017-04-05T00:00:00.000,
R046.20180730,,,,Roadway Reconstruction,,,,,2016-06-16T00:00:00.000,SANDHW14
B055.20190405,2019-04-09T00:00:00.000,,,,,,,,2019-04-04T00:00:00.000,
B-44-13NF,2013-12-07T00:00:00.000,,,,2016-06-05T00:00:00.000,2016-05-05T00:00:00.000,,,2013-09-11T00:00:00.000,BQI 2
B549.20180808,2018-08-17T00:00:00.000,,,Private Development,,,,,2018-06-14T00:00:00.000,B549.20180808
M399.20171115,2017-11-20T00:00:00.000,,,,,,2019-12-03T00:00:00.000,,2017-05-22T00:00:00.000,
,,,,Private Development,,,,,2017-07-06T00:00:00.000,1041
B-35-15NF,2015-09-09T00:00:00.000,,,Major Bridge Reconstruction,,2020-08-25T00:00:00.000,,,2008-05-08T00:00:00.000,HBK1023 X021.52
X-2-16NF,2016-02-26T00:00:00.000,,,Bridge Component Rehabilitation,,,2017-06-26T00:00:00.000,,2014-07-11T00:00:00.000,XM12.51 D262267
B325.20180809,2018-08-13T00:00:00.000,,,Public Building,,,,,2018-07-16T00:00:00.000,
,,,,Pedestrian Safety,,,,,2020-02-27T00:00:00.000,HWP20MXQC
,,,,Parkway/Arterial Improvement,,,,,2017-10-19T00:00:00.000,XM14.45 D263133
M353.20171122,2017-11-27T00:00:00.000,,,Bridge Component Rehabilitation,,,2019-11-26T00:00:00.000,,2017-07-05T00:00:00.000,HBM1172; HBM1173
,,,,Bridge Component Rehabilitation,,,,,2020-05-15T00:00:00.000,D037931 XB20.03
M005.20161116; M005.20191104,2019-11-13T00:00:00.000,,,Retaining Wall/Seawall,,,2020-08-27T00:00:00.000,,2016-09-07T00:00:00.000,
Q348.20191114,2019-11-25T00:00:00.000,,,Public Building,,,2020-01-29T00:00:00.000,,2018-08-13T00:00:00.000,
Q309.20200625,2020-06-29T00:00:00.000,,,Park Improvement/New Park,,,2020-08-24T00:00:00.000,,2020-06-25T00:00:00.000,
B322.20180216,2018-03-09T00:00:00.000,,,,,,,,2017-10-10T00:00:00.000,
CNYG.20170405,2018-03-01T00:00:00.000,2016-09-01T00:00:00.000,,Parkway/Arterial Improvement,,,,,2015-07-01T00:00:00.000,XM13.42 D263552
Q326.20200227,2020-02-28T00:00:00.000,,,Public Building,,,,,2019-12-12T00:00:00.000,
M071.20190214,2019-03-11T00:00:00.000,,,Park Improvement/New Park,,,,,2019-02-11T00:00:00.000,
Q471.20200601,2020-06-01T00:00:00.000,,,Park Improvement/New Park,,,,,2019-11-11T00:00:00.000,
M-45-15NF,,,,"Utility (gas, electric, telephone)",,,2016-11-15T00:00:00.000,,2015-06-03T00:00:00.000,SANDRESM1
,,,,Roadway Reconstruction,,,,,2012-03-06T00:00:00.000,HWQ1184A/SEQ200583
M071.20200519,2020-06-10T00:00:00.000,,,Park Improvement/New Park,,,,,2020-05-18T00:00:00.000,
M144.20190528,2019-06-03T00:00:00.000,,,Resiliency,,,2019-12-01T00:00:00.000,,2019-05-01T00:00:00.000,SANDRESM1
B008.20161202,2016-12-15T00:00:00.000,,,,,,,,2016-07-26T00:00:00.000,PW348-62
,,,,Park Improvement/New Park,,,,,2015-03-30T00:00:00.000,P-1PBSTAR
,,,,Bridge Component Rehabilitation,,,,,2019-02-26T00:00:00.000,X071.54 D263814
,,,,Parkway/Arterial Improvement,,,,,2018-09-10T00:00:00.000,
Q221.20191104,2020-11-05T00:00:00.000,,,Public Building,,,,,2020-10-14T00:00:00.000,
X272 .20210121,2021-01-22T00:00:00.000,,,Private Development,,,,,2021-01-13T00:00:00.000,X272
,,,,"Utility (gas, electric, telephone)",,,,,2018-04-11T00:00:00.000,
XG.20200710,2020-07-13T00:00:00.000,2017-05-19T00:00:00.000,,Roadway Reconstruction,,,,,2015-05-04T00:00:00.000,HWXP136C
M360.20190315,2019-03-15T00:00:00.000,,,Park Improvement/New Park,,,,,2019-03-14T00:00:00.000,
X272.20190122,2019-01-25T00:00:00.000,,,Public Building,,,,,2018-10-30T00:00:00.000,
QZ484.20180423,2018-04-25T00:00:00.000,,,Sewer/Water Main,,,,,2016-05-20T00:00:00.000,SEQ200492
M053.20190603,2019-06-24T00:00:00.000,,,Park Improvement/New Park,,,,,2019-05-31T00:00:00.000,
,,,,Sewer/Water Main,,,,,2015-10-21T00:00:00.000,SER200297
X039.20190304,2019-03-13T00:00:00.000,,,Public Building,,,,,2019-02-22T00:00:00.000,
,,,,Sewer/Water Main,,,,,2015-12-22T00:00:00.000,HWQ976/QED976
,,,,Parkway/Arterial Improvement,,,,,2019-04-18T00:00:00.000,XM18.60 D263918
X101.20170120,2017-01-20T00:00:00.000,,,Bridge Component Rehabilitation,,,2018-08-06T00:00:00.000,,2014-11-20T00:00:00.000,HBX1086
"X118.20200904, X118.20200908",,,,Environmental Improvement/Remediation,,,,,2019-09-13T00:00:00.000,BOP Soundview
RZ183.20170130,2017-02-01T00:00:00.000,,,,,,,,2017-01-19T00:00:00.000,33R07
B315.20180511,2018-05-14T00:00:00.000,,,,,,2019-11-18T00:00:00.000,,2018-02-08T00:00:00.000,
CNYG.20170126,2017-01-30T00:00:00.000,,,,,,2018-12-13T00:00:00.000,,2016-11-22T00:00:00.000,
Q099.20200618,2020-06-22T00:00:00.000,,,,,,,,2020-03-23T00:00:00.000,
CNYG.20190705,2019-10-22T00:00:00.000,,,,,,2021-03-05T00:00:00.000,,2018-01-31T00:00:00.000,P-36700
M033.20180206,2018-03-01T00:00:00.000,,,Park Improvement/New Park,,,,,2018-01-24T00:00:00.000,
Q099.20190325,2019-04-15T00:00:00.000,,,Sewer/Water Main,,,,,2019-03-13T00:00:00.000,
BG.20180301,2018-11-05T00:00:00.000,,,Bridge Component Rehabilitation,,,,,2017-08-29T00:00:00.000,XM16.56 D263750
R116.20200419,2020-04-19T00:00:00.000,,,Emergency Response,,,2020-06-24T00:00:00.000,,2020-04-19T00:00:00.000,
,,,,Sewer/Water Plant,,,,,2018-11-26T00:00:00.000,PS-281
B522.20180507,2018-05-10T00:00:00.000,,,Park Improvement/New Park,,,,,2018-02-16T00:00:00.000,B522
,2019-05-01T00:00:00.000,,,"Utility (gas, electric, telephone)",,,2019-05-20T00:00:00.000,,2019-03-28T00:00:00.000,
M039.20201231,2021-01-06T00:00:00.000,,,Sewer/Water Main,,,,,2020-06-05T00:00:00.000,SEC20004W
M-5-16NF,2016-01-25T00:00:00.000,,2018-07-10T00:00:00.000,Bridge Component Rehabilitation,2018-01-19T00:00:00.000,2018-01-19T00:00:00.000,,,2014-05-02T00:00:00.000,HBM1056
,,,,Roadway Reconstruction,,,,,2014-12-10T00:00:00.000,HWK100BUS
,,,,Sewer/Water Main,,,,,2015-09-04T00:00:00.000,HED553
R-18-15NF,,,,Roadway Reconstruction,,,,,2013-06-27T00:00:00.000,PVC 341-M
M039.20200925,2020-09-28T00:00:00.000,,,,,,,,2020-05-26T00:00:00.000,
B169.20180702,2018-07-02T00:00:00.000,,,Private Development,2020-09-08T00:00:00.000,,2019-12-12T00:00:00.000,,2018-03-24T00:00:00.000,
,,,,Pedestrian Safety,,,,,2020-02-10T00:00:00.000,HWPR20MQX
B192A.20180301,2018-03-06T00:00:00.000,,,Park Improvement/New Park,,,,,2018-02-07T00:00:00.000,
,,,,Sewer/Water Main,,,,,2020-05-12T00:00:00.000,RED386
X003.20200925,2020-09-28T00:00:00.000,,,"Utility (gas, electric, telephone)",,,,,2020-07-24T00:00:00.000,
,,2019-02-12T00:00:00.000,,Sewer/Water Main,,,,,2019-02-12T00:00:00.000,SER20079
M104.20200904,2020-09-08T00:00:00.000,,,,,,,,2020-08-07T00:00:00.000,
,,,,Pedestrian Safety,,,,,2019-07-15T00:00:00.000,HWP2020KC
M-43-15NF,,,,Private Development,,,,,2019-01-30T00:00:00.000,M-43-15NF
QG.20190110,2019-01-28T00:00:00.000,,,,,,,,2016-01-06T00:00:00.000,A-37106/A-46018
M349.20190416,,,,Private Development,,,,,2018-01-11T00:00:00.000,M349
,,,,Resiliency,,,,,2018-03-06T00:00:00.000,GCBB26-01
,,,,,,,,,2018-01-10T00:00:00.000,
,,,,"Utility (gas, electric, telephone)",,,,,2017-11-21T00:00:00.000,
Q027.20170421,2017-05-08T00:00:00.000,,,Sewer/Water Main,,,,,2013-09-04T00:00:00.000,QED1017
Q335.E.20200110,2020-01-15T00:00:00.000,,,"Utility (gas, electric, telephone)",,,,,2019-11-19T00:00:00.000,
RG.20170107,2017-02-16T00:00:00.000,,,,,,,,2014-04-03T00:00:00.000,HWP14RTA
M104.20190717,2019-07-19T00:00:00.000,,,"Utility (gas, electric, telephone)",,,2019-08-21T00:00:00.000,,2019-07-16T00:00:00.000,
Q-79-15NF,2015-11-18T00:00:00.000,,,,,,2017-01-25T00:00:00.000,,2015-08-28T00:00:00.000,
CNYG.20191125,2019-12-12T00:00:00.000,,,Park Improvement/New Park,,,2020-01-07T00:00:00.000,,2019-11-01T00:00:00.000,
CNYG.20201218,2020-12-01T00:00:00.000,,,,,,,,2020-11-13T00:00:00.000,A37312
B032.20190313,2019-07-01T00:00:00.000,,,Park Improvement/New Park,,,,,2019-02-22T00:00:00.000,
,,,,Roadway Reconstruction,,,,,2016-03-23T00:00:00.000,SEN002152/HWMWTCA7E-3
CNYG.20181106,2018-11-06T00:00:00.000,,,,,,,,2018-03-08T00:00:00.000,RK-22
Q036A.20190528,,,2019-05-23T00:00:00.000,,,,,,2014-10-14T00:00:00.000,
,,,,,,,,,2017-04-27T00:00:00.000,X092.20170606
Q-15-15NF,2015-04-20T00:00:00.000,,,Bridge Component Rehabilitation,,,2016-01-04T00:00:00.000,,2014-12-03T00:00:00.000,HB107014Q
Q448.20200128,2020-01-31T00:00:00.000,,,Resiliency,,,,,2017-10-23T00:00:00.000,SEQ-ROYWPK
B135.20180207,2018-03-20T00:00:00.000,,,Park Improvement/New Park,2019-06-06T00:00:00.000,2019-06-07T00:00:00.000,2019-05-30T00:00:00.000,,2018-01-19T00:00:00.000,
X039.20161014,2016-10-19T00:00:00.000,,,,,,,,2016-06-24T00:00:00.000,
,,,,,,,,,2015-10-22T00:00:00.000,QED991
M239.20170417,2017-05-01T00:00:00.000,,,,,,,,2017-04-20T00:00:00.000,
RG.20180216,2018-02-20T00:00:00.000,,2018-05-10T00:00:00.000,"Utility (gas, electric, telephone)",,,,,2017-12-19T00:00:00.000,WO 90000127494
,,,,Parkway/Arterial Improvement,2017-11-08T00:00:00.000,,,,2016-10-12T00:00:00.000,X349.15 XM16.49
M072.20210120,2021-01-20T00:00:00.000,,,Pedestrian Safety,,,,,2020-12-01T00:00:00.000,HWPR19M
B232.20170424,2018-04-23T00:00:00.000,,,,,,2019-12-26T00:00:00.000,,2017-04-10T00:00:00.000,B232
BG.20160930,2016-10-10T00:00:00.000,,,Pedestrian Safety,,,,,2014-04-22T00:00:00.000,HWD005K01
M387.20160816,2016-08-30T00:00:00.000,,,,,,2017-03-24T00:00:00.000,,2016-08-03T00:00:00.000,
Q084A.20200224,2020-04-13T00:00:00.000,,,Bridge Component Rehabilitation,,,,,2019-10-16T00:00:00.000,X806.58 D264181
M029.20200111,2021-01-15T00:00:00.000,,,Park Improvement/New Park,,,,,2020-12-02T00:00:00.000,M029
,,,,Sewer/Water Main,,,,,2020-09-02T00:00:00.000,SEK002376
M053.20190809,2019-08-23T00:00:00.000,,,Public Building,,,2019-11-25T00:00:00.000,,2019-07-30T00:00:00.000,
M-59-13NF,2013-10-04T00:00:00.000,,,Plaza,,,,,2008-06-12T00:00:00.000,HWMP116
,,,,Sewer/Water Main,,,,,2018-10-12T00:00:00.000,SEQNS002
B518.20170928,2017-10-04T00:00:00.000,,,"Utility (gas, electric, telephone)",,,,,2017-09-21T00:00:00.000,
B073.20160928,2016-09-28T00:00:00.000,,,Bridge Component Rehabilitation,,,,,2014-04-29T00:00:00.000,HBCR02A
X039.20190423,2019-04-29T00:00:00.000,,,Park Improvement/New Park,,,,,2019-04-18T00:00:00.000,
B113A.20160810,2016-09-06T00:00:00.000,,,,,,,,2016-07-06T00:00:00.000,
X003.20161021,2016-10-24T00:00:00.000,,,,,,,,2016-10-18T00:00:00.000,
,,,,,,,,,2016-10-31T00:00:00.000,
X356.20190923,2019-12-16T00:00:00.000,,,,,,,,2019-06-06T00:00:00.000,x356
M242.20160930,2016-10-03T00:00:00.000,,,,,,,,2016-08-26T00:00:00.000,A-37617
Q360J.20180501,2018-05-25T00:00:00.000,,,Resiliency,,,,,2018-03-29T00:00:00.000,GQBB06-03
M029.20190319,2019-04-01T00:00:00.000,,,Park Improvement/New Park,,,,,2019-03-12T00:00:00.000,
MZ25.20200526,2020-05-26T00:00:00.000,,,"Utility (gas, electric, telephone)",,,,,2020-05-01T00:00:00.000,
,,,,Resiliency,,,,,2017-06-30T00:00:00.000,GK26W5-06 Package 2
M214.20200303,2020-03-04T00:00:00.000,,,Public Building,,,2021-02-24T00:00:00.000,,2020-02-14T00:00:00.000,
M360.20170403,2017-04-10T00:00:00.000,,,,,,,,2017-03-27T00:00:00.000,
M327.20160927,2016-10-06T00:00:00.000,,,,,,,,2016-09-12T00:00:00.000,
Q-35-14NF,2014-10-10T00:00:00.000,,,Sewer/Water Main,2017-05-18T00:00:00.000,2017-05-18T00:00:00.000,,,2011-03-30T00:00:00.000,CS-JA-BBS
B379.20161222,2016-12-26T00:00:00.000,,,Sewer/Water Main,,,,,2014-11-25T00:00:00.000,SEC200004R
,2019-07-18T00:00:00.000,,,Environmental Improvement/Remediation,,,,,2019-04-02T00:00:00.000,M321
Q099.20170131,2017-02-15T00:00:00.000,,,,,,,,2016-09-14T00:00:00.000,
B214.20180601,2018-06-04T00:00:00.000,,,,,,,,2018-05-31T00:00:00.000,
,,,,"Utility (gas, electric, telephone)",,,,,2018-09-14T00:00:00.000,
X350.20180501,2018-08-17T00:00:00.000,,2020-09-09T00:00:00.000,Private Development,2020-09-09T00:00:00.000,,2020-08-03T00:00:00.000,,2018-02-26T00:00:00.000,
,,,,Bridge Reconstruction (Major),,,,,2020-01-22T00:00:00.000,X735.85 D264148
,,,,Bridge Component Rehabilitation,,,,,2020-04-14T00:00:00.000,D037795
B290.20180731,2018-08-06T00:00:00.000,,,"Utility (gas, electric, telephone)",,,,,2017-06-06T00:00:00.000,WO T101937130 T101933634
M-18-15NF,2015-03-13T00:00:00.000,,,Parkway/Arterial Improvement,2017-09-18T00:00:00.000,2019-10-01T00:00:00.000,,,2012-01-30T00:00:00.000,HBM1027
,,,,Sewer/Water Main,,,,,2017-06-29T00:00:00.000,SER200202
BG.20180612,2018-06-12T00:00:00.000,,,"Utility (gas, electric, telephone)",,,,,2017-12-08T00:00:00.000,Smart#186582 W.O.#90000175643
MG.20190626,2019-07-03T00:00:00.000,,,Resiliency,,,2019-09-30T00:00:00.000,,2019-06-11T00:00:00.000,SANDRESM1
,,,,Sewer/Water Main,,,,,2018-10-05T00:00:00.000,JOC-17-EG
M366.E.20180723,2018-07-30T00:00:00.000,,,Public Building,,,,,2018-07-17T00:00:00.000,
M-10-16NF,2016-02-10T00:00:00.000,,,Sewer/Water Main,,,2019-10-18T00:00:00.000,,2012-06-08T00:00:00.000,HED568
M353.20170915,2017-09-20T00:00:00.000,,,Bridge Component Rehabilitation,,,,,2017-06-26T00:00:00.000,HBM1172-1173
B549.20190822,,,,Private Development,,,,,2019-06-20T00:00:00.000,B549.20190822
CNYG.20161007,2017-03-01T00:00:00.000,,,Bridge Component Rehabilitation,,,,,2016-08-22T00:00:00.000,XM16.55 D263346
R005.20161227,2016-12-27T00:00:00.000,,2018-08-27T00:00:00.000,Bridge Component Rehabilitation,,,,,2016-11-01T00:00:00.000,HBCR01C
BG.20180905,2018-09-15T00:00:00.000,,,,,,,2018-09-17T00:00:00.000,2018-05-24T00:00:00.000,5964
,,,,Sewer/Water Plant,,,,,2014-07-15T00:00:00.000,33B
X004.20180206,2018-02-08T00:00:00.000,,,Retaining Wall/Seawall,,,,,2014-03-07T00:00:00.000,RWX022
M071.20191114,2019-11-18T00:00:00.000,,,Park Improvement/New Park,,,,,2019-11-04T00:00:00.000,
X103.20190607,2019-08-12T00:00:00.000,,,,,,,,2019-02-20T00:00:00.000,
R016.20190617,2019-11-25T00:00:00.000,,,Roadway Reconstruction,,,2021-02-19T00:00:00.000,,2010-09-10T00:00:00.000,HWR669C
B-11-14NF,2014-07-24T00:00:00.000,,2017-09-01T00:00:00.000,Park Improvement/New Park,2016-11-16T00:00:00.000,2016-11-16T00:00:00.000,,,2013-04-01T00:00:00.000,X731.38
M256.20191016,2019-10-21T00:00:00.000,,,Park Improvement/New Park,,,,,2019-10-15T00:00:00.000,
M010.20210201,2021-02-03T00:00:00.000,,,,,,,,2020-09-16T00:00:00.000,
M071.20190923,2019-10-15T00:00:00.000,,,Park Improvement/New Park,,,2020-01-07T00:00:00.000,,2019-09-12T00:00:00.000,
B346-20160706,2016-07-11T00:00:00.000,,,"Utility (gas, electric, telephone)",,,,,2016-05-18T00:00:00.000,
Q-39-13NF,,,,Bridge Reconstruction (Major),,,,,2010-12-20T00:00:00.000,X806.61 XM806.61 D262699
,,,,Sewer/Water Plant,,,,,2019-10-23T00:00:00.000,RESAMSAF-CP
M203D.20170823,2017-10-06T00:00:00.000,,,Public Building,,,,,2017-06-15T00:00:00.000,
B126.20161014,2016-10-24T00:00:00.000,,,,,,,,2016-09-26T00:00:00.000,F16-2734-B
