telephone,geseats_prog9,swdfilled_prog12,swdseats_prog13,geapps_prog9,swdapps_prog12,name_prog2,overview,languageclasses,gefilled_prog13,code_prog14,swdfilled_prog4,geappsperseat_prog6,swdappsperseat_prog6,elaprof,activities_description,swdfilled_prog10,geappsperseat_prog14,accessibility_description,swdseats_prog1,code_prog5,swdseats_prog5,district,eligibility_prog10,other_features,diversityinadmissions,acceleratedclasses,swdfilled_prog9,eligibility_prog5,admissionsmethod_prog10,eligibility_prog2,swdappsperseat_prog8,swdseats_prog4,swdfilled_prog2,gefilled_prog10,geapps_prog4,swdapps_prog14,swdappsperseat_prog14,eligibility_prog11,priority2_prog3,postcode,geapps_prog2
718-251-4411,,,,,,John Wilson (I.S. 211),"At John Wilson, we integrate technology into the classroom with laptops and SMART Boards. Our students benefit from the supportive environment and innovative approaches that make a positive impact on their lives. Parents appreciate that our school places students into three small thematic academies based on their interests.",,,,,,,36.0,,,,Partially Accessible,5.0,,,18,,,,"Algebra I,Living Environment",,,,Open to students and residents of District 18,,,N,,,,,,,11236.0,148.0
718-881-3136,,,,,,,"Pelham Academy is a small Bronx Middle School designed and dedicated to ensuring that our student grow and develop into well rounded thinkers and doers. We push our kids to be their best versions of themselves in all they do. We expose our students to opportunities within and beyond their communities. We have a strong focus on developing our students academically and emotionally so that they are confident and competitive when they transition into High School.  Our school is grounded in the philosophy that every child can achieve at high levels when provided the tools and supports they need to excel. We treat all kids with the respect they deserve and hold them accountable to being at their best. While we continue to grow and develop as a school, we are unapologetic in our approach to supporting the children and families we serve.",,,,,,,43.0,,,,Not Accessible,17.0,,,11,,,,"US History,Algebra I,Living Environment",,,,,,,,,,,,,,10467.0,
718-923-4700,,,,,,,"Brooklyn Collaborative is committed to developing students and staff who are kind, openminded, persistent, responsible, and courageous.  Our students and our curriculum reflect the city we live in.  We are committed to being diverse with regard to race, ethnicity, socio-economics, religion, and academics.  Our students see themselves and their communities represented widely in the history they study, the books and texts they read, and the expeditions they engage in.  We are committed to small class sizes of approximately 25 students.  Smaller class sizes support richer student learning.  Our students use the city as their classroom.  Fieldwork is a regular part of learning at Brooklyn Collaborative: students regularly meet with experts, tour neighborhoods and museums, analyze artifacts, collect lab samples, and more.  We are committed to developing the social and emotional self as well as the academic self through Crew.  In crew (a daily advisory class), students learn to be agents of self-change, to take responsibility for their learning, and to develop supportive relationships with adults and peers.  We are a Grades 6-12 school with a 100% college acceptance rate and a NYS Regents waiver.  There's something for everyone at BCS!",Spanish;American Sign Language,,,,,,27.0,"Art, Band, Chorus, Debate, Homework Help, Restorative Circles, Student Council, Talent Show",,,Not Accessible,18.0,,,15,,,"Students from low-income households, students in temporary housing, and English Language Learners (ELLs) have an admissions priority for 52% of seats at this school.",,,,,,,,,,,,,,,11231.0,
718-325-6593,,,,,,,"At Bronx Green, our mission is to prepare every student with the skills and knowledge to become exceptional learners and leaders.  Our focus on culturally responsive teaching and curriculum fosters an inclusive environment where all students can advance academically, socially, and emotionally. To support with the transition to middle school, we offer all incoming sixth graders the opportunity to attend our Summer Summit program during the last week of August. The goal of the program is to acclimate students and families to the middle school experience and unique opportunities at Bronx Green. During the school year, all students have access to technology based instruction via the use of Chromebooks, iPads, iPad Minis, and two fully equipped computer labs. Through our College Access for All affiliation, our students enjoy the college experience by visiting colleges/universities located in- and out-of-state by the end of seventh grade. We firmly believe in ensuring all students are provided an equitable education that reimagines the role of student leadership and voice, inclusive policies and practices, school culture activities, and our physical environment to reflect and affirm our diverse student population.",,,,,,,33.0,"Debate, Green Team, Homework Help, Leadership, National Junior Honor Society, Restorative Circles, Spelling Bee, Student Council",,,Not Accessible,23.0,,,11,,"Summer Session,Weekend Program,Uniform",,"US History,Algebra I,Living Environment",,,,,,,,,,,,,,10467.0,
718-457-1242,,,,,,Zoned Program,"This school has four academies, one of those academies has a dual language program.  We currently offer 3 dual language classes in each grade 6, 7, and 8.  Every year all our 8th graders participate in our Senior Washington DC trip.  Lastly, we are a magnet school of innovation and applied learning.",Spanish,,,,,,42.0,"Art, Band, Choir, Chorus, Coding, Cooking, Dance, Fitness, Homework Help, Latin Dance, Music, STEM, Talent Show, Technology, Yearbook",,,Fully Accessible,7.0,,,30,,"Extended Day,Summer Session,Uniform",,"Algebra I,Earth Science,Living Environment",,,,Open to students residing in the zone,,,N,,,,,,,11372.0,331.0
718-693-3426,,,,,,,"Our students receive a quality education in a small nurturing learning environment. It's a place where everybody knows your name. Parents appreciate our small educational community, our emphasis on science and technology, and our desire to equip each and every student with the necessary tools to become leaders of tomorrow. We are part of the iLearnNYC program. iLearnNYC schools are implementing online and blended learning to expand current school boundaries that limit how and when a student can learn. iLearnNYC empowers teachers, administrators, students, and parents with cutting-edge resources, including online content, real-time data on student work, and many more educational tools.",Spanish,,,,,,36.0,,,,Fully Accessible,11.0,,,22,,,,"Algebra I,Living Environment",,,,,,,,,,,,,,11203.0,
,,,,,,Visual & Performing Arts Magnet School,"I.S. 126 is committed to providing a safe learning environment where all students are held accountable to reach high levels of academic achievement. We challenge our students with a rigorous curriculum aligned with the Common Core Learning Standards (CCLS) and college readiness expectations. In addition to Regents classes, preparatory classes for the Specialized High School Admissions Test (SHSAT) and the NYS State Exams are available. I.S. 126 has a partnership with City Year, who assist our students in developing their academic and leadership skills. We enrich our students through arts residencies with our partners. We are a member of the National Honor Society. All our classes are infused with technology through the use of chrome books, laptops, and Smart Boards on a daily basis. We have a Science Lab and Computer Labs that are state-of-the-art. These programs allow us to extend the academic rigor in the classrooms and prepare children for the 21st century. I.S. 126 believes parents are equal partners in their children's education. We foster an open door policy, where parents are encouraged to communicate and build successful relationships with school leaders. We offer bus service for eligible 6th graders.",Spanish,,,,,,48.0,"Art, Chorus, Drama, Math Team, National Junior Honor Society, Peer Mediation, Yearbook",,,Not Accessible,9.0,,,30,,"Summer Session,Weekend Program,Uniform",,"Algebra I,Living Environment",,,,Open to students and residents of District 30,,,N,,,,,,,11106.0,134.0
718-236-3394,,,,,,Academy for Arts & Humanities,"Our school is a place of wonder and growth. By providing a small school environment via our academy structure, we foster nurturing and collegial relationships among students and staff. We collaborate with families to help students reach their greatest potential.  A thematic approach offers students experiences that transcend typical curricula and provide exciting opportunities for real-world learning. Our school provides highly specialized educational programs for all students, serving children with severe disabilities who may be appropriate for our ACES program to accelerated and high performing students in our general education programs. Teachers collaborate and design courses incorporating academy themes. Problem-centered learning approaches in conjunction with the teaching of both oracy and social-emotional skills are at the foundation of each course.  Students are accepted into one of three academies and more information is available on our website at IS187.com. Whether your child is learning at an accelerated pace or has a disability requiring intensive intervention, The Christa McAuliffe School is a place where all children are supported, encouraged, and loved.",Spanish;Other Language;American Sign Language,,,,,,95.0,"Art, Band, Chorus, Coding, Creative Writing, Debate, Drama, Engineering, Fitness, Gardening, Green Team, Homework Help, Leadership, Lego Robotics, Math Team, Music, Musical Theater, National Junior Honor Society, Robotics, Science Club, Spelling Bee, Student Council, Talent Show, Technology, Theater, Tutoring, Visual Arts, Yearbook, Yoga, Many Student Designed Courses",,,Not Accessible,5.0,,,20,,Extended Day,,Algebra I,,,,Open to students and residents of District 20,,,Y,,,,,,,11219.0,1221.0
718-723-3501,,,,,,,"Queens United Middle School 289 (QUMS) has new leadership as of July 2018.  Our vision is that every student will meet or exceed New York State standards in all core subjects.  We exist to meet the community's expectations of excellence in student achievement.  Therefore, at QUMS, you will find a safe, intimate, and nurturing learning community where every child's progress and achievement are our focus.  We offer various early high school opportunities through Regents courses in Living Environment, Algebra 1, and (by 2021) U.S. History.  QUMS is the only District 29 official site for preparation and administration of the Specialized High School Exam (SHSAT).  In other words, students take the Specialized High School Exam at our school during the school day in the Fall.  At QUMS, we also have SONYC-- a robust after school, holiday break, and summer camp program.  In SONYC, students enjoy a broad range of cross-curricular and extracurricular experiences including sports, arts, and STEM project creation. QUMS is not just a school in the community; QUMS is the community's school.",,,,,,,24.0,"Art, Book Club, Chess, Coding, Cooking, Dance, Debate, Drama, Gardening, Homework Help, Lego Robotics, Restorative Circles, STEM, Step Team, Student Council, Talent Show, Tutoring, Yearbook",,,Not Accessible,15.0,,,29,,"Extended Day,Summer Session,Uniform",,"Algebra I,Living Environment",,,,,,,,,,,,,,11413.0,
212-962-2188,,,,,,,"While at P.S. 126/MAT, students will engage in a creative and rigorous curriculum that is geared towards fostering collaboration, inquiry, research, public speaking, and overall social-emotional development. Students will interact and incorporate technology in all of the core classes, with opportunities to learn coding, animation, and robotics. In eighth grade, all of our students will be offered the course work necessary to take the Earth Science and Algebra I Regents exams as well as the Spanish Proficiency exam. Our elective program allows students to major in fine arts, percussion, or band; providing students the necessary skills and preparation for high school auditions. Additionally, we have an extensive competitive sports program that offers 23 different sports for both male and female students.",Spanish,,,,,,81.0,"Chess, Fitness, Lego Robotics, Saturday Academy, Student Council, Yearbook, Jazz Band",,,Not Accessible,23.0,,,2,,,,"Algebra I,Earth Science",,,,,,,,,,,,,,10038.0,
212-544-8021,,,,,,,"Amistad is a Dual Language School in which students receive instruction in both English and Spanish.  Middle school students have the opportunity to earn multiple high school credits through advanced coursework.  Amistad students also receive instruction in all four arts areas: dance, music, visual arts, and theater.  Student voice is encouraged through Student Government and the student newspaper.",Spanish,,,,,,56.0,"Art, Choir, Chorus, Dance, Drama, Fitness, Music, Musical Theater, Saturday Academy, School Newspaper, STEM, Student Council, Theater, Tutoring, Visual Arts, Yearbook",,,Fully Accessible,9.0,,,6,,Weekend Program,,"Spanish,Algebra I",,,,,,,,,,,,,,10034.0,
718-834-6734,,,,,,Fine Arts & Design,"We give extra attention to each child's academic needs while modeling a passion for the performing arts and technology. Parents appreciate our stable learning environment with high academic standards and a strong focus on the arts and technology.  We offer a rigorous curriculum in the four core subjects; ELA, Math. Science, Social Studies; and offer each student an Arts discipline in Dance, Vocal Music, or Computer Technology. Each program is designed to accommodate students unique talents, and needs.  The Dual Language Program provides differentiated instruction in both Spanish and English based on the Common Core Learning Standards and the New York State Performance Standards. Through both age- and grade-appropriate instruction, whole class, small group, individual experiences, and project-based learning, students will become bilingual, biliterate, and bicultural.  We provide students with onsite after school enrichment, exposure and experiences. Our after school partner, Long Island University Advantage After-School, provides tutoring, sports, and  clubs such as music appreciation, dance, step and cheerleading. 113 students can also participate in Student Government, VELMS Virtual Mentoring Program and Boys and Girls Basketball.",,,,Y,,,24.0,"Band, Chess, Chorus, Dance, Debate, Homework Help, Lego Robotics, Music, National Junior Honor Society, Robotics, STEM, Step Team, Student Council, Talent Show, Yearbook",,,Partially Accessible,6.0,,,13,,"Extended Day,Summer Session,Uniform",,Earth Science,,,,,,6.0,N,,121.0,,,,,11205.0,91.0
212-866-6313,,,,,,,"Students are empowered to be active participants in their own learning and engage with teachers who guide them to meet and exceed the Common Core Standards. Our social-emotional curriculum and close-knit grade level teams promote an inclusive environment that cultivates acceptance and respect for all students in our diverse community. Students engage in project based learning experiences that build independence, nurture creativity, and challenge students to think critically and analytically. Families value our student-centered community, personalized learning experiences, arts partnerships, and accelerated ELA and math enrichment programs. Families also love the dedication of our teachers who collaborate to plan meaningful classroom experiences. Parents appreciate the many workshops, special events, student-led conferences, science fairs, and portfolio exhibitions. Students have academic coaches, lead student-led conferences, develop digital portfolios, and participate in advisory.",,,,,,,22.0,"Art, Book Club, Comic Book Club, Cooking, Dance, Drama, Fitness, Homework Help, Restorative Circles, Service Learning, Spelling Bee, Student Council, Talent Show, Theater, Tutoring, Visual Arts, Yearbook, Blended Online Learning Modules, Customized Online Student Portals, High School Articulation Workshops, One-on-One Academic Coaching, Hands In 4 Youth Free After-School Program",,,Partially Accessible,12.0,,,3,,"Extended Day,Summer Session",This program prioritizes 25% of seats for students who qualify for the federal free or reduced price lunch program (FRL) and who are lower-performing.,,,,,,,,,,,,,,,10025.0,
718-842-6138,,,,,,,"Our students enjoy our small environment where they are treated like family. We celebrate our students' talents through science and curriculum fairs, talent showcases, and cultural celebrations. Students like our SMART Boards and computers in each classroom, laptop carts for each grade, and computer lab.Parents embrace our challenging academic experiences and high standards. We offer families tools to support their children, including weekly progress reports and an online gradebook. We work closely with our PTA to offer events that celebrate our community and showcase our students' talents. Our school is proud to have proficiency scores in ELA and math that nearly triple district averages. We were listed as ""Among the Best"" middle schools by the NY Daily News in 2012. We have been profiled in each edition of New York City's Best Public Middle Schools: A Parent's Guide. Our graduates regularly gain acceptance into highly competitive specialized, private, and parochial high schools.",,,,,,,64.0,"Art, Band, Book Club, Chess, Choir, Coding, Creative Writing, Dance, Drama, Homework Help, Leadership, National Junior Honor Society, Peer Mediation, Service Learning, Spelling Bee, Student Council, Technology, Tutoring, Yearbook",,,Not Accessible,22.0,,,9,,"Extended Day,Uniform",,"Algebra I,Living Environment",,,,,,,,,,,,,,10456.0,
212-691-6119,,,,,,,"Located in Chelsea, our community embodies our core values of collaboration, compassion, academic rigor, and diversity and pluralism. Our Labbies put the ""lab"" in collaborative! Our academically nurturing and rigorous environment fosters curiosity and lifelong learning. Students engage in inquiry across all disciplines. In humanities classes, we combine social studies and ELA and offer enrichment courses on unique topics. To enhance our core curriculum, we provide Regents math and science courses for students ready for the challenge. Students also participate in national competitions (math, writing, and vocabulary) and work with local arts organizations. We are proud of our inclusion program and offer supports so all students succeed: full- and part-time ICT classes, small group specialized instruction, executive functioning support, and all related services. Across the three years, all students take typing, transitions to middle school, coding, advisory, visual art, and drama. Our PA works tirelessly to supplement students' experiences and organize family events such as a Lunar New Year celebration. Former Labbies report back that teachers' high expectations and three years of Spanish have prepared them well for high school.",Spanish,,,,,,91.0,"Art, Band, Book Club, Chess, Chorus, Coding, Comic Book Club, Cooking, Creative Writing, Dance, Debate, Drama, Engineering, Fitness, Gardening, Green Team, Homework Help, Leadership, Lego Robotics, Math Team, Music, Musical Theater, Photography, Robotics, School Newspaper, Science Club, STEM, Student Council, Talent Show, Technology, Theater, Video Game Club, Visual Arts, Yearbook, Yoga",,,Fully Accessible,30.0,,,2,,,,"Spanish,Algebra I,Living Environment",,,,,,,,,,,,,,10011.0,
917-432-5413,,,,,,Yorkville East: S,"MS177 prepares students to be critical thinkers, effective problem solvers and powerful communicators in a rapidly changing 21st century world. By embracing academic rigor, student voice, collaboration, self-direction, and empathy, our students will have the confidence, tenacity and skills for success. We pride ourselves on our small, tight-knit community in which every adult knows every child and helps support their growth throughout their three years of middle school. To do this, we utilize our smaller class sizes to provide students with individualized and small group instruction. Our advisory periods allow us for daily check-ins, and the reinforcement of your core values to help our students build strong bonds and respectful relationships with their peers through Restorative Practices. To enhance students' love for learning, we offer enrichment classes in math, art, newspaper, science, and debate. This approach allows for students to continue exploring the different topics that might interest them while providing the solid foundation necessary for success in high school and beyond.",Spanish,,,,,,74.0,"Art, Book Club, Coding, Comic Book Club, Cooking, Creative Writing, Debate, Drama, Fashion, Homework Help, Math Team, Peer Mediation, Restorative Circles, Robotics, Service Learning, Student Council, Visual Arts, Yearbook, Yoga",,,Partially Accessible,8.0,,,2,,,,Algebra I,,,,Open to students and residents of District 2,,,Y,,,,,,,10075.0,331.0
718-773-3059,,,,,,,"Our vision is to create a safe environment in which authentic learning experiences build character and empower students to become independent thinkers. Our mission is to provide a Common Core Learning Standards (CCLS)-aligned curriculum, life skills, mentorship, interventions, and enrichment activities that will enhance learning and support the social-emotional growth of our students. At EFCRS, we focus on targeting individual needs. We possess a strong community of teachers who are committed to motivating, engaging, and providing rigorous learning experiences. Our parents appreciate the strong focus on instruction, smaller class sizes, and two and a half hours of expanded-day programming our school offers. Students enjoy the cultural exposure and the unique courses in expanded day. Unique academic offerings include: Algebra Regents Course, Specialized HS Test Prep, and Saturday Academy. Unique expanded-day offerings include: STEM Academy, Robotics, Coding, Cooking, Soccer, Chorus, Drumming, and Theater.",Korean,,,,,,18.0,,,,Not Accessible,19.0,,,18,,,,"US History,Algebra I,Living Environment",,,,,,,,,,,,,,11203.0,
718-292-0260,,,,,,,"The Lou Gehrig Academy  believes that the practice of educational equity  will lead our children to become independent learners and self-advocates. Our commitment to students, parents /guardians and the community is to support your child's needs and to form a strong alliance to ensure that your child realizes and achieves their fullest potential. Our students are active participants with the middle school science initiative known as Urban Advantage, which includes opportunities to learn and visit New York City's cultural venues in addition to showcasing their science  projects in the Citywide Science Fair. Our students experience community service in association with multiple organizations. Students will have an opportunity to join the Columbia University Youth Debate Team. Students will have opportunities to tour college campuses. Our school has opportunities for parents/guardians to participate in school events and organizations. Students are encouraged to join the after school program with New York Edge to further enhance their academic learning as well as supporting their social -emotional development.",Spanish,,,,,,18.0,"Art, Chess, Coding, Comic Book Club, Debate, Leadership, Peer Mediation, Restorative Circles, Student Council, Visual Arts, Yearbook",,,Partially Accessible,21.0,,,7,,"Extended Day,Uniform",,,,,,,,,,,,,,,,10451.0,
