uid,latitude,longitude,ct2020,servarea,policeprct,facdomain,facname-opabbrev
0544817816af703c93f3bfa8bec5174e,40.8576649161,-73.9324942445,27900.0,Local,34,"EDUCATION, CHILD WELFARE, AND YOUTH","FORT GEORGE COMMUNITY SERVICES, INC.-Non-public"
0467d31b43f7faad5fb898c7033d25b1,40.8158232829,-73.8689949667,2001.0,Local,43,"EDUCATION, CHILD WELFARE, AND YOUTH",RANDALL FAMILY RESIDENCE-Non-public
018883f7331236ed9a4ff86dc9f14044,40.861711472,-73.9012662922,23900.0,Local,46,HEALTH AND HUMAN SERVICES,EVERY DAY IS A MIRACLE CO THE ALMOND TREE CHURCH-Non-public
00d769ef2890a70c8c08915b1aff726d,40.7712516147,-73.9671025673,13000.0,Regional,19,LIBRARIES AND CULTURAL PROGRAMS,FRICK COLLECTION-Non-public
019d73f9241bb54cc764fb2bc76bc2e9,40.827097,-73.823289,15200.0,Regional,45,CORE INFRASTRUCTURE AND TRANSPORTATION,3680 E TREMONT AVE TEXTILE DROP-OFF SITE-nan
057866c313a9d5c980c21d6f6fb47577,40.7580924182,-73.7944357834,117500.0,Local,109,"EDUCATION, CHILD WELFARE, AND YOUTH",LIVING FAITH COM CHURCH VBS-Non-public
00d976634eabe69b92757b169735df71,40.8463500009,-73.898660025,39500.0,Local,48,"EDUCATION, CHILD WELFARE, AND YOUTH",ECHO PARK-Non-public
03ede4bfde889a3449f086e96d8b7ebb,40.7828763067,-73.9526290076,15801.0,Local,19,"EDUCATION, CHILD WELFARE, AND YOUTH",THE YOUNG MENS AND YOUNG WOMENS HEBREW ASSOCIATION-nan
03ae9f5ec2ff9f46f6889c16019b6d5a,40.6954425594,-73.9856081887,1300.0,Local,84,"EDUCATION, CHILD WELFARE, AND YOUTH",I.S. 915-nan
069dcd0d33b44742812086f18bed3031,40.694569,-73.981125,1501.0,Local,88,"EDUCATION, CHILD WELFARE, AND YOUTH",INGERSOLL COMMUNITY CENTER-nan
0274d26083adf238614768d6fde5aa83,40.6835817006,-73.9106506775,40300.0,Regional,83,CORE INFRASTRUCTURE AND TRANSPORTATION,MOFFAT STREET COMMUNITY GARDEN FOOD DROP-OFF SITE-nan
039f18272678b66cd53e08e49f7f6fa3,40.6432754759,-74.0775630964,300.0,Local,120,HEALTH AND HUMAN SERVICES,EDUCATIONAL DATA SYSTEMS INC-nan
0374629f65ada65c797521a85393a67b,40.7760471885,-73.9322079201,9100.0,Regional,114,CORE INFRASTRUCTURE AND TRANSPORTATION,ALL AMERICAN SCHOOL BUS CORP.-Non-public
056066f79f32ca9a2b1102a8579fa623,40.6094004742,-74.1883371186,29102.0,Regional,121,CORE INFRASTRUCTURE AND TRANSPORTATION,IC BUS INC.-Non-public
02db86fa1e3e8e8374d98e145a106052,40.7216352032,-73.8737252518,66301.0,Local,104,"EDUCATION, CHILD WELFARE, AND YOUTH",UCP OF NYC - FOREST HILLS WEST SCHL-Non-public
00a5ff3d174410994a7aaf804fd36f12,40.701195,-73.789235,44000.0,Local,103,CORE INFRASTRUCTURE AND TRANSPORTATION,DYNAMIC AUTO WORKS INC-Non-public
05a99e15fb6eee6f52c8c93617e52a38,40.5712766669,-74.1459248071,27900.0,Local,122,"EDUCATION, CHILD WELFARE, AND YOUTH",STATEN ISLAND HISTORICAL SOCIETY-nan
0197bf1d6fb37589c4d9b4ee9c2c15c5,40.8379049668,-73.8343703648,18400.0,Local,45,"EDUCATION, CHILD WELFARE, AND YOUTH","TENDER YEAR CHILDCARE, INC.-Non-public"
039e6365f43341945b5ac53150a213bd,40.5966886219,-73.7515988787,101004.0,Local,101,"EDUCATION, CHILD WELFARE, AND YOUTH",SIMCHA DAY CAMP-Non-public
008625abc749f81706c45d4824564805,40.8262487542,-73.8405720336,9000.0,Regional,45,CORE INFRASTRUCTURE AND TRANSPORTATION,PRIDE TRANSPORTATION (SCH AGE)-Non-public
021816a86979b543efbc317d123ff2d2,40.80975,-73.923688,3900.0,Local,40,CORE INFRASTRUCTURE AND TRANSPORTATION,FUERTE PARKING LOT INC-Non-public
00571a26e6f9f8d51b1da56132da831f,40.8150408728,-73.8445183185,9000.0,Regional,43,CORE INFRASTRUCTURE AND TRANSPORTATION,G.V.C. LTD. (B2192)-Non-public
0275c2d62d4070224a1f6aca701263e9,40.7647485789,-73.9547306049,11600.0,Regional,19,HEALTH AND HUMAN SERVICES,MIDTOWN CTR FOR TRTMENT & RESEARCH OP-nan
033a06cf2f599fded1de06bd6651f4cc,40.6415729416,-73.9536441401,79002.0,Regional,67,LIBRARIES AND CULTURAL PROGRAMS,CARIBBEING-Non-public
04a37b3ff08767a2799d1c2936cb387e,40.6349675557,-73.9822191676,23000.0,Local,66,"EDUCATION, CHILD WELFARE, AND YOUTH",NIA COMMUNITY SERVICES NETWORK INC-nan
01aec6cff5fa035576b02a0935982270,40.747440737,-74.0020461699,9300.0,Regional,10,LIBRARIES AND CULTURAL PROGRAMS,"ARTBRIDGE PROJECTS, INC.-Non-public"
04c58a7cbba3526c9d0d25857cc28f0a,40.8057111534,-73.9380089549,24200.0,Regional,25,HEALTH AND HUMAN SERVICES,FAST BREAK ECHO PARK-Non-public
01c62bab42d5658022d9c47bdea89b9b,40.7303738317,-73.8921428508,49700.0,Local,104,"EDUCATION, CHILD WELFARE, AND YOUTH",MASPETH TOWN HALL INC.-nan
0536e8c1afd7c60d5510041d3bc78a26,40.825161888,-73.8445141748,9800.0,Regional,43,CORE INFRASTRUCTURE AND TRANSPORTATION,"BORO TRANSIT, INC.-Non-public"
06306ed48b981cc764658439c0c6227e,40.6913823407,-73.7986849348,19600.0,Local,103,HEALTH AND HUMAN SERVICES,UNITING DISABLED INDIVIDUALS-Non-public
011da44c69f6ae64c7f1775676ff8e2d,40.587843045,-73.9939870095,31401.0,Local,60,"EDUCATION, CHILD WELFARE, AND YOUTH",BLOCK INSTITUTE SCHOOL-Non-public
04f33f72bceda4ad45316bc0a995b721,40.6308363585,-74.1270798676,14100.0,Local,120,"EDUCATION, CHILD WELFARE, AND YOUTH",P.S. 019 THE CURTIS SCHOOL-NYCDOE
060d31abee0c24c86c5b65502ba7ea8f,40.542116341,-74.2074531925,20806.0,Local,123,"EDUCATION, CHILD WELFARE, AND YOUTH",THE RICHMOND PRE-K CENTER AT 1275 WOODROW ROAD-Unknown
054e73dc47827feb5ca16cb04683d734,40.5942784573,-73.9403629276,57200.0,Local,61,"EDUCATION, CHILD WELFARE, AND YOUTH",SHEEPSHEAD BAY-Non-public
03464a76fb008f3539f195586193a622,40.8751930398,-73.8616360226,37200.0,Local,47,"EDUCATION, CHILD WELFARE, AND YOUTH",BRONX LAB SCHOOL - 11X265-nan
024d7013566c73ea8bad22a5661e2a7f,40.6689244771,-73.9605294643,21300.0,Local,71,"EDUCATION, CHILD WELFARE, AND YOUTH",TRAILBLAZERS CAMPS-Non-public
0288f66482966a7b9082c31ec46b9449,40.6941804561,-73.9563832598,23500.0,Regional,79,HEALTH AND HUMAN SERVICES,BEDFORD MEDICAL FAMILY HEALTH CENTER - BEDFORD LOCATION-Non-public
036e3799ad6a098dbafaee5d07fa075e,40.7392535154,-73.9754888728,6200.0,Regional,13,HEALTH AND HUMAN SERVICES,BELLEVUE HOSPITAL OUTPATIENT PSYCHIATRY CLINIC-NYCHHC
0562c4ed30018ab4d91ab8e2eda25f87,40.7085331395,-73.8558033392,64500.0,Local,112,"EDUCATION, CHILD WELFARE, AND YOUTH",GLOBAL KIDS INC-nan
032108b6f64e3f45f9046c37e20db0a2,40.7379498736,-73.9989441693,7100.0,Regional,6,"EDUCATION, CHILD WELFARE, AND YOUTH",PRATT INSTITUTE MANHATTAN CNTR-Non-public
00db7036c1f6ed36aa42a7a7b131cd44,40.6757855782,-73.9975404994,7700.0,Local,76,"PARKS, GARDENS, AND HISTORICAL SITES",ST. MARY'S PARK-NYCDPR
018bbcd84488ab1e272cfd5c4c056662,40.8306125412,-73.8315272187,16600.0,Local,45,"EDUCATION, CHILD WELFARE, AND YOUTH","THESE OUR TREASURES, INC.-Non-public"
00ed14e4ac94a818b1477edbdcead6dc,40.7836921378,-73.9582006501,15002.0,Local,19,"EDUCATION, CHILD WELFARE, AND YOUTH",INTERNATIONAL ACADEMY OF NEW YORK-Non-public
0216179d24cacafb8633b26278b021d4,40.7949335872,-73.9452804674,17200.0,Local,23,HEALTH AND HUMAN SERVICES,CLINTON-NYCHA
019d1d52d40a64e944b0db4162276b74,40.8102034182,-73.8849153864,9302.0,Regional,41,CORE INFRASTRUCTURE AND TRANSPORTATION,LITTLE LISA BUS CO. INC.-Non-public
02859228345e5edc1eeb284330de4669,40.7514174804,-73.8337792955,38302.0,Local,109,"EDUCATION, CHILD WELFARE, AND YOUTH",NYC PARKS - AL OERTER RECREATION CENTER-Non-public
03a99d80b975dd8bc42fab767356818a,40.8608754376,-73.9210086666,29900.0,Local,34,"EDUCATION, CHILD WELFARE, AND YOUTH",P.S. 018 PARK TERRACE-NYCDOE
056dd74ba1625cc11f78e579455d9694,40.6039506438,-73.7498014985,103202.0,Local,101,"EDUCATION, CHILD WELFARE, AND YOUTH","COMMUNITY MEDIATION SERVICES, INC.-nan"
01294e38fc738f585ff713fc400ebac0,40.8092237345,-73.9474201278,22200.0,Regional,28,HEALTH AND HUMAN SERVICES,MANHATTAN PC - HHCM-Non-public
013166ba7674fa53a312926751eebd03,40.73799,-73.980842,6400.0,Local,13,CORE INFRASTRUCTURE AND TRANSPORTATION,GRAMERCY 24 PARKING LLC-Non-public
0666b0989393fe2bf9a98487b6b42cb6,40.5924353213,-73.7626495939,99802.0,Local,101,"PARKS, GARDENS, AND HISTORICAL SITES",BEACH 30TH STREET PLAYGROUND-NYCDPR
02033a9b2e72725d543a85812c2eaaea,40.8038694496,-73.9350984485,24200.0,Regional,25,HEALTH AND HUMAN SERVICES,"CENTURY MEDICAL AND DENTAL CENTER, INC.-Non-public"
03ebd62083a4757225eb856133a7a0d4,40.659805,-73.900111,92000.0,Regional,73,CORE INFRASTRUCTURE AND TRANSPORTATION,BAY RIDGE ROW-MTA
04d783973453ac658ea17b188e7fffe5,40.7312115485,-73.9833702077,4001.0,Local,9,"EDUCATION, CHILD WELFARE, AND YOUTH","THE EDUCTIONAL ALLIANCE, INC.-Non-public"
00353af605ed6e8ac897d55508fc381f,40.8701013636,-73.9138567624,29900.0,Local,34,HEALTH AND HUMAN SERVICES,HRA BENEFITS ACCESS CENTER DYCKMAN-NYCHRA
004e5ebe74db37ffe73f8715765948ef,40.7597799552,-73.804370657,118500.0,Regional,109,HEALTH AND HUMAN SERVICES,KCS MENTAL HEALTH CLINIC-Non-public
013f9635fbe8a6e7ef69ac30265135d5,40.6894661327,-73.9934245085,4500.0,Regional,76,LIBRARIES AND CULTURAL PROGRAMS,"BROOKLYN YOUTH CHORUS ACADEMY, INC.-Non-public"
04650d5953b1478b3093f28698ace43a,40.6330964964,-73.9909412452,23600.0,Local,66,"EDUCATION, CHILD WELFARE, AND YOUTH",BNOS ZION OF BOBOV-Non-public
03e92ee7a574d68f739bc071f0a5145c,40.7467309759,-73.8939067346,26501.0,Local,115,"EDUCATION, CHILD WELFARE, AND YOUTH",NEW IMMIGRANT COMMUNITY EMPOWERMENT INC-nan
035e138506485bfbcd5e208d16300856,40.680878,-73.903916,40500.0,Regional,83,CORE INFRASTRUCTURE AND TRANSPORTATION,L TRAIN LINE-MTA
04fc1b135884b5e42b97d2f29962ce2b,40.6859893629,-73.9173740977,37300.0,Local,73,"EDUCATION, CHILD WELFARE, AND YOUTH",SARATOGA AVENUE COMMUNITY CENTER-Non-public
05ebc580d34f64111ff9d10c4a331128,40.703481871,-73.8089236131,24000.0,Local,103,HEALTH AND HUMAN SERVICES,LEGAL SERVICES NYC-nan
013bec35b2ae87f0eccc6ee07fd167da,40.6765898831,-73.9345851459,30900.0,Local,77,"EDUCATION, CHILD WELFARE, AND YOUTH",BROOKLYN KINDERGARTEN SOCIETY-Non-public
05a256357349121e0dd93718ca788513,40.8515531158,-73.9404520911,27500.0,Regional,34,LIBRARIES AND CULTURAL PROGRAMS,"ANTHROPOLOGISTS, INC.-Non-public"
001425fed2ed0005ffb556c8d448fd8c,40.5974110087,-74.0864997227,9601.0,Local,122,"EDUCATION, CHILD WELFARE, AND YOUTH",ACADEMY OF ST. DOROTHY SCHOOL-Non-public
03c10d53eacc53c7ae165b11845333df,40.8168690627,-73.8605933877,1600.0,Local,43,"EDUCATION, CHILD WELFARE, AND YOUTH","XABK-CHURCH OF THE HOLY CROSS, CLASON POINT, NY-Non-public"
00947e7741db3550a67b4af777fc7007,40.622558,-73.917054,69601.0,Regional,63,CORE INFRASTRUCTURE AND TRANSPORTATION,2259 RALPH AVE TEXTILE DROP-OFF SITE-nan
049a0582dbea84eaed25188d7c279fd9,40.6734306139,-73.9288358613,34700.0,Local,77,"EDUCATION, CHILD WELFARE, AND YOUTH","THE FRIENDS OF CROWN HEIGHTS EDUCATIONAL CENTERS, INC.-Non-public"
0472bdf9fbcfe6a1fd56f90d25b3806f,40.6687691274,-73.8645659985,121400.0,Local,75,"EDUCATION, CHILD WELFARE, AND YOUTH",LOUIS HEATON PINK (5)-Non-public
0412dc269b3ba1f29ca8e06c5d6b36b4,40.6284256355,-73.9282625343,72800.0,Local,63,"EDUCATION, CHILD WELFARE, AND YOUTH",P.S. 326-NYCDOE
047eda58d1b7ef0fdc8ee816f6667d43,40.7432932451,-73.8554532746,43900.0,Local,110,HEALTH AND HUMAN SERVICES,SPANISH SPEAKING ELDERLY COUNCIL RAICES INC.-Non-public
03b11656cfea79cc9ed2962aed3b0133,40.761617,-73.965386,11000.0,Local,19,CORE INFRASTRUCTURE AND TRANSPORTATION,60TH STORAGE CORP.-Non-public
061b2e6253e5cfd699f319d3417f12eb,40.5757811317,-73.986243882,32600.0,Local,60,HEALTH AND HUMAN SERVICES,CONEY ISLAND SNAP CENTER-NYCHRA
0563ee491e917d44dc06cf14144ce483,40.77088,-73.955871,13400.0,Local,19,CORE INFRASTRUCTURE AND TRANSPORTATION,"WINDSOR NEW PARTNERS, LLC.-Non-public"
02a2d23997cefb66cdf0908d8168578b,40.830136,-73.845255,9600.0,Local,43,ADMINISTRATION OF GOVERNMENT,INDOOR PARKING GARAGE-NYCDSNY
041d8f3b0b62666c48fb02b6085314c7,40.7055389177,-74.0159786939,1300.0,Local,1,"EDUCATION, CHILD WELFARE, AND YOUTH","INSTITUTE OF CAREER CONTINUITY, INC.-Non-public"
039aa3ebc47d62fc55f01ea25a8c9e5c,40.6984700954,-73.9158873326,43300.0,Local,83,"EDUCATION, CHILD WELFARE, AND YOUTH",MAKE THE ROAD-nan
0298e55a0be8e54904a42f2ed1a61a8d,40.819059011,-73.9113444872,7100.0,Local,40,"EDUCATION, CHILD WELFARE, AND YOUTH",BRONXCHESTER-Non-public
034180ba239f4776ddba6a2c0cadefc4,40.7709277693,-73.9548058085,13400.0,Local,19,"EDUCATION, CHILD WELFARE, AND YOUTH",DISTRICT 2 PRE-K CENTER AT 355 EAST 76 STREET-Unknown
02be90c4709ed1b4f917c28aeb727dd4,40.7976205329,-73.9418968465,18200.0,Regional,23,HEALTH AND HUMAN SERVICES,FAST BREAK 115-Non-public
0094c6992cf7e1978657479f502247ce,40.8229318252,-73.843224286,9000.0,Regional,43,CORE INFRASTRUCTURE AND TRANSPORTATION,PIONEER TRANSPORTATION CORP-Non-public
051f697339cc0ed7a0018b8f7f2cc512,40.5784839922,-73.8349931396,93800.0,Regional,100,HEALTH AND HUMAN SERVICES,PARK NURSING HOME-nan
016a7829e55fc936ea49302322b4e9d5,40.7880347197,-73.9743897297,17300.0,Regional,24,LIBRARIES AND CULTURAL PROGRAMS,"SILENT CINEMA PRESENTATIONS, INC.-Non-public"
00b655e740d8fb88a97db8d221227d6b,40.6108084892,-74.0867865299,4004.0,Local,120,"EDUCATION, CHILD WELFARE, AND YOUTH",CONCORD HIGH SCHOOL-NYCDOE
0165476eae4c88eddd9ede7c9804c4f1,40.771028,-73.948828,13602.0,Local,19,CORE INFRASTRUCTURE AND TRANSPORTATION,SUPERIOR PARKING LLC-Non-public
0005d3c51109b7d8d06a 3942c267b95a,40.8382717188,-73.8415246987,9600.0,Regional,45,CORE INFRASTRUCTURE AND TRANSPORTATION,G.V.C. LTD. (B2192)-Non-public
0418a4a08f04a00c61f9ac0e1d028744,40.7623835196,-73.8038562951,117100.0,Local,109,"PARKS, GARDENS, AND HISTORICAL SITES",STUDLEY TRIANGLE-NYCDPR
00a374f576553cf83c6851c93a7244b3,40.8122108373,-73.9463814519,22400.0,Local,32,"PARKS, GARDENS, AND HISTORICAL SITES",LANGSTON HUGHES PLAYGROUND-NYCDPR
065f0fbf3916b81fda8292558dd67e84,40.782493,-73.965548,14300.0,Local,22,CORE INFRASTRUCTURE AND TRANSPORTATION,SP PLUS CORPORATION-Non-public
f0d4f30f6646e388,40.6860142872,-73.8273156838,9800.0,Local,106,"EDUCATION, CHILD WELFARE, AND YOUTH",SAFE SPACE PREVENTIVE-Non-public
038afaefd5c838de9cb43910b08c5c38,40.808761484,-73.9489296715,22200.0,Local,28,"EDUCATION, CHILD WELFARE, AND YOUTH",HARLEM EDUCATION ACTIVITIES FUND-Non-public
039561b3a87acdcb9f532432c5d02496,40.6313399634,-73.9662179895,52800.0,Local,70,"EDUCATION, CHILD WELFARE, AND YOUTH",COPO FOOD PANTRY-nan
0406efe7267ad5fe3173b65d17319fd8,40.6490612608,-73.9634337748,51200.0,Local,70,HEALTH AND HUMAN SERVICES,CAMBA INC-nan
05c68734cd08d6cfacd7364b45dff536,40.7269854262,-73.9908064707,3800.0,Regional,9,LIBRARIES AND CULTURAL PROGRAMS,"FOURTH ARTS BLOCK, INC.-Non-public"
049a16dd260cb32699977c97fed8e3f5,0.0,0.0,,Regional,0,LIBRARIES AND CULTURAL PROGRAMS,BOHEMIAN BENEVOLENT AND LITERARY ASSOCATION OF THE CITY OF NEW YORK-Non-public
02385a4aa22667bd03d723ccb4fee1d1,40.7625810295,-73.9583423164,11600.0,Local,19,"PARKS, GARDENS, AND HISTORICAL SITES",CITY & SUBURBAN HOMES COMPANY'S FIRST AVENUE ESTATE HISTORIC DIST-nan
05f91cd194080492ce3d8d2303ba15c5,40.8325534845,-73.9187773131,18102.0,Local,44,"EDUCATION, CHILD WELFARE, AND YOUTH",BRONXWORKS INC-nan
006519c2d77c9171d3f835d856e9c082,40.7419282579,-73.9513395888,701.0,Local,108,"PARKS, GARDENS, AND HISTORICAL SITES",NOTORIOUS LIC PARK-NYCDPR
003289bd5abac8d32f751c40bebd986d,40.704689,-73.900902,58500.0,Regional,104,HEALTH AND HUMAN SERVICES,BUSHWICK CENTER FOR REHABILITATION AND HEALTH CARE-Non-public
0369e5bd2e12a4822ff56965004b633c,40.7209133437,-73.9858647025,3001.0,Regional,7,LIBRARIES AND CULTURAL PROGRAMS,"PS, THE SHORT FILM EXHIBITION INC.-Non-public"
00acfcd3a83d7aa4884e2595972c04fc,40.6969168339,-73.8059684349,20800.0,Regional,103,HEALTH AND HUMAN SERVICES,CHN MOBILE VAN V-Non-public
04732ff6a4b5b5e331c37a38989b7928,40.8431108753,-73.9048217116,16700.0,Local,44,"PARKS, GARDENS, AND HISTORICAL SITES",BARRY PLAZA-NYCDPR
036217be20de740cbffb8ac85d978c3f,40.875074664,-73.9101670976,30900.0,Local,50,"EDUCATION, CHILD WELFARE, AND YOUTH","WESTHAB, INC.-nan"
04863174e0d00fb6a112f4323cba29b5,40.694621513,-73.9877074314,1100.0,Regional,84,HEALTH AND HUMAN SERVICES,FORENSICS-Non-public
04dd35a2eb78546028524afb3a36fd15,40.8006793134,-73.9511172353,21600.0,Regional,28,HEALTH AND HUMAN SERVICES,"CREATE, INC. RR-nan"
055eca104e21604396d815b374e086bb,40.6864170875,-73.8666981797,600.0,Local,102,"PARKS, GARDENS, AND HISTORICAL SITES",LEGION TRIANGLE-NYCDPR
0626491e3cef12cc278629dfb5f41cce,40.8121114662,-73.9050057302,3100.0,Regional,40,HEALTH AND HUMAN SERVICES,BRONX TREATMENT CENTER-Non-public
0061207d19a4e48ebb6070eee345ff67,40.7312218126,-73.8709582177,68700.0,Local,112,"EDUCATION, CHILD WELFARE, AND YOUTH",JEWISH INSTITUTE OF QUEENS-nan
03c6b75fc68189e621bbce4efe60fc88,40.8486044377,-73.9088552414,23301.0,Local,46,"EDUCATION, CHILD WELFARE, AND YOUTH",COMMUNITY ASSOCIATION OF PROGRESSIVE DOMINICIANS INC-nan
0066bfc3efa3205ae4420f8cb010ee3d,40.8217591964,-73.9045638775,13300.0,Local,42,"EDUCATION, CHILD WELFARE, AND YOUTH",SOUTHEAST BRONX NEIGHBORHOOD CENTERS INC-nan
00ec89c1b6622040da3c3b1b8bfe460d,40.8311155683,-73.9007018662,14900.0,Local,42,"PARKS, GARDENS, AND HISTORICAL SITES",MCKINLEY SQUARE-NYCDPR
01b22b5ce95bfed7c16fa558b66d5e03,40.7312673084,-74.0053113255,6700.0,Regional,6,LIBRARIES AND CULTURAL PROGRAMS,"CHERRY LANE ALTERNATIVE, INC.-Non-public"
02dde004968ebe9064e6b7fb67eec719,40.778460857,-73.9597857564,14200.0,Local,19,"PARKS, GARDENS, AND HISTORICAL SITES","SCHICKEL, WILLIAM, HOUSE-nan"
0242be2489d8d4ff4e44e754ec454b84,40.6771234703,-73.9852351966,11901.0,Regional,78,LIBRARIES AND CULTURAL PROGRAMS,FILM BIZ RECYCLING-Non-public
000b3093189b6f63ceb98a7f02bd68e7,40.773931359,-73.9458549693,14401.0,Local,19,"EDUCATION, CHILD WELFARE, AND YOUTH",CHAPIN SCHOOL-Non-public
019b398c13566b01b1163cc4742e8022,40.6361897318,-73.9912430875,22200.0,Local,66,"EDUCATION, CHILD WELFARE, AND YOUTH",MASBIA-nan
036516d221f1afd9a66a4e56b3ce596a,40.6708823958,-73.9086717403,90600.0,Local,73,HEALTH AND HUMAN SERVICES,HOWARD-NYCHA
01722edbb95c643538bd7e3d6678c6dd,40.8584106864,-73.9223124817,29900.0,Local,34,"EDUCATION, CHILD WELFARE, AND YOUTH",CHILDR AID TO SOCIETY PS5 HEAD START-Non-public
061763cd1b8e01df46b2a026ed4b47fd,40.666899532,-73.9136601223,90200.0,Local,73,"PARKS, GARDENS, AND HISTORICAL SITES",JES GOOD REWARDS CHILDEREN'S GARDEN-NYCDPR
0414d6be2878c6b252c7019b7f7822e9,40.693609,-73.990862,900.0,Regional,84,ADMINISTRATION OF GOVERNMENT,OFFICE BLDG-NYCDOT
0376e710226e7e669b04f0607e8f097e,40.8369187627,-73.8758092201,6000.0,Regional,48,CORE INFRASTRUCTURE AND TRANSPORTATION,"DON THOMAS BUSES, INC. (B2321)-Non-public"
03d4e676a2eb1a89c22fdbbe96f86264,40.7284657802,-73.9881581183,3800.0,Regional,9,LIBRARIES AND CULTURAL PROGRAMS,"S.I.T.U., INC.-Non-public"
01215970cc63b291ae6de1c7b8bec473,40.6290151902,-73.9228189524,72000.0,Local,63,HEALTH AND HUMAN SERVICES,A.R.C.  INC.-Non-public
03d5e5bd9dfd638e6a70d9ac72874a09,40.7467201747,-73.9908036565,9500.0,Local,13,"EDUCATION, CHILD WELFARE, AND YOUTH","BIRCH FAMILY SERVICES, INC-Non-public"
069d58ed7e5f975a5c1ca10193227b3f,40.7362342454,-73.8044117313,122703.0,Local,107,"EDUCATION, CHILD WELFARE, AND YOUTH",CAMP ABBA-Non-public
02deafb143ae2a3ca7f1de6982600f05,40.68938143,-73.7636047247,36600.0,Local,113,"EDUCATION, CHILD WELFARE, AND YOUTH",BLACK SPECTRUM THEATER COMPANY INC-nan
03c6d733eefe179d405351b9ccc899ca,40.8312720847,-73.9017895369,14900.0,Local,42,LIBRARIES AND CULTURAL PROGRAMS,MORRISANIA LIBRARY-NYPL
04f6bc8725aac4d582d4e63f1246576c,40.8464943335,-73.8966057484,39500.0,Regional,48,HEALTH AND HUMAN SERVICES,ASTOR DAY TREATMENT PROGRAM - E. TREMONT-Non-public
02be4bc10e09053c1b06e9a4d32f4de4,40.6861307275,-73.9947612172,4500.0,Regional,76,HEALTH AND HUMAN SERVICES,"BALTIC STREET AEH, INC-nan"
0036ce1e45c091e3a37ec7d4c8dcc45a,40.6650120702,-73.7826952545,30600.0,Regional,116,CORE INFRASTRUCTURE AND TRANSPORTATION,LITTLE RICHIE BUS SERVICE-Non-public
04bdc44f038f10a0e575234eb9c05258,40.8831116568,-73.8915595235,28100.0,Local,50,"EDUCATION, CHILD WELFARE, AND YOUTH",AMPARK NEIGHBORHOOD-NYCDOE
045,40.8149617726,-73.9087768364,7300.0,Local,40,"EDUCATION, CHILD WELFARE, AND YOUTH",SUNSHINE LEARNING CENTER-Non-public
