location,ntacode,x,remarks,borocd,city,boroname,y
Along Boardwalk and Beach,SI36,961558.435463,3 free 10 min sessions,595.0,Staten Island,Staten Island,148805.269369
2ND FL COMMUNITY ROOM,BX43,1017838.72973,3 free 10 min sessions,207.0,Bronx,Bronx,258685.754332
9 WEST 110 Street 5 AVENUE and LENOX AVENUE,MN99,997895.251897,,164.0,New York,Manhattan,229819.543035
37-02 QUEENS BLVD,QN31,1004264.22669,"Tablet Internet -phone , Free 1 GB Wi-FI Service",402.0,Queens,Queens,210335.401557
10-31 JACKSON AVENUE,QN31,997180.694599,"Tablet Internet -phone , Free 1 GB Wi-FI Service",402.0,Queens,Queens,209715.299779
160 EAST 5 STREET,BK40,990699.718716,,307.0,Brooklyn,Brooklyn,175622.321049
214 WEST 96 STREET,MN12,992121.068564,"Tablet Internet -phone , Free 1 GB Wi-FI Service",107.0,New York,Manhattan,228721.988472
3798 BROADWAY,MN36,999655.35402,"Tablet Internet -phone , Free 1 GB Wi-FI Service",112.0,New York,Manhattan,243317.788348
10-50 44 DRIVE,QN31,998144.131649,"Tablet Internet -phone , Free 1 GB Wi-FI Service",402.0,Queens,Queens,211978.272287
340A IND NR 169 ST,QN61,1041470.61291,SN 255,412.0,Queens,Queens,198187.285434
1579 Jerome Avenue,BX63,1007778.70457,"Tablet Internet -phone , Free 1 GB Wi-FI Service",204.0,Bronx,Bronx,246874.806497
38-02 QUEENS BLVD,QN31,1004498.65076,"Tablet Internet -phone , Free 1 GB Wi-FI Service",402.0,Queens,Queens,210299.676563
216 WEST 103 STREET,MN12,993019.556924,"Tablet Internet -phone , Free 1 GB Wi-FI Service",107.0,New York,Manhattan,230359.056064
Along Promenade,BK09,984989.537551,3 free 10 min sessions,302.0,Brooklyn,Brooklyn,193337.690474
300 Jay Street,BK38,987745.589126,,302.0,Brooklyn,Brooklyn,192812.640343
Lafayette Av (C),BK68,991475.7795,SN 176,302.0,Brooklyn,Brooklyn,189246.970965
LEFT SIDE OF GAZEBO IN PARK S/O MT EDEN PKWY,BX99,1009954.67135,3 free 10 min sessions,204.0,Bronx,Bronx,245908.581395
North area off Richmond Terr,SI22,956210.944846,3 free 10 min sessions,501.0,Staten Island,Staten Island,174241.543955
81 LEXINGTON AVENUE,MN21,988905.973616,"Tablet Internet -phone , Free 1 GB Wi-FI Service",106.0,New York,Manhattan,209418.588759
33-20 30 AVENUE,QN70,1006639.65993,"Tablet Internet -phone , Free 1 GB Wi-FI Service",401.0,Queens,Queens,218283.299376
543 3 AVENUE,MN20,990621.572547,"Tablet Internet -phone , Free 1 GB Wi-FI Service",106.0,New York,Manhattan,211447.942968
73 2 AVENUE,MN22,987201.696513,"Tablet Internet -phone , Free 1 GB Wi-FI Service",103.0,New York,Manhattan,203949.802452
"54 Stone Street, New York, NY 10004, USA",MN25,981421.779267,,101.0,New York,Manhattan,195872.08534
581 MOTHER GASTON BOULEVARD,BK81,1010544.04287,,316.0,Brooklyn,Brooklyn,181369.05201
241 1 AVENUE,MN21,989086.836115,"Tablet Internet -phone , Free 1 GB Wi-FI Service",106.0,New York,Manhattan,205819.385655
18 UNION SQUARE EAST,MN21,987057.095096,"Tablet Internet -phone , Free 1 GB Wi-FI Service",105.0,New York,Manhattan,207125.201613
84-43 CORONA AVENUE,QN50,1018022.28677,"Tablet Internet -phone , Free 1 GB Wi-FI Service",404.0,Queens,Queens,208658.544347
849 10 AVENUE,MN15,987237.538304,"Tablet Internet -phone , Free 1 GB Wi-FI Service",104.0,New York,Manhattan,219227.927408
95 Wall Street,MN25,982219.936791,"Tablet Internet -phone , Free 1 GB Wi-FI Service",101.0,New York,Manhattan,196143.169115
Lake Club Restaurant Back Patio Dining,SI07,954215.372393,3 free 10 min sessions,501.0,Staten Island,Staten Island,164357.912476
ORIENTAL BL  1/P/W/O KENSINGTON ST,BK17,1000411.67764,3 free 10 min sessions,315.0,Brooklyn,Brooklyn,149924.727432
270 WEST 136 STREET,MN03,999193.438277,"Tablet Internet -phone , Free 1 GB Wi-FI Service",110.0,New York,Manhattan,236957.636371
"Chambers St (J,M,Z)/Bklyn Bridge-City Hall (4,5,6)",MN27,983307.155089,SN 105,101.0,New York,Manhattan,199130.180202
pole 26: 120NEC7av,MN11,997943.696354,,110.0,New York,Manhattan,232776.878656
2321 BROADWAY,MN12,990440.320941,"Tablet Internet -phone , Free 1 GB Wi-FI Service",107.0,New York,Manhattan,226092.948454
35-01 BROADWAY,QN70,1005852.99779,"Tablet Internet -phone , Free 1 GB Wi-FI Service",401.0,Queens,Queens,216347.036188
4802 CHURCH AVE,BK91,1003066.89674,"Tablet Internet -phone , Free 1 GB Wi-FI Service",317.0,Brooklyn,Brooklyn,176675.472486
2730 FREDERICK DOUGLASS BOULEVARD,MN03,1000379.29877,"Tablet Internet -phone , Free 1 GB Wi-FI Service",110.0,New York,Manhattan,239095.960506
IN PARK ABOVE  PLAYGROUND  NORTH SIDE,BK77,1005118.05208,3 free 10 min sessions,304.0,Brooklyn,Brooklyn,195399.277886
232 8 AVENUE,MN13,984529.035847,"Tablet Internet -phone , Free 1 GB Wi-FI Service",104.0,New York,Manhattan,210482.721801
ON MAST ON ROOF,BX05,1012175.92379,3 free 10 min sessions,207.0,Bronx,Bronx,254338.186911
725 ST MARKS AVENUE,BK61,998516.892058,,308.0,Brooklyn,Brooklyn,185336.410217
C/O MIDDLETOWN RD /DWIGHT PL,BX10,1032957.355,3 free 10 min sessions,210.0,Bronx,Bronx,247767.769934
BIRCHAll AV 6/P/E/O SAGAMORE ST,BX37,1023040.44242,3 free 10 min sessions,211.0,Bronx,Bronx,247015.362646
341 PARK AVENUE SOUTH,MN21,988299.81702,"Tablet Internet -phone , Free 1 GB Wi-FI Service",105.0,New York,Manhattan,209360.996026
1626 AMSTERDAM AVENUE,MN04,998114.741287,"Tablet Internet -phone , Free 1 GB Wi-FI Service",109.0,New York,Manhattan,238855.493139
56 GIFFORDS LANE,SI54,942256.908778,,503.0,Staten Island,Staten Island,140575.415093
Park Perimeter,QN22,1034637.51076,3 free 10 min sessions,407.0,Queens,Queens,211685.217755
2252 BROADWAY,MN12,990126.119798,"Tablet Internet -phone , Free 1 GB Wi-FI Service",107.0,New York,Manhattan,225276.080337
C/O MIDDLETOWN RD  /OHM AV,BX10,1033753.28681,3 free 10 min sessions,210.0,Bronx,Bronx,248335.20023
2079 FREDERICK DOUGLASS BOULEVARD,MN11,996160.282598,"Tablet Internet -phone , Free 1 GB Wi-FI Service",110.0,New York,Manhattan,231597.633311
C/O  E 233RD ST  & WILDER AV,BX62,1028452.5041,3 free 10 min sessions,212.0,Bronx,Bronx,263125.892433
PARKING STRUCTURE 3FLR NORTH FACING ON OUTSIDE ( FIRST RADIO IN FROM RIVER ST),BX63,1004367.26258,3 free 10 min sessions,204.0,Bronx,Bronx,240108.882365
343 COURT STREET,BK33,985427.787331,"Tablet Internet -phone , Free 1 GB Wi-FI Service",306.0,Brooklyn,Brooklyn,187923.380109
Pole 85 - 137NS3EACP,MN03,1000633.18868,,110.0,New York,Manhattan,236501.692729
SNACK BAR  NORTH EASTCORNER,BK99,993010.501168,3 free 10 min sessions,314.0,Brooklyn,Brooklyn,176359.360586
Lobby  Drop ceiling,BX39,1008018.04858,3 free 10 min sessions,201.0,Bronx,Bronx,234956.100347
Along Promenade,BK09,984947.115392,3 free 10 min sessions,302.0,Brooklyn,Brooklyn,193208.35215
Outdoor - Caf├⌐ and Park,QN31,994986.200957,3 free 10 min sessions,402.0,Queens,Queens,209607.418761
82 St Edwards St,BK68,989957.960357,,302.0,Brooklyn,Brooklyn,192316.769944
HAWTHRONE ST 1 P/S/O/BROOKLYN AV,BK60,998910.873553,3 free 10 min sessions,309.0,Brooklyn,Brooklyn,178800.284838
2120 BROADWAY,MN12,989425.993573,"Tablet Internet -phone , Free 1 GB Wi-FI Service",107.0,New York,Manhattan,223569.467937
409 Fulton St.,BK38,987457.691079,,302.0,Brooklyn,Brooklyn,191399.29376
91 3 AVENUE,MN22,987592.953932,"Tablet Internet -phone , Free 1 GB Wi-FI Service",103.0,New York,Manhattan,205978.354169
921 COLUMBUS AVENUE,MN12,994462.250889,"Tablet Internet -phone , Free 1 GB Wi-FI Service",107.0,New York,Manhattan,230273.18222
68 St-Hunter College (6),MN40,994257.916324,SN 399,108.0,New York,Manhattan,219133.309815
79-20 37 AVENUE,QN28,1015710.36128,"Tablet Internet -phone , Free 1 GB Wi-FI Service",403.0,Queens,Queens,212345.008759
3025 CROSS BRONX EXPRESSWAY,BX52,1034319.35523,,210.0,Bronx,Bronx,239134.854129
63-14 QUEENS BOULEVARD,QN63,1011438.41018,"Tablet Internet -phone , Free 1 GB Wi-FI Service",402.0,Queens,Queens,209244.28038
2 WEST 57 STREET,MN17,991382.141236,"Tablet Internet -phone , Free 1 GB Wi-FI Service",105.0,New York,Manhattan,217254.685619
1 ST LUKES PLACE,MN23,982412.864227,"Tablet Internet -phone , Free 1 GB Wi-FI Service",102.0,New York,Manhattan,205329.206517
63 5 AVENUE,BK37,990505.574091,"Tablet Internet -phone , Free 1 GB Wi-FI Service",306.0,Brooklyn,Brooklyn,187286.174362
MULTI-PURPOSE  R,BK81,1011205.64588,3 free 10 min sessions,316.0,Brooklyn,Brooklyn,178253.38895
2361 HYLAN BOULEVARD,SI45,954547.747713,"Tablet Internet -phone , Free 1 GB Wi-FI Service",502.0,Staten Island,Staten Island,148223.699338
Game Room,BK33,983056.366877,3 free 10 min sessions,306.0,Brooklyn,Brooklyn,184254.621042
250 BROOK AVENUE,BX39,1006671.75009,"Tablet Internet -phone , Free 1 GB Wi-FI Service",201.0,Bronx,Bronx,233574.689068
"Euclid Av (A,C)",BK82,1019725.63934,SN 188,305.0,Brooklyn,Brooklyn,185360.359316
Outdoor - Park Area,QN01,1044160.64001,3 free 10 min sessions,412.0,Queens,Queens,195608.114083
Comfort station - Front Left,BK31,975343.676593,3 free 10 min sessions,310.0,Brooklyn,Brooklyn,172184.221954
3121 CHURCH AVENUE,BK95,998725.27025,"Tablet Internet -phone , Free 1 GB Wi-FI Service",317.0,Brooklyn,Brooklyn,176443.701296
HALL CEILING-2ND FL,BX39,1008018.04858,3 free 10 min sessions,201.0,Bronx,Bronx,234956.100347
"Broadway-Lafayette St (B,D,F)/Bleecker St (6)",MN23,985302.158645,SN 230,102.0,New York,Manhattan,203521.826274
1950 3 AVENUE,MN33,999692.488788,"Tablet Internet -phone , Free 1 GB Wi-FI Service",111.0,New York,Manhattan,227972.212412
128-16 ROCKAWAY BOULEVARD,QN55,1037158.009,,410.0,South Ozone Park,Queens,185173.439742
2374 JEROME AVENUE,BX40,1011255.97255,"Tablet Internet -phone , Free 1 GB Wi-FI Service",205.0,Bronx,Bronx,252843.353943
249 WEST 107 STREET,MN09,993249.759876,"Tablet Internet -phone , Free 1 GB Wi-FI Service",107.0,New York,Manhattan,231514.811298
Near Tennis Courts,BX30,1010112.32523,,207.0,Bronx,Bronx,253742.023734
3386 FULTON STREET,BK83,1020156.06367,"Tablet Internet -phone , Free 1 GB Wi-FI Service",305.0,Brooklyn,Brooklyn,188524.768013
Pole 61 - 130NS3E7,MN03,999788.91937,,110.0,New York,Manhattan,234823.370298
62-10 NORTHERN BOULEVARD,QN63,1011929.59456,"Tablet Internet -phone , Free 1 GB Wi-FI Service",402.0,Queens,Queens,213962.352637
Camping,MN99,978190.435336,Free - up to 5 mbs,101.0,New York,Manhattan,190382.265939
4201 3 AVENUE,BX01,1012915.06372,"Tablet Internet -phone , Free 1 GB Wi-FI Service",206.0,Bronx,Bronx,247688.69004
1580 ST. NICHOLAS AVE,MN35,1003636.7496,"Tablet Internet -phone , Free 1 GB Wi-FI Service",112.0,New York,Manhattan,250551.09606
410 COLUMBUS AVENUE,MN12,991122.56203,"Tablet Internet -phone , Free 1 GB Wi-FI Service",107.0,New York,Manhattan,224378.247816
261 WALTON AVENUE,BX63,1003566.30847,"Tablet Internet -phone , Free 1 GB Wi-FI Service",201.0,Bronx,Bronx,235959.898537
1180 3 AVENUE,MN40,994705.41182,"Tablet Internet -phone , Free 1 GB Wi-FI Service",108.0,New York,Manhattan,219029.25917
21-01 BROADWAY,QN70,1003245.17886,"Tablet Internet -phone , Free 1 GB Wi-FI Service",401.0,Queens,Queens,218052.673196
"Front area of the Lake Club Restaurant, Bridge and Parking Lot",SI07,954215.236239,3 free 10 min sessions,501.0,Staten Island,Staten Island,164472.311197
110 Maiden Lane,MN25,982518.956534,"Tablet Internet -phone , Free 1 GB Wi-FI Service",101.0,New York,Manhattan,196579.493046
ROOF OF ABE STARK ICE RINK-LEFT SIDE FRONT,BK21,988128.511588,3 free 10 min sessions,313.0,Brooklyn,Brooklyn,147913.697333
Blazing Saddles,MN99,979224.808595,Free - up to 5 mbs,101.0,New York,Manhattan,190134.28612
2208 FULTON STREET,BK79,1009664.4823,"Tablet Internet -phone , Free 1 GB Wi-FI Service",316.0,Brooklyn,Brooklyn,186332.16938
80-55 KEW GARDENS ROAD,QN60,1031431.35969,"Tablet Internet -phone , Free 1 GB Wi-FI Service",409.0,Queens,Queens,199148.295651
321 EAST 140 STREET,BX39,1005186.65595,,201.0,Bronx,Bronx,234972.513372
25-14 BROADWAY,QN70,1004213.25009,"Tablet Internet -phone , Free 1 GB Wi-FI Service",401.0,Queens,Queens,217302.672728
Beach 116 - Rear of Comfort Station,QN10,1029866.21912,3 free 10 min sessions,414.0,Queens,Queens,149855.734131
Boro Hall Park 1 (Pole),BK38,986998.416079,,302.0,Brooklyn,Brooklyn,191780.326135
149 St - Grand Concourse,BX39,1004533.60083,SN 435,201.0,Bronx,Bronx,237454.466086
10-05 41 AVENUE,QN68,999441.701232,Free - Up to 25 mbs Wi-Fi Service,401.0,Queens,Queens,214621.916935
Comfort Station and Ball Field,QN43,1057875.91474,3 free 10 min sessions,413.0,Queens,Queens,209068.190509
42nd Street ΓÇô Port Authority,MN17,987093.841085,SN 163,105.0,New York,Manhattan,215184.594615
333 5 AVENUE,MN17,988395.94478,"Tablet Internet -phone , Free 1 GB Wi-FI Service",105.0,New York,Manhattan,211657.775225
550 8 AVENUE,MN17,986502.18446,"Tablet Internet -phone , Free 1 GB Wi-FI Service",105.0,New York,Manhattan,214041.621179
1473 FULTON STREET,BK75,1000264.98272,"Tablet Internet -phone , Free 1 GB Wi-FI Service",303.0,Brooklyn,Brooklyn,187045.526877
WEST OF K-32 OUTSIDE HANDBALL COURT,BK27,983934.805409,3 free 10 min sessions,311.0,Brooklyn,Brooklyn,157198.58001
736 7 AVENUE,MN17,988679.171576,"Tablet Internet -phone , Free 1 GB Wi-FI Service",105.0,New York,Manhattan,216251.350355
Parking lot on Union Turn Pike at 196th Place,QN41,1046862.7806,3 free 10 min sessions,408.0,Queens,Queens,205756.833615
70 WEST 71 STREET,MN14,990052.172767,"Tablet Internet -phone , Free 1 GB Wi-FI Service",107.0,New York,Manhattan,222204.155707
Area near Ballfields,SI07,954738.49241,,501.0,Staten Island,Staten Island,164193.325207
221 8 AVENUE,MN13,984416.848408,"Tablet Internet -phone , Free 1 GB Wi-FI Service",104.0,New York,Manhattan,210430.63201
3846 BROADWAY,MN36,999971.27596,"Tablet Internet -phone , Free 1 GB Wi-FI Service",112.0,New York,Manhattan,243889.271786
"Prince St (N,R)",MN24,984886.958688,SN 17,102.0,New York,Manhattan,203169.139643
2828 BROADWAY,MN09,993466.978929,"Tablet Internet -phone , Free 1 GB Wi-FI Service",107.0,New York,Manhattan,232147.098091
2704 BROADWAY,MN12,993045.466321,"Tablet Internet -phone , Free 1 GB Wi-FI Service",107.0,New York,Manhattan,230496.299556
488 MADISON AVENUE,MN17,991136.314299,"Tablet Internet -phone , Free 1 GB Wi-FI Service",105.0,New York,Manhattan,215674.088059
"Court St (M,R)/Borough Hall (2,3,4,5)",BK09,986981.250103,SN 415,302.0,Brooklyn,Brooklyn,191538.045123
Harlem Hospital Center,MN03,1000849.95498,,110.0,New York,Manhattan,236050.063711
91-03 JAMAICA AVENUE,QN53,1024826.4254,"Tablet Internet -phone , Free 1 GB Wi-FI Service",409.0,Queens,Queens,191849.399816
ROOF OF ABE STARK ICE RINK-RIGHT SIDE FRONT,BK21,988245.469031,3 free 10 min sessions,313.0,Brooklyn,Brooklyn,147917.723572
Wilson Av (L),BK77,1010860.68332,SN 130,304.0,Brooklyn,Brooklyn,190226.307589
286 Flatbush Ave. Extension (Pole),BK38,989106.332467,,302.0,Brooklyn,Brooklyn,191351.11177
1284 1 AVENUE,MN31,996048.109266,"Tablet Internet -phone , Free 1 GB Wi-FI Service",108.0,New York,Manhattan,218232.190226
124-05 JAMAICA AVENUE,QN54,1032439.35341,"Tablet Internet -phone , Free 1 GB Wi-FI Service",409.0,Queens,Queens,194690.669396
1313 BROADWAY,MN17,987632.5759,"Tablet Internet -phone , Free 1 GB Wi-FI Service",105.0,New York,Manhattan,212555.670083
300 EAST 52 STREET,MN19,993263.152894,"Tablet Internet -phone , Free 1 GB Wi-FI Service",106.0,New York,Manhattan,214716.26189
718 EAST 149 STREET,BX39,1009442.11135,"Tablet Internet -phone , Free 1 GB Wi-FI Service",201.0,Bronx,Bronx,235534.762576
Left center,BX63,1005538.85374,3 free 10 min sessions,204.0,Bronx,Bronx,240970.082086
Area off Broadway by Entrance,SI22,952446.388399,3 free 10 min sessions,501.0,Staten Island,Staten Island,167140.70317
BALCOM AV 2/P/W/O SAMPSON AV,BX52,1033053.78427,3 free 10 min sessions,210.0,Bronx,Bronx,237248.079031
"Spring St (C,E)",MN24,983213.654948,SN 168,102.0,New York,Manhattan,203860.65368
1191 2 AVENUE,MN31,994586.905167,"Tablet Internet -phone , Free 1 GB Wi-FI Service",108.0,New York,Manhattan,217289.428332
2491 Frederick Douglas Blvd._HCZ,MN03,998761.018866,,110.0,New York,Manhattan,236334.362683
Sr. Dinning Area,QN18,1021496.88252,3 free 10 min sessions,406.0,Queens,Queens,205874.079771
906 3Rd Ave,MN19,992913.730036,"Tablet Internet -phone , Free 1 GB Wi-FI Service",106.0,New York,Manhattan,215799.87488
1439 ST. NICHOLAS AVE,MN35,1002655.1095,"Tablet Internet -phone , Free 1 GB Wi-FI Service",112.0,New York,Manhattan,248909.362139
8 WEST BURNSIDE AVENUE,BX36,1009728.93525,"Tablet Internet -phone , Free 1 GB Wi-FI Service",205.0,Bronx,Bronx,250340.150944
43-40 NORTHERN BOULEVARD,QN31,1006857.44756,"Tablet Internet -phone , Free 1 GB Wi-FI Service",401.0,Queens,Queens,213858.819051
Lexington Av-63 St (F),MN40,993636.552081,SN 223,108.0,New York,Manhattan,217853.888161
300 MADISON AVENUE,MN20,989906.17109,"Tablet Internet -phone , Free 1 GB Wi-FI Service",105.0,New York,Manhattan,213449.705696
215 WEST 91 STREET,MN12,991498.705635,"Tablet Internet -phone , Free 1 GB Wi-FI Service",107.0,New York,Manhattan,227606.733813
1123 BROADWAY,MN13,987241.079636,"Tablet Internet -phone , Free 1 GB Wi-FI Service",105.0,New York,Manhattan,210045.647872
80-02 KEW GARDENS ROAD,QN60,1031145.51217,"Tablet Internet -phone , Free 1 GB Wi-FI Service",409.0,Queens,Queens,199445.047026
166-01 JAMAICA AVENUE,QN61,1041423.84791,"Tablet Internet -phone , Free 1 GB Wi-FI Service",412.0,Queens,Queens,196548.206035
