latitude,longitude,data_center_gross_floor_area,bar_nightclub_gross_floor,postcode,national_median_site_energy,green_power_offsite_kwh,natural_gas_cost,energy_star_score,medical_office_number_of_1,year_built,museum_gross_floor_area_ft,hospital_general_medical_16,parking_open_parking_lot,bank_branch_number_of,enclosed_mall_gross_floor,retail_store_weekly_operating,county,medical_office_mri_machine,estimated_savings_from_energy,other_water_sources_combined,fuel_oil_no_5_and_no_6_cost,office_worker_density_number,office_number_of_computers,fuel_oil_no_4_cost,data_center_national_median,net_emissions_metric_tons,national_median_source_energy,energy_star_certification_2,municipally_supplied_potable_4,courthouse_gross_floor_area,percent_of_electricity_that,vocational_school_gross_floor,electricity_use_grid_purchase,adult_education_gross_floor,other_weekly_operating_hours,fuel_oil_no_2_cost,parking_gross_floor_area,retail_store_number_of_open,multifamily_housing_number,weather_normalized_source_1,multifamily_housing_maximum,multifamily_housing_primary,energy_alerts,data_center_it_source_energy,green_power_onsite_kwh,estimated_data_flag_district,release_date,national_median_energy_cost,financial_office_weekly,data_center_pue,district_steam_use_kbtu,year_ending,multifamily_housing_percent_2,direct_ghg_emissions_metric
40.722374,-74.00815,Not Available,Not Available,10013,3669075,0,Not Available,75,Not Available,1910,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,2.80193,175,Not Available,Not Available,219.7,11524725,Not Available,561.1,Not Available,0,Not Available,2700574.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,8479802.8,Not Available,Not Available,The most recent bill for one or more meters in use is either more than 120 days old or prior to your <b>Next Eligible Date</b>.,Not Available,Not Available,Not Available,2014-05-06T13:10:24.000,0,Not Available,Not Available,Not Available,2013-12-31T00:00:00.000,Not Available,0
40.764627,-73.972745,Not Available,Not Available,10022,Not Available,0,1413.272314,Not Available,Not Available,1963,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,793.9,Not Available,Not Available,Not Available,Not Available,0,Not Available,5468358.2,Not Available,Not Available,Not Available,Not Available,Not Available,118,21922686,18,District Steam,The most recent bill for one or more meters in use is either more than 120 days old or prior to your <b>Next Eligible Date</b>.,Not Available,Not Available,No,2014-05-01T23:17:57.000,Not Available,Not Available,Not Available,3898316.8,2013-12-31T00:00:00.000,90,3.8
40.875123,-73.886286,Not Available,Not Available,10458,Not Available,0,0,Not Available,Not Available,1956,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,USA,Not Available,0,Not Available,0,Not Available,Not Available,Not Available,Not Available,1095.9,Not Available,Not Available,Not Available,Not Available,0,Not Available,2843228.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,<b>Fuel Oil (No. 4)</b> has one or more bills in the selected timeframe that cover more than 65 days. Please enter energy use in bills less than 65 days.,Not Available,Not Available,Not Available,2014-04-28T10:16:05.000,Not Available,Not Available,Not Available,Not Available,2013-12-31T00:00:00.000,100,864.6
40.768051,-73.89144,Not Available,Not Available,11370,Not Available,0,0,Not Available,Not Available,1939,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Queens,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,411.8,Not Available,Not Available,Not Available,Not Available,0,Not Available,1403267.7,Not Available,Not Available,Not Available,Not Available,Not Available,90,10235723.7,4,Natural Gas,Not Available,Not Available,Not Available,Not Available,2014-04-29T14:07:49.000,Not Available,Not Available,Not Available,Not Available,2013-12-31T00:00:00.000,90,297.6
40.852799,-73.853325,Not Available,Not Available,10461,Not Available,0,0,Not Available,Not Available,1935,Not Available,Not Available,Not Available,Not Available,Not Available,40,Bronx,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,781.5,Not Available,Not Available,14000.1,Not Available,0,Not Available,1477692.9,Not Available,60,Not Available,Not Available,0,272,14109925,6,Fuel Oil (No. 4),Not Available,Not Available,Not Available,Not Available,2014-04-30T13:42:49.000,Not Available,Not Available,Not Available,Not Available,2013-12-31T00:00:00.000,20,661.3
40.788559,-73.977065,Not Available,Not Available,10024,Not Available,0,0,Not Available,Not Available,1907,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,379.2,Not Available,Not Available,Not Available,Not Available,0,Not Available,1226278.9,Not Available,Not Available,0,Not Available,Not Available,72,7653942.6,13,Fuel Oil (No. 2),The most recent bill for one or more meters in use is either more than 120 days old or prior to your <b>Next Eligible Date</b>.,Not Available,Not Available,Not Available,2014-05-01T23:17:57.000,Not Available,Not Available,Not Available,Not Available,2013-12-31T00:00:00.000,100,279.4
40.77969,-73.987882,Not Available,Not Available,10069,Not Available,0,0,Not Available,Not Available,2000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3831.2,Not Available,Not Available,21229.3,Not Available,0,Not Available,21646552,Not Available,Not Available,Not Available,Not Available,Not Available,726,108830479.5,50,Not Available,Not Available,Not Available,Not Available,Not Available,2014-04-30T18:57:48.000,Not Available,Not Available,Not Available,Not Available,2013-12-31T00:00:00.000,100,2070
40.771508,-73.95482,Not Available,Not Available,10075,Not Available,0,0,Not Available,Not Available,1938,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,501.9,Not Available,Not Available,Not Available,Not Available,0,Not Available,1060360.4,Not Available,Not Available,Not Available,Not Available,Not Available,119,8962832.7,6,Fuel Oil (No. 5 and No. 6),Not Available,Not Available,Not Available,Not Available,2014-04-30T13:51:25.000,Not Available,Not Available,Not Available,Not Available,2013-12-31T00:00:00.000,100,415.6
40.770755,-73.98262,Not Available,Not Available,10023,Not Available,0,5039.59408,Not Available,Not Available,1974,Not Available,Not Available,0,Not Available,Not Available,65,Not Available,Not Available,0,Not Available,Not Available,2.1978,3,Not Available,Not Available,1729.8,Not Available,Not Available,Not Available,Not Available,0,Not Available,5933891.9,Not Available,Not Available,Not Available,33380,0,Not Available,35115888.8,30,District Steam,The most recent bill for one or more meters in use is either more than 120 days old or prior to your <b>Next Eligible Date</b>.,Not Available,Not Available,No,2014-05-01T23:17:57.000,Not Available,Not Available,Not Available,13856057.6,2013-12-31T00:00:00.000,100,20.2
40.753104,-73.972757,15400,Not Available,10017,85183096.7,0,Not Available,82,Not Available,1959,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,11966.6,Not Available,3.1513,2160,Not Available,Not Available,4918.7,214370136.5,08/31/2013,Not Available,Not Available,0,Not Available,39881860.3,Not Available,70.42,Not Available,Not Available,Not Available,Not Available,147929549.8,Not Available,Not Available,The most recent bill for one or more meters in use is either more than 120 days old or prior to your <b>Next Eligible Date</b>.,19239626.5,Not Available,No,2014-05-01T09:43:14.000,0,52,Not Available,18905677.5,2013-12-31T00:00:00.000,Not Available,0
40.745378,-73.996651,Not Available,Not Available,10011,Not Available,0,0,Not Available,Not Available,1939,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,New York,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,710.4,Not Available,Not Available,Not Available,Not Available,0,Not Available,1604502.5,Not Available,Not Available,176249.071,Not Available,Not Available,82,12914601.1,6,Not Available,Not Available,Not Available,Not Available,Not Available,2014-04-29T15:07:42.000,Not Available,Not Available,Not Available,Not Available,2013-12-31T00:00:00.000,100,579.9
40.72631,-74.00749,Not Available,Not Available,10013,33339018.8,0,0,87,Not Available,1908,Not Available,Not Available,Not Available,Not Available,Not Available,50.47,Not Available,Not Available,0,Not Available,Not Available,2.08184,829,0,Not Available,1579.7,104724748.4,08/31/2013,Not Available,Not Available,0,Not Available,19413112.9,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,<b>Resnick_Oil #4</b> has one or more bills in the selected timeframe that cover more than 65 days. Please enter energy use in bills less than 65 days.,Not Available,Not Available,Not Available,2014-04-21T16:50:21.000,0,Not Available,Not Available,Not Available,2013-12-31T00:00:00.000,Not Available,0.2
40.75201,-73.882634,Not Available,Not Available,11372,Not Available,0,0,Not Available,Not Available,1947,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,428,Not Available,Not Available,Not Available,Not Available,0,Not Available,1133211.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10139448.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2014-04-07T11:37:13.000,Not Available,Not Available,Not Available,Not Available,2013-12-31T00:00:00.000,100,335.8
40.740448,-73.984894,Not Available,Not Available,10010,6358635,0,0,86,Not Available,1913,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,0,1.58053,70,Not Available,Not Available,299.7,13609377,Not Available,Not Available,Not Available,0,Not Available,2025008.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,<b>Aggregated Accounts Service Class 2 - Natural Gas</b> has one or more bills in the selected timeframe that cover more than 65 days. Please enter energy use in bills less than 65 days.,Not Available,Not Available,Not Available,2014-04-29T12:15:29.000,0,Not Available,Not Available,Not Available,2013-12-31T00:00:00.000,Not Available,134.9
40.738137,-74.009093,Not Available,Not Available,10014,Not Available,0,0,Not Available,Not Available,1916,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,243.5,Not Available,Not Available,1355.6,Not Available,0,Not Available,1230853.3,Not Available,Not Available,Not Available,Not Available,Not Available,84,6657656.3,6,Natural Gas,Not Available,Not Available,Not Available,Not Available,2014-04-30T13:51:25.000,Not Available,Not Available,Not Available,Not Available,2013-12-31T00:00:00.000,100,143.4
40.688353,-73.964511,Not Available,Not Available,11205,8486400,0,0,37,Not Available,1880,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Kings,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,631.6,17204000,Not Available,291,Not Available,0,Not Available,4454708.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,<b>Natural Gas</b> has one or more bills in the selected timeframe that cover more than 65 days. Please enter energy use in bills less than 65 days.,Not Available,Not Available,Not Available,2014-04-29T10:09:41.000,0,Not Available,Not Available,Not Available,2013-12-31T00:00:00.000,Not Available,269.2
40.738642,-73.982679,Not Available,Not Available,10010,Not Available,Not Available,Not Available,Not Available,Not Available,1918,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,New york,Not Available,0,Not Available,Not Available,10.23891,40,Not Available,Not Available,Not Available,20998809,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,The meter <b>413133639500008</b> does not have 12 full months of bills for the selected timeframe. Please enter bills for the full 12 months.; The most recent bill for one or more meters in use is either more than 120 days old or prior to your <b>Next Eligible Date</b>.,Not Available,Not Available,Not Available,2014-05-01T16:39:15.000,Not Available,Not Available,Not Available,Not Available,2013-12-31T00:00:00.000,Not Available,Not Available
40.6308,-73.973311,Not Available,Not Available,11230,11424000,0,0,84,Not Available,1973,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,kings,Not Available,0,Not Available,Not Available,1.7619,62,Not Available,Not Available,475.6,23089500,Not Available,Not Available,Not Available,0,Not Available,3335902.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,14448418.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2014-05-16T12:24:23.000,0,Not Available,Not Available,Not Available,2013-12-31T00:00:00.000,Not Available,204.2
40.741617,-73.987449,118570,Not Available,10010,Not Available,Not Available,Not Available,Not Available,Not Available,1950,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,3.77286,11045,Not Available,Not Available,Not Available,387131326.6,06/30/2014,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,The meter <b>Brikerage Firm - Data Center</b> does not have 12 full months of bills for the selected timeframe. Please enter bills for the full 12 months.; The most recent bill for one or more meters in use is either more than 120 days old or prior to your <b>Next Eligible Date</b>.,Not Available,Not Available,No,2014-05-01T12:27:18.000,Not Available,Not Available,Not Available,39955.8,2013-12-31T00:00:00.000,Not Available,Not Available
40.668248,-73.849372,Not Available,Not Available,11414,Not Available,0,36889.63786,Not Available,Not Available,1967,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Queens,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,915.2,Not Available,Not Available,1020.1,Not Available,0,Not Available,2942435.2,Not Available,Not Available,Not Available,Not Available,Not Available,212,22521430.9,6,Not Available,Not Available,Not Available,Not Available,Not Available,2014-04-28T18:35:40.000,Not Available,Not Available,Not Available,Not Available,2013-12-31T00:00:00.000,100,675.8
40.848054,-73.907271,Not Available,Not Available,10457,Not Available,0,0,Not Available,Not Available,1926,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Bronx,Not Available,0,Not Available,0,Not Available,Not Available,Not Available,Not Available,529.5,Not Available,Not Available,2693.7,Not Available,0,Not Available,1124212.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,9438116.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2014-04-30T06:38:53.000,Not Available,Not Available,Not Available,Not Available,2013-12-31T00:00:00.000,100,438
40.763336,-73.970789,Not Available,Not Available,10022,29578000,0,387.47331,72,Not Available,1984,Not Available,Not Available,Not Available,Not Available,Not Available,60,Not Available,Not Available,0,Not Available,Not Available,2.48282,859,Not Available,Not Available,1809.6,80747940,Not Available,5568.5,Not Available,0,Not Available,17861066.5,Not Available,Not Available,Not Available,Not Available,0,Not Available,61347140.3,Not Available,Not Available,Not Available,Not Available,Not Available,No,2014-05-01T13:42:16.000,121341.49,Not Available,Not Available,3089230.9,2013-12-31T00:00:00.000,Not Available,82.9
40.709589,-74.010186,54000,Not Available,10006,409176059.2,0,18782.53204,82,Not Available,1972,Not Available,Not Available,Not Available,Not Available,Not Available,76,Not Available,Not Available,0,Not Available,Not Available,5.27923,14500,Not Available,Not Available,24293.2,1018951620,08/31/2014,42142.3,Not Available,0,Not Available,193330444.3,Not Available,Not Available,Not Available,Not Available,0,Not Available,722285729.2,Not Available,Not Available,The most recent bill for one or more meters in use is either more than 120 days old or prior to your <b>Next Eligible Date</b>.,131866886.5,Not Available,No,2014-04-25T11:50:15.000,13419748.81,Not Available,Not Available,95800439.9,2013-12-31T00:00:00.000,Not Available,81.6
40.742441,-73.991667,Not Available,Not Available,10010,42023076,0,0,72,Not Available,1930,Not Available,Not Available,Not Available,Not Available,Not Available,168,Not Available,Not Available,0,Not Available,Not Available,1.48595,535,Not Available,Not Available,2188.9,91757833.5,Not Available,Not Available,Not Available,0,Not Available,17362316.2,Not Available,Not Available,Not Available,Not Available,16,Not Available,Not Available,Not Available,Not Available,<b>43-2017-3965-3300-4</b> has one or more bills in the selected timeframe that cover more than 65 days. Please enter energy use in bills less than 65 days.,Not Available,Not Available,Not Available,2014-04-28T14:49:11.000,0,56,Not Available,Not Available,2013-12-31T00:00:00.000,Not Available,776.3
40.737366,-73.988424,Not Available,Not Available,10003,75645000,0,0,80,Not Available,1909,Not Available,Not Available,Not Available,19,Not Available,Not Available,usa,Not Available,0,Not Available,0,4.34783,2500,Not Available,Not Available,3940.5,181179000,Not Available,Not Available,Not Available,0,Not Available,33275993.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,<b>steam</b> has one or more bills in the selected timeframe that cover more than 65 days. Please enter energy use in bills less than 65 days.,Not Available,Not Available,No,2014-04-18T14:22:21.000,0,Not Available,Not Available,521399.6,2013-12-31T00:00:00.000,Not Available,1187
40.70706,-74.016519,Not Available,Not Available,10004,Not Available,Not Available,178356.3661,Not Available,Not Available,2008,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,14716,Not Available,512,Not Available,33,Not Available,The most recent bill for one or more meters in use is either more than 120 days old or prior to your <b>Next Eligible Date</b>.; <b>Building Electric 494011303400006</b> has bills with dates that overlap in the selected timeframe. Please resolve overlaps for this meter.,Not Available,Not Available,Not Available,2014-05-01T14:26:48.000,Not Available,Not Available,Not Available,Not Available,2013-12-31T00:00:00.000,90,2248.1
