project_name,construction_permit_id,impacted_parks_division_s,multisite_project,construction_permit_special_conditions,construction_permit_request_received_date,final_public_design_commission_approval,public_design_commission_approval_required,forestry_permit_status,impacted_park_id_s,latest_site_visit,park_impact_type
Hazmat Borings for ESCR,M144.20190624,Borough Operations;#Borough Forestry;#Capital Projects,Single Site,"i.	No borings on synthetic turf. Borings in athletic fields must be approved in advance by Manhattan Recreation. The following dates are approved between 7am – 3pm. The fields must be restored for play by 3pm.
a)	Field 4 -  July 9 and 11
b)	Field 6 – July 9 and 11
c)	Field 7 – July 9 and 10
d)	Field 8 – July 8 and 9
ii.	These three actions must proceed all drilling: 
a)	Call to One-Call (“Call before you dig”) - public markouts at locations in the vicinity of each boring.
b)	Ground penetrating radar focused utility screening of the area.
c)	Based on the GPR survey, hand-clear 6 feet below the ground surface (bgs) to physically confirm no utilities or unusual conditions up to 6-ft bgs. 
iii.	Staging in the Pier 42 Parking Lot is allowed as long as there is a path to allow a DEP truck to access the manhole covers. The staging should be at least 20’ away from the manholes.
iv.	Pathways must remain open to the public. Proper safety protocols must be followed for safeguarding the public.
v.	Plywood must be used to protect the landscaping.",2019-06-06T00:00:00.000,,,Approved,M144;M017;,2019-06-24T00:00:00.000,Staging;#Excavation;#Partial Park Closure
"WO#KVWP-FN-19-01 (#98) from Maintenance Repair of Guide Rail Barrier, Fencing, Signs, and Other Roadside Appurtenances",,Borough Horticulture,Single Site,,,,,,RZ263;,,No Parkland Impact
Installation of Concrete Sculpture,B113A.20190227,Borough Operations;#Arts & Antiquities;#Borough Forestry,Single Site,Follow standard tree protection protocol,2019-02-22T00:00:00.000,,,Approved,B113A;,2020-02-25T00:00:00.000,Staging;#Excavation;#Partial Park Closure
Greenpoint Waterfront Improvement,B385.20171030,Borough Operations;#Conservancy,Single Site,,2017-10-04T00:00:00.000,,,Not Required,B385;,2017-12-29T00:00:00.000,Park Improvement
Removal and Disposal of Residuals from Collection Facilities Citywide,,Borough Forestry;#Borough Operations;#Capital Projects,Multi Borough,,,,,,Q300;X111;,2018-06-19T00:00:00.000,Access-Only;#Sidewalk Closure
Orchard Beach Pavilion - Site Investigation,X039.20181107,Borough Operations;#Planning and Parklands,Single Site,,2018-11-02T00:00:00.000,,,,X039;,,Park Improvement
Con Ed 42 Trinity Place Manhole Access,MZ25.20200318,Capital Projects,Single Site,,,,,,MZ25;,,Access-Only
Protective Coating of Various Bridges in Queens - Sunrise Highway over Belt Parkway,Q166.20160706,Borough Operations,Single Site,Standard restoration of staging area is required.,2016-06-06T00:00:00.000,,,Not Required,B166;,,Staging
Rehabilitation of Henry Hudson Parkway Viaduct from 72nd to 96th Street - Painting,M071.20190906,Borough Operations;#Conservancy,Single Site,,2019-08-01T00:00:00.000,,,,M071;,2019-08-14T00:00:00.000,Staging;#Partial Park Closure
E. 180th St. Yard Maintenance Facility Repairs,X002.20170803,,Single Site,,2017-07-07T00:00:00.000,,,,X002;,,
Multi Site-Trench Restoration,,Borough Forestry,Single Site,,,,,,,,No Parkland Impact
Beach 88th St & Beach Channel Drive: Restoration work,Q-14-15NF,Capital Projects;#Environmental Remediation;#Other;#Natural Resources Group (NRG);#Borough Operations,Single Site,,,,,,Q499;Q309;,,Park Improvement;#Total Park Closure
"Construction of Storm Sewers, Sanitary Sewers and Water Main Work in Baisley Boulevard and Area, Borough of Queens.",,Borough Forestry,Single Site,,,,,,,,No Parkland Impact
PS 11K Exterior Rehab Project,,Borough Forestry;#Borough Operations,Single Site,,,,,Pending,B301;,,Staging;#Partial Park Closure
Reconstruction of Brooklyn Waterfront Greenway Hamilton Avenue Gowanus Section,,,Single Site,,,,,,,,No Parkland Impact
130 JAMAICA AVE & VERMONT STREET - Remove hazardous Façade repairs,B402.20201110,Borough Operations,Single Site,,2020-09-15T00:00:00.000,,,,B402;,,
Croton Water Treatment Plant Facilities and Landscape Construction,,Revenue/Concession;#Borough Forestry,Single Site,,,,,,X092;,,Partial Park Closure;#Park Improvement
Right-of-Way Green Infrastructure Westchester Creek HP-033,X163.20191030,Borough Operations;#Central Forestry;#Capital Projects,Single Site,Contractor must coordinate with Parks Capital Contract X163-118M in the event of concurrent construction to minimize interference.,2019-10-30T00:00:00.000,,,,X163;,,Sidewalk Closure
"On-Site Green Infrstructure at Belmont, Centreville, Pink, Martin Luther King Jr. Playgrounds - Jamaica Bay CSO Tributary Area Outfall 26W-005 Contract 3 and GK26W4-01/04",CNYG.20200331,Borough Operations;#Borough Forestry;#Green Infrastructure,Multi Borough,,2020-02-11T00:00:00.000,,No,Approved,B283;Q386;B309;B056;,,Excavation;#Park Improvement;#Partial Park Closure
Reconstruction of Pelham Parkway Westbound and Pelham Parkway North Phase 2,X003.20171215,Borough Operations;#Borough Forestry;#Central Forestry;#Capital Projects;#Landmarks/Preservation;#Legal/MOUs,Single Site,Work is prohibited west of station 25+50. A future amendment will permit work west of station 25+50 once the water main and/or water main test pit scopes of work are finalized.,2017-10-27T00:00:00.000,,,,X003;,,Excavation;#Partial Park Closure
"Simple Pedestrian Ramp Upgrades, Boroughs of Manhattan and Queens",,,Multi Borough,,,,,,,,Sidewalk Closure
Southern Bronx Multi-Site Safety,,Borough Forestry,Multi Site,,,,,,,,No Parkland Impact
Replace Asphalt on Basketball Court,M227.20200707,Borough Operations;#Planning and Parklands,Single Site,,2020-07-07T00:00:00.000,,,Not Required,M227;,,Partial Park Closure;#Staging;#Park Improvement;#Excavation
HWPEDSF3A: Multi-Site Pedestrian Safety,CNYG.20180501,Borough Operations;#Borough Horticulture;#Borough Forestry;#Central Forestry;#Conservancy;#Landmarks/Preservation;#ADA Accessibility,Multi Borough,,2018-05-01T00:00:00.000,,,Approved,M010;M083;M094;MZ34;MZ62;QZ392;,2020-02-12T00:00:00.000,Excavation;#Sidewalk Closure;#Park Improvement;#Other
Complex Pedestrian Ramp Installation,,,Multi Site,,,,,,,,Sidewalk Closure
41-57 Waterview Court – Access to repair the existing retaining wall,R117.20190405,Borough Operations,Single Site,"i.	Contractor must work with/coordinate with NYCDPR contractor. 
ii.	Contact Person - Thomas Russo @ 718.390.8006
iii.	Blackout Dates - Construction activities of any kind are not to be performed after 4pm on Friday’s and all day Saturday and Sunday.  Parks reserves the right to add additional days/times as needed.
iv.	The contactor shall keep the construction fence and all areas within their permitted area of use clean and in good repair.  The Construction fence and wind screening is to be kept graffiti free and in good repair.  Denise please confirm there is a construction fence.  It appears to be noted on slide 11 although I don’t see it noted in the key.
v.	Forestry Items - Staging of materials within the critical root zone of trees is not permitted.  The staging area noted on the plans does not fall within the critical root zone of any DPR owned trees.  There are two Green Ash trees that were discussed during the site visit.  The contractor will need to drive machinery within the critical root zone of one Ash tree.  As directed by Staten Island Forestry this tree will need to be protected by placing mulch and plates for the machinery to drive on within this area.  The second Green Ash tree within the access area was noted as needing to be removed due to condition.  The removal of the second Ash will be performed by the contractor.
vi.	Any bollards/gates that need to be removed by the contractor to facilitate access shall be removed, stored and reinstalled by the contractor after construction to the satisfaction of NYC Parks.  As of now they have identified 1 post that needs to be removed and re-installed.  The locking post for the boom gate on Andrease Street.",2019-06-01T00:00:00.000,,,,R117;,,Other
Installation of a Temporary Cell on Wheels to Support Emergency Response to COVID-19,X011.20200409,Borough Operations;#Legal/MOUs;#Planning and Parklands,Single Site,P-CONC-1.0,,,,Not Required,X011;X011-XZ111;,,Staging;#Partial Park Closure
"Replacement of Water Main and Sanitary Seers in Various Locations, Etc.",M220.20201214,Borough Operations;#Borough Forestry,Single Site,Temporary playground access must be in place for duration of construction and repaired upon completion of contract.,2020-11-25T00:00:00.000,,,Approved,M220;,2020-12-01T00:00:00.000,Sidewalk Closure;#Other
500 West 23rd Street - Sidewalk Shed installation on Highline,M360.20190910,Other,Single Site,,,,,,M360;,,
"Renovations at Paul McDermott Rink, Stanley Isaacs Park",M192.20160923,,Single Site,,,,,,M192;,,
Riverside Drive Viaduct over West 158th Street,M140.20190510,Borough Operations;#Conservancy,Single Site,Permittee shall perform the asphalt paving at Riverside Park’s 135th Street headquarters at the start of the permitted period.,,,,Approved,M140;,2019-04-22T00:00:00.000,Staging;#Other;#Park Improvement
Stapleton Waterfront,R170.20181109,Borough Operations;#Planning and Parklands,Single Site,ERROR: #NAME?,2018-10-26T00:00:00.000,,,Not Required,R170;,,Park Improvement
"41-50 78th Street, Façade repairs (Erecting Sidewalk Shed)",Q098.20200814,Borough Operations,Single Site,,2020-07-17T00:00:00.000,,,,Q098;,,Other
LaGuardia Runway 4 MALSR Landing Lights Survey and Conduit/Cable,Q393.20171211,Borough Operations,Single Site,,2017-12-07T00:00:00.000,,,Approved,Q393A;Q393B;Q393C;Q393D;Q393E;Q393F;Q393G;Q393H;Q393I;,2018-07-18T00:00:00.000,Excavation;#Access-Only
15 Shore Road Water Main Repair,,Borough Operations;#Borough Forestry;#Natural Resources Group (NRG);#Planning and Parklands,Single Site,,,,,,X039;,2020-02-28T00:00:00.000,Excavation;#Staging
Construction and Replacement of Storm Sewer and Water Main in 95th Street between 160th Ave and 162nd Ave and surrounding blocks in Howard Beach,,,Single Site,,,,,,,,No Parkland Impact
Biennial Bridge Inspections,,Borough Operations,Multi Borough,,,,,Not Required,M028;M029;,,Access-Only
Tillary Street Phase 2,,Borough Forestry;#Central Forestry,Single Site,,,,,,,,No Parkland Impact
Installation of Water Mains and appurtenances for new buildings construction and improvement of city’s water main distribution system and fire protection in various locations in the Bronx and Queens,,,Multi Borough,,,,,,,,No Parkland Impact
Right-of-Way Green Infrastructure - Jamaica Bay CSO Tributary Areas - Outfall 26W-005,,Borough Operations;#Borough Horticulture;#Central Forestry,Single Site,,,,,,B569;,,Sidewalk Closure;#Park Improvement
Right-of-Way Green Infrastructure - Jamaica Bay CSO Tributary Areas - Outfall 26W-005,,Borough Operations;#Borough Horticulture;#Central Forestry,Single Site,,,,,,Q378;,,Sidewalk Closure;#Park Improvement
Con Edison conduit work on Golden Ave near Harris Park,,Capital Projects;#Borough Forestry,Single Site,,,,,Approved,X136;,2017-02-08T00:00:00.000,Sidewalk Closure
Emergency Main Repair at Midland Malls,Q030.20160715,,Single Site,,,,,,Q030;,,Staging;#Excavation;#Other
"Installation of Storm & Sanitary Sewers, and Water Mains in Husson St, etc, Including New Creek BMPs",R148.20181012,Natural Resources Group (NRG);#Borough Forestry,Single Site,,2018-09-20T00:00:00.000,,,Approved,R148;,,Excavation;#Total Park Closure;#Park Improvement
Inspections of bridges in manhattan,,Capital Projects;#Borough Operations,Multi Site,,,,,,M353;,,Access-Only
PS 96Q School Expansion (Borings),Q348.E.20180816,Borough Operations;#Borough Forestry,Single Site,,,,,Approved,Q348;,,Other
Right-of-Way Green Infrastructure - Jamaica Bay CSO Tributary Areas - Outfall 26W-005,,Borough Operations;#Borough Horticulture;#Central Forestry,Multi Site,,,,,,Q481;Q095;Q094;,,Sidewalk Closure;#Park Improvement
Transmission Gas Main Relocation Lacombe Avenue,X088-20160616,Borough Operations;#Borough Forestry,Single Site,"Temporary removal of adjacent property fence panels is permitted as necessary.
Sidewalk closure permitted as necessary.",2016-05-23T00:00:00.000,,,Approved,X088;,2016-06-02T00:00:00.000,Excavation;#Sidewalk Closure
Onsite GI at Eleanor Roosevelt Playground - Newtown Creek CSO Tributary Outfall NCB-015 Phase 2 Contract 3,,Borough Operations;#Borough Forestry,Single Site,,,,,,B359;,,Excavation;#Partial Park Closure;#Staging
Hammels Wye Long Term Flood Mitigation,Q219.20180405,Borough Operations;#Borough Forestry;#Central Forestry;#Other;#Planning and Parklands,Single Site,Vehicular access to the Park is not permitted. The Park must be accessed from NYCT Property.,2018-02-26T00:00:00.000,,No,,Q219;,2017-10-16T00:00:00.000,Excavation;#Partial Park Closure;#Other
"Reconstruction of Grand Concourse Service Roads And WIdening of Medians from E 171 St to E 175 St, Grand Concourse Phase 3",,Borough Forestry,Multi Site,,,,,,,,No Parkland Impact
Wilson Playground Fence (IS 211K),,,Single Site,,,,,,,,
Belt Parkway between Mill Basin and Paerdegat Basin,B166.20170809,Borough Forestry,Single Site,,2017-07-11T00:00:00.000,,,Approved,B166;,,Excavation;#Staging
ADA Requirements Contract,,,Multi Borough,,,,,,,,No Parkland Impact
American Museum of Natural History Soil Borings,M053.E.20180302,Borough Operations;#Borough Forestry;#Capital Projects,Single Site,,,,,Approved,M053;,2018-03-29T00:00:00.000,Staging;#Excavation;#Park Improvement
Handrail Installation,X039.20190208,Borough Operations;#Landmarks/Preservation,Single Site,,2019-01-24T00:00:00.000,,,Not Required,X039;,,Park Improvement
"Power Center Upgrade, and Transfer Loads to the Same at the Park Drive East Pumping Station",,Borough Forestry;#Capital Projects,Single Site,,,,Yes,Approved,Q099;,2016-04-22T00:00:00.000,Park Improvement;#Excavation
PS 125M Exterior Rehabilitation Project,M205.20200828,Borough Operations,Single Site,,2020-08-18T00:00:00.000,,,Not Required,M205;,,
Pier 42 Construction,M369.20200819,Capital Projects;#Borough Operations;#Planning and Parklands,Single Site,,2020-08-14T00:00:00.000,,,,M369;,,Staging;#Park Improvement;#Excavation
Queens Basketball Court Surface Rehabilitation at the Bronx Whitestone Bridge,CNYG.20180521,Borough Operations;#Borough Forestry,Single Site,"i.	Contractor to provide two portable toilets (one standard and one ADA-accessible) for the duration of work in Francis Lewis Park. Toilets are to be cleaned a minimum of three times weekly during the duration of work in Francis Lewis Park.
ii.	Contractor must access the site through MTA right-of-way.",2018-04-18T00:00:00.000,,,Pending,Q126;,2018-05-17T00:00:00.000,Park Improvement
Orchard Beach Pavilion - Hazmat Sampling,X039.20190212,Borough Operations;#Planning and Parklands,Single Site,,2019-02-07T00:00:00.000,,,Not Required,X039;,,Access-Only;#Partial Park Closure
"Emergency Rehabilitation of Sanitary and Combined Sewers by Shotcreting, Citywide",R046.20200522,Borough Operations,Multi Borough,,2020-05-22T00:00:00.000,,No,Not Required,R046;R017;,2018-09-06T00:00:00.000,Access-Only
"Construction of Storm Sewer, Sanitary Sewers, and Water Mains in Foch Blvd and Ilion Ave; Foch Blvd Safety improvements",QG.20200731,Borough Forestry;#Borough Operations;#Central Forestry,Multi Site,Turf grass in Foch Boulevard greenstreet medians to be replaced with sod.,2020-07-30T00:00:00.000,,,Approved,QZ503;QZ504;QZ505;QZ506;QZ48;,2017-09-18T00:00:00.000,Excavation
Alexander Hamilton Bridge And Highbridge Interchange Ramps Rehabilitation,CNYG-05-06 NFSI,Borough Operations;#Borough Forestry;#Legal/MOUs;#Planning and Parklands;#CDOT Arterial Maintenance,Multi Borough,X-25-09-NFI half million dollar bond and permit just for Bronx was issued to contractor CCA Civil/Halmar International,,,,Approved,X094;M037;,2016-03-24T00:00:00.000,Staging;#Excavation;#Partial Park Closure;#Park Improvement
Greenhouses in community gardens in the Melrose Section,XG.20171218,Greenthumb,Multi Site,,2018-01-05T00:00:00.000,,,,X337;X357;X341;X347;X351;,,
Graphic Communications HS/Gutenberg Playground,M221.20171016,Borough Operations;#Borough Forestry,Single Site,,,,,Approved,M221;,,Other
Build It Back Staging Area in Great Kills Park,R016.20171024,Borough Operations;#Borough Forestry,Single Site,,,,,Approved,R016;,,Staging
"High Level Storm Sewers in Fresh Creek Basin Area Phase 2B - Flatlands Ave, etc",B384.20180810,Natural Resources Group (NRG);#Borough Forestry;#Borough Operations,Single Site,"i.	Permittee shall restore the Permitted Premise as follows: 
a)	Decompact soil and re-seed the area, in accordance with Parks’ specification “SEED NEW LAWN” as included in Attachment B. This includes rototilling the soil to a depth of 6”, raking out the soil, and establishing a smooth uniform grade, prior to re-seeding.",2018-01-17T00:00:00.000,,,Approved,B384;,2019-04-17T00:00:00.000,Staging;#Partial Park Closure
Phase II – Construction – 302-314 West 127th Street -New 12 Story residential building,,Greenthumb,Single Site,"i. remove plywood wall (sidewalk bridge)  and fill in any trench with soil, Bring back the garden to its former state
ii. Replace any damaged plants and raised beds 
iii. Make sure to control demolition dust from contaminating the garden",2018-08-17T00:00:00.000,,,,M394;,,
Groundwater Sustainability of the Long Island Aquifer System,CNYG.20200828,Borough Operations;#Other;#Borough Forestry,Multi Borough,"i.	McCarren Park: Work within this park, including setup of work area, may not begin until November 1, 2020
ii. Leif Ericson Park: Work within this park, including setup of work area, may not begin until 2020 Outdoor Classroom use has ended, no earlier than December 1, 2020.
iii.	Restoration: All permitted premises contain passive lawns to be restored to the standard of the included modified “Seed New Lawn” standard specification of NYC Parks, or better.",2020-08-28T00:00:00.000,,No,Approved,Q220C;B247;B057;B058;B052;Q107;B372;Q084;Q131;,2021-04-28T00:00:00.000,Excavation;#Other;#Partial Park Closure
Inspections of East River Park Esplanade,M144.20190422,Borough Operations;#Capital Projects,Single Site,,2019-04-18T00:00:00.000,,,Not Required,M144;,,Access-Only
Raised Shorelines Citywide NYCEDC Project (Contract No. 64350006) – Travis Avenue Off-Site Wetland Mitigation,,Borough Operations;#Borough Forestry,Single Site,,2021-01-04T00:00:00.000,,,,R116;,,Access-Only
Install waterproofing on the west portion of the exterior foundation wall - Hand excavating,B223DG.09092016,,Single Site,Proper soil handling protocol including tarping stockpile of soil to prevent wind and water erosion.,,,,,B223DG;,,
Structural Rehabilitation of the Robert F. Kennedy Bridge,CNYG.20200526,,Multi Borough,,2020-02-18T00:00:00.000,,,,Q004;M104;M107;Q066B;Q066C;,,
Construction Median Replacement on Union Turnpike from Hollis Court Boulevard to 226th Street,,Borough Forestry,Single Site,,,,,,,,No Parkland Impact
PS 14X Retaining Wall Reconstruction,X149.20170728,Borough Operations;#Borough Forestry,Single Site,,2017-06-27T00:00:00.000,,,Approved,X149;,,Excavation
"Bridge Corrective Maintenance at Various Locations in the Bronx & New York Counties, NYC to ensure Structural Integrity and Motorist Safety; 77 Bridges Total",M072.20160912,Borough Operations,Single Site,"i.	The work area is referenced below as four quadrants, divided north-south by W 135th Street and east-west by the overhead centerline of the Henry Hudson Parkway. Special conditions for each of these areas:
a)	Southwest quadrant: This area may not be occupied before 8 am or after 230 am. Emergency access to the gas transmission plant on the pier to the west must be maintained at all times.
b)	Southeast quadrant: Access shall be coordinated with the district supervisor Benjamin Kramer, c: (646) 879-6630
ii.	Staging Area: a staging area measuring forty-five feet by eighteen, for the storage of work vehicles, is permitted to be located in the northeast quadrant, as diagrammed in Attachment B. This area must be entirely outside of the bicycle path.
iii.	The area below active work is to be closed to the public. When necessary, the bicycle path shall be safely redirected to accommodate work. The path shall never be closed.",2016-08-25T00:00:00.000,,,Not Required,M072;,2016-09-01T00:00:00.000,Staging
