telephone,priority1_prog6,selectioncriteria2_prog1,bin,selectioncriteria2_prog8,geappsperseat_prog11,start_time,swdapps_prog6,code_prog10,swdappsperseat_prog13,selectioncriteria6_prog9,swdfilled_prog15,swdfilled_prog11,eligibility_prog2,neighborhood,selectioncriteria2_prog4,selectioncriteria1_prog4,geseats_prog4,geapps_prog14,geapps_prog6,gefilled_prog13,swdfilled_prog2,latitude,admissionsmethod_prog5,gradespan,swdfilled_prog7,selectioncriteria6_prog4,swdapps_prog14,gefilled_prog1,eligibility_prog10,selectioncriteria4_prog7,swdseats_prog13,selectioncriteria1_prog3,swdseats_prog5,eligibility_prog15,champscoed,geappsperseat_prog1,admissionsmethod_prog3,priority3_prog2,swdapps_prog3,name_prog7,selectioncriteria6_prog8,swdappsperseat_prog4,geseats_prog7,name_prog13,champsboys,swdseats_prog1,geapps_prog9,gefilled_prog12,swdseats_prog3,othersports,selectioncriteria4_prog9,geapps_prog3,geappsperseat_prog6,swdappsperseat_prog8,geapps_prog15,end_time,swdfilled_prog5,geseats_prog2,geapps_prog13,code_prog3,selectioncriteria3_prog7,name_prog4,geapps_prog8,admissionsmethod_prog11,mathprof,priority2_prog9,eligibility_prog4,geappsperseat_prog9,geappsperseat_prog7,geapps_prog7
718-515-6780,,,2066190.0,,,8:00am,,,,,,,"Open to students currently in an ASD (Autism Spectrum Disorder) Nest program. If you are not currently an ASD Nest student and are interested in the program, please contact asdprograms@schools.nyc.gov",Eastchester,,,,,,,0.0,40.884953,,Gr 6-8,,,,1.0,,,,,,,,6.0,,,,,,,,,,17.0,,,,Basketball,,,,,,2:20pm,,,,,,,,,28.0,,,,,
718-773-3059,,,3099733.0,,,8:00am,,,,,,,,East Flatbush,,,,,,,,40.65843,,Gr 6-8,,,,0.0,,,,,,,Cross Country,3.0,,,,,,,,,,18.0,,,,,,,,,,4:50pm,,,,,,,,,12.0,,,,,
718-760-3233,,,4046834.0,,,8:20am,,,,,,,,Corona,,,,,,,,40.742668,,Gr 6-8,,,,0.0,,,,,,,Soccer,1.0,,,,,,,,,,123.0,,,,,,,,,,2:40pm,,,,,,,,,25.0,,,,,
212-595-7193,,Academic and Personal Behavior Scores,1030178.0,,,8:20am,,,,,,,,Upper West Side,,,,,,,,40.780822,,Gr K-8,,,,1.0,,,,,,,,35.0,,,,,,,,,Baseball,6.0,,,,,,,,,,2:40pm,,,,,,,,,97.0,,,,,
718-756-0210,,Academic and Personal Behavior Scores,3099537.0,,,8:00am,,,,,,,,East Flatbush,,,,,,,,40.665565,,Gr K-8,,,,1.0,,,,,,,,2.0,,,,,,,,,,23.0,,,,"Basketball, Dance, Wrestling",,,,,,2:20pm,,,,,,,,,57.0,,,,,
718-583-6266,,,2009253.0,,,8:00am,,,,,,,"Open to students currently in an ASD (Autism Spectrum Disorder) Horizon program. If you are not currently an ASD Horizon student and are interested in the program, please contact asdprograms@schools.nyc.gov",Morris Heights,,,,,,,0.0,40.852536,,Gr 6-8,,,,0.0,,,,,,,,2.0,Zoned,,11.0,,,,,,,6.0,,,6.0,"Baseball, Basketball, Boxing",,11.0,,,,2:20pm,,,,X229Z,,,,,7.0,,,,,
718-495-7776,,,3082391.0,,,8:20am,,,,,,,,Brownsville,,,,,,,,40.659966,,Gr PK-8,,,,0.0,,,,,,,"Baseball,Flag Football",2.0,,,,,,,,,,15.0,,,,,,,,,,2:40pm,,,,,,,,,13.0,,,,,
212-860-6047,,Academic and Personal Behavior Scores,1052998.0,,,8:00am,,,,,,,,East Harlem,,,,,,,,40.785671,,Gr 6-8,,,,1.0,,,,,,,Flag Football,11.0,,,,,,,,,,15.0,,,,"Basketball, Dance, Flag Football, Soccer",,,,,,2:20pm,,,,,,,,,41.0,,,,,
718-588-0341,,,2097111.0,,,8:20am,,,,,,,,,,,,,,,,40.827941,,Gr 6-7,,,,1.0,,,,,,,,3.0,,,,,,,,,,13.0,,,,"Baseball, Basketball, Dance, Fitness Club, Handball, Kickball, Soccer, Step, Volleyball, Yoga",,,,,,2:40pm,,,,,,,,,,,,,,
718-382-2100,,,3189538.0,,,8:00am,,,,,,,Open to continuing 5th grade students and students residing in the elementary school zone,Coney Island,,,,,,,0.0,40.574411,,Gr PK-8,,,,0.0,,,,,,,,2.0,,,,,,,,,,3.0,,,,"Dance, Track and Field",,,,,,2:20pm,,40.0,,,,,,,15.0,,,,,
718-474-8615,,,4302397.0,,,8:15am,,,,,,,,Far Rockaway,,,,,,,,40.595779,,Gr PK-8,,,,0.0,,,,,,,Volleyball,0.0,,,,,,,,,Flag Football,16.0,,,,"Baseball, Basketball, Flag Football, Kickball, Soccer, Softball, Track and Field, Volleyball",,,,,,2:15pm,,,,,,,,,9.0,,,,,
718-345-5190,,,3084617.0,,,8:45am,,,,,,,,East New York,,,,,,,,40.665798,,Gr 6-8,,,,0.0,,,,,,,,2.0,,,,,,,,,,15.0,,,,"Basketball, Fitness Club, Flag Football, Lacrosse, Running Club, Soccer, Step, Track and Field, Yoga",,,,,,3:05pm,,,,,,,,,4.0,,,,,
917-521-2220,,,1082045.0,,,8:00am,,,,,,,,Inwood,,,,,,,,40.871278,,Gr K-8,,,,1.0,,,,,,,,2.0,,,,,,,,,,10.0,,,,"Basketball, Volleyball",,,,,,2:20pm,,,,,,,,,11.0,,,,,
718-246-6500,,On-Site Assessment,3413715.0,,,7:45am,,,,,,,,Bushwick,,,,,,,,40.69737,,Gr 6-12,,,,1.0,,,,,,,,22.0,,,,,,,,,,10.0,,,,,,,,,,2:35pm,,,,,,,,,93.0,,,,,
212-219-1204,,Academic and Personal Behavior Scores,1082489.0,,,8:20am,,,,,,,Open to students and residents of District 2,Chinatown,,,,,,,0.0,40.716553,,Gr 6-8,,,,0.0,,,,4th Grade New York State ELA and Math Exams,,,,1.0,Screened: Language,,26.0,,,,,,,23.0,,,13.0,"Baseball, Basketball, Dance, Flag Football, Soccer, Track and Field, Volleyball",,94.0,,,,2:40pm,,42.0,,M131P,,,,,56.0,,,,,
212-222-2857,,Attendance,1032522.0,,,8:40am,,,,,,,Open to students and residents of District 3,Upper West Side,,,,,,,0.0,40.791709,,Gr 6-8,,,,0.0,,,,,,,Soccer,2.0,,,,,,,,,,13.0,,,,"Soccer, Track and Field",,,,,,3pm,,24.0,,,,,,,27.0,,,,,
718-688-7230,,,3413878.0,,,8:10am,,,,,,,,East New York,,,,,,,,40.657434,,Gr 6-12,,,,0.0,,,,,,,Cross Country,3.0,,,,,,,,,,19.0,,,,"Basketball, Cheerleading, Track and Field",,,,,,2:48pm,,,,,,,,,14.0,,,,,
718-965-0390,,,3331274.0,,,8:15am,,,,,,,,Greenwood,,,,,,,,40.660976,,Gr 6-8,,,,1.0,,,,,,,,11.0,,,,,,,,,,37.0,,,,none,,,,,,2:35pm,,,,,,,,,71.0,,,,,
929-237-7750,,Attendance and Punctuality,2086833.0,,,8:10am,,,,,,,,Bedford Park,,,,,,,,40.873239,,Gr K-8,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,"Basketball, Fitness Club, Volleyball",,,,,,2:30pm,,,,,,,,,35.0,,,,,
718-466-8000,,,2117666.0,,,8:30am,,,,,,,,East Tremont,,,,,,,,40.844958,,Gr 6-12,,,,1.0,,,,,,,,5.0,,,,,,,,,,18.0,,,,"Baseball, Basketball, Wrestling",,,,,,2:50pm,,,,,,,,,16.0,,,,,
212-678-2960,,Academic and Personal Behavior Scores,1056676.0,,,8:20am,,,,,,,,Upper West Side,,,,,,,,40.802917,,Gr 6-8,,,,1.0,,,,,,,,5.0,,,,,,,,,,29.0,,,,"Baseball, Basketball, Flag Football, Running Club, Soccer, Volleyball, Yoga",,,,,,2:40pm,,,,,,,,,54.0,,,,,
718-274-8316,,4th Grade New York State Math Exam: 17.5%,4006382.0,,,8:00am,,,,,,,Open to students and residents of District 30,Astoria,,,,,,,0.0,40.766264,,Gr 6-8,,,,1.0,,,,,,,Soccer,4.0,Zoned,,16.0,,,,,,,0.0,,,13.0,"Basketball, Cheerleading, Soccer",,54.0,,,,2:20pm,,51.0,,Q126Z,,,,,37.0,,,,,
212-677-5190,,Attendance,1004070.0,,,8:20am,,,,,,,,Lower East Side,,,,,,,,40.718895,,Gr K-12,,,,1.0,,,,,,,,23.0,,,,,,,,,"Baseball,Soccer",31.0,,,,"Baseball, Basketball, Flag Football, Soccer, Softball, Track and Field",,,,,,2:40pm,,,,,,,,,95.0,,,,,
718-773-4869,,Academic and Personal Behavior Scores,3107846.0,,,8:20am,,,,,,,,East Flatbush,,,,,,,,40.654704,,Gr PK-8,,,,1.0,,,,,,,,11.0,,,,,,,,,,4.0,,,,"Basketball, Soccer, Volleyball",,,,,,2:40pm,,,,,,,,,87.0,,,,,
917-521-2508,,Home Language,1062636.0,,,8:10am,,,,,,,Open to students and residents of District 6,Washington Heights,,,,,,,0.0,40.836536,,Gr 6-8,,,,0.0,,,,,,,,1.0,,,,,,,,,,6.0,,,,,,,,,,2:30pm,,49.0,,,,,,,11.0,,,,,
718-465-0651,,4th Grade New York State Math Exam: 17.5%,4226839.0,,,8:00am,,,,,,,Open to students and residents of District 29,Queens Village,,,,,,,0.0,40.720713,,Gr 6-8,,,,1.0,,,,,,,,10.0,,,,,,,,,,5.0,,,,"Basketball, Cross Country, Dance, Track and Field",,,,,,2:20pm,,284.0,,,,,,,34.0,,,,,
718-941-5097,,,3034356.0,,,8:15am,,,,,,,,Crown Heights,,,,,,,,40.665035,,Gr 6-8,,,,0.0,,,,,,,,2.0,,,,,,,,,,16.0,,,,"Basketball, Cheerleading, Dance, Soccer, Step",,,,,,3:55pm,,,,,,,,,25.0,,,,,
718-480-2600,,,4268543.0,,,8:45am,,,,,,,,St. Albans,,,,,,,,40.691712,,Gr 6-12,,,,1.0,,,,,,,,4.0,,,,,,,,,"Baseball,Cross Country",14.0,,,,,,,,,,3:27pm,,,,,,,,,13.0,,,,,
718-401-4891,,,2000957.0,,,8:00am,,,,,,,,Mott Haven,,,,,,,,40.813641,,Gr 6-12,,,,0.0,,,,,,,,3.0,,,,,,,,,,19.0,,,,,,,,,,2:50pm,,,,,,,,,10.0,,,,,
718-743-1954,,,3196224.0,,,8:20am,,,,,,,,Gravesend,,,,,,,,40.586845,,Gr PK-8,,,,0.0,,,,,,,,1.0,,,,,,,,,,10.0,,,,,,,,,,2:40pm,,,,,,,,,52.0,,,,,
718-236-9003,,,3392297.0,,,8:20am,,,,,,,,Bath Beach,,,,,,,,40.606792,,Gr K-8,,,,0.0,,,,,,,"Soccer,Volleyball",1.0,,,,,,,,,,10.0,,,,,,,,,,2:39pm,,,,,,,,,59.0,,,,,
718-647-0111,,,3092456.0,,,8:00am,,,,,,,,East New York,,,,,,,,40.68618,,Gr 6-8,,,,0.0,,,,,,,,2.0,,,,,,,,,,18.0,,,,"Basketball, Soccer",,,,,,2:20pm,,,,,,,,,13.0,,,,,
718-726-0501,,4th Grade New York State Math Exam: 17.5%,4007663.0,,,8:50am,,,,,,,,Astoria,,,,,,,,40.768985,,Gr K-8,,,,1.0,,,,,,,Volleyball,15.0,,,,,,,,,,19.0,,,,"Soccer, Tennis, Ultimate Frisbee, Volleyball",,,,,,3:10pm,,,,,,,,,92.0,,,,,
718-294-8111,,,2008336.0,,,8:05am,,,,,,,,High Bridge,,,,,,,,40.842495,,Gr 6-12,,,,1.0,,,,,,,"Soccer,Volleyball",12.0,,,,,,,,,,17.0,,,,,,,,,,3:15pm,,,,,,,,,43.0,,,,,
212-460-8467,,"Attendance at an Information Session, Open House or School Tour",1005974.0,,,8:00am,,,,,,,,East Village,,,,,,,,40.729589,,Gr 6-12,,,,1.0,,,,,,,,5.0,,,,,,,,,,23.0,,,,"Badminton, Baseball, Basketball, Dance, Fencing, Flag Football, Rugby, Running Club, Soccer, Softball, Track and Field, Volleyball, Yoga, Crew / Rowing, Cycling",,,,,,3:30pm,,,,,,,,,49.0,,,,,
212-342-6200,,,1060726.0,,,8:00am,,,,,,,,Harlem,,,,,,,,40.819767,,Gr PK-8,,,,0.0,,,,,,,,3.0,,,,,,,,,,13.0,,,,"Basketball, Soccer, Track and Field",,,,,,3:35pm,,,,,,,,,13.0,,,,,
718-461-2219,,,4119139.0,,,8:00am,,,,,,,,Murray Hill,,,,,,,,40.765133,,Gr 6-12,,,,1.0,,,,,,,,4.0,,,,,,,,,,14.0,,,,"Step, Track and Field",,,,,,2:20pm,,,,,,,,,50.0,,,,,
212-678-5888,,Academic and Personal Behavior Scores,1032522.0,,,8:10am,,,,,,,"Open to students currently in an ACES (Academics, Career, and Essential Skills) program. If you are not currently an ACES student and are interested in the program, please contact acesprograms@schools.nyc.gov",Upper West Side,,,,,,,0.0,40.791709,,Gr 6-8,,,,0.0,,,,,,,Cross Country,3.0,,,,,,,,,Baseball,19.0,,,,,,,,,,2:39pm,,,,,,,,,31.0,,,,,
718-731-2590,,Academic and Personal Behavior Scores,2007902.0,,,8:30am,,,,,,,,Tremont,,,,,,,,40.848547,,Gr 6-12,,,,1.0,,,,,,,,8.0,,,,,,,,,,19.0,,,,"Dance, Track and Field",,,,,,3pm,,,,,,,,,36.0,,,,,
212-927-8218,,,1064371.0,,,8:00am,,,,,,,,Washington Heights,,,,,,,,40.856693,,Gr PK-8,,,,1.0,,,,,,,Cross Country,4.0,,,,,,,,,,17.0,,,,"Cross Country, Flag Football, Track and Field, Volleyball",,,,,,2:20pm,,,,,,,,,51.0,,,,,
718-851-8070,,4th Grade New York State Math Exam: 22.5%,3130809.0,,,8:10am,,,,,,,"Open to students currently in or recommended for District 75 Special Education Inclusive Services. If you are not currently in or recommended for these services, please contact D75info@schools.nyc.gov.",Borough Park,,,56.0,,,,,40.627029,,Gr PK-8,,,,1.0,,,,4th Grade New York State ELA and Math Exams,,,"Lacrosse,Soccer,Volleyball",15.0,Screened,,65.0,,,2.0,,,,10.0,,,5.0,"Baseball, Basketball, Cheerleading, Football, Lacrosse, Soccer, Track and Field, Volleyball",,519.0,,,,2:30pm,,,,K180S,,The SEEALL Academy Zoned Program,,,67.0,,Open to continuing 5th grade students and students residing in the elementary school zone,,,
718-399-1061,,,3056874.0,,,8:20am,,,,,,,,Clinton Hill,,,,,,,,40.68505,,Gr 6-8,,,,0.0,,,,,,,,2.0,,,,,,,,,,12.0,,,,"Basketball, Flag Football, Track and Field",,,,,,4pm,,,,,,,,,19.0,,,,,
718-848-9247,,,4247454.0,,,8:05am,,,,,,,,Howard Beach,,,,,,,,40.665909,,Gr PK-8,,,,0.0,,,,,,,Flag Football,1.0,,,,,,,,,,19.0,,,,"Basketball, Volleyball",,,,,,2:25pm,,,,,,,,,56.0,,,,,
212-304-0853,,Academic and Personal Behavior Scores,1076756.0,,,9am,,,,,,,Open to students and residents of District 6,Washington Heights,,,,,,,0.0,40.86079,,Gr 6-8,,,,0.0,,,,,,,,0.0,,,,,,,,,,1776.0,,,,"Basketball, Cheerleading, Soccer",,,,,,3:20pm,,82.0,,,,,,,22.0,,,,,
718-266-0814,,,3188221.0,,8.0,8:00am,32.0,K239VO,,,,0.0,Open to New York City residents,Coney Island,,Students who apply to these programs will be selected based on their score on the Mark Twain/District 21 Talent Tests,23.0,,938.0,,0.0,40.578188,Talent Test,Gr 6-8,1.0,,,1.0,Open to New York City residents,,,Students who apply to these programs will be selected based on their score on the Mark Twain/District 21 Talent Tests,3.0,,,19.0,Talent Test,,73.0,Mark Twain (I.S. 239) (Media),,10.0,18.0,,,12.0,253.0,,18.0,"Bowling, Running Club, Yoga",,1819.0,16.0,11.0,,2:45pm,1.0,13.0,,K239CM,,Mark Twain (I.S. 239) (Dance),1176.0,Talent Test,86.0,,Open to New York City residents,10.0,15.0,264.0
718-969-7780,,,4146990.0,,,8:05am,,,,,,,,Pomonok,,,,,,,,40.731369,,Gr PK-8,,,,1.0,,,,,,,"Dance,Soccer",4.0,,,,,,,,,,10.0,,,,Running Club,,,,,,2:25pm,,,,,,,,,49.0,,,,,
718-253-3700,,,3208638.0,,,8:00am,,,,,,,Open to students and residents of District 21,Midwood,,,,,,,0.0,40.623561,,Gr 6-8,,,,0.0,,,,,,,Soccer,2.0,,,,,,,,,,36.0,,,,,,,,,,2:20pm,,25.0,,,,,,,25.0,,,,,
718-721-6410,,4th Grade New York State Math Exam: 17.5%,4019633.0,,,8:10am,,,,,,,,Astoria,,,,,,,,40.780347,,Gr PK-8,,,,1.0,,,,,,,,5.0,,,,,,,,,,0.0,,,,"Dance, Running Club, Soccer, Track and Field",,,,,,2:30pm,,,,,,,,,99.0,,,,,
212-690-5945,,,1059645.0,,,8:00am,,,,,,,,Manhattanville,,,,,,,,40.81755,,Gr K-8,,,,0.0,,,,,,,"Baseball,Flag Football",2.0,,,,,,,,,,30.0,,,,,,,,,,2:20pm,,,,,,,,,19.0,,,,,
718-822-5351,,,2046140.0,,,8:00am,,,,,,,,Pelham Bay,,,,,,,,40.845787,,Gr K-8,,,,1.0,,,,,,,Baseball,2.0,,,,,,,,,,46.0,,,,"Cheerleading, Dance, Wrestling",,,,,,2:20pm,,,,,,,,,46.0,,,,,
718-370-6850,,,5149609.0,,,7:35am,,,,,,,,Heartland Village,,,,,,,,40.581315,,Gr 6-8,,,,1.0,,,,,,,,6.0,,,,,,,,,,38.0,,,,,,,,,,1:55pm,,,,,,,,,54.0,,,,,
212-717-8809,,,1083343.0,,,8:30am,,,,,,,,Upper East Side,,,,,,,,40.765359,,Gr PK-8,,,,1.0,,,,,,,,18.0,,,,,,,,,,6.0,,,,,,,,,,2:50pm,,,,,,,,,39.0,,,,,
718-639-3817,,4th Grade New York State Math Exam: 22.5%,4058611.0,,,8:00am,,,,,,,Open to students and residents of Queens,Maspeth,,,282.0,,,,1.0,40.729215,,Gr 6-8,,,,1.0,,,,,,,"Badminton,Soccer",17.0,Open,,65.0,,,1.0,,,,12.0,,,30.0,"Basketball, Dance, Running Club, Soccer",,346.0,,,,2:20pm,,24.0,,Q073U,,The Frank Sansivieri Intermediate School (I.S. 73) Zoned Program,,,53.0,,Open to students residing in the zone,,,
212-281-5028,,Attendance,1084067.0,,,7:45am,,,,,,,,Manhattanville,,,,,,,,40.815458,,Gr 6-8,,,,1.0,,,,,,,,4.0,,,,,,,,,,20.0,,,,,,,,,,2:05pm,,,,,,,,,80.0,,,,,
718-822-2780,,,2025717.0,,,8:34am,,,,,,,,Unionport,,,,,,,,40.829232,,Gr 6-8,,,,1.0,,,,,,,Baseball,4.0,,,,,,,,,,25.0,,,,"Basketball, Dance, Flag Football, Soccer",,,,,,3pm,,,,,,,,,26.0,,,,,
718-584-1295,,,2013307.0,,,7:45am,,,,,,,Open to students residing in the zone,Tremont,,,,,,,0.0,40.854515,,Gr 6-8,,,,0.0,,,,,,,,3.0,,,,,,,,,,13.0,,,,"Baseball, Basketball, Cheerleading, Volleyball, Yoga",,,,,,3:25pm,,60.0,,,,,,,8.0,,,,,
718-564-2540,,Academic and Personal Behavior Scores,3336215.0,,,8:05am,,,,,,,,Flatbush,,,,,,,,40.649787,,Gr 6-12,,,,1.0,,,,,,,,14.0,,,,,,,,,,12.0,,,,"Badminton, Basketball, Cheerleading, Fitness Club, Flag Football, Running Club, Soccer, Table Tennis, Track and Field, Volleyball",,,,,,2:19pm,,,,,,,,,53.0,,,,,
718-384-8063,,,3062766.0,,,8:20am,,,,,,,Open to students and residents of Brooklyn,Williamsburg,,,,,,,1.0,40.714785,,Gr PK-8,,,,0.0,,,,,,,"Flag Football,Soccer",3.0,ASD/ACES Program,,,,,,,,,21.0,,,,,,,,,,2:40pm,,24.0,,K084Y,,,,,15.0,,,,,
718-780-7660,,Attendance,3398406.0,,,8:00am,,,,,,,"Open to students currently in an ASD (Autism Spectrum Disorder) Horizon program. If you are not currently an ASD Horizon student and are interested in the program, please contact asdprograms@schools.nyc.gov",DUMBO,,,,,,,0.0,40.703106,,Gr 6-8,,,,1.0,,,,,,,Flag Football,5.0,,,,,,,,,,18.0,,,,,,,,,,2:20pm,,,,,,,,,46.0,,,,,
718-547-1890,,,2066190.0,,,8:15am,,,,,,,,Eastchester,,,,,,,,40.884953,,Gr 6-8,,,,1.0,,,,,,,Flag Football,5.0,,,,,,,,,,16.0,,,,"Basketball, Cheerleading, Cross Country, Dance, Fitness Club, Flag Football, Running Club, Soccer, Track and Field",,,,,,2:35pm,,,,,,,,,12.0,,,,,
718-743-0220,,4th Grade New York State Math Exam: 20%,3203617.0,,,7:45am,,,,,,,"Open to students currently in or recommended for District 75 Special Education Inclusive Services. If you are not currently in or recommended for these services, please contact D75info@schools.nyc.gov.",Sheepshead Bay,,,,,,,,40.593521,ASD/ACES Program,Gr 6-8,,,,0.0,,,,,,,Volleyball,2.0,Open,,59.0,,,,,,,10.0,,,19.0,"Basketball, Dance, Fitness Club, Flag Football, Rugby, Running Club, Soccer, Softball, Track and Field, Yoga",,188.0,,,,2:05pm,0.0,,,K014U,,SHELL BANK ACES 12:1:1 PROGRAM,,,28.0,,"Open to students currently in an ACES (Academics, Career, and Essential Skills) program. If you are not currently an ACES student and are interested in the program, please contact acesprograms@schools.nyc.gov",,,
718-991-4027,,,2103869.0,,,8:00am,,,,,,,,Soundview,,,,,,,,40.823526,,Gr 6-8,,,,1.0,,,,,,,Dance,4.0,,,,,,,,,,27.0,,,,"Baseball, Basketball, Cheerleading, Dance, Double Dutch, Step, Track and Field, Volleyball",,,,,,2:20pm,,,,,,,,,24.0,,,,,
718-326-2111,,,4069253.0,,,8:15am,,,,,,,,Middle Village,,,,,,,,40.719867,,Gr K-8,,,,0.0,,,,,,,"Soccer,Table Tennis",1.0,,,,,,,,,,28.0,,,,"Baseball, Basketball, Running Club, Soccer",,,,,,2:42pm,,,,,,,,,63.0,,,,,
718-885-1093,,,2082444.0,,,8:10am,,,,,,,,City Island,,,,,,,,40.843873,,Gr K-8,,,,1.0,,,,,,,,3.0,,,,,,,,,,1.0,,,,,,,,,,2:30pm,,,,,,,,,44.0,,,,,
718-739-6883,,,4216655.0,,,8:00am,,,,,,,,Jamaica,,,,,,,,40.69719,,Gr 6-8,,,,0.0,,,,,,,Flag Football,3.0,,,,,,,,,,21.0,,,,"Martial Arts, Yoga",,,,,,3:20pm,,,,,,,,,28.0,,,,,
718-235-1785,,,3092456.0,,,8:00am,,,,,,,,East New York,,,,,,,,40.68618,,Gr 6-8,,,,0.0,,,,,,,Dance,2.0,,,,,,,,,,24.0,,,,"Basketball, Cheerleading, Dance",,,,,,2:20pm,,,,,,,,,11.0,,,,,
718-653-0835,,,2051571.0,,,8:00am,,,,,,,Open to students and residents of the Bronx,Williamsbridge,,,,,,,0.0,40.863055,,Gr PK-8,,,,1.0,,,,,,,,36.0,,Then to District 11 students and residents,,,,,,,,3.0,,,,"Baseball, Basketball, Cheerleading, Soccer, Softball",,,,,,2:20pm,,121.0,,,,,,,31.0,,,,,
