schooldbn,telephone,priority3_prog3,swdseats_prog8,gefilled_prog5,selectioncriteria2_prog7,selectioncriteria2_prog2,swdfilled_prog10,admissionsmethod_prog13,swdappsperseat_prog7,code_prog7,eligibility_prog7,selectioncriteria5_prog4,swdappsperseat_prog6,code_prog15,geseats_prog12,gefilled_prog2,geseats_prog5,gefilled_prog7,geapps_prog4,admissionsmethod_prog6,gefilled_prog3,activities,selectioncriteria1_prog8,selectioncriteria6_prog1,admissionsmethod_prog8,geseats_prog10,borough,swdappsperseat_prog11,name_prog9,selectioncriteria7_prog1,priority2_prog6,name_prog6,geseats_prog3,priority3_prog1,gefilled_prog11,selectioncriteria3_prog8,priority1_prog3,geappsperseat_prog15,geapps_prog5,geappsperseat_prog12,swdseats_prog10,eligibility_prog14,geseats_prog15,swdfilled_prog4,name_prog12,swdfilled_prog6,council_district,eligibility_prog5,admissionsmethod_prog12,selectioncriteria1_prog2,geseats_prog8,diversityinadmissions,eligibility_prog3,geseats_prog9,selectioncriteria1_prog6,gefilled_prog6,eligibility_prog13,geseats_prog13,selectioncriteria8_prog1
09X593,718-588-0341,,,,,,,,,,,,,,,,,,,,,"Art, Book Club, Dance, Fashion, Fitness, Homework Help, Leadership, Music, Peer Mediation, Photography, Restorative Circles, Saturday Academy, Service Learning, Student Council, Talent Show, Yoga, Small Group Instruction, Advisory",,,,,BRONX,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,
21K288,718-382-2100,,,,,,,,,,,,,,,0.0,,,,,,"Chorus, Dance, Leadership, Math Team, Student Council",,,,,BROOKLYN,,,,,,,,,,,,,,,,,,,,47.0,,,,,,,,,,,,
27Q105,718-474-8615,,,,,,,,,,,,,,,,,,,,,"Art, Chess, Choir, Chorus, Guitar, Homework Help, Leadership, Music, Peer Mediation, Photography, Restorative Circles, STEM, Student Council, Technology, Tutoring, Yearbook",,,,,QUEENS,,,,,,,,,,,,,,,,,,,,31.0,,,,,,,,,,,,
19K663,718-345-5190,,,,,,,,,,,,,,,,,,,,,"Art, Book Club, Chess, Choir, Coding, Drama, Engineering, Homework Help, Leadership, Lego Robotics, Math Team, Music, National Junior Honor Society, Photography, Restorative Circles, Robotics, Saturday Academy, Science Club, STEM, Step Team, Student Council, Talent Show, Technology, Theater, Tutoring, Video Game Club, Visual Arts, Yearbook, Yoga",,,,,BROOKLYN,,,,,,,,,,,,,,,,,,,,42.0,,,,,,,,,,,,
06M018,917-521-2220,,,,,,,,,,,,,,,,,,,,,"Art, Band, Chess, Debate, Music, Saturday Academy, STEM, Student Council, Technology, Urban Arts",,,,,MANHATTAN,,,,,,,Then to District 6 students and residents,,,,,,,,,,,,,10.0,,,,,,,,,,,,
18K068,718-241-4800,,,,,Academic and Personal Behavior Scores,,,,,,,,,,1.0,,,,,0.0,"Art, Cooking, Dance, Gardening, Leadership, STEM",,,,,BROOKLYN,,,,,,50.0,,,,Priority to residents of the middle school zone,,,,,,,,,,46.0,,,4th Grade New York State ELA and Math Exams,,,Open to students and residents of District 18,,,,,,
31R080,718-815-0186,,,,,,,,,,,,,,,1.0,,,,,,"Art, Band, Chorus, Dance, Fitness, National Junior Honor Society, Technology",,,,,STATEN IS,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,
17K354,718-774-0362,,,,,,,,,,,,,,,0.0,,,,,,"Art, Book Club, Choir, Coding, Cooking, Dance, Fashion, Fitness, Homework Help, Lego Robotics, Photography, Robotics, Saturday Academy, School Newspaper, Service Learning, Spelling Bee, STEM, Student Council, Talent Show, Yearbook",,,,,BROOKLYN,,,,,,,,,,,,,,,,,,,,36.0,,,,,,,,,,,,
08X375,718-542-5063,,,,,,,,,,,,,,,,,,,,,,,,,,BRONX,,,,,,,Then to District 8 students and residents who sign in at an event,,,,,,,,,,,,,18.0,,,,,,,,,,,,
05M148,212-694-6051,,,,,,,,,,,,,,,,,,,,,"Art, Band, Chess, Coding, Comic Book Club, Creative Writing, Debate, Engineering, Guitar, Music, Musical Theater, Peer Mediation, Photography, Restorative Circles, Service Learning, Spelling Bee, Student Council, Technology, Theater, Urban Arts, Video Game Club, Visual Arts, Yearbook",,,,,MANHATTAN,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,
11X180,718-904-5650,Then to Bronx students and residents,,,,All student applicants must come for our open Auditions in January.,,,,,,,,,,1.0,,,,,1.0,"Art, Band, Chorus, Coding, Dance, Lego Robotics, Music, Musical Theater, National Junior Honor Society, Restorative Circles, STEM, Visual Arts",,,,,BRONX,,,,,,112.0,,,,Priority to residents of the middle school zone,,,,,,,0.0,,,12.0,,,Academic and Personal Behavior Scores,,,Open to students and residents of the Bronx,,,,,,
19K654,718-927-4701,,,,,,,,,,,,,,,,,,,,,"Art, Chorus, Coding, Creative Writing, Dance, Drama, Engineering, Fashion, Fitness, Homework Help, Leadership, Lego Robotics, Math Team, Music, National Junior Honor Society, Restorative Circles, Robotics, Saturday Academy, School Newspaper, Science Club, Science Olympiad, STEM, Step Team, Student Council, Talent Show, Technology, Theater, Video Game Club, Visual Arts, Yoga",,,,,BROOKLYN,,,,,,,Then to District 19 students and residents who sign in at an event,,,,,,,,,,,,,42.0,,,,,,,,,,,,
09X339,718-583-6767,,,,,,,,,,,,,,,,,,,,,,,,,,BRONX,,,,,,,Then to District 9 students and residents who sign in at an event,,,,,,,,,,,,,16.0,,,,,,,,,,,,
20K223,718-438-0155,,,,,,,,,,,,,,,1.0,,,,,0.0,"Art, Band, Chess, Chorus, Fitness, Gardening, Glee Club, Green Team, Lego Robotics, Music, Peer Mediation, Robotics, Saturday Academy, Science Olympiad, STEM, Step Team, Technology, Urban Arts, Visual Arts, Yearbook",,,,,BROOKLYN,,,,,,149.0,,,,,,,,,,,,,,44.0,,,,,,Open to students residing in the zone,,,,,,
14K071,718-302-7900,,,,,Academic and Personal Behavior Scores,,,,,,,,,,0.0,,,,,0.0,"Art, Band, Book Club, Chess, Coding, Cooking, Dance, Debate, Drama, Gardening, Guitar, Homework Help, Lego Robotics, Music, Musical Theater, Peer Mediation, Robotics, Rock Band, Saturday Academy, STEM, Student Council, Technology, Theater, Tutoring, Visual Arts, Yearbook, Textiles (Sewing)",,,,,BROOKLYN,,,,,,,,,,,,,,,,,,,,33.0,,,4th Grade New York State ELA and Math Exams,,,"Open to students currently in an ACES (Academics, Career, and Essential Skills) program. If you are not currently an ACES student and are interested in the program, please contact acesprograms@schools.nyc.gov",,,,,,
10X037,718-796-0360,,,,,,,,,,,,,,,,,,,,,,,,,,BRONX,,,,,,,Then to District 10 students and residents,,,,,,,,,,,,,11.0,,,,,,,,,,,,
03M250,212-866-6313,,,,,,,,,,,,,,,,,,,,,"Art, Book Club, Comic Book Club, Cooking, Dance, Drama, Fitness, Homework Help, Restorative Circles, Service Learning, Spelling Bee, Student Council, Talent Show, Theater, Tutoring, Visual Arts, Yearbook, Blended Online Learning Modules, Customized Online Student Portals, High School Articulation Workshops, One-on-One Academic Coaching, Hands In 4 Youth Free After-School Program",,On-Site Assessment,,,MANHATTAN,,,,,,,,,,,,,,,,,,,,6.0,,,,,This program prioritizes 25% of seats for students who qualify for the federal free or reduced price lunch program (FRL) and who are lower-performing.,,,,,,,
01M188,212-677-5710,,,,,Academic and Personal Behavior Scores,,,,,,,,,,0.0,,,,,,"Saturday Academy, Student Council, Technology, Yearbook",,,,,MANHATTAN,,,,,,,,,,,,,,,,,,,,2.0,,,4th Grade New York State ELA and Math Exams,,,,,,,,,
30Q145,718-457-1242,,,,,,,,,,,,,,,0.0,,,,,,"Art, Band, Choir, Chorus, Coding, Cooking, Dance, Fitness, Homework Help, Latin Dance, Music, STEM, Talent Show, Technology, Yearbook",,,,,QUEENS,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,
02M297,917-678-8367,,,,,,,,,,,,,,,0.0,,,,,,"Art, Band, Chorus, Coding, Drama, Gardening, Green Team, Music, Peer Mediation, Restorative Circles, School Newspaper, STEM, Student Council, Visual Arts, Yearbook",,,,,MANHATTAN,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,
27Q323,718-474-6918,,,,,,,,,,,,,,,,,,,,,"Art, Band, Chess, Chorus, Drama, Fitness, Gardening, Green Team, Guitar, Music, Musical Theater, National Junior Honor Society, Peer Mediation, School Newspaper, STEM, Student Council, Theater, Visual Arts, Yearbook, PBIS",,On-Site Assessment,,,QUEENS,,,,,,,,,,,,,,,,,,,,32.0,,,,,,,,,,,,
13K265,718-834-6760,,,,,,,,,,,,,,,0.0,,,,,,"Art, Band, Choir, Chorus, Coding, Dance, Engineering, Fitness, Lego Robotics, Music, National Junior Honor Society, Peer Mediation, Restorative Circles, Robotics, Saturday Academy, Step Team, Student Council, Talent Show, Technology, Tutoring, Visual Arts, Yearbook",,,,,BROOKLYN,,,,,,,,,,,,,,,,,,,,35.0,,,On-Site Assessment,,,,,,,,,
30Q141,718-278-6403,,,,,,,,,,,,,,,0.0,,,,,,"Art, Band, Chess, National Junior Honor Society, STEM, Student Council, Theater, African Drumming, Civics",,,,,QUEENS,,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,
06M278,917-521-2060,,,,,,,,,,,,,,,,,,,,,"Art, Band, Chorus, Green Team, Guitar, Music, Musical Theater, Photography, Saturday Academy, Student Council, Technology, Visual Arts, Yearbook",,,,,MANHATTAN,,,,,,,Then to District 6 students and residents,,,,,,,,,,,,,10.0,,,,,,,,,,,,
16K035,718-574-2345,,,,,,,,,,,,,,,,,,,,,"Art, Book Club, Chess, Creative Writing, Dance, Debate, Drama, Green Team, Homework Help, Leadership, Lego Robotics, Math Team, Peer Mediation, Restorative Circles, Robotics, Saturday Academy, Spelling Bee, Student Council, Visual Arts, Thurgood Marshall Mock Trial, Adelaide Sanford Oratory Contest",,,,,BROOKLYN,,,,,,,,,,,,,,,,,,,,36.0,,,,,,,,,,,,
21K226,718-234-4940,,,,,,,,,,,,,,,0.0,,,,,,"Art, Band, Homework Help, Music, Musical Theater, National Junior Honor Society, Peer Mediation, Restorative Circles, Saturday Academy, Science Club, STEM, Student Council, Talent Show, Theater, Visual Arts, Yearbook",,,,,BROOKLYN,,,,,,,,,,,,,,,,,,,,44.0,,,,,,,,,,,,
27Q319,718-471-6042,,,,,,,,,,,,,,,,,,,,,"Art, Book Club, Chess, Chorus, Coding, Cooking, Creative Writing, Dance, Debate, Drama, Fashion, Fitness, Gardening, Green Team, Guitar, Homework Help, Latin Dance, Leadership, Lego Robotics, Math Team, Music, National Junior Honor Society, Peer Mediation, Photography, Restorative Circles, Robotics, School Newspaper, Science Club, Service Learning, Spelling Bee, STEM, Student Council, Talent Show, Technology, Theater, Tutoring, Visual Arts, Yearbook, Yoga",,,,,QUEENS,,,,,,,,,,,,,,,,,,,,31.0,,,,,,,,,,,,
12X318,718-294-8504,,,,,,,,,,,,,,,,,,,,,"Art, Band, Book Club, Chess, Choir, Chorus, Coding, Comic Book Club, Dance, Debate, Drama, Engineering, Green Team, Guitar, Leadership, Lego Robotics, Math Team, Music, Musical Theater, National Junior Honor Society, Peer Mediation, Photography, Restorative Circles, Robotics, Rock Band, Saturday Academy, Science Club, Service Learning, Spelling Bee, STEM, Step Team, Student Council, Talent Show, Technology, Theater, Visual Arts, Yearbook, Mock Trials",,,,,BRONX,,,,,,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,
19K292,718-498-6562,,,,,,,,,,,,,,,0.0,,,,,,Step Team,,,,,BROOKLYN,,,,,,,,,,,,,,,,,,,,42.0,,,,,,,,,,,,
22K206,718-743-5598,,,,,,,,,,,,,,,,,,,,,"Art, Band, Book Club, Chorus, Coding, Creative Writing, Dance, Debate, Drama, Fitness, Guitar, Homework Help, Leadership, Math Team, Music, Musical Theater, Peer Mediation, Restorative Circles, School Newspaper, Science Club, Service Learning, STEM, Student Council, Talent Show, Technology, Theater, Tutoring, Urban Arts, Visual Arts, Yearbook",,,,,BROOKLYN,,,,,,,,,,,,,,,,,,,,48.0,,,,,,,,,,,,
26Q266,718-479-3920,,,,,,,,,,,,,,,1.0,,,,,,"Art, Band, Chess, Chorus, Coding, Debate, Drama, Fitness, Music, Musical Theater, National Junior Honor Society, Restorative Circles, Saturday Academy, Student Council, Technology, Theater",,,,,QUEENS,,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,
04M964,212-860-5992,,,,,,,,,,,,,,,,,,,,,"Art, Cooking, Dance, Yearbook",,,,,MANHATTAN,,,,,,,Then to District 4 students and residents,,,,,,,,,,,,,8.0,,,,,,,,,,,,
09X594,718-588-8349,,,,,,,,,,,,,,,,,,,,,,,,,,BRONX,,,,,,,Then to Bronx students and residents,,,,,,,,,,,,,16.0,,,,,,,,,,,,
30Q111,718-786-2073,,,,,,,,,,,,,,,,,,,,,"Art, Band, Book Club, Chess, Choir, Chorus, Creative Writing, Dance, Debate, Drama, Homework Help, Leadership, Musical Theater, Peer Mediation, Science Club, Service Learning, Student Council, Technology, Theater, Tutoring, Visual Arts, Yearbook",,,,,QUEENS,,,,,,,,,,,,,,,,,,,,26.0,,,,,,,,,,,,
02M276,212-266-5800,,,,,,,,,,,,,,,,,,,,,"Art, Band, Chorus, Homework Help, Leadership, Math Team, National Junior Honor Society, Restorative Circles, School Newspaper, Science Club, Service Learning, STEM, Student Council, Tutoring, Yearbook",,,,,MANHATTAN,,,,,,,Then to residents of the elementary school zone,,,,,,,,,,,,,1.0,,,,,,,,,,,,
11X566,718-794-9750,,,,,,,,,,,,,,,,,,,,,"Band, Book Club, Coding, Creative Writing, Drama, Leadership, Music, Musical Theater, Photography, Restorative Circles, Saturday Academy, Student Council, Theater, Yearbook, Yoga",,,,,BRONX,,,,,,,Then to Bronx students and residents,,,,,,,,,,,,,13.0,,,,,,,,,,,,
24Q128,718-326-6210,,,,,,,,,,,,,,,,,,,,,"Art, Band, Drama, Music, National Junior Honor Society, Spelling Bee, Student Council, Technology, Visual Arts",,,,,QUEENS,,,,,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,
20K936,718-759-4908,,,,,,,,,,,,,,,,,,,,,,,,,,BROOKLYN,,,,,,,,,,,,,,,,,,,,38.0,,,,,,,,,,,,
13K492,718-222-1605,,,,,,,,,,,,,,,,,,,,,,,,,,BROOKLYN,,,,,,,,,,,,,,,,,,,,35.0,,,,,,,,,,,,
20K104,718-836-4630,,,,,,,,,,,,,,,0.0,,,,,,"After School ELA and Math  Remediation, After School ENL support, After School Immigrant Student Support",,,,,BROOKLYN,,,,,,,,,,,,,,,,,,,,43.0,,,,,,,,,,,,
05M670,212-283-8055,,,,,,,,,,,,,,,,,,,,,"Art, Book Club, Coding, Dance, Debate, Drama, Fitness, Leadership, Music, National Junior Honor Society, Restorative Circles, School Newspaper, STEM, Visual Arts, Yearbook",,,,,MANHATTAN,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,
10X003,718-584-1899,,,,,,,,,,,,,,,,,,,,,,,,,,BRONX,,,,,,,Then to Bronx students and residents,,,,,,,,,,,,,15.0,,,,,,,,,,,,
02M933,212-695-9115,,,,,,,,,,,,,,,,,,,,,"Art, Book Club, Chorus, Coding, Cooking, Dance, Fashion, Homework Help, Lego Robotics, National Junior Honor Society, Photography, Restorative Circles, Saturday Academy, Spelling Bee, Step Team, Student Council, Visual Arts, Yearbook",,,,,MANHATTAN,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,
03M421,212-280-8502,,,,,,,,,,,,,,,,,,,,,,,,,,MANHATTAN,,,,,,,,,,,,,,,,,,,,7.0,,,,,This program prioritizes 25% of seats for students who qualify for the federal free or reduced price lunch program (FRL) and who are lower-performing.,,,,,,,
14K614,718-387-5641,,,,,,,,,,,,,,,,,,,,,"Art, Book Club, Chess, Comic Book Club, Cooking, Creative Writing, Dance, Drama, Engineering, Guitar, Music, Robotics, Rock Band, Saturday Academy, Spelling Bee, STEM, Step Team, Talent Show, Theater, Tutoring, Visual Arts, Yoga, Spirit Week including Field Day, Game Club, Girls Leadership, NY Edge after school program, College Bound Initiative including college visits",,,,,BROOKLYN,,,,,,,,,,,,,,,,,,,,34.0,,,,,,,,,,,,
10X280,718-405-6360,,,,,,,,,,,,,,,,,,,,,,,,,,BRONX,,,,,,,Then to District 10 students and residents,,,,,,,,,,,,,11.0,,,,,,,,,,,,
02M896,646-826-8100,,,,,,,,,,,,,,,,,,,,,"Art, Band, Chess, Coding, Cooking, Creative Writing, Fitness, Gardening, Homework Help, Leadership, Lego Robotics, Math Team, Peer Mediation, Photography, Restorative Circles, Robotics, Rock Band, School Newspaper, Service Learning, Spelling Bee, Step Team, Talent Show, Technology, Video Game Club, Visual Arts, Yearbook, Fencing, Out Lunch, Algebra Regents, Overnight Trips, Advisory",,,,,MANHATTAN,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
11X019,718-324-1924,,,,,,,,,,,,,,,,,,,,,"Art, Chorus, Fitness, Leadership, National Junior Honor Society, Yearbook",,,,,BRONX,,,,,,,Then to District 11 students and residents,,,,,,,,,,,,,11.0,,,,,,,,,,,,
26Q067,718-423-8138,,,,,,,,,,,,,,,1.0,,,,,0.0,"Chess, Debate, Gardening, Green Team, Homework Help, Lego Robotics, Math Team, Musical Theater, School Newspaper, Spelling Bee, STEM, Student Council, Theater, Yearbook",,,,,QUEENS,,,,,,163.0,,,,,,,,,,,,,,19.0,,,,,,Open to students residing in the zone,,,,,,
05M362,212-666-1278,,,,,,,,,,,,,,,,,,,,,,,,,,MANHATTAN,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,
06M319,212-923-3827,,,,,Attendance,,,,,,,,,,0.0,,,,,0.0,"Art, Band, Chess, Chorus, Coding, Dance, Debate, Drama, Fitness, French Club, Homework Help, Latin Dance, Leadership, Music, Robotics, Rock Band, Saturday Academy, STEM, Technology, Tutoring, Visual Arts, Yearbook",,,,,MANHATTAN,,,,,,95.0,,,,"Priority to students attending PS 8, PS 153, or PS 173 and to residents of the middle school zone",,,,,,,,,,10.0,,,Academic and Personal Behavior Scores,,,Open to students and residents of District 6,,,,,,
21K121,718-377-8845,,,,,,,,,,,,,,,,,,,,,"Science Club, STEM",,,,,BROOKLYN,,,,,,,Then to District 21 students and residents,,,,,,,,,,,,,44.0,,,,,,,,,,,,
17K590,718-703-5400,,,,,,,,,,,,,,,,,,,,,"Art, Chess, Choir, Chorus, Coding, Comic Book Club, Dance, Engineering, Homework Help, Leadership, Lego Robotics, Music, National Junior Honor Society, Peer Mediation, Robotics, Saturday Academy, School Newspaper, STEM, Student Council, Technology, Tutoring, Visual Arts, Yearbook",,On-Site Assessment,,,BROOKLYN,,,,,,,,,,,,,,,,,,,,35.0,,,,,,,,,,,,
32K162,718-821-4860,,,,,,,,,,,,,,,,,,,,0.0,,,,,,BROOKLYN,,,,,,32.0,,,,,,,,,,,,,,34.0,,,,,,Open to students residing in the zone,,,,,,
12X341,718-378-1649,,,,,,,,,,,,,,,,,,,,,,,,,,BRONX,,,,,,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,
28Q896,718-725-0402,,,,,,,,,,,,,,,,,,,,,"Art, Band, Book Club, Choir, Chorus, Coding, Cooking, Debate, Fitness, Homework Help, Leadership, Lego Robotics, Math Team, Music, Peer Mediation, Photography, Robotics, Rock Band, School Newspaper, Science Club, STEM, Step Team, Student Council, Tutoring",,,,,QUEENS,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,
25Q189,718-359-6676,,,,,,,,,,,,,,,0.0,,,,,,"Art, Book Club, Chess, Chorus, Coding, Cooking, Creative Writing, Debate, Engineering, Music, Musical Theater, National Junior Honor Society, Peer Mediation, Restorative Circles, Saturday Academy, STEM, Student Council, Talent Show, Theater, Tutoring, Visual Arts",,,,,QUEENS,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,
27Q207,718-848-2700,,,,,,,,,,,,,,,,,,,,,"Art, Band, Lego Robotics, Theater",,,,,QUEENS,,,,,,,,,,,,,,,,,,,,32.0,,,,,,,,,,,,
01M184,212-602-9700,,,,,,,,,,,,,,,,,,,,,"Art, Dance, Leadership, Music, Restorative Circles, Saturday Academy, Spelling Bee, Technology, Tutoring, Visual Arts, Yearbook, Yoga",,Lateness,,,MANHATTAN,,,On-Site Assessment,,,,Then to Manhattan students and residents,,,,,,,,,,,,,1.0,,,,,,,,,,,,
08X371,718-823-6042,,,,,,,,,,,,,,,,,,,,,,,,,,BRONX,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,
25Q219,718-793-2130,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,QUEENS,,,,,,,Then to District 25 students and residents,,,,,,,,,,,,,24.0,,,,,,"Open to students currently in an ASD (Autism Spectrum Disorder) Horizon program. If you are not currently an ASD Horizon student and are interested in the program, please contact asdprograms@schools.nyc.gov",,,,,,
