schooldbn,final_address,district_outdistrict_1,flexschedule,district_otherzone,earlydropoff,play,district_otherzone_1,halfday_offers,nyceec_services_none,borough,programcode1
05MAZL,"2112 Madison Avenue, Manhattan NY 10037",,,,,Contact program,,,,Manhattan,05MAZLFDPK
14KBLU,"77 Stagg Street, Brooklyn NY 11206",,,,,Indoor/Outdoor (Onsite) Playspace,,,,Brooklyn,14KBLUFDPK
04MAVS,"1 East 104th Street, Manhattan NY 10029",,May utilize flexible scheduling policy. Contact for more information.,,,Indoor/Outdoor (Onsite) Playspace/Outdoor (Offsite) Playspace,,,,Manhattan,04MAVSFDPK
13KBLL,"44-60 Rockwell Place, Brooklyn NY 11201",,,,,Outdoor (Onsite) Playspace,,,,Brooklyn,13KBLLFDPK
14KBVC,"384 South 4th Street, Brooklyn NY 11211",,,,8am,Contact program,,,x,Brooklyn,14KBVCFDPK
21K,"129 Elmwood Avenue, Brooklyn NY 11230",,May utilize flexible scheduling policy. Contact for more information.,,,Indoor/Outdoor (Onsite) Playspace,,,,Brooklyn,21KALTFDPK
21K153,"1970 Homecrest Avenue, Brooklyn NY 11229",x,,x,,Indoor/Outdoor (Onsite) Playspace,,,,Brooklyn,21K153FDPK
09XAYV,"1650 Undercliff Avenue, Bronx NY 10453",,,,,Contact program,,,,Bronx,09XAYVFDPK
21KAKI,"8401 23rd Avenue, Brooklyn NY 11214",,,,7:30am,Contact program,,,,Brooklyn,21KAKIFDPK
09X199,"1449 Shakespeare Avenue, Bronx NY 10452",,,x,,Indoor/Outdoor (Onsite) Playspace,,,,Bronx,09X199FDPK
07XATI,"416 Willis Avenue, Bronx NY 10454",,,,Contact program for time,Outdoor (Offsite) Playspace,,,,Bronx,07XATIFDPK
01M020,"166 Essex Street, Manhattan NY 10002",,,,,Indoor/Outdoor (Onsite) Playspace,,,,Manhattan,01M020FDPK
20Z072,"8501 5th Avenue, Brooklyn NY 11209",,,,,Indoor (Onsite) Playspace,,,,Brooklyn,20Z072FDPK
10X396,"1930 Andrews Avenue, Bronx NY 10453",,,x,,Indoor/Outdoor (Onsite) Playspace,,,,Bronx,10X396FDPK
20KCJK,"7524 14th Avenue, Brooklyn NY 11228",,,,8am,Outdoor (Onsite) Playspace,,,,Brooklyn,20KCJKFDPK
20KBPU,"414 80th Street, Brooklyn NY 11209",,,,7:30am,Indoor/Outdoor (Onsite) Playspace,,Who Got Offers Last Year refers only to full-day applicants.,,Brooklyn,20KBPUFDPK
10XAYB,"75 West 190th Street, Bronx NY 10468",,,,7:30am,Outdoor (Offsite) Playspace,,,,Bronx,10XAYBFDPK
21K177,"346 Avenue P, Brooklyn NY 11204",,,,,Indoor/Outdoor (Onsite) Playspace,x,,,Brooklyn,21K177FDPK
15KBGk,"1257 38th Street, Brooklyn NY 11218",,May utilize flexible scheduling policy. Contact for more information.,,,Indoor/Outdoor (Onsite) Playspace,,Who Got Offers Last Year refers only to full-day applicants.,x,Brooklyn,15KBGIFDPK
14KBJI,"494 Marcy Avenue, Brooklyn NY 11206",,,,8am,Indoor/Outdoor (Onsite) Playspace,,,,Brooklyn,14KBJIFDPK
08XAKR,"730 Kelly Street, Bronx NY 10455",,,,,Outdoor (Onsite) Playspace,,,,Bronx,08XAKRFDPK
03MAUZ,"125 West 109th Street, Manhattan NY 10025",,,,,Outdoor (Onsite) Playspace,,,,Manhattan,03MAUZFDPK
16K026,"1014 Lafayette Avenue, Brooklyn NY 11221",,,x,Contact program for time,Indoor/Outdoor (Onsite) Playspace,,,,Brooklyn,16K026FDPK
04M057!,"176 East 115th Street, Manhattan NY 10029",,,x,,Indoor/Outdoor (Onsite) Playspace,,,,Manhattan,04M057FDPK
16KBNT,"2023 Pacific Street, Brooklyn NY 11233",,,,8am,Indoor/Outdoor (Onsite) Playspace,,,,Brooklyn,16KBNTFDPK
09XAIQ,"383 East 162nd Street, Bronx NY 10451",,,,,Indoor/Outdoor (Onsite) Playspace,,,x,Bronx,09XAIQFDPK
24QAFZ,"104-19 49th Avenue, Queens NY 11368",,,,,Indoor/Outdoor (Onsite) Playspace,,,,Queens,24QAFZFDPK
06MAXM,"529 West 155th Street, Manhattan NY 10032",,,,,Outdoor (Offsite) Playspace,,,,Manhattan,06MAXMFDPK
15KANO,"1205 44th Street, Brooklyn NY 11219",,May utilize flexible scheduling policy. Contact for more information.,,,Contact program,,,,Brooklyn,15KANOFDPK
21KBAY,"2166 Coney Island Avenue, Brooklyn NY 11223",,,,Contact program,Indoor/Outdoor (Onsite) Playspace,,,,Brooklyn,Contact program to apply.
13K305,"344 Monroe Street, Brooklyn NY 11216",,,x,,Indoor/Outdoor (Onsite) Playspace,,,,Brooklyn,13K305FDPK
17KBVL,"1150 Carroll Street, Brooklyn NY 11225",,,,Contact program for time,Outdoor (Offsite) Playspace,,,,Brooklyn,17KBVLFDPK
21KBBE,"2964 West 23rd Street, Brooklyn NY 11224",,,,8am,Outdoor (Onsite) Playspace,,,,Brooklyn,21KBBEFDPK
08XANJ,"214-216 Soundview Avenue, Bronx NY 10473",,May utilize flexible scheduling policy. Contact for more information.,,8am,Outdoor (Offsite) Playspace,,,,Bronx,08XANJFDPK
18KBOW,"141 East 40th Street, Brooklyn NY 11203",,,,7am,Outdoor (Onsite) Playspace,,,,Brooklyn,18KBOWFDPK
08XABI,"3573 Bruckner Boulevard, Bronx NY 10461",,,,7:45am,Indoor/Outdoor (Onsite) Playspace,,,,Bronx,08XABIFDPK
11X111,"3740 Baychester Avenue, Bronx NY 10466",,,x,,Indoor/Outdoor (Onsite) Playspace,,,,Bronx,11X111FDPK
08XANI,"4022 East Tremont Avenue, Bronx NY 10465",,,,6:30am,Indoor/Outdoor (Onsite) Playspace,,,,Bronx,08XANIFDPK
06M348,"511 West 182nd Street, Manhattan NY 10033",,,,,Outdoor (Onsite) Playspace,,,,Manhattan,06M348FDPK
05MBCM,"23 West 124th Street, Manhattan NY 10027",,,,,Outdoor (Offsite) Playspace,,,,Manhattan,05MBCMFDPK
15Z093,"305-307 Third Avenue, Brooklyn NY 11215",,,,7:40am,Indoor (Onsite) Playspace,,,,Brooklyn,15Z093FDPK
17K705,"443 Saint Marks Avenue, Brooklyn NY 11238",,,,Contact program for time,Indoor/Outdoor (Onsite) Playspace,x,,,Brooklyn,17K705FDPK
14KBLS,"860 Park Avenue, Brooklyn NY 11206",,,,,Outdoor (Onsite) Playspace,,,,Brooklyn,14KBLSFDPK
10X209,"313 East 183rd Street, Bronx NY 10458",,,x,,Outdoor (Onsite) Playspace,,,,Bronx,10X209FDPK
06M187,"349 Cabrini Boulevard, Manhattan NY 10040",,,,,Contact program,x,,,Manhattan,06M187FDPK
14K120,"18 Beaver Street, Brooklyn NY 11206",,,x,,Indoor/Outdoor (Onsite) Playspace,,,,Brooklyn,14K120FDPK
10XAHM,"5401 Post Road, Bronx NY 10471",,,,Contact program for time,Outdoor (Onsite) Playspace,,Who Got Offers Last Year refers only to full-day applicants.,,Bronx,10XAHMFDPK
24QBNS,"776 Fairview Avenue, Queens NY 11385",,,,,Contact program,,,,Queens,24QBNSFDPK
20KCRV,"757 60th Street, Brooklyn NY 11220",,,,,Contact program,,Who Got Offers Last Year refers only to full-day applicants.,,Brooklyn,20KCRVFDPK
21KBQH,"2170 McDonald Avenue, Brooklyn NY 11223",,,,,Contact program,,,,Brooklyn,Contact program to apply.
19KCHT,"2745 Atlantic Avenue, Brooklyn NY 11207",,,,7:15am,Indoor/Outdoor (Offsite) Playspace,,,,Brooklyn,19KCHTFDPK
06MBGU,"400 W 155th Street, Manhattan NY 10032",,,,,Indoor/Outdoor (Offsite) Playspace,,,,Manhattan,06MBGUFDPK
16K309,"794 Monroe Street, Brooklyn NY 11221",x,,x,7:30am,Indoor/Outdoor (Onsite) Playspace,,,,Brooklyn,16K309FDPK
10X023,"2151 Washington Avenue, Bronx NY 10457",,,x,,Indoor/Outdoor (Onsite) Playspace,,,,Bronx,10X023FDPK
19KCJH,"2570 Pitkin Avenue, Brooklyn NY 11208",,,,7am,Outdoor (Onsite) Playspace,,,,Brooklyn,19KCJHFDPK
20KCMA,"5816 13th Avenue, Brooklyn NY 11219",,,,8:15am,Indoor/Outdoor (Onsite) Playspace,,,,Brooklyn,20KCMAFDPK
15K261,"314 Pacific Street, Brooklyn NY 11201",,,,,Indoor/Outdoor (Onsite) Playspace,x,,,Brooklyn,15K261FDPK
18K135,"684 Linden Boulevard, Brooklyn NY 11203",,,x,,Outdoor (Onsite) Playspace,,,,Brooklyn,18K135FDPK
10XADP,"590 West 235th Street, Bronx NY 10463",,,,,Contact program,,,,Bronx,10XADPFDPK
15K676,"27 Huntington Street, Brooklyn NY 11231",,,x,,Indoor/Outdoor (Onsite) Playspace,,,,Brooklyn,15K676FDPK
21KBQI,"1317 East 15th Street, Brooklyn NY 11230",,,,7:30am,Outdoor (Onsite) Playspace,,,,Brooklyn,21KBQIFDPK
09XAWX,"937 Teller Avenue, Bronx NY 10451",,,,,Outdoor (Offsite) Playspace,,,,Bronx,09XAWXFDPK
20Z013,"1668 46th Street, Brooklyn NY 11204",,,,,Indoor/Outdoor (Onsite) Playspace,,,,Brooklyn,20Z013FDPK
21KAOV,"1102 Avenue L, Brooklyn NY 11230",,,,,Contact program,,,,Brooklyn,Contact program to apply.
11XAZB,"1659 Zerega Avenue, Bronx NY 10462",,May utilize flexible scheduling policy. Contact for more information.,,Contact program for time,Outdoor (Onsite) Playspace/Outdoor (Offsite) Playspace,,,,Bronx,11XAZBFDPK
04MAWH,"30 East 111th Street, Manhattan NY 10029",,,,,Indoor/Outdoor (Offsite) Playspace,,,x,Manhattan,04MAWHFDPK
21K209,"2609 East 7th Street, Brooklyn NY 11235",,,x,,Indoor/Outdoor (Onsite) Playspace,,,,Brooklyn,21K209FDPK
11X068,"4011 Monticello Avenue, Bronx NY 10466",,,x,,Outdoor (Onsite) Playspace,,,,Bronx,11X068FDPK
07XBBK,"565 Morris Avenue, Bronx NY 10451",,,,,Contact program,,,,Bronx,07XBBKFDPK
07XAFP,"201 Saint Anns Avenue, Bronx NY 10454",,,,,Indoor/Outdoor (Onsite) Playspace,,,,Bronx,07XAFPFDPK
04M497,"1573 Madison Avenue, Manhattan NY 10029",,,,Contact program for time,Indoor/Outdoor (Onsite) Playspace,,,,Manhattan,04M497FDPK
05MAPD,"2967 Frederick Douglas Boulevard, Manhattan NY 10039",,,,8am,Indoor/Outdoor (Onsite) Playspace,,,,Manhattan,05MAPDFDPK
07Z028,"105 Willis Avenue, Bronx NY 10454",,,,,Indoor (Onsite) Playspace,,,,Bronx,07Z028FDPK
02M198,"1700 Third Avenue, Manhattan NY 10128",,,,,Indoor/Outdoor (Onsite) Playspace,x,,,Manhattan,02M198FDPK
16K021,"180 Chauncey Street, Brooklyn NY 11233",,,x,Contact program for time,Indoor/Outdoor (Onsite) Playspace,,,,Brooklyn,16K021FDPK
02M281,"425 East 35th Street, Manhattan NY 10016",,,,,Indoor/Outdoor (Onsite) Playspace,x,,,Manhattan,02M281FDPK
15kbnc,"1021 45th Street, Brooklyn NY 11219",,,,,Contact program,,,,Brooklyn,Contact program to apply.
02M126,"80 Catherine Street, Manhattan NY 10038",,,x,,Indoor/Outdoor (Offsite) Playspace,,,,Manhattan,02M126FDPK
16K040,"265 Ralph Avenue, Brooklyn NY 11233",,,x,,Indoor/Outdoor (Onsite) Playspace,,,,Brooklyn,16K040FDPK
09XAOA,"300 East 175th Street, Bronx NY 10457",,,,,Outdoor (Offsite) Playspace,,,,Bronx,09XAOAFDPK
03MASJ,"14-32 West 118th Street, Manhattan NY 10026",,May utilize flexible scheduling policy. Contact for more information.,,,Indoor/Outdoor (Onsite) Playspace,,,,Manhattan,03MASJFDPK
19K202,"982 Hegeman Avenue, Brooklyn NY 11208",,,x,,Indoor/Outdoor (Onsite) Playspace,,,,Brooklyn,19K202FDPK
02Z034,"1 Peck Slip, Manhattan NY 10038",,,,,Contact program,,,,Manhattan,02Z034FDPK
07X369,"468 East 140th Street, Bronx NY 10454",,,,,Indoor/Outdoor (Onsite) Playspace,,,,Bronx,07X369FDPK
20KCSP,"345 91st Street, Brooklyn NY 11209",,,,7:30am,Contact program,,,,Brooklyn,20KCSPFDPK
05MARD,"1299 Amsterdam Avenue, Manhattan NY 10027",,,,,Indoor/Outdoor (Onsite) Playspace,,,,Manhattan,05MARDFDPK
13KASJ,"101 Fleet Place, Brooklyn NY 11201",,,,,Indoor/Outdoor (Onsite) Playspace,,,x,Brooklyn,13KASJFDPK
03MAQH,"128 West 83rd Street, Manhattan NY 10024",,,,,Outdoor (Onsite) Playspace,,,,Manhattan,03MAQHFDPK
20KBYQ,"5721 6th Avenue, Brooklyn NY 11220",,,,8am,Outdoor (Onsite) Playspace,,,,Brooklyn,20KBYQFDPK
13K003,"50 Jefferson Avenue, Brooklyn NY 11216",,,x,7:30am,Indoor/Outdoor (Onsite) Playspace,,,,Brooklyn,13K003FDPK
10XAPC,"4545 Independence Avenue, Bronx NY 10471",,,,8am,Indoor/Outdoor (Onsite) Playspace,,,,Bronx,10XAPCFDPK
01MAZS,"100 Attorney Street, Manhattan NY 10002",,,,,Indoor/Outdoor (Onsite) Playspace,,,,Manhattan,01MAZSFDPK
09X053,"360 East 168th Street, Bronx NY 10456",,,x,,Indoor/Outdoor (Onsite) Playspace,,,,Bronx,09X053FDPK
12XAAS,"1065 Beach Avenue, Bronx NY 10472",,,,,Outdoor (Onsite) Playspace,,,,Bronx,12XAASFDPK
19KBJR,"370 New Lots Avenue, Brooklyn NY 11207",,,,7:30am,Indoor/Outdoor (Onsite) Playspace,,,,Brooklyn,19KBJRFDPK
17K394,"188 Rochester Avenue, Brooklyn NY 11213",,,,Contact program for time,Indoor/Outdoor (Onsite) Playspace,,,,Brooklyn,17K394FDPK
10XAPI,"2340 Andrews Avenue, Bronx NY 10468",,,,,Indoor/Outdoor (Offsite) Playspace,,,,Bronx,10XAPIFDPK
16K335,"130 Rochester Avenue, Brooklyn NY 11213",,,x,7:15am,Indoor/Outdoor (Onsite) Playspace,,,,Brooklyn,16K335FDPK
04MAVX,"2081 Second Avenue, Manhattan NY 10029",,,,,Outdoor (Onsite) Playspace,,,,Manhattan,04MAVXFDPK
10XAEB,"452 West 260th Street, Bronx NY 10471",,,,7am,Indoor/Outdoor (Onsite) Playspace,,,,Bronx,10XAEBFDPK
16KBZU,"510 Quincy Street, Brooklyn NY 11221",,,,,Outdoor (Offsite) Playspace,,Who Got Offers Last Year refers only to full-day applicants.,,Brooklyn,16KBZUFDPK
13KCQT,"165 Spencer Street, Brooklyn NY 11205",,May utilize flexible scheduling policy. Contact for more information.,,,Contact program,,,x,Brooklyn,13KCQTFDPK
02MAUA,"197 East Broadway, Manhattan NY 10002",,,,8:15am,Indoor/Outdoor (Offsite) Playspace,,,,Manhattan,02MAUAFDPK
19K108,"200 Linwood Street, Brooklyn NY 11208",,,,,Indoor/Outdoor (Onsite) Playspace,x,,,Brooklyn,19K108FDPK
10Z091,"3605 Sedgwick Avenue, Bronx NY 10463",,,,,Indoor/Outdoor (Offsite) Playspace,,,,Bronx,10Z091FDPK
18KAKU,"4410 Avenue D, Brooklyn NY 11203",,,,Contact program for time,Indoor/Outdoor (Onsite) Playspace,,,,Brooklyn,18KAKUFDPK
10XASA,"2195 Valentine Avenue, Bronx NY 10457",,,,,Outdoor (Onsite) Playspace,,,,Bronx,10XASAFDPK
10XACM,"2465 Bathgate Avenue, Bronx NY 10458",,,,Contact program for time,Indoor/Outdoor (Onsite) Playspace,,,,Bronx,10XACMFDPK
02MASL,"441 West 26th Street, Manhattan NY 10001",,,,,Outdoor (Onsite) Playspace,,,,Manhattan,02MASLFDPK
06M152,"93 Nagle Avenue, Manhattan NY 10040",,,x,,Indoor/Outdoor (Onsite) Playspace,,,,Manhattan,06M152FDPK
01MAUE,"108 Avenue D, Manhattan NY 10009",,,,,Outdoor (Onsite) Playspace,,,,Manhattan,01MAUEFDPK
21KAUK,"1520 East 13th Street, Brooklyn NY 11230",,,,,Indoor/Outdoor (Onsite) Playspace,,,,Brooklyn,21KAUKFDPK
20K048,"6015 18th Avenue, Brooklyn NY 11204",,,,,Contact program,,,,Brooklyn,20K048FDPK
19K290,"135 Schenck Avenue, Brooklyn NY 11207",,,,,Outdoor (Onsite) Playspace,x,,,Brooklyn,19K290FDPK
05MBFX,"300 W 145th Street, Manhattan NY 10039",,,,7am,Indoor/Outdoor (Offsite) Playspace,,,,Manhattan,05MBFXFDPK
06M115,"586 West 177th Street, Manhattan NY 10033",,,x,,Indoor/Outdoor (Onsite) Playspace,,,,Manhattan,06M115FDPK
15K131,"4305 Fort Hamilton Parkway, Brooklyn NY 11219",,,,,Contact program,,,,Brooklyn,15K131FDPK
07X154,"333 East 135th Street, Bronx NY 10454",,,,,Indoor/Outdoor (Onsite) Playspace,,,,Bronx,07X154FDPK
11XAPQ,"2222 Wallace Avenue, Bronx NY 10467",,,,,Outdoor (Onsite) Playspace,,,,Bronx,11XAPQFDPK
20KBQB,"762 59th Street, Brooklyn NY 11220",,,,8am,Contact program,,,,Brooklyn,20KBQBFDPK
19KBJQ,"921 Hegeman Avenue, Brooklyn NY 11208",,,,Contact program for time,Indoor/Outdoor (Onsite) Playspace,,,,Brooklyn,19KBJQFDPK
02MAUL,"199 Chambers Street, Manhattan NY 10013",,,,,Contact program,,,,Manhattan,Contact program to apply.
17KBXS,"775 Rogers Avenue, Brooklyn NY 11226",,,,Contact program,Outdoor (Onsite) Playspace,,,,Brooklyn,17KBXSFDPK
21K212,"87 Bay 49th Street, Brooklyn NY 11214",,,x,,Indoor/Outdoor (Onsite) Playspace,,,,Brooklyn,21K212FDPK
26QALM,"3803 Francis Lewis Boulevard, Queens NY 11358",,,,8am,Outdoor (Onsite) Playspace,,,,Queens,26QALMFDPK
17KADG,"739 East New York Avenue, Brooklyn NY 11203",,,,Contact program for time,Contact program,,,,Brooklyn,Contact program to apply.
07XANX,"800 Concourse Village East, Bronx NY 10451",,,,,Contact program,,,,Bronx,07XANXFDPK
17KBJE,"570 Crown Street, Brooklyn NY 11213",,,,,Outdoor (Onsite) Playspace,,,,Brooklyn,17KBJEFDPK
03M452,"210 West 61st Street, Manhattan NY 10023",,,x,,Indoor/Outdoor (Onsite) Playspace,,,,Manhattan,03M452FDPK
09XAAX,"1345 Grand Concourse, Bronx NY 10452",,,,,Indoor/Outdoor (Onsite) Playspace,,,,Bronx,09XAAXFDPK
09XANU,"285 East 171st Street, Bronx NY 10457",,,,8am,Outdoor (Onsite) Playspace,,,,Bronx,09XANUFDPK
04MASK,"130 East 101st Street, Manhattan NY 10029",,,,,Indoor/Outdoor (Onsite) Playspace,,,,Manhattan,04MASKFDPK
15KBMN,"298 Sixth Avenue, Brooklyn NY 11215",,,,8am,Indoor/Outdoor (Offsite) Playspace,,,x,Brooklyn,15KBMNFDPK
10XATH,"2863 Webster Avenue, Bronx NY 10458",,,,,Contact program,,,,Bronx,10XATHFDPK
20Z067,"1355 84th Street, Brooklyn NY 11228",,,,,Indoor/Outdoor (Onsite) Playspace,,,,Brooklyn,20Z067FDPK
17KAWQ,"1313 Union Street, Brooklyn NY 11225",,,,7:30am,Outdoor (Onsite) Playspace,,,,Brooklyn,17KAWQFDPK
09XALW,"507 East 165th Street, Bronx NY 10456",,,,,Indoor,,,,Bronx,09XALWFDPK
