contract_id_,interim_spending_deadline,date_funds_announced_by_nyc,conttract_start_date,funding_category,new_or_existing_contract,all_other_funding
B058812,,2009-07-01T00:00:00.000,2008-08-01T00:00:00.000,Education,Existing Contract,1572000000.0
,2010-06-30T00:00:00.000,2009-05-28T00:00:00.000,,Economic and Workforce Development,New Contract,12000000.0
TBD,,,2009-07-01T00:00:00.000,Infrastructure,New Contract,0.0
,,2009-06-12T00:00:00.000,,Health and Social Support,Existing Contract,0.0
NCLB013,,2009-07-01T00:00:00.000,2009-09-01T00:00:00.000,Education,Existing Contract,1572000000.0
,2010-06-30T00:00:00.000,2009-05-28T00:00:00.000,,Economic and Workforce Development,New Contract,12000000.0
,,2009-07-01T00:00:00.000,,Education,New Contract,0.0
9700176,,2009-05-01T00:00:00.000,2006-08-16T00:00:00.000,Neighborhood Stabilization,New Contract,89000000.0
B058812,,2009-07-01T00:00:00.000,2008-08-01T00:00:00.000,Education,Existing Contract,1572000000.0
,,2009-09-30T00:00:00.000,,Public Safety,New Contract,0.0
,2011-03-17T00:00:00.000,2009-04-26T00:00:00.000,,Infrastructure,New Contract,0.0
20090014745,,,2009-08-17T00:00:00.000,Infrastructure,New Contract,30700000.0
NCLB013,,2009-07-01T00:00:00.000,2009-09-01T00:00:00.000,Education,Existing Contract,1572000000.0
B058812,,2009-07-01T00:00:00.000,2008-08-01T00:00:00.000,Education,Existing Contract,1572000000.0
7105781,,2009-07-01T00:00:00.000,2008-09-01T00:00:00.000,Education,Existing Contract,553159236.0
7000320,,2009-07-01T00:00:00.000,1996-09-25T00:00:00.000,Education,Existing Contract,553159236.0
7000378,,2009-07-01T00:00:00.000,1998-04-22T00:00:00.000,Education,Existing Contract,553159236.0
9871196,,2009-07-01T00:00:00.000,2003-07-01T00:00:00.000,Education,Existing Contract,1572000000.0
NCLB009,,2009-07-01T00:00:00.000,2009-09-01T00:00:00.000,Education,Existing Contract,1572000000.0
7105781,,2009-07-01T00:00:00.000,2008-09-01T00:00:00.000,Education,Existing Contract,1572000000.0
,,,,Infrastructure,New Contract,3680000.0
540,,2009-09-03T00:00:00.000,2009-07-01T00:00:00.000,Health and Social Support,Existing Contract,112333296.0
20080010954,2010-09-30T00:00:00.000,2009-10-30T00:00:00.000,2007-09-01T00:00:00.000,Health and Social Support,New Contract,44880000.0
1C50009,,2009-07-01T00:00:00.000,2007-07-01T00:00:00.000,Education,Existing Contract,1572000000.0
7105781,,2009-07-01T00:00:00.000,2008-09-01T00:00:00.000,Education,Existing Contract,553159236.0
9010865,2011-03-17T00:00:00.000,2009-04-26T00:00:00.000,,Infrastructure,New Contract,0.0
7105781,,2009-07-01T00:00:00.000,2008-09-01T00:00:00.000,Education,Existing Contract,553159236.0
20080010863,2010-09-30T00:00:00.000,2009-10-30T00:00:00.000,2007-09-01T00:00:00.000,Health and Social Support,New Contract,44880000.0
,,2009-08-03T00:00:00.000,,Infrastructure,New Contract,73500000.0
B058812,,2009-07-01T00:00:00.000,2008-08-01T00:00:00.000,Education,Existing Contract,553159236.0
9010793,2011-03-17T00:00:00.000,2009-04-26T00:00:00.000,2009-08-10T00:00:00.000,Infrastructure,New Contract,0.0
,2010-06-30T00:00:00.000,2009-02-17T00:00:00.000,,Economic and Workforce Development,New Contract,0.0
NCLB006,,2009-07-01T00:00:00.000,2009-09-01T00:00:00.000,Education,Existing Contract,1572000000.0
26W-13G,,2009-09-08T00:00:00.000,2010-01-02T00:00:00.000,Infrastructure,New Contract,0.0
NCLB009,,2009-07-01T00:00:00.000,2009-09-01T00:00:00.000,Education,Existing Contract,1572000000.0
,2010-06-30T00:00:00.000,2009-05-28T00:00:00.000,,Economic and Workforce Development,New Contract,12000000.0
9001462,2011-03-17T00:00:00.000,2009-04-26T00:00:00.000,2009-04-28T00:00:00.000,Infrastructure,New Contract,0.0
,2011-03-17T00:00:00.000,2009-04-26T00:00:00.000,,Infrastructure,New Contract,509020.0
841 HBM 1159,,2009-03-02T00:00:00.000,2010-06-14T00:00:00.000,Infrastructure,New Contract,12800000.0
,2011-07-21T00:00:00.000,2009-07-21T00:00:00.000,,Neighborhood Stabilization,New Contract,51000.0
,,2009-10-30T00:00:00.000,,Health and Social Support,New Contract,0.0
QC5100B,,2009-07-01T00:00:00.000,2007-07-01T00:00:00.000,Education,Existing Contract,1572000000.0
9010793,2011-03-17T00:00:00.000,2009-04-26T00:00:00.000,2009-08-10T00:00:00.000,Infrastructure,New Contract,0.0
7000288,,2009-07-01T00:00:00.000,1995-10-31T00:00:00.000,Education,Existing Contract,553159236.0
7000642,,2009-07-01T00:00:00.000,2005-07-01T00:00:00.000,Education,Existing Contract,1572000000.0
,,2009-07-01T00:00:00.000,,Education,New Contract,0.0
189$,,2009-09-03T00:00:00.000,2009-07-01T00:00:00.000,Health and Social Support,Existing Contract,112333296.0
20090033538,2010-06-30T00:00:00.000,2009-02-17T00:00:00.000,2009-04-01T00:00:00.000,Economic and Workforce Development,New Contract,48979000.0
,2011-03-17T00:00:00.000,2009-04-26T00:00:00.000,,Infrastructure,New Contract,0.0
9010865,2011-03-17T00:00:00.000,2009-04-26T00:00:00.000,,Infrastructure,New Contract,0.0
,2010-06-30T00:00:00.000,2009-05-28T00:00:00.000,,Economic and Workforce Development,New Contract,12000000.0
806088708263,,2009-05-01T00:00:00.000,2009-08-21T00:00:00.000,Neighborhood Stabilization,New Contract,1144421.0
,,2009-09-29T00:00:00.000,,Energy Efficiency,New Contract,0.0
9700176,,2009-05-01T00:00:00.000,2006-08-16T00:00:00.000,Neighborhood Stabilization,New Contract,89000000.0
636,,2009-09-03T00:00:00.000,2009-07-01T00:00:00.000,Health and Social Support,Existing Contract,112333296.0
QR328A0,,2009-07-01T00:00:00.000,2008-09-01T00:00:00.000,Education,Existing Contract,1572000000.0
CT 846 20090039756,,2009-05-01T00:00:00.000,2009-07-23T00:00:00.000,Neighborhood Stabilization,New Contract,0.0
806088708263,,2009-05-01T00:00:00.000,2009-08-21T00:00:00.000,Neighborhood Stabilization,New Contract,1144421.0
,2011-03-17T00:00:00.000,2009-04-26T00:00:00.000,,Infrastructure,New Contract,0.0
7000605,,2009-07-01T00:00:00.000,2003-07-01T00:00:00.000,Education,Existing Contract,553159236.0
,2011-03-17T00:00:00.000,2009-04-26T00:00:00.000,,Infrastructure,New Contract,0.0
7105781,,2009-07-01T00:00:00.000,2008-09-01T00:00:00.000,Education,Existing Contract,553159236.0
,2010-06-30T00:00:00.000,2009-02-17T00:00:00.000,,Economic and Workforce Development,Existing Contract,48979000.0
90278A,2010-06-30T00:00:00.000,2009-02-17T00:00:00.000,2009-09-01T00:00:00.000,Economic and Workforce Development,New Contract,7100000.0
30230001,,,2009-06-01T00:00:00.000,Infrastructure,New Contract,0.0
806088708263,,2009-05-01T00:00:00.000,2009-08-21T00:00:00.000,Neighborhood Stabilization,New Contract,1144421.0
00210CJC001,,2009-06-30T00:00:00.000,2009-09-01T00:00:00.000,Public Safety,New Contract,0.0
,2011-02-16T00:00:00.000,2009-08-17T00:00:00.000,,Neighborhood Stabilization,New Contract,49218523.0
,,2009-05-01T00:00:00.000,,Neighborhood Stabilization,New Contract,4006428.0
9010793,2011-03-17T00:00:00.000,2009-04-26T00:00:00.000,2009-08-10T00:00:00.000,Infrastructure,New Contract,0.0
,2010-06-30T00:00:00.000,2009-05-28T00:00:00.000,,Economic and Workforce Development,New Contract,12000000.0
20080010331,2010-09-30T00:00:00.000,2009-10-30T00:00:00.000,2007-09-01T00:00:00.000,Health and Social Support,New Contract,44880000.0
,,,,Infrastructure,New Contract,11483769.0
NCLB017,,2009-07-01T00:00:00.000,2009-09-01T00:00:00.000,Education,Existing Contract,1572000000.0
,2011-03-17T00:00:00.000,2009-04-26T00:00:00.000,,Infrastructure,New Contract,0.0
,2010-06-30T00:00:00.000,2009-05-28T00:00:00.000,,Economic and Workforce Development,New Contract,400000.0
,,,,Infrastructure,New Contract,1450000.0
806088708263,,2009-05-01T00:00:00.000,2009-08-21T00:00:00.000,Neighborhood Stabilization,New Contract,1144421.0
20090014745,,,2009-08-17T00:00:00.000,Infrastructure,New Contract,30700000.0
9003961,2011-03-17T00:00:00.000,2009-04-26T00:00:00.000,2009-06-29T00:00:00.000,Infrastructure,New Contract,0.0
200,2010-06-30T00:00:00.000,2009-02-17T00:00:00.000,2009-04-01T00:00:00.000,Economic and Workforce Development,New Contract,48979000.0
182,,2009-09-03T00:00:00.000,2009-07-01T00:00:00.000,Health and Social Support,Existing Contract,112333296.0
7105781,,2009-07-01T00:00:00.000,2008-09-01T00:00:00.000,Education,Existing Contract,1572000000.0
,,2009-08-03T00:00:00.000,,Infrastructure,New Contract,73500000.0
,2011-03-17T00:00:00.000,2009-04-26T00:00:00.000,,Infrastructure,New Contract,0.0
NCLB010,,2009-07-01T00:00:00.000,2009-09-01T00:00:00.000,Education,Existing Contract,1572000000.0
,,2009-07-01T00:00:00.000,,Education,New Contract,0.0
,,2009-07-01T00:00:00.000,,Education,New Contract,553159236.0
7105781,,2009-07-01T00:00:00.000,2008-09-01T00:00:00.000,Education,Existing Contract,553159236.0
,,2009-07-01T00:00:00.000,,Education,New Contract,1572000000.0
NCLB009,,2009-07-01T00:00:00.000,2009-09-01T00:00:00.000,Education,Existing Contract,1572000000.0
,,2009-10-30T00:00:00.000,,Health and Social Support,New Contract,0.0
,2011-03-17T00:00:00.000,2009-04-26T00:00:00.000,,Infrastructure,New Contract,0.0
,,2009-10-30T00:00:00.000,,Health and Social Support,New Contract,0.0
260080766454,2010-09-30T00:00:00.000,2009-10-30T00:00:00.000,2008-01-01T00:00:00.000,Health and Social Support,New Contract,3800000.0
,2011-03-17T00:00:00.000,2009-04-26T00:00:00.000,,Infrastructure,New Contract,0.0
,,2009-03-02T00:00:00.000,,Infrastructure,New Contract,5750000.0
,,2009-10-30T00:00:00.000,,Public Safety,New Contract,0.0
9010140,2011-03-17T00:00:00.000,2009-04-26T00:00:00.000,2009-07-08T00:00:00.000,Infrastructure,New Contract,0.0
WI-79A-H,,2009-09-08T00:00:00.000,2009-12-31T00:00:00.000,Infrastructure,New Contract,0.0
9700575,,2009-05-01T00:00:00.000,2006-09-26T00:00:00.000,Neighborhood Stabilization,New Contract,89000000.0
NCLB035,,2009-07-01T00:00:00.000,2009-09-01T00:00:00.000,Education,Existing Contract,1572000000.0
7015066-0009,2011-03-17T00:00:00.000,2009-04-26T00:00:00.000,2010-03-16T00:00:00.000,Infrastructure,New Contract,18477914.0
,2011-03-17T00:00:00.000,2009-04-26T00:00:00.000,,Infrastructure,New Contract,12850000.0
20090736,2011-02-16T00:00:00.000,2009-08-17T00:00:00.000,2010-02-16T00:00:00.000,Neighborhood Stabilization,New Contract,14897663.0
,,,,Health and Social Support,New Contract,3284026.0
,,,,Infrastructure,New Contract,30030000.0
9010793,2011-03-17T00:00:00.000,2009-04-26T00:00:00.000,2009-08-10T00:00:00.000,Infrastructure,New Contract,0.0
7000320,,2009-07-01T00:00:00.000,1996-09-25T00:00:00.000,Education,Existing Contract,553159236.0
1C50607,,2009-07-01T00:00:00.000,2007-11-01T00:00:00.000,Education,Existing Contract,1572000000.0
,2011-03-17T00:00:00.000,2009-04-26T00:00:00.000,,Infrastructure,New Contract,18477914.0
2010100063904,,2009-05-01T00:00:00.000,2008-07-01T00:00:00.000,Neighborhood Stabilization,New Contract,4584552.0
QR328BN,,2009-07-01T00:00:00.000,2008-09-01T00:00:00.000,Education,Existing Contract,1572000000.0
9010793,2011-03-17T00:00:00.000,2009-04-26T00:00:00.000,2009-08-10T00:00:00.000,Infrastructure,New Contract,0.0
,2010-06-30T00:00:00.000,2009-05-28T00:00:00.000,,Economic and Workforce Development,New Contract,0.0
1C5001 2,,2009-07-01T00:00:00.000,2007-07-01T00:00:00.000,Education,Existing Contract,553159236.0
,2010-06-30T00:00:00.000,2009-05-28T00:00:00.000,,Economic and Workforce Development,New Contract,12000000.0
2010100063904,,2009-05-01T00:00:00.000,2008-07-01T00:00:00.000,Neighborhood Stabilization,New Contract,4584552.0
7105781,,2009-07-01T00:00:00.000,2008-09-01T00:00:00.000,Education,Existing Contract,553159236.0
,2010-06-30T00:00:00.000,2009-05-28T00:00:00.000,,Economic and Workforce Development,New Contract,0.0
9602304,,2009-10-30T00:00:00.000,2006-05-10T00:00:00.000,Education,Existing Contract,0.0
850 HWK476B,,,2010-07-06T00:00:00.000,Infrastructure,New Contract,1972057.0
,,2009-05-01T00:00:00.000,,Neighborhood Stabilization,New Contract,1144421.0
,2010-06-30T00:00:00.000,2009-05-28T00:00:00.000,,Economic and Workforce Development,New Contract,400000.0
,,2009-06-30T00:00:00.000,,Public Safety,New Contract,0.0
7000378,,2009-07-01T00:00:00.000,1998-04-22T00:00:00.000,Education,Existing Contract,553159236.0
9016851,2011-03-17T00:00:00.000,2009-04-26T00:00:00.000,2009-12-14T00:00:00.000,Infrastructure,New Contract,0.0
,,2009-07-01T00:00:00.000,,Education,New Contract,0.0
TBD,2010-06-30T00:00:00.000,2009-05-28T00:00:00.000,,Economic and Workforce Development, ,0.0
,2011-03-17T00:00:00.000,2009-04-26T00:00:00.000,,Infrastructure,New Contract,0.0
7000605,,2009-07-01T00:00:00.000,2003-07-01T00:00:00.000,Education,Existing Contract,553159236.0
OB-125E,,2009-09-08T00:00:00.000,2010-03-08T00:00:00.000,Infrastructure,New Contract,0.0
20090033578,2010-06-30T00:00:00.000,2009-02-17T00:00:00.000,2009-04-01T00:00:00.000,Economic and Workforce Development,New Contract,48979000.0
1C50012,,2009-07-01T00:00:00.000,2007-07-01T00:00:00.000,Education,Existing Contract,1572000000.0
,2010-06-30T00:00:00.000,2009-05-28T00:00:00.000,,Economic and Workforce Development,New Contract,0.0
26008076648 3,2010-09-30T00:00:00.000,2009-10-30T00:00:00.000,2008-01-01T00:00:00.000,Health and Social Support,New Contract,3800000.0
387,,2009-09-03T00:00:00.000,2009-07-01T00:00:00.000,Health and Social Support,Existing Contract,112333296.0
,,,,Health and Social Support,New Contract,3284026.0
20080024068,2010-09-30T00:00:00.000,2009-10-30T00:00:00.000,2008-09-01T00:00:00.000,Health and Social Support,New Contract,101680000.0
7105781,,2009-07-01T00:00:00.000,2008-09-01T00:00:00.000,Education,Existing Contract,1572000000.0
7000703,,2009-07-01T00:00:00.000,2007-11-01T00:00:00.000,Education,Existing Contract,1572000000.0
8003577,2011-03-17T00:00:00.000,2009-04-26T00:00:00.000,2009-07-02T00:00:00.000,Infrastructure,New Contract,0.0
20090028652,2010-06-30T00:00:00.000,2009-02-17T00:00:00.000,2009-04-01T00:00:00.000,Economic and Workforce Development,New Contract,48979000.0
NCLB014,,2009-07-01T00:00:00.000,2009-09-01T00:00:00.000,Education,Existing Contract,1572000000.0
20090029235,2010-09-30T00:00:00.000,2009-10-30T00:00:00.000,2009-04-01T00:00:00.000,Health and Social Support,New Contract,57820000.0
,2010-06-30T00:00:00.000,2009-05-28T00:00:00.000,,Economic and Workforce Development,New Contract,12000000.0
20090029345,2010-06-30T00:00:00.000,2009-02-17T00:00:00.000,2009-04-01T00:00:00.000,Economic and Workforce Development,New Contract,48979000.0
QR1640N,,2009-07-01T00:00:00.000,2007-09-03T00:00:00.000,Education,Existing Contract,1572000000.0
,2011-03-17T00:00:00.000,2009-04-26T00:00:00.000,,Infrastructure,New Contract,0.0
,2010-06-30T00:00:00.000,2009-05-28T00:00:00.000,,Economic and Workforce Development,New Contract,0.0
,,2009-05-01T00:00:00.000,,Neighborhood Stabilization,New Contract,4584552.0
806088708263,,2009-05-01T00:00:00.000,2009-08-21T00:00:00.000,Neighborhood Stabilization,New Contract,1144421.0
Interagency agreement,2010-06-30T00:00:00.000,2009-05-28T00:00:00.000,2010-09-01T00:00:00.000,Economic and Workforce Development,Existing Contract,0.0
20100001742,2010-06-30T00:00:00.000,2009-02-17T00:00:00.000,2009-07-01T00:00:00.000,Economic and Workforce Development,New Contract,11610000.0
,2011-03-17T00:00:00.000,2009-04-26T00:00:00.000,,Infrastructure,New Contract,2313455.41
9004135,2011-03-17T00:00:00.000,2009-04-26T00:00:00.000,2009-07-24T00:00:00.000,Infrastructure,New Contract,0.0
1C42802,,2009-07-01T00:00:00.000,2008-09-01T00:00:00.000,Education,Existing Contract,1572000000.0
20090029447,2010-06-30T00:00:00.000,2009-02-17T00:00:00.000,2009-04-01T00:00:00.000,Economic and Workforce Development,New Contract,48979000.0
,,2009-07-01T00:00:00.000,,Education,New Contract,0.0
QC4390I,,2009-07-01T00:00:00.000,2006-09-01T00:00:00.000,Education,Existing Contract,553159236.0
7000610,,2009-07-01T00:00:00.000,2003-08-07T00:00:00.000,Education,Existing Contract,553159236.0
7105781,,2009-07-01T00:00:00.000,2008-09-01T00:00:00.000,Education,Existing Contract,553159236.0
90267A,2010-06-30T00:00:00.000,2009-02-17T00:00:00.000,2009-09-01T00:00:00.000,Economic and Workforce Development,New Contract,7100000.0
7105781,,2009-07-01T00:00:00.000,2008-09-01T00:00:00.000,Education,Existing Contract,1572000000.0
260080766476,2010-09-30T00:00:00.000,2009-10-30T00:00:00.000,2008-01-01T00:00:00.000,Health and Social Support,New Contract,3800000.0
NCLB017,,2009-07-01T00:00:00.000,2009-09-01T00:00:00.000,Education,Existing Contract,1572000000.0
,2011-03-17T00:00:00.000,2009-04-26T00:00:00.000,,Infrastructure,New Contract,2597818.0
,,2009-07-01T00:00:00.000,,Education,New Contract,553159236.0
7015024-0011,2011-03-17T00:00:00.000,2009-04-26T00:00:00.000,2010-03-16T00:00:00.000,Infrastructure,New Contract,926872.94
7105781,,2009-07-01T00:00:00.000,2008-09-01T00:00:00.000,Education,Existing Contract,553159236.0
514,,2009-09-03T00:00:00.000,2009-07-01T00:00:00.000,Health and Social Support,Existing Contract,112333296.0
7000320,,2009-07-01T00:00:00.000,1996-09-25T00:00:00.000,Education,Existing Contract,553159236.0
,2010-06-30T00:00:00.000,2009-05-28T00:00:00.000,,Economic and Workforce Development,New Contract,12000000.0
9011086,2011-03-17T00:00:00.000,2009-04-26T00:00:00.000,2010-03-16T00:00:00.000,Infrastructure,New Contract,2597818.0
841 BRC270C/P,,2009-03-02T00:00:00.000,2010-01-19T00:00:00.000,Infrastructure,New Contract,478610000.0
,2011-02-16T00:00:00.000,2009-08-17T00:00:00.000,,Neighborhood Stabilization,New Contract,19147718.0
,2011-03-17T00:00:00.000,2009-04-26T00:00:00.000,,Infrastructure,New Contract,0.0
,2011-03-17T00:00:00.000,2009-04-26T00:00:00.000,,Infrastructure,New Contract,0.0
9701216,,2009-07-01T00:00:00.000,2006-03-01T00:00:00.000,Education,Existing Contract,1572000000.0
9871210,,2009-07-01T00:00:00.000,2007-09-01T00:00:00.000,Education,Existing Contract,1572000000.0
9011745,2011-03-17T00:00:00.000,2009-04-26T00:00:00.000,2009-07-24T00:00:00.000,Infrastructure,New Contract,0.0
20090029435,2010-09-30T00:00:00.000,2009-10-30T00:00:00.000,2009-04-01T00:00:00.000,Health and Social Support,New Contract,57820000.0
7000610,,2009-07-01T00:00:00.000,2003-08-07T00:00:00.000,Education,Existing Contract,553159236.0
,,2009-07-01T00:00:00.000,,Education,New Contract,1572000000.0
841 HBCR00,,2009-03-02T00:00:00.000,2010-05-10T00:00:00.000,Infrastructure,New Contract,5750000.0
7000605,,2009-07-01T00:00:00.000,2003-07-01T00:00:00.000,Education,Existing Contract,553159236.0
,2010-06-30T00:00:00.000,2009-05-28T00:00:00.000,,Economic and Workforce Development,New Contract,0.0
9001462,2011-03-17T00:00:00.000,2009-04-26T00:00:00.000,2009-04-28T00:00:00.000,Infrastructure,New Contract,0.0
,,2009-07-01T00:00:00.000,,Education,New Contract,0.0
,,2009-07-01T00:00:00.000,,Education,New Contract,553159236.0
20090029435,2010-09-30T00:00:00.000,2009-10-30T00:00:00.000,2009-04-01T00:00:00.000,Health and Social Support,New Contract,57820000.0
850 HWQP1183,,,2010-03-01T00:00:00.000,Infrastructure,New Contract,1609753.0
7000588,,2009-07-01T00:00:00.000,2003-12-17T00:00:00.000,Education,Existing Contract,1572000000.0
20090029896,2010-06-30T00:00:00.000,2009-02-17T00:00:00.000,2009-04-01T00:00:00.000,Economic and Workforce Development,New Contract,48979000.0
,2010-06-30T00:00:00.000,2009-05-28T00:00:00.000,,Economic and Workforce Development,New Contract,400000.0
