project_name,project_description_type,expected_construction_end_date_op,latest_permit_extension_amendment_issuance_date,permit_amendment_content,modified,scoping_response_due_date_op,conditional_letter_issued,created,actual_construction_end_date_op,forestry_permit_id_number,borough,impacted_park_name_s,address_intersection,original_permit_expiration_date,exploratory_permit_id,construction_manager_company_op,contract_value_op,scoping_initiated_kick_off_op,construction_kickoff_op
"Rehabilitation of Brooklyn Bridge Arches, Towers, Ramps, and Miscellaneous Rehabilitation","Package of rehabilitation work on both sides of the bridge. Informally, this is Phase 7 of ongoing major rehab work since roughly 2010",2023-03-20T00:00:00.000,,,2020-04-15T10:18:00.000,,,2019-12-31T15:18:00.000,,I20-002,Manhattan;#Brooklyn,Brooklyn Bridge Park;Anchorage Plaza;,,2021-10-31T00:00:00.000,,"Greenman Pedersen, Inc",238300000.0,,2020-01-03T00:00:00.000
2018 Biennial Bridge Inspection at the Robert F. Kennedy Bridge: Main Line,Bridge inspection,,,,2019-11-05T15:59:00.000,,,2018-06-13T12:50:00.000,,,Manhattan;#Queens,Triborough Bridge Playground B;Wards Island Park;Triborough Bridge Playground D;,"Intersection of 21st Street and Triborough Bridge Playground B, Queens, Intersection of Rivers Edge Road and Wards Island Park, Manhattan",2018-12-31T00:00:00.000,,,,,
Hugh L. Carey Tunnel Service Building Electrical Rehabilitation,Staging for electrical work at the Hugh L. Carey tunnel,,2019-11-08T00:00:00.000,,2020-03-17T10:37:00.000,,,2018-12-27T11:24:00.000,,,Brooklyn,Harold Ickes Playground;,,2019-10-31T00:00:00.000,,,,,
Con Ed Feeder Replacement for USTA Broadcast Building along Meridian Road,Work to facilitate a feeder relocation project in the ROW of Meridian Road adjacent to Arthur Ashe Stadium,,2018-09-18T00:00:00.000,,2020-03-20T07:49:00.000,,,2018-04-25T09:33:00.000,,,Queens,Flushing Meadows Corona Park;,,2018-06-29T00:00:00.000,,,,,
RFK BRIDGE TOWER PEDESTAL STONE CLEANING,"Stone cleaning of the Astoria tower of the RFK bridge, including additional decorative fencing and plantings",,2016-11-08T00:00:00.000,Extension held up due to graffiti at construction site.,2019-11-05T15:03:00.000,,,2016-11-08T13:11:00.000,,,Queens,Astoria Park;,,2015-10-31T00:00:00.000,,,,,
Shutter replacement and front door/window painting,Shutter replacement and front door/window painting,,2019-10-02T00:00:00.000,"E1 - Extension through 9/30
E2- Extension through 11/29",2020-08-11T11:41:00.000,,,2019-05-17T11:27:00.000,,,Manhattan,Merchant's House Museum;,"Lafayette & E 4th St, Manhattan",2019-07-31T00:00:00.000,,,,,
"Complex Pedestrian Ramps Upgrades, Boroughs of Manhattan and the Bronx","Sidewalk corner quadrant modification for installation of new pedestrian ramps along with pavement restoration along the curb, relocation of street light poles, traffic signals, drainage structures and other incidental work.",,,,2020-10-05T16:00:00.000,,,2020-10-05T16:00:00.000,,,Manhattan;#Bronx,,Multi-site,,,,,,
Overhead Sign Structure Replacements,Maintenance of Overhead sign structures citywide,2023-08-07T00:00:00.000,,,2021-03-17T13:09:00.000,,,2019-10-07T17:15:00.000,,,Bronx;#Brooklyn;#Manhattan;#Queens;#Staten Island,Bronx Park;Grand Central Parkway Extension;GREENSTREET;,Bronx River Parkway & Burke Ave,2023-04-11T00:00:00.000,,New York State Department of Transportation,11717436.19,,2021-05-04T00:00:00.000
New Storm Sewer North Conduit Avenue-Baisley Boulevard,"Storm, sanitary, and water mains work in North Conduit Avenue between Baisley Boulevard and Guy Brewer Boulevard, South Queens",,,,2020-12-18T16:00:00.000,,,2020-12-18T16:00:00.000,,,Queens,,North Conduit Avenue between Rockaway Boulevard and Guy Brewer Boulevard,,,,,,
"Simple Pedestrian Ramp Upgrades, Borough of Queens","Rehabilitation of standard pedestrian ramps.  Scope includes repair and upgrade to the maximum extent feasible and, therefore, must comply with applicable PROWAG guidelines and Federal ADA 2010 requirements. Ped ramp repairs will be adjacent to resurfaced roadways, from the complaint program, and/or priority based. DDC working with DDC will direct the order of construction.  Final list of locations will be provided by SIM prior to issuance of NTP. (2020 CPI)",,,,2020-10-06T09:14:00.000,,,2020-10-06T09:14:00.000,,,Queens,,Multi-site,,,,,,
Overcoat Painting and Steel Repair 157th Street Portal to 162nd Street Jerome Line (IRT),Painting and steel repair to the overhead structure of the Jerome Line,,,,2019-11-05T15:03:00.000,,,2018-02-16T16:36:00.000,,,Bronx,River Avenue Parks;,,2018-05-31T00:00:00.000,,,,,
Sewer When and Where Contract in Southeast Queens,"Sanitary Sewers, Storm Sewers, Combined Sewers, Water Main and Appurtenances in multiple locations in SE Queens",,,,2020-12-29T16:36:00.000,,,2016-12-19T10:09:00.000,,,Queens,,,,,,,,
Reconstruction of Pedestrian Bridge at East 81st Street over FDR Drive.,Reconstruction of Pedestrian Bridge at East 81st Street over FDR Drive.,,2017-09-22T00:00:00.000,Contractor removed western portion of the staging area at the eastern end of East 81st Street. Contractor expended their staging area on the East River Walk/Esplanade approximately 25 feet to the north.,2019-11-05T15:21:00.000,,,2017-11-16T15:43:00.000,,,Manhattan,East River Walk;,East 81st Street over FDR Drive,2016-12-30T00:00:00.000,,,,,
Calvert Vaux Park Wetland Mitigation and Restoration Area for West 12th Street Outfall,Wetland mitigation on Parkland as required for DDC outfall work.,,,,2020-08-12T08:14:00.000,,,2020-08-12T08:14:00.000,,,Brooklyn,Calvert Vaux Park;,Calvert Vaux Park Greenway at Shore Parkway,,B125.E.20200812,,,,
Emergency Repair at W96th St. Transverse,Emergency Repair of a Burst Water Main on the W96th St. Transverse,,,,2019-11-05T15:09:00.000,,,2019-03-11T12:10:00.000,,,Manhattan,Central Park;,,2018-03-09T00:00:00.000,,,,,
Gas Crossing Sign Replacement in Harlem River Park,"Access through park to replace an existing but damaged advisory sign hanging in the park. One day of work, no other park impact.",,,,2019-11-05T15:13:00.000,,,2017-04-12T14:30:00.000,,,Manhattan,Harlem River Park;,Harlem River Drive & 135th Street,2017-05-26T00:00:00.000,,,,,
Altice Upgrades at Bensonhurst Park,Installation of relevant equipment to enable WiFi service and emergency cable video service in the designated hotspots at various parks and recreation centers,,,,2020-03-13T10:04:00.000,,,2020-03-13T10:04:00.000,,,Brooklyn,Bensonhurst Park;,,,,,,,
"Street Stair Repairs S2/M1 a 34th Street Station, Broadway Line (BMT), Borough of Manhattan",Staircase replacement and staging in Greeley Square,,,,2019-11-05T15:19:00.000,,,2017-03-07T11:36:00.000,,,Manhattan,Greeley Square Park;,W 32nd and Broadway,,,,,,
Albert Road Area Ozone Park Streets,"Street reconstruction in the area bounded by Linden Boulevard on the north, North Conduit Avenue on the south, Cross Bay Boulevard to the west and the rail road right-of-way along Aqueduct Race Track to the east.",,,,2020-08-31T15:52:00.000,,,2020-05-19T10:46:00.000,,,Queens,,Cross Bay Boulevard and 149th Avenue,,,,,,
ADA Requirements Contract,reconstruction of an ADA ramp at a corner by a highway offramp next to South Shore Country Club,,,,2019-11-05T15:14:00.000,,,2018-07-26T17:40:00.000,,,Staten Island,South Shore Country Club;,Veterans Rd East & Arthur Kill Rd,,,,,,
Wolfe's Pond Beach Solar and Wind Turbine Pilot,Wolfe's Pond Beach Solar and Wind Turbine Pilot,,,,2020-09-11T10:59:00.000,,,2020-09-11T09:56:00.000,,,Staten Island,Wolfe's Pond Park;,,,,,,,
Install a temporary construction fence,Install a temporary construction fence,,,,2019-11-05T15:21:00.000,,,2017-11-09T13:41:00.000,,,Brooklyn,Fish Playground;,,2017-05-07T00:00:00.000,,,,,
USTA Conduit Install at Meridian & Shea Rd,USTA Conduit Install at Meridian & Shea Rd,,,,2020-08-11T11:12:00.000,,,2020-07-29T16:17:00.000,,,Queens,Flushing Meadows Corona Park;,"Meridian rd  & Shea Rd, Queens",2020-09-30T00:00:00.000,,,,,
Bronx Plaza Rehabilitation,Complete replacement of the bridge deck and some of the supporting super structure elements of the Bronx Plaza; amended to include scope related to ORT,,2017-02-16T00:00:00.000,"permit amended to include test pits in the bronx. Verbal approval to proceed received from Mike Grattan 12/16/2016

Installation of Gantry Footings Permitted at Playground One Thirty Four and One Year Extension Granted",2019-11-05T14:46:00.000,,,2016-12-16T12:14:00.000,,,Bronx;#Manhattan,Randall's Island Park;Playground One Thirty Four CXXXIV;,,2017-01-31T00:00:00.000,,,,,
Manhole Access for Dewatering in Canarise Park,"Con Edison needs to gain access to MH63307 which is located inside Canarsie Park to dewater and then enter the structure to cut and cap (i.e. de-energize and abandon) three electric cables inside. No cables will be pulled from this manhole and no intrusive work is proposed. The proposed plan is to have a tanker truck on the adjacent property (pending access agreement) and run a hose over the fence and into the manhole (this is the shortest distance). The manhole is located in a vegetated portion of the Park. To provide safe access to the manhole, a small path would need to be cleared for the crew and their equipment. Con Edison is requesting authorization to clear a path approximately 3-ft wide to the manhole and around the structure. The duration of the work is approximately 2-3 days",,,,2019-11-05T15:17:00.000,,,2017-04-26T16:19:00.000,,,Brooklyn,Canarsie Park;,Seaview Ave & Paerdegat Ave N,2017-06-02T00:00:00.000,,,,,
"Cleaning and Relocation of Koenig Sphere, and Restoration of Former Koenig Sphere Site",See project name.,,,,2019-11-05T15:09:00.000,,,2018-01-25T17:22:00.000,,WSU104MF17,Manhattan,The Battery;,,,,,,,
381 East 160th Street - Melrose Garden,Facade repair - Scaffolding,,,,2019-11-05T15:14:00.000,,,2016-09-15T10:46:00.000,,,Bronx,Little Green Garden;,381 East 160th Street,,,,,,
Citywide Ferry Service,Implementation of a Citywide Ferry Service,,2019-09-17T00:00:00.000,"A1 - B423 added to scope
A2- Q226 Added to scope
A3 - M081; M108T01 added to scope
A4 - M081; M108T01 upland work added to scope
A5 - M0144 and additional scope at M081 added to permit. 
A6 - Soundview Marina (X301) and Clason Point Park (X088) added to scope
A7 - Electrical service at Soundview Ferry (X301 and X088)
A8 - Temporary Path at E 90th St Ferry Landing through Carl Schurz Park (M081) and extension through 5/15/19
A9 - Extension at Soundview for planting
A10 - Extension at Soundview for planting and to finish punchlist thru 11/30
A11 - Amendment for rip rap replacement at Soundview thru 5/10/19
A12 - Amendment to remove the E 90th St temporary path thru 12/31/19",2019-12-23T14:56:00.000,,,2016-12-05T17:50:00.000,,,Bronx;#Brooklyn;#Manhattan;#Queens,Park at Beach 108 Street;American Veterans Memorial Pier;Hallets Cove Playground;Carl Schurz Park;East River Esplanade;John V. Lindsay East River Park;Park;Pugsley Creek Park;,,2018-07-15T00:00:00.000,,,500000.0,,
Bridge Repairs  on the Bronx River Parkway Over Morris Park Ave & 180th Street in Bronx County (at Ranaqua Yard),Rehabilitation of a Bronx River Parkway bridge over Bronx Park and Ranaqua Yard.,2019-05-08T00:00:00.000,,,2019-11-05T15:26:00.000,,,2016-10-19T15:43:00.000,2019-05-08T00:00:00.000,,Bronx,Bronx Park;,Morris Park Avenue & E 180 Street,2019-03-29T00:00:00.000,,NYSDOT,8866647.0,,2017-10-03T00:00:00.000
PS 112Q Playground Redevelopment,"Access, staging, and temporary closure of a primary park entrance ramp to facilitate the reconstruction of the PS 112Q school yard",,2018-03-27T00:00:00.000,,2019-11-05T15:29:00.000,,,2019-03-11T14:00:00.000,,QP18-010,Queens,Dutch Kills Playground;,,2018-03-31T00:00:00.000,,,,,
Right-of-Way Green Infrastructure Westchester Creek CSO Tributary Area - Outfall HP-012,"Green Infrastructure right of way bioswales. Originally included scoping for retrofits within Havemeyer Playground but this was dropped. EDC for DEP. ROWB 020A, ROWGS 022B",,,,2020-02-24T16:47:00.000,,,2018-02-14T15:28:00.000,,30949,Bronx,Havemeyer Playground;Bruckner Playground;,Brinsmade Avenue,2021-02-26T00:00:00.000,XG.E.20180214,,7000000.0,,
Rosedale Area Streets Reconstruction Phase 1,"Streets, sewers, water mains. SE Queens area.",,,,2020-09-03T15:11:00.000,,,2019-04-10T16:46:00.000,,,Queens,,255 St & Hook Creek Blvd,,,,,,
"Planting of New Trees In Soundview Park, Bronx","Work Order 11, mitigation plantings for Hunts Point Interstate Access Improvements Phase 1",,,,2020-09-08T19:48:00.000,,,2020-09-08T19:12:00.000,,,Bronx,Soundview Park;,,,,,,,
Bridge Joint Repair and Replacement,Expansion joint repair and replacement on state highway bridges citywide.,2022-02-18T00:00:00.000,,,2021-03-16T15:09:00.000,,,2018-08-03T14:06:00.000,,,Bronx;#Brooklyn;#Manhattan;#Queens;#Staten Island,Real Good Park;Cunningham Park;Hutchinson River Parkway;Bridge Park;Grand Central Parkway Extension;Highbridge Park;Alley Pond Park;Fort Washington Park;Flushing Meadows Corona Park;Crescent Park;Siren Slope;,,,,NYSDOT,17817148.0,,2019-06-25T00:00:00.000
On-Site Green Infrastructure Bronx River CSO Triburary Area Outfall HP-007 Matthews Muliner Playground,Onsite Green Infrastructure,,2020-12-15T00:00:00.000,,2021-01-12T15:07:00.000,,,2018-02-27T17:05:00.000,,BX-236,Bronx,Matthews Muliner Playground;,Matthews Avenue and Morris Park Avenue,2020-08-28T00:00:00.000,X178.E.20171117,Hunter Roberts Construction Group,,,
Rehabilitation of Trans-Manhattan Expressway Connector,Repairs on connector ramp leading from Harlem River Drive to Trans-Manhattan Expressway/George Washington Bridge.,2017-07-31T00:00:00.000,2017-05-26T00:00:00.000,,2019-11-05T15:27:00.000,,,2017-06-09T16:57:00.000,,,Manhattan,Highbridge Park;,Harlem River Drive at High Bridge,2017-04-01T00:00:00.000,M-60-15NF; M-61-15NF,,,,2015-07-28T00:00:00.000
Harlem River Drive SB Sidewalk Oil-Static Transmission Line,"Repair of underground high voltage line running along the dilapidated sidewalk on the west side of the HRD, just inside Highbridge Park. Repair is due to frequent ongoing leaks from pipe, causing soil contamination and frequent emergency reapair.",2017-03-31T00:00:00.000,2018-08-20T00:00:00.000,"2017 May: seperate permit for north area staging issued

2017 Feb: Amend to extend work area north 1000' of the Highbridge. Includes special path building and turf paver restoration requirements.

Amend to extend work area south 725' to ConEd manhole located slightly north of John T. Brush Stairs Park.",2019-11-05T15:24:00.000,,,2016-04-10T17:44:00.000,,WSP01MF16,Manhattan,Highbridge Park;,155 St & Harlem River Drive,2017-04-01T00:00:00.000,,,25220000.0,,
Main Street (Flushing-Jamaica-Bronx) Select Bus Service,"Select Bus Service (Q44) Implementation between Jamaica and Bronx Park (bus bulbs, bus pads, medians, and other safety improvements).",,,,2021-01-13T14:41:00.000,,,2016-07-05T14:59:00.000,,,Bronx;#Queens,Kissena Corridor Park;GREENSTREET;Rosedale Bus Stop;,"Parsons Blvd between Archer Ave and Jamaica Ave
Main Street and Reeves Avenue
Main Street and Horace Harding Expy
Main Street between 56th Ave and Booth Memorial Ave
Main Street and Elder Ave
Union St and 35th Ave
Union St and 26th Ave
Parsons Blvd and Willets Point Blvd
Parsons Blvd and 20th Ave
Hutchinson River Parkway Service Road South and Lafayette Ave
Bruckner Blvd and Brush Avenue
Cross Bronx Service Road North at Haviland Ave
Cross Bronx Service Road South at Powell Ave/Olmstead Ave
""Cross Bronx Service Road South at Pugsley Ave/Ellis Ave and
Cross Bronx Service Road North at Newbold Ave
Cross Bronx Service Road North at Taylor Ave
Cross Bronx Service Road South at Rosedale Ave",,,,,,
Accelerated Distribution Water Main & Sewer Replacement/Rehab,When and Where Sewer/Water Main contract,2019-06-26T00:00:00.000,,,2020-08-31T14:50:00.000,,,2018-06-14T10:56:00.000,,,Manhattan,,,,,DDC,,,2017-12-28T00:00:00.000
Red Flag Repairs on Van Wyck Expressway Viaduct,"Engineering red and yellow flag spot repairs on the viaduct of the Van Wyck expressway under a ""Where and When"" contract. These are categorized as emergencies but most of these work orders are 2+ years old, because the system is that woefully broken. Work is pushed into the contract on a rolling basis; this is a WO contract.
Only park impact is rolling closure of a few parking spaces at a time for a day or so at a time.",2016-07-19T00:00:00.000,2017-09-28T00:00:00.000,"Ext 3Ext 2D263048 Work Orders No. 144, 147 & 149 are deemed included.1.C. “Special Conditions” are as follows:i.	One location at a time: At any given time, contractor may occupy not more than one of the three permitted work locations in the park.ii.	No weekend work: Work is prohibited at all sites during weekends and holidays (existing laydown is permitted).iii.	Provide Schedule: Three business days in advance of work, provide schedule of work to jonathan.landsman@parks.nyc.gov. You need not wait for an approval of schedule to proceed with work.Ext 11.C. “Special Conditions” are amended as follows:ii.	Order of Sites: Pier 66 must be completed first. Following 66, work is to then proceed southward through the piers, with only one location occupied or worked on at a time.iii.	Blackout Dates: No sites may be occupied in any manner or worked on between September 30 and October 2nd, inclusive.iv.	Delivery Embargoes: This section is deleted.",2019-11-05T15:13:00.000,,,2016-06-03T09:39:00.000,2018-08-13T00:00:00.000,,Queens,Flushing Meadows Corona Park;,131 St & Avery Ave,2016-08-01T00:00:00.000,,NYSDOT,446000.0,,
Right-of-Way Green Infrastructure - Jamaica Bay CSO Tributary Areas - Outfall 26W-004 & 26W-005,Right-of-Way Bioswales,,,,2019-11-05T15:23:00.000,,,2019-09-16T15:13:00.000,,,Brooklyn,Grace Playground;Sutter Ballfields;Change Garden;Glenmore Hendrix Block Association;East End Community Garden;Jordan Magic Garden;P.S. 149 Artsy Bloom Community Garden;,Belmont Avenue and Schenck Avenue,,,,,,
Replacement of Bruckner Expressway (S.R.) Over Westchester Creek (Unionport Bridge),"Replacement of Unionport Bridge, in phases/segments. A small ""parkland for parkway purposes"" propoerty will be occupied by a tempoarary ramp.",,,,2020-12-15T13:05:00.000,,,2017-10-24T15:53:00.000,,X17-53,Bronx,Hutchinson River Parkway;Pelham Bay Park;,Bruckner Boulevard and Brush Avenue,2019-10-23T00:00:00.000,X039.E.20201019,,,,
"Water Main Replacement in Various Locations from 111th Street to 129th Street Between Jamaica Avenue and Atlantic Avenue, Borough of Queens",Water Main Replacement,,,,2020-08-31T14:52:00.000,,,2019-07-07T12:07:00.000,,,Queens,,111th Street to 129th Street Between Jamaica Avenue and Atlantic Avenue,,,,,,
Lighting Upgrade at Alice Austen House,Lighting Upgrade at Alice Austen House,,,,2019-11-05T15:27:00.000,,,2019-03-20T10:36:00.000,,,Staten Island,Alice Austen Park;,"Hylan Blvd and Edgewater St, Staten Island",2019-05-15T00:00:00.000,,,,,
Rockaway Garage Reconstruction (via DDC),Access to perform exploratory borings (for future DDC reconstruction of Parks' Rockaway Garage),,,,2020-10-01T12:16:00.000,,,2020-10-01T12:15:00.000,,,Queens,Rockaway Garage;,,2020-10-12T00:00:00.000,,,,,
Deck Replacement & Minor Rehabilitation of Structural Steel & Substructures on the Major Deegan Expwy bet E. 138th St & E. 161st St/Macombs Dam Br Interchange,Major Rehabilitation of a long stretch of Major Deegan viaduct in vicinity of and over Mill Pond Park,2019-05-15T00:00:00.000,2016-02-17T00:00:00.000,,2019-11-05T15:29:00.000,,,2017-10-30T16:42:00.000,,,Bronx,Mill Pond Park;,E 150 St & Exterior St,2016-03-01T00:00:00.000,,NYSDOT,134090863.0,,2014-04-30T00:00:00.000
"Installation of a construction fence, intallation of piping for new spray equipment","Installation of a construction fence, intallation of piping for new spray equipment",,,,2019-11-05T15:21:00.000,,,2017-11-09T13:41:00.000,,,Manhattan,Riverside Park;,,2017-06-01T00:00:00.000,,,,,
Battelle Critical Care Decontamination System,Temporary facility to decontaminate medical masks for reuse,,2020-05-04T00:00:00.000,,2020-05-04T14:53:00.000,,,2020-04-09T14:40:00.000,,,Brooklyn,Bushwick Inlet Park;,,2020-05-07T00:00:00.000,,,,,
351 East 139th Street Demolition,Demolition of an MTA NYCT facility,,,,2020-03-17T12:39:00.000,,,2017-08-21T16:27:00.000,,,Bronx,Willis Playground;,,2018-02-28T00:00:00.000,,,,,
Reconstruction of Lakeview Blvd with Baisley Pond New Sanitary Sewers,"New Sanitary Sewers in conjunction with Lakeview Blvd East reconstruction under project #HWQ121B4/SEQ200436. New outfall on the east side of the pond; reconstructed outfall on west side, wetland replanting and grading on both sides.",2018-06-06T00:00:00.000,2017-07-11T00:00:00.000,"1. West Side Area added
2. dewatering pipe on Lakeview",2020-08-21T08:00:00.000,,2019-08-28T00:00:00.000,2016-05-04T18:42:00.000,,QP16-248,Queens,Baisley Pond Park;,119 Dr & Lakeview Blvd,2017-07-31T00:00:00.000,,D&B Engineers,11729618.01,,2016-02-08T00:00:00.000
National Grid at Surf Avenue,Initially unpermitted work under a park sidewalk by National Grid's contractor Hellman. Reported thru field observation by Forester Jessice Einhorn 2/8,,,,2019-11-05T15:16:00.000,,,2017-03-01T11:05:00.000,,Z17-100,Brooklyn,Asser Levy Park;Coney Island Beach & Boardwalk;,Surf Avenue & W 5th Street,2017-06-16T00:00:00.000,,,,,
Reconstruction of Zion Plaza,"Reconstruction of Zion Plaza, an expansion of Zion Triangle",,,,2020-03-17T10:34:00.000,,2020-03-03T00:00:00.000,2018-05-22T11:26:00.000,,,Brooklyn,Zion Triangle;,"East New York Ave and Pitkin Ave, Brooklyn",2020-02-07T00:00:00.000,,,,,
Installation of a Site Hospital to Treat COVID-19 Patients,Installation of a Site Hospital to Treat COVID-19 Patients,,,,2020-05-01T15:52:00.000,,,2020-05-01T15:52:00.000,,,Manhattan,Central Park;,,2020-05-29T00:00:00.000,,,,,
Bronx Plaza Widening Demolition,Bronx Plaza Widening Demolition,,,,2021-01-05T15:48:00.000,,,2020-10-02T16:02:00.000,,,Manhattan,Randall's Island Park;,,2022-01-11T00:00:00.000,,,,,
Le Petit Versailles – Green Thumb - Installation of New Electrical Line,Installation of New Electrical Line,,,,2019-11-05T15:18:00.000,,,2018-04-18T09:13:00.000,,,Manhattan,Allied Productions/Le Petit Versailles;,,2018-06-15T00:00:00.000,,,,,
Con Ed Pole Replacement in Support of EDC CWFS Clason Point Park,Access and Work to Facilitate Utility Pole and Feeder Replacement within a Portion of Clason Point Park,,2018-06-13T00:00:00.000,,2019-11-05T15:28:00.000,,,2018-06-13T12:29:00.000,,,Bronx,Pugsley Creek Park;,,2018-06-30T00:00:00.000,,,,,
Crack Is Wack 128 St Conduit,Extend feeder line through garden outside of Crack is Wack Playground. Contracted by NYCDOT project on RFK and HRD,,,,2019-11-05T15:16:00.000,,2016-11-28T00:00:00.000,2016-11-28T10:39:00.000,,WW06MF16,Manhattan,Crack Is Wack Playground;,128 St & 2nd Avenue,,,,,,
Pedestrian Ramp Replacement,Pedestrian Ramp Replacement,,,,2020-10-06T10:58:00.000,,,2020-10-06T10:57:00.000,,,Queens,,Beach Channel Drive and Amstel Boulevard,,,,,,
