respondent_address_house,decision_location_borough,hearing_result,charge_3_code,charge_7_code,charge_4_code_description,violation_details,violation_location_borough,charge_2_code_description,charge_8_infraction_amount,violation_location_zip_code,charge_7_code_section,violation_location_house,charge_7_infraction_amount
61,,,,,,,MANHATTAN,,,10014.0,,,
5981,,,,,,,QUEENS,,,11378.0,,,
5840,,,,,,,STATEN IS,,,10309.0,,,
,,,,,,Case Edited,NOT NYC,,,11214.0,,,
2801,,,,,,,BRONX,,,10468.0,,,
8768,,,,,,,QUEENS,,,11435.0,,,
2030,,,,,,,MANHATTAN,,,10029.0,,,
130,,,,,,"AT TIME OF INSPECTION, OBSERVED THAT REQUIRED SITE SAFETY PERSONNEL WERE NOT PRESENT AT AN ACTIVE MAJOR BUILDING SITE. CONTRARY TO BC 3310.5, FAILURE TO PROVIDE A DESIGNATED SITE SAFETY MANAGER OR COORDINATOR C",BRONX,,,10458.0,,354,
,,,,,,Batch Insert,NOT NYC,,,11418.0,,,
333,,,,,,OBSERVE SUSPENDED SCAFFOLD IN PLACE IN CONNECTION WITH CHOOKS AT EXPOSURE: 4 WITH NO NOTIFICATION ON FILE. UPON FURTHER REVIEW OF THIS INTRANET AND DOB NOW. IT WAS REVEALED THAT NO NOTIFICATION WAS ON FILE TO,MANHATTAN,,,10029.0,,105,
,,,19-5,,,Batch Insert,NOT NYC,,,11004.0,,,
1434,,,,,,,BROOKLYN,,,11237.0,,,
1945,,,,,,,BRONX,,,10469.0,,,
,,,,,,Batch Insert,NOT NYC,,,11208.0,,,
,,,,,,Batch Insert,NOT NYC,,,11377.0,,,
1919,,,,,,,BROOKLYN,,,11214.0,,,
,,,,,,OBSERVED NO OVERHEAD PROTECTION OR SAFETY ZONE ON ADJACENT PROPERTY RESULTING IN DEBRIS DAMAGING PROPERTY IN THE REAR LOT OF POLICE DEPARTMENT. MATERIAL CAN BE SEEN ON TOP OF SHIPPING CONTAINER AND ON TOP OF SH,QUEENS,,,11101.0,,38-18,
,,,,,,Batch Insert,NOT NYC,,,11003.0,,,
1181,,,,,,,BROOKLYN,,,11208.0,,,
230,,,,,,,MANHATTAN,,,10003.0,,,
,,,80-1,,,New Mail Request Received,NOT NYC,,,7306.0,,,
9817,,,,,,,QUEENS,,,11368.0,,,
72-38,,,,,,,QUEENS,,,11375.0,,,
,,,,,,Batch Insert,NOT NYC,,,12534.0,,,
147-16,,,,,,"CLASS 1 CEASE USE ITEMS: 1. DOOR LOCK MONITORING FEATURE INOPERATIVE.2. IN-CAR EMERGENCY STOP SWITCH INOPERATIVE. THESE ARE THE SAFETY FEATURES THAT ENSURE PASSENGER SAFETY. REMEDY: TO RESTORE SERVICE, EMAIL T",QUEENS,,,11435.0,,147-16,
2297,,,,,,"I OBSERVED FOUR 100 AMP SERVICE DISCONNECT SWITCHES INSTALLED OUTSIDEON THE NEIGHBORS WALL WITHOUT AN ELECTRICAL PERMIT ON FILE. APP X01298596 DOES NOT COVER WORK DONE., OBTAIN PERMIT; OBTAIN ELECTRICAL PERMIT",BRONX,,,10458.0,,2297,
1412,,,,,,,BROOKLYN,,,11226.0,,,
200,,,,,,"AT TIME OF INSPECTION, THE CONSTRUCTION FENCE AT EXP 2 WAS NOT PROPERLY MAINTAINED. SEVERAL FENCE PANELS WERE OBSERVED DISLODGED AND UNSECURED, CREATING POTENTIAL HAZARD AND ACCESS TO THE PUBLIC. COMPLY WITH CO",BROOKLYN,,,11215.0,,367,
11618,,,,,,,QUEENS,,,11419.0,,,
1005,,,,,,20260320N,QUEENS,,,,,,
,,,,,,Case Edited,NOT NYC,,,11554.0,,,
117-25,,,,,,,QUEENS,,,11412.0,,,
8525,,,,,,,QUEENS,,,11373.0,,,
,,,,,,20040602N,BROOKLYN,,,11204.0,,,
3270,,,,,,"VIOLATION OF PARKING REGULATIONS; AT TIME OF INSPECTION AT EXPOSURE 2SIDE DRIVEWAY YARD DEAD STORAGE OF 3 CARS A RED MAZDA, BLACK DODGE,RED KIA PARKED ON SIDEWALK DRIVEWAY AND RED MAZDA, WHITE MAZDA ,",BRONX,,,10465.0,,3270,
1101,,,,,,,BROOKLYN,,,11225.0,,,
5112,,,,,,,BROOKLYN,,,11220.0,,,
253,,,,,,,BRONX,,,10451.0,,,
,,,,,,"I OBSERVED UNSAFE UNSUITABLE ELECTRICAL CONDITION IN APARTMENT 4E WIRES AND LIGHTS FIXTURE DAMAGE DUE TO FIRE., COMPLY WITH EC; FIX ALL CONDITIONS AS PER NEC AND NYC AMENDMENTS",MANHATTAN,,,10033.0,,518,
926,,,,,,,BROOKLYN,,,11206.0,,,
669,,,,,,,BROOKLYN,,,11211.0,,,
247,,,,,,HAZARDOUS 1-FEDERAL STEAM BOILER LEAKING WATER LEFT SIDE SHELL;CEASEUSE; CORRECT ALL HAZARDOUS CONDITIONS IMMEDIATELY+CALL DOB 212 6020580TO LIFT THE CEASE USE ORDER+SUBMIT C OF C,BROOKLYN,,,11208.0,,675,
,,,,,,Batch Insert,NOT NYC,,,11230.0,,,
353,,,,,,"OBSERVATION: @ EXPOSURE 1 NETTING LOOSE BETWEEEN FENCE SIDEWALK SHED WITH OPENINGS, HAZARDOUS CONDITION OF LOOSE OPEN NETTING WILL NOT PROTECTION PREDESTRIAN FROM FALLING DEBRI. VIO FOR LOOSE OPEN NETTING OV",MANHATTAN,,,10002.0,,11,
,,,,,,"BC 3314.1, 3314.8 AT THE TIME OF INSPECTION OF A 14-STORY NEW BUILDING, PIPE SCAFFOLDING WAS OBSERVED AT EXP 1,2, 3, AND 4 WITH LOOSE PLANKS, MISSING PINS, DEBRIS NETTING WITH LARGE OPENINGS, CREATING A HAZAR",QUEENS,,,11436.0,,143-16,
134-35,,,,,,"OBSERVED A SUPPORTED SCAFFOLD ERECTED WITHOUT REQUIRED PROTECTIVE NETTING INSTALLED ON ALL OPEN SIDES AND ELEVATIONS. FAILURE TO PROVIDE NETTING TO PREVENT DEBRIS FROM FALLING TO THE STREET, ADJOINING PROPERTIE",MANHATTAN,,,10018.0,,440,
,MANHATTAN,DISMISSED,,,,20060609Y,BROOKLYN,,,0.0,,,
,,,,,,Batch Insert,NOT NYC,,,11375.0,,,
937,,,,,,,BRONX,,,10459.0,,,
64-40,,,,,,20260323N,QUEENS,,,11354.0,,38-18,
185,,,,,,"NOTE: AT TIME OF INSPECTION ON AN ACTIVE SITE, I OBSERVED ACTIVE CONCRETE OPERATION WITH THE PUMP TRUCK BLOCKING THE SIDEWALK. NO RAMPS WEREPROVIDED TO MAINTAIN ACCESSIBLE PEDESTRIAN PASSAGE AS PER CODE 3307.2",BROOKLYN,,,11237.0,,343,
400,,,,,,"I OBSERVED AT TIME OF INSPECTION IN CELLAR 3 NEW HOT WATER HEATERS INSTALLED 1 11 14 2017, 2 09 01.2020, 3 11 04 2024. NO PERMITS ONFILE IN DOB RECORDS FOR WORK THAT IS 100 COMPLETED., OBTAIN ALL PERM",BROOKLYN,,,11208.0,,400,
1,,,,,,20260402N,BROOKLYN,,,,,470,
600,,,,,,,MANHATTAN,,,10011.0,,,
,,,,,,"BC 3303.3. ATOI OF A 7 STORY NEW BUILDING AT ROOF, BUILDING EXCEEDS 5,000 SQUARE FEET. SITE CLOSED AND THERE WERE NO CONSTRUCTION ACTIVITY.UPON SHOUTING AT PERIMETER AND BANGING ON FENCE AND DOOR TO ALERT WATC",BROOKLYN,,,11230.0,,1214,
595,,,,,,"UNLAWFUL ACTS. FAILURE TO COMPLY WITH COMMISSIONER'S ORDER TO OBTAIN PERMITS FOR SUMMONS 35690767Y., COMPLY WITH COMMISSIONER'S ORDER",BROOKLYN,,,11216.0,,595,
30-07A,,,,,,,QUEENS,,,11106.0,,,
1735,,,,,,,BRONX,,,10472.0,,,
656,,,,,,,BRONX,,,10473.0,,,
,,,,,,"BC 3314.1, 3314.8 AT THE TIME OF INSPECTION OF A 15-STORY NEW BUILDING, PIPE SCAFFOLDING WAS OBSERVED AT EXP 1, 3, AND 4 WITH LOOSE PLANKS,MISSING PINS, DEBRIS NETTING WITH LARGE OPENINGS, CREATING A HAZARD",QUEENS,,,11435.0,,144-02,
119-15$,,,,,,3 STORY MIX-USE BUILDING WITH COMMERCIAL SPACE ON THE GROUND FLOOR BEING USED AS A LAUNDROMAT. OBSERVED LARGE AMOUNT OF COMBUSTIBLE MATERIALEXIT PASSAGEWAY. CREATING HAZARDOUS CONDITIONS FOR 1ST RESPONDERS AND,BROOKLYN,,,11218.0,,1109,
1,,,,,,20260402N,BROOKLYN,,,,,470,
,,,,,,Batch Insert,NOT NYC,,,11040.0,,,
8906,,,,,,,QUEENS,,,11374.0,,,
3,,,,,,20260320N,MANHATTAN,,,10032.0,,1033,
,,,,,,"AFFORDABLE HOUSING NEW 9 STORY BUILDING .OBSERVED SUPPORTED PIPE SCAFFOLD DEBRIS NETTING NOT SECURED OBSERVED ON EXPOSURE 1 , AND 2 CREATINGHAZARDS FOR WORKERS AND PUBLIC IN CASE OF FALLING OBJECTS . CONTRARY",QUEENS,,,11377.0,,42-78,
6,,,,,,,MANHATTAN,,,10704.0,,,
,,,,,,Batch Insert,NOT NYC,,,10467.0,,,
285,,,,,,,MANHATTAN,,,10026.0,,,
4350,,,,,,,STATEN IS,,,10312.0,,,
18803,,,,,,,QUEENS,,,11412.0,,,
,,,,,,Batch Insert,NOT NYC,,,11230.0,,,
10 6-46,,,,,,"FAILURE OF PERMIT HOLDER TO PROVIDE INSPECTION ACCESS TO AND OR EXPOSEONGOING CONSTRUCTION OR WORK ON AN ACTIVE AND PERMITTED WORKSITE. ATTIME OF INSPECTION OBSERVED FENCE DOOR LOCK, KNOCKED AND CALLED OUT NO",BROOKLYN,,,11216.0,,85,
1606,,,,,,"FAILURE TO MAINTAIN BUILDING IN CODE-COMPLIANT MANNER. NOTED: BUILDINGIN STATE OF DISREPAIR WITH SECOND FLOOR BRICKS PARTIALLY COLLAPSED, CRACKED BRICK FACEDE. INTERIOR COLLAPSING CEILING AND FLOOR IN DANGER O",BROOKLYN,,,11206.0,,599,
146,,,,,,20260326N,QUEENS,,,11378.0,,50-35,
,,,,,,Case Edited,NOT NYC,,,10553.0,,,
123,,,,,,,BRONX,,,10453.0,,,
4202,,,,,,,BROOKLYN,,,11203.0,,,
1027,,,,,,20260319N,BROOKLYN,,,,,,
2322,,,,,,,BROOKLYN,,,11214.0,,,
,,,,,,Case Edited,NOT NYC,,,11214.0,,,
178,,,,,,20260323N,QUEENS,,,11354.0,,37-20,
,,,,,,Batch Insert,NOT NYC,,,11368.0,,,
&560,,,,,,,BROOKLYN,,,11221.0,,,
433,,,,,,,MANHATTAN,,,10021.0,,,
182,,,,,,,BRONX,,,10456.0,,,
3624,,,,,,20260323N,BROOKLYN,,,,,,
,,,,,,Batch Insert,NOT NYC,,,7094.0,,,
3409,,,,,,20260320N,MANHATTAN,,,10032.0,,1033,
36,,,,,,,BROOKLYN,,,11204.0,,,
1445,,,,,,,STATEN IS,,,10314.0,,,
,,NONE,,,,,BROOKLYN,,,11207.0,,2681,
152,,,,,,"3 STORY MIXES BUILDING. BUILDING WAS PREVIOUSLY ISSUED ECB 35668455YON 05 02 2025. SAME CONDITIONS STILL EXIST.B DEFECTIVE MASONRY CRACKED MISSING BRICK DETERIORATED MORTAR JOINTS ON EXPOSURES1,3,4, REPAIR A",BROOKLYN,,,11249.0,,151,
1450,,,,,,,BRONX,,,10469.0,,,
615,,,,,,,BRONX,,,10458.0,,,
,,,,,,AT TIME OF INSPECTION OBSERVED ACTIVE JOB SITE. 3RD FLOOR LEVEL SLAB NEEDLE BEAM INSTALLED AT EXPOSE 3 WORK DOES NOT CONFIRM AS PER PLAN. MISSING SHORING POSTS AND LOCATIONS. CREATED UNSAFE CONDITIONS FOR USE N,QUEENS,,,11355.0,,132-15,
348,,,,,,,MANHATTAN,,,10027.0,,,
,,,,,,Batch Insert,NOT NYC,,,11206.0,,,
20-22,,,,,,AT THE TIME OF MY INSPECTION I OBSERVED BIG AMOUNT OF GARBAGE DEBRIS EQUIPMENT MATERIAL AT EXP 3 COURTYARD-INACCESSIBLE DUE TO INADEQUATE HOUSEKEEPING BIG AMOUNTS OF GARBAGE DEBRIS EQUIPMENT MATERIAL -STOP ALL,QUEENS,,,11102.0,,28-08,
,,,,,,"AT TIME OF INSPECTION OBSERVED CONSTRUCTION FENCE ERECTED WITH NO PERMITS FOR THIS WORK FOUND ON DOB RECORDS., OBTAIN TEMPORARY CONSTRUCTIONPERMIT",QUEENS,,,11435.0,,93-43,
58-08,,,,,,,QUEENS,,,11385.0,,,
1624,,,,,,,BRONX,,,10460.0,,,
,,NONE,,,,,BROOKLYN,,,11215.0,,475,
22-10,,,,,,20260323N,QUEENS,,,11105.0,,21-03,
64-40,,,,,,20260323N,QUEENS,,,11354.0,,38-18,
282,,,,,,"INACTIVE JOBSITE, UPON INSPECTION 3314.01. OBSERVED SUPPORTED SCAFFOLDON TOP SIDEWALK SHED DECK NOT ERECTED AND OR MAINTAINED AS PER CODE REQUIREMENTS. SCAFFOLD WITH MULTIPLY LOSE PLANKS NOT TIEDOWN , PLATFOR",BROOKLYN,,,11217.0,,282,
,,,,,,Batch Insert,NOT NYC,,,11420.0,,,
1919,,,,,,,BROOKLYN,,,11214.0,,,
4,,,,,,20260325N,BROOKLYN,,,,,,
4221,,,,,,,QUEENS,,,11355.0,,,
16008,,,,,,,QUEENS,,,11432.0,,,
,,,80-1,,,Case Status Updated,NOT NYC,,,11004.0,,,
53-75,,,,,,BC3314.8.2 AT TIME OF INSPECTION OBSERVED SUPPORTED SCAFFOLD INSTALLEDAT EXP 1 3 4 NOT MAINTAINED AS PER CODE. DEBRIS NETTING LOOSE MISSING NOT SECURELY FASTENED TO THE FACADE. STOP ALL EXTERIOR WORK AND US,BROOKLYN,,,11237.0,,25,
41,,,,,,,MANHATTAN,,,10013.0,,,
,,,,,,"UPON INSPECTION I OBSERVED A FENCE INSTALLED AT EXPOSURES 1,2 4 NOT CONSTRUCTED OR MAINTAINED ACCORDING TO CODE. FENCE HAS FALLEN DOWN PARTIALLY AT EXPOS 2 AND IS FALLING DOWN AT EXPOS 4.",QUEENS,,,11434.0,,161-34,
,,,,,,3309.10 INADEQUATE ROOF PROTECTION OF NEIGHBORING PROPERTY AT EXPOSURE2 SHED LOCATED AT THE REAR OF POLICE PARKING LOT. PROVIDE ADEQUATE ROOF PROTECTION,QUEENS,,,11101.0,,38-18,
595,,,,,,"FAILURE TO COMPLY WITH THE COMMISSIONER'S ORDER TO FILE A CERTIFICATEOF CORRECTION WITH THE DEPARTMENT OF BUILDINGS FOR SUMMONS 35690763R., FILE A CERTIFICATE OF CORRECTION",BROOKLYN,,,11216.0,,595,
235,,,,,,,MANHATTAN,,,10019.0,,,
108-28,,,,,,20260323N,QUEENS,,,11368.0,,37-68,
52,,,,,,,MANHATTAN,,,10009.0,,,
220,,,,,,,BROOKLYN,,,11222.0,,,
9,,,,,,,BRONX,,,11219.0,,,
2919,,,,,,20260326N,BROOKLYN,,,,,1508,
185,,,,,,"NOTE: AT THE TIME OF INSPECTION, I OBSERVED A WORKER WORKING ON A STACKED BAKER SCAFFOLD WITHOUT THE REQUIRED CASTERS IN PLACE CREATING AN INSTABILITY HAZARD, INCREASING THE RISK OF TIPPING AND COLLAPSE. ADDITI",BROOKLYN,,,11237.0,,343,
,,,,,,Batch Insert,NOT NYC,,,11373.0,,,
1583,,,,,,,BROOKLYN,,,11210.0,,,
,,,,,,Batch Insert,NOT NYC,,,11412.0,,,
1738,,,,,,"AT TIME OF INSPECTION, OBSERVED SIDEWALK SHED PARAPET INFORMATION PANEL MISSING REQUIRED INFORMATION. FAILURE TO MAINTAIN COMPLETE AND LEGIBLE PANEL PREVENTS PUBLIC IDENTIFICATION OF RESPONSIBLE PARTIES AND PRO",BRONX,,,10457.0,,2259,
,,,,,,Batch Insert,NOT NYC,,,11372.0,,,
123-11,,,,,,20260320N,QUEENS,,,11356.0,,123-09,
325,,,,,,,MANHATTAN,,,10016.0,,,
,,,,,,Batch Insert,NOT NYC,,,10451.0,,,
185,,,,,,"AT THE TIME OF MY INSPECTION OF A 20-STORY NB, AT THE SUPERSTRUCTURE PHASE. I OBSERVED WORKERS ON SITE PERFORMING SUPPORTED SCAFFOLDING INSTALLATION AND PLUMBING WORK BEYOND THE SCOPE DESCRIBED ON 12 21 2025 VA",BRONX,,,10473.0,,1580,
