house_no,comments,late_filing_amt,prior_status,borough,qewi_city,current_status,owner_zip,filing_status
2835,,24600.0,,BRONX,,UNSAFE,,No Report Filed
10,,1000.0,,MANHATTAN,,UNSAFE,,No Report Filed
2105,LFF and FTF Civil Penalties Stopped on: 3/27/2025LFF and FTF Civil Penalties till EFD of TR6 : TR6-1019343-10B-I1,24000.0,,BRONX,,UNSAFE,,No Report Filed
398,,16000.0,,BRONX,,SAFE,,No Report Filed
3299,,9000.0,,BRONX,,SAFE,,No Report Filed
31-70,,4300.0,,QUEENS,,SAFE,,No Report Filed
40,,1000.0,,MANHATTAN,,SWARMP,,No Report Filed
54,,4000.0,,BROOKLYN,,SWARMP,,No Report Filed
133-53,ADDED TO FISP UNIVERSE 4/10/2015 (CAW)FIRST TEMP 4/11/2007LFF and FTF Civil Penalties Stopped on: 4/3/2023LFF and FTF Civil Penalties till EFD of TR6 : TR6-914313-9B-I1,42000.0,,QUEENS,,SWARMP,,No Report Filed
1176,ADD TO LOCAL LAW 05/10/12 CWStatus changed due to Initial TR6 no: TR6-813485-8B-I2Status changed on: 12/24/2019,45500.0,No Report Filed,BROOKLYN,,SAFE,,No Report Filed
122,,17000.0,,BROOKLYN,,SWARMP,,No Report Filed
162,,24000.0,,BROOKLYN,,SWARMP,,No Report Filed
117,LFF and FTF Civil Penalties Stopped on: 12/20/2021LFF and FTF Civil Penalties till EFD of TR6 : TR6-903784-9B-I1,28000.0,,MANHATTAN,,SWARMP,,No Report Filed
303,,1000.0,,MANHATTAN,,SAFE,,No Report Filed
96-09,LFF and FTF Civil Penalties Stopped on: 5/15/2024LFF and FTF Civil Penalties till EFD of TR6 : TR6-911122-9B-I1,79000.0,,QUEENS,,SAFE,,No Report Filed
160,,18000.0,,BROOKLYN,,SAFE,,No Report Filed
60,,2000.0,,BROOKLYN,,SAFE,,No Report Filed
4200,LFF and FTF Civil Penalties Stopped on: 11/17/2025LFF and FTF Civil Penalties till EFD of TR6 : TR6-1008224-10C-I1,32250.0,,BRONX,,SWARMP,,No Report Filed
31-65,,17000.0,,QUEENS,,SAFE,,No Report Filed
1330,ADDED TO FISP UNIVERSE 6/12/2014. FIRST TEMP 6/4/2009 (CAW),0.0,,MANHATTAN,NY,SWARMP,10021.0,SWARMP
50,,39250.0,,MANHATTAN,,SWARMP,,No Report Filed
29,,12000.0,,BROOKLYN,,UNSAFE,,No Report Filed
560,LFF and FTF Civil Penalties Stopped on: 5/12/2025LFF and FTF Civil Penalties till EFD of TR6 : TR6-1017479-10C-I1,13000.0,,MANHATTAN,,SWARMP,,No Report Filed
2350,,8000.0,,MANHATTAN,,UNSAFE,,No Report Filed
355,,3750.0,,MANHATTAN,,SAFE,,No Report Filed
137-07,HOTEL/NAME THE MARCO LAGUARDIA,17000.0,,QUEENS,,SAFE,,No Report Filed
2320,LFF and FTF Civil Penalties Stopped on: 11/16/2023LFF and FTF Civil Penalties till EFD of TR6 : TR6-908045-9A-I1,87250.0,,BRONX,,SWARMP,,No Report Filed
5,LFF and FTF Civil Penalties Stopped on: 8/13/2025LFF and FTF Civil Penalties till EFD of TR6 : TR6-1018445-10C-I1,17000.0,,MANHATTAN,,SAFE,,No Report Filed
993,,7000.0,,MANHATTAN,,SWARMP,,No Report Filed
1326,LFF and FTF Civil Penalties Stopped on: 8/14/2025LFF and FTF Civil Penalties till EFD of TR6 : TR6-1012026-10A-I2,0.0,,MANHATTAN,,UNSAFE,,No Report Filed
2623,,18000.0,,QUEENS,,SAFE,,No Report Filed
233,,12750.0,,MANHATTAN,,SAFE,,No Report Filed
13 6-16,ADDED TO FISP UNIVERSE 4/10/2015 (CAW)FINAL CO 5/25/2007,112000.0,,QUEENS,,No Report Filed,,No Report Filed
210,,0.0,,MANHATTAN,,SAFE,,No Report Filed
50,LFF anf FTF penalties Stopped on: 11/27/2023All penalties Stopped because of Initial Filing is fee exempt : TR6-900567-9B-I1,0.0,,MANHATTAN,,SWARMP,,No Report Filed
32,LFF and FTF Civil Penalties Stopped on: 12/14/2020LFF and FTF Civil Penalties till EFD of TR6 : TR6-901102-9B-I1,15000.0,,MANHATTAN,,SAFE,,No Report Filed
330,,12750.0,,MANHATTAN,,SAFE,,No Report Filed
217,,0.0,,MANHATTAN,,No Report Filed,,No Report Filed
395,,8000.0,,MANHATTAN,,SAFE,,No Report Filed
35-10,INSPECT 5/19/13 ADD TO UNIVERSE 6/12/18 (NG)AS PER KDCN switched from 713918 to 715013 on 06/24/2021.,19000.0,,QUEENS,,SWARMP,,No Report Filed
235,ADD TO FISP UNIVERSE 3/24/2015 (CAW)FIRST TEMP 2006,16750.0,,MANHATTAN,,SAFE,,No Report Filed
207,LFF and FTF Civil Penalties Stopped on: 6/28/2022LFF and FTF Civil Penalties till EFD of TR6 : TR6-910020-9B-I3,34750.0,,BROOKLYN,,SWARMP,,No Report Filed
306,,500.0,SWARMP,MANHATTAN,FLUSHING,SAFE,10017.0,UNSAFE
133,,17500.0,,MANHATTAN,,SWARMP,,No Report Filed
50,LFF and FTF Civil Penalties Stopped on: 10/3/2022LFF and FTF Civil Penalties till EFD of TR6 : TR6-909055-9C-I1,82000.0,,BROOKLYN,,SWARMP,,No Report Filed
355,FACADE LATE FILING PENALTY PAID 1/13/2014 (7B CYCLE 7)LBR,3750.0,SAFE,MANHATTAN,NEW YORK,SAFE,,SAFE
1326,,0.0,,MANHATTAN,,UNSAFE,,No Report Filed
75,LFF and FTF Civil Penalties Stopped on: 4/4/2025LFF and FTF Civil Penalties till EFD of TR6 : TR6-1009063-10B-I1,32000.0,,BROOKLYN,,UNSAFE,,No Report Filed
225,,9000.0,,MANHATTAN,,SAFE,,No Report Filed
3030,,32750.0,,BROOKLYN,,SAFE,,No Report Filed
1410,,8250.0,SAFE,BRONX,NEW YORK,SWARMP,10462.0,SWARMP
33-04,,10000.0,,QUEENS,,SWARMP,,No Report Filed
1086,,17000.0,,BROOKLYN,,SWARMP,,No Report Filed
400,,4500.0,,MANHATTAN,,SWARMP,,No Report Filed
556,INITIAL REPORT FILED 11/17/16 WAS REJECTED,39950.0,,MANHATTAN,New York,SAFE,10018.0,SAFE
8,,0.0,,BROOKLYN,,SAFE,,No Report Filed
570,LFF and FTF Civil Penalties Stopped on: 6/26/2025LFF and FTF Civil Penalties till EFD of TR6 : TR6-1009294-10C-I1,37000.0,,BROOKLYN,,SWARMP,,No Report Filed
26,,3250.0,,MANHATTAN,,SWARMP,,No Report Filed
610,,39000.0,,MANHATTAN,,SAFE,,No Report Filed
82,,10150.0,,MANHATTAN,,SWARMP,,No Report Filed
203,,5250.0,,MANHATTAN,,SAFE,,No Report Filed
127,ADDED TO FISP UNIVERSE 10/14/2015(CAW)FIRST TEMP 10/13/2009LFF and FTF Civil Penalties Stopped on: 3/14/2024LFF and FTF Civil Penalties till EFD of TR6 : TR6-914795-9A-I1,81000.0,,MANHATTAN,,SWARMP,,No Report Filed
108,,33350.0,,MANHATTAN,,SWARMP,,No Report Filed
120,LFF and FTF Civil Penalties Stopped on: 7/10/2025LFF and FTF Civil Penalties till EFD of TR6 : TR6-1009660-10A-I1,50000.0,,BROOKLYN,,SAFE,,No Report Filed
426,,8750.0,,MANHATTAN,,SWARMP,,No Report Filed
144-38,,0.0,,QUEENS,,No Report Filed,,No Report Filed
146,,14000.0,SAFE,MANHATTAN,NEW YORK,SWARMP,,SWARMP
41,,15500.0,,QUEENS,,SWARMP,,No Report Filed
600,,15250.0,,MANHATTAN,,SAFE,,No Report Filed
2604,,9000.0,,BROOKLYN,,SWARMP,,No Report Filed
1733,LFF and FTF Civil Penalties Stopped on: 2/17/2023LFF and FTF Civil Penalties till EFD of TR6 : TR6-905797-9C-I1,43100.0,,MANHATTAN,,SAFE,,No Report Filed
1240,ADDED TO FISP UNIVERSE 3/26/2015(CAW)BASED ON INSPECTION 6/24/2014,15000.0,,BRONX,,SAFE,,No Report Filed
38,LFF and FTF Civil Penalties Stopped on: 3/15/2022LFF and FTF Civil Penalties till EFD of TR6 : TR6-902163-9A-I1,39500.0,,MANHATTAN,,SAFE,,No Report Filed
216,,3000.0,,MANHATTAN,,SAFE,,No Report Filed
1965,,18800.0,,MANHATTAN,,SAFE,,No Report Filed
157,VERONICA WONG - MANAGING AGENT - PHN# 212-349-5334EMAIL: BETHEMI@AOL.COM,10000.0,,MANHATTAN,,SAFE,,No Report Filed
186,,9250.0,,BROOKLYN,,SWARMP,,No Report Filed
109-19,,0.0,,QUEENS,,No Report Filed,,No Report Filed
108,,6250.0,,MANHATTAN,,SAFE,,No Report Filed
919,,4000.0,,MANHATTAN,,UNSAFE,,No Report Filed
425,,3000.0,,MANHATTAN,,SAFE,,No Report Filed
1105,,4650.0,,BRONX,,SAFE,,No Report Filed
607,,24000.0,,MANHATTAN,,SAFE,,No Report Filed
1551,,2900.0,,BRONX,,SAFE,,No Report Filed
109-01,ADD TO LOCAL LAW 11/98 12/2011 (CW)Status changed due to Initial TR6 no: TR6-813342-8B-I1Status changed on: 1/29/2020,57500.0,No Report Filed,QUEENS,,SWARMP,,No Report Filed
270,,5000.0,,MANHATTAN,,SAFE,,No Report Filed
829,,46000.0,,BROOKLYN,,SAFE,,No Report Filed
209,ADD TO FISP UNIVERSE 3/24/2015 (CAW)FIRST TEMP 2006,2750.0,,MANHATTAN,,SAFE,,No Report Filed
59,,26000.0,UNSAFE,MANHATTAN,VALLEY STREAM,UNSAFE,10018.0,SAFE
494,,7000.0,SAFE,MANHATTAN,NEW YORK,SAFE,10016.0,SAFE
1213,,1750.0,,BROOKLYN,,SWARMP,,No Report Filed
525,ADDED TO FISP UNIVERSE 4/8/2015 (CAW)FINAL CO 12/20/2007,11500.0,,BROOKLYN,,SWARMP,,No Report Filed
2857,,12000.0,,BRONX,,SAFE,,No Report Filed
640,LFF and FTF Civil Penalties Stopped on: 8/14/2025LFF and FTF Civil Penalties till EFD of TR6 : TR6-1007019-10B-I1,37750.0,,MANHATTAN,,UNSAFE,,No Report Filed
1240,ADDED TO FISP UNIVERSE 3/27/2015 (CAW)BASED ON INSPECTION 4/28/2014,1750.0,,BRONX,,SAFE,,No Report Filed
425,LFF anf FTF penalties Stopped on: 2/26/2025All penalties Stopped because of Initial Filing is fee exempt : TR6-902937-9C-I1,0.0,,MANHATTAN,,UNSAFE,,No Report Filed
28-15,,25500.0,,QUEENS,,SAFE,,No Report Filed
205,,8000.0,,BROOKLYN,,SWARMP,,No Report Filed
162,,3000.0,,MANHATTAN,,SAFE,,No Report Filed
231,LFF anf FTF penalties Stopped on: 2/27/2025All penalties Stopped because of Initial Filing is fee exempt : TR6-911914-9A-I1,0.0,,STATEN ISLAND,,UNSAFE,,No Report Filed
22 2,,11250.0,,MANHATTAN,,SWARMP,,No Report Filed
157,ADDED TO FISP UNVERSE 2/21/2015FIRST TEMP 7/15/2005,1000.0,,MANHATTAN,,SAFE,,No Report Filed
322,,0.0,UNSAFE,MANHATTAN,ENGLEWOOD CLIFFS,UNSAFE,10016.0,SAFE
19,,19000.0,,MANHATTAN,,SWARMP,,No Report Filed
780,Status changed due to Initial TR6 no: TR6-807988-8C-I1Status changed on: 1/30/2019,51500.0,No Report Filed,BRONX,,SAFE,,No Report Filed
17,,2750.0,,MANHATTAN,,SAFE,,No Report Filed
4,,3750.0,,MANHATTAN,,SAFE,,No Report Filed
228,,0.0,SAFE,MANHATTAN,NEW YORK,SWARMP,10036.0,SWARMP
93,,2000.0,,MANHATTAN,,SAFE,,No Report Filed
136,,4000.0,,MANHATTAN,,SWARMP,,No Report Filed
144-02,,38500.0,,QUEENS,,SAFE,,No Report Filed
09,INITIALLY DATA ENTERED BY KDA,0.0,,BROOKLYN,NEW YORK,SAFE,,SAFE
484,LFF and FTF Civil Penalties Stopped on: 11/2/2020LFF and FTF Civil Penalties till EFD of TR6 : TR6-909188-9C-I2,0.0,,BROOKLYN,,SAFE,,No Report Filed
850,,0.0,,MANHATTAN,,UNSAFE,,No Report Filed
34,,4750.0,,BROOKLYN,,SWARMP,,No Report Filed
1160,,33750.0,,BRONX,,SWARMP,,No Report Filed
2575,LFF and FTF Civil Penalties Stopped on: 12/21/2020LFF and FTF Civil Penalties till EFD of TR6 : TR6-908043-9C-I1,40000.0,,BRONX,,SWARMP,,No Report Filed
110,,21000.0,,MANHATTAN,,SAFE,,No Report Filed
74-02,,3000.0,,QUEENS,,SAFE,,No Report Filed
1100,,5250.0,,MANHATTAN,,SAFE,,No Report Filed
3980,LFF and FTF Civil Penalties Stopped on: 8/11/2025LFF and FTF Civil Penalties till EFD of TR6 : TR6-1008096-10C-I1,16000.0,,BRONX,,SWARMP,,No Report Filed
55,Status changed due to Initial TR6 no: TR6-904972-9C-I1Status changed on: 9/29/2020,11000.0,,MANHATTAN,,SWARMP,,No Report Filed
152,,11750.0,,MANHATTAN,,SWARMP,,No Report Filed
341,,6000.0,SAFE,BROOKLYN,WEST NYACK,SWARMP,,SWARMP
71,LFF and FTF Civil Penalties Stopped on: 8/17/2023LFF and FTF Civil Penalties till EFD of TR6 : TR6-901126-9C-I2,47750.0,,MANHATTAN,,SWARMP,,No Report Filed
1823,,2000.0,,BROOKLYN,,SWARMP,,No Report Filed
142,,500.0,,MANHATTAN,,SWARMP,,No Report Filed
1851,LFF and FTF Civil Penalties Stopped on: 8/14/2024LFF and FTF Civil Penalties till EFD of TR6 : TR6-912538-9C-I1,120000.0,,MANHATTAN,,SAFE,,No Report Filed
601,,6000.0,,MANHATTAN,,SWARMP,,No Report Filed
2911,,11000.0,,BROOKLYN,,SAFE,,No Report Filed
535,,14500.0,,MANHATTAN,,SWARMP,,No Report Filed
155,,6000.0,,BROOKLYN,,SAFE,,No Report Filed
50,,250.0,,MANHATTAN,,SAFE,,No Report Filed
1435,,0.0,,BRONX,,SAFE,,No Report Filed
451,LFF and FTF Civil Penalties Stopped on: 1/20/2022LFF and FTF Civil Penalties till EFD of TR6 : TR6-903300-9A-I1,31000.0,SAFE,MANHATTAN,NEW YORK,SWARMP,10108.0,No Report Filed
1407,,17250.0,,BROOKLYN,,SWARMP,,No Report Filed
256,,15750.0,,MANHATTAN,,SWARMP,,No Report Filed
425,ADDED TO FISP UNIVERSE 9/2/2015(CAW)FIRST TEMP 9/15/2005LFF and FTF Civil Penalties Stopped on: 3/30/2023LFF and FTF Civil Penalties till EFD of TR6 : TR6-914610-9A-I1,0.0,,MANHATTAN,,SAFE,,No Report Filed
335,,0.0,,MANHATTAN,,SWARMP,,No Report Filed
33-07,,7250.0,SWARMP,QUEENS,FLUSHING,SAFE,11372.0,UNSAFE
1713,LFF and FTF Civil Penalties Stopped on: 8/11/2025LFF and FTF Civil Penalties till EFD of TR6 : TR6-1019604-10A-I1,42000.0,,BRONX,,UNSAFE,,No Report Filed
682,,19250.0,,MANHATTAN,,SAFE,,No Report Filed
30,,6000.0,,MANHATTAN,,SAFE,,No Report Filed
220,,3000.0,,MANHATTAN,,SWARMP,,No Report Filed
41-18,,30500.0,,QUEENS,,SAFE,,No Report Filed
160,,5000.0,,MANHATTAN,,SWARMP,,No Report Filed
436,,5850.0,,MANHATTAN,,SAFE,,No Report Filed
1 20,LFF and FTF Civil Penalties Stopped on: 1/30/2023LFF and FTF Civil Penalties till EFD of TR6 : TR6-905131-9C-I1,45000.0,,MANHATTAN,,SWARMP,,No Report Filed
2900,,5800.0,,BRONX,,SWARMP,,No Report Filed
24,LFF and FTF Civil Penalties Stopped on: 11/17/2025LFF and FTF Civil Penalties till EFD of TR6 : TR6-1004211-10C-I1,25350.0,,MANHATTAN,,UNSAFE,,No Report Filed
16,,11000.0,,MANHATTAN,,No Report Filed,,No Report Filed
155,,7250.0,,MANHATTAN,,SAFE,,No Report Filed
400,LFF and FTF Civil Penalties Stopped on: 4/25/2022LFF and FTF Civil Penalties till EFD of TR6 : TR6-903319-9A-I1,90900.0,,MANHATTAN,,SWARMP,,No Report Filed
332,,10050.0,,BRONX,,SWARMP,,No Report Filed
522,,4650.0,,MANHATTAN,,SAFE,,No Report Filed
360,LFF anf FTF penalties Stopped on: 7/12/2024All penalties Stopped because of Initial Filing is fee exempt : TR6-909684-9B-I1,0.0,,BROOKLYN,,SWARMP,,No Report Filed
105,,9000.0,,MANHATTAN,,SWARMP,,No Report Filed
841,ADDED TO FISP UNIVERSE 8/10/2015 (CAW)FIRST TEMP 5/12/2005,22500.0,,MANHATTAN,,SWARMP,,No Report Filed
1909,LFF anf FTF penalties Stopped on: 7/25/2024All penalties Stopped because of Initial Filing is fee exempt : TR6-906984-9B-I1,0.0,,MANHATTAN,,SAFE,,No Report Filed
43,,17000.0,,MANHATTAN,,SWARMP,,No Report Filed
134,,,No Report Filed,BRONX,,No Report Filed,,No Report Filed
735,,0.0,,BRONX,,UNSAFE,,No Report Filed
2515,LFF and FTF Civil Penalties Stopped on: 7/1/2021LFF and FTF Civil Penalties till EFD of TR6 : TR6-908654-9B-I1,26500.0,,BRONX,,SWARMP,,No Report Filed
1925,,23000.0,,QUEENS,,UNSAFE,,No Report Filed
31-72,ADDED TO FISP UNIVERSE 10/15/2015(CAW)FIRST TEMP 05/05/2010LFF and FTF Civil Penalties Stopped on: 10/8/2021LFF and FTF Civil Penalties till EFD of TR6 : TR6-914822-9A-I1,28000.0,,QUEENS,,SWARMP,,No Report Filed
423,,11000.0,,MANHATTAN,,SWARMP,,No Report Filed
135,,500.0,,MANHATTAN,,SAFE,,No Report Filed
390,,20400.0,SAFE,BROOKLYN,FRANKLIN SQUARE,UNSAFE,11581.0,UNSAFE
37,,5750.0,,MANHATTAN,,SWARMP,,No Report Filed
500,,9000.0,,MANHATTAN,,SWARMP,,No Report Filed
840,,3000.0,,MANHATTAN,,SAFE,,No Report Filed
3764,,27000.0,,BRONX,,SAFE,,No Report Filed
1,LFF and FTF Civil Penalties Stopped on: 5/23/2023LFF and FTF Civil Penalties till EFD of TR6 : TR6-916499-9A-I1,59000.0,,BROOKLYN,,SAFE,,No Report Filed
67,,12000.0,,BROOKLYN,,UNSAFE,,No Report Filed
200,Status changed due to Initial TR6 no: TR6-906874-9C-I1Status changed on: 9/18/2020,10000.0,,MANHATTAN,,SAFE,,No Report Filed
950,ADD TO UNIVERSE 3/18/2015(CAW),14500.0,,BRONX,,SWARMP,,No Report Filed
411,Status changed due to Initial TR6 no: TR6-803475-8C-I1Status changed on: 1/11/2019,50500.0,No Report Filed,MANHATTAN,,SAFE,,No Report Filed
152,,11750.0,,MANHATTAN,,SAFE,,No Report Filed
14218,,9000.0,,QUEENS,,SWARMP,,No Report Filed
22,AS PER TECH STAFF (DOLORES & EUGENE) BUILDING IS NOT SUBJECT(KD 2/9/2015)INITIAL REPORT FILED 7/15/16 WAS REJECTED,58450.0,No Report Filed,BROOKLYN,,SAFE,,No Report Filed
17,,10450.0,,MANHATTAN,,SAFE,,No Report Filed
1648,,10250.0,,MANHATTAN,,SWARMP,,No Report Filed
65-74,,7500.0,,QUEENS,,SAFE,,No Report Filed
5002,Status changed due to Initial TR6 no: TR6-914494-9A-I2Status changed on: 8/11/2020,15000.0,,BROOKLYN,,SAFE,,No Report Filed
929,,4750.0,SWARMP,MANHATTAN,NEW YORK,SWARMP,10001.0,UNSAFE
1041,,500.0,,BROOKLYN,,SAFE,,No Report Filed
25,"ADDED TO FISP UNIVERSE 3/26/2015 (CAW)BASED ON INSPECTION 10/31/2013INITIAL REPORT FILED 5/23/16 WAS REJECTED, RESUBMITTED 8/10/16LFF and FTF Civil Penalties Stopped on: 8/12/2021LFF and FTF Civil Penalties till EFD of TR6 : TR6-914039-9B-I1",24000.0,,MANHATTAN,,SAFE,,No Report Filed
