daterequested,requesttype,warrantdescription,borough,midday_count
2012-06-08T00:00:00.000,,,Manhattan,
2019-12-17T00:00:00.000,Traffic Signal,,Manhattan,
2014-03-10T00:00:00.000,,,Manhattan,
2009-06-30T00:00:00.000,,,Brooklyn,
2003-04-10T00:00:00.000,,,Staten Island,
2016-08-03T00:00:00.000,Traffic Signal,,Queens,
2005-07-25T00:00:00.000,,,Brooklyn,
2009-05-14T00:00:00.000,,,Brooklyn,
2018-08-16T00:00:00.000,Traffic Signal,,Manhattan,
1999-05-03T00:00:00.000,,,Manhattan,
2018-02-26T00:00:00.000,Left Turn Arrow/Signal,,Queens,
2003-06-16T00:00:00.000,,,Staten Island,
2020-10-15T00:00:00.000,Traffic Signal,,Staten Island,
2008-12-01T00:00:00.000,Left Turn Arrow/Signal,,Staten Island,
2018-06-04T00:00:00.000,Traffic Signal,,Bronx,
2022-09-26T00:00:00.000,Traffic Signal,,Queens,
2012-10-24T00:00:00.000,,,Staten Island,
2006-12-01T00:00:00.000,,,Queens,
1998-10-21T00:00:00.000,,,Queens,
2008-12-08T00:00:00.000,Traffic Signal,,Staten Island,
2011-12-13T00:00:00.000,Left Turn Arrow/Signal,,Manhattan,
2015-06-10T00:00:00.000,,,Queens,
2012-01-07T00:00:00.000,Left Turn Arrow/Signal,,Manhattan,
2003-11-18T00:00:00.000,,,Brooklyn,
2006-11-17T00:00:00.000,,,Brooklyn,
2010/08/18 00:00,Left Turn Arrow/Signal,,Staten Island,
2015-03-05T00:00:00.000,,,Queens,
2006-05-25T00:00:00.000,,,Staten Island,
2013-05-10T00:00:00.000,Leading Pedestrian Interval,,Bronx,
2018-08-13T00:00:00.000,Traffic Signal,,Queens,
2019-11-27T00:00:00.000,Traffic Signal,,Manhattan,
2008-11-14T00:00:00.000,,,Manhattan,
2020-01-15T00:00:00.000,Traffic Signal,,Queens,
2016-11-16T00:00:00.000,Traffic Signal,,Brooklyn,
2017-01-03T00:00:00.000,Traffic Signal,,Queens,
2014/02/26 00:00,Leading Pedestrian Interval,,Brooklyn,
2017-03-07T00:00:00.000,Traffic Signal,,Brooklyn,
2006-01-24T00:00:00.000,,,Bronx,
2011/12/06 00:00,,,Brooklyn,
2018-06-29T00:00:00.000,Traffic Signal,,Brooklyn,
2000-01-31T00:00:00.000,,,Brooklyn,
2009-01-15T00:00:00.000,,,Queens,
2014-03-19T00:00:00.000,,,Brooklyn,
2020/07/20 00:00,Traffic Signal,,Staten Island,
2005-03-31T00:00:00.000,,,Brooklyn,
2017-08-24T00:00:00.000,Left Turn Arrow/Signal,,Brooklyn,
2006/07/10 00:00,,,Bronx,
2014-12-15T00:00:00.000,Traffic Signal,,Brooklyn,
2014-10-09T00:00:00.000,,,Bronx,
2011-08-18T00:00:00.000,,,Brooklyn,
2017-09-29T00:00:00.000,Traffic Signal,,Bronx,
2003-11-13T00:00:00.000,,,All Boroughs,
2013-03-15T00:00:00.000,,,Brooklyn,
2016-01-19T00:00:00.000,Traffic Signal,,Brooklyn,
2017-05-05T00:00:00.000,Traffic Signal,,Brooklyn,
2018-04-27T00:00:00.000,Traffic Signal,,Brooklyn,
2016-06-29T00:00:00.000,Left Turn Arrow/Signal,,Bronx,
2005-01-19T00:00:00.000,,,Brooklyn,
2001-09-19T00:00:00.000,,,Queens,
2020-01-30T00:00:00.000,Traffic Signal,,Queens,
2013-07-19T00:00:00.000,,,Brooklyn,
1999-08-05T00:00:00.000,,,Queens,
1998-10-06T00:00:00.000,,,Queens,
2013-03-07T00:00:00.000,,,Brooklyn,
2004-03-23T00:00:00.000,,,Queens,
2003-04-04T00:00:00.000,,,Staten Island,
2004-06-17T00:00:00.000,,,Bronx,
2000-04-06T00:00:00.000,,,Queens,
2010-01-14T00:00:00.000,,,Brooklyn,
2009-10-19T00:00:00.000,,,Manhattan,
2001-01-05T00:00:00.000,,,Brooklyn,
1999-11-19T00:00:00.000,Left Turn Arrow/Signal,,Brooklyn,
2020-07-15T00:00:00.000,Traffic Signal,,Brooklyn,
1996/07/23 00:00,All-Way Stop,XYZ,Queens,
2005-11-02T00:00:00.000,,,Staten Island,
2015-11-19T00:00:00.000,,,Queens,
2007-02-22T00:00:00.000,,,Brooklyn,
2003-08-12T00:00:00.000,,,Queens,
2016-03-22T00:00:00.000,Traffic Signal,,Bronx,
2018-04-23T00:00:00.000,Traffic Signal,,Queens,
2003-09-04T00:00:00.000,Left Turn Arrow/Signal,,Bronx,
2014-03-18T00:00:00.000,,,Queens,
2014-06-03T00:00:00.000,,,Staten Island,
2015-04-13T00:00:00.000,,,Brooklyn,
2020-02-11T00:00:00.000,Traffic Signal,,Queens,
2017-09-07T00:00:00.000,Left Turn Arrow/Signal,,Queens,
2018-10-18T00:00:00.000,Leading Pedestrian Interval,,Manhattan,
2013-04-12T00:00:00.000,,,Manhattan,
1998-08-13T00:00:00.000,,,Manhattan,
2004-06-29T00:00:00.000,,,Brooklyn,
2005-01-20T00:00:00.000,,,Manhattan,
2005-03-18T00:00:00.000,,,Brooklyn,
2009-06-04T00:00:00.000,,,Queens,
1999-03-07T00:00:00.000,All-Way Stop,,Queens,
2003-01-28T00:00:00.000,,,Queens,
2008-10-16T00:00:00.000,,,Brooklyn,
2008-04-10T00:00:00.000,,,Queens,
2008-02-27T00:00:00.000,,,Manhattan,
2015/06/02 00:00,,,Brooklyn,
2017-09-11T00:00:00.000,Traffic Signal,,Brooklyn,
2015-03-05T00:00:00.000,,,Queens,
2000-07-13T00:00:00.000,,,Queens,
1999-10-22T00:00:00.000,Left Turn Arrow/Signal,,Manhattan,
2008-12-02T00:00:00.000,,,Manhattan,
2013-01-11T00:00:00.000,,,Bronx,
1999-11-01T00:00:00.000,,,Staten Island,
2005-07-06T00:00:00.000,,,Brooklyn,
2016-01-27T00:00:00.000,Traffic Signal,,Queens,
2011-09-19T00:00:00.000,,,Brooklyn,
2009-08-21T00:00:00.000,,,Bronx,
2013-07-12T00:00:00.000,,,Staten Island,
2012-10-10T00:00:00.000,,,Manhattan,
2015-03-24T00:00:00.000,,,Staten Island,
2000-08-18T00:00:00.000,,,Queens,
2006-01-31T00:00:00.000,,,Bronx,
2010-04-03T00:00:00.000,,,Manhattan,
2000-09-19T00:00:00.000,,,Queens,
2009-07-01T00:00:00.000,,,Manhattan,
2008-02-27T00:00:00.000,,,Queens,
2003-02-28T00:00:00.000,,,Brooklyn,
2011-01-05T00:00:00.000,,,Queens,
2003-01-14T00:00:00.000,,,Staten Island,
2020-07-20T00:00:00.000,Traffic Signal,,Brooklyn,
2013-01-28T00:00:00.000,,,Brooklyn,
2016-09-16T00:00:00.000,Traffic Signal,,Queens,
1998-07-02T00:00:00.000,,,Bronx,
2016-05-27T00:00:00.000,Traffic Signal,,Manhattan,
1999-11-17T00:00:00.000,,,Queens,
2004/11/17 00:00,,,Staten Island,
2004-11-20T00:00:00.000,Left Turn Arrow/Signal,,Staten Island,
