code1,academicopportunities3,seats102,diplomaendorsements,directions2,seats3specialized,admissionspriority22,admissionspriority51,ell_programs,admissionspriority43,auditioninformation7,requirement7_1,start_time,grade9swdapplicants10,admissionspriority54,method9,eligibility6,appperseat4specialized,grade9geapplicantsperseat9,interest1,admissionspriority53,requirement4_1,directions4,grade9swdfilledflag5,directions3,grade9swdapplicants1,grade9swdapplicantsperseat8,school_sports,admissionspriority25,program5,admissionspriority28,requirement4_6,seats104,requirement1_3,admissionspriority19,admissionspriority36,grade9swdfilledflag1,applicants1specialized,requirement5_5,grade9geapplicants2,college_career_rate,code7,grade9geapplicants5,international,code10,auditioninformation2,admissionspriority29,grade9geapplicantsperseat7,earlycollege,requirement4_4,auditioninformation1,grade9swdfilledflag2,requirement4_8
Y34A,After-School and Saturday Academy,,,,,,Then to New York City residents,English as a New Language,,,,8:15am,,,,,,,Humanities & Interdisciplinary,,,,,,46.0,,"Baseball, Basketball, Capoeira, Rugby, Soccer, Tennis, Volleyball",,,,,,,,,N,,,,0.42,,,,,,,,,,,,
X49B,Students perform in the four art majors each semester and enter into performance and exhibition competitions citywide,Yes-10,,,,,,English as a New Language,,,,8:15am,,,,,,,Performing Arts,,,,,,48.0,,Our athletes join with students from Mott Haven Educational Campus to compete in the Public Schools Athletic League (PSAL) program; Campus-wide Cheerleading Team,,,,,No,,,,N,,,67,0.36,,,,,,,,,,,N,
Q10A,"Each Small Learning Community has roughly 280 students, with its own director, school counselor, and dean of student life.",Yes-10,,,,,,"English as a New Language; Transitional Bilingual Education: Bengali, Spanish",,,,8:15am,,,,,,,Humanities & Interdisciplinary,,"Standardized Test Scores: English Language Arts, Math",,N,,75.0,N/A - zoned program,"Intramural Sports Soccer Tournament, Chess, Badminton Tournament",,Queens Business Academy,,"Standardized Test Scores: English Language Arts (1.8-4.5), Math (1.8-4.5)",Yes-10,,,,Y,,,203,0.38,Q10G,181,,,,,6,,,,N,
X36A,Students complete Performance-Based Assessment Tasks (PBATs) as a replacement for some Regents Exams.,,,,,,,English as a New Language,,,,9am,,,,,,,Humanities & Interdisciplinary,,,,,,73.0,,,,,,,,,,,Y,,,,0.47,,,1.0,,,,,,,,,
K26H,"Gifted and Talented Honors Program in medical science and humanities, Research Program in the natural and social sciences",Yes-20,"Math, Science",,,,,English as a New Language,,,,8:45am,,,,,,,Humanities & Interdisciplinary,,,,,,55.0,,"Aerobics, Basketball, Billiards, Bowling, Volleyball, Weightlifting, Yoga, Yoga Fusion",,,,,No,"Course Grades: English (90-100), Math (90-100), Science (90-100), Social Studies (90-100)",,,N,,,6131,0.8,,,,,,,,,,,Y,
M70A,Science Research Program offered by Syracuse University through Syracuse University Project Advance (SUPA Program) Students may earn up to 12 credits.,Yes-34,"Math, Science",,,,,English as a New Language,,,,9am,,,,,,,Health Professions,,Interview,,,,216.0,,,,,,,,,,,Y,,,1544,0.73,,,,,,,,,,,N,
X69C,Summer Internships,No,CTE,,,,,English as a New Language; Transitional Bilingual Education: Spanish,,,,8am,,,,,,,Engineering,,,,,,196.0,,,,,,,,Attendance,,,Y,,,105,0.39,,,,,,,,,,,N,
M01A,Advisory Programs; Early College Initiative,,,,,,,English as a New Language,,,,8:15am,,,,,,,Humanities & Interdisciplinary,,,,,,46.0,,"Boys Varsity Basketball, Girls Varsity Softball, Road Runners Club",,,,,,,,,N,,,,0.34,,,,,,,,,,,,
M79A,Exchange programs with Martha's Vineyard High School; Four-year research culminating in a Senior Research Thesis and Oral Presentation,,,,,,,English as a New Language,,,,8:45am,,,,,,,Business,,,,,,191.0,,"Dance, Fitness, Soccer, Volleyball, Weightlifting, Yoga",,,,,,,,,N,,,,0.65,,,,,,,,,,,,
L02R,Student Participate in theme-based trips & The Arts Show Cases,,,,,,,English as a New Language,,,,8:13am,,,,,,,Performing Arts/Visual Art & Design,,,,,,63.0,,Intramural Sports,,,,,,,,,N,,,,0.4,,,,,,,,,,,,
Q02A,,,"Math, Science",,,,,English as a New Language,,,,7:20am,,,,,,,Visual Art & Design,,,,,,198.0,,,,,,,,,,,Y,,,,0.7,,,,,,,,,,,,
Q15A,"Accounting, Entrepreneurship and Marketing, Art Exhibitions, Astronomy, Career Exploration, Chorus, CUNY College Now, Drama, EMT, Vocational Training",No,"Math, Science",,,Then to New York City residents,,English as a New Language; Transitional Bilingual Education: Spanish,,,,8:50am,,,,,,,Law & Government,,Standardized Test Scores: English Language Arts (1.9-4.5),,N,"Auditions dates and times are listed on our school's website, www.wcbryanths.org.",53.0,,,Then to New York City residents,Math and Science Academy,,,New Program,,,,N,,,207,0.52,,324,,,,,,,,,Y,
L62A,Overnight and day-time college trips both in and out of NY state,,,,,,Then to New York City residents,English as a New Language,,,,8:45am,,,,,,,Humanities & Interdisciplinary,,,,,,39.0,,"Double Dutch, Soccer, Basketball, Cheerleading, Flag Football, Softball, Running Club",,,,,,,,,Y,,,,0.79,,,,,,,,,,,,
Q20A,"A wide variety of specialized programs: Science Research, Math Research and Robotics, University Scholars, Jacob Javits Law Academy",Yes-5,"Arts, Math, Science",,,Then to New York City residents,,English as a New Language; Transitional Bilingual Education: Chinese,,,,8:30am,,,,,,,Law & Government,,,,N/A - zoned program,,544.0,,Full program of intramural school sports,,Zoned,,,Yes-5,Attendance,,,Y,,,3306,0.75,,N/A - zoned program,,,,,,,,,Y,
Q36A,Specialized carpentry program that includes building boats and other exciting projects,Yes-10,,,,Then to New York City residents who signed in at a fair or at an information session,,English as a New Language,,,,8:00am,,,,,,,Humanities & Interdisciplinary,,,,,,57.0,,,,,,,,,,,N,,,46,0.32,,,,,,,,,,,N,
M94A,"SAT Prep, Saturday Academy, PM School, College Trips for 10th and 11th graders; College-level Globalization course",,"Math, Science",,,,,English as a New Language,,,,8:15am,,,,,,,Humanities & Interdisciplinary,,"Standardized Test Scores: English Language Arts (2.0-4.5), Math (2.0-4.5)",,,,349.0,,"Boys and Girls Basketball, Boys Soccer, Girls Cheerleading, Girls Softball, Girls Step",,,,,,,,,Y,,,,0.9,,,,,,,,,,,,
K79A,"BRIC Arts Media, Brooklyn Arts Council, AT&T All American Film Festival",,,,,,,English as a New Language,,,,8:15am,,,,,,,Film/Video,,"Standardized Test Scores: English Language Arts (1.9-4.5), Math (1.7-4.5)",,,,151.0,,"Junior Varsity Basketball, Soccer, Cheerleading, Table Tennis",,,,,,,,,Y,,,,0.59,,,,,,,,,,,,
M81H,"Theater and Tap Dance, Ballet, Song Preparation, Private and Group Vocal Technique, Music Theory, Theater Exploration",Yes-5,Arts,,,Then to New York City residents,,English as a New Language,,,,8:15am,,,,,,,Performing Arts,,Audition,,,,25.0,,,,,,,Yes-5,Attendance,,,Y,,,268,0.7,,,,,"Prepare two contrasting monologues (one minute each), for example: dramatic/comedic, classical/contemporary, published/original, or theater/film. Choose characters close to your age or life experience, decide who your characters are talking to and why, and completely memorize both pieces.",,,,Audition,"Each applicant will be required to act, sing, and dance at this audition. Please prepare the following: Acting--present a one-minute memorized monologue (comedic or dramatic) from a published play; Singing--present 32 bars of a memorized Broadway song (age-appropriate)--an accompanist will be provided, so bring sheet music in the appropriate key; Dancing--Be prepared to learn a short theater dance combination--please wear clothing that allows for freedom of movement, as well as jazz shoes or sneakers.",Y,
M60N,"Internship opportunities through Work Base Learning: Apollo Theater, Bloomberg, Center for Arts Education, The Mayor's Office of Media & Entertainment",Yes-11,"Arts, CTE, Math, Science",,,,,English as a New Language,,,,8:20am,,,,,,,Architecture,,Portfolio of Student Work,,,,70.0,,"Aerobic Training, Basketball, Intramural Sports, Nautilus Training, Spinning, Volleyball, Weight Training; Student-Faculty Games",,,,,,Attendance,,,Y,,,1134,0.58,,,,,"Prepare a portfolio of 8-15 pieces of original work. Include examples of observational drawings. Complete up to three drawing assignments at the audition. Check school's website for examples. They may include: the human figure, and drawing from observation or imagination.",,,,,Portfolio with 8-12 pieces of original artwork created from observation and students' own imagination with a diversity of subject matter and use of media. Please include examples of line drawings as well as value studies of geometric shapes and forms. You should also include a drawing of your neighborhood and a plan of your bedroom or your apartment. Three-dimensional pieces can be photographed. You will be required to draw from observation and memory.,Y,
M59A,Saturday Programs: Kaplan SAT Prep; Physical Education classes; Saturday Fitness; ESL classes; Parent classes.,,,,,,,English as a New Language; Dual Language: Chinese; Transitional Bilingual Education: Chinese,,,,8am,,,,,,,Humanities & Interdisciplinary,,"Standardized Test Scores: English Language Arts (1.8-4.5), Math (2.8-4.5)",,,,57.0,,"Badminton, Ping-Pong, Saturday Fitness, Swimming, Team Sports, Taekwondo",,,,,,,,,N,,,,0.9,,,,,,,,,,,,
M46X,College Access For All program featuring College Courses embedded in students' regular day program starting in ninth grade,,Math,,,,,English as a New Language,,,,8:20pm,,,,,,,Humanities & Interdisciplinary,,,,,,67.0,,"Boxing, Soccer, Wrestling",,,,,,,,,N,,,,0.46,,,,,,,,,,,,
M18A,"New freshmen attend a four-day 'Freshman Kickoff', plus an overnight trip where you work with peers in team building activities (like rope-climbing)",,,,,,,English as a New Language,,,,8:55am,,,,,,,Architecture,,,,,,140.0,,"3-on-3 Student Basketball Tournament, Aerobic Training, Annual Student vs. Staff Basketball Game, Flag Football, Intramural Soccer, Weightlifting, Yoga, and others upon request",,,,,,,,,Y,,,,,,,,,,,,,,,,
Y59A,"Career Technical Education courses are: Business Management, Hospitality, Food and Beverage Management, Computers",,,,,,,English as a New Language,,,,8:30am,,,,,,,"Hospitality, Travel, & Tourism",,,,,,68.0,,"Baseball, Basketball, Softball, Volleyball",,,,,,,,,N,,,,,,,,,,,,,,,,
K03R,Expeditionary Thursdays: Students engage in fieldwork expeditions outside of the building every other Thursday all year round,,,,,,Then to New York City residents,English as a New Language,,,,8:45am,,,,,,,Humanities & Interdisciplinary,,,,,,155.0,,,,,,,,,,,Y,,,,0.72,,,,,,,,,,,,
R28L,Eagle Excel tutoring opportunities,,,,,,Then to New York City residents,English as a New Language,,,,8:30am,,,,,,,Humanities & Interdisciplinary,,,,,,17.0,,"Basketball, Flag Football, Soccer",,,,,,,,,Y,,,,,,,,,,,,,,,,
K73A,,,,,,,,English as a New Language,,,,8:06am,,,,,,,Humanities & Interdisciplinary,,,,,,112.0,,,,,,,,,,,Y,,,,0.43,,,,,,,,,,,,
X51A,"STRIVE for College with the Dorothy Day Center for Service, and Justice at Fordham University",,"Arts, Math",,,,,English as a New Language,,,,8am,,,,,,,Performing Arts/Visual Art & Design,,,,,,189.0,,"Basketball, Swimming and Lifeguard Training, Weight Training",,,,,,,,,Y,,,,0.52,,,,,,,,,,"Students are required to audition in their interest area of study which includes a writing prompt. Dance: Come dressed in proper dance attire consisting of ballet shoes, fitted black dance clothing, and hair that is short or completely secured on top of the head. Auditioning students will take a ballet barre led by the teacher. Auditioning students will have the opportunity to present a short one-minute dance of your choice and bring your own music. Drama: Prepare two contrasting memorized monologues from a play, movie, or novel, each one minute long. You may be asked to participate in a group theater game. Instrumental Music: This program offers a jazz curriculum for students who play band and rhythm section instruments. We do not have a string program. Students must bring their own instrument, sticks and music to the audition. Be prepared to play a scale and selection of music from a book or solo of your own choice, and sight-read. You will complete a questionnaire, interview, and take a simple test for musical aptitude. Vocal Music: Perform a prepared song without CD/piano accompaniment from the following list: Amazing Grace, Simple Gifts, The National Anthem (Star Spangled Banner), My Favorite Things, God Bless America, Happy Birthday, and Somewhere. Students should avoid Top 40 or Pop music when at all possible. Applicants will also be evaluated on tonal memory, rhythmic and aural skills, and vocal technique through teacher-led vocal exercises. Visual Art: Prepare and present a professional portfolio (work completed on drawing paper, canvas, or photographed) of at least five pieces of original work drawn from real-life observations (including one self-portrait, one still-life, and one landscape). The portfolio needs to show a range of style. Sketchbooks are welcomed as extra drawings. Auditioning students will be required to complete one detailed, shaded, and colored drawing from observation during the audition.",,
Q37J,"All students study two years of Classical Greek or Latin in addition to a modern language (Spanish, French, Japanese).",,,,,,,English as a New Language,,,,8:20am,,,,,,,Humanities & Interdisciplinary,,"Please note: Townsend Harris is open to New York City residents from all five boroughs.  When evaluating Queens applicants, Townsend Harris seeks to build an incoming 9th grade class that is representative of the entire borough.",,,,137.0,,"Co-ed Baseball, Soccer and Swim Clubs (Off-Season)",,,,,,,,,N,,,,1.0,,,,,,,,,,,,
M51A,Students must complete 60 college credits to receive the Bard College AA degree,,,,,,,English as a New Language,,,,9am,,,,,,,Humanities & Interdisciplinary,,On-Site Math Test,,,,169.0,,Coed Ultimate Frisbee,,,,,,,,,N,,,,0.95,,,,,,,,1.0,,,,
K85A,Early College-Partnerships with Medgar Evers and LIU,Yes-10,,,,Then to New York City residents,,English as a New Language,,,,8:15am,,,,,,,Law & Government,,,,,,63.0,,"Basketball, Bowling, Dance, Table Tennis",,,,,,,,,N,,,96,0.33,,,,,,,,,,,N,
X47A,"CUNY College Now classes-Hostos Community College, Law and Justice Class and Competition, Playwriting Class-Manhattan Theater Club",,,,,,,English as a New Language,,,,8:30am,,,,,,,Law & Government,,,,,,90.0,,"Boys: Baseball, Flag Football; Boys and Girls: Basketball, New York Road Runners, Soccer",,,,,,,,,N,,,,0.41,,,,,,,,,,,,
K30X,"College Now, Brooklyn College, and Medgar Evers College partnerships",,,,,,,English as a New Language,,,,8am,,,,,,,Humanities & Interdisciplinary,,,,,,67.0,,"Swimming, Cheerleading, Bowling, Handball Cheerleading, Handball, Basketball Club",,,,,,,,,N,,,,0.44,,,,,,,,,,,,
Q71A,"Ten CUNY College Now classes, ten AP classes, College Advantage (St. John's University); many college credits can be gained onsite!",Yes-14,"Arts, Math, Science",,,Then to New York City residents,,English as a New Language,,,,9:50am,,,,,,,Humanities & Interdisciplinary,,,,,,246.0,,"Baseball Club, Track and Cross Country Club",,,,,,,,,Y,,,1097,0.74,,,,,,,,,,,N,
M66A,"Saturday classes at Parsons School of Design, Cooper Union, and Fashion Institute of Technology, The Vineyard Theatre, New York University",Yes-5,Arts,Open Auditions: Please come to any of the four audition dates. No pre-registration is necessary.,,,,English as a New Language,,,,8:20am,,,,,,,Visual Art & Design,,,,,,93.0,,,,,,,,"Course Grades: English, Math, Science, Social Studies",,,N,,,122,0.58,,,,,Perform two contrasting monologues (one minute each). Perform an on-demand dramatic or movement activity (e.g. impromptu reading from provided script or improvisation). Wear attire that allows free movement.,,,,,"Prepare a portfolio of 8-15 pieces of original work. Include examples of observational drawings. Complete up to three drawing assignments at the audition. Check school's website for examples. They may include: the human figure, and drawing from observation or imagination.",N,
Y49A, school.,,Math,,,,,English as a New Language,,,,8:30am,,,,,,,Science & Math,,,,,,173.0,,"Cheerleading, Full PSAL Program-20 teams",,,,,,,,,Y,,,,0.52,,,,,,,,,,,,
K54A,"Advisory program provides guidance on health, social justice issues, SAT and ACT prep, and job readiness",,,,,,Then to Brooklyn students or residents,English as a New Language,,,,8:15am,,,,,,,Humanities & Interdisciplinary,,,,,,89.0,,"Expected 2017-2018 PSAL Sports - Girls: soccer; Co-Ed Sports: Swimming, Tennis",,,,,,,,,N,,,,0.41,,,,,,,,,,,,
X33A,"Honors Courses, CUNY College Now, STEM Focus Courses & Activities, Community Service Partnerships, and National Honor Society",Yes-5,Arts,"All interested applicants should contact the school at (718) 329-8550, extension 3563 (email: dfink2@schools.nyc.gov or vram@schools.nyc.gov) to obtain information.",,,,English as a New Language,,,,8am,,,,,,,Performing Arts,,,,,"All interested applicants should contact the school at (718) 329-8550, extension 3563 (email: dfink2@schools.nyc.gov or vram@schools.nyc.gov) to obtain information.",71.0,,"Baseball, Basketball, , Bowling, Swimming, Volleyball, Tennis",,,,,,Audition,,,Y,,,202,0.64,,,,,"Come prepared to sing a song of your choice, without accompaniment. Rhythm, pitch-matching, and ability to sing in harmony with others will be evaluated.",,,,,"Bring your own instrument (except piano, tuba, double bass, percussion and amplifiers, which will be provided) and your mouthpieces. Perform a prepared selection of your choice. Sight-reading and scales will be required.",Y,
Q23A,"Pathways (majors) of study: Info. Technology, Engineering, Hospitality/Tourism, EMT Studies, Lifeguarding, Art, Music (instrumental and vocal)",Yes-50,,,,Then to New York City residents,,English as a New Language; Transitional Bilingual Education: Spanish,,,,8:30am,,,,,,,Computer Science & Technology,,,,N,,81.0,,,Then to New York City residents,Academy of Allied Health,,,Yes-10,,,,Y,,,109,0.42,,127,,,,,,,,,Y,
L45A,"Innovation Magazine Publication, Microsoft Office, National Educator Program (NEP) Lab School, NEP National/International Ambassador Program",No,,,,Then to New York City residents who signed in at a fair or at an information session,,English as a New Language,,,,8am,,,,,,,Culinary Arts,,,,,,56.0,,Campus Intramural Tournaments,,,,,,,,,N,,,67,0.48,,,,,,,,,,,N,
M99A,"We offer Spanish and Japanese Language, Yoga and Mindfulness, Visual Art and Music, and Dance",,,,,,,English as a New Language,,,,8:39am,,,,,,,Humanities & Interdisciplinary,,Demonstrated Interest: School Visit,,,,132.0,,Soccer,,,,,,,,,N,,,,,,,,,,,,,,,,
M27A,"Extended Learning Time in all Core Academics, Culinary Arts, Video & Music Production, Recording Studio",,,,,,,English as a New Language,,,,8am,,,,,,,Humanities & Interdisciplinary,,,,,,69.0,,Volleyball,,,,,,,,,N,,,,0.29,,,,,,,,,,,,
M67B,"Students may receive CTE endorsement in the following areas: Computer Installation and Repair, Computer Systems Networking, Graphic Design",Yes-6,CTE,,,Then to New York City residents,,English as a New Language,,,,8:15am,,,,,,,Computer Science & Technology,,Standardized Test Scores: Average (2.1-4.5),,,,221.0,,,,,,,,,,,Y,,,691,0.62,,,,,,,,,,,Y,
