queens_condominium_property_address,comparable_rental_1_year_built,comparable_rental_2_est_gross_income,queens_condominium_property_neighborhood,comparable_rental_1_full_market_value,comparable_rental_1_neighborhood,comparable_rental_1_address,comparable_rental_1_total_units,postcode,community_board,comparable_rental_2_market_value_per_sqft,queens_condominium_property_market_value_per_sqft,comparable_rental_2_boro_block_lot
22-35 75 STREET,1929,291790.0,JACKSON HEIGHTS,1020000,JACKSON HEIGHTS,35-42 73 STREET,32,11370.0,1.0,43.8,42.1,4-01291-0060
42-25 80 STREET,1955,888105.0,ELMHURST,5680000,ELMHURST,42-42 80 STREET,136,11373.0,4.0,40.1,42.0,4-01566-0001
35-03 105 STREET,2005,625842.0,CORONA,1030000,ASTORIA,30-62 38 STREET,16,11368.0,3.0,106.0,108.0,4-00040-0015
41-25 KISSENA BOULEVARD,1963,1741704.0,FLUSHING-NORTH,2890000,FLUSHING-NORTH,133-21 SANFORD AVENUE,88,11355.0,7.0,55.0,56.0,4-05025-0064
144-23 BARCLAY AVENUE,1973,1307168.0,FLUSHING-NORTH,5070000,FLUSHING-NORTH,144-10 ROOSEVELT AVENUE,84,11355.0,7.0,52.0,56.0,4-05050-0039
56-07 CLOVER PLACE,1928,364276.0,GLENDALE,256000,GLENDALE,71-56 69 STREET,12,11385.0,5.0,53.0,47.1,4-03703-0026
110 73 ROAD,1956,1052751.0,FOREST HILLS,4330000,FOREST HILLS,102-50 62 ROAD,102,,,48.9,49.0,4-02225-0006
180-16 WEXFORD TERRACE,1956,962832.0,JAMAICA ESTATES,3260000,JAMAICA ESTATES,178-60 WEXFORD TERRACE,73,11432.0,8.0,51.0,51.0,4-09960-0005
52-18 VAN LOON STREET,2002,550569.0,ELMHURST,4870000,ASTORIA,31-64 21 STREET,52,11373.0,4.0,101.0,116.0,4-03169-0021
47-55 39 PLACE,1936,692195.0,SUNNYSIDE,2190000,SUNNYSIDE,45-54 41 STREET,50,11104.0,2.0,42.9,42.1,4-00199-0052
40-01 LITTLE NECK PARKWAY,1951,2609191.0,LITTLE NECK,3230000,BAYSIDE,42-06 212 STREET,84,11363.0,11.0,70.0,64.0,4-07660-0002
85-09 151 AVENUE,1964,2006058.0,HOWARD BEACH,11900000,JAMAICA ESTATES,182-30 WEXFORD TERRACE,218,11414.0,10.0,53.0,54.0,4-09950-0057
5603A UTOPIA PARKWAY,1976,377128.0,FLUSHING-NORTH,499000,FLUSHING-NORTH,144-22 34 AVENUE,14,11365.0,11.0,42.3,51.0,4-08276-0658
109-33 71 ROAD,1956,1022934.0,FOREST HILLS,4720000,FOREST HILLS,105-10 62 ROAD,108,11375.0,6.0,55.0,49.9,4-02224-0028
41-26 27 STREET,2007,1465042.0,LONG ISLAND CITY,36200000,LONG ISLAND CITY,47-25 CENTER BOULEVARD,495,11101.0,1.0,111.0,140.0,4-09760-0022
39-06 108 STREET,1963,175895.0,CORONA,1400000,CORONA,109-15 37 AVENUE,36,11368.0,3.0,48.4,75.0,4-01606-0052
133-38 AVERY AVENUE,1999,876995.0,FLUSHING-NORTH,3540000,FLUSHING-NORTH,140-26 FRANKLIN AVENUE,54,11355.0,7.0,75.0,75.0,4-05104-0027
156 BEACH 9 STREET,2004,1465042.0,FAR ROCKAWAY,3910000,HAMMELS,2-14 BEACH 96 STREET,72,11691.0,14.0,111.0,99.0,4-09760-0022
41-07 BOWNE STREET,1970,2181948.0,FLUSHING-NORTH,1860000,FLUSHING-NORTH,142-09 BARCLAY AVENUE,42,11355.0,7.0,54.0,52.0,4-05049-0043
30-80 21 STREET,2001,625842.0,ASTORIA,5670000,ASTORIA,14-56 31 DRIVE,63,11102.0,1.0,106.0,99.0,4-00040-0015
151-15 84 STREET,1963,3173629.0,HOWARD BEACH,7650000,QUEENS VILLAGE,212-29 HILLSIDE AVENUE,180,11414.0,10.0,64.0,52.0,4-09950-0009
100-25 QUEENS BOULEVARD,1960,1590548.0,REGO PARK,9330000,REGO PARK,98-05 67 AVENUE,181,11375.0,6.0,51.0,51.0,4-03078-0085
125-10 QUEENS BOULEVARD,1962,4019225.0,KEW GARDENS,13700000,FLUSHING-NORTH,43-32 KISSENA BOULEVARD,287,11415.0,9.0,51.0,52.0,4-05137-0093
40-24 76 STREET,2000,1369718.0,ELMHURST,5470000,FLUSHING-NORTH,136-14 NORTHERN BOULEVARD,63,11373.0,4.0,92.0,104.0,4-00531-0059
111-56 76 DRIVE,1937,856699.0,FOREST HILLS,2970000,FOREST HILLS,111-10 76 ROAD,60,11375.0,6.0,54.0,48.9,4-03340-0052
91-10 34 AVENUE,1936,555852.0,JACKSON HEIGHTS,2240000,JACKSON HEIGHTS,82-15 35 AVENUE,49,11372.0,3.0,48.4,43.5,4-01452-0006
138 BEACH 92 STREET,2005,1047003.0,HAMMELS,2590000,LONG ISLAND CITY,10-28 JACKSON AVENUE,25,11693.0,14.0,70.0,75.0,4-16151-0006
49-07 43 AVENUE,2005,1369718.0,SUNNYSIDE,2590000,LONG ISLAND CITY,10-28 JACKSON AVENUE,25,11377.0,2.0,92.0,95.0,4-00531-0059
