council_district,doing_business_as_dba,borough,approved_for_roadway_seating,no with globalid,yes with globalid
2.0,KOKO WINGS,Manhattan,yes,{1F7E1DB2-4A25-445E-8FE1-7315ED4E50F1},
34.0,Mallys'DELI grocery  CORP,Brooklyn,yes,,{358E03BF-B9FB-497B-8FB9-0E470AA36639}
1.0,Kitchen93,Manhattan,no,{73BC869C-12DE-42D9-8A81-E37719FCFDA3},
38.0,Xochil Pizza Corp,Brooklyn,no,{DA48265D-7730-416F-8E1C-EBC8C8ACE2C2},
31.0,Tacos Y Mas Inc.,Queens,no,{1DCCC01F-33DD-44E8-859C-068952ABF1CC},
3.0,Thai Chella,Manhattan,yes,{AF5D94E7-B2EB-458E-8328-20ED7C2B7AC7},
17.0,Vista Hermosa Restaurant Inc.,Bronx,no,124a9b18-a20f-46f9-8bdc-2f5779d3cf80,
20.0,DENGJI IIII RESTAURANT,Queens,yes,{09D067D4-B638-48B3-8390-91DE1A7BA764},
4.0,FRESCO,Manhattan,yes,{FCB9728F-4485-4763-8FF1-68518A6EBA78},
4.0,The Mark Hotel,Manhattan,yes,{27E63DB5-4FD8-4313-8200-BCD4CACB630E},
6.0,SWEETGREEN,Manhattan,no,{D4CC700E-963F-4A3F-89EC-0896E0CA0AFE},
26.0,pasiones sport bar,Queens,yes,{A213525C-A6BC-420A-8A5B-99DD28ADEEC8},
49.0,SALLY'S SOUTHERN,Staten Island,no,{21680E41-4674-493B-83A0-45E54027A89B},
20.0,Feng Ta Inc,Queens,yes,{4551ABD9-C2CF-43CB-8C09-A07B2B23541B},
33.0,Charm Kao,Brooklyn,yes,753495d8-4429-43e5-85a3-dcf6230ef749,
30.0,EAST COAST BURGERS,Queens,yes,{A2641570-9B32-46EC-8080-D9F1EBE40C59},
11.0,ST BESS RESTAURANT,Bronx,no,,{7F44856D-F298-44FB-8C91-6576BF237635}
19.0,JOONG KOOG JIP,Queens,no,,{A07CAE84-A292-485B-8E25-07592474B251}
35.0,THE HOLLER,Brooklyn,no,{99AFA8BC-2AEC-43B3-8CC5-C2C11A289193},
9.0,KEUR COUMBA RESTAURANT,Manhattan,no,{ABA9D22F-D002-4D7F-8B1C-DFC1BC784FEE},
21.0,Dream team restaurant associates inc,Queens,yes,{E3815D25-5301-4131-8F71-CE17230F3D29},
39.0,BABAGHANOJ SPOT,Brooklyn,yes,{967FC700-4D31-4A66-8D83-99AD86E6638C},
47.0,86 Chikurin Sushi Inc,Brooklyn,no,{2A58C816-BADC-46FE-8E44-EFA3A4E9448F},
3.0,NEW ISTANBUL GRILL INC,Manhattan,yes,{BE3A356B-C6D9-47F6-8019-787168BA97DC},
25.0,Taste of Lahore,Queens,no,{16970672-86EA-4027-8F8A-5C7F9B212164},
2.0,"abcV, abc Cocina, abc Kitchen",Manhattan,yes,,{57752115-8172-4F68-84AA-704587665DE5}
33.0,Magazine,Brooklyn,yes,,022e92d5-13cd-4947-8d0f-9839a1ecd97e
19.0,Nonnas1977,Queens,yes,{3B8D7151-8D96-41F5-8D40-258D920C00F8},
1.0,BURGER KING,Manhattan,no,{B33E9F63-8325-47FF-8522-DE8A001157EC},
19.0,Lima 33 inc.,Queens,yes,{CC28147E-D065-4F80-831F-47AD32E2E4F5},
2.0,ATOBOY,Manhattan,no,{8D5D4988-C31F-4358-866B-E050E76E5484},
39.0,Marco Polo takeout LLC,Brooklyn,yes,{6AEDE8E7-FE75-445B-869E-B862E577B04C},
4.0,pitagrillnyc corp,Manhattan,no,f7ab1b53-8fb3-4f2e-81ae-9685d7cd305d,
40.0,pelicanrfeef caterers,Brooklyn,no,{25A4AE67-6A83-4002-86FA-FF132EDFFF05},
1.0,Healthy Joe's,Manhattan,yes,{3E25AAA3-D232-4C1B-803D-4C0EFDA2B91F},
1.0,MUSEUM OF ICE CREAM,Manhattan,no,,{1384C250-21C1-4BB2-86B4-E9D51BFE778A}
26.0,GULSHAN TERRACE,Queens,yes,{25D28DF5-DAFF-4AB8-887A-9BEEFB006853},
6.0,RedFarm,Manhattan,no,{346C0704-1DC5-4081-85AF-84A0E76AF01E},
6.0,Bodrum Turkish Mediterranean Restaurant,Manhattan,no,{98EE33AB-C829-47A7-8176-5343120C8056},
35.0,Taiga Restaurant Corp,Brooklyn,yes,,{B39F757B-86F2-423D-830A-91B0AA1E6922}
,Dive 106,Manhattan,no,{A7E77848-584F-4B44-84A9-F73BE3658CF9},
44.0,"Laguna Azul 1910, Inc.",Brooklyn,yes,{01184FC8-DE42-4D05-85A1-0D757B339B81},
1.0,MAMAN,Manhattan,yes,{5DC70BAA-1371-45E6-85CA-0B364E32D311},
25.0,Laly's Restaurant Corp,Queens,yes,8c9d78db-9e24-40e6-8930-ad8f081b7533,
,Affys Premium Grill,Brooklyn,yes,{B64B6B2E-304F-4312-8149-86CED505B008},
8.0,PEE DEE STEAK,Manhattan,yes,{BD45D158-9EF2-45CA-828F-49420616FA34},
40.0,DELI EL BIGOTES,Brooklyn,yes,{FE2421F6-6492-4FDC-8043-D0681262E574},
20.0,Dengji restaurant,Queens,no,{620F68B0-4217-4829-855A-377F3EED47D9},
1.0,Japond Restaurant LLC,Manhattan,yes,{1E02B8E9-2EF5-4662-8B3C-CAED0C8D0ED0},
33.0,La Nonna Ristorante & Bar,Brooklyn,no,dcc132cc-20e0-415d-8c85-bddcdc74fae8,
,Gerizim Burger Factory,Brooklyn,yes,{EDFA343E-D5E2-4CD2-8DEC-428B8B385446},
39.0,Pizzatown,Brooklyn,yes,{4CC562DA-2D62-4287-86AE-36D715058C88},
4.0,Capital Grille Holdings,Manhattan,no,6752ae7e-e9cc-443f-80c6-c8baf4ec9a2c,
1.0,FELIX ROASTING CO.,Manhattan,yes,,{AF707F47-EBE1-4D00-88C1-F87442E6E46A}
1.0,Hair Of The Dog,Manhattan,yes,7a94ed67-08bc-42c1-8c08-9e1c9f915fd6,
1.0,LE PAIN QUOTIDIEN,Manhattan,yes,{ACF9BF52-04FB-4CE6-8D60-EFAA6B878A24},
,Dos Caminos Soho,Manhattan,yes,,{3DB8B781-C421-47D7-887D-A703D17884DA}
10.0,YU SUSHI INC,Manhattan,yes,{D7BE1970-50A9-4A41-8243-EFAA70F868D1},
2.0,The Pop-Up & Pantry by Milk Money Kitchens,Manhattan,yes,{E78B5A70-E979-4E7E-8F5B-DAA407CD463E},
36.0,The Wilky,Brooklyn,yes,{2CAF71B0-636A-4279-8B68-BC091CAA4669},
11.0,LAST STOP BAR &amp; GRILL,Bronx,yes,{2A8144B7-52D1-4834-824F-2EBA03473A03},
21.0,LA TRONCALENA RESTAURANT,Queens,yes,{1511AF75-228B-4EAF-8AD6-847AE505019A},
3.0,JIMMY'S,Manhattan,yes,{1A42F6C0-E873-40C5-8202-D3C0D8837C45},
2.0,SWEETGREEN,Manhattan,no,{412C8397-CD15-4CB1-8B11-AB8E1A32C338},
34.0,TABARE RESTAURANT,Brooklyn,yes,{2DAE8B87-B1AE-4C7C-81EE-137917D4055C},
1.0,OLD MAN HUSTLE,Manhattan,yes,{FA70463C-4C60-439E-8DD2-3F17AE54C9BF},
3.0,Pinch Chinese,Manhattan,no,{851BDD17-F320-4EA4-8B6F-D6E8D50BB99F},
9.0,JERK HOUSE CARIBBEAN RESTAURANT,Manhattan,no,{86895B40-6E0B-4FA4-80D0-9E505FEC09E2},
5.0,THREE DECKER RESTAURANT LTD,Manhattan,yes,{D1BB9747-C3C6-4959-88A6-79D526EB9A3B},
27.0,SMOKE BBQ PIT,Queens,no,{319BBCF4-4E5C-4109-8A39-520B301C2408},
9.0,LIDO,Manhattan,no,{07BFAB1E-FB97-4AA7-83FA-671FA20B7054},
34.0,Bread Brothers Bagel Cafe,Brooklyn,no,{D7B50FDF-3749-477E-81DE-D18260D71CEC},
44.0,MABAT STEAKHOUSE,Brooklyn,no,{38FB0E0F-A668-4EA5-85D2-3DFE2E965A01},
26.0,PURPLE DOUGH,Queens,yes,{72324A6B-4752-4242-8EDC-4379A712B982},
35.0,Walter's,Brooklyn,yes,,{B0967ABE-81A6-4127-8C3C-677A9D723521}
24.0,El Buenb Sabor Deli Corp,Queens,no,{DFAF6935-E12E-4CDF-8497-2470BBC23B76},
39.0,Choucroute LLC,Brooklyn,yes,{573AB165-CECC-44AA-88B9-ECA2ADD55D57},
4.0,ktm inc,Manhattan,yes,{C67FF591-2983-4FE1-8FBD-A400D3FFDE2B},
1.0,BLUE BOTTLE COFFEE,Manhattan,yes,,{3F853C0F-ED0D-4063-84F7-062BD3122D12}
42.0,MARIA ON THE GRILL,Brooklyn,no,{50BEAADB-FB74-4A6C-8A08-EAA3F1A38DE1},
46.0,New Beach Bar LLC,Brooklyn,no,{356F0EBE-7748-4DEB-8CEA-EDFD8977DC85},
40.0,BABE&AL / IDEAL SUPERMARKET,Brooklyn,no,{E0EF622A-B9DA-4E7A-8443-DDDA712042F9},
1.0,Thai Farm Kitchen Seaport,Manhattan,yes,,444b8588-85bc-44fd-8c2a-855bb5aa3cb8
33.0,Poke Zest,Brooklyn,no,{3E93D428-2107-4AC5-843B-CA7889B3A438},
3.0,JUN-MEN RAMEN BAR,Manhattan,yes,{089C2F2E-3D3B-4592-85BE-EF60FEB14C8C},
33.0,SWEETGREEN,Brooklyn,yes,,{194EE807-D649-4D87-8B1B-C6C81DDF92C1}
35.0,Sweet Polly,Brooklyn,yes,ed43d70c-12db-484f-814e-fa009684ba6b,
15.0,Tina Bar Restaurant,Bronx,yes,{F0019916-49E7-46F3-8F48-9C8DCB8DB0FA},
8.0,R &amp; J LOUNGE,Manhattan,yes,{C88A09A9-9F8C-4043-88FB-74720843B3F7},
13.0,Legendary Bar & Grill Corp.,Bronx,no,{4E6C56CF-2CF6-4FA4-8D3E-40107408FA6E},
,594 VAnderbilt ave Food Corp,Brooklyn,yes,,{702A3D82-B28F-481C-8736-45EB52E0A7AE}
1.0,Peasant,Manhattan,no,{25E81CF2-17C7-4C57-86E5-3412E3A965D1},
2.0,S & D Wave Group,Manhattan,no,8094ab26-2b85-4b1e-8638-e21e797a46fa,
,"Himalayan Curry House, Inc.",Manhattan,yes,{2AC55294-EDBA-47B6-8A2B-51BA59F6475C},
,Flora,Brooklyn,yes,{CBD47155-634A-44AD-84AA-A9185DF1F034},
9.0,ROW HOUSE,Manhattan,no,{D3545387-9321-498A-8EC0-903D4FDE7704},
23.0,Fresh Sub 168 Inc,Queens,no,{9A535733-A800-471F-8D63-2C1E16BD4F07},
39.0,GOWANUS CORNER CAFE,Brooklyn,yes,{29177B00-9171-420A-888B-C3FCE3617222},
,143 Montague Restaurant Corp.,Queens,no,,efc8f777-8cd5-4897-806a-13867b2aa0f3
30.0,CHEF TORIBIO #2 RESTAURANT CORP,Queens,yes,{D6D0B182-75CA-40F2-8B30-A02B30FCF367},
33.0,Love and Dough,Brooklyn,no,{9711D0D3-B678-485A-897F-D510EA20FDEA},
7.0,GRAIN HOUSE,Manhattan,yes,{86460DAC-C242-4A77-87AB-64276E8EBBF6},
3.0,THE DUPLEX,Manhattan,no,{F78EBF30-27EA-4D7B-87BA-EB8F7126F882},
34.0,Kitsby Cafe Inc,Brooklyn,yes,{9D3B1993-13AF-4378-8585-0C16A563CA66},
1.0,The Little One,Manhattan,yes,{8362237D-4B79-4C95-89A2-669FF54BE88B},
2.0,"Just Salad 8th Street, LLC",Manhattan,no,{CBBA0644-2E8D-476A-880D-947AEA44DC39},
,Gerizim Burger Factory,Brooklyn,yes,{595E6DAF-2D64-408A-8267-E12CC39C1C19},
4.0,"Public House NYC, LLC",Manhattan,no,{F232C84F-5235-4093-885C-A6F6B08B9AEB},
44.0,Kosher Hut of Brooklyn Inc,Brooklyn,no,{DE7F1D2D-3AEF-4D61-8E13-3BB5DD0CE7B3},
,Curry leaves restaurants inc,Queens,yes,,{7BD1BDB5-A75B-43A4-8999-8F249D60799F}
37.0,J K Spot LLC,Brooklyn,yes,{A0CEE574-EB29-46F3-8740-AEF9EC23B260},
33.0,TAQUERIA LA NORTENA CORP,Brooklyn,yes,{415459CF-AAC7-4A3D-8C4F-16AF1620B601},
39.0,china glatt,Brooklyn,yes,{4C640CFE-EFE9-48D5-867D-502B13A97E94},
34.0,"Sherwood's Keep,inc",Queens,no,{65CBC7AE-C42E-42C5-829B-3126D158164F},
6.0,Cobra Restaurant Inc.,Manhattan,no,{B2DF6704-044B-47C1-89F9-E46218438B00},
9.0,LUCILLE'S COFFEE AND COCKTAILS,Manhattan,no,{32B94A38-F33C-44A6-8498-CA4A55B9EC84},
1.0,Breads Bakery,Manhattan,yes,,{95B03864-17FF-43AD-8066-E8045C263B97}
15.0,TROPILYZ B RESTAURANT INC,Bronx,no,{DFF5C0D6-07E8-4028-88BC-7EB7FBD24D55},
38.0,Fish and Beef,Brooklyn,yes,{ADEB0013-B787-417C-8D62-8657AC3939CA},
1.0,HOU YI HOT POT,Manhattan,yes,{C42FEC0F-0B4B-4EDD-821C-F21A06BB5F76},
,Noree Thai Bazaar,Manhattan,yes,{B2380BF7-7318-4CC5-8B3E-0A945616C75C},
20.0,Fukuoka Food inc,Queens,no,{754738E6-1581-4F79-8571-F2CBD2782D85},
33.0,Ihop,Brooklyn,no,{30D58760-401F-4E07-8F59-B1D956F83F11},
3.0,Basta Pasta,Manhattan,yes,{4DA0FA7B-DAAD-4D0D-840E-764611D01EFE},
4.0,Smith & Wollensky,Manhattan,yes,{402B1DB6-5628-46C0-83E0-283E8D97FC78},
20.0,Kakurega Japanese Cuisine,Queens,yes,{EDE0BDE5-97F5-4FD5-8501-AC3F679216AC},
,1974,Brooklyn,yes,5be2bf16-1d12-4a3b-8a48-e9b931e8bf6d,
,Wepa La Arepa,Brooklyn,no,{5F74A534-629E-47B0-8DF8-D6205DDC7A25},
15.0,The Bronx Beer Hall,Bronx,yes,,34271bf0-45e2-4881-8991-30f7842c5017
1.0,jaya 888,Manhattan,yes,,33c98c02-fda5-4366-8b3a-2f8a4845e37d
2.0,SWEETGREEN,Manhattan,yes,{DA6BC821-B661-40D2-8F91-93C71B189C45},
3.0,MARKET TABLE,Manhattan,yes,,{940B1524-79F1-4AA5-8729-1FF5F6962530}
4.0,Fleming By Le Bilboquet,Manhattan,yes,{5A0F9168-3D6D-4179-89A6-5FDD32EB850C},
13.0,MCDONALD'S,Bronx,no,{653C3C43-0A1F-46FE-8169-9ABC472500F8},
33.0,Ample Hills Creamery,Brooklyn,no,{E76DE63C-AA88-451F-8976-2129FCEC491E},
1.0,CHA CHAN TANG,Manhattan,yes,{414BB7F7-8A96-4274-8902-D505012E3B85},
2.0,"Blossom Union Square, Inc.",Manhattan,no,{935B8DC4-673E-4BD3-835A-436EDF6D25F6},
1.0,APPETHAIZE,Manhattan,yes,{41D67F68-B5DA-48CD-8E05-6AB0C0B59F6D},
1.0,SWEETGREEN,Manhattan,no,,{E218DD57-8684-4E0D-8238-778D57E702E6}
1.0,Springbone Kitchen,Manhattan,no,,{3F2B4026-DF96-4366-88CB-3D10DC67D8D6}
2.0,SAN MARZANO,Manhattan,yes,,{101126BA-B696-4B06-855A-1E87CCF47B3E}
20.0,CHINESE RESTAURANT,Queens,yes,{53991CB4-082F-4D87-8985-74CD3ACB71DA},
4.0,Javelina,Manhattan,yes,{ADF4DDA3-EC5E-430B-8119-A6A16E510F26},
10.0,MCDONALD'S,Manhattan,no,{F97BFEB2-F5A6-4A4A-82F9-E7FC222F2A4A},
19.0,Thai101,Queens,no,{87D00DDC-509C-4D07-81B1-5D2C03B84107},
1.0,388 CAFE &amp; DELI,Manhattan,no,{301312D9-3CD8-4E45-8AED-EAE78EED1EA2},
33.0,Royal Falafel and shawarma Inc.,Brooklyn,yes,{4D48DE2B-ABE9-4363-8709-ACBAE2A336C8},
,Sunrise Mart Inc.,Manhattan,yes,{22CA7F2F-9A0A-45AB-8676-D5BDF29C701D},
1.0,Manhattan Island Group LLC,Manhattan,yes,,{CC212DCE-D58F-4C3E-8FDC-2E4C52A84171}
3.0,MISHKA SOHO,Manhattan,yes,,{98DECECD-2729-453A-8F66-42A19FA5C6AF}
,Excellent Deli Corp,Brooklyn,no,d9d40896-1f47-4100-867e-0a41b7eef69d,
,wine escape inc.,Manhattan,yes,{0413D3F4-A5AA-495B-8452-EE2BFB043FD5},
3.0,One on One Domestic Corporation,Manhattan,no,{069CBB39-AE8A-479E-854B-69CEA6FDE9DB},
35.0,BEER STREET SOUTH,Brooklyn,no,{581DFA07-5F64-4FC0-8960-B5BCB2077C68},
4.0,Le Pain Quotidien,Manhattan,yes,{E160C2CA-FB1F-4065-8277-F790AF64FD0C},
35.0,Graziella's Restaurant,Brooklyn,yes,8e70838c-e737-47f0-87e8-f062d915a8dd,
,Patzeria Perfect Pizza,Manhattan,yes,{817C01F6-2C8A-4EFE-8B6D-6A2D0A656F3B},
,Asian Kabab and Curry Inc,Brooklyn,yes,{55E1297F-3A71-4902-822C-69FB043C0B58},
,Don Giovanni ristorante,Manhattan,yes,{F1247218-BCAA-4DE1-8BF5-82FFAE61C3FA},
,The Wolfhound,Queens,no,30cd345f-8134-49a6-8cf7-4f9ad9ae6c48,
4.0,VIA QUADRONNO,Manhattan,yes,,{83D70763-7B71-4D70-8D8E-941E741E3D49}
4.0,THE MAZE,Manhattan,yes,{49922736-8EF8-4DBD-8D94-26F53F7D5818},
1.0,MUSEUM OF ICE CREAM,Manhattan,yes,,{E7741475-1F60-48B9-8F32-AA08F8CC5792}
45.0,LA Products and Services Corp,Brooklyn,yes,{4B48B0F3-A472-447F-834C-A6D8B2FEFF2B},
4.0,SWEET GREEN,Manhattan,yes,,{1089FDC1-A087-4709-8327-8E66DA507FF3}
25.0,Prince Kababish & Chinese restaurant,Queens,yes,{096E1404-EBAE-48F5-8DDF-8ABD9D1F57D1},
23.0,Fresh Sub 168 Inc,Queens,no,{9D8FA13C-DF64-42FE-819A-B8461874DB4D},
30.0,PETER'S GRILL & BAR CORP,Queens,yes,{D3965FFC-941A-47C1-8FE0-F75E4B9AC0D4},
26.0,Mansion,Queens,yes,{A17550E8-CA9F-4D84-8DF1-439F7280766D},
4.0,hanamichi,Manhattan,yes,{23E55174-30C7-4A8E-8174-26A4701EDA03},
20.0,Kyuramen,Queens,yes,{D70E6028-76C4-4BBF-8A15-4F4D5AB2350C},
38.0,La Cabana,Brooklyn,no,{0D45F856-FFE6-4F0E-8F33-6F8797650F0A},
39.0,la villa pizza,Brooklyn,yes,{FE63E11B-1E7A-437F-820E-B4FA74C8E009},
2.0,THE IZAKAYA,Manhattan,yes,50e6ec3b-fb79-4ffa-851f-d6503432b455,
3.0,NEW YORK BURGER CO.,Manhattan,yes,,{10FDF162-CD3F-4B8D-8FC3-B2E4487B7C55}
24.0,NAOMI KOSHER PIZZA,Queens,yes,{B94703FD-9F68-495F-8F9D-B393B1177383},
33.0,Rikovi & Sean Ltd,Brooklyn,yes,1254d70e-9a6f-46dd-8708-6dfe0d5ed1c0,
37.0,EL TIPICO RESTAURANT,Brooklyn,yes,{740260A2-1BF7-435C-8CE4-E5E65D36C271},
4.0,Kurant,Manhattan,yes,e48bdde6-339e-42af-8122-504e7f693922,
26.0,BISTRO PUNTA SAL,Queens,yes,{AFF6198F-799C-4C1C-86B8-C1C143B21619},
1.0,81 PEARL STREET V ENTURE LTD,Manhattan,no,,{46F009AC-1DF9-4F39-8973-01E407466B67}
5.0,TC Ventures Inc,Manhattan,no,{7B2532AF-7B0A-41AA-8EC9-211A066B7EFA},
2.0,SWEETGREEN,Manhattan,yes,,{CF474F88-0AF3-4888-8981-AFD8F6D083AB}
3.0,Meme,Manhattan,yes,,{074B4639-501C-4DDF-8014-DC0C0C790A98}
47.0,Kobe 1 Inc.,Brooklyn,yes,{125A71BA-6C13-43EC-847E-C1D45A082D44},
36.0,BASQUIAT'S BOTTLE,Brooklyn,yes,{10088577-57E5-4117-828B-BEAABAEE0FFF},
1.0,Il Brigante Restaurant,Manhattan,no,,{F916872C-A8F1-4150-8A20-2307EA416D99}
34.0,Tong,Brooklyn,yes,{D72DC877-05B2-49C1-8464-CECDB2927606},
35.0,Wild Birds,Brooklyn,yes,{C7326999-AD5E-401B-80AB-1BF0AB5C9204},
,Tito Murphys,Manhattan,yes,a323f70c-c586-42a7-8f87-53b230fb1a95,
4.0,Woorjiip,Manhattan,yes,{E39DF9BD-0E56-42B8-8951-2CC9FD8A40F5},
5.0,BAREBURGER,Manhattan,yes,{C7D196E4-9292-4296-8854-8E9A76FADBF8},
20.0,Alley41,Queens,yes,,{EE262C92-ACA4-48C9-8408-D81B8A14C0D4}
2.0,Atlas,Manhattan,yes,{E579AE2A-5594-44F2-85B2-0749B29577B0},
6.0,PIO PIO,Manhattan,yes,{656EAFEB-378C-4D5E-8DA5-8D9E39275326},
3.0,Worthwild,Manhattan,yes,,{75898B31-C7D6-46FB-85C2-3B6F99D946B7}
34.0,absurd conclave,Brooklyn,yes,{BA34B317-FCC5-41E2-889F-539C361E3A84},
1.0,Milk Bar,Manhattan,yes,{22E24D7B-B3F6-4424-81B3-8821F554A38E},
38.0,SUBWAY,Brooklyn,no,{A47D5AF3-C552-4EC0-80A8-868365BA3700},
34.0,DEMI-MONDE,Brooklyn,no,{C5319931-7AD3-4F02-8C8B-B9CEE19B3909},
34.0,Farewell Group LLC,Brooklyn,yes,{FA5C9C6B-0290-4E23-8DD3-C9ABC42DACA1},
31.0,ISLAND FUSION FOODS,Queens,yes,{A7363CAC-B14B-4CC9-80F1-C4EDEE59267F},
19.0,TOSOCCHON,Queens,no,{238E0C84-0AD1-43E0-8A41-1CA6B17E329C},
25.0,LOS CAFETALES RESTAURANT CORP,Queens,no,{AF0E6C9E-5607-4377-8DF5-7D895659767B},
4.0,MALA PROJECT,Manhattan,yes,{7EA632D4-F01B-46CF-8295-3378F4C8CA6C},
5.0,Osteria Nando,Manhattan,yes,86223bbc-e911-4dcb-847a-eea77e4f2f12,
22.0,Paris Oven Inc,Queens,no,24e91288-b49c-4ea5-850c-378a7779d72d,
20.0,FOUR FOUR SOUTH VILLAGE TAIPEI BEEF NOODLES,Queens,yes,{3D399360-CF5D-4E73-8190-1E37AD15748D},
25.0,TASTE OF LAHORE,Queens,yes,{6C842D1A-9350-4DB3-8C20-1E27D5266B54},
