source_relation,_fivetran_synced,asin,identifier,identifier_type,marketplace_id
amazon_selling_partner.public,2024-03-13 07:24:00,B0E7STG8471,5948008,UPC,MPIDRANDOM
amazon_selling_partner.public,2024-11-30 01:09:45,B0E7STG9249,5948009,ASIN,MPIDRANDOM
amazon_selling_partner.public,2024-05-06 21:35:05,B0E7STG4870,5948010,EAN,MPIDRANDOM
amazon_selling_partner.public,2024-03-28 19:37:20,B0E7STG6228,5948011,GTIN,MPIDRANDOM
amazon_selling_partner.public,2024-11-29 18:49:00,B0E7STG3370,5948012,ISBN,MPIDRANDOM
amazon_selling_partner.public,2024-07-24 01:56:30,B0E7STG6880,5948013,JAN,MPIDRANDOM
amazon_selling_partner.public,2025-01-23 09:51:48,B0E7STG6108,5948014,MINSAN,MPIDRANDOM
amazon_selling_partner.public,2024-07-17 03:53:32,B0E7STG3881,5948015,SKU,MPIDRANDOM
amazon_selling_partner.public,2024-05-28 06:18:32,B0E7STG6463,5948016,UPC,MPIDRANDOM
amazon_selling_partner.public,2024-02-26 09:55:37,B0E7STG1307,5948017,ASIN,MPIDRANDOM
amazon_selling_partner.public,2024-03-20 22:27:43,B0E2STG2962,5948018,EAN,MPIDRANDOM
amazon_selling_partner.public,2024-07-31 00:34:22,B0E7STG4686,5948019,GTIN,MPIDRANDOM
amazon_selling_partner.public,2024-04-03 06:52:49,B0E7STG7897,5948020,ISBN,MPIDRANDOM
amazon_selling_partner.public,2024-02-13 00:20:27,B0E7STG1150,5948021,JAN,MPIDRANDOM
amazon_selling_partner.public,2024-08-01 08:02:17,B0E7STG4612,5948022,MINSAN,MPIDRANDOM
amazon_selling_partner.public,2024-05-02 01:04:13,B0E7STG1246,5948023,SKU,MPIDRANDOM
amazon_selling_partner.public,2024-03-09 07:23:00,B0E7STG5474,5948024,UPC,MPIDRANDOM
amazon_selling_partner.public,2024-01-31 07:49:07,B0E7STG6072,5948025,ASIN,MPIDRANDOM
amazon_selling_partner.public,2024-12-05 23:01:44,B0E7STG4480,5948026,EAN,MPIDRANDOM
amazon_selling_partner.public,2024-10-18 22:19:49,B0E7STG5204,5948027,GTIN,MPIDRANDOM
amazon_selling_partner.public,2024-07-25 17:04:54,B0E7STG2857,5948028,ISBN,MPIDRANDOM
amazon_selling_partner.public,2024-03-03 14:09:31,B0E7STG5913,5948029,JAN,MPIDRANDOM
amazon_selling_partner.public,2024-04-05 11:04:32,B0E7STG6775,5948030,MINSAN,MPIDRANDOM
amazon_selling_partner.public,2024-07-31 17:11:57,B0E7STG7251,5948031,SKU,MPIDRANDOM
amazon_selling_partner.public,2024-08-30 16:31:46,B0E7STG3615,5948032,UPC,MPIDRANDOM
amazon_selling_partner.public,2024-09-21 18:43:49,B0E7STG6802,5948033,ASIN,MPIDRANDOM
amazon_selling_partner.public,2024-06-12 03:06:36,B0E7STG8958,5948034,EAN,MPIDRANDOM
amazon_selling_partner.public,2024-04-01 23:26:24,B0E7STG1102,5948035,GTIN,MPIDRANDOM
amazon_selling_partner.public,2024-03-28 23:56:54,B0E7STG9465,5948036,ISBN,MPIDRANDOM
amazon_selling_partner.public,2024-07-08 05:59:48,B0E7STG3945,5948037,JAN,MPIDRANDOM
amazon_selling_partner.public,2024-05-18 16:20:04,B0E7STG1846,5948038,MINSAN,MPIDRANDOM
amazon_selling_partner.public,2024-12-27 15:53:37,B0E7STG9963,5948039,SKU,MPIDRANDOM
amazon_selling_partner.public,2024-10-14 00:50:42,B0E7STG4464,5948040,UPC,MPIDRANDOM
amazon_selling_partner.public,2024-08-18 22:23:23,B0E7STG6452,5948041,ASIN,MPIDRANDOM
amazon_selling_partner.public,2024-10-16 15:44:54,B0E7STG8651,5948042,EAN,MPIDRANDOM
amazon_selling_partner.public,2024-04-08 04:51:04,B0E7STG2962,5948043,GTIN,MPIDRANDOM
amazon_selling_partner.public,2024-06-03 07:31:20,B0E7STG1843,5948044,ISBN,MPIDRANDOM
amazon_selling_partner.public,2024-10-31 00:05:54,B0E7STG2877,5948045,JAN,MPIDRANDOM
amazon_selling_partner.public,2024-05-29 01:22:00,B0E7STG5820,5948046,MINSAN,MPIDRANDOM
amazon_selling_partner.public,2024-05-13 01:18:35,B0E7STG4583,5948047,SKU,MPIDRANDOM
amazon_selling_partner.public,2024-08-28 21:48:51,B0E7STG8517,5948048,UPC,MPIDRANDOM
amazon_selling_partner.public,2024-07-07 11:56:55,B0E7STG4890,5948049,ASIN,MPIDRANDOM
amazon_selling_partner.public,2024-07-01 04:26:22,B0E7STG9714,5948050,EAN,MPIDRANDOM
amazon_selling_partner.public,2024-05-04 17:23:14,B0E7STG4951,5948051,GTIN,MPIDRANDOM
amazon_selling_partner.public,2024-06-15 21:07:01,B0E7STG9825,5948052,ISBN,MPIDRANDOM
amazon_selling_partner.public,2024-10-28 19:07:17,B0E7STG6668,5948053,JAN,MPIDRANDOM
amazon_selling_partner.public,2024-04-23 18:32:00,B0E7STG6940,5948054,MINSAN,MPIDRANDOM
amazon_selling_partner.public,2024-03-19 00:09:06,B0E7STG1464,5948055,SKU,MPIDRANDOM
amazon_selling_partner.public,2024-10-13 08:01:43,B0E7STG2635,5948056,UPC,MPIDRANDOM
amazon_selling_partner.public,2024-05-09 20:14:09,B0E7STG6311,5948057,ASIN,MPIDRANDOM
amazon_selling_partner.public,2024-03-07 03:51:58,B0E7STG2301,5948058,EAN,MPIDRANDOM
amazon_selling_partner.public,2024-09-06 05:38:55,B0E7STG7800,5948059,GTIN,MPIDRANDOM
amazon_selling_partner.public,2024-02-18 06:59:09,B0E7STG6338,5948060,ISBN,MPIDRANDOM
amazon_selling_partner.public,2024-06-01 13:31:17,B0E7STG6512,5948061,JAN,MPIDRANDOM
amazon_selling_partner.public,2024-08-21 00:54:01,B0E7STG5084,5948062,MINSAN,MPIDRANDOM
amazon_selling_partner.public,2024-01-28 00:12:26,B0E7STG1689,5948063,SKU,MPIDRANDOM
amazon_selling_partner.public,2024-04-29 16:33:51,B0E7STG1501,5948064,UPC,MPIDRANDOM
amazon_selling_partner.public,2024-08-25 07:18:42,B0E7STG3302,5948065,ASIN,MPIDRANDOM
amazon_selling_partner.public,2024-02-10 21:33:05,B0E7STG4846,5948066,EAN,MPIDRANDOM
amazon_selling_partner.public,2025-01-01 11:48:59,B0E7STG1857,5948067,GTIN,MPIDRANDOM
amazon_selling_partner.public,2024-05-25 01:25:09,B0E7STG9484,5948068,ISBN,MPIDRANDOM
amazon_selling_partner.public,2024-05-26 03:58:08,B0E7STG9270,5948069,JAN,MPIDRANDOM
amazon_selling_partner.public,2024-04-30 06:21:13,B0E7STG1444,5948070,MINSAN,MPIDRANDOM
amazon_selling_partner.public,2024-09-12 03:08:28,B0E7STG4557,5948071,SKU,MPIDRANDOM
amazon_selling_partner.public,2024-05-11 13:40:19,B0E7STG4684,5948072,UPC,MPIDRANDOM
amazon_selling_partner.public,2024-09-01 01:24:47,B0E7STG4263,5948073,ASIN,MPIDRANDOM
amazon_selling_partner.public,2024-06-16 19:44:35,B0E7STG4368,5948074,EAN,MPIDRANDOM
amazon_selling_partner.public,2024-03-30 18:38:20,B0E7STG9074,5948075,GTIN,MPIDRANDOM
amazon_selling_partner.public,2024-02-13 15:20:39,B0E7STG9062,5948076,ISBN,MPIDRANDOM
amazon_selling_partner.public,2024-04-20 08:07:53,B0E7STG5938,5948077,JAN,MPIDRANDOM
amazon_selling_partner.public,2025-01-10 23:56:06,B0E7STG1636,5948078,MINSAN,MPIDRANDOM
amazon_selling_partner.public,2024-11-20 08:11:06,B0E7STG2699,5948079,SKU,MPIDRANDOM
amazon_selling_partner.public,2024-04-09 05:01:48,B0E7STG3532,5948080,UPC,MPIDRANDOM
amazon_selling_partner.public,2024-01-31 03:06:29,B0E7STG3510,5948081,JAN,MPIDRANDOM
amazon_selling_partner.public,2024-08-11 03:34:22,B0E7STG3787,5948082,MINSAN,MPIDRANDOM
amazon_selling_partner.public,2024-03-28 23:06:15,B0E7STG5917,5948083,SKU,MPIDRANDOM
amazon_selling_partner.public,2025-01-09 17:01:53,B0E7STG1691,5948084,UPC,MPIDRANDOM
