qrent,qschooltravelcode17,qstudenttravelcode05,qpackagedeliver,qbiketype2,qschooltravelcode15,qcarreducea9,qlanguagepref,qstudenttravelcode17,qworktravelcode06,gchild1_qchild1_ma,qnoelectric2,qworktravelcode20,qridehail2,qpostalstore,qtransportnosubway09,qtimework3,qworktravelcode16,qschooltravelcode19,qridehail7,qstudenttravelcode11,qcarincreasea5,qshare8,qbikewhynot4,qdisability4,qautovehiclefam,gcitibk1_qcitibikeissues2,qschooltransitfrom7,qnoelectric6,qschooltransitfrom1,qziphome,qcarhybrid5,qschool,qtransportnobus11,qstudenttravelcode08,qridehail8,qchild2schooladdr,qbikeride,qtimehome2,qschooltravelcode02,qchild1schooladdr,qnocitibike09,qtransportnobus08,qcaraccess,qchild3schooladdr,qworktravelcode02,qsubwayservice,qcarreducea1,qbikewhy6,qwelfare4,qtransportnobus01,qbikeown,qbikewhy2,qfreight_cmb7,qsmartphone,qschooltravelcode10,qbikewhynot1,qstudenttravelcode18,qnoelectric7,qcarincreasea3,gcarpark1_qcarpark2_ma,qschooltravelcode14,qtransportnobus04,qstudenttravelcode16,qcarhybrid6,qschooltravelcode20,qstudenttravelcode07,qworktravelcode23
Own,,No,My doorstep,No,,,,No,No,,,No,,,,,No,,,No,,No,Yes,No,Not very familiar,,,,,11691.0,,"No, I do not attend school",,No,,,Never,9:30pm,,,Yes,,I personally own or lease a car,,No,Getting better,,,No,,Yes,,Yes,No,,No,No,,,On the street,,,No,,,No,No
Own,,No,My doorstep,,,,English,No,,,,,,,No,,,,,No,,No,No,No,Somewhat familiar,,,,,11103.0,,"Yes, I attend school full time",,No,,,Never,,,,Yes,,"I do not personally own or lease a car, but I have access to a car belonging to a member of my household",,,Getting worse,,,No,,No,,Yes,Yes,,No,No,,,,,,No,,,No,
Rent,,No,My doorstep,,,,English,No,No,,,No,No,,,,No,,No,No,,No,,No,Not very familiar,,,,,11375.0,,"No, I do not attend school",,No,No,,Physically unable to ride a bike,,,,Yes,,I do not have access to a car,,Yes,Staying the same,,,No,,No,,Yes,Yes,,,No,,,,,,No,,,No,No
Rent,,No,My doorstep,,,,English,No,No,,,No,,,,,No,,,No,,No,Yes,No,Somewhat familiar,,,,,10031.0,,"No, I do not attend school",,No,,,Never,,,,No,,I personally own or lease a car,,Yes,Getting worse,,,No,,No,,No,Yes,,No,No,,,,,,No,,,No,No
Rent,,No,My doorstep,,,,,No,No,,,No,No,,,,No,,No,No,,No,,No,Somewhat familiar,,,,,11226.0,,"No, I do not attend school",,No,No,,,,,,No,,I personally own or lease a car,,Yes,Refused,,,No,,No,,No,Yes,,,No,,,,,,No,,,No,No
Rent,,No,A postal store,,,No,English,No,,,,,,3-5 blocks,No,,,,,No,,No,,No,Not very familiar,Somewhat frequently,,,,11220.0,,"No, I do not attend school",,No,,,At least once a month,,,,,,I do not have access to a car,,,Getting better,Yes,No,No,,No,No,No,Yes,,,No,,,,,,No,,,No,
Rent,No,No,My lobby,No,No,,English,No,No,Yes,,No,,,,,No,No,,No,,No,,No,Not at all familiar,Not at all frequently,,,,11212.0,,"No, I do not attend school",,No,,,Several times a month,,No,Brooklyn,,,I do not have access to a car,,Yes,Getting worse,,No,No,,Yes,No,No,Yes,No,,No,,,,No,,No,,No,No,No
Own,,No,My doorstep,,,,,No,No,,,No,Yes,,No,,No,,No,No,,No,,No,Somewhat familiar,,,,,10024.0,,"No, I do not attend school",,No,No,,,,,,No,,I do not have access to a car,,No,Getting worse,,,No,,No,,No,Yes,,,No,,,,,,No,,,No,No
Own,,No,My doorstep,No,,,English,No,,,Yes,,No,,No,,,,No,No,No,No,,No,,,,No,,11418.0,,"No, I do not attend school",,No,No,,At least once a month,,,,No,,I personally own or lease a car,,,Getting worse,,No,No,,Yes,No,Yes,Yes,,,No,No,Yes,,,,No,,,No,
Rent,,No,My workplace,,,,English,No,No,,,No,,,No,,No,,,No,,No,,No,,,,,,11355.0,,"No, I do not attend school",,No,,,Physically unable to ride a bike,,,,No,,I do not have access to a car,,No,Getting worse,,,No,,No,,Yes,Yes,,,No,,,,,,No,,,No,No
Rent,,No,My lobby,No,,,English,No,,,,,,,,,,,,No,,No,Yes,No,Somewhat familiar,Somewhat frequently,,,,11377.0,,"No, I do not attend school",,No,,,A few times a year,,,,,,"I do not personally own or lease a car, but I have access to a car belonging to a member of my household",,,Getting worse,,,No,,Yes,,No,Yes,,No,No,,,,,,No,,,No,
Rent,No,No,My doorstep,No,No,,,No,No,Yes,,No,No,,,,No,No,No,No,,No,,No,Not at all familiar,,,,,11207.0,,"No, I do not attend school",No,No,No,Brooklyn,A few times a year,,Yes,Brooklyn,No,No,I personally own or lease a car,,No,Staying the same,,,No,No,Yes,,No,Yes,No,,No,,,On the street,No,No,No,,No,No,No
Rent,,No,My lobby,,,,English,No,No,,,No,Yes,,,,No,,No,No,,No,Yes,No,Somewhat familiar,,,,,11354.0,,"No, I do not attend school",,No,No,,Never,,,,No,,I do not have access to a car,,Yes,Staying the same,,,No,,No,,Yes,Yes,,No,No,,,,,,No,,,No,No
Own,,No,My doorstep,No,,,,No,No,,,No,,,,,No,,,No,,No,No,No,Somewhat familiar,,,,,11235.0,,"No, I do not attend school",,No,,,A few times a year,,,,No,,I do not have access to a car,,Yes,Staying the same,,,No,,Yes,,No,Yes,,No,No,,,,,,No,,,No,No
Own,,No,My lobby,,,,,No,No,,,No,Yes,,,,No,,No,No,,No,No,No,Somewhat familiar,Somewhat frequently,,,,10023.0,,"No, I do not attend school",,No,No,,A few times a year,,,,,,I personally own or lease a car,,Yes,Getting worse,,,No,,No,,Yes,Yes,,Yes,No,,,,,,No,,,No,No
Rent,,No,My doorstep,No,,,English,No,No,,,No,,,,,No,,,No,,No,Yes,No,Not at all familiar,,,,,10306.0,,"Yes, I attend school part time",,No,,,Never,,,,No,,I personally own or lease a car,,No,Getting worse,,,No,,Yes,,No,Yes,,No,No,,,,,,No,,,No,No
Rent,,No,Other,,,,English,No,,,,,,,,,,,,No,,No,No,No,Not very familiar,,,,,10462.0,,"No, I do not attend school",,No,,,Never,,,,No,,I personally own or lease a car,,,Getting worse,,,No,,No,,Yes,Yes,,Yes,No,,,,,,No,,,No,
Rent,,No,My doorman,,,,English,No,No,,,No,,,,,No,,,No,,No,Yes,No,Not at all familiar,,,,,10065.0,,"No, I do not attend school",,No,,,Never,,,,No,,Other,,Yes,Getting worse,,,No,,No,,No,Yes,,Yes,No,,,,,,No,,,No,No
Rent,,No,My workplace,,,,English,No,No,,,No,No,,,,No,,No,No,,No,No,No,Somewhat familiar,,,,,10034.0,,"No, I do not attend school",No,No,No,,Never,,,,No,No,I do not have access to a car,,Yes,Getting worse,,,No,Yes,No,,Yes,Yes,,Yes,No,,,,,No,No,,,No,No
Own,,No,My doorstep,,,,,No,,,,,No,,,,,,No,No,,No,,No,Not very familiar,,,,,11229.0,,"No, I do not attend school",,No,No,,,,,,No,,"I do not personally own or lease a car, but I have access to a car belonging to a member of my household",,,Staying the same,,,No,,No,,Yes,Yes,,,No,,,,,,No,,,No,
Own,No,No,An alternative address (i.e. a family member or friend's),,No,,,No,No,Yes,,No,Yes,Less than 1 block,No,,No,No,No,No,,No,,No,Somewhat familiar,,,,,11215.0,,"No, I do not attend school",,No,No,Brooklyn,,,No,Brooklyn,No,,I personally own or lease a car,,Yes,Getting worse,,,No,,No,,No,Yes,No,,No,,,,No,,No,,No,No,No
Rent,,No,My lobby,,,,English,No,No,,,No,,,No,,No,,,No,,No,No,No,Somewhat familiar,,,,,10019.0,,"No, I do not attend school",,No,,,Never,,,,No,,"I do not personally own or lease a car, but I have access to a car belonging to a member of my household",,No,Getting worse,,,No,,No,,Yes,Yes,,Yes,No,,,In a single family home garage or driveway,,,No,,,No,No
Rent,No,No,My doorstep,,No,,,No,No,Yes,,No,Yes,,No,,No,No,No,No,,No,No,No,Somewhat familiar,,,,,10009.0,,"No, I do not attend school",No,No,No,Manhattan,Never,,No,Manhattan,No,No,I personally own or lease a car,,Yes,Getting worse,,,No,Yes,No,,No,Yes,No,Yes,No,,,,No,Yes,No,,No,No,No
Own,No,No,My lobby,No,No,,,No,No,Yes,,No,No,,No,,No,No,No,No,,No,No,No,Not at all familiar,Not at all frequently,,,,11214.0,,"No, I do not attend school",,No,No,Brooklyn,Never,,Yes,Brooklyn,,,I personally own or lease a car,,No,Getting worse,,,No,,Yes,,No,Yes,No,No,No,,,,No,,No,,No,No,No
Own,,No,My doorstep,,,,,No,,,,,,,,,,,,No,,No,No,No,Not very familiar,,,,,11379.0,,,,No,,,Never,,,,No,,I do not have access to a car,,,Staying the same,,,Yes,,No,,No,No,,No,No,,,,,,No,,,No,
Rent,,No,My doorstep,,,,English,No,No,,,No,No,,,,No,,No,No,,No,Yes,No,Somewhat familiar,,,,,11377.0,,"No, I do not attend school",,No,No,,Never,,,,No,,I personally own or lease a car,,No,Staying the same,,,No,,No,,No,Yes,,No,No,,,,,,No,,,No,No
Own,,No,My doorstep,,,,English,No,No,,,No,,,,,No,,,No,,No,No,No,Not very familiar,,,,,11372.0,,"No, I do not attend school",,No,,,Never,,,,No,,I do not have access to a car,,Yes,Staying the same,,,No,,No,,No,Yes,,No,No,,,,,,No,,,No,No
Own,,No,Other,,,,English,No,No,,,No,Yes,,,,No,,No,No,,No,No,No,Not very familiar,,,,,10033.0,,"No, I do not attend school",,No,No,,Never,,,,No,,I do not have access to a car,,Yes,Getting worse,,,No,,No,,Yes,Yes,,No,No,,,,,,No,,,No,No
Rent,,No,,,,,English,No,,,,,,,No,,,,,No,,No,No,No,Somewhat familiar,,,,,10029.0,,"No, I do not attend school",,No,,,A few times a year,,,,No,,"I do not personally own or lease a car, but I have access to a car belonging to a member of my household",,,Getting worse,,,No,,No,,Yes,Yes,,Yes,No,,,,,,No,,,No,
Rent,,No,My doorstep,No,,,English,No,No,,,No,,,,,No,,,No,,No,No,No,Somewhat familiar,,,,,11365.0,,"No, I do not attend school",,No,,,A few times a year,,,,No,,I personally own or lease a car,,No,Staying the same,,,No,,Yes,,No,Yes,,No,No,,,On the street,,,No,,,No,No
Own,,No,My doorman,,,,,No,,,,,,,,,,,,No,,No,Yes,No,Somewhat familiar,,,,,10021.0,,"No, I do not attend school",,No,,,Never,,,,No,,I do not have access to a car,,,Staying the same,,,No,,No,,Yes,Yes,,No,No,,,,,,No,,,No,
Own,,No,My doorstep,,,,,No,No,,,No,No,,,,No,,No,No,No,No,,No,Not very familiar,,,,,10314.0,,"Yes, I attend school full time",,No,No,,,,,,No,,I personally own or lease a car,,No,Staying the same,,,No,,No,,No,Yes,,,No,,No,In a single family home garage or driveway,,,No,,,No,No
Rent,No,No,My lobby,No,No,,,No,No,Yes,,No,No,,,,No,No,No,No,,No,,No,Not at all familiar,,,,,10464.0,,"No, I do not attend school",,No,No,The Bronx,Several times a month,,No,The Bronx,No,,I personally own or lease a car,,No,Staying the same,,No,No,,Yes,No,No,Yes,No,,No,,,,No,,No,,No,No,No
Rent,,No,My lobby,,,,English,No,,No,,,,,No,,,,,No,,No,No,No,Not at all familiar,,,,,10465.0,,"No, I do not attend school",,No,,,Never,,,,No,,I do not have access to a car,,,Getting worse,,,No,,No,,Yes,Yes,,No,No,,,,,,No,,,No,
Own,,No,My doorstep,,,,English,No,No,,,No,,,No,,No,,,No,,No,Yes,No,Not at all familiar,,,,,11367.0,,"No, I do not attend school",,No,,,Never,12PM,,,No,,I personally own or lease a car,,No,Getting worse,,,No,,No,,Yes,Yes,,Yes,No,,,,,,No,,,No,No
Rent,No,No,A postal store,,No,,,No,,Yes,,,,10-20 blocks,,,,No,,No,,No,No,No,Not at all familiar,,,,,11212.0,,"No, I do not attend school",,No,,,Never,,No,Brooklyn,No,,"I do not personally own or lease a car, but I have access to a car belonging to a member of my household",,,Staying the same,,,No,,No,,Yes,No,No,No,No,,,,No,,No,,No,No,
Rent,,No,"An alternative access point (i.e. Amazon locker, UPS, Access Point)",No,,No,English,No,No,,,No,,1-2 blocks,No,,No,,,No,,No,,No,Somewhat familiar,Somewhat frequently,,,,10033.0,,"No, I do not attend school",,No,,,Several times a month,4pm,,,,,I personally own or lease a car,,Yes,Getting better,No,No,No,,Yes,Yes,No,Yes,,,No,,,,,,No,,,No,No
Rent,,No,My doorstep,,,,,No,,,,,,,,,,,,No,,No,Yes,No,Not very familiar,,,,,10312.0,,"No, I do not attend school",,No,,,Never,,,,No,,I personally own or lease a car,,,Staying the same,,,No,,No,,Yes,Yes,,No,No,,,On the street,,,No,,,No,
Rent,,No,My doorstep,,,,English,No,,,,,,,,,,,,No,,No,No,No,Somewhat familiar,,,,,10303.0,,"No, I do not attend school",,No,,,Never,,,,No,,I do not have access to a car,,,Staying the same,,,No,,No,,Yes,Yes,,No,No,,,,,,No,,,No,
Own,,No,My doorstep,,,No,English,No,,,,,,,No,,,,,No,,No,Yes,No,Not very familiar,,,,,10305.0,,"No, I do not attend school",,No,,,Never,,,,No,,"I do not personally own or lease a car, but I have access to a car belonging to a member of my household",,,Getting worse,Yes,,No,,No,,Yes,Yes,,No,No,,,,,,No,,,No,
Rent,,No,My doorstep,,,,,No,No,,,No,No,,,,No,,No,No,,No,No,No,Not at all familiar,,,,,11204.0,,"No, I do not attend school",,No,No,,Never,,,,No,,I do not have access to a car,,No,Staying the same,,,No,,No,,No,Yes,,No,No,,,,,,No,,,No,No
Rent,,No,"An alternative access point (i.e. Amazon locker, UPS, Access Point)",,,,English,No,No,,Yes,No,Yes,1-2 blocks,No,6:00 p.m.,No,,No,No,No,No,,No,Not very familiar,,,No,,10031.0,,"No, I do not attend school",,No,No,,Several times a month,9:00 PM,,,No,,I do not have access to a car,,Yes,Getting worse,,No,No,,No,Yes,No,Yes,,,No,No,Yes,,,,No,,,No,No
Rent,,No,My doorstep,,,,English,No,,,,,Yes,,,,,,No,No,,No,Yes,No,Somewhat familiar,,,,,10305.0,,"No, I do not attend school",,No,No,,Never,,,,No,,I do not have access to a car,,,Staying the same,,,No,,No,,Yes,Yes,,No,No,,,,,,No,,,No,
Own,No,No,My doorstep,,No,,,No,,Yes,,,No,,,,,No,No,No,,No,,No,Not very familiar,,,,,10312.0,,"No, I do not attend school",,No,No,Staten Island,,,Yes,Staten Island,No,,I personally own or lease a car,,,Staying the same,,,No,,No,,No,Yes,No,,No,,,In a shared driveway,No,,No,,No,No,
Own,No,No,My workplace,,No,,English,No,No,Yes,,No,,,No,,No,No,,No,,No,Yes,No,Not very familiar,,,,,10034.0,,"No, I do not attend school",,No,,,A few times a year,,No,Manhattan,No,,I personally own or lease a car,,No,Getting worse,,,No,,No,,No,Yes,No,Yes,No,,,,No,,No,,No,No,No
Rent,,No,"An alternative access point (i.e. Amazon locker, UPS, Access Point)",,,No,English,No,,,,,No,3-5 blocks,,,,,No,No,,No,No,No,Not at all familiar,,,,,10031.0,,"No, I do not attend school",,No,No,,Never,,,,No,,I do not have access to a car,,,Getting worse,No,,No,,No,,Yes,Yes,,No,No,,,,,,No,,,No,
,,No,,,,,English,No,,,,,,,,,,,,No,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,No,,,No,
Own,,No,My doorstep,No,,,English,No,,,,,,,No,,,,,No,,No,,No,Not at all familiar,,,,,11106.0,,"No, I do not attend school",No,No,,,Several times a month,,,,No,No,I personally own or lease a car,,,Getting worse,,No,No,Yes,Yes,No,Yes,No,,,No,,,,,No,No,,,No,
Rent,,No,My doorstep,,,,English,No,No,,,No,,,No,,No,,,No,,No,No,No,Somewhat familiar,Somewhat frequently,,,,11417.0,,"No, I do not attend school",,No,,,A few times a year,,,,,,I personally own or lease a car,,No,Getting worse,,,No,,No,,No,Yes,,Yes,No,,,,,,No,,,No,No
Rent,,No,Other,,,,English,No,No,,,No,No,,,,No,,No,No,,No,No,No,Somewhat familiar,,,,,10455.0,,"No, I do not attend school",,No,No,,Never,,,,No,,I do not have access to a car,,Yes,Staying the same,,,No,,No,,Yes,Yes,,No,No,,,,,,No,,,No,No
Own,,No,My doorstep,,,,English,No,No,,,No,Yes,,,,No,,No,No,,No,Yes,No,Not very familiar,,,,,10310.0,,"No, I do not attend school",,No,No,,Never,,,,Yes,,I personally own or lease a car,,No,Staying the same,,,No,,No,,Yes,Yes,,No,No,,,,,,No,,,No,No
Rent,,No,An alternative address (i.e. a family member or friend's),,,,,No,No,No,,No,,1-2 blocks,,,No,,,No,,No,,No,Not at all familiar,,,,,11211.0,,"No, I do not attend school",,No,,,,,,,No,,I do not have access to a car,,No,Getting worse,,,No,,No,,No,No,,,No,,,,,,No,,,No,No
Own,,No,My doorstep,No,,,English,No,No,,Yes,No,Yes,,No,,No,,No,No,No,No,,No,Somewhat familiar,,,No,,11429.0,,"No, I do not attend school",No,No,No,,Once a week or more,,,,No,No,I personally own or lease a car,,No,Getting worse,,No,No,No,Yes,No,No,Yes,,,No,No,No,In a single family home garage or driveway,,Yes,No,,,No,No
Own,No,No,My doorstep,No,No,,,No,No,Yes,,No,Yes,,,,No,No,No,No,,No,,No,Very familiar,Not at all frequently,No,,Yes,10014.0,,"No, I do not attend school",,No,No,,Several times a month,,Yes,Manhattan,,,I do not have access to a car,,Yes,Getting worse,,No,No,,Yes,No,Yes,Yes,No,,No,,,,No,,No,,No,No,No
Rent,,No,My doorstep,No,,No,,No,,,,,No,,No,,,,No,No,,No,,No,Somewhat familiar,,,,,11363.0,,"No, I do not attend school",No,No,No,,Never,,,,No,No,I personally own or lease a car,,,Getting worse,No,,No,No,Yes,,Yes,Yes,,,No,,,In a single family home garage or driveway,,No,No,,,No,
Rent,No,No,A postal store,No,No,,English,No,,Yes,,,No,3-5 blocks,No,,,No,No,No,,No,Yes,No,Somewhat familiar,,,,,10453.0,,"No, I do not attend school",,No,No,,Never,,No,The Bronx,No,,I do not have access to a car,,,Getting worse,,,No,,Yes,,No,Yes,No,Yes,No,,,,No,,No,,No,No,
Rent,,No,My lobby,,,,English,No,No,,,No,,,,,No,,,No,,No,No,No,Not at all familiar,,,,,10032.0,,"No, I do not attend school",,No,,,Never,,,,,,I do not have access to a car,,Yes,Getting worse,,,No,,No,,Yes,Yes,,No,No,,,,,,No,,,No,No
Own,,No,My doorstep,,,,English,No,,,No,,,,,,,,,No,No,No,No,No,Not at all familiar,,,Yes,,10040.0,,"Yes, I attend school full time",,No,,,Never,,,,No,,I do not have access to a car,,,Getting worse,,,No,,No,,No,Yes,,Yes,No,No,No,,,,No,,,No,
Rent,,No,My lobby,,,,English,No,No,,,No,Yes,,,,No,,No,No,,No,No,No,Not at all familiar,Not very frequently,,,,11104.0,,"No, I do not attend school",,No,No,,A few times a year,,,,,,I do not have access to a car,,Yes,Staying the same,,,No,,No,,No,Yes,,No,No,,,,,,No,,,No,No
Own,,No,My doorstep,,,,English,No,No,,,No,,,,,No,,,No,,No,No,No,Not at all familiar,,,,,11354.0,,"No, I do not attend school",,No,,,Never,6,,,,,"I do not personally own or lease a car, but I have access to a car belonging to a member of my household",,Yes,Staying the same,,,No,,No,,Yes,Yes,,No,No,,,,,,No,,,No,No
Rent,,No,,,,,English,No,,,,,,,,,,,,No,,No,No,No,Not at all familiar,,,,,10025.0,,"No, I do not attend school",,No,,,Never,,,,No,,I do not have access to a car,,,Staying the same,,,No,,No,,No,Yes,,No,No,,,,,,No,,,No,
Rent,No,No,My doorstep,No,No,,English,No,No,Yes,,No,,,No,,No,No,,No,,No,,No,Somewhat familiar,,,,,10473.0,No,"No, I do not attend school",,No,,The Bronx,Once a week or more,,No,The Bronx,No,,I personally own or lease a car,Manhattan,No,Getting worse,,No,No,,Yes,Yes,No,Yes,No,,No,,,In a garage or lot in your apartment building,No,,No,No,No,No,No
Own,,No,My doorstep,,,No,,No,,,,,No,,,,,,No,No,,No,,No,Not at all familiar,,,,,11234.0,,"No, I do not attend school",,No,No,,,,,,No,,"I do not personally own or lease a car, but I have access to a car belonging to a member of my household",,,Staying the same,No,,No,,No,,No,Yes,,,No,,,,,,No,,,No,
Own,,No,My doorstep,,,,,No,,,,,,,,,,,,No,,No,No,No,Not very familiar,,,,,10303.0,,"No, I do not attend school",,No,,,Never,,,,No,,I personally own or lease a car,,,,,,No,,No,,Yes,No,,No,No,,,,,,No,,,No,
Rent,No,No,My lobby,,No,,,No,No,Yes,,No,,,,,No,No,,No,,No,Yes,No,Somewhat familiar,Not very frequently,,,,11417.0,,"No, I do not attend school",,No,,,A few times a year,,No,Queens,,,I personally own or lease a car,,Yes,Getting better,,,No,,No,,No,Yes,No,No,No,,,,No,,No,,No,No,No
Own,,No,My lobby,,,,,No,,,,,No,,,,,,No,No,,No,No,No,Not at all familiar,,,,,11360.0,,"No, I do not attend school",,No,No,,Never,,,,No,,I personally own or lease a car,,,,,,No,,No,,Yes,Yes,,No,No,,,,,,No,,,No,
Rent,,No,My doorman,No,,,,No,No,,,No,,,,,No,,,No,,No,No,No,Somewhat familiar,,,,,11217.0,,"No, I do not attend school",,No,,,Never,,,,No,,I personally own or lease a car,,Yes,Getting worse,,,No,,Yes,,No,Yes,,Yes,No,,,,,,No,,,No,No
Rent,,No,My doorstep,,,,English,No,No,,,No,,,,,No,,,No,,No,Yes,No,Not very familiar,,,,,11106.0,,"No, I do not attend school",,No,,,Never,,,,Yes,,I personally own or lease a car,,Yes,Getting worse,,,No,,No,,No,Yes,,Yes,No,,,,,,No,,,No,No
Own,No,No,"An alternative access point (i.e. Amazon locker, UPS, Access Point)",No,No,,,No,No,Yes,No,No,,3-5 blocks,No,,No,No,,No,No,No,,Yes,Somewhat familiar,Somewhat frequently,,No,,11204.0,,"No, I do not attend school",,No,,Brooklyn,Several times a month,very good,Yes,Brooklyn,,,I personally own or lease a car,,No,Getting worse,,No,No,,Yes,No,No,Yes,No,,No,No,Yes,In a garage or lot in your apartment building,No,,No,,No,No,No
Own,,No,My doorstep,No,,,,No,No,,,No,No,,,,No,,No,No,,No,,No,Somewhat familiar,,,,,10464.0,,"No, I do not attend school",,No,No,,A few times a year,,,,No,,I personally own or lease a car,,No,Staying the same,,,No,,Yes,,Yes,Yes,,,No,,,In a shared driveway,,,No,,,No,No
Rent,No,No,"An alternative access point (i.e. Amazon locker, UPS, Access Point)",,No,No,,No,No,Yes,,No,,1-2 blocks,No,,No,No,,No,,No,,Yes,Somewhat familiar,Very frequently,No,,No,10009.0,,"Yes, I attend school part time",,No,,,At least once a month,,No,Queens,,,I personally own or lease a car,,No,Getting worse,No,No,No,,No,No,Yes,No,No,,No,,,,No,,No,,No,No,No
Own,,No,My doorstep,,,,,No,,,,,No,,,,,,No,No,,No,,No,Not at all familiar,,,,,11212.0,,"No, I do not attend school",,No,No,,,,,,No,,I personally own or lease a car,,,Staying the same,,,No,,No,,Yes,Yes,,,No,,,In a single family home garage or driveway,,,No,,,No,
Own,,No,An alternative address (i.e. a family member or friend's),,,,English,No,,No,,,,6-10 blocks,No,,,,,No,,No,No,No,Somewhat familiar,,,,,10314.0,,"No, I do not attend school",,No,,,A few times a year,,,,No,,I personally own or lease a car,,,Getting worse,,,No,,No,,No,Yes,,No,No,,,,,,No,,,No,
Rent,No,No,An alternative address (i.e. a family member or friend's),,No,,,No,No,Yes,,No,No,,No,,No,No,No,No,,No,Yes,No,Somewhat familiar,,,,,11427.0,,"No, I do not attend school",,No,No,,Never,,No,Queens,No,,I do not have access to a car,,No,Getting better,,,No,,Yes,,No,Yes,No,No,No,,,,No,,No,,No,No,No
