name,swdseats_prog15,swdfilled_prog8,selectioncriteria5_prog7,swdseats_prog2,swdapps_prog9,code_prog12,swdapps_prog2,swdapps_prog12,swdfilled_prog12,name_prog11,swdseats_prog9,selectioncriteria3_prog3,bbl,geappsperseat_prog13,swdappsperseat_prog2,geappsperseat_prog2,priority6_prog1,languageclasses,admissionsmethod_prog9,sharedbuilding,name_prog2,name_prog10,swdfilled_prog1,geappsperseat_prog3,name_prog3,selectioncriteria1_prog13,swdseats_prog6,geappsperseat_prog14,admissionsmethod_prog10,champsgirls,eligibility_prog6,geapps_prog2,admissionsmethod_prog15,priority2_prog3,swdappsperseat_prog3,selectioncriteria1_prog5,swdfilled_prog14,district,swdappsperseat_prog5,selectioncriteria4_prog2,ellprograms,eligibility_prog12,admissionsmethod_prog7,gefilled_prog9,selectioncriteria2_prog3,other_features,swdappsperseat_prog9,swdapps_prog7,nta,name_prog5,selectioncriteria1_prog7,tophs3,geapps_prog11,community_board,swdseats_prog4,eligibility_prog1,name_prog14,swdappsperseat_prog14,name_prog8
The Anderson School (03M334),,,,,,,,,,,,,1011480014.0,,,,,Spanish,,1,,,1.0,,,,,,,Volleyball,,,,,,,,3,,,English as a New Language,,,,,,,,Upper West Side,,,,,107.0,,Open to New York City residents,,,
P.S. 189 The Bilingual Center (17K189),,,,,,,,,,,,,3045990001.0,,,,,French;Latin;Spanish,,0,,,1.0,,,,,,,,,,,,,,,17,,,English as a New Language;Dual Language: Spanish;Dual Language: Haitian Creole;Transitional Bilingual Education: Spanish;Transitional Bilingual Education: Haitian Creole,,,,,"Extended Day,Summer Session,Uniform,Weekend Program",,,Brownsville,,,,,317.0,,Open to students and residents of District 17,,,
I.S. 229 Roland Patterson (09X229),,,,,,,,,,,,,2028820130.0,,,,,Spanish,,0,ROLAND PATTERSON ASD HORIZON PROGRAM,,1.0,0.0,Dr. Roland N. Patterson School (I.S. 229)-Zoned Program,,,,,,,,,Then to Bronx students and residents,2.0,,,9,,,English as a New Language,,,,,"Summer Session,Uniform,Weekend Program",,,University Heights-Morris Heights,,,,,205.0,,Open to students and residents of the Bronx,,,
P.S. 184 Newport (23K184),,,,,,,,,,,,,3036060001.0,,,,,,,0,,,1.0,,,,,,,,,,,,,,,23,,,English as a New Language,,,,,,,,Brownsville,,,,,316.0,,Open to students and residents of District 23,,,
M.S. 224 Manhattan East School for Arts & Academics (04M224),,,,,,,,,,,,,1016930001.0,,,,,Spanish,,1,,,1.0,,,,,,,Dance,,,,,,,,4,,,English as a New Language,,,,,,,,East Harlem South,,,,,111.0,,Open to New York City residents,,,
South Bronx International Middle School (09X593),,,,,,,,,,,,,2024240001.0,,,,,,,1,,,1.0,,,,,,,,,,,,,,,9,,,English as a New Language,,,,,"Extended Day,Summer Session,Uniform,Weekend Program",,,East Concourse-Concourse Village,,,,,204.0,,Open to students and residents of the Bronx,,,
P.S. 288 The Shirley Tanyhill (21K288),,,,10.0,,,2.0,,,,,,3070540045.0,,0.0,0.0,,,,0,"The Shirley Tanyhill (P.S./I.S. 288) School of Leadership, Sports & Arts",,1.0,,,,,,,,,6.0,,,,,,21,,,English as a New Language,,,,,"Extended Day,Uniform",,,Seagate-Coney Island,,,,,313.0,,"Open to students and residents of Districts 20, 21 & 31",,,
P.S. 105 The Bay School (27Q105),,,,,,,,,,,,,4159740003.0,,,,,Spanish,,0,,,0.0,,,,,,,,,,,,,,,27,,,English as a New Language,,,,,"Summer Session,Uniform",,,Hammels-Arverne-Edgemere,,,,,414.0,,Open to continuing 5th grade students and students residing in the zone,,,
School of the Future Brooklyn (19K663),,,,,,,,,,,,,3038020015.0,,,,,Mandarin,,1,,,0.0,,,,,,,,,,,,,,,19,,,English as a New Language,,,,,"Extended Day,Summer Session,Uniform,Weekend Program",,,East New York (Pennsylvania Ave),,,,,305.0,,Open to students and residents of District 19,,,
P.S. 018 Park Terrace (06M018),,,,,,,,,,,,,1022150824.0,,,,,,,1,,,0.0,,,,,,,Volleyball,,,,,,,,6,,,English as a New Language;Transitional Bilingual Education: Spanish,,,,,"Summer Session,Uniform,Weekend Program",,,Marble Hill-Inwood,,,,,112.0,,Open to students and residents of District 6,,,
The Math & Science Exploratory School (15K447),,,,,,,,,,,,,3001920013.0,,,,,Spanish,,1,THE MATH & SCIENCE EXPLORATORY SCHOOL ASD NEST PROGRAM,,1.0,,,,,,,,,,,,,,,15,,,English as a New Language,,,,,"Diversity in Admissions,Extended Day",,,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,,,Edward R. Murrow High School,,302.0,,Open to students and residents of District 15,,,
East New York Family Academy (19K409),,,,,,,,,,,,,3037040001.0,,,,,French;Mandarin,,1,,,0.0,,,,,,,,,,,,,,,19,,,English as a New Language,,,,,"Summer Session,Uniform,Weekend Program",,,East New York (Pennsylvania Ave),,,,,305.0,,Open to students and residents of District 19,,,
P.S./M.S. 114 Belle Harbor (27Q114),,,,8.0,,,10.0,,,,,,4162570001.0,,1.0,2.0,,,,0,Belle Harbor (P.S./M.S. 114),,,,,,,,,,,68.0,,,,,,27,,,English as a New Language,,,,,"Extended Day,Uniform",,,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,,,New Visions Charter High School for the Humanities IV,,414.0,,"Open to students currently in or recommended for District 75 Special Education Inclusive Services. If you are not currently in or recommended for these services, please contact D75info@schools.nyc.gov.",,,
Emolior Academy (12X383),,,,,,,,,,,,,2030210038.0,,,,,,,1,,,1.0,,,,,,,,,,,,,,,12,,,English as a New Language,,,,,"Extended Day,Uniform,Weekend Program",,,Crotona Park East,,,A. Philip Randolph Campus High School,,206.0,,Open to students and residents of the Bronx,,,
James Weldon Johnson (04M057),,,,,,,,,,,,,1016400139.0,,,,,,,0,,,1.0,,,,,,,Cross Country,,,,,,,,4,,,English as a New Language;Dual Language: Spanish,,,,,,,,East Harlem North,,,Renaissance Charter High School for Innovation,,111.0,,Open to students and residents of District 4,,,
I.S. 281 Joseph B Cavallaro (21K281),,1.0,,5.0,9.0,,26.0,,,,6.0,,3068910001.0,,5.0,18.0,,Spanish,Talent Test,0,Joseph B. Cavallaro (I.S. 281) Magnet Program (Computer/Math),,1.0,4.0,Joseph B. Cavallaro (I.S. 281) Magnet Program (Dance),,5.0,,,,Open to students and residents of Brooklyn,352.0,,,3.0,Students who apply to these programs will be selected based on their score on the District 21 Talent Tests,,21,1.0,,English as a New Language;Dual Language: Chinese,,Talent Test,0.0,,"Summer Session,Uniform,Weekend Program",2.0,25.0,Bensonhurst East,Joseph B. Cavallaro (I.S. 281) Magnet Program (Creative Writing/Journalism),Students who apply to these programs will be selected based on their score on the District 21 Talent Tests,James Madison High School,,311.0,,Open to students and residents of District 21,,,Joseph B. Cavallaro (I.S. 281)
"Bronx School for Law, Government and Justice (09X505)",,,,,,,,,,,,,2024450006.0,,,,,Spanish,,1,,,1.0,,,,,,,,,,,,,,,9,,,English as a New Language,,,,,"Extended Day,Summer Session,Uniform,Weekend Program",,,East Concourse-Concourse Village,,,The Cinema School,,204.0,,Open to students and residents of the Bronx,,,
Bronx Studio School for Writers and Artists (08X269),,,,21.0,,,84.0,,,,,,2027230033.0,,4.0,4.0,,,,1,Bronx Studio School for Writers and Artists,,,,,,,,,,,287.0,,,,,,8,,,English as a New Language,,,,,"Summer Session,Uniform,Weekend Program",,,Hunts Point,,,,,202.0,,"Open to students currently in or recommended for District 75 Special Education Inclusive Services. If you are not currently in or recommended for these services, please contact D75info@schools.nyc.gov.",,,
J.H.S. 088 Peter Rouget (15K088),,,,11.0,,,125.0,,,,,,3008800001.0,,11.0,15.0,,Spanish,,0,Spanish Dual Language Program,,,4.0,Park Slope Education Complex at M.S. 88,,,,,,,729.0,,,4.0,,,15,,,English as a New Language;Dual Language: Spanish,,,,,"Diversity in Admissions,Extended Day,Summer Session",,,Sunset Park West,,,Fort Hamilton High School,,307.0,,"Open to students currently in or recommended for District 75 Special Education Inclusive Services. If you are not currently in or recommended for these services, please contact D75info@schools.nyc.gov.",,,
P.S. 333 Manhattan School for Children (03M333),,,,,,,,,,,,,1012230005.0,,,,,,,1,,,1.0,,,,,,,,,,,,,,,3,,,English as a New Language,,,,,Diversity in Admissions,,,Upper West Side,,,,,107.0,,Open to students and residents of District 3,,,
Professional Performing Arts School (02M408),,,,,,,,,,,,,1010380014.0,,,,,Spanish,,1,,,1.0,,,,,,,,,,,,,,,2,,,English as a New Language,,,,,,,,Clinton,,,,,104.0,,Open to New York City residents,,,
I.S. 051 Edwin Markham (31R051),,,,89.0,,,75.0,,,,,,5014780500.0,,1.0,1.0,,Spanish,,0,Edwin Markham (I.S. 51),,1.0,,,,,,,,,222.0,,,,,,31,,,English as a New Language;Dual Language: Spanish,,,,,"Extended Day,Summer Session,Weekend Program",,,Port Richmond,,,Susan E. Wagner High School,,501.0,,Open to students and residents of District 31,,,
Spring Creek Community School (19K422),,,,,,,,,,,,,3044490001.0,,,,,Spanish,,0,,,1.0,,,,,,,,,,,,,,,19,,,English as a New Language,,,,,,,,East New York,,,,,305.0,,Open to students and residents of District 19,,,
Fannie Lou Hamer Middle School (12X286),,,,,,,,,,,,,2030080001.0,,,,,,,1,,,1.0,,,,,,,,,,,,,,,12,,,English as a New Language,,,,,"Summer Session,Uniform,Weekend Program",,,Crotona Park East,,,"Metropolitan High School, The",,203.0,,Open to students and residents of the Bronx,,,
Kappa (09X215),,,,,,,,,,,,,2029250001.0,,,,,,,1,,,1.0,,,,,,,,,,,,,,,9,,,English as a New Language,,,,,"Extended Day,Summer Session,Uniform",,,Claremont-Bathgate,,,,,203.0,,Open to students and residents of the Bronx,,,
New Millennium Bronx Academy of the Arts (09X328),,,,,,,,,,,,,2024240001.0,,,,Then to Bronx students and residents who sign in at an event,,,1,,,1.0,,,,,,,,,,,,,,,9,,,English as a New Language,,,,,,,,East Concourse-Concourse Village,,,,,204.0,,Open to students and residents of the Bronx,,,
P.S./I.S. 157 The Benjamin Franklin Health & Science Academy (14K157),,,,,,,,,,,,,3018970013.0,,,,,,,0,,,0.0,,,,,,,,,,,,,,,14,,,English as a New Language;Dual Language: Spanish,,,,,Uniform,,,Bedford,,,,,303.0,,Open to students and residents of District 14,,,
Young Women's Leadership School (04M610),,,,,,,,,,,,,1016340003.0,,,,,Spanish,,1,,,1.0,,,,,,,,,,,,,,,4,,,English as a New Language,,,,,,,,East Harlem South,,,The Urban Assembly School for Green Careers,,111.0,,All-girls school; open to students and residents of Manhattan,,,
M.S. 324 - Patria Mirabal (06M324),,,,22.0,,,95.0,,,,,,1021120058.0,,4.0,3.0,,,,1,Making Connections to Local and Global Communities,,,,PATRIA MIRABAL TBE SPANISH ACES 12:1:1 PROGRAM,,,,,Volleyball,,324.0,,,,,,6,,,English as a New Language;Transitional Bilingual Education: Spanish,,,,,"Extended Day,Summer Session,Uniform,Weekend Program",,,Washington Heights South,,,Manhattan Bridges High School,,112.0,,"Open to students currently in or recommended for District 75 Special Education Inclusive Services. If you are not currently in or recommended for these services, please contact D75info@schools.nyc.gov.",,,
J.H.S. 218 James P. Sinnott (19K218),,,,6.0,,,5.0,,,,,,3042780001.0,,1.0,2.0,,,,0,J.H.S. 218: Spanish Dual Language Program,,0.0,1.0,J.H.S. 218: Zoned Program,,,,,,,56.0,,,1.0,,,19,,,English as a New Language;Transitional Bilingual Education: Spanish,,,,,Uniform,,,East New York,,,Brooklyn International High School,,305.0,,Open to students and residents of District 19,,,
I.S. 49 Berta A. Dreyfus (31R049),,,,29.0,,,15.0,,,,,,5005560080.0,,1.0,1.0,,Spanish,,0,Zoned Program,,0.0,,,,,,,,,53.0,,,,,,31,,,English as a New Language,,,,,"Extended Day,Summer Session,Weekend Program",,,Stapleton-Rosebank,,,Ralph R. McKee Career and Technical Education High School,,501.0,,Open to students and residents of District 31,,,
Channel View School for Research (27Q262),,,,,,,,,,,,,4161670099.0,,,,,Spanish,,1,CHANNEL VIEW SCHOOL FOR RESEARCH ASD NEST PROGRAM,,1.0,,,,,,,,,,,,,,,27,,,English as a New Language,,,,,"Extended Day,Summer Session,Uniform,Weekend Program",,,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,,,,,414.0,,Open to students and residents of Queens,,,
J.H.S. 151 Lou Gehrig (07X151),,,,,,,,,,,,,2024430190.0,,,,,,,0,,,0.0,,,,,,,,,,,,,,,7,,,English as a New Language;Transitional Bilingual Education: Spanish,,,,,"Extended Day,Uniform",,,East Concourse-Concourse Village,,,,,204.0,,Open to students and residents of the Bronx,,,
J.H.S. 201 The Dyker Heights (20K201),,,,50.0,,,42.0,,,,,,3062780022.0,,1.0,1.0,,Italian;Spanish,,0,Zoned Program,,1.0,,,,,,,,,391.0,,,,,,20,,,English as a New Language,,,,,,,,Dyker Heights,,,Brooklyn Technical High School,,310.0,,Open to students and residents of District 20,,,
Brooklyn Science and Engineering Academy (18K763),,,,,,,,,,,,,3047390001.0,,,,,,,1,BROOKLYN SCIENCE AND ENGINEERING ACADEMY ASD NEST PROGRAM,,1.0,,,,,,,,,,,,,,,18,,,English as a New Language,,,,,"Extended Day,Summer Session,Uniform,Weekend Program",,,Rugby-Remsen Village,,,,,317.0,,Open to students and residents of District 18,,,
"PS/MS 20 P.O.George J. Werdann, III (10X020)",,,,,,,,,,,,,2033300001.0,,,,,Spanish,,0,,,1.0,,,,,,,,,,,,,,,10,,,English as a New Language,,,,,"Extended Day,Summer Session,Uniform,Weekend Program",,,Norwood,,,,,207.0,,Open to students and residents of the Bronx,,,
Academy For Personal Leadership And Excellence (10X363),,,,11.0,,,29.0,,,,,,2031720046.0,,3.0,3.0,,Spanish,,1,Zoned Program,,1.0,,ACADEMY FOR PERSONAL LEADERSHIP AND EXCELLENCE ASD NEST PROGRAM,,,,,,,130.0,,,,,,10,,,English as a New Language;Transitional Bilingual Education: Spanish,,,,,"Summer Session,Uniform,Weekend Program",,,Fordham South,,,Manhattan Bridges High School,,205.0,,Open to students and residents of the Bronx,,,
M.S. 129 Academy for Independent Learning and Leadership (12X129),,,,,,,,,,,,,2031090001.0,,,,,,,0,,,0.0,,,,,,,,,,,,,,,12,,,English as a New Language,,,,,"Uniform,Weekend Program",,,East Tremont,,,The Urban Assembly Charter School for Computer Science,,206.0,,Open to students and residents of the Bronx,,,
Academy for New Americans (30Q235),,,,,,,,,,,,,4005920015.0,,,,,Spanish,,1,,,1.0,,,,,,,,,,,,,,,30,,,English as a New Language;Transitional Bilingual Education: Spanish,,,,,Uniform,,,Old Astoria,,,High School for Arts and Business,,401.0,,Open to students and residents of District 24 and 30,,,
Queens United Middle School (29Q289),,,,,,,,,,,,,4131700012.0,,,,,,,1,,,0.0,,,,,,,,,,,,,,,29,,,English as a New Language,,,,,"Extended Day,Summer Session,Uniform",,,Laurelton,,,,,413.0,,Open to students and residents of District 29,,,
York Early College Academy (28Q284),,,,,,,,,,,,,4101780001.0,,,,,,,1,,,1.0,,,,,,,,,,,,,,,28,,,English as a New Language,,,,,"Summer Session,Uniform",,,South Jamaica,,,,,412.0,,Open to students and residents of District 28,,,
West Bronx Academy for the Future (10X243),,,,,,,,,,,,,2030590001.0,,,,Then to Bronx students and residents who sign in at an event,Spanish,,1,,,1.0,,,,,,,,,,,,,,,10,,,English as a New Language,,,,,"Extended Day,Summer Session,Uniform,Weekend Program",,,Belmont,,,Mott Haven Village Preparatory High School,,206.0,,Open to students and residents of the Bronx,,,
P.S. 108 Assemblyman Angelo Del Toro Educational Complex (04M108),,,,,,,,,,,,,1016140021.0,,,,,,,0,,,0.0,,,,,,,,,,,,,,,4,,,English as a New Language,,,,,,,,East Harlem South,,,Orchard Collegiate Academy,,111.0,,Open to students and residents of District 4,,,
P.S./I.S. 323 (23K323),,,,17.0,,,44.0,,,,,,3035420001.0,,3.0,3.0,,,,1,P.S./I.S. 323,,,,,,,,,,,133.0,,,,,,23,,,English as a New Language,,,,,,,,Brownsville,,,,,316.0,,"Open to students currently in or recommended for District 75 Special Education Inclusive Services. If you are not currently in or recommended for these services, please contact D75info@schools.nyc.gov.",,,
I.S. 227 Louis Armstrong (30Q227),,,,48.0,,,495.0,,,,,,4014230001.0,,10.0,7.0,,Spanish,,0,Louis Armstrong Middle School,,,,LOUIS ARMSTRONG ACES 12:1:1 PROGRAM,,,,,,,3173.0,,,,,,30,,,English as a New Language,,,,,,,,East Elmhurst,,,Forest Hills High School,,403.0,,"Open to students currently in or recommended for District 75 Special Education Inclusive Services. If you are not currently in or recommended for these services, please contact D75info@schools.nyc.gov.",,,
Institute for Collaborative Education (02M407),,,,,,,,,,,,,1009220008.0,,,,,Spanish,,1,,,1.0,,,,,,,Softball,,,,,,,,2,,,English as a New Language,,,,,,,,Gramercy,,,,,106.0,,Open to New York City residents,,,
Antonia Pantoja Preparatory Academy: A College Board School (08X376),,,,,,,,,,,,,2036040039.0,,,,,Spanish,,1,,,1.0,,,,,,,,,,,,,,,8,,,English as a New Language,,,,,"Extended Day,Summer Session,Uniform",,,Soundview-Castle Hill-Clason Point-Harding Park,,,,,209.0,,Open to students and residents of the Bronx,,,
Hawtree Creek Middle School (27Q297),,,,,,,,,,,,,4117140100.0,,,,,Spanish,,1,,,1.0,,,,,,,,,,,,,,,27,,,English as a New Language,,,,,"Extended Day,Summer Session,Uniform",,,South Ozone Park,,,Martin Van Buren High School,,410.0,,Open to students residing in the zone,,,
J.H.S. 216 George J. Ryan (26Q216),,,,94.0,,,47.0,,,,,,4069030001.0,,1.0,1.0,,Spanish,,0,J.H.S. 216 George J. Ryan Zoned Program,,1.0,,,,,,,,,445.0,,,,,,26,,,English as a New Language,,,,,"Summer Session,Weekend Program",,,Fresh Meadows-Utopia,,,Benjamin N. Cardozo High School,,408.0,,Open to students residing in the zone and residents of District 26.,,,
Frederick Douglass Academy (05M499),,,,,,,,,,,,,1020160100.0,,,,,French,,1,,,0.0,,,,,,,,,,,,,,,5,,,English as a New Language,,,,,,,,Central Harlem North-Polo Grounds,,,,,110.0,,Open to students and residents of District 5,,,
Renaissance School of the Arts (04M377),,,,14.0,,,101.0,,,,,,1016890005.0,,7.0,5.0,,,,1,Renaissance School of The Arts,,,,,,,,,,,251.0,,,,,,4,,,English as a New Language,,,,,,,,East Harlem North,,,,,111.0,,"Open to students currently in or recommended for District 75 Special Education Inclusive Services. If you are not currently in or recommended for these services, please contact D75info@schools.nyc.gov.",,,
P.S. 180 Hugo Newman (03M180),,,,,,,,,,,,,1019460001.0,,,,,Other Language,,0,,,0.0,,,,,,,,,,,,,,,3,,,English as a New Language;Dual Language: Spanish,,,,,"Diversity in Admissions,Extended Day,Uniform",,,Central Harlem South,,,,,110.0,,Open to students and residents of District 3,,,
I.S. 027 Anning S. Prall (31R027),,,,17.0,,,82.0,,,,,,5003080001.0,,5.0,7.0,,Spanish,,0,Federal Magnet Program,,1.0,,I.S. 027 Anning S. Prall ASD Nest Program,,,,,,,347.0,,,,,,31,,,English as a New Language,,,,,"Extended Day,Summer Session,Weekend Program",,,West New Brighton-New Brighton-St. George,,,New Dorp High School,,501.0,58.0,Open to students and residents of District 31,,,
J.H.S. 050 John D. Wells (14K050),,,,15.0,,,87.0,,,,,,3024190001.0,,6.0,5.0,,Spanish,,0,John D. Wells (M.S. 50),,0.0,,,,,,,Volleyball,,323.0,,,,,,14,,Final 4th Grade Report Card,English as a New Language;Dual Language: Spanish;Transitional Bilingual Education: Spanish,,,,,"Extended Day,Summer Session,Uniform,Weekend Program",,,North Side-South Side,,,,,301.0,,Open to students and residents of Brooklyn,,,
P.S./M.S. 031 The William Lloyd Garrison (07X031),,,,,,,,,,,,,2024430190.0,,,,,,,1,,,0.0,,,,,,,,,,,,,,,7,,,English as a New Language,,,,,"Extended Day,Summer Session,Uniform,Weekend Program",,,East Concourse-Concourse Village,,,,,204.0,,Open to students and residents of the Bronx,,,
I.S. 318 Eugenio Maria De Hostos (14K318),,,,6.0,,,56.0,,,,,,3022460001.0,,9.0,14.0,,Spanish,,0,IS 318 Chess Program,,0.0,,EUGENIO MARIA DE HOSTOS ACES 12:1:1 PROGRAM,,,,,,,329.0,,,,,,14,,Lateness,English as a New Language,,,,,,,,Williamsburg,,,Williamsburg Charter High School,,301.0,,Open to students and residents of District 14,,,
MS 915 (13K915),,,,,,,,,,,,,3001310001.0,,,,,,,0,,,,,,,,,,,,,,,,,,13,,,English as a New Language,,,,,,,,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,,,,,302.0,,Open to students and residents of District 13,,,
P.S. 041 Francis White (23K041),,,,,,,,,,,,,3036040001.0,,,,,Spanish,,0,,,0.0,,,,,,,,,,,,,,,23,,,English as a New Language,,,,,Uniform,,,Brownsville,,,,,316.0,,Open to students and residents of District 23,,,
I.S. 285 Meyer Levin (18K285),,,,12.0,,,84.0,,,,,,3047440001.0,,7.0,2.0,,Spanish,,0,Meyer Levin (I.S. 285): Boroughwide Performing Arts Program,,0.0,2.0,Meyer Levin (I.S. 285): Zoned Program,,,,,,,368.0,,,4.0,,,18,,,English as a New Language,,,,,,,,Rugby-Remsen Village,,,Brooklyn High School of the Arts,,317.0,,Open to students and residents of District 18,,,
The Clinton School (02M260),,,,,,,,,,,,,1008420034.0,,,,,Spanish,,1,,,1.0,,,,,,,,,,,,,,,2,,,English as a New Language,,,,,Diversity in Admissions,,,Hudson Yards-Chelsea-Flatiron-Union Square,,,Brooklyn Technical High School,,105.0,,Open to students and residents of District 2,,,
P.S. 095 The Gravesend (21K095),,,,,,,,,,,,,3071230066.0,,,,,,,0,,,0.0,,,,,,,,,,,,,,,21,,,English as a New Language,,,,,,,,Gravesend,,,,,315.0,,Open to continuing 5th grade students and students residing in the elementary school zone,,,
The Bronx School of Young Leaders (10X331),,,,,,,,,,,,,2028620014.0,,,,,Spanish,,1,THE BRONX SCHOOL OF YOUNG LEADERS ACES 12:1:1 PROGRAM,,1.0,,,,,,,,,,,,,,,10,,,English as a New Language;Transitional Bilingual Education: Spanish,,,,,"Extended Day,Summer Session,Uniform,Weekend Program",,,University Heights-Morris Heights,,,Harry S Truman High School,,205.0,,Open to students and residents of the Bronx,,,
P.S. 109 (22K109),,,,,,,,,,,,,3050220002.0,,,,,Spanish,,1,,,0.0,,,,,,,,,,,,,,,22,,,English as a New Language,,,,,,,,East Flatbush-Farragut,,,,,317.0,,Open only to continuing 5th grade students,,,
