schooldbn,priority3_prog3,swdseats_prog8,gefilled_prog5,selectioncriteria2_prog7,swdfilled_prog10,admissionsmethod_prog13,swdappsperseat_prog7,code_prog7,eligibility_prog7,selectioncriteria5_prog4,swdappsperseat_prog6,code_prog15,geseats_prog12,gefilled_prog2,geseats_prog5,gefilled_prog7,geapps_prog4,admissionsmethod_prog6,gefilled_prog3,activities,selectioncriteria1_prog8,selectioncriteria6_prog1,admissionsmethod_prog8,geseats_prog10,borough,swdappsperseat_prog11,name_prog9,selectioncriteria7_prog1,priority2_prog6,name_prog6,geseats_prog3,priority3_prog1,gefilled_prog11,selectioncriteria3_prog8,priority1_prog3,geappsperseat_prog15,geapps_prog5,geappsperseat_prog12,swdseats_prog10,eligibility_prog14,geseats_prog15,swdfilled_prog4,name_prog12,swdfilled_prog6,council_district,eligibility_prog5,admissionsmethod_prog12,selectioncriteria1_prog2,geseats_prog8,diversityinadmissions,eligibility_prog3,geseats_prog9,selectioncriteria1_prog6,gefilled_prog6,eligibility_prog13,geseats_prog13,selectioncriteria8_prog1,nan with telephone,Academic and Personal Behavior Scores with telephone,All student applicants must come for our open Auditions in January. with telephone,Attendance with telephone
22K207,,,,,,,,,,,,,,,,,,,,"Art, Band, Book Club, Fitness, Glee Club, Green Team, Photography, Saturday Academy, STEM, Student Council, Theater, Visual Arts, Yearbook",,,,,BROOKLYN,,,,,,,,,,,,,,,,,,,,46.0,,,,,,,,,,,,,718-645-8667,,,
29Q268,,,,,,,,,,,,,,,,,,,,"Art, Band, Coding, Dance, Debate, Drama, Homework Help, Leadership, Lego Robotics, Music, Musical Theater, National Junior Honor Society, Restorative Circles, Robotics, Spelling Bee, STEM, Student Council, Visual Arts, Yearbook, Chinese Language",,,,,QUEENS,,,,,,,,,,,,,,,,,,,,27.0,,,,,,,,,,,,,718-206-3240,,,
30Q141,,,,,,,,,,,,,,0.0,,,,,,"Art, Band, Chess, National Junior Honor Society, STEM, Student Council, Theater, African Drumming, Civics",,,,,QUEENS,,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,718-278-6403,,,
25Q194,,,,,,,,,,,,,,,,,,,,"Chess, Dance, Debate, Homework Help, Lego Robotics, Math Team, National Junior Honor Society, Student Council",,,,,QUEENS,,,,,,,Then to District 25 students and residents,,,,,,,,,,,,,19.0,,,,,,,,,,,,,718-746-0818,,,
17K484,,,,,,,,,,,,,,,,,,,,"Dance, Drama, Gardening, Leadership, National Junior Honor Society, Restorative Circles, STEM, Step Team, Student Council, Visual Arts",,,,,BROOKLYN,,,,,,,,,,,,,,,,,,,,41.0,,,,,,,,,,,,,718-467-0306,,,
05M362,,,,,,,,,,,,,,,,,,,,,,,,,MANHATTAN,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,212-666-1278,,,
19K292,,,,,,,,,,,,,,0.0,,,,,,Step Team,,,,,BROOKLYN,,,,,,,,,,,,,,,,,,,,42.0,,,,,,,,,,,,,718-498-6562,,,
02M312,,,,,,,,,,,,,,,,,,,,"Art, Band, Book Club, Chess, Chorus, Coding, Comic Book Club, Cooking, Creative Writing, Dance, Debate, Drama, Engineering, Fitness, Gardening, Green Team, Homework Help, Leadership, Lego Robotics, Math Team, Music, Musical Theater, Photography, Robotics, School Newspaper, Science Club, STEM, Student Council, Talent Show, Technology, Theater, Video Game Club, Visual Arts, Yearbook, Yoga",,,,,MANHATTAN,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,212-691-6119,,,
24Q102,,,,,,,,,,,,,,,,,,,,"Art, Chorus, Fitness, Gardening, Green Team, Guitar, Spelling Bee, Student Council, Theater, Yearbook",,,,,QUEENS,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,718-446-3308,,,
29Q283,,,,,,,,,,,,,,,,,,,,"Art, Coding, Creative Writing, Dance, Drama, Homework Help, Leadership, Music, Peer Mediation, Restorative Circles, School Newspaper, STEM, Student Council, Theater, Visual Arts, Yearbook",,,,,QUEENS,,,,,,,Then to Queens students and residents who sign in at an event,,,,,,,,,,,,,31.0,,,,,,,,,,,,,718-949-8405,,,
07X584,,,,,,,,,,,,,,0.0,,,,,,"Debate, Music, Saturday Academy, STEM, Student Council, Theater, Visual Arts, Yoga",,,,,BRONX,,,,,,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,718-742-2900,,,
12X341,,,,,,,,,,,,,,,,,,,,,,,,,BRONX,,,,,,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,718-378-1649,,,
09X594,,,,,,,,,,,,,,,,,,,,,,,,,BRONX,,,,,,,Then to Bronx students and residents,,,,,,,,,,,,,16.0,,,,,,,,,,,,,718-588-8349,,,
14K577,,,,,,,,,,,,,,,,,,,,"Art, Band, Cooking, Creative Writing, Debate, Homework Help, Leadership, Photography, Robotics, School Newspaper, Science Club, STEM, Student Council",,,,,BROOKLYN,,,,,,,,,,,,,,,,,,,,34.0,,,,,,,,,,,,,718-486-6211,,,
11X566,,,,,,,,,,,,,,,,,,,,"Band, Book Club, Coding, Creative Writing, Drama, Leadership, Music, Musical Theater, Photography, Restorative Circles, Saturday Academy, Student Council, Theater, Yearbook, Yoga",,,,,BRONX,,,,,,,Then to Bronx students and residents,,,,,,,,,,,,,13.0,,,,,,,,,,,,,718-794-9750,,,
25Q219,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,QUEENS,,,,,,,Then to District 25 students and residents,,,,,,,,,,,,,24.0,,,,,,"Open to students currently in an ASD (Autism Spectrum Disorder) Horizon program. If you are not currently an ASD Horizon student and are interested in the program, please contact asdprograms@schools.nyc.gov",,,,,,,718-793-2130,,,
02M126,,,,,,,,,,,,,,,,,,,,"Chess, Fitness, Lego Robotics, Saturday Academy, Student Council, Yearbook, Jazz Band",,On-Site Assessment,,,MANHATTAN,,,,,,,Then to District 2 students and residents,,,,,,,,,,,,,1.0,,,,,,,,,,,,,212-962-2188,,,
10X308,,,,,,,,,,,,,,1.0,,,,,,"Art, Band, Cooking, Dance, Drama, Homework Help, Leadership, Saturday Academy, Step Team, Talent Show, Visual Arts",,,,,BRONX,,,,,,,,,,,,,,,,,,,,11.0,,,Academic and Personal Behavior Scores,,,,,,,,,,,,,718-515-0410
27Q323,,,,,,,,,,,,,,,,,,,,"Art, Band, Chess, Chorus, Drama, Fitness, Gardening, Green Team, Guitar, Music, Musical Theater, National Junior Honor Society, Peer Mediation, School Newspaper, STEM, Student Council, Theater, Visual Arts, Yearbook, PBIS",,On-Site Assessment,,,QUEENS,,,,,,,,,,,,,,,,,,,,32.0,,,,,,,,,,,,,718-474-6918,,,
06M366,,,,,,,,,,,,,,,,,,,,"Dance, Homework Help, Musical Theater, Saturday Academy, Service Learning, Student Council, Yearbook",,,,,MANHATTAN,,,,,,,Then to District 6 students and residents,,,,,,,,,,,,,10.0,,,,,,,,,,,,,212-304-3320,,,
09X313,,,,,,,,,,,,,,,,,,,,,,,,,BRONX,,,,,,,Then to Bronx students and residents,,,,,,,,,,,,,16.0,,,,,,,,,,,,,718-583-1736,,,
28Q896,,,,,,,,,,,,,,,,,,,,"Art, Band, Book Club, Choir, Chorus, Coding, Cooking, Debate, Fitness, Homework Help, Leadership, Lego Robotics, Math Team, Music, Peer Mediation, Photography, Robotics, Rock Band, School Newspaper, Science Club, STEM, Step Team, Student Council, Tutoring",,,,,QUEENS,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,718-725-0402,,,
21K238,,,,,,,,,,,,,,,,,,,,,,,,,BROOKLYN,,,,,,,,,,,,,,,,,,,,44.0,,,,,,,,,,,,,718-339-4355,,,
19K654,,,,,,,,,,,,,,,,,,,,"Art, Chorus, Coding, Creative Writing, Dance, Drama, Engineering, Fashion, Fitness, Homework Help, Leadership, Lego Robotics, Math Team, Music, National Junior Honor Society, Restorative Circles, Robotics, Saturday Academy, School Newspaper, Science Club, Science Olympiad, STEM, Step Team, Student Council, Talent Show, Technology, Theater, Video Game Club, Visual Arts, Yoga",,,,,BROOKLYN,,,,,,,Then to District 19 students and residents who sign in at an event,,,,,,,,,,,,,42.0,,,,,,,,,,,,,718-927-4701,,,
02M297,,,,,,,,,,,,,,0.0,,,,,,"Art, Band, Chorus, Coding, Drama, Gardening, Green Team, Music, Peer Mediation, Restorative Circles, School Newspaper, STEM, Student Council, Visual Arts, Yearbook",,,,,MANHATTAN,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,917-678-8367,,,
23K184,,,,,,,,,,,,,,,,,,,,,,,,,BROOKLYN,,,,,,,,,,,,,,,,,,,,42.0,,,,,,,,,,,,,718-495-7776,,,
17K354,,,,,,,,,,,,,,0.0,,,,,,"Art, Book Club, Choir, Coding, Cooking, Dance, Fashion, Fitness, Homework Help, Lego Robotics, Photography, Robotics, Saturday Academy, School Newspaper, Service Learning, Spelling Bee, STEM, Student Council, Talent Show, Yearbook",,,,,BROOKLYN,,,,,,,,,,,,,,,,,,,,36.0,,,,,,,,,,,,,718-774-0362,,,
06M319,,,,,,,,,,,,,,0.0,,,,,0.0,"Art, Band, Chess, Chorus, Coding, Dance, Debate, Drama, Fitness, French Club, Homework Help, Latin Dance, Leadership, Music, Robotics, Rock Band, Saturday Academy, STEM, Technology, Tutoring, Visual Arts, Yearbook",,,,,MANHATTAN,,,,,,95.0,,,,"Priority to students attending PS 8, PS 153, or PS 173 and to residents of the middle school zone",,,,,,,,,,10.0,,,Academic and Personal Behavior Scores,,,Open to students and residents of District 6,,,,,,,,,,212-923-3827
27Q105,,,,,,,,,,,,,,,,,,,,"Art, Chess, Choir, Chorus, Guitar, Homework Help, Leadership, Music, Peer Mediation, Photography, Restorative Circles, STEM, Student Council, Technology, Tutoring, Yearbook",,,,,QUEENS,,,,,,,,,,,,,,,,,,,,31.0,,,,,,,,,,,,,718-474-8615,,,
06M018,,,,,,,,,,,,,,,,,,,,"Art, Band, Chess, Debate, Music, Saturday Academy, STEM, Student Council, Technology, Urban Arts",,,,,MANHATTAN,,,,,,,Then to District 6 students and residents,,,,,,,,,,,,,10.0,,,,,,,,,,,,,917-521-2220,,,
27Q319,,,,,,,,,,,,,,,,,,,,"Art, Book Club, Chess, Chorus, Coding, Cooking, Creative Writing, Dance, Debate, Drama, Fashion, Fitness, Gardening, Green Team, Guitar, Homework Help, Latin Dance, Leadership, Lego Robotics, Math Team, Music, National Junior Honor Society, Peer Mediation, Photography, Restorative Circles, Robotics, School Newspaper, Science Club, Service Learning, Spelling Bee, STEM, Student Council, Talent Show, Technology, Theater, Tutoring, Visual Arts, Yearbook, Yoga",,,,,QUEENS,,,,,,,,,,,,,,,,,,,,31.0,,,,,,,,,,,,,718-471-6042,,,
29Q259,,,,,,,,,,,,,,,,,,,,,,,,,QUEENS,,,,,,,,,,,,,,,,,,,,27.0,,,,,,,,,,,,,718-454-4957,,,
20K936,,,,,,,,,,,,,,,,,,,,,,,,,BROOKLYN,,,,,,,,,,,,,,,,,,,,38.0,,,,,,,,,,,,,718-759-4908,,,
09X229,,,,,,,,,,,,,,0.0,,,,,0.0,"Art, Book Club, Chess, Creative Writing, Dance, Debate, Drama, Green Team, Homework Help, Peer Mediation, Restorative Circles, Saturday Academy, School Newspaper, Step Team, Student Council, Talent Show, Tutoring, Video Game Club, Yearbook",,,,,BRONX,,,,,,25.0,,,,Priority to District 9 students and residents,,,,,,,,,,16.0,,,,,,Open to students and residents of the Bronx,,,,,,,718-583-6266,,,
14K586,,,,,,,,,,,,,,,,,,,,"Art, Book Club, Chess, Dance, Gardening, Leadership, Music, Musical Theater, Peer Mediation, Restorative Circles, Robotics, Student Council, Talent Show, Video Game Club, Visual Arts, Yearbook",,,,,BROOKLYN,,,,,,,,,,,,,,,,,,,,34.0,,,,,,,,,,,,,718-782-0918,,,
02M177,,,,,,,,,,,,,,1.0,,,,,,"Art, Book Club, Coding, Comic Book Club, Cooking, Creative Writing, Debate, Drama, Fashion, Homework Help, Math Team, Peer Mediation, Restorative Circles, Robotics, Service Learning, Student Council, Visual Arts, Yearbook, Yoga",,,,,MANHATTAN,,,,,,,,,,,,,,,,,,,,5.0,,,4th Grade New York State ELA and Math Exams,,,,,,,,,,,917-432-5413,,
27Q146,,,,,,,,,,,,,,,,,,,,"Drama, National Junior Honor Society, Student Council, Talent Show, Algebra For All, College Access For All, Urban Advantage Science Program, Computer Science For All",,,,,QUEENS,,,,,,,,,,,,,,,,,,,,32.0,,,,,,,,,,,,,718-659-3140,,,
21K226,,,,,,,,,,,,,,0.0,,,,,,"Art, Band, Homework Help, Music, Musical Theater, National Junior Honor Society, Peer Mediation, Restorative Circles, Saturday Academy, Science Club, STEM, Student Council, Talent Show, Theater, Visual Arts, Yearbook",,,,,BROOKLYN,,,,,,,,,,,,,,,,,,,,44.0,,,,,,,,,,,,,718-234-4940,,,
32K162,,,,,,,,,,,,,,,,,,,0.0,,,,,,BROOKLYN,,,,,,32.0,,,,,,,,,,,,,,34.0,,,,,,Open to students residing in the zone,,,,,,,718-821-4860,,,
03M334,,,,,,,,,,,,,,,,,,,,,,On-Site Assessment,,,MANHATTAN,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,212-595-7193,,,
02M896,,,,,,,,,,,,,,,,,,,,"Art, Band, Chess, Coding, Cooking, Creative Writing, Fitness, Gardening, Homework Help, Leadership, Lego Robotics, Math Team, Peer Mediation, Photography, Restorative Circles, Robotics, Rock Band, School Newspaper, Service Learning, Spelling Bee, Step Team, Talent Show, Technology, Video Game Club, Visual Arts, Yearbook, Fencing, Out Lunch, Algebra Regents, Overnight Trips, Advisory",,,,,MANHATTAN,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,646-826-8100,,,
30Q145,,,,,,,,,,,,,,0.0,,,,,,"Art, Band, Choir, Chorus, Coding, Cooking, Dance, Fitness, Homework Help, Latin Dance, Music, STEM, Talent Show, Technology, Yearbook",,,,,QUEENS,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,718-457-1242,,,
05M670,,,,,,,,,,,,,,,,,,,,"Art, Book Club, Coding, Dance, Debate, Drama, Fitness, Leadership, Music, National Junior Honor Society, Restorative Circles, School Newspaper, STEM, Visual Arts, Yearbook",,,,,MANHATTAN,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,212-283-8055,,,
19K661,,,,,,,,,,,,,,,,,,,,"Art, Band, Book Club, Chess, Coding, Cooking, Creative Writing, Dance, Drama, Engineering, Fitness, Glee Club, Guitar, Homework Help, Lego Robotics, Music, Peer Mediation, Photography, Restorative Circles, Robotics, Saturday Academy, School Newspaper, STEM, Student Council, Technology, Theater, Video Game Club, Visual Arts, Yearbook, Yoga",,,,,BROOKLYN,,,,,,,Then to District 19 students and residents who sign in at an event,,,,,,,,,,,,,37.0,,,,,,,,,,,,,718-647-0913,,,
21K121,,,,,,,,,,,,,,,,,,,,"Science Club, STEM",,,,,BROOKLYN,,,,,,,Then to District 21 students and residents,,,,,,,,,,,,,44.0,,,,,,,,,,,,,718-377-8845,,,
24Q128,,,,,,,,,,,,,,,,,,,,"Art, Band, Drama, Music, National Junior Honor Society, Spelling Bee, Student Council, Technology, Visual Arts",,,,,QUEENS,,,,,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,718-326-6210,,,
10X368,Then to Bronx students and residents,,,,,,,,,,,,,1.0,,,,,0.0,"Art, Band, Book Club, Coding, Debate, Homework Help, Leadership, Musical Theater, Peer Mediation, Restorative Circles, Saturday Academy, Service Learning, STEM, Student Council, Talent Show, Technology, Tutoring, Yearbook",,,,,BRONX,,,,,,54.0,Then to Bronx students and residents,,,Priority to residents of the middle school zone,,,,,,,,,,11.0,,,,,,Open to students and residents of the Bronx,,,,,,,718-432-4300,,,
25Q189,,,,,,,,,,,,,,0.0,,,,,,"Art, Book Club, Chess, Chorus, Coding, Cooking, Creative Writing, Debate, Engineering, Music, Musical Theater, National Junior Honor Society, Peer Mediation, Restorative Circles, Saturday Academy, STEM, Student Council, Talent Show, Theater, Tutoring, Visual Arts",,,,,QUEENS,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,718-359-6676,,,
08X1 01,Then to Bronx students and residents,,,,,,,,,,,,,,,,,,1.0,"Art, Band, Chess, Coding, Debate, Drama, Fitness, Leadership, Math Team, Musical Theater, National Junior Honor Society, School Newspaper, Science Olympiad, Spelling Bee, Student Council, Theater, Tutoring, Video Game Club, Visual Arts, Yearbook",,,,,BRONX,,,,,,69.0,,,,"Priority to students attending or zoned to PS 14, PS 71, PS 72, or PS 304",,,,,,,,,,13.0,,,,,,Open to students and residents of the Bronx,,,,,,,718-829-6372,,,
27Q207,,,,,,,,,,,,,,,,,,,,"Art, Band, Lego Robotics, Theater",,,,,QUEENS,,,,,,,,,,,,,,,,,,,,32.0,,,,,,,,,,,,,718-848-2700,,,
25Q185,,,,,,,,,,,,,,,,,,,,"Art, Band, Chorus, Debate, Drama, Engineering, Green Team, Guitar, Lego Robotics, Music, Musical Theater, National Junior Honor Society, Restorative Circles, School Newspaper, Spelling Bee, Student Council, Technology, Visual Arts, Yearbook, Best Buddies, Broadway Junior, Confucius Classroom, Rising Stars, Silk Road Connect",,,,,QUEENS,,,,,,,Then to District 25 and 28 students and residents,,,,,,,,,,,,,19.0,,,,,,,,,,,,,718-445-3232,,,
14K614,,,,,,,,,,,,,,,,,,,,"Art, Book Club, Chess, Comic Book Club, Cooking, Creative Writing, Dance, Drama, Engineering, Guitar, Music, Robotics, Rock Band, Saturday Academy, Spelling Bee, STEM, Step Team, Talent Show, Theater, Tutoring, Visual Arts, Yoga, Spirit Week including Field Day, Game Club, Girls Leadership, NY Edge after school program, College Bound Initiative including college visits",,,,,BROOKLYN,,,,,,,,,,,,,,,,,,,,34.0,,,,,,,,,,,,,718-387-5641,,,
10X037,,,,,,,,,,,,,,,,,,,,,,,,,BRONX,,,,,,,Then to District 10 students and residents,,,,,,,,,,,,,11.0,,,,,,,,,,,,,718-796-0360,,,
02M933,,,,,,,,,,,,,,,,,,,,"Art, Book Club, Chorus, Coding, Cooking, Dance, Fashion, Homework Help, Lego Robotics, National Junior Honor Society, Photography, Restorative Circles, Saturday Academy, Spelling Bee, Step Team, Student Council, Visual Arts, Yearbook",,,,,MANHATTAN,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,212-695-9115,,,
20K104,,,,,,,,,,,,,,0.0,,,,,,"After School ELA and Math  Remediation, After School ENL support, After School Immigrant Student Support",,,,,BROOKLYN,,,,,,,,,,,,,,,,,,,,43.0,,,,,,,,,,,,,718-836-4630,,,
09X339,,,,,,,,,,,,,,,,,,,,,,,,,BRONX,,,,,,,Then to District 9 students and residents who sign in at an event,,,,,,,,,,,,,16.0,,,,,,,,,,,,,718-583-6767,,,
10X095,,,,,,,,,,,,,,,,,,,,,,,,,BRONX,,,,,,,Then to Bronx students and residents,,,,,,,,,,,,,11.0,,,,,,,,,,,,,718-796-9200,,,
25Q025,,,,,,,,,,,,,,,,,,,,"Art, Band, Book Club, Chorus, Dance, Debate, Fitness, Music, Saturday Academy, School Newspaper, STEM, Student Council, Talent Show, Visual Arts, Yearbook, Soccer Team",,,,,QUEENS,,,,,,,Then to District 25 students and residents,,,,,,,,,,,,,19.0,,,,,,,,,,,,,718-961-3480,,,
31R861,,,,,,,,,,,,,,1.0,,,,,,"Art, Band, Book Club, Chorus, Coding, Creative Writing, Debate, Engineering, Gardening, Green Team, Homework Help, Leadership, Lego Robotics, Math Team, Music, National Junior Honor Society, Peer Mediation, Restorative Circles, Robotics, Rock Band, Science Club, Service Learning, STEM, Student Council, Talent Show, Technology, Tutoring, Visual Arts, Yearbook",,,,,STATEN IS,,,,,,,,,,,,,,,,,,,,49.0,,,,,,,,,,,,,718-697-5250,,,
18K366,,,,,,,,,,,,,,,,,,,,"Chess, Chorus, Dance, Debate, Gardening, Glee Club, Green Team, Homework Help, Leadership, Peer Mediation, Restorative Circles, Service Learning, Student Council, Yearbook, Green Girls, My Brother's Keeper, PBIS Team",,,,,BROOKLYN,,,,,,,,,,,,,,,,,,,,46.0,,,,,,,,,,,,,718-688-6400,,,
