code1,fax_number,academicopportunities1,requirement1_2,admissionspriority18,state_code,requirement2_5,grade9gefilledflag9,common_audition2,eligibility7,appperseat6specialized,requirement5_4,grade9swdapplicantsperseat7,offer_rate2_2,admissionspriority31,method8,requirement5_6,method9,interest8,appperseat5specialized,requirement3_4,seats107,code6,seats108,requirement5_8,requirement1_3,offer_rate1_9,grade9geapplicants6,auditioninformation2,seats109,requirement3_7,seats9swd3,grade9swdapplicantsperseat4,code3,grade9swdapplicants6,program3,admissionspriority41,program7,auditioninformation6,common_audition1,seats9swd1,seats9ge1,grade9gefilledflag10,grade9swdapplicants10,admissionspriority21,grade9geapplicantsperseat9,grade9swdfilledflag1,requirement7_3,admissionspriority43,requirement3_8,prgdesc10,offer_rate1_8,requirement6_1,seats9swd5,method7,transfer,admissionspriority22,grade9geapplicants1,seats9ge5,requirement6_8,interest5,applicants1specialized,seats104,method6,grade9swdapplicantsperseat3,extracurricular_activities,requirement1_4,seats4specialized
Q38K,718-217-6287,Our Pre-Med students take a rigorous slate of Honors and AP STEM classes while interning at prestigious universities and health facilities,Attendance,,NY,,,,,,,,,,,,,,,,,,,,Attendance,,,,,,15.0,,Q38M,,Institute for Law and Humanities,,,,,10.0,58.0,,,Then to New York City residents,,N,,,,,,,,,,Then to New York City residents,333.0,,,,,Yes,,3.0,"ACE, Anime, Art, Band, Cartooning, Cheer, College & Career Fairs, Cosmetology, Dance, Debate, Desi/International, Drama, Fashion, Fitness, Graphic Design, International Festival, Jobs/College Readiness, Journalism, Leaders Organization, Math Honor Society, Math Olympiad, Media, Mock Trial & Moot Court, Model United Nations, Murals, Music, Musical Ensembles in Drumline, Music Honors Society, Piano, Poetry, Robotics, Senior Executive Board, SING, Step, Student Council, Yearbook",,
M28A,212-225-0996,"Emergency Medicine Pathway: free CUNY college credit and Emergency Medical Technician (EMT) certification, driver's training program, and preferential hiring with a hospital partner and the FDNY",,,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,85.0,,,Then to New York City residents,,N,,,,,,,,,,,169.0,,,,,,,,"Beat Making/Music Production, Girls that Code, Law & Debate, Paid Internships, Drum Line, Black Lives Matter Club, Hydroponics Club, Art & Mural Painting, Comic Book Club, Anime Club, Cooking Club, College Courses, Dance, FDNY & NYPD Explorers, Gender & Sexuality Alliance (GSA), International Trips, Literacy Leaders at NYPL, Mentoring, National Honor Society, PSAL Sports, PSAT & SAT Preparation, Student Government, Summer Travel Opportunities, Teen Community Emergency Response Team, Yearbook and more.",,
X93A,718-931-8366,Saturday Regents prep; PM school; Saturday school; PSAT/SAT Prep Courses; Academic Lunch Club,,,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,120.0,,,Then to New York City residents,,N,,,,,,,,,,,292.0,,,,,,,,,,
X85R,718-696-3821,"Saturday academy for tutoring, program for expanded online coursework and self-paced learning",,,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,86.0,,,Then to New York City residents,,Y,,,,,,,,,,,284.0,,,,,,,,Drama,,
Q20A,718-746-2017,iLearnNYC: Program for expanded online coursework and self-paced learning,Attendance,,NY,,,,"Open to students currently in or recommended for District 75 Special Education Inclusive Services. If you are not currently in or recommended for these services, please contact D75info@schools.nyc.gov",,,,,Then to New York City residents,,,,,,"Standardized Test Scores: English Language Arts (3.5-4.5), Math (3.7-4.5)",,Q20Y,,,Attendance,,,,,,13.0,18.0,Q20J,,University Scholars,,Francis Lewis High School D75 Inclusion Program,,,13.0,69.0,,,Then to Queens students or residents,,Y,,,,,,,N/A - zoned program,D75 Special Education Inclusive Services,,Then to Queens students or residents,3484.0,N/A - zoned program,,Zoned,,Yes,ASD/ACES Program,11.0,,Attendance,
Y27A,718-294-8109,After-School and Saturday Tutoring,,,NY,,,,,,,,,Then to New York City residents,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,72.0,,,Then to Bronx students or residents,,Y,,,,,,,,,,,918.0,,,,,,,,"African History Club, Annual Multicultural Night, Annual Play Performance, Annual Talent Show, Baking Club, Book Club, Chess Club, Gents Club, Girls Club, Greek Club, Gender & Sexuality Alliance (GSA), Knitting Club, Peer Mentoring, Student Council, Tech Squad, Yearbook",,
M12A,917-441-3693,Spanish-LOTE,Attendance,,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,57.0,,,,,Y,,,,,,,,,,,974.0,,,,,,,,"Digital Media, Social Justice, Music Recording and Production, Anime, Art, Comic Book, A Capella, Gaming, Gender & Sexuality Alliance (GSA), AP Language, Weightlifting, National Honor Society, Chinese Club, Guitar, Sci-Fi, Girls's  Volleyball, Ballet Hispanico",,
L61A,718-488-1724,iLearnNYC: Program for expanded online coursework and self-paced learning,,,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,67.0,,,Then to New York City residents,,N,,,,,,,,,,,89.0,,,,,,,,"After-School Subject Tutoring, Baruch College, Boys Club, Creative Writing, Drama and Theater, Fordham University STEP, Gender & Sexuality Alliance (GSA) Club, Hip-Hop Dance, Homework Help, Movie Club, Regents Preparation, ROSE Girls Group, Running Club, SAT Preparation, Saturday Academy, Student Council, Yearbook",,
K69B,718-647-4458,"FRC/FTC, Robotics, Justice Resource Center (JRC) partnership provides course pathways in Law Enforcement, AVID college- and career-readiness program",Attendance,,NY,Punctuality,,,,,,5,,,,,,,,"Course Grades: English (60-100), Math (60-100), Science (62-100), Social Studies (55-100)",Yes,K69P,,,Attendance,,361,,,,9.0,7.0,K69L,113,Transit Industrial Electrician,,Information Technology,,,10.0,50.0,,,,,Y,,,,,,,12,Ed. Opt.,,,356.0,58,,Computer Science & Technology,,Yes,Ed. Opt.,9.0,,Attendance,
Q65A,718-570-8231,Culturally relevant practices; Blended instruction with both teacher-led classes and use of digital resources; Real-world problem-based learning,,,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,69.0,,,Then to New York City residents,,Y,,,,,,,,,,,581.0,,,,,,,,"Yearbook Committee, Gaming Club, Drama Club, Youth Leadership Council, Art Club, Photography Club, Student Council",,
R19A,718-556-4800,International Baccalaureate (IB): Curtis HS is authorized by the IB Organization to offer the Diploma Programme.,,Priority to Staten Island students or residents,NY,Punctuality,N,,,,,4,,,Screened,,Open,Humanities & Interdisciplinary,,,No,R19F,No,,Attendance,98% of offers went to this group,424,,No,,24.0,5.0,R19C,97,International Baccalaureate/Scholarship Honors Program,,Performing Arts,,,20.0,65.0,N/A - zoned program,N/A - zoned program,Then to New York City residents,4,N,,,"Course Grades: English (65-100), Math (65-100), Science (70-100), Social Studies (70-100)",Comprehensive academic program.,95% of offers went to this group,,14,Open,,Then to New York City residents,297.0,46,,JROTC,,No,Screened,0.0,"Anime, ARISTA, Art, Asian Culture/Dance, Astronomy, Chess, Consultative Council, Design, Dreamers, Engineering, Environmental, Fashion, Go Chefs, Guitar Ensemble, Health Ambassadors, Jazz Band, Journalism, Kaleidoscope, Key Club, Law Club, Literary Magazine, Math, Mock Trial, Moot Court, Multi-Cultural, Newspaper, Nursing, Orchestra, Peer Mediation, Pride, Robotics, Student Government/Organization, Symphonic/Concert Bands, Teen Health Educators, Theater Arts, Vocal Ensembles, Writers, Yearbook",,
M04A,212-234-4975,"Performing Arts conservatory education with college-preparatory course work in English (AP), History (AP), Math (AP), Science (AP), foreign language.",,,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,85.0,,,,,Y,,,,,,,,,,,534.0,,,,,,,,"Student Government, Gender & Sexuality Alliance (GSA), Musical, Gospel Choir, EPIC Theatre Shakespeare Remix, Yearbook, Hip Hop Dance, Tutoring, Stage Make-up club, Team Sports",,
X18A,718-733-6429,Design Thinking infused throughout curriculum,,,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,86.0,,,Then to New York City residents,,Y,,,,,,,,,,,1450.0,,,,,,,,"After-School Tutoring; iMentor program; all grades go on college trips. Clubs include: Anime/Manga, Chess, Robotics, Community Service, Young Transformative Justice Team, Gender & Sexuality Alliance (GSA), and Student Council. Community service requirement for graduation.",,
Q77A,718-380-6809,"French, Latin, and Spanish",,,NY,,,,,,,,,Then to New York City residents,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,73.0,,,Then to Queens students or residents,,Y,,,,,,,,,,,974.0,,,,,,,,"Anime club, Book club, Gender & Sexuality Alliance (GSA), Math Tutorial, Mathletes, National Honor Society, Black Student Union, SAT Prep, Peer Mediation, Senior Committee and Yearbook, SING, Spirit Squad, Student Government, TRI M Music, Studio Art, Chess Club and Badminton; Students are encouraged to initiate clubs pertaining to their individual interests.",,
K49B,718-852-4593,"Partnership with AP for all offering AP Chemistry, AP English Language and Composition, AP English Literature and Composition, AP Spanish Language and Culture, AP Statistics, AP US History, AP Environmental Science, AP Computer Science",Attendance,,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,63.0,,,,,N,,,,,,,,,,,876.0,,,,,,,,"PSAL SPORTS Baseball/Softball, Basketball, Cheerleading, Dance, Football, Intramural Sports, Soccer, Track/Cross Country and Volleyball PSAL SPORTS - GIRLS Basketball, Indoor Track and Volleyball PSAL SPORTS - BOYS Basketball and Outdoor Track Clubs: Anime and Game Club Drumline Debate Learning Gardens Student empowerment movement Young Men's Leadership",,
K57A,718-252-2611,"Science Research (MSTAR Program), Murrow Med Program, Astronomy (planetarium), Forensics, Marine Science, Greenhouse, Computer Science",,,NY,Punctuality,,,Open only to Brooklyn students or residents,,,11,,Then to Brooklyn students or residents,ASD/ACES Program,,D75 Special Education Inclusive Services,,,Audition with common components,No,K57L,,,,,335,,,"Course Grades: English (88-100), Math (85-100), Science (88-100), Social Studies (89-100)",6.0,6.0,K57C,29,Bilingual Spanish Communication Arts,,Studio Theater,"You may audition on more than one instrument. Perform a prepared solo selection. Bring your own instrument(s) (except piano, tuba, double bass, harp, percussion and guitar amplifiers, which are provided by the school). The student must bring a copy of the music they are performing for the adjudicating teacher. The copy will be returned to the student after the audition. Audition includes on-site music tasks (may include singing back melodic patterns, tapping back rhythmic patterns, play selected scales, or completing a sight reading, music theory or improvisation task.",,116.0,565.0,,,Then to residents in Mid-Brooklyn Area B,,Y,,,,,,,10,Audition,,,4970.0,50,,Visual Art & Design,,Yes,Audition,11.0,,"Course Grades: English (85-100), Math (79-100), Science (80-100), Social Studies (80-100)",
M06A,212-567-3958,College-level courses offered for credit in the 9th grade; saturday and holiday academic enrichment academies,,,NY,,,,,,,,,Then to New York City residents,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,64.0,,,Then to Manhattan students or residents,,Y,,,,,,,,,,,1271.0,,,,,,,,Gender & Sexuality Alliance (GSA) Drama Club Chess Club Debate Team Track Robotics,,
K30X,718-564-2552,Pathways to Calculus,,,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,90.0,,,Then to New York City residents,,N,,,,,,,,,,,341.0,,,,,,,,"Bill Gates Partnership, IMentor, National Beta Club- Honor Society, Student Government, GSA RAPP Day 1 Program, Service Learning Club, Diversity Club, Gaming Club, Peer Mentor Program, Art, Chorus, CUMBE Dance Program, Health and Wellness Program, Debate, Drama, New York Exploring Program, Peer Tutoring, Restorative Justice, Peer Leadership, Sports Management",,
M11R,212-799-4171,Arts and aesthetic inquiry-based instruction is integrated across the curriculum.,,,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,95.0,,,,,N,,,,,,,,,,,174.0,,,,,,,,"CARE Club (Community Activists Reaching Everyone), College Essay Writing Weekend Workshops, Guitar, Music Production, Photography, Regents Review, SAT Prep, School Yearbook, Student Government, Visual Arts, Yoga",,
K91A,718-403-9553,Four-year sequence in biomedical sciences (STEM) Project Lead the Way; Two-semester sequence in engineering; Health Occupations Students of America,,,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,K91U,,Cobble Hill School of American Studies D75 Inclusion Program,,,,,17.0,83.0,,,Then to New York City residents,,N,,,,,,,,,,Then to New York City residents,381.0,,,,,,,,,,
M48A,212-831-5206,AP Coursework,,,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,64.0,,,Then to New York City residents,,N,,,,,,,,,,,232.0,,,,,,,,"After-School Tutoring, Ally Club, Apollo In-School Workshop, Computer Coding, Drama and Dance through the Apollo Theater, Robotics, Saturday School, Scholar's Club, Spoken Word Club, Student Council, Through Our Lens (Girls), Wishbone",,
X33A,718-329-8559,"Advanced Regents Diploma program; Chancellor's Arts Endorsed Diploma, double periods of Ensemble, Music Electives, SAT prep, and six AP courses",Audition - Go to https://www.myschools.nyc/en/help/high-school/audition-dates/ for information and dates,,NY,,,1.0,,,,,,,,,,,,,,,,,Audition - Go to https://www.myschools.nyc/en/help/high-school/audition-dates/ for information and dates,,,"Come prepared to sing a song of your choice, without accompaniment. Rhythm, pitch-matching, and ability to sing in harmony with others will be evaluated.",,,9.0,,X33M,,Instrumental Music: Orchestra/Strings/Piano,,,,1.0,11.0,36.0,,,,,Y,,,,,,,,,,,212.0,,,,,,,3.0,"Band, Chamber Music, Cheerleading, Choir, College Tours, Dance, Disney's Magic Music Days, Drama, Free Summer Music Camp, Summer Bridge, Gospel/Mens Choirs, Guitar, Instrumental Quintets, Journalism, Musical Theater, Newsletter, Peer Mediation, Percussion, Performances and Competitions, Recycle-A-Bicycle, Rock/Latin Bands, SAT Prep, Senior Committee, Strings, Student Council, Student Recitals, Yearbook Committee, Yoga and Zumba, Chess Club, Drones Club, 3D Printing, Gender & Sexuality Alliance (GSA)",,
K68A,718-345-5470,Our themed/integrated curriculum & college prep courses are sequenced with industry certification promoting college & career readiness for students.,Attendance,,NY,,,,,,,,,,,,,,,,,,,,Attendance,,,,,,11.0,,K68J,,Beauty Science & Technology,,,,,20.0,100.0,,,,,N,,,,,,,,,,,216.0,,,,,,,6.0,"Band, Brooklyn Student Activity Council, Cheerleading, Chorus, College Now, Community Service Opportunities, Dance Club, Distributed Education Clubs of American (DECA), Drama Club, ENL/ART Classes, Health Occupations Students of America (HOSA), Leadership & Support: AVID, Male & Female Mentoring, National Honor Society, Peer Mediation/Conflict Resolution, Peer Tutoring, Scholars at Work, SING, SkillsUSA, Student Government, Teen Talk, Yearbook, Young Men's Leadership, Young Women's Leadership",,
Q68B,718-392-8397,"CUNY College Now, College Connection,LaGuardia Community College, Queensborough Community College Tech Prep Program, Virtual Enterprises, and Robotics",Attendance,,NY,Punctuality,,,,,,,,,,,,,,Course Grades: Average (79-100),,,,,,,,,,,32.0,34.0,Q68M,,Exploratory: Introduction to Occupations,,,,,4.0,24.0,,,,,Y,,,,,,,8,,,,162.0,48,,Cosmetology,,Yes,,9.0,,Attendance,
X71A,718-401-1632,"Home Health Aide certifications, Certified Nursing Assistant Certification, Billing and Coding, Radiology Technician, Phlebotomist certification",,,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,60.0,,,,,N,,,,,,,,,,,365.0,,,,,,,,"Student Government, Chorus, Dance Team, Drama, Digital Photography, Fashion Club, National Honor Society/Arista, Recycling Club, CatRock Adventure Leadership Academy, Peer Tutoring, Yearbook",,
M14A,212-501-1195,"College Now: Baruch, John Jay, City College, Hunter, and BMCC; Peer Health Exchange, SAT Prep, Columbia Youth for Debate Program, Advisory Program",,,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,111.0,,,,,N,,,,,,,,,,,872.0,,,,,,,,"Anime Club, Art Club, Cheerleading, Chess, Community Service, Computer Science Club, Dance Club, Debate Team, Drama, Fashion Club, Girls' Club, History Club, Homework Helpers, Human Rights Club, Journalism Club, Math Team for NYC Interscholastic Math League, PM School, Saturday School, Student Government",,
M61A,212-225-0991,"Regents prep curricula, academic coaching, small group advisory.",,,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,85.0,,,,,Y,,,,,,,,,,,451.0,,,,,,,,"After-School Tutoring, SAT Prep, Dance Club, Beat-Making, Basketball, Hip Hop, Fencing, Gaming and Anime Club, Yearbook, Design Club, Gender & Sexuality Alliance (GSA), Graphic Design, Lacrosse, and Student Government",,
A23A,212-246-2654,"Industry Certifications: Adobe Photoshop & Illustrator, Strata, A+ and Net+; Tech competitions: SkillsUSA, Hackathons, Robotics",,,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,85.0,,,Then to New York City residents,,Y,,,,,,,,,,,1608.0,,,,,,,,"Activist Club, Anime, Big Brothers Big Sisters, Board Game Club, Book Club, Chess, Creative Writing, Drama, eSports, Gamer Haven, GCSA, Gender-Sexuality Alliance (GSA), Girls Empowerment, Intramural Sports, JROTC, Martial Arts, Media Crew, Media Production, Men of Strength, MOTH StorySlam, MOUSE Squad, Movie Club, Music Club, National Honor Society, Peer Mediation, Photography, Regents Prep, Robotics, Saturday Math Academy, School Band, Senior Committee, SEO Scholars, Student Government and Yearbook",,
L53A,718-277-1873,"Theater Program includes; Acting, improvisation, film, and stage craft (production).",,,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,90.0,,,,,N,,,,,,,,,,,146.0,,,,,,,,"Students are highly encouraged to participate in our after school clubs and activities; Academic Tutoring, Culinary Club, ELL Extended Day Program, Enrichment Classes, Homework Support, Gender & Sexuality Alliance (GSA) Club, Music Club, Regents Preparation Sessions, SAT Preparation, Science Research, Theater Club and Driver's Education.",,
X46A,718-860-4882,Arts & Technology integration in classes,,,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,86.0,,,Then to New York City residents,,N,,,,,,,,,,,235.0,,,,,,,,"BioBus, BronxConnect, Bronx Museum of the Arts, Cooking Matters Program, Montefiore Clinic Health Council, Dance, Educational Alchemy-HERstory, Graphic arts, Junior Reserves Officer Program Training Corps - JROTC, Music, Peer Mediation Program, Art, Ramapo Team Building Activities, Student Council, 2 Train Robotics Program, Campus Educational Farm, Visual Arts, Yearbook Committee",,
M62A,212-928-1309,Spanish Transitional Bilingual and Dual Language Programs,,,NY,,,,,,,,,Then to New York City residents who have lived in the United States two years or fewer and whose home language is Spanish,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,87.0,,,Then to Bronx students or residents who have lived in the United States two years or fewer and whose home language is Spanish,,Y,,,,,,Years In The Country,,,,Then to Bronx students or residents who have lived in the United States two years or fewer and whose home language is Spanish,157.0,,,,,,,,"Clubs: S.T.E.A.M., Book, Green, Hiking, Yearbook, Phonics, Robotics, Science, US History Through Film, Sports, Gender & Sexuality Alliance (GSA), Sophomore, Junior and Senior Councils, Student Government Organization and FYI teams",,
M82A,212-475-0459,Assessment is based on academic projects and portfolios,,,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,43.0,,,Then to New York City residents,,Y,,,,,,,,,,,547.0,,,,,,,,,,
M31A,212-342-6116,Financial Literacy,,,NY,,,,,,,,,Then to New York City residents,,,,,,,,,,,,,,,,,,,M31Y,,High School for Law and Public Service ACES 15:1 Program,,,,,30.0,113.0,,,Then to Manhattan students or residents,,N,,,,,,Passing of classes,,,,Then to Manhattan students or residents,614.0,,,,,,,,"Peer Mentor Programs and tutoring, College Preparation, Conflict mediation, Drama, Graphic Arts, School Wellness and Fitness, Mural Illustration, National Honor Society, Theater.",,
M02R,212-757-2156,Performance-Based Assessments (PBATs): Students present projects in all core subjects and take the ELA Regents to graduate with a Regents diploma.,,,NY,,,,,,,,,Then to New York City residents,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,85.0,,,Then to Manhattan students or residents,,Y,,,,,,,,,,,426.0,,,,,,,,"Sports: We are the Park West Seahawks! Activities: As a Community School, we have Video Game & HW, Gender & Sexuality Alliance (GSA), Movie Club, Step & Dance Team, Mural Painting, Running Club, Student Gov't & Music Production Art: We offer Visual Art, Advanced Art, Drumming & Beat Making, Coding, Photography & Digital Music. Trips: local colleges & overnight college trips, field day, community service days, multiple class trips- Museums, One World Trade Center Observation Deck, Adventureland Park, Luna Park & Washington DC.",,
L45A,718-968-6635,"Culinary Arts Program, Computer Science, Robotics, Fuel Education Blended On-Line Learning Courses, Youth Court",,,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,67.0,,,Then to New York City residents,,N,,,,,,,,,,Then to New York City residents,341.0,,,,,,,,,,
L62A,718-438-3527,Women's studies courses and programs to promote women's education,,,NY,,,,,,,,,Then to New York City residents,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,19.0,,,Priority to Brooklyn students or residents,,Y,,,,,,,,,,,419.0,,,,,,,,"Drama, English as a New Language Tutoring, Girls' Generation, Good Will Club, Knitting Club, Magazine Club, Peer Mediation, Student Council",,
M93A,212-517-7147,"Students complete Performance-Based Assessment Tasks (PBATs) as a replacement for some Regents Exams, and graduate with a Regents diploma.",,,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,67.0,,,,,N,,,,,,,,,,,351.0,,,,,,,,"Clubs: Art, Book, Cooking, French, Chinese, NYPD Explorers, Photo/ Video, Restorative Justice, Theater, Student Government, Mouse Tech and Yearbook  After-School: Tutoring, Big Brother/ Big Sister, Computer Lab, SAT, Fitness, Student Leadership, and on-site YMCA (Rowe Scholars, Community Service,  Internships, Learn to Earn, Y Swear, Swimming, Biking). Saturday Academy: Literacy Program, Regents, and Math Tutoring  Arts Program: Theater and Visual Arts Summer: John Jay Upward Bound",,
