school_name,admissionspriority34,common_audition7,bus,grade9swdfilledflag5,requirement2_4,borough,program5,requirement4_6,grade9gefilledflag1,website,offer_rate1_7,requirement4_1,grade9swdapplicantsperseat6,admissionspriority35,code8,grade9swdapplicants7,admissionspriority17,diplomaendorsements,common_audition8,interest1,offer_rate1_4,eligibility5,requirement2_9,code2,requirement4_7,boys,seats105,requirement5_7,grade9swdapplicants8,specialized,offer_rate2_3,school_sports,offer_rate2_5,auditioninformation1,seats106,admissionspriority19,grade9swdfilledflag3,seats9swd2,grade9geapplicantsperseat7,requirement4_2,shared_space,requirement7_2,requirement3_9,academicopportunities5,code10,grade9gefilledflag8,program4,pbat,grade9geapplicantsperseat4,requirement1_5,admissionspriority32,subway,interest6,seats9swd6,interest10,prgdesc8,program1,grade9gefilledflag2,grade9geapplicantsperseat10,eligibility2,requirement8_5,requirement6_3,admissionspriority210,seats9ge8,borocode,building_code,grade9geapplicantsperseat2,grade9swdapplicants2,pct_stu_safe,admissionspriority38,eligibility9,prgdesc3,admissionspriority29,prgdesc1,program10,admissionspriority26,requirement6_9,advancedplacement_courses
Martin Van Buren High School,,,"Q1, Q27, Q43, Q46, Q88, QM36, QM6, X68",,,QUEENS,,,N,thenewmvb.com,,"Standardized Test Scores: English Language Arts (1.8-4.5), Math (1.6-4.5)",,,,,,,,Health Professions,,,,Q38L,,,,,,,,,,,,,N,15.0,,"Standardized Test Scores: English Language Arts, Math",Yes,,,Students can earn up to 15 college credits through our partnerships with various colleges and universities,,,Zoned,,,,,,,,,,STEM Institute for Science Research,N,,,,,,,Q,Q435,4.0,68.0,0.71,,,"Students offered three-year tracks in Law, Art, or Music. Law classes in Criminal & Civil Justice, Constitutional Law, Mock Trial, Moot Court, Syracuse University Public Affairs & Personal Finance, AP Global, AP US History, and Model United Nations. Art sequences in Fashion, Cartooning, Graphic Design, and Commercial Art. Music ensembles include Piano, Orchestra, and Chorus. Partnerships include: Columbia University Law; CUNY John Jay; Cooper Union; Orpheus Chamber Orchestra; and NYU Law.",,"Students interested in Medical careers can choose from classes in STEM Research, Anatomy, AP Biology, AP Calculus, Chemistry, AP Environmental Science, Forensics, Physics, AP Physics, AP Psychology, and CUNY College Now Biology, STEM Research, Algebra and Health. Partnerships include: NASA research, Wrigley Marine Science Center at USC, Cohen Hospital LIJ, DNA Learning Center, QCC Courses, Cornell Weil Medical School, and NY High School Pathways.",,,,"AP Biology, AP Calculus AB, AP Chemistry, AP Computer Science Principles, AP English Language and Composition, AP English Literature and Composition, AP Environmental Science, AP Psychology, AP Spanish Language and Culture, AP United States History, AP World History: Modern"
The Urban Assembly School for Emergency Management,,,"BM1, BM2, BM3, BM4, BxM18, M103, M15, M15-SBS, M22, M55, M9, QM11, QM25, QM7, QM8, X1, X10, X10B, X11, X12, X14, X15, X17, X17A, X19, X2, X27, X28, X3, X4, X42, X5, X8",,,MANHATTAN,,,N,uasem.org,,,,,,,,,,Health Professions,,,,,,,,,,,,"Baseball, Softball, Basketball, Track, Cross Country, Volleyball, Lacrosse, Wrestling",,,,,,,,,Yes,,,"Tailored internships and experiences with a Career Advisor:  for example, internships with a technology start-up company, hospital internships, SEO Scholars program, Summer Search, Brooklyn to Alaska, Exeter Summer Scholar Program",,,,,,,,"2, 3, 4, 5, A, C, J, Z to Fulton St; N, Q to Canal St; R, W to City Hall",,,,,The Urban Assembly School for Emergency Management,,,,,,,,M,M520,,,0.87,,,,,"The Urban Assembly School for Emergency Management is a small high school in downtown Manhattan that prepares students for the college of their choice and career of their dreams through hands-on and work-based learning. Students select between two innovative career pathways in Emergency Medicine and Cyber Security.  Students engage in paid internships, have preferential hiring with industry partners, receive free certification as EMTs or Security Analysts, and earn free, early college credit.",,,,"AP Calculus AB, AP English Language and Composition, AP English Literature and Composition, AP Environmental Science, AP United States History"
Wings Academy,,,"Bx21, Bx36, Bx40, Bx42, Bx9, BxM10, BxM6, Q44-SBS",,,BRONX,,,N,https://www.schools.nyc.gov/schools/X684,,,,,,,,,,Computer Science & Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2, 5 to East 180th St",,,,,Academy for Excellence,,,,,,,,X,X879,,,0.71,,,,,An accelerated Regents testing program that enables students to earn Advanced Regents Diplomas and become eligible to take AP tests and college level courses.,,,,"AP Computer Science Principles, AP English Language and Composition, AP English Literature and Composition, AP Spanish Language and Culture, AP U.S. Government and Politics, AP United States History"
The Bronxwood Preparatory Academy,,,"Bx31, Bx39, Bx8, BxM11",,,BRONX,,,N,https://www.schools.nyc.gov/schools/X514,,,,,,,,,,Humanities & Interdisciplinary,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,"2, 5 to 225th St",,,,,The Bronxwood Preparatory Academy,,,,,,,,X,X362,,,0.82,,,,,,,,,"AP English Language and Composition, AP English Literature and Composition, AP United States History"
Francis Lewis High School,Then to New York City residents,,"Q17, Q30, Q31, Q65, Q88, QM1, QM31, QM35, QM5, QM7, QM8",N/A - zoned program,"Course Grades: English (89-100), Math (91-100), Science (90-100), Social Studies (90-100)",QUEENS,Zoned,,Y,francislewishs.org,,,,,,,,"Math, Science",,Law & Government,,,,Q20H,,,Yes,,,,,,,,,,Y,11.0,,,Yes,,,"CTE program(s): Engineering/Robotics, Entrepreneurship/Virtual Enterprise, Law Academy/Legal Studies",,,Science Research Institute,,53.0,,Then to New York City residents,,,,,,Jacob K. Javits Law Institute,Y,,,,,,,Q,Q430,63.0,372.0,0.87,,,This program provides an honors-level sequence of courses which engages students in a rigorous scholastic experience in the Liberal Arts & Humanities. Each term students are programmed for a second language or an additional English/Humanities course.,,"This program distinguishes itself with recognition in Mock Trial and Moot Court competitions. A small learning community which offers law-related courses including: You and The Law, Constitutional & Business Law, Mock Trial, Debate Team, and Bioethics.",,,,"AP Biology, AP Calculus AB, AP Calculus BC, AP Chemistry, AP Chinese Language and Culture, AP Computer Science A, AP English Language and Composition, AP English Literature and Composition, AP Environmental Science, AP Japanese Language and Culture, AP Latin, AP Macroeconomics, AP Physics 1, AP Physics C: Mechanics, AP Psychology, AP Spanish Language and Culture, AP Statistics, AP U.S. Government and Politics, AP United States History, AP World History: Modern"
Comprehensive Model School Project M.S. 327,,,"Bx1, Bx11, Bx13, Bx18, Bx2, Bx3, Bx32, Bx35, Bx36, BxM4",,,BRONX,,,Y,https://www.schools.nyc.gov/schools/X327,,,,,,,,"Math, Science",,Science & Math,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,"4 to Mt Eden Ave; B, D to 174-175th Sts",,,,,Comprehensive Model School Project (CMSP),,,,,,,,X,X240,,,0.89,,,,,"CMSP 327 is a rigorous high school that believes in preparing students to be successful in college and in life. We believe in perseverance, working hard, and supporting one another. CMSP has high expectations and students are highly encouraged to continue taking classes beyond the required credits/courses. CMSP is a family.",,,,"AP Biology, AP Chemistry, AP English Literature and Composition, AP European History, AP United States History"
High School of Arts and Technology,,,"BxM2, M10, M104, M11, M12, M20, M31, M5, M57, M66, M7, M72, X12, X14, X30, X42",,,MANHATTAN,,,Y,www.hsartstech.org,,Standardized Test Scores: Average,,,,,,,,Visual Art & Design,,,,M12B,,,,,,,,"Basketball, Intramural Sports",,,,,,14.0,,,Yes,,,Integrated Co-teaching courses,,,,,,,,"1 to 66th St-Lincoln Center; 2, 3 to 72nd St; A, C, B, D to 59th St-Columbus Circle",,,,,Arts & Technology,N,,,,,,,M,M490,7.0,123.0,0.7,,,,,,,,,"AP English Language and Composition, AP English Literature and Composition, AP United States History"
Khalil Gibran International Academy,,,"B103, B25, B26, B37, B38, B41, B45, B52, B63, B65, B67",,,BROOKLYN,,,N,www.khalilgibranhs.org,,,,,,,,,,Humanities & Interdisciplinary,,,,,,,,,,,,"Basketball, Soccer, Track/Cross Country",,,,,,,,,Yes,,,"Fitness Center, Visual Arts, Dance, Soccer PAL League",,,,,,,,"2, 3, 4, 5 to Nevins St; A to Hoyt & Schermerhorn; B, D, N, Q, R to Atlantic Ave-Barclays Center; C to Lafayette Ave; G to Fulton St",,,,,Khalil Gibran International Academy,,,,,,,,K,K806,,,0.85,,,,,"Khalil Gibran International Academy's (KGIA) offers a teaching and learning environment where all students develop, maintain, and graduate as life-long learners with a deep understanding of different cultural perspectives, a love of learning and a desire for academic authenticity. We promote holistic student development by supporting learners to grow socially, emotionally, physically and intellectually. The heart of our curriculum focuses on academically-rigorous, standards-based instruction.",,,,
Transit Tech Career and Technical Education High School,,,"B13, B14, Q24, Q7, Q8",N,Punctuality,BROOKLYN,Computer Networking,,N,transittechhs.org,,,9,,,71,Open to New York City residents,,,Computer Science & Technology,,,,K69K,,,Yes,,,,,,,,Yes,,Y,13.0,2,"Standardized Test Scores: English Language Arts (1.7-4.5), Math (1.7-4.5)",,,,"CTE program(s): A+ Computer Repair, Transit Industrial Electrical, Transit Industrial Electronics, Transit Technology",,,Transit Technician Technology,,3.0,Attendance,,"A, C to Euclid Ave; J, Z to Norwood Ave",Computer Science & Technology,13,,,Computer Forensic Science and Technology,N,,,,,,,K,K615,2.0,76.0,0.76,,,"Prepares students for Green careers in residential and commercial electrical wiring systems. Students are provided with theoretical and practical knowledge, necessary to install and repair these systems. Certificates/Industry exams-OSHA 10hr, Skills USA Construction Wiring & C-Tech Energy Management. Students are eligible for direct employment with MTA agencies including NYC Transit.",,"Prepares students for careers in computer forensics and law enforcement. The course focuses on concepts of computers and transitions into security awareness, hacking, and mobile device and advanced computer forensics. Certificates/Industry exams-IC3, IT Fundamentals, and Cyber-Security.",,,,"AP Biology, AP Calculus AB, AP English Language and Composition, AP English Literature and Composition, AP Environmental Science, AP Statistics, AP United States History"
Epic High School - North,,,"Q10, Q24, Q37, Q41, Q55, Q56, Q8, QM18",,,QUEENS,,,Y,www.epicschoolsnyc.org/north,,"Standardized Test Scores: English Language Arts, Math",,,,,,,,Humanities & Interdisciplinary,,,,,,,,,,,,"League Team Sports: Boys Baseball, Girls Softball, Boys Basketball, Girls Basketball, Girls Volleyball, Boys Soccer",,,,,,,,,,,,,,,,,,,,J to 111th St,,,,,Epic High School - North,,,,,,,,Q,Q636,,,0.92,,,,,,,,,"AP Biology, AP Computer Science Principles, AP English Literature and Composition, AP Environmental Science, AP Statistics, AP United States History"
Curtis High School,,,"S40, S42, S44, S46, S48, S51, S52, S61, S62, S66, S74, S76, S78, S81, S84, S86, S90, S91, S92, S94, S96, S98",N,,STATEN IS,Naval Junior Reserve Officers' Training Corps,"Standardized Test Scores: English Language Arts (1.9-4.5), Math (1.8-4.5)",N,curtishs.org,93% of offers went to this group,,5,,R19H,71,Priority to Staten Island students or residents,,,Computer Science & Technology,92% of offers went to this group,,,R19B,,,No,,25,,,"Cheerleading, Dance",,,Yes,Priority to Staten Island students or residents,Y,20.0,5,,,,,"CTE program(s): Dance, Graphic Design, Law Enforcement Academy, Media Studies, New Media, Nursing Assistant, Practical Nursing",R19Z,N,Media Studies at the Journalism Institute,,4.0,Attendance,,SIR to St. George,Health Professions,20,Zoned,"This program offers students challenging college-prep classes such as AP, IB, AVID, and CTE classes. Students are supported with AVID pedagogy that develops study, note-taking, and organizational skills. Curtis is pursuing certification of its IB Career-related program which is nested within this program. Curtis currently offers career pathways in STEM, art, and law. This program is also part of the CHS World Student Exchange with the Netherlands, Italy, France, and/or Spain.",Software Engineering Institute,Y,N/A - zoned program,,,,Then to New York City residents,52,R,R450,5.0,92.0,0.76,,,"The IB Diploma Program offers students a unique, rigorous curriculum in Humanities and STEM-related fields authorized by the IB Organization. All students are expected to achieve an Advanced Regents Diploma and will also take numerous AP courses in addition to their seven required IB courses.",Then to New York City residents,"This program offers students the opportunity to learn Microsoft Office applications, e-commerce, and introductory Computer Science which includes web design and computer programming. This course sequence leads to an industry-recognized certification as a Microsoft Office Specialist in Word, Excel, and PowerPoint. Students will have an opportunity to take AP Computer Science Principles and AP Computer Science A.",Zoned,Then to New York City residents,,"AP Calculus AB, AP Computer Science Principles, AP English Language and Composition, AP English Literature and Composition, AP Environmental Science, AP European History, AP Spanish Language and Culture, AP U.S. Government and Politics, AP United States History, AP World History: Modern"
International High School for Health Sciences,,,"Q11, Q21, Q29, Q38, Q52-SBS, Q53-SBS, Q58, Q59, Q60, Q72, Q88, QM10, QM11, QM40",,,QUEENS,,,N,ihshealthsciences.org,,,,,,,,,,Health Professions,,,,,,,,,,,,"Baseball/Softball, Soccer, Track/Cross Country",,,,,,,,,Yes,,,,,,,1.0,,,,"M, R to Grand Ave-Newtown",,,,,International High School for Health Sciences,,,,,,,,Q,Q455,,,0.86,,,,,"A CTE elective sequence for students interested in health careers that includes coursework in anatomy, biotechnology, career exploration, internship and clinical medical assisting.",,,,
Nelson Mandela High School,,,"B15, B25, B26, B43, B45, B46, B46-SBS, B65",,,BROOKLYN,,,N,mandelaschoolnyc.org,,,,,,,,,,Humanities & Interdisciplinary,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,"A, C to Utica Ave",,,,,Nelson Mandela School for Social Justice,,,,,,,,K,K455,,,0.87,,,,,,,,,"AP Biology, AP English Literature and Composition, AP U.S. Government and Politics"
Queens High School for the Sciences at York College,,,"Q1, Q110, Q111, Q112, Q113, Q114, Q17, Q2, Q20A, Q20B, Q24, Q25, Q3, Q30, Q31, Q34, Q36, Q4, Q40, Q41, Q42, Q43, Q44-SBS, Q5, Q54, Q56, Q6, Q60, Q65, Q76, Q8, Q83, Q84, Q85, Q9, X64",,,QUEENS,,,,qhss.org,,,,,,,,,,Science & Math,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,"E, J, Z to Jamaica Center-Parsons/Archer",,,,,Queens High School for the Sciences at York College,,,,,,,,Q,Q774,,,0.9,,,,,Admission to this Specialized High School is based solely on the score earned on the Specialized High Schools Admission Test (SHSAT). Students should speak to their school counselors in the Fall to register for the SHSAT.,,,,"AP Biology, AP Calculus AB, AP Calculus BC, AP Chemistry, AP Chinese Language and Culture, AP English Language and Composition, AP English Literature and Composition, AP Environmental Science, AP Macroeconomics, AP Music Theory, AP Physics 1, AP Physics C: Mechanics, AP Psychology, AP Statistics, AP United States History, AP World History: Modern"
Bronx Center for Science and Mathematics,,,"Bx11, Bx15, Bx17, Bx21, Bx35, Bx41, Bx41-SBS",,,BRONX,,,Y,https://bronxcenter.nyc/,,,,,,,,,,Science & Math,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,Bronx Center for Science and Mathematics,,,,,,,,X,X002,,,0.94,,,,,,,,,"AP Calculus AB, AP Computer Science Principles, AP English Literature and Composition, AP Environmental Science, AP European History, AP Spanish Language and Culture, AP United States History"
World View High School,,,"Bx1, Bx10, Bx16, Bx2, Bx22, Bx26, Bx28, Bx3, Bx30, Bx38, BxM3, BxM4",,,BRONX,,,Y,worldviewhs.org,,,,,,,,,,Science & Math,,,,X89B,,,,,,,,,,,,,,5.0,,,Yes,,,"Experiential learning: Medieval Times, Holocaust Museum, Japan Society (Social Studies); Safari (Biology) and Rides (Math/Physics) at Six Flags",,,,,,,,"4 to Mosholu Parkway; B, D to Bedford Park Blvd",,,,,World View High School,Y,,,,,,,X,X440,11.0,20.0,0.95,,,,,"This program is for any student who is interested in a well-rounded education that prepares them for college and careers. We provide a learning environment that fosters critical thinking, which helps students develop well-informed and independent global perspectives. Our program seeks to ensure that our graduates are qualified, competitive and confident for the ever-changing future.",,,,"AP English Language and Composition, AP English Literature and Composition, AP Environmental Science, AP Seminar, AP Spanish Language and Culture, AP United States History"
Manhattan Business Academy,,,"M11, M12, M14A, M14D, M20, M23-SBS, M55, M7, X1, X10, X10B, X12, X17",,,MANHATTAN,,,Y,manhattanbusinessacademy.org,,,,,,,,,,Business,,,,,,,,,,,,,,,,,,,,,Yes,,,Optional summer bridge for incoming 9th graders.,,,,,,,,"1 to 18th St; A, C, E, L to 14th St",,,,,Manhattan Business Academy,,,,,,,,M,M440,,,0.88,,,,,"All students take a rigorous Regents and college-preparatory curriculum. They are academically, socially, and emotionally supported by a strong advisory program and dedicated college counselors (through the College Bound Initiative). We promote a diverse student body.",,,,"AP Biology, AP English Language and Composition, AP Statistics"
Thomas A. Edison Career and Technical Education High School,,,"Q1, Q2, Q25, Q3, Q30, Q31, Q34, Q36, Q43, Q46, Q65, Q76, Q77, QM1, QM31, QM35, QM36, QM5, QM6, QM7, QM8, X68",Y,Punctuality,QUEENS,Automotive Technologies,"Standardized Test Scores: English Language Arts (3.3-4.5), Math (3.7-4.5)",Y,taehs.org,,"Standardized Test Scores: English Language Arts (2.6-4.5), Math (2.5-4.5)",34,,Q67Y,87,Open to New York City residents,"Math, Science",,Visual Art & Design,,,,Q67K,"Standardized Test Scores: English Language Arts (3.3-4.5), Math (3.5-4.5)",,Yes,,,,,,,,No,,Y,21.0,56,"Standardized Test Scores: English Language Arts (2.3-4.5), Math (2.4-4.5)",,,,,,,Electrical Installation Technologies,,29.0,Attendance,,,Engineering,4,,,Visual Arts,Y,,,,,,,Q,Q620,9.0,163.0,0.88,,"Open to students currently in or recommended for District 75 Special Education Inclusive Services. If you are not currently in or recommended for these services, please contact D75info@schools.nyc.gov","Preparation for careers in the creative world of Architecture and Design. With a major focus on hands on instruction, this program prepares students to enter the field of architecture, construction, and engineering. Industry certification (AutoCAD & Autodesk Revit), dual enrollment, and articulated college credit courses included. Visit www.EdisonCTE.org for more information about our Architecture & Engineering program.",,"Preparation for careers in one of the following visual arts areas: Graphic Arts, Digital Media, or Mobile Apps & Web Design/Developer. With a major focus on hands on instruction, these programs prepare students for relevant college majors with exposure to careers in all areas of visual arts. Industry certification (Adobe Certified Associate), dual enrollment, and articulated college credit courses included. Visit www.EdisonCTE.org for more information about our Visual Arts programs.",,,,"AP Biology, AP Calculus AB, AP Calculus BC, AP Chemistry, AP Computer Science Principles, AP English Language and Composition, AP English Literature and Composition, AP Physics 1, AP Psychology, AP Statistics, AP U.S. Government and Politics, AP United States History, AP World History: Modern"
