dbn,code1,school_10th_seats,requirement2_8,requirement3_6,bin,admissionspriority15,eligibility6,admissionspriority14,applicants2specialized,requirement1_6,code4,admissionspriority12,requirement2_7,grade9swdfilledflag9,prgdesc4,grade9swdfilledflag2,grade9geapplicantsperseat1,seats9swd8,applicants5specialized,offer_rate3_2,requirement6_6,code5,eligibility1,offer_rate1_3,grade9swdapplicants3,interest9,grade9swdapplicantsperseat10,interest3,seats101,grade9gefilledflag4,grade9swdfilledflag10,grade9gefilledflag3,academicopportunities6,offer_rate1_2,program9,admissionspriority28,requirement5_9,seats9ge2,appperseat2specialized,common_audition4,grade9swdapplicantsperseat2,requirement6_5,seats9ge4,auditioninformation8,code9,offer_rate2_4,grade9swdapplicantsperseat8,psal_sports_girls,academicopportunities4,international,bbl,applicants6specialized,grade9gefilledflag7,admissionspriority11,city,requirement4_9,seats9swd7,overview_paragraph,longitude,:@computed_region_efsh_h5xi,geocoded_column,finalgrades,:@computed_region_sbqj_enih
26Q435,Q38K,Y,,,4166101,,,Priority to students who live in the zoned area,,,Q38Z,Priority to Queens students or residents,,,Zoned students will have opportunities to choose from our three-year institutes-Health Science Research; Engineering and Robotics; and Law and Humanities.,N,6.0,,,,,,,94% of offers went to this group,52.0,,,Law & Government,Yes,N/A - zoned program,,N,,96% of offers went to this group,,,,85.0,,,5.0,,,,,,,"Basketball, Indoor Track, Outdoor Track, Soccer, Softball, Tennis, Volleyball",Humanities students will explore their musical and artistic talents through performance-based classes leading to careers in the arts,,4079300002,,,Priority to Queens students or residents,QUEENS VILLAGE,,,"Martin Van Buren High School is a Noble institution proudly offering rigorous STEM programs in Pre-Med, Robotics, and Engineering. Law & Humanities students develop artistic, writing, and research skills. Our students are supported in Small Learning Communities with teacher-leaders and staff who care about the success of each individual student. We challenge all students inside the classroom with a variety of AP, CUNY College Now, and Syracuse University classes. Outside the classroom, we connect our students to various colleges and internships around NYC. Our students showcase their talents through activities and competitions around NYC via our teams in Robotics, Math Olympiad, Model United Nations, Mock Trial, SING, and Journalism.",-73.738756,24336.0,"{'type': 'Point', 'coordinates': [-73.738756, 40.733066]}",9 to 12,63
02M135,M28A,Y,,,1001388,,,,,,,,,,,,2.0,,,,,,,,,,,,Yes,,,,"CTE program(s): EMT, Response & Recovery",,,,,,,,,,,,,,,"Badminton, Basketball, Bowling, Cross Country, Flag Football, Indoor Track, Outdoor Track, Soccer, Softball, Volleyball",Credited college classes through BMCC and The Metropolitan College of New York,,1001130100,,,Priority to Manhattan students or residents,MANHATTAN,,,"The Urban Assembly School for Emergency Management is a small high school in downtown Manhattan that prepares students for the college of their choice and career of their dreams through hands-on and work-based learning. Students select between two innovative career pathways in Emergency Medicine and Cyber Security. Students engage in paid internships, have preferential hiring with industry partners, receive free certification as EMTs or Security Analysts, and earn free, early college credit. Our college and career counselors tailor each student's educational and extracurricular experience based on his/her passions and needs so they can develop the confidence to pursue their dreams and the character to serve their communities.",-74.000851,13096.0,"{'type': 'Point', 'coordinates': [-74.000851, 40.711442]}",9 to 12,2
12X684,X93A,,,,2042451,,,,,,,,,,,,2.0,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,"Basketball, Softball",,,2040060003,,,Priority to Bronx students or residents,BRONX,,,"In September 1994, the New York City Department of Education, the Center for Collaborative Education, and the Coalition of Essential Schools sponsored the first systemic effort to redesign a large high school in the Bronx. Wings Academy was one of five pioneering small schools resulting from that effort, founded on the premise of helping young people use their minds well. Our primary goal is to develop students' habits of mind, which will encourage respect for lifelong learning, purposefulness, and success.",-73.875366,,"{'type': 'Point', 'coordinates': [-73.875366, 40.841794]}",9 to 12,31
11X514,X85R,,,,2064589,,,,,,,,,,,,3.0,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,"Basketball, Bowling, Outdoor Track, Soccer, Volleyball",SAT/PSAT test preparation,,2048640035,,,Priority to Bronx students or residents,BRONX,,,"At BPA, we believe all students can succeed with proper guidance and support. We look to awaken in our students a passion for learning that continues throughout their lives. We believe in developing our students into young scholars prepared to meet the challenges of the world. Our small class size offers individualized attention to our students. We have a strong emphasis on reading and writing across the curriculum. Students work with state-of-the-art technology infused throughout the curriculum. At Bronxwood Preparatory Academy, we believe that with teamwork we become ""The Home of Achievers!""",-73.852694,11275.0,"{'type': 'Point', 'coordinates': [-73.852694, 40.887831]}",9 to 12,30
26Q430,Q20A,Y,,,4148763,Guaranteed offer to students who live in the zoned area,"Open to students currently in an ACES (Academics, Career, and Essential Skills) program. If you are not currently an ACES student and are interested in the program, please contact acesprograms@schools.nyc.gov",Priority to students who live in the zoned area for up to 50% of the seats,,,Q20K,Priority to students who live in the zoned area for up to 50% of the seats,,,"Our award-winning institute has received high Honors in the National Siemens Competition, Intel, and NYSCEF. Students are programmed for advanced honors courses preparing for the SAT2 subject exams and courses in authentic science research.",Y,50.0,,,,,Q20Z,,,137.0,,,Humanities & Interdisciplinary,Yes,Y,,Y,,,,,,65.0,,,34.0,,65.0,,,,,"Basketball, Bowling, Cross Country, Fencing, Flag Football, Golf, Handball, Indoor Track, Outdoor Track, Soccer, Softball, Swimming, Table Tennis, Tennis, Volleyball, Wrestling","International Studies, Art, Drama, Dance, Instrumental and Choral Music Ensembles",,4068820001,,,Priority to students who live in the zoned area for up to 50% of the seats,FRESH MEADOWS,,,"Our mission is to prepare every student for success in college, career, and life. Through a strong sense of community, students are encouraged and supported to reach their full potential. Our unique guidance approach ensures personalized attention to address students' individualized needs. Our state-of-the-art data systems monitor student progress and achievement. As a result, our students are academically prepared and challenged for the future. In our college-bound culture, students thrive in a nurturing and secure learning environment that focuses on developing 21st century leaders.",-73.79283,14507.0,"{'type': 'Point', 'coordinates': [-73.79283, 40.740724]}",9 to 12,69
09X327,Y27A,,,,2008336,,,,,,,,,,,,13.0,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,"Basketball, Outdoor Track, Volleyball","A Variety Of Elective Options: Yoga, Poetry, Scientific Investigations, Dance, Drama, History of NYC, Heroes and Villains in History, and Computer Science",,2028590077,,,Priority to continuing 8th graders,BRONX,,,"At the Comprehensive Model School Project (CMSP), children are our first priority. We are an inclusive community comprised of students, parents and educators dedicated to high academic achievement and the complete social-emotional development of each student. We are a community that respects and honors diversity. Students are valued members of our school community who understand the importance of self-respect and respect for others. The academic success of our students is a collaborative effort and is the result of our staff's expertise, planning and professionalism, extensive parent involvement, students' commitment to success, and an atmosphere of social equity in our school.",-73.916082,10930.0,"{'type': 'Point', 'coordinates': [-73.916082, 40.842495]}",6 to 12,27
03M494,M12A,Y,,,1030343,,,,,,,Open to New York City residents,,,,N,17.0,,,,,,,,,,,,Yes,,,,,,,,,54.0,,,9.0,,,,,,,"Badminton, Basketball, Bowling, Flag Football, Handball, Indoor Track, Soccer, Softball, Volleyball, Wrestling","SAT Prep, Regents Prep College Now, Minds Matter,",,1011570025,,,Open to New York City residents,MANHATTAN,,,"Our mission is to provide students with the academic, interpersonal, and technological skills needed to achieve excellence in their chosen careers. We prepare all of our students in a caring and nurturing environment and provide opportunities for students to work creatively in the fields of art and technology.",-73.984753,12420.0,"{'type': 'Point', 'coordinates': [-73.984753, 40.774351]}",9 to 12,12
15K592,L61A,Y,,,3331754,,,,,,,,,,,,1.0,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Indoor Track,21st Century Skills and the Paideia Project (Socratic Seminar) used to develop students' critical thinking skills,,3001740001,,,Priority to Brooklyn students or residents,BROOKLYN,,,"Khalil Gibran International Academy (KGIA) is an International Baccalaureate (IB) school that offers students the opportunity to study the Arabic and French languages, and explore careers that require bilingual and multicultural skills such as international business, diplomacy, linguistics, journalism, and other related fields. In developing these skills, students will be well-prepared for college, careers, and positions as civic leaders in their community. Our students graduate with an understanding of different cultural perspectives, a love of learning, and a desire for excellence. We are committed to providing a challenging education where students can reach their full potential and become effective leaders in the world.",-73.979649,17619.0,"{'type': 'Point', 'coordinates': [-73.979649, 40.686499]}",9 to 12,54
19K615,K69B,Y,,,3327249,Open to New York City residents,,Open to New York City residents,,,K69M,Open to New York City residents,,,"Prepares students for careers in electrical and mechanical systems related to transportation and industrial and commercial wiring systems. Students are trained in a state-of-the-art lab, utilizing tools and equipment that are aligned with the MTA's training facility. Students are eligible for direct employment with MTA agencies including NYC Transit. Certificates/Industry Exams: OSHA 10hr and SkillsUSA Construction Wiring.",N,7.0,,,,,K69N,,,78.0,,,Engineering,Yes,N,,N,,,,,,62.0,,,6.0,,75.0,,,,,"Basketball, Softball, Volleyball","CUNY College Now courses, Advanced Placement courses, College-Level CTE courses, Skills USA, National Technical Honor Society, Industry Certifications",,3041550075,,N,Open to New York City residents,BROOKLYN,,15,"Transit Tech offers a comprehensive curriculum of technical and academic programs that prepare students to be both college and career ready. Through our college and industry partners and unique partnership with MTA New York City Transit, students access college level and advance placement pre-engineering/STEM courses in addition to paid internship and apprenticeship opportunities that will lead to lucrative careers.",-73.87596,17215.0,"{'type': 'Point', 'coordinates': [-73.87596, 40.678276]}",9 to 12,47
27Q334,Q65A,,,,4441342,,,,,,,,,,,,8.0,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,4094350016,,,Priority to Queens students or residents,SOUTH RICHMOND HILL,,,"Epic High School (Epic)-North, an outgrowth of the New York City Expanded Success Initiative (ESI), provides a rigorous, culturally relevant, academic program that prepares students for the demands of college and careers. Epic's personalized approach to instruction challenges students to dream big and design their futures. It engages students in solving real-world problems and supports their individual progress and growth. Epic students graduate confident in their ability to transform the world around them.",-73.829407,24015.0,"{'type': 'Point', 'coordinates': [-73.829407, 40.693006]}",9 to 12,60
31R450,R19A,Y,Punctuality,"Course Grades: English (70-100), Math (65-100), Science (73-100), Social Studies (75-100)",5106483,Priority to Staten Island students or residents,,Priority to Staten Island students or residents,,Attendance,R19D,Priority to Staten Island students or residents,,N,"This program offers students opportunities to explore the following: writing, layout design, photography and documentary film. Students become multi-platform producers and explore how to use social media to tell their stories and represent their generation. Students become citizen journalists and learn how their voices can impact the often changing media environment.",N,5.0,16,,,,R19E,,100% of offers went to this group,8.0,Visual Art & Design,N/A - zoned program,Humanities & Interdisciplinary,No,N,N/A - zoned program,Y,,95% of offers went to this group,Visual Arts,Then to New York City residents,,65.0,,,5.0,,52.0,,R19J,,2,"Basketball, Bowling, Cross Country, Golf, Gymnastics, Handball, Indoor Track, Lacrosse, Outdoor Track, Rugby, Soccer, Softball, Swimming, Tennis, Volleyball, Wrestling",Forward PASS: An extensive after-school academic support and success mentoring program for Curtis students supported by the Heisman Trust and the AthLife Foundation.,,5000220001,,N,Priority to Staten Island students or residents,STATEN ISLAND,,16,"Curtis High School is a Community School whose mission statement declares: ""Curtis will be a nurturing community where all of its members will have the desire and opportunity to achieve their fullest potential."" Curtis continually seeks to provide academic, extracurricular, social-emotional, and health and wellness services that are comprehensive, coordinated, and responsive to the evolving needs of our community. Curtis consists of small learning communities (houses) giving students and faculty the opportunity to teach and learn with a more personalized approach. All students, supported by our faculty and a wealth of community partnerships and resources, pursue curricula that challenge and prepare them for a world beyond Curtis.",-74.081222,10369.0,"{'type': 'Point', 'coordinates': [-74.081222, 40.644735]}",9 to 12,74
19K504,K63X,Y,,,3084440,,,,,,,,,,,,3.0,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,"Basketball, Flag Football, Indoor Track, Outdoor Track, Volleyball","CUNY College Now, Forensic Science, Robotics",,3037880001,,,Priority to Brooklyn students or residents,BROOKLYN,,,"This is a dynamic institution that provides high-quality programs that emphasize civil rights issues and Law. Students develop skills in lyrical composition, writing, musical recording, and producing. Students perform at school functions and talent shows. Students compete in Moot Court competitions, and serve as judges, attorneys, jurors, bailiffs, and clerks in the Academy's Youth Court. A courtroom is available for mock trials and law-related classes. Whether your plans are to enroll in a four-year university or a law enforcement or legal training program, the High School for Civil Rights provides students with the academic background and workplace exposure needed for success. AP courses, Cheerleading and PSAL sports are also offered.",-73.894747,17214.0,"{'type': 'Point', 'coordinates': [-73.894747, 40.667456]}",9 to 12,47
09X227,X58X,Y,,,2007806,,,,,,,,,,,,8.0,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,"Basketball, Cross Country, Flag Football, Indoor Track, Outdoor Track, Softball, Volleyball, Wrestling","Morning and after-school tutoring, CUNY College Now, winter showcase, career day, SAT prep, Saturday academy, Food 4 Thought",,2028170002,,,Open to New York City residents,BRONX,,,The mission of Bronx Collegiate Academy (BCA) is to ensure that each student graduates prepared for the rigors of college. BCA is a small school that provides all students with the support and individual attention they need in order to achieve academic success.,-73.91091,10935.0,"{'type': 'Point', 'coordinates': [-73.91091, 40.840422]}",9 to 12,27
21K540,K56A,Y,,Course Grades: Average,3194998,Priority to Brooklyn students or residents,,Priority to Brooklyn students or residents,,Attendance,K56L,,,,"The Pre-Med Academy equips students with knowledge and competencies that allow them to excel in college pre-med and health professional programs. Students experience an immersive clinical internship, study anatomy, medical technology, medical ethics, and take AP and college-level courses. Students graduate with certifications in CPR, first aid, and others accredited by the American Red Cross. All applicants are interviewed; information available at premed@johndeweyhighschool.org",N,8.0,,,,,K56M,,100% of offers went to this group,76.0,,,Science & Math,Yes,Y,,Y,,,,,,37.0,,,2.0,,56.0,,,,,"Badminton, Basketball, Lacrosse, Outdoor Track, Soccer, Softball, Table Tennis, Tennis, Volleyball","Fashion Design, Performing Arts & Dance, Photography, Computer Graphics & Visual Arts, Ceramics, SING, Theater, Musical Theater",,3071850020,,,Priority to Brooklyn students or residents,BROOKLYN,,,"We offer an innovative form of education that empowers students to make responsible decisions. Our school is comprised of five small learning communities. Our small learning communities allow teachers to work with students for enrichment, remediation, and social engagement. Students receive the individualized attention found in a small school within the setting of a comprehensive high school. Our small learning communities prepare students for a variety of career pathways and college-readiness programs in core subject areas including the arts, business, STEM, law, and heath professions.",-73.981738,18183.0,"{'type': 'Point', 'coordinates': [-73.981738, 40.589268]}",9 to 12,35
06M423,A24A,,,,1076776,,,,,,,,,,,,1.0,,,,,,Open only to 15 and 16 year old New York City residents entering high school for the first time. Students must have a record of being held back two times in elementary and/or middle school and students must attend an Open House and personalized intake meeting.,,,,,,No,,,,,,,,,,,,,,,,,,,"Badminton, Softball",NDA Paid Internship Program for students in which students are paired with an outside company while receiving academic tutoring.,,1022330020,,,,MANHATTAN,,,"At the High School for Excellence and Innovation, we empower our students by providing an abundance of opportunities for them to exercise student voice and choice during their high school experience. By building students' capacity to fully participate as community members of their school, we help them become agents of change who positively affect their homes, communities, and the world. Our belief is that regardless of previous challenges, every student can earn a high school diploma and be prepared to transition to post-secondary training or college to embark on their 21st century career paths.",-73.924835,13098.0,"{'type': 'Point', 'coordinates': [-73.924835, 40.866053]}",9 to 12,22
24Q267,Q07R,,,,4003517,,,,,,,,,,,,8.0,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,"Basketball, Cross Country, Flag Football, Rugby, Soccer, Softball, Table Tennis, Volleyball","Global History, US History, Mathematics, Physics, Chemistry, Health & Nutrition, Earth Science",,4002740001,,,Priority to Queens students or residents,LONG ISLAND CITY,,,"At the High School of Applied Communication, our mission is to empower every student to achieve more through the values of hard work, persistence and determination. Our school provides a small caring and supportive environment for students to develop highly marketable communication skills for the 21st century. We offer a rigorous college preparatory curriculum focusing on literacy development, problem-solving and critical thinking. Students are provided full access to Advanced Placement courses. LaGuardia Community College provides our students a wide array of CUNY College Now classes. Our school requires students to wear their uniform on a daily basis.",-73.936635,16858.0,"{'type': 'Point', 'coordinates': [-73.936635, 40.745095]}",9 to 12,66
10X342,Y24A,,,,2015241,,,,,,,,,,,,6.0,,,,,,Open only to New York City residents whose home language is Spanish,,,,,,No,,,,,,,,,,,,,,,,,,,"Basketball, Bowling, Softball, Swimming, Table Tennis, Volleyball",Computer Science for All (CS4A),,2032470070,,,Priority to continuing 8th graders,BRONX,,,"We nurture our students to become fully functional in both English and their home language, Spanish. They will graduate with the tools necessary to compete in the 21st century. We believe our students are assets to the community and will serve as role models who respect and are proud of their own culture as well as the culture of others. The International School for Liberal Arts (ISLA) is designed to foster success for all students so that they graduate prepared for college and careers.",-73.898309,11606.0,"{'type': 'Point', 'coordinates': [-73.898309, 40.870293]}",6 to 12,34
17K590,K77A,Y,,,3348092,,,,,,,,,,,,22.0,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,"Basketball, Cross Country, Indoor Track, Outdoor Track, Soccer, Swimming, Volleyball","STEAM-Engineering, Computer Science (Programming), Multimedia Technology (Video and Graphic Design), Structural Engineering (Welding)",,3012890025,,,Priority to continuing 8th graders,BROOKLYN,,,"Our students take challenging courses that include four years of English Language Arts (ELA), mathematics, science, and technology and three years of a foreign language. Students complete at least one Advanced Placement (AP) course. Students also enroll in college courses and research internships at Medgar Evers College, City University of New York (CUNY) in the 11th grade and earn up to 15 college credits each semester. Student creativity, character development, and social responsibility are cultivated through individualized guidance, college advisement, athletics, clubs, fine and performing arts events, community service, and mentorships.",-73.951167,13509.0,"{'type': 'Point', 'coordinates': [-73.951167, 40.667195]}",6 to 12,44
06M463,M30A,,,,1076751,,,,,,,,,,,,3.0,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,"Basketball, Flag Football, Indoor Track, Outdoor Track, Soccer, Softball, Swimming, Volleyball","Advanced Placement- English Language & Composition, English Literature & Composition, US History, Biology, Spanish Language & Composition, Calculus BC",,1021600018,,,Priority to District 6 students or residents,MANHATTAN,,,"We are a small learning community whose mission is to provide a rigorous education that encourages and inspires inquiry, creativity, critical thinking, and free expression. We provide a learning environment that is engaging, culturally and socially responsive, and prepares students for success in the future. Our school is equipped with a state-of-the-art television and recording studio where students develop different skills designed to succeed in the 21st century. Ultimately, we develop lifelong learners who will prosper in college and future careers.",-73.92712,13098.0,"{'type': 'Point', 'coordinates': [-73.92712, 40.855855]}",9 to 12,22
