date_complaint_inquiry,nature_of_complaint_inquiry,bic_number,census_tract,community_board
,Unlicensed Carter - Trade Waste,TWC-0,,
2017-01-18T00:00:00.000,Quality of Life-Noise - Trade Waste,BIC-1323,1502.0,1.0
,Other - All,TWC-NaN,,
,Misinformation - All,TWC-NaN,,
2024-05-03T00:00:00.000,Other - All,BIC-112,,
,,TWC-NaN,,
2017-12-08T00:00:00.000,Decals - Trade Waste,,,
2020-04-08T00:00:00.000,Other - All,,,
,Misinformation - All,TWC-111,,
,Licensing - All,TWC-NaN,,
2022-08-19T00:00:00.000,Misinformation - All,BIC-509958,,
,Misinformation - All,TWC-NaN,,
2016-11-21T00:00:00.000,Unlicensed Carter - Trade Waste,,113.0,5.0
2023-10-23T00:00:00.000,Containers-Unremoved - Trade Waste;Containers-Abandoned - Trade Waste,BIC-2739,,
,Quality of Life-Noise - Trade Waste,,,
2014-05-15T00:00:00.000,Information - All,,,
,Misinformation - All,TWC-NaN,,
2018-09-05T00:00:00.000,Other - All,HPA-66,,
,Information - All;Decals - Trade Waste,TWC-NaN,,
,Information - All,TWC-NaN,,
,Quality of Life-Odor - Trade Waste,TWC-1329,,
,Quality of Life-Noise - Trade Waste,TWC-93,,
,Unlicensed Carter - Trade Waste,TWC-NaN,,
,Cardboard-Theft - Trade Waste,TWC-972,,
,Licensing - All,,,
,Recycling - Trade Waste,TWC-NaN,,
,Information - All,TWC-NaN,,
2019-05-14T00:00:00.000,Other - All,BIC-493517,,
,Quality of Life-Odor - Trade Waste,TWC-4226,,
2023-08-17T00:00:00.000,Other - All,,91.0,4.0
,Service - All,TWC-NaN,,
,Quality of Life-Noise - Trade Waste,,,
2021-04-20T00:00:00.000,Misinformation - All,,,
,Unlicensed Carter - Trade Waste,,,
,Misinformation - All,TWC-NaN,,
,Unlicensed Carter - Trade Waste,,,
,Misinformation - All,TWC-NaN,,
,Licensing - All,TWC-NaN,,
2015-06-25T00:00:00.000,Other - All;Harassment - All,BIC-1258,6.0,3.0
2014-10-09T00:00:00.000,Information - All,,,
,Information - All,TWC-1110,,
,Service - All,,,
,Unlicensed Carter - Trade Waste,TWC-NaN,,
2017-10-04T00:00:00.000,Quality of Life-Spillage - Trade Waste,BIC-311,1191.0,7.0
2015-12-07T00:00:00.000,Other - All,BIC-3531,58.0,10.0
,Unlicensed Carter - Trade Waste,,,
2024-12-30T00:00:00.000,Rates-Overcharge - Trade Waste,BIC-390,,
2015-04-30T00:00:00.000,Unlicensed Carter - Trade Waste,,44.0,6.0
,Information - All,TWC-1059,,
,Change of Carter - Trade Waste;Contracts - Trade Waste,TWC-48,680.0,18.0
,Unlicensed Carter - Trade Waste,TWC-0,,
2018-08-13T00:00:00.000,Service - All,BIC-311,1139.0,11.0
2025-04-30T00:00:00.000,Waste Stream Survey - Trade Waste;Contracts - Trade Waste;Rates-Overcharge - Trade Waste,BIC-112,157903.0,13.0
2015-06-11T00:00:00.000,Other - All,BIC-1181,,
,Licensing - All,,,
,Quality of Life-Odor - Trade Waste,TWC-NaN,,
2014-08-25T00:00:00.000,Information - All,,,
2014-05-13T00:00:00.000,Information - All,,,
2020-11-06T00:00:00.000,Service - All,BIC-390,142.0,8.0
,Cardboard-Other - Trade Waste,TWC-4446,,
,Unlicensed Carter - Trade Waste,,,
,Other - All,TWC-NaN,,
2020-07-06T00:00:00.000,Other - All,BIC-93,,
,Licensing - All,,,
2015-04-02T00:00:00.000,Information - All;Licensing - All,,,
2014-09-08T00:00:00.000,Information - All;Decals - Trade Waste,,,
2015-02-12T00:00:00.000,Quality of Life-Noise - Trade Waste,BIC-280,,
,,TWC-NaN,,
2014-11-13T00:00:00.000,Quality of Life-Noise - Trade Waste;Quality of Life-Odor - Trade Waste;Other - All,BIC-3034,,
,Waste Oil - Trade Waste,TWC-3525,,
2019-01-08T00:00:00.000,Contracts - Trade Waste,BIC-1059 / TS-94 / TS-95 / TS-123 / TS-124,,
2016-01-11T00:00:00.000,Licensing - All,,,
,Containers-Unremoved - Trade Waste;Contracts - Trade Waste;Harassment - All,TWC-1181,,
,Termination Notice - Trade Waste,TWC-340,,
2024-11-05T00:00:00.000,Licensing - All,,,
2016-06-24T00:00:00.000,Quality of Life-Noise - Trade Waste,,,
,Information - All,TWC-NaN,,
2016-10-03T00:00:00.000,Containers-Unremoved - Trade Waste,BIC-1240,,
,Hurricane Cleanup,,328.0,13.0
,Other - All,TWC-2693,,
2015-07-27T00:00:00.000,Information - All,,,
,Misinformation - All,TWC-NaN,,
,Criminal - All,TWC-175,,
2021-06-03T00:00:00.000,Other - All,BIC-487338,,
,,TWC-NaN,,
,Waste Stream Survey - Trade Waste;Recycling - Trade Waste,TWC-87,99.0,4.0
,Information - All,TWC-NaN,,
2025-09-09T00:00:00.000,Unlicensed Carter - Trade Waste;Illegal Dumping - Trade Waste;Other - All,BIC-511492,88.0,10.0
,Information - All;Unlicensed Carter - Trade Waste,TWC-1366,39.0,1.0
2016-04-27T00:00:00.000,Unlicensed Landscaper - Trade Waste,,,
,Information - All;Licensing - All,TWC-NaN,,
,Information - All,TWC-NaN,,
2023-05-12T00:00:00.000,Quality of Life-Noise - Trade Waste,BIC-2013,69.0,2.0
,Quality of Life-Noise - Trade Waste,TWC-NaN,,
2015-07-22T00:00:00.000,Service - All,BIC-1181,523.0,1.0
,Service - All,TWC-223,,
,Information - All,TWC-NaN,,
,Unlicensed Carter - Trade Waste,TWC-NaN,,
,Unlicensed Carter - Trade Waste,TWC-0,,
2014-01-27T00:00:00.000,Unlicensed Carter - Trade Waste,BIC-3300,627.0,5.0
2014-01-08T00:00:00.000,Containers-Unremoved - Trade Waste,BIC-112,,
,Information - All,TWC-NaN,,
2014-09-09T00:00:00.000,Information - All,,,
,FOIL - All,,,
,Containers-Unremoved - Trade Waste,TWC-605,445.0,4.0
,FOIL - All,TWC-NaN,,
,Cardboard-Theft - Trade Waste,TWC-172,,
2025-04-21T00:00:00.000,Information - All,BIC-506674,,
