property_id,property_name,percent_of_electricity_that,national_median_reference,financial_office_weekly,national_median_energy_star,office_gross_floor_area_ft,medical_office_percent_that_1,multifamily_housing_number_2,propane_use_kbtu,weather_normalized_site_2,weather_normalized_source,parking_open_parking_lot,data_center_it_source_energy,fuel_oil_1_use_kbtu,estimated_data_flag_fuel_3,electricity_use_grid_purchase_3,hospital_general_medical,annual_maximum_demand_meter,national_median_total_ghg,restaurant_worker_density,outdoor_water_use_all_water,national_median_site_eui,alert_energy_meter_has_less,number_of_active_energy_meters_1,food_service_gross_floor,district_hot_water_use_kbtu,fitness_center_health_club,multifamily_housing_number_7,medical_office_gross_floor,metered_areas_energy,weather_normalized_site_energy,office_worker_density_number,multifamily_housing_percent,source_eui_kbtu_ft,alert_property_has_no_uses,residence_hall_dormitory,parking_gross_floor_area,retail_store_number_of_walk,nyc_building_identification,direct_ghg_emissions_intensity,multifamily_housing_gross,third_party_certification,non_refrigerated_warehouse,alert_energy_no_meters,green_power_onsite_kwh,financial_office_number_of,hospital_general_medical_8,mailing_center_post_office,data_center_it_equipment,restaurant_weekly_operating,performing_arts_gross_floor,alert_energy_meter_has_single,weather_normalized_source_1,medical_office_number_of,parking_partially_enclosed,metered_areas_water,electricity_use_generated,multifamily_housing_resident,city,electricity_use_generated_3,net_emissions_metric_tons,green_power_offsite_kwh,property_gfa_calculated_2,laboratory_gross_floor_area,energy_star_certification_1,parent_property_name,property_gfa_calculated_1,senior_living_community_living,hospital_general_medical_3,total_ghg_emissions_intensity,largest_property_use_type,alert_data_center_issue_with,alert_water_meter_has_less,district_chilled_water_use,hospital_general_medical_5,hospital_general_medical_1,_3rd_largest_property_use,courthouse_gross_floor_area,last_modified_date_property
4945706,AKAM - 120 Riverside Boulevard,0,Fannie Mae Industry Survey - Multifamily,Not Available,50,5702,Not Available,0,Not Available,222157.8,132.6,0,Not Available,Not Available,Not Available,9761967.4,Not Available,Not Available,1642.2,Not Available,Not Available,69.3,Ok,6,Not Available,Not Available,Not Available,0,Not Available,Whole Property,31704155.7,1.05226,90,132.1,Ok,Not Available,27082,Not Available,1086247,3,370686,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,49894028.9,Not Available,0,Whole Property,Not Available,No specific resident population,New York,Not Available,1957.4,0,27082,Not Available,No,Not Applicable: Standalone Property,376388.0,Not Available,Not Available,5.2,Multifamily Housing,Ok,Possible Issue,Not Available,Not Available,Not Available,Office,Not Available,05/09/2022 01:19 PM EDT
4952381,AKAM - 400 East 54th Street,0,Fannie Mae Industry Survey - Multifamily,Not Available,50,Not Available,Not Available,0,Not Available,3507.6,125.9,Not Available,Not Available,Not Available,Not Available,4256705.4,Not Available,Not Available,1415.1,Not Available,Not Available,82.5,Ok,5,Not Available,Not Available,Not Available,0,Not Available,Whole Property,20154447.6,Not Available,100,119.8,Ok,Not Available,Not Available,0,1076281,0.1,207294,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,30710837.6,Not Available,Not Available,Whole Property,Not Available,No specific resident population,New York,Not Available,1313.9,0,Not Available,Not Available,No,Not Applicable: Standalone Property,243945.0,Not Available,Not Available,5.4,Multifamily Housing,Ok,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,03/21/2022 09:14 AM EDT
2694235,DEPM 1752 - 95 Lexington Ave,0,Fannie Mae Industry Survey - Multifamily,Not Available,50,Not Available,Not Available,0,Not Available,35015.8,93.8,Not Available,Not Available,Not Available,No,717805,Not Available,Not Available,322.7,Not Available,Not Available,91.2,Ok,9,Not Available,Not Available,Not Available,1.2828,Not Available,Whole Property,4198542.5,Not Available,0,88.8,Ok,Not Available,Not Available,Not Available,1018132,2.8,60025,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,5628159.7,Not Available,Not Available,Whole Property,Not Available,No specific resident population,New York,Not Available,228.7,0,Not Available,Not Available,No,Not Applicable: Standalone Property,60025.0,Not Available,Not Available,3.8,Multifamily Housing,Ok,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,05/22/2022 10:37 PM EDT
4945656,AKAM - 205 West End Avenue,0,Fannie Mae Industry Survey - Multifamily,Not Available,50,8898,Not Available,0,Not Available,148508.1,112,0,Not Available,Not Available,Not Available,6630215.5,Not Available,Not Available,3664.2,Not Available,Not Available,86.8,Ok,4,Not Available,Not Available,Not Available,0,Not Available,Whole Property,54116551.4,0.44954,100,106.9,Ok,Not Available,100600,Not Available,1070766,1.2,641427,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,72851571.2,Not Available,0,Whole Property,Not Available,No specific resident population,New York,Not Available,3302.7,0,100600,Not Available,No,Not Applicable: Standalone Property,650325.0,Not Available,Not Available,5.1,Multifamily Housing,Ok,Ok,Not Available,Not Available,Not Available,Office,Not Available,05/20/2022 07:15 PM EDT
4940493,ZARA - 90-36 149 Street,0,Fannie Mae Industry Survey - Multifamily,Not Available,50,Not Available,Not Available,0,Not Available,72703.7,126.6,Not Available,Not Available,Not Available,Not Available,2300398.7,Not Available,Not Available,524.2,Not Available,Not Available,77.8,Ok,6,Not Available,Not Available,Not Available,1.01323,Not Available,Whole Property,9542103.8,Not Available,10,123.7,Ok,Not Available,Not Available,Not Available,4206814,3.3,110538,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,13994748.9,Not Available,Not Available,Whole Property,Not Available,No specific resident population,Jamaica,Not Available,560.1,0,Not Available,Not Available,No,Not Applicable: Standalone Property,110538.0,Not Available,Not Available,5.1,Multifamily Housing,Ok,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,07/27/2022 01:58 PM EDT
6667523,AKAM - 530 East 76th Street,0,Fannie Mae Industry Survey - Multifamily,Not Available,50,Not Available,Not Available,Not Available,Not Available,3474.2,152.5,Not Available,Not Available,Not Available,Not Available,8796378.3,Not Available,Not Available,1880.4,Not Available,Not Available,71.4,Ok,3,Not Available,Not Available,Not Available,0,Not Available,Whole Property,35669980.9,Not Available,100,154.2,Ok,Not Available,Not Available,Not Available,1072696,0,372489,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,56794185.9,Not Available,Not Available,Whole Property,Not Available,Not Available,New York,Not Available,2553.5,0,Not Available,Not Available,No,Not Applicable: Standalone Property,372489.0,Not Available,Not Available,6.9,Multifamily Housing,Ok,Possible Issue,Not Available,Not Available,Not Available,Not Available,Not Available,05/20/2022 08:12 PM EDT
2665783,Stonehenge - 10 Downing Street,0,Fannie Mae Industry Survey - Multifamily,Not Available,50,Not Available,Not Available,0,Not Available,78230.6,135.4,Not Available,Not Available,Not Available,Not Available,3032448.1,Not Available,Not Available,579.6,Not Available,Not Available,76.4,Ok,11,Not Available,Not Available,Not Available,1.10635,Not Available,Whole Property,10765095.8,Not Available,0,132,Ok,Not Available,Not Available,0,1008350,3.1,109369,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,16451919.3,Not Available,Not Available,Whole Property,Not Available,No specific resident population,New York,Not Available,638.2,0,Not Available,Not Available,No,Not Applicable: Standalone Property,121476.0,Not Available,Not Available,5.3,Multifamily Housing,Ok,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,05/20/2022 09:22 PM EDT
6164046,220 Berkeley Place,0,Fannie Mae Industry Survey - Multifamily,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,497211.3,Not Available,Not Available,204,Not Available,Not Available,78.2,Ok,6,Not Available,Not Available,Not Available,0.50698,Not Available,Whole Property,Not Available,Not Available,100,61.2,Ok,Not Available,3450,Not Available,3024572,1.4,41422,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Possible Issue,Not Available,Not Available,0,Whole Property,Not Available,Not Available,Brooklyn,Not Available,99.8,0,3450,Not Available,No,Not Applicable: Standalone Property,41422.0,Not Available,Not Available,2.4,Multifamily Housing,Ok,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,03/18/2022 10:36 AM EDT
10894241,Progressive - 1124-1132 Clay Avenue,0,Fannie Mae Industry Survey - Multifamily,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1114243.2,Not Available,Not Available,305.4,Not Available,Not Available,115.9,Ok,5,Not Available,Not Available,Not Available,1.14224,Not Available,Whole Property,Not Available,Not Available,100,257.4,Ok,Not Available,Not Available,Not Available,2002069,9.6,46400,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Possible Issue,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Bronx,Not Available,540.5,0,Not Available,Not Available,No,Progressive - Campus - 1120-1140 Clay Avenue,46400.0,Not Available,Not Available,11.6,Multifamily Housing,Ok,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,05/24/2022 11:11 AM EDT
20662116,DEPM 1932 - 244 Madison Avenue,0,Fannie Mae Industry Survey - Multifamily,Not Available,50,Not Available,Not Available,Not Available,Not Available,80049,122.2,Not Available,Not Available,Not Available,Not Available,3362467.3,Not Available,Not Available,757.6,Not Available,Not Available,83.9,Ok,6,Not Available,Not Available,Not Available,0,Not Available,Whole Property,11236082.9,Not Available,100,118,Ok,Not Available,Not Available,Not Available,1017221,2.6,142836,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,17452463.9,Not Available,Not Available,Whole Property,Not Available,Not Available,New York,Not Available,660.7,0,Not Available,Not Available,No,Not Applicable: Standalone Property,142836.0,Not Available,Not Available,4.6,Multifamily Housing,Ok,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,05/20/2022 11:45 PM EDT
11212782,1965 Broadway & 155 West 66th St Campus,0,Fannie Mae Industry Survey - Multifamily,Not Available,50,Not Available,Not Available,Not Available,Not Available,6435.1,98.3,Not Available,Not Available,Not Available,Not Available,20964471,Not Available,Not Available,3662.1,Not Available,Not Available,59.6,Ok,9,Not Available,Not Available,Not Available,0.20201,Not Available,Whole Property,39190345.3,Not Available,90,99,Ok,Not Available,Not Available,0,"10,288,391,028,838",0,584122,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,79524363.8,Not Available,Not Available,Whole Property,Not Available,No specific resident population,New York,Not Available,2948.8,0,Not Available,Not Available,No,1965 Broadway & 155 West 66th St Campus,809091.0,Not Available,Not Available,3.6,Multifamily Housing,Ok,Ok,Not Available,Not Available,Not Available,Retail Store,Not Available,05/31/2022 06:26 PM EDT
10856046,(6022)-(NG) 9431 60 AVE,Not Available,Fannie Mae Industry Survey - Multifamily,Not Available,50,Not Available,Not Available,Not Available,Not Available,5545,1.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1988.1,Not Available,Not Available,101.5,Ok,2,Not Available,Not Available,Not Available,0,Not Available,Whole Property,554500,Not Available,100,1.6,Ok,Not Available,Not Available,Not Available,4047252,0.1,368854,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,582225,Not Available,Not Available,Not Available,Not Available,Not Available,Queens,Not Available,29.5,Not Available,Not Available,Not Available,No,(6022) - Rego Park Owners (Campus),368854.0,Not Available,Not Available,0.1,Multifamily Housing,Ok,Unable to Check (not enough data),Not Available,Not Available,Not Available,Not Available,Not Available,08/25/2022 04:06 PM EDT
3108042,DEPM 1442 - 1016 Fifth Ave,0,Fannie Mae Industry Survey - Multifamily,Not Available,50,Not Available,100,46,Not Available,1454.5,95.9,Not Available,Not Available,Not Available,No,2769972.5,Not Available,Not Available,1013.6,Not Available,Not Available,72.5,Ok,6,Not Available,Not Available,Not Available,0,8500,Whole Property,12353086.6,Not Available,0,92.1,Ok,Not Available,Not Available,Not Available,1046770,3.6,172550,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,17366500.3,17,Not Available,Whole Property,Not Available,Not Available,New York,Not Available,894.9,0,Not Available,Not Available,No,Not Applicable: Standalone Property,181050.0,Not Available,Not Available,4.9,Multifamily Housing,Ok,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,05/20/2022 07:18 PM EDT
2705517,URA Group - 44 Court Street,0,CBECS - Office & Bank/Financial,Not Available,50,135345,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6193510.2,Not Available,Not Available,848.7,Not Available,Not Available,67.2,Ok,2,Not Available,Not Available,Not Available,Not Available,Not Available,Whole Property,Not Available,2.29783,Not Available,116,Ok,Not Available,Not Available,0,3002242,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Possible Issue,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Brooklyn,Not Available,523.6,0,Not Available,Not Available,No,Not Applicable: Standalone Property,149445.0,Not Available,Not Available,3.5,Office,Ok,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,05/17/2022 02:02 PM EDT
4952021,AKAM - 135 West 70th Street,0,Fannie Mae Industry Survey - Multifamily,Not Available,50,2241,Not Available,0,Not Available,50482.5,148,Not Available,Not Available,Not Available,Not Available,3354594.1,Not Available,Not Available,444.8,Not Available,Not Available,67.1,Ok,5,Not Available,Not Available,Not Available,0.80522,Not Available,Whole Property,8458375.6,6.24721,100,144,Ok,Not Available,Not Available,Not Available,1029786,2.5,98110,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,14849019.7,Not Available,Not Available,Whole Property,Not Available,No specific resident population,New York,Not Available,539.2,0,Not Available,Not Available,No,Not Applicable: Standalone Property,100351.0,Not Available,Not Available,5.4,Multifamily Housing,Ok,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,03/07/2022 07:50 PM EST
21294025,AKAM - 61-45 - 61-55 98th Street,0,Fannie Mae Industry Survey - Multifamily,Not Available,50,Not Available,Not Available,Not Available,Not Available,509945.3,181.2,Not Available,Not Available,Not Available,Not Available,6081944.6,Not Available,Not Available,2370.6,Not Available,Not Available,107.5,Ok,4,Not Available,Not Available,Not Available,0,Not Available,Whole Property,56932155.6,Not Available,100,163,Ok,Not Available,Not Available,Not Available,4431966;4431965,6,387200,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,70169599.9,Not Available,Not Available,Whole Property,Not Available,Not Available,Queens,Not Available,2844.6,0,Not Available,Not Available,No,AKAM - Campus - Park City Estates,387200.0,Not Available,Not Available,7.3,Multifamily Housing,Ok,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,07/27/2022 04:48 PM EDT
11878625,AKAM - 432 West 52nd Street,0,Fannie Mae Industry Survey - Multifamily,Not Available,50,Not Available,Not Available,Not Available,Not Available,16121.1,106.2,Not Available,Not Available,Not Available,Not Available,1627174.6,Not Available,Not Available,250.8,Not Available,Not Available,61.4,Ok,5,Not Available,Not Available,Not Available,0.93456,Not Available,Whole Property,3239281,Not Available,100,104.3,Ok,Not Available,Not Available,Not Available,1026728,1.4,58851,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,6248800.5,Not Available,Not Available,Whole Property,Not Available,Not Available,New York,Not Available,217.6,0,Not Available,Not Available,No,Not Applicable: Standalone Property,58851.0,Not Available,Not Available,3.7,Multifamily Housing,Ok,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,05/20/2022 10:09 PM EDT
2666543,SW - 140-54 West 72nd,0,Fannie Mae Industry Survey - Multifamily,Not Available,50,Not Available,Not Available,0,Not Available,40194.5,Not Available,Not Available,Not Available,Not Available,Not Available,1652024.9,Not Available,Not Available,294.4,Not Available,Not Available,72.2,Ok,30,Not Available,Not Available,Not Available,0,Not Available,Whole Property,Not Available,Not Available,0,157.1,Ok,Not Available,Not Available,0,1081478;1081479;1081480;1081481;1081482;1081483;1081484;1081485;1081486;1081487;1081488;1081489,4.7,51410,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Possible Issue,Not Available,Not Available,Not Available,Not Available,Not Available,No specific resident population,New York,Not Available,434.6,0,Not Available,Not Available,No,Not Applicable: Standalone Property,62840.0,Not Available,Not Available,6.9,Multifamily Housing,Ok,Possible Issue,Not Available,Not Available,Not Available,Not Available,Not Available,09/07/2022 07:48 PM EDT
11861638,AKAM - 176 Broadway,0,Fannie Mae Industry Survey - Multifamily,Not Available,50,Not Available,Not Available,Not Available,Not Available,56854.7,102.5,Not Available,Not Available,Not Available,Not Available,4105512.9,Not Available,Not Available,661.8,Not Available,Not Available,58.6,Ok,5,Not Available,Not Available,Not Available,0,Not Available,Whole Property,9708705,Not Available,100,100.1,Ok,Not Available,Not Available,Not Available,1001100,1.6,168176,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,17234795.8,Not Available,Not Available,Not Available,Not Available,Not Available,New York,Not Available,617.0,0,Not Available,Not Available,No,Not Applicable: Standalone Property,168176.0,Not Available,Not Available,3.7,Multifamily Housing,Ok,Unable to Check (not enough data),Not Available,Not Available,Not Available,Not Available,Not Available,05/20/2022 10:08 PM EDT
