dbn,school_name,fax_number,grade9swdapplicantsperseat10,applicants2specialized,admissionspriority110,seats109,auditioninformation8,grade9swdfilledflag8,requirement3_7,offer_rate8,grade9swdapplicantsperseat8,common_audition10,psal_sports_boys,requirement4_3,grade9gefilledflag3,requirement3_5,requirement2_8,total_students,admissionspriority23,grade9geapplicantsperseat9,grade9geapplicants2,grade9geapplicantsperseat1,academicopportunities2,requirement3_10,seats9swd2,common_audition5,admissionspriority19,grade9geapplicants6,requirement3_6,specialized,auditioninformation10,requirement8_1,seats9swd5,zip,grade9swdapplicantsperseat1,grade9swdfilledflag6,requirement5_3,grade9swdfilledflag2,code10,grade9swdapplicants3,academicopportunities1,interest5,offer_rate6,academicopportunities4,seats9ge6,requirement8_2,grade9geapplicants7,requirement1_3,requirement3_3,admissionspriority14,program7,building_code,common_audition1,requirement6_9,applicants1specialized,requirement1_9,auditioninformation9,grade9geapplicants9,admissionspriority18,subway,grades2018
02M580,Richard R. Green High School of Teaching,646-826-8175,,,,,,,,,,,Basketball,,,,,499,,,94,2.0,"Teaching Internships & Seminar; The Liberal Arts Program offers mentoring, internships, after-school workshops, and a career fair; Deloitte partnership",,14,,,,,,,,,10004,2.0,,,N,,,"iLearnNYC: Program for expanded online coursework and self-paced learning; AP English, AP US History, AP Biology and AP Spanish; ScriptEd (coding)",,,College for Every Student (CFES): Four-year program for underserved youth preparing them to gain access to and succeed in college,,,,,,,,M282,,,,,,,,"1 to South Ferry; 2, 3 to Wall St; 4, 5 to Bowling Green; A, C to Fulton St; J, Z to Broad St; R, W to Rector St",9 to 12
29Q283,Preparatory Academy for Writers: A College Board School,718-525-8495,,,,,,,,,,,"Baseball, Basketball, Football, Indoor Track, Outdoor Track, Soccer, Wrestling",,,,,588,,,N/A - continuing program,3.0,Our school uses a non-traditional schedule in order to allow most students to meet all high school graduation requirements after three years.,,N/A - continuing program,,,,,,,,,11413,5.0,,,Y,,,"Students receive weekly college and career planning in partnership with the College Board, CFES, and the Child Center of New York.",,,"Our video production course teaches students to use professional audio/video equipment to produce short films, original music, documentaries, etc.",,,,,,,,Q420,,,,,,,,,6 to 12
30Q258,Energy Tech High School,718-472-0490,,,,,,,,-100% of offers went to this group,,,"Basketball, Handball",,,,,511,,,,14.0,Associate Degree: Up to two years of college coursework in engineering; college classes as early as 10th grade; students declare major in 12th grade.,,,,,,,,,,,11106,14.0,,,,,,CTE program(s) in: Energy Technology (Electrical and Mechanical). Students take rigorous early college coursework with an engineering focus.,,-100% of offers went to this group,"Industry mentoring program, college and career trips, team-building activities; FRC and FTC robotics; fabrication and maker classes at Cornell Tech.",,,,,,,,Q204,,,,,,,,"M, R to 36th St; N, W to 36th Ave",9 to 14
09X231,Eagle Academy for Young Men,718-466-8090,,,,,,,,,,,"Baseball, Basketball, Wrestling",,,,,511,,,540,,Facing History & Research Writing: teachers and scholars think critically about history and examine events/issues through culturally relevant topics.,,14,,,,,,,,,10457,,,,Y,,,"Software Engineering: all scholars take at least one course in computer programming, with more available, culminating in AP Computer Science A course.",,,Fordham STEP: an academic enrichment program preparing scholars for college and careers in STEM-related fields and other licensed professions.,,,,,,,,X465,,,,,,,,,6 to 12
04M680,"Heritage School, The",212-828-2861,,,,,,,,,,,"Baseball, Basketball, Bowling, Football, Outdoor Track, Soccer, Volleyball, Wrestling",,,,,294,,,,6.0,"College Now courses offered by our CUNY partner Hunter College. Courses offered during Fall, Spring, and Summer sessions.",,,,,,,,,,,10029,12.0,,,,,,A Humanities and Interdisciplinary approach for 9th and 10th grade; additional math and science for 11th and 12th grade students,,,Full-time college counselor provided through our Partnership with CBI (College Bound Initiative). Princeton Review SAT preparation courses.,,,,,,,,M107,,,,,,,,6 to 103rd St,9 to 12
22K425,James Madison High School,718-758-7341,,,,,,,,,,,"Badminton, Baseball, Basketball, Bowling, Cross Country, Football, Handball, Indoor Track, Lacrosse, Outdoor Track, Rugby, Soccer, Swimming, Table Tennis, Tennis, Volleyball, Wrestling",,N/A - zoned program,,,3657,,,2453,48.0,iLearnNYC: Program for expanded online coursework and self-paced learning,,28,,,,,,,,,11229,30.0,,,Y,,N/A - zoned program,Our school offers an AP Capstone Program and 16 other AP courses.,,,"Academy of Information Technology, Bio-Med, Law, International House, Academy of Finance, Math Academy, Art, Music and Literature House",,,,,,,,K425,,,,,,,,,9 to 12
09X543,High School for Violin and Dance,718-589-9849,,,,,,,,,,,"Baseball, Basketball, Soccer",,,,,264,,,,3.0,CUNY College Now Monroe Jump Start,,,,,,,,,,,10456,3.0,,,,,,Our students are required to take four years of string orchestra and/or dance. We also offer Graphic/Visual Arts.,,,Forensics and Anatomy are offered to Senior students.,,,,,,,,X400,,,,,,,,,9 to 12
02M489,High School of Economics and Finance,212-346-0712,,,,,,,,,,,"Basketball, Bowling, Cross Country, Handball, Outdoor Track",,,,,738,,,,7.0,iLearnNYC: Program for expanded online coursework and self-paced learning,,,,,,,,,,,10006,7.0,,,,,,"CTE program(s) in: Business, Entrepreneurship, Accounting, Finance, Computer Applications, Virtual Enterprise, CUNY College Now",,,Moodys Summer Experience: Four-week summer program for all incoming 9th graders,,,,,,,,M833,,,,,,,,"1 to Rector St; 2, 3, A, C, J, Z to Fulton St; 4, 5 to Wall St; 6 to Brooklyn Bridge-City Hall; E to World Trade Center; R, W to Cortlandt St",9 to 12
14K449,"Brooklyn Latin School, The",718-381-3012,,,,,,,,,,,"Baseball, Wrestling",,,,,678,,,,,"150 hours of Creativity, Action, and Service (CAS), which may include volunteering or engaging meaningfully with the community outside of TBLS",,,,,,,1.0,,,,11206,,,,,,,"IB Programme: extended independent essay, on a subject of choice, the completion of which correlates closely to college-level research writing",,,,,,,,,,,K049,,,17111.0,,,,,G to Broadway; L to Grand St,9 to 12
24Q236,International High School for Health Sciences,718-595-8605,,,,,,,,-100% of offers went to this group,,,"Baseball, Basketball, Bowling, Cross Country, Outdoor Track, Soccer, Tennis, Volleyball",,,,,307,,,,5.0,Students complete Performance-based Assessment Tasks (PBATs) as a replacement for some Regents Exams.,,,,,,,,,,,11373,2.0,,,,,,IHS-HS administers Portfolio Assessments for core courses alongside Math and ELA Regents.,,-100% of offers went to this group,"Medical career focus, team setting, advisory courses, internships, early college programs",,,,,,,,Q455,,,,,,,,"M, R to Grand Ave-Newtown",9 to 12
28Q690,High School for Law Enforcement and Public Safety,718-977-4802,,,,,,,Course Grades: Average (63-100),-97% of offers went to this group,,,"Basketball, Cross Country, Indoor Track","Standardized Test Scores: English Language Arts (1.8-4.5), Math (1.5-4.5)",,Course Grades: Average (63-100),Punctuality,498,,,,4.0,Onsite College Now through John Jay College and offsite College Now,Course Grades: Average (63-100),,,,,Course Grades: Average (63-100),,,,,11434,5.0,,,,,,ILearn NYC: Program for expanded online coursework and self-paced learning.,,-97% of offers went to this group,"Courtroom, Forensic Laboratory, Fitness Center, Rooftop Track, Television Production Studio, Music Studio, Art Studio, Computer Labs",,,,Attendance,Course Grades: Average (63-100),,,Q690,,,,Attendance,,,,,9 to 12
09X297,Morris Academy for Collaborative Studies,718-893-7368,,,,,,,,,,,"Baseball, Basketball, Soccer",,,,,401,,,,4.0,"Project Based Learning, school-wide academic competitions, enrichment trips, leadership electives, after school and Saturday school, academic tutoring",,,,,,,,,,,10456,4.0,,,,,,"Advanced Placement (AP) classes, CUNY at Home Program, CUNY College Now classes, Computer Science, full time college counselor, SAT Prep",,,"Peer mentoring & leadership development program, visual arts program, Junior Reserve Officers' Training Corps (JROTC), and Computer Science courses",,,,,,,,X400,,,,,,,,"2, 5 to Intervale Ave",9 to 12
29Q243,Institute for Health Professions at Cambria Heights,718-723-7306,,,,,,,,-100% of offers went to this group,,,"Basketball, Football, Indoor Track, Outdoor Track, Soccer, Volleyball",,,,,420,,,,3.0,Students complete Performance-based Assessment Tasks (PBATs) as a replacement for some Regents Exams.,,,,,,,,,,,11411,2.0,,,,,,CTE program(s) in: Health Science,,-100% of offers went to this group,"Students take college courses (Computer Science, Pre-Calculus, Psychology, Sociology) at York College through the College Now program.",,,,,,,,Q490,,,,,,,,,9 to 12
29Q326,Cambria Heights Academy,718-736-7325,,,,,,,,-98% of offers went to this group,,,"Basketball, Bowling",,,,,353,,,,6.0,iLearnNYC: Program for expanded online coursework and self-paced learning,,,,,,,,,,,11423,9.0,,,,,,CTE program(s) in: Software Engineering/Computer Science,,-98% of offers went to this group,"Software Engineering Program (SEP), Robotics, Graphic Design, Digital Textiles, Junior/Senior Internships, CUNY College Now, and AP classes",,,,Test: coding session (on-site),,,,Q799,,,,Test: coding session (on-site),,,,,9 to 12
31R460,Susan E. Wagner High School,718-698-5213,,,,Yes,"Dance students must perform a 90 second choreographed solo in either Ballet, Jazz, or Modern style (Hip Hop will not be accepted) andÃÂÃÂ demonstrate ability in group work for Barre combinations, Center terchnique, and a brief Modern combination.",N/A - new program,Audition,,N/A - new program,,"Baseball, Basketball, Bowling, Cross Country, Football, Handball, Indoor Track, Lacrosse, Outdoor Track, Soccer, Swimming, Tennis, Volleyball, Wrestling",,Y,Audition,Standardized Test Scores: Average,3284,Then to New York City residents,N/A - zoned program,251,37.0,"Learning Centers continued: Institute for Law and Politics, Theatrical Arts, Music, Digital & Technology Institute, Air Force, JROTC, Vocational Prep",,10,,Guaranteed offer to students who live in the zoned area,404.0,Audition,,,,9.0,10314,13.0,Y,,Y,,91,"Learning Centers: Academies of Finance, Language and Culture, Sciences, Entrepreneurs, Sports Management, Visual Art, Dance and The Scholars Academy",Performing Arts,-100% of offers went to this group,"CUNY College Now: Behavioral and Social Sciences, Business, Communications, English, Humanities, Mathematics, Science, State-of-the-Art Technology",27.0,,283,Attendance,"Standardized Test Scores: English Language Arts (2.7-4.5), Math (2.7-4.5)",Priority to Staten Island students or residents,Theater,R460,,,,,,N/A - zoned program,Priority to Staten Island students or residents,,9 to 12
22K630,Professional Pathways High School,718-332-6296,,,,,,,,,,,"Baseball, Basketball, Bowling, Football, Outdoor Track, Soccer, Volleyball, Wrestling",,,,,205,,,,1.0,LTW offers career exploration through paid internships that prepare students for rewarding educational and employment experiences after graduation.,,,,,,,,,,,11235,1.0,,,,,,"We offer Learning to Work services, internships, computer skills and career development courses, trips, and individual/group and college counseling.",,,,,,,,,,,K495,,,,,,,,,"School is structured on credit needs, not grade level"
02M529,Jacqueline Kennedy Onassis High School,212-391-1293,,,,,,,,,,,"Basketball, Table Tennis",,,,,567,,,,2.0,"Business Programs aligned to CTE mandates in Business, Management & Administration, Hospitality and Tourism, Virtual Enterprise",,,,,,,,,,,10036,3.0,,,,,,iLearnNYC: Program for expanded online coursework and self-paced learning,,,"Mentoring opportunities-Big Brother, Big Sister and Peer Mentoring",,,,,,,,M486,,,,,,,,"1, 2, 3, 7, A, C, E, Q, S to Times Square-42nd St; 4, 5, 6 to Grand Central; B, D, F, M to 47-50th Sts Rockefeller Center; N, R, W to 49th St",9 to 12
06M463,High School for Media and Communications,212-927-2326,,,,,,,,,,,"Baseball, Basketball, Football, Soccer, Swimming, Wrestling",,,,,408,,,,3.0,"Additional courses include: Leadership, Writing for College, Creative Writing, SAT Preparation, and online courses available in all subject areas.",,,,,,,,,,,10040,4.0,,,,,,"Media courses include: Introduction to Media, Media Production, Video Editing, History of Film and Television, Journalism, Graphic Design, and more",,,"Language Courses: Spanish, German",,,,,,,,M465,,,,,,,,1 to 191st St; A to 190th St,9 to 12
02M551,Urban Assembly New York Harbor School,212-458-0801,,,,,,,,,,,,,,,,534,,,414,7.0,All 9th graders take a year-long field class called Introduction to New York Harbor in which they experience all seven CTE programs.,,9,,,,,,,,,10004,10.0,,,Y,,,"Aquaculture, Marine Systems Technology, Ocean Engineering, Marine Biology Research, Vessel Operations, Scuba Diving, Marine Policy & Advocacy",,,Each program of study concludes with a senior internship at a relevant maritime or marine-related business in the New York City area.,,,,,,,,M877,,,,,,,,,9 to 12
14K488,Brooklyn Preparatory High School,718-486-2505,,,,,,,,,,,"Baseball, Basketball, Cross Country, Handball, Indoor Track, Outdoor Track, Volleyball",,,,,512,,,,11.0,"Humanities offerings include Dual Credit English, Gender Studies, Race and Media, African- American Studies, Sociology, & Creative Writing",,,,,,,,,,,11211,10.0,,,,,,"STEM offerings include Coding, Chemistry, Financial Literacy, Java, Physics, Science Genius, ScriptEd, & Three STEM AP courses",,,"Other Electives include 10 different art and music classes (e.g. Photography, Multimedia Art, Piano, Hip Hop), Culinary Arts, Cinema Studies, etc.",,,,,,,,K650,,,,,,,,G to Lorimer St; L to Bedford Ave,9 to 12
16K765,Nelson Mandela High School,718-804-6808,,,,,,,,,,,"Basketball, Cross Country, Football, Handball, Indoor Track, Outdoor Track, Soccer, Tennis, Volleyball",,,,,273,,,,2.0,Real-world problem-based learning; Student choice on elective courses; CORE advisory program focused on personal and social development,,,,,,,,,,,11213,3.0,,,,,,Culturally relevant practices; Blended instruction with both teacher-led classes and use of digital resources,,,,,,,,,,,K455,,,,,,,,"A, C to Utica Ave",9 to 12
19K502,FDNY-Captain Vernon A. Richard High School for Fire and Life Safety,718-922-0593,,,,,,,,,,,"Baseball, Basketball, Cross Country, Football, Indoor Track, Outdoor Track, Soccer, Volleyball",,,,,333,,,,3.0,Introduces the occupational benefits of the Fire and Emergency Medical Services (EMS),,,,,,,,,,,11207,7.0,,,,,,CTE program(s) in: Health Science,,,"Biology, Life-Saving skills, Human Anatomy, Fire Science, extinguishing agents and their chemical make-up",,,,,,,,K435,,,,,,,,3 to Pennsylvania Ave; L to Livonia Ave,9 to 12
02M308,Lower Manhattan Arts Academy,212-674-8021,,,,,,,,,,,"Badminton, Baseball, Basketball, Bowling, Handball, Volleyball, Wrestling",,,,,329,,,,11.0,"Instead of AP classes, most seniors take actual college classes of their choice on the campuses of NYU and John Jay College.",,,,,,,,,,,10002,7.0,,,,,,"Internships for all seniors, artists-in-residencies for all majors, project-based learning in academic classes, daily advisory, daily reading period",,,"To ensure that all students are college ready, all students must complete four years of science, math, English, social studies, and arts.",,,,,,,,M445,,,,,,,,"B, D to Grand St; F, J, M, Z to Delancey St-Essex St",9 to 12
04M555,Central Park East High School,212-860-6043,,,,,,,,,,,"Baseball, Basketball, Bowling, Football, Outdoor Track, Soccer, Volleyball, Wrestling",,,,,496,,,,40.0,"Mount Sinai Hospital MedDocs Program, Seminar Classes for Grades Nine through Twelve, Computer Coding, Data Analytics, Senior Year Internship Program",,,,,,,,,,,10029,23.0,,,,,,"Advanced Regents Honors, College Bound Initiative, CUNY College Now (11th and 12th grades), Think CUNY College Now (9th and 10th grades)",,,"Peer Tutoring, SAT Prep Classes, Adobe Digital Photography",,,,,,,,M013,,,,,,,,"2, 3 to 110th St-Central Park North; 6 to 103rd St",9 to 12
02M519,Talent Unlimited High School,212-737-2863,,,,,,,,,,,"Basketball, Soccer, Volleyball",Audition,Y,"Standardized Test Scores: English Language Arts (2.0-4.5), Math (1.9-4.5)",,478,,,315,10.0,"College and Career Ready Courses: Advanced Placement (AP), College Now (with Hunter College), Math, Science, Robotics, Theatrical Design",,5,1.0,,,,,,,5.0,10065,8.0,,,Y,,35,"Sequence: Four-year performing arts and liberal arts exceeding Advanced Regents Diploma requirements, including diverse options in math and science.",Performing Arts,,"Partners: Ballet Hispanico, Dance Wave, Lar Lubovitch, Martha Graham, Opus Dance, Paul Taylor, Pascal Rioult, SUNY Brockport, Young Dancemaker's",,,,Attendance,"Standardized Test Scores: English Language Arts (2.2-4.5), Math (1.9-4.5)",Open to New York City residents,,M480,1.0,,,,,,,"4, 5, N, R, W to 59th St-Lexington Ave; 6 to 68th St-Hunter College; Q to 72nd St; F to Lexington Ave",9 to 12
10X213,Bronx Engineering and Technology Academy,718-741-5263,,,,,,,,,,,"Baseball, Basketball, Bowling, Cross Country, Football, Gymnastics, Indoor Track, Outdoor Track, Soccer, Volleyball",,,,,399,,,,11.0,"STEM School: Students are expected to complete four years of math, technology, and science as well as complete a Career and Financial Management Class.",,,,,,,,,,,10463,12.0,,,,,,CTE program(s): in Architectural Drafting with required internship programs (Engineering),,,"College Readiness & Preparation expected: 75 on English Regents, 70 on Math Regents. All students participate in the College Access Advisory Program.",,,,,,,,X475,,,,,,,,1 to Marble Hill-225th St,9 to 12
02M437,Hudson High School of Learning Technologies,212-488-3335,,,,,,,,,,,"Baseball, Basketball, Bowling, Soccer, Volleyball, Wrestling",,,,,476,,,,8.0,"Senior Seminar encourages student ownership of learning with a highly individualized, inter-disciplinary and co-created curriculum for 25 Seniors.",,,,,,,,,,,10011,13.0,,,,,,iLearnNYC: Program for expanded online coursework and self-paced learning.,,,College Now program affiliation through CUNY allows qualified students to earn up to 12 college credits while in high school.,,,,,,,,M440,,,,,,,,"1 to 18th St; A, C, E, L to 14th St",9 to 12
03m402,The Urban Assembly School for Green Careers,212-787-1455,,,,,,,,,,,"Baseball, Basketball, Bowling, Soccer, Volleyball",,,,,311,,,,2.0,"Technical science major in Building Science: Sustainable Architecture/Design, Engineering; Nationally recognized industry certification in engineering",,,,,,,,,,,10024,4.0,,,,,,"Technical science major in Horticulture: Urban Agriculture, Food and Natural Resources",,,Four-year writing program,,,,,,,,M470,,,,,,,,"1 to 86th St; B, C to 81st St-Museum of Natural History",9 to 12
28Q896,"Young Women's Leadership School, Queens (TYWLS)",718-725-0390,,,,,,,Course Grades: Average (78-100),-38% of offers went to this group,,,,Standardized Test Scores: Average (2.0-4.5),,Course Grades: Average (78-100),Punctuality,563,,,,8.0,"Accelerated STEM courses offered to all students through core classes and electives. Electives include Technology, Blended Language, Psychology & more",Course Grades: Average (78-100),,,,,Course Grades: Average (78-100),,,,,11432,5.0,,,,,,"Opportunity to take AP English Composition & Language, AP US History, AP Calculus, AP Environmental Science, and college classes at Queens College.",,-38% of offers went to this group,Students grades 9-12 have access to our fulltime Director of College Counseling through the CollegeBound Initiative.,,,,Attendance,Course Grades: Average (78-100),,,Q680,,,,Attendance,,,,"E, J, Z to Jamaica Center-Parsons/Archer; F to Parsons Blvd",6 to 12
17K524,International High School at Prospect Heights,718-230-6322,,,,,,,,,,,"Baseball, Basketball, Cross Country, Indoor Track, Outdoor Track, Soccer, Swimming",,,,,417,,,,2.0,"Safe, supportive, and nurturing environment where students learn English and prepare for college.",,,,,,,,,,,11225,1.0,,,,,,"We are a Performance-Based Assessment school, where students must present graduation worthy portfolios to graduate.",,,All students are matched to an internship in the community in a field of their interest.,,,,,,,,K440,,,,,,,,"2, 3, 4, 5 to Franklin Ave; S to Botanic Garden",9 to 12
05M670,Thurgood Marshall Academy for Learning and Social Change,212-283-8109,,,,,,,,,,,Basketball,,,,,547,,,,5.0,"Enrichment: Early College High School Program, Mentoring In Medicine, Algebra for All, Financial Literacy and SAT Preparation/Testing Site",,,,,,,,,,,10030,7.0,,,,,,"We offer a Regents curriculum designed to graduate students, equipped with critical thinking skills and a broad, global perspective.",,,"Community Service and Internship: Abyssinian Development Corporation, YMCA, Geriatric Career Center (GCD), and SOBRO",,,,,,,,M970,,,,,,,,"2, 3 to 135th St",6 to 12
29Q313,Benjamin Franklin High School for Finance & Information Technology,718-276-4725,,,,,,,,-100% of offers went to this group,,,"Basketball, Football, Indoor Track, Outdoor Track, Soccer, Volleyball",,,,,397,,,,5.0,"Industry Recognized IT Certifications: Adobe Photoshop, IC3 (Internet Computing Core Certification), Microsoft Office & Certifications in Finance",,,,,,,,,,,11411,5.0,,,,,,CTE program(s) in: Academy of Finance and Academy of Information Technology,,-100% of offers went to this group,"CUNY College Now through Queens College, Project PRIZE (College & Career Readiness), College Counseling, Advisory & Internships throughout NYC",,,,,,,,Q490,,,,,,,,,9 to 12
11X299,Astor Collegiate Academy,718-944-3638,,,,,,,,,,,"Baseball, Basketball, Bowling, Football, Indoor Track, Lacrosse, Outdoor Track, Soccer, Tennis, Volleyball",,,,,476,,,,8.0,All students are required to take four years of science and math classes. All students are required to wear PE uniform.,,,,,,,,,,,10469,7.0,,,,,,Incoming 9th grade students are strongly encouraged to register for the July Summer STEM program.,,,"Elective courses are zoology, genetics, astronomy, forensics, introduction to statistics, financial literacy, human biology and microbiology.",,,,,,,,X415,,,,,,,,2 to Allerton Ave; 5 to Pelham Parkway,9 to 12
23K697,Teachers Preparatory High School,718-345-8069,,,,,,,,,,,"Baseball, Basketball",,,,,250,,,N/A - continuing program,2.0,"Teach for Tomorrow: Educator's Rising Induction Ceremony, Early Childhood Education, Child Psychology, Dual-Credit college-level Education course",,N/A - continuing program,,,,,,,,,11212,3.0,,,Y,,,iLearnNYC: Program for expanded online coursework and self-paced learning,,,"Science: Science Fair, Dual-Credit college-level Science course",,,,,,,,K175,,,,,,,,3 to Rockaway Ave,9 to 12
12X251,Explorations Academy,718-893-6439,,,,,,,,,,,"Baseball, Basketball, Soccer",,,,,351,,,,3.0,"Advanced Placement for All: offers students the opportunities to earn college credits in HS in English, Spanish, Psychology, Biology, and US History.",,,,,,,,,,,10460,5.0,,,,,,Through the CUNY College Now program: our students in grades 11 and 12 can take college classes and earn college credits while in High School.,,,"Rowe Scholars College Program: offers our students college and career planning, college trips, SAT prep, college and financial aid application support",,,,,,,,X098,,,,,,,,"2, 5 to 174th St",9 to 12
02M422,Quest to Learn,,,,,,,,,,,,"Baseball, Basketball, Bowling, Soccer, Volleyball, Wrestling",,,,,586,,,N/A - continuing program,6.0,"Advisory, Game Design & Media Arts, Electives, National Honor Society, Student Government",,N/A - continuing program,,,,,,,,,10011,12.0,,,Y,,,iLearnNYC: Program for expanded online coursework and self-paced learning.,,,Hudson Sailing Program,,,,,,,,M440,,,,,,,,"1 to 18th St; A, C, E, L to 14th St",6 to 12
