account_number,vendor_formal_name,id6_digit_naics_code,name_of_client_job_exp_1,description_of_work_job_exp_2,signatory_to_union_contracts,date_of_establishment,description_of_work_job_exp_1,description_of_work_job_exp_3,largest_value_of_contract,zip,certification,naics_subsector,naics_title,name_of_client_job_exp_2,bbl,aggregate_bonding_limit,census_tract_2020_,business_description,percent_self_performed_job_exp_3
34,"212 Harakawa, Inc.",541430,NYU Langone Medical Center,Wayfinding and Signage Graphic Design,,1989-01-01T00:00:00.000,"Wayfinding, signage, and graphic design services.","Wayfinding, signage, and graphic design services.",1500000.0,10001,"MBE,WBE",Specialized Design Services,Graphic Design Services,Citadel,1007760059.0,,95.0,"Graphic design services.
Wayfinding and Signage.",
387306,A Digital Mess LLC,541810,Bridge Street Development Corp,Photography,,,Social media content creation,"Videography
Photography",750.0,11206,MBE,"Advertising, Public Relations, and Related Services",Advertising Agencies,Progressive Democrats Political Association,3030770001.0,,491.0,"Digital Mess Creative is a creative agency with a focus on developing engaging content through compelling storytelling and eye-catching design. We know videos and photographs are valuable, powerful ways to tell your brand’s story and engage with your target audience. This is why we deliver captivating, interesting and emotionally engaging storytelling that can elevate your brand and make it come alive. The services we provide are as follows:
- Marketing Campaign creation and execution
- Marketing Consulting
- Videography
- Photography
- Event Management
- Digital Media
- Digital Content Creation",100.0
340562,Artistic Souls Journey,711510,,,,2016-09-06T00:00:00.000,,,,10452,"MBE,WBE","Independent Artists, Writers, and Performers","Independent Artists, Writers, and Performers",,2025260006.0,,193.0,"ARTS, ENTERTAINMENT, AND RECREATION. I create artwork for clients and sale original artwork to clients. I act in off Broadway plays both religious and secular. I create poetry, art, movement workshops for all ages through nonprofit and for profit
organizations.",
361473,"Apex Labor Solutions, LLC",561311,HE2PD,Will be providing a Site Safety Manager - Permits were just filed.,,,Site Safety Coordinator Provided,Providing a Site Safety Manager,362478.0,11725,WBE,Employment Services,Employment Placement Agencies,Elysium Construction,,,,Apex Labor Solutions is a women-owned company that provides an array of non-union laborers for construction sites to assist with fulfilling general conditions requirements and on-site assistance for maintenance of existing buildings.,0.0
339335,AMKA & Associates LLC,541330,NY Restoration Technology,Completed a structural assessment of the slab. Created a shoring design for the sectional beams.,,2020-09-09T00:00:00.000,Assessed the condition of the facade and did a structural analysis of the fourth floor loads.,Completed CAD drawings and did a structural analysis for the project.,1500.0,11568,MBE,"Architectural, Engineering, and Related Services",Engineering Services,NY Restoration Technology,,,,"Ahmad Khanzada is an engineering firm which specializes in civil engineering, architecture and special inspections.",100.0
333645,A+ Therapy LLC,621340,New York City Department of Education,Provided occupational therapy services to students.,,2006-11-22T00:00:00.000,Provided occupational therapy services to students.,Provided occupational therapy services.,19400.0,11209,"MBE,WBE",Offices of Other Health Practitioners,"Offices of Physical, Occupational and Speech Therapists, and Audiologists",Division of Specialized Instruction and Student Support Office of Special Education-Committees on Sp,3061290012.0,,5601.0,"A+ Therapy is a consulting firm that provides holistic solutions which promote health, learning, and success through dynamic curriculums, programs, resources, and interventions. The company's services focus on solutions designed to enhance the academic capabilities, personal development, and wellness of individuals, families, schools, and organizations.",100.0
10558,"Ann Finn Consulting, LLC",541611,"Fund for Public Health in New York, Inc","coding and billing TA for reproductive health services
staff training
resources",,2013-09-24T00:00:00.000,Reimbursement technical assistance for NYC SBHC clinic services,"Help train administrative, billing and clinical staff how to correctly document and code for health",144000.0,12817,WBE,"Management, Scientific, and Technical Consulting Services",Administrative Management and General Management Consulting Services,Public Health Solutions,,,,"Reimbursement and revenue cycle consultant to reproductive health care clinics and providers including technical assistance, analysis, training and support",100.0
1047,All American Electrical Corporation,238210,,,,2002-08-09T00:00:00.000,,,,11212,MBE,Building Equipment Contractors,Electrical Contractors and Other Wiring Installation Contractors,,3035940018.0,4000000.0,894.0,All American Electrical Corporation provides general electric services.,
100815,Alexis Covo LLC,541922,CELEB LUXURY,,,2012-12-12T00:00:00.000,"Shoot Details:

Prep Shoot:
Models will be prepped at Salon. Capture behind the scenes video and bef",,32500.0,11372,MBE,"Other Professional, Scientific, and Technical Services",Commercial Photography,,4012610058.0,,289.0,"Alex Covo Studio NYC: Bridging Creativity and Technology
Alex Covo Studio NYC is an innovative advertising agency at the forefront of AI integration in creative services. Founded by Alex Covo, a senior generalist with a diverse skill set spanning multiple disciplines, the studio offers unique solutions that blend traditional advertising expertise with cutting-edge technological know-how.

Core Strengths:
- Advertising and Creative Services
- AI Implementation and Consulting
- Team Management and Project Coordination
- Technology Integration

Alex Covo: A Multifaceted Professional

Alex Covo brings a wealth of experience as a senior generalist to every project. His broad knowledge base allows him to approach problems from multiple angles, often finding innovative solutions where specialists might encounter roadblocks. This versatility is a key asset in today's rapidly evolving technological landscape.

Technological Expertise:

Artificial Intelligence (AI)
Proficient in using frontier multimodal Large Language Models (LLMs)
Experience with open-source and cloud-based AI models
Skilled in prompt engineering for various AI applications (text-to-image, text-to-video, image-to-image, image-to-video, text-to-audio)
Knowledgeable in AI chatbot creation and implementation
Agentic use, implementation, and process understanding


Blockchain Technology
Understanding of smart contracts and Non-Fungible Tokens (NFTs)
Experience with crypto wallets and NFT marketplaces
Familiarity with blockchain ecosystems


Drone Technology
FAA-certified remote pilot with over 60 approved waivers for restricted airspace
Holder of a Daylight Waiver for drone operations



Creative and Technical Skills:

- Interactive design
- Photography
- Film and video production
- Ad campaign creation
- Studio management
- Creative process development

Project Management:
Alex excels in managing diverse teams, bridging the gap between technology and creativity. His experience includes overseeing:

- Programmers and coders
- Art directors and graphic designers
- Interactive designers
- Front-end and back-end developers

Client Experience:
The studio has a track record of success with a wide range of clients, from startups to Fortune 1000 companies. Projects have included:

- TV commercials
- Website development
- Advertising campaigns
- Editorial photography
- Video and film production for various clients, including The City of New York

AI-Forward Approach:

Alex Covo Studio NYC is positioned as an AI-forward agency that understands and values creativity. The studio recognizes AI's potential when implemented correctly and aims to help clients navigate this new landscape effectively. Whether it's a traditional advertising campaign or an AI-integrated project, the studio brings a unique blend of creative expertise and technological acumen.
Ideal for Clients Seeking:

- AI integration in creative projects
- Consultation on effective AI implementation
- Innovative advertising solutions
- Multidisciplinary project management
- AI Technology-driven creative services

Alex Covo Studio NYC stands out as a versatile, forward-thinking agency capable of handling complex, multifaceted projects. By combining deep creative experience with a thorough understanding of emerging technologies, the studio is uniquely positioned to help clients succeed in today's rapidly evolving digital landscape.",
369250,"All Angles Tutoring, Inc.",611710,Ramin Kashani,Tutoring and homeschooling 1 child beginning 4th grade.,,2022-02-01T00:00:00.000,Tutoring for two children beginning 1st grade and continuing.,Tutoring 2 children beginning 5th and 8th grade.,59958.0,11740,WBE,Educational Support Services,Educational Support Services,Dani Super,,,,"Providing individual and small group tutoring services for grades K-12, test preparation (SHSAT, TACHS, SAT/ACT), personalized lesson plans and educational resources, college application counseling, homeschooling and summer supplemental education, and executive functioning counseling.",100.0
324440,"Arco General Contractor, Inc.",238190,Grand Lofts NYLLC,"Demolition and rebuild of front steps, and new pavers on front porch..",,1999-04-28T00:00:00.000,Break up concrete and remove garbage. Make an elevator shaft out of cinder block according to constr,,33800.0,11230,MBE,"Foundation, Structure, and Building Exterior Contractors","Other Foundation, Structure, and Building Exterior Contractors",Blanca Lebron,3051970001.0,,526.0,"ARCO is a general contractor that performs all sorts of interior and exterior construction. This includes (but is not limited to), concrete work, painting, drywall, and masonry. The owner holds both a Rigger Home Improvement and General Contractor License. The Business has been operating in NY and NJ for more than 22 years.",
379133,718 Construction Group Inc.,238990,AKM CONTRACTING SERVICES,,"Local Union 1010, CONSTRUCTION COUNCIL 175",,ASPHALT PAVING,,40000.0,11368,MBE,Other Specialty Trade Contractors,All Other Specialty Trade Contractors,,4017200035.0,,379.0,PAVING IN NEW YORK AREA,
104088,"3E Creative Arts, LLC",541430,Department of Education,Provided full production for the program's play production component.,,2018-03-05T00:00:00.000,A vendor we created and taught a curriculum of photography and video to middle school students.,"Media coverage of Sanitation Foundation Clean up series for Bronx, Ny.",49900.0,10026,MBE,Specialized Design Services,Graphic Design Services,Rehabilitation Through the Arts,1019220024.0,,218.0,3E is a creative art service company that provides various forms of artistic/marketing services; emphasis is put on graphic design and photography.,100.0
10024,1mpact First LLC,541990,Guidehouse for NYCHA,"Facilitate the procurement, design, and development of a revamped and expanded ForMS application by",,2014-11-12T00:00:00.000,Provided subject matter expertise and support in monitoring and testing. Created a monitoring plan a,"Support NYCHA on Guidehouse Prime Contract for Leased Housing Division and Public Housing, LHD & PH",296000.0,29680,"MBE,WBE","Other Professional, Scientific, and Technical Services","All Other Professional, Scientific, and Technical Services",NYC Parks and Recreation,,,,1mpact First provides high quality strategic consulting resources capable of adding value on any client and any project; our primary focus is on city and state agencies. We also provide accounting services to private companies.,100.0
368,"Alante Security Group, Inc.",561612,DOCGO,Provided security guard and fire safety services.,SEIU 32BJ,1992-01-29T00:00:00.000,Provided security guard services.,,1323248.47,11590,MBE,Investigation and Security Services,Security Guards and Patrol Services,DOCGO,,,,Alante Security provides uniformed security guard services.,
10146,A.N.G. DINER CORP.,722511,ELM TREE ELEMENTARY SCHOOL,Catering a meeting.,,2014-06-15T00:00:00.000,Catering - Holiday.,Graduation ceremony event.,1850.0,11373,WBE,Restaurants and Other Eating Places,Full-Service Restaurants,DEP,4019180025.0,,455.0,DINER,100.0
103992,"Above and Beyond Talent Acquisition, Inc.",541690,Kroll Bond Ratings Agency,Recruiting services,,2012-04-13T00:00:00.000,Recruiting agreement,Recruitment services,77220.0,11205,MBE,"Management, Scientific, and Technical Consulting Services",Other Scientific and Technical Consulting Services,One Main FInancial,3020460029.0,,187.0,"Above and Beyond Talent Acquisition, Inc. (A&B Talent) is a Brooklyn, NY-based, MBE Certified, full-service staffing firm specializing in Contingent Staffing, Full-Time Placement, and Executive Search. Founded by Keith L. Harper, a graduate of HBCU Hampton University and a lifetime member of the National Black MBA Association, A&B Talent prides itself on its vast network of high-level professionals and access to a rich database of millions of qualified job seekers.
Keith Harper, with over two decades of experience, has successfully placed thousands of individuals in roles across North America. Rising from an entry-level IT Recruiter to building a $100MM+/yr. staffing firm, Mr. Harper’s journey exemplifies the firm's core values: motivation, a desire for perfection, and a commitment to exceeding expectations.
A&B Talent excels in fulfilling professional roles at all levels, from administrative support to C-level executives. Our expertise spans various fields, including Computer Programmers, Systems Analysts, Project Managers, Financial Analysts, QA Testers, Accountants, Paralegals, Healthcare Workers, CFOs, COOs, and CEOs.
Our leadership team brings decades of experience in the staffing industry, with a deep commitment to equity and inclusion. A&B Talent aims to provide customized staffing solutions by delivering a diverse cadre of exceptionally qualified candidates, thus ensuring a perfect match for our clients' needs. Our mission is to elevate talent excellence in both private and public sectors, driving success and innovation through our tailored and inclusive approach.",100.0
3935,"All Points Cleaning Service, LLC",561720,Craft Hospitality,"Cleaned, disinfected and sanitized all surfaces. Cleaned glass doors and panels, vacuumed the carpet",,2010-08-31T00:00:00.000,Cleaned space during and after event.,Did a commercial cleaning.,3502.0,11220,MBE,Services to Buildings and Dwellings,Janitorial Services,NYC Office of Collective Bargaining,3007580037.0,10000.0,96.0,All Points Cleaning Services does residential and commercial cleaning for clients located throughout NYC.,100.0
367095,Analytical Economics Associates LLC,541690,New York City Law Department,Reviewed documents and analyzed data. Assisted counsel with questions related to the life care plan,,2016-05-02T00:00:00.000,Reviewed and analyzed documents in a legal dispute. Prepared an analysis of economic damages. Evalua,,1698900.0,7960,"MBE,WBE","Management, Scientific, and Technical Consulting Services",Other Scientific and Technical Consulting Services,Riker Danzig,,,,"Analytical Economics Associates helps identify economic damages in legal disputes, labor and employment, personal injury, wrongful death, product liability, medical malpractice, general negligence and wrongful incarceration. The company does economic and statistical analysis, research, economic damages calculations, preparation of economic expert reports, and provides testimony in state and federal matters.",
10349,Airspace Design Inc.,541430,New City,Signage and Wayfinding,,2015-02-04T00:00:00.000,Exterior Signage-Signage and Wayfinding Enviormental Graphics.,"Exterior Signage and Wayfinding 
Environmental Graphics",1066000.0,11217,WBE,Specialized Design Services,Graphic Design Services,NYC EDC,3021060009.0,,33.0,"Airspace is an award-winning, multi-disciplinary graphic experience design firm founded in 2015. We bring to the table diverse backgrounds including graphic, industrial and interactive design. Our projects range from dynamic signage and environmental branding for Sony and Time Inc to the identity and wayfinding system for Industry City in Brooklyn.",100.0
330222,"8 Point Studio, Inc.",541430,LCH Group,"Did website updates, quarterly and annual report design, presentations, advertisements and motion gr",,2015-08-02T00:00:00.000,"Rebranded a leading international financial clearing house, Designed marketing collateral, brochures",,300000.0,10706,WBE,Specialized Design Services,Graphic Design Services,Quona Capital,,,,"8 Point Studio is a branding and communications design agency. The company specializes in branding, visual identity systems, message driven communications, marketing and stakeholder communications, corporate collateral, corporate reports, web site design, motion graphics, and environmental graphics.",
359734,1800 FURNISH Inc.,449129,Home Life Services,Delivering living room furniture.,,2016-07-02T00:00:00.000,Supply all of the furniture as well as set up the furniture.,Supply furniture as well as the set up for the furniture.,173000.0,11356,"MBE,WBE",Furniture and Home Furnishings Retailers,All Other Home Furnishings Retailers,DNC- Distinctive maintenance Inc,,,,"We supply furniture and maintenance, that are suitable for all areas in doing business and for programs in New York. We offer plenty other services as well.",100.0
31525500.00%,1 Oak Tasty Deli Inc.,722511,Catholic Charity Community Service,Sold breakfast sandwiches.,,2012-03-31T00:00:00.000,Sold sandwiches and wraps.,"Sold bagels, cream cheese, muffins, water, juice and fruits.",2056.25,10032,MBE,Restaurants and Other Eating Places,Full-Service Restaurants,Catholic Charities at the High School for Media,1021260001.0,,253.0,"1 Oak Tasty Deli supplies food for events, gatherings, trips, and school lunches.",100.0
365733,Abacus Consulting Group LLC,611710,Varsity Tutors LLC,Helped client obtain a NYC DOE vendor number. Assisted with the ERMA approval process.,,2019-03-06T00:00:00.000,Provided consulting services.,Provided consulting services.,15000.0,7302,MBE,Educational Support Services,Educational Support Services,BeeReaders,,,,Abacus Consulting Group (ACG) helps current and potential DOE vendors to do business with the NYC Department of Education. The company works directly with contracted and non-contracted vendors to understand the complexity of doing business with the DOE.,100.0
10323,AGD Contracting Corporation,561990,NYC Housing Authority,,,2012-03-06T00:00:00.000,Did lead remediation.,,10000000.0,7751,WBE,Other Support Services,All Other Support Services,,,10000000.0,,"AGD Contracting does interior renovations, asbestos abatement, lead abatement, mold remediation and hauling.",
10176,"ABC Technology Services, LLC",541519,NUAIR (Northeast UAS Airspace Integration Research),Hardware supplies and services,,2000-09-06T00:00:00.000,Hardware and Software supply,"IT consulting, Server, workstations, software, copier, printers, solutions",87544.0,14215,MBE,Computer Systems Design and Related Services,Other Computer Related Services,Buffalo Prenatal Perinatal Network,,,,"ABC Technology Services, LLC is a full service technology company providing: IT consulting, networking, server solutions, telecommunications, Computer hardware, software, accessories sales and support. Additional services are security solutions, CCTV and data wiring.",100.0
333143,American Engineering Electrical Services Inc.,238990,NYC SCA/TDX,"Installed receptacles, switches and fixtures throughout the store.",,2014-12-31T00:00:00.000,"Installed security cameras, viewing stations and data cabinets in two (2) schools.",Installed decorative fixtures.,404599.0,11203,MBE,Other Specialty Trade Contractors,All Other Specialty Trade Contractors,Farragut Builders,3048940008.0,,858.0,"American Engineering Electrical Services Inc, (AEES) is an electrical contracting company. AEES specializes in the installation, upgrade, and repair of electrical systems for commercial, government, industrial and residential customers. The company also installs data, low voltage systems, CCTV, fiber optic cables, security cameras, door access systems, communication cables, circuit breakers, panel board, load centers, metering equipment, lighting control systems, electrical service cabinets and multi-conductor cables.",100.0
367288,Appelli Interiors Inc.,236116,Ryder Construction,,,2016-01-07T00:00:00.000,"Did an Interior fit out of thirty-seven (37) apartments. Installed framing, drywall insulation and d",,2500000.0,11764,MBE,Residential Building Construction,New Multifamily Housing Construction (except For-Sale Builders),,,,,"Zephyr Co. is a construction firm with 35 years of experience, with specialties in full scale demolition, rough and finished carpentry, acoustical ceilings, drywall, millwork installation, doors, frames, hardware, heavy gauge steel framing and OSHA protection.",
331390,Ann Sophie LLC,458110,David Duchatellier,,,2019-10-25T00:00:00.000,Provided gift items.,,155.0,11230,"MBE,WBE",Clothing and Clothing Accessories Retailers,Clothing and Clothing Accessories Retailers,,3066940055.0,,764.0,"Ann Sophie LLC is an online boutique selling African clothes, handmade  jewelry, handbags, and accessories. It's providing Artcraft made by a woman in African countries.",
1432,Ashnu International Inc.,236220,NYC School Construction Authority,Interior and exterior renovations.,"Laborers 6A, Laborers 79, Mason Tenders 79, Metallic Lathers Union 46, Cement Concrete Workers Distr",1998-02-04T00:00:00.000,Performed exterior masonry on roofs and did general contractor work on doors and windows.,Installed water and gas systems.,28898919.0,11377,MBE,Nonresidential Building Construction,Commercial and Institutional Building Construction,NYC Department of Design and Construction,4010210009.0,100000000.0,297.0,"Ashnu International is a multi-million dollar construction management and general contracting company. The company maintains an impeccable reputation in both public and private sectors. Each project is managed by a strict governance model to ensure efficiency, safety and quality. we provide services for both residential and commercial projects. Services include but are not limited to; Reinforced concrete for high rises structures, sheeting and bracing for deep foundations; new home construction. Complete residential interior renovation, new construction and rehab of commercial retail/office buildings; waterproofing: exterior restorations: roofing systems: 24 hour emergency response for water/ fire damage.",100.0
101013,Arbris Corp,238910,Forte Emis JV,"Furnish, erect and dismantle sidewalk shed","Mason Tenders 79, Carpenters 1556",,"Furnish, erect and dismantle sdewalk shed","Furnish, erect and dismantle approximatley 50'LF of working platform",438882.0,10577,"MBE,WBE",Other Specialty Trade Contractors,Site Preparation Contractors,Structure Tone LLC,,,,We at ARBRIS Corp will like to present our scaffold based company.,100.0
4191,"All Volts Electrical, Inc.",238210,SCA,Installation PA  System,,2009-05-27T00:00:00.000,ELECTRICAL SERVICE AND AC RECEPTACLES,Replacement of lighting fixture,1200000.0,11226,MBE,Building Equipment Contractors,Electrical Contractors and Other Wiring Installation Contractors,New York City School Construction Authority,3050570024.0,4000000.0,820.0,"All Volts Electrical, Inc. has been in business since 2009. We do all phases of electrical work such as: fire alarm, residential and commercial wiring, security systems, low voltage cabling and motor control.",85.0
10608,"Arbor Consulting, Inc.",541618,JLJ IV Enterprises,Performed Consulting Arborist services as per spec 4.21.,,1998-10-07T00:00:00.000,Provide Consulting Arborist services: monitor construction/pruning/planting. Attend meetings; file p,Provide Consulting Arborist services as described in item 4.21 of the DOT specs.,50284741.0,11762,WBE,"Management, Scientific, and Technical Consulting Services",Other Management Consulting Services,New York Concrete,,,,"Arbor Consulting, Inc. provides Consulting Arborist Services in the NYC metro area to both private and public customers. ACI monitors the trees on construction sites, recommends pruning, removals and draft protection plans. ACI develops a tree planting plans for projects based on the established NYC Guidelines.",75.0
396183,Alpha AI Inc.,541715,,,,2021-04-05T00:00:00.000,,,,10036,MBE,Scientific Research and Development Services,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",,1010720050.0,,12901.0,"Alpha AI is a technology company specializes in advanced artificial intelligence and machine learning solutions. Alpha AI focuses on developing state-of-the-art AI technologies to empower businesses and organizations with innovative tools and
applications. The company's services include custom AI model development, data analysis, and predictive analytics, which are tailored to meet the unique needs of various industries.",
377592,Arielle Gittens Neblett,711510,Favored Live,Manage/host events and workshops for fellow filmmakers,,2012-12-30T00:00:00.000,Cast talent for their live shopping show. Researched appropriate talent that would draw viewers to t,Moderated panel discussions with filmmakers,10200.0,11233,"MBE,WBE","Independent Artists, Writers, and Performers","Independent Artists, Writers, and Performers",Black Film Space,3016560051.0,,295.0,"I’m Arielle Gittens Neblett. Emmy nominated NYC based Creative Producer, Director, and Casting Director. 

A multi hyphenate creative and visionary with a passion and gift for telling stories. With over thirty million views to my name, my contributions to digital and editorial content are evident. My creative touch has revitalized fan favorite series  ""On The Rocks"" and ""Tattoo Tours"" for GQ and GQ Sports, infusing them with fresh energy through my directorial flair and interviewing expertise. 

My work spans across branded content, reality television, talk shows, and editorial content. This website shows selected works and a fraction of what I’m capable of! 

Credits include Vogue, HGTV, GQ, Revolt, GQ, GQ Sports, Glamour, and Allure, HBO, to name a few and I’m just getting started!",100.0
10490,Ameri Restoration Inc.,236220,DASNY,"FAcade restoration, parapet wall",,2007-05-14T00:00:00.000,"Facade Restoration, hazmat removal","Roof Repair, Facade Restoration",2129229.0,10583,MBE,Nonresidential Building Construction,Commercial and Institutional Building Construction,Hope Community,,,,"Facade Reconstruction, Masonry Work, Roof Repair, Interior and Exterior Work, Sidewalk Shed, Pipe Scaffolding, Concrete Work",100.0
344641,ASA Electric Inc,238210,Pro Con Group,,,2021-04-20T00:00:00.000,Installed conduits for new distribution feeders and panels.,,33200.0,11422,MBE,Building Equipment Contractors,Electrical Contractors and Other Wiring Installation Contractors,,4132060025.0,750000.0,638.0,"ASA Electric provides electrical services for residential, commercial and industrial clients. The company has expertise in performing electrical installations and maintenance and repairs.",
1551,"American Architectural Products, Inc.",332999,,,,2002-04-11T00:00:00.000,,,,11206,MBE,Other Fabricated Metal Product Manufacturing,All Other Miscellaneous Fabricated Metal Product Manufacturing,,3030300001.0,,485.0,American Architectural Products sells steel products and aluminum child safety guards.,
