dbn,printed_name,state_code,bus,first_priority01,import_info_free_text,footer01,online_language_courses,third_priority03,building_code,psal_sports_girls,total_student_10_26,start_time,fifth_priority05,subway,bin,latitude,language_classes,eighth_priority08,second_priority02
29Q283,Preparatory Academy for Writers: A College Board School,NY,"Q3, Q77, Q85",Priority to continuing 8th graders,"Dress Code Required: white or forest green shirt, khaki or black pants/skirt/shorts, Community Service Component",,,Then to New York City residents,Q420,"Basketball & JV Basketball, Indoor Track, Outdoor Track, Soccer, Softball, Tennis, Volleyball, Wrestling",477.0,8:00 AM,,"E, J, Z to Jamaica Center-Parsons/Archer; F to Jamaica 179th Street ",4280845.0,40.6682589,Spanish,,Then to New York City residents who attend an information session
29Q248,Queens Preparatory Academy,NY,"Q3, Q77, Q85",Priority to Queens students or residents who attend an information session,"Uniform Suggested: white or blue short/long-sleeved polo with school logo, khaki slacks/skirt, 9th Grade Extended Day Program 3 days a week, July Summer Bridge Program for entering 9th graders, Saturday Enrichment Program, Leadership Training",,,Then to Queens students or residents,Q420,"Basketball & JV Basketball, Indoor Track, Outdoor Track, Soccer, Softball, Tennis, Volleyball",453.0,8:10 AM,,"E, J, Z to Jamaica Center-Parsons/Archer; F to Jamaica 179th Street ",4280845.0,40.6682589,Spanish,,Then to New York City residents who attend an information session
31R600,Ralph R. McKee Career and Technical Education High School,NY,"S40, S42, S44, S46, S48, S51, S61, S62, S66, S74, S76, S78",Open to New York City residents,,,,,R600,"Basketball & JV Basketball, Bowling, Cross Country, Golf, Handball, Indoor Track, Outdoor Track, Soccer, Softball, Swimming, Tennis, Volleyball & JV Volleyball",647.0,8:00 AM,,SIR St George,5000314.0,40.6428034,Italian,,
09X260,Bronx Center for Science and Mathematics,NY,"BX11, BX15, BX17, BX21, BX35, BX41",Priority to Bronx students or residents who attend an information session,"Uniform Required: white dress shirt and tie, gray pants/slacks/skirt, navy blazer with logo, shoes, Student and Parent Summer Orientation",,,Then to Bronx students or residents,X002,Basketball,448.0,8:15 AM,,"2, 5 to Freeman St ; 4, B, D to 170th St ; 6 to Whitlock Av",2009617.0,40.833875,"Japanese, Spanish",,Then to New York City residents who attend an information session
19K618,Academy of Innovative Technology,NY,"B13, Q56",Priority to New York City residents who attend an information session,"Uniform Required: collared polo shirt with school logo in the assigned colors of black, blue, khaki or white, slacks/skirt in assigned colors, black or white sneakers, Our school requires an Academic Portfolio for graduation, Internship Requirement, Student and Parent Summer Orientation, Community Service offered, Extended Day Programs offered, Saturday Tutorial and Academic Enrichment Programs, Summer Internship Program, As a CTE school, students may be eligible for state-approved and industry-sponsored career and technical education endorsements, Summer Bridge Program",,,,K420,"Basketball, Indoor Track, Outdoor Track, Volleyball & JV Volleyball",412.0,7:45 AM,,"J, Z to 75th St-Eldert Ln",3090738.0,40.69228,Spanish,,Then to New York City residents
11X455,Harry S Truman High School,NY,"BX12, Bx23, BX26, BX28, BX29, BX30, Q50",Priority to Bronx students or residents,"Uniform Required: gray, white or black polo shirt with logo, black, gray or khaki pants/skirt, black shoes/black sneakers",,,For X25B and X25E only: a. Priority to Bronx students or residents who attend an information session b. Then to New York City residents who attend an information session c. Then to Bronx students or residents d. Then to New York City residents,X455,"Basketball & JV Basketball, Cross Country, Indoor Track, Outdoor Track, Soccer, Softball, Tennis, Volleyball",1826.0,8:00 AM,,5 to Baychester Av,2116159.0,40.87404,Spanish,,Then to New York City residents
31R440,New Dorp High School,NY,"S57, S74, S76, S78, S79-SBS",Priority to Staten Island students or residents,,,"Italian, Spanish",For Zoned program only: priority to students who live in the zoned area,R435,"Basketball & JV Basketball, Bowling, Golf, Gymnastics, Handball, Lacrosse, Outdoor Track, Soccer, Softball & JV Softball, Tennis, Volleyball & JV Volleyball, Wrestling",2683.0,8:00 AM,,SIR to New Dorp,5055367.0,40.5694138,"Italian, Spanish",,Then to New York City residents
17K751,Academy for Health Careers,NY,"B15, B25, B26, B43, B44, B45, B46, B65",Priority to Brooklyn students or residents who attend an information session,"Dress Code Required: light blue dress shirt/blouse, navy blue or black pants/skirt",,,Then to Brooklyn students or residents,K625,"Basketball, Cross Country, Indoor Track, Outdoor Track",232.0,8:30 AM,,3 to Kingston Av;  C to Kingston-Throop Avs;  A to Utica Av,3030553.0,40.675907,Spanish,,Then to New York City residents who attend an information session
29Q243,Institute for Health Professions at Cambria Heights,NY,"Q27, Q4, Q77, Q83, Q84",Priority to Queens students or residents who attend an information session,"Dress Code Required: navy pants, grey polo shirt and  black shoes, Students in EMT and Nurse Assisting programs are  required to meet the standards for New York State  certification in those areas, EMT students must complete supervised practicum  hours in an ambulance, Nurse Assisting students must complete supervised  practicum hours in a hospital or long-term care facility",,,Then to Queens students or residents,Q490,"Basketball, Bowling, Gymnastics, Indoor Track, Outdoor Track, Soccer, Softball, Swimming, Tennis, Volleyball",,,,,4238003.0,40.6978018,,,Then to New York City residents who attend an information session
27Q324,Rockaway Park High School for Environmental Sustainability,NY,"Q22, Q53",Priority to Queens students or residents who attend an information session,"Dress Code Required: Boys - solid gray, pink or hunter  green polo shirt/sweater vest and a white button-down  shirt, khaki or gray dress pants, solid black sneakers;  Girls - solid gray, pink or hunter green polo shirt,  sweater vest, or sweater and a white button-down  blouse, khaki or gray dress pants/knee-length skirt, solid  black sneakers. Uniforms can be purchased at Ideal  Department Store in Brooklyn or Elmont., Community Service Required",,,Then to Queens students or residents,Q410,"Basketball, Lacrosse, Outdoor Track, Soccer, Tennis, Volleyball",291.0,8:45 AM,,"A, S to Beach 98th St-Playland",4303773.0,40.585983,Spanish,,Then to New York City residents who attend an information session
22K535,Leon M. Goldstein High School for the Sciences,NY,"B1, B4, B44, B49",Open to New York City residents,"Every Wednesday, classes end earlier to accommodate student participation in clubs. Since our classes are longer than classes in traditional schools, there is no loss of instructional time.",,,,K535,"Basketball, Bowling, Soccer, Swimming, Tennis, Volleyball",1018.0,8:15 AM,,Q to Brighton Beach,3326938.0,40.5808957,"Italian, Spanish",,
28Q325,Hillside Arts & Letters Academy,NY,"Q1, Q17, Q2, Q25, Q3, Q30, Q31, Q36, Q43, Q6, Q65, Q76, Q77, Q8",Priority to Queens students or residents who attend an information session,,,,Then to Queens students or residents,Q470,,331.0,8:15 AM,,F to 169th St,4448806.0,40.714546,,,Then to New York City residents who attend an information session
10X437,Fordham High School for the Arts,NY,"BX1, BX12, BX12-SBS, BX15, BX17, BX19, BX22, BX28, BX34, BX41, BX55, BX9",Priority to Bronx students or residents,,"Students are required to audition on one of the three dates and be prepared to write an essay on-site explaining why they want to attend FHSA. All auditions commence promptly at 9:00 AM. Latecomers will be asked to reschedule. If you are auditioning for more than one discipline, it is important that you adhere to the requirements of each area to which you are applying.",Spanish,,X435,"Softball, Volleyball",384.0,8:00 AM,,"B, D to Fordham Rd",2011810.0,40.8597019,Spanish,,Then to New York City residents
23K644,Eagle Academy for Young Men II,NY,"B12, B20, B25, B45, B47, B60, B7",Open only to male students,"This is an all-boys school, Uniform Required: sky blue collared button-down shirt, tie with school logo, gray pants, navy blue blazer, optional navy blue vest, black shoes/black sneakers, Community Service Required, Saturday Academy 9:00 AM - 12:00 PM",,,Then to Brooklyn students or residents who attend an information session,K271,,429.0,8:00 AM,Then to Brooklyn students or residents,"A, L to Broadway Junction (Eastern Pkwy);  J, Z to Chauncey St;  C to Rockaway Av",3042157.0,40.677831,Chinese (Mandarin),,Priority to continuing 8th graders
02M500,Unity Center for Urban Technologies,NY,"M1, M101, M15, M2, M3, M34A-SBS, M34-SBS, M4, M42, M5, M7",Open to New York City residents,,,,,M620,,261.0,8:15 AM,,"6 to 33rd St;  B, D, F, M, N, Q, R to 34th St-Herald Square;  4, 5, 7, S to Grand Central",1087537.0,40.7463587,Spanish,,
11X253,Bronx High School for Writing and Communication Arts,NY,"BX28, BX30, BX39, BX41, BX55, BX8",Priority to Bronx students or residents who attend an information session,,,,Then to Bronx students or residents,X425,"Basketball, Indoor Track, Outdoor Track, Softball, Volleyball",419.0,8:00 AM,,"2, 5 to Gun Hill Rd",2057045.0,40.875163,Spanish,,Then to New York City residents who attend an information session
17K531,The School for Human Rights,NY,"B12, B17, B43, B44",Priority to continuing 8th graders,"Uniform Required: sky blue shirt with school name and emblem, navy blue or black pants/skirt (below the knee)",,,Then to New York City residents who attend an information session,K470,"Basketball, Bowling, Handball, Outdoor Track, Soccer, Tennis, Volleyball, Wrestling",392.0,8:00 AM,Then to New York City residents,"2, 5 to Winthrop St",3107227.0,40.658665,Spanish,,Then to Brooklyn students or residents who attend an information session
10X351,Bronx Collaborative High School,NY,"BX1, BX10, BX16, BX22, BX28",Priority to Bronx students or residents who attend an information session,"Uniform Requirement: Please contact the school for  more information about school uniform., Performance Based Assessment Tasks (PBATs), Summer Orientation, Family Meeting Upon Enrollment, Participation with Community-Based Organizations, Tutoring 4:15 PM - 6:15 PM",,,Then to Bronx students or residents,X440,"Basketball, Bowling, Cross Country, Gymnastics, Handball, Indoor Track, Outdoor Track, Soccer, Swimming, Tennis, Volleyball",,9:00 AM,,4 to Mosholu Parkway; B or D to Bedford Park,2095215.0,40.879995,"Spanish, Spanish Native Language Arts",,Then to New York City residents who attend an information session
06M462,The College Academy,NY,"BX18, BX40, BX7, M101, M3, M4",Priority to District 6 students or residents,,,,Then to New York City residents,M465,"Basketball, Indoor Track, Soccer, Softball, Volleyball",571.0,8:00 AM,,A to 190th St;  1 to 191st St,1076751.0,40.8565083,"English, Spanish",,Then to Manhattan students or residents
18K563,It Takes a Village Academy,NY,"B17, B35, B46, B47, B7, B8",Priority to New York City residents who attend an information session,"Dress Code Required: blue or white shirt/top, black or dark gray pants/skirt, Extended Day Program, Community Service Requirement, Our school requires an Academic Portfolio for graduation, Internship Requirement, Summer School Orientation, Summer Internship Program offered, Weekend Program offered, Work Study Program",,"English, French, Haitian-Creole, Spanish",,K415,"Basketball, Bowling, Cricket, Football, Outdoor Track, Swimming, Tennis",417.0,8:15 AM,,3 to Saratoga Ave,3104598.0,40.647733,"Arabic, French, Haitian-Creole, Spanish",,Then to New York City residents
02M543,New Design High School,NY,"M103, M14AD, M15, M15-SBS, M21, M22, M9",Priority to District 1 students or residents,Attendance at an information meeting by student/family is expected,,,,M445,"Basketball, Bowling, Tennis, Volleyball",431.0,8:45 AM,,"F, J, M, Z to Delancey St-Essex St;  B, D to Grand St",1005283.0,40.717321,Spanish,,Then to New York City residents
31R455,Tottenville High School,NY,"S55, S56, S59, S78",Priority to Staten Island students or residents,,,,For Zoned Program only: Guaranteed offer to students who apply and live in the zoned area.,R455,"Basketball & JV Basketball, Bowling, Cross Country, Fencing, Golf, Gymnastics, Handball, Indoor Track, Lacrosse, Outdoor Track, Soccer, Softball & JV Softball, Swimming, Tennis, Volleyball",3849.0,8:00 AM,,SIR Huguenot,5082634.0,40.528303,"Italian, Latin, Spanish",,Then to New York City residents
22K405,Midwood High School,NY,"B103, B11, B41, B44, B49, B6, B8, Q35",Open to New York City residents,We are a multi-session school.,,,For K26L only: Open only to students whose home language is Haitian Creole,K405,"Basketball & JV Basketball, Bowling, Cross Country, Handball, Outdoor Track, Soccer, Softball, Swimming, Tennis, Volleyball",3893.0,8:45 AM,,"2, 5 to Brooklyn College - Flatbush Av",3205788.0,40.632889,"French, Latin, Spanish",,For K26H: Open only to students who reside in the geographical catchment area
24Q550,High School for Arts and Business,NY,"Q23, Q38, Q58, Q88",Priority to Queens students or residents,Attendance at our June Freshman Orientation Program is expected,,"Chinese, German, Latin",,Q456,"Cross Country, Handball, Soccer",857.0,8:45 AM,,"7 to 103rd St ; M, R to 63rd Drive",4048306.0,40.737637,"French, Italian, Spanish",,Then to New York City residents
22K425,James Madison High School,NY,"B100, B2, B31, B44, B49, B7",Open to Brooklyn students or residents,,,,,K425,"Basketball & JV Basketball, Cross Country, Handball, Indoor Track, Lacrosse, Outdoor Track, Soccer, Softball & JV Softball, Swimming, Tennis, Volleyball & JV Volleyball",3158.0,8:10 AM,,"B, Q to Kings Highway",3182721.0,40.609847,"Chinese, French, Italian, Russian, Spanish",,For Zoned Program only: priority to students who live in the zoned area
14K322,Foundations Academy,NY,"B15, B38, B43, B44, B46, B47, B48, B54, B57",Priority to Brooklyn students or residents who attend an information session,"Uniform Required: collared polo or button-down shirt with school logo, black or khaki pants/skirt, Extended Day Program, Saturday and Evening School",,,Then to Brooklyn students or residents,K033,"Basketball & JV Basketball, Volleyball & JV Volleyball",150.0,8:30 AM,,"J, M to Flushing Av;  G to Myrtle-Willoughby Avs",3048517.0,40.697127,Spanish,,Then to New York City residents who attend an information session
09X413,Bronx High School for Medical Science,NY,"BX1, BX11, BX15, BX18, BX32, BX35, BX41",Priority to continuing 8th graders,"Uniform Required: approved hunter green medical scrub uniform (without alterations), We follow a self-contained model for all grades. Students stay in the same classroom and teachers rotate to classes.",,,Then to New York City residents,X410,"Basketball, Outdoor Track, Softball, Tennis, Volleyball",467.0,7:45 AM,,"4, B, D to 170th St",2007806.0,40.839295,Spanish,,Then to Bronx students or residents
19K615,Transit Tech Career and Technical Education High School,NY,"B13, B14, Q24, Q7, Q8",Open to New York City residents,,,Spanish,,K615,"Basketball, Cross Country, Indoor Track, Outdoor Track, Softball, Volleyball",1227.0,8:30 AM,,"A, C to Euclid Av;  J, Z to Norwood Av",3327249.0,40.6782503,Spanish,,
03M299,"High School for Arts, Imagination and Inquiry",NY,"M10, M104, M11, M20, M31, M5, M57, M66, M7, M72",Priority to New York City residents who attend an information session,"Uniform Required: school shirt/sweatshirt embroidered with school logo, Extended Day Tutoring, Students have the opportunity to work towards a New York State CTE Endorsement in Entrepreneurship",,,,M490,"Basketball & JV Basketball, Cross Country, Handball, Indoor Track, Outdoor Track, Soccer, Softball, Volleyball",434.0,8:00 AM,,"A, B, C, D to 59th St-Columbus Circle;  1 to 66th St - Lincoln Center;  2, 3 to 72nd St",1030343.0,40.7748238,Spanish,,Then to New York City residents
26Q566,"Queens High School of Teaching, Liberal Arts and the Sciences",NY,"Q43, Q46",Priority to students attending PS/IS 266Q and PS/MS 208Q,"We offer a 2-week interdisciplinary Summer Program in July, All ninth graders are assigned to a small learning community, There are three time schedules which are rotated yearly",,,Then to Queens students or residents,Q566,"Basketball & JV Basketball, Fencing, Golf, Indoor Track, JV Lacrosse, Outdoor Track, Soccer, Softball, Swimming, Volleyball",1227.0,8:30 AM,,F to Union Turnpike-Kew Gardens,4529899.0,40.744121,Spanish,,Then to Districts 26 and 29 students or residents
03M403,The Global Learning Collaborative,NY,"M10, M104, M5, M7, M79, M86",Priority to Manhattan students or residents who attend an information session,Our school requires an Academic Portfolio for graduation,,"French, German, Italian, Japanese, Korean, Latin, Polish, Russian",Then to Manhattan students or residents,M470,"Basketball, Bowling, Softball, Tennis, Volleyball",434.0,8:30 AM,,"1, B, C to 86th St;  2, 3 to 96th St",1032128.0,40.7858722,"Arabic, Chinese (Mandarin), Spanish",,Then to New York City residents who attend an information session
19K639,Brooklyn Lab School,NY,"B13, Q56",Priority to New York City residents who attend an information session,"Extended Day Programs, Weekend Program offered, Student and Parent Summer Orientation, Our school requires an Academic Portfolio for graduation, Community Service Requirement",,"French, Italian",,K420,"Basketball & JV Basketball, Bowling, Cross Country, Indoor Track, Outdoor Track, Softball & JV Softball, Tennis, Volleyball & JV Volleyball",377.0,8:15 AM,,"J, Z to 75th St-Eldert Ln",3090738.0,40.69228,Spanish,,Then to New York City residents
07X527,Bronx Leadership Academy II High School,NY,"BX1, BX13, BX19, BX2, BX32, BX41, BX6",Priority to Bronx students or residents who attend an information session,"Dress Code Required: Boys - solid white button-down dress shirt, blue or black pants, blue or black belt, tie of choice, black, navy or brown shoes; Girls - solid white button-down dress shirt, blue or black pants/knee length skirt, white or black tights, optional blue or black belt and tie, black, navy or brown shoes",,,Then to Bronx students or residents,X790,"Basketball & JV Basketball, Rugby, Softball, Volleyball, Wrestling",506.0,8:30 AM,,"2, 4, 5 to 149th St - Grand Concourse;  B, D to 161st St-Yankee Stadium",2103486.0,40.8225762,"American Sign Language, French, Spanish",,Then to New York City residents who attend an information session
02M303,The Facing History School,NY,"M11, M20, M31, M34A-SBS, M42, M50, M57",Priority to District 3 students or residents who attend an information session,"Dress Code Required: white collared shirt, black or white sweater/sweatshirt(when needed), black slacks, all black or all white sneakers/shoes, Incoming freshmen and parents are expected to attend an Orientation session., Each student and parent/guardian will sign a community contract upon entering the school., Entering students are expected to attend our 1 week Summer Bridge Program., 4 years of Math and Science required, Academic Portfolio required for graduation, Our school follows an academy model; 9th and 10th grade is one academy. When the students meet all the requirements they will be promoted to the 11th and 12th grade academy.",,,Then to New York City residents who attend an information session,M535,"Basketball, Bowling, Handball, Volleyball",412.0,8:15 AM,Then to Manhattan students or residents,"C, E to 50th St",1083802.0,40.7653384,"French, Spanish",,Then to Manhattan students or residents who attend an information session
23K493,Brooklyn Collegiate: A College Board School,NY,"B12, B14, B25, B45, B47, B60, B7",Priority to continuing 8th graders,"Uniform Required: black Brooklyn Collegiate badge top, black or khaki pants/skirt for 9th and 10th graders; gray Brooklyn Collegiate badge top, black or khaki pants/skirt for 11th and 12th graders, Academic Porfolio Required for Assessment, Service Credit Required, Extended Day Program",,,Then to New York City residents who attend an information session,K055,Basketball,475.0,8:30 AM,Then to New York City residents,"A, J, L to Broadway Junction (Eastern Pkwy);  C to Rockaway Av",3038939.0,40.6741208,"French, Spanish",,Then to Brooklyn students or residents who attend an information session
05M670,Thurgood Marshall Academy for Learning and Social Change,NY,"BX15, BX33, M1, M10, M100, M101, M102, M2, M3, M7",Priority to continuing 8th graders,"Uniform Required: white shirt, black pants/skirt, black shoes, red/black school sweater with school logo; sweater available for purchase at the school",,,Then to Manhattan students or residents,M970,Basketball,572.0,8:30 AM,,"A, D to 125th St;  2, 3, B, C to 135th St",1058843.0,40.8155112,"French, Spanish",,Then to District 5 students or residents
13K439,Brooklyn International High School,NY,"B103, B25, B26, B38, B41, B52, B54, B57, B61, B62, B65, B67, B69",Open only to New York City residents living in the United States four years or fewer who are English Language Learners per New York City Department of Education guidelines scoring at the Beginner or Intermediate level on the NYSESLAT or LAB-R.,"Our school requires an Academic Portfolio for Assessment, Internship Requirement, Extended Day",,,,K805,"Bowling, Soccer",351.0,9:15 AM,,"2, 3, 4, 5 to Court St - Borough Hall;  B, Q to DeKalb Av;  A, C to High St;  R to Jay St-MetroTech;  F to York St",3000216.0,40.6972089,French,,
31R445,Port Richmond High School,NY,"S40, S44, S46, S53, S57, S59, S94",Priority to Staten Island students or residents,,,,For Zoned program only: priority to students who live in the zoned area,R445,"Basketball & JV Basketball, Bowling, Cross Country, Golf, Gymnastics, Indoor Track, Outdoor Track, Soccer, Softball & JV Softball, Swimming, Tennis, Volleyball & JV Volleyball",1950.0,8:00 AM,,,5026076.0,40.634843,"Italian, Spanish",,Then to New York City residents
26Q435,Martin Van Buren High School,NY,"Q1, Q27, Q43, Q46",Priority to Queens students or residents,,,,For Zoned Program only: Guaranteed offer to students who apply and live in the zoned area.,Q435,"Basketball, Indoor Track, Outdoor Track, Soccer, Softball, Tennis, Volleyball & JV Volleyball",2239.0,8:00 AM,,F to Jamaica-179th Street,4166101.0,40.7336309,"French, Spanish",,Then to New York City residents
09X403,Bronx International High School,NY,"BX13, BX15, BX17, BX21, BX35, BX4, BX41, BX6",Open only to New York City residents living in the United States four years or fewer who are English Language Learners per New York City Department of Education guidelines scoring at the Beginner or Intermediate level on the NYSESLAT or LAB-R.,,,,,X400,"Basketball, Softball, Volleyball",402.0,8:45 AM,,"2, 5 to Intervale Av",2004526.0,40.8280148,,,
08X349,Bronx River High School,NY,"BX21, BX31, BX4, BX40, BX4A, BX5, BX8",Priority to Bronx students or residents who attend an information session,"Uniform Required: Polo shirt with school logo, sweater  or sweatshirt with school logo, Dickies/Dockers-type  navy blue, black, uniform pants (without cargo pockets),  solid black shoes/sneakers/boots, Extended Day, Written Research Project with Presentation required  each semester, Community Service Requirement: 20 hours per year",,,Then to Bronx students or residents,X405,"Basketball & JV Basketball, Bowling, Cross Country, Indoor Track, Outdoor Track, Soccer, Softball & JV Softball, Tennis, Volleyball & JV Volleyball",,8:14 AM,,6 to Westchester Square,2074045.0,40.839987,Spanish Native Language Arts,,Then to New York City residents who attend an information session
