fax_number,location,seats103,common_audition5,method4,grade9gefilledflag5,requirement8_2,program8,total_students,method3,eligibility8,common_audition3,requirement5_1,offer_rate1_6,ell_programs,grade9geapplicants8,requirement2_3,latitude,requirement7_1,requirement5_3,requirement3_3,grade9geapplicants3,earlycollege,admissionspriority42,method5,auditioninformation7,grade9geapplicants5,seats9ge10,applicants4specialized,grade9swdapplicants1,:@computed_region_yeji_bk3q,method1,offer_rate1_5,seats3specialized,grade9gefilledflag6,prgdesc9,language_classes,applicants3specialized,grade9geapplicantsperseat6,addtl_info1,requirement3_2,requirement2_2,requirement4_4,:@computed_region_92fq_4b7q,interest2,psal_sports_coed,auditioninformation5,grade9swdapplicantsperseat1,graduation_rate,seats1specialized,neighborhood,requirement2_1,school_accessibility,appperseat4specialized,seats9ge6,offer_rate3_3,seats9swd10,offer_rate3_1,method2,interest7,requirement4_3,grade9geapplicants7,grade9geapplicants2,seats102,grade9swdfilledflag4,requirement4_8,admissionspriority25,census_tract,requirement1_1,admissionspriority16,grade9geapplicantsperseat5,prgdesc5,prgdesc7,requirement1_7,requirement5_2,requirement8_1,requirement6_4,academicopportunities3,requirement2_6,seats1010,appperseat3specialized,grades2019,offer_rate2_1,community_board,admissionspriority24
718-217-6287,"230-17 HILLSIDE AVENUE, QUEENS VILLAGE NY 11427(40.733888, -73.739726)",Yes,,Zoned Priority,,,,1162,Ed. Opt.,,,,,English as a New Language,,Punctuality,40.733066,,,"Course Grades: English, Math, Science, Social Studies",296.0,,,,,,,,43.0,3,Screened,,,,,"American Sign Language, French, Spanish",,,College Trips; Community School; Extended Day Program; Online Grading System; Saturday Programs; Student Parent Orientation; Summer Bridge Program; Summer Internships; Summer Orientation; Weekend Programs,"Course Grades: English, Math, Science, Social Studies",Punctuality,,16,Engineering,Cricket,,4.0,0.79,,Bellerose,Punctuality,Fully Accessible,,,,,,Ed. Opt.,,Standardized Test Scores: Average,,321.0,Yes,N/A - zoned program,,,1301,Attendance,,,,,,,,,"Law students take Civil, Criminal & Constitutional Law classes while performing in Moot Court & Mock Trial; Partnerships at Columbia, NYU, John Jay",,,,9 to 12,,413,Then to New York City residents
212-225-0996,"411 PEARL STREET, MANHATTAN NY 10038(40.711441, -74.000851)",,,,,,,265,,,,,,English as a New Language,,,40.711442,,,,,,,,,,,,55.0,4,Ed. Opt.,,,,,French,,,College Trips; Community Service Expected; Extended Day Program; Extended Day Credit Recovery; Extended Day Tutoring; Health Center; Internship Expected; Internships Available; Online Grading System; Weekend Programs; Orientation; Summer Internships; Uniform,,,,32,,Stunt,,2.0,0.76,,Chinatown,Punctuality,Fully Accessible,,,,,,,,,,,,,,,29,Attendance,,,,,,,,,"Advanced Placement Courses: AP Computer Science, AP English Composition, AP English Literature, AP Environmental Science, AP US History, AP Calculus, AP Psychology",,,,9 to 12,,101,
718-931-8366,"1122 EAST 180TH STREET, BRONX NY 10460(40.841376, -73.875262)",,,,,,,463,,,,,,English as a New Language,,,40.841794,,,,,,,,,,,,108.0,5,Ed. Opt.,,,,,"Mandarin, Spanish",,,,,,,22,,,,4.0,0.5,,East Tremont,,Fully Accessible,,,,,,,,,,,,,,,220,,,,,,,,,,,,,,9 to 12,,206,
718-696-3821,"921 EAST 228TH STREET, BRONX NY 10466(40.888242, -73.852714)",,,,,,,360,,,,,,English as a New Language,,,40.887831,,,,,,,,,,,,91.0,5,Ed. Opt.,,,,,Spanish,,,College Trips; Extended Day Program; Saturday Programs; Uniform,,,,2,,,,4.0,0.66,,Williamsbridge-Olinville,,Fully Accessible,,,,,,,,,,,,,,,404,We do not rank students for this program; all students will be selected randomly.,,,,,,,,,"Seminars, family activities, career and college exploration",,,,9 to 12,,212,
718-746-2017,"58-20 UTOPIA PARKWAY, FRESH MEADOWS NY 11365(40.740875, -73.795049)",Yes,,Screened,N/A - zoned program,,,4492,Screened,,,,,English as a New Language; Transitional Bilingual Education: Chinese,,"Course Grades: English (86-100), Math (85-100), Science (87-100), Social Studies (88-100)",40.740724,,,"Standardized Test Scores: English Language Arts (3.3-4.5), Math (3.3-4.5)",2719.0,,,Zoned Guarantee,,N/A - zoned program,,,434.0,3,Ed. Opt.,,,,,"French, Italian, Japanese, Korean, Latin, Mandarin, Spanish",,,,"Standardized Test Scores: English Language Arts (3.5-4.5), Math (4.0-4.5)","Course Grades: English (88-100), Math (89-100), Science (88-100), Social Studies (88-100)",,3,Science & Math,Cricket,,33.0,0.88,,Auburndale,,Fully Accessible,,,,,,Screened,,,,4121.0,Yes,Y,,Then to New York City residents,1417,,,N/A - zoned program,,,,,,,"Gateway for the Sciences, Sports and Heath Sciences, Forensic Science Academy, Journalism Academy, Engineering Academy, Virtual Enterprise",,,,9 to 12,,411,Then to Queens students or residents
718-294-8109,"1501 JEROME AVENUE, BRONX NY 10452(40.842503, -73.916084)",,,,,,,735,,,,,,English as a New Language,,,40.842495,,,,,,,,,,,,232.0,5,Open,,,,,"Japanese, Spanish",,,College Trips; Community Service Expected; Extended Day Program; Health Center; Multi-Session School; Online Grading System; Weekend Programs; Orientation; Summer Orientation; Uniform,,,,29,,,,13.0,0.87,,West Concourse,,Fully Accessible,,,,,,,,,,,,,,,209,,,,,,,,,,College Counseling/Advisory,,,,6 to 12,10% of offers went to this group,204,
917-441-3693,"122 AMSTERDAM AVENUE, MANHATTAN NY 10023(40.774891, -73.985608)",,,,,,,492,,,,,,English as a New Language,,,40.774351,,,,,,,,,,,,270.0,4,Ed. Opt.,,,,,Spanish,,,College Trips; Dress Code; Extended Day Program; Extended Day Credit Recovery; Extended Day Tutoring; Health Center; Internships Available; Online Grading System; Weekend Programs; Orientation; Summer Orientation,"Standardized Test Scores: English Language Arts, Math",Punctuality,,19,Computer Science & Technology,Double Dutch,,18.0,0.57,,Lincoln Square,Punctuality,Partially Accessible,,,,,,Ed. Opt.,,,,375.0,No,,,,151,Attendance,,,,,,,,,"Visual Arts, Web Design, Photoshop, Theater",,,,9 to 12,,107,
718-488-1724,"362 SCHERMERHORN STREET, BROOKLYN NY 11217(40.686147, -73.979829)",,,,,,,226,,,,,,English as a New Language; Transitional Bilingual Education: Arabic,,,40.686499,,,,,,,,,,,,25.0,2,Ed. Opt.,,,,,"Arabic, French",,,College Trips; Dress Code; Extended Day Program; Online Grading System; Saturday Programs; Student Parent Orientation; Summer Orientation; Uniform,,,,38,,,,2.0,0.77,,DUMBO-Downtown Brooklyn,Standardized Test Scores: Average,Not Accessible,,,,,,,,,,,,,,,39,Course Grades: Average,,,,,,,,,"Internships for 11th and 12th graders; College and Career focus groups, CUNY College Now, Baruch College courses, Fordham University STEP Program",,,,9 to 12,,302,
718-647-4458,"1 WELLS STREET, BROOKLYN NY 11208(40.67878, -73.875328)",Yes,,Screened,N,,,676,Screened,,,,,English as a New Language,,Punctuality,40.678276,,,"Course Grades: English (60-100), Math (65-100), Science (65-100), Social Studies (60-100)",153.0,,,Screened,,244,,,118.0,2,Ed. Opt.,,,N,,Spanish,,6,,"Course Grades: English (60-100), Math (60-100), Science (60-100), Social Studies (63-100)",Punctuality,"{'url': 'http://1.7-4.5', 'description': 'Standardized Test Scores: English Language Arts (1.8-4.5), Math'}",37,Engineering,Cricket,,12.0,0.77,,East New York,,Partially Accessible,,62,,,,Screened,Computer Science & Technology,"Standardized Test Scores: English Language Arts (1.9-4.5), Math (1.5-4.5)",154,140.0,Yes,Y,,,1196,,Open to New York City residents,4,"Prepares students for careers in computers and wired and wireless networks. The program focuses on building, maintaining and troubleshooting computers, mobile devices, printers, and networks. Certificates/Industry exams: IC3, IT Fundamentals, A+ Computer Repair and C-Tech Copper & Fiber.","Prepares students for careers in computer information systems. Students will learn digital literacy, which includes basic computer skills such as hardware and software, Microsoft Office, internet connectivity, and network setup and obtain an entry level IT help-desk position at the completion of the course. At the completion of the program students are offered multiple industry-recognized certifications. Certificates/Industry Exams: IC3, IT Fundamentals, and A+ Computer Repair.",,,,,"Internships and training through industry partners: MTA, Amtrak, ASI System Integration, DIIT, Scholars At Work, NYC Division of School Facilities",,,,9 to 12,,305,
718-570-8231,"94-25 117TH STREET, SOUTH RICHMOND HILL NY 11419(40.693013, -73.829409)",,,,,,,411,,,,,,English as a New Language,,,40.693006,,,,,,,,,,,,108.0,3,Ed. Opt.,,,,,Spanish,,,College Trips; Extended Day Tutoring; Internships Available; Summer Bridge,,,,46,,,,9.0,0.88,,Richmond Hill,Punctuality,Not Accessible,,,,,,,,,,,,,,,120,Attendance,,,,,,,,,,,,,9 to 12,,409,
718-556-4800,"105 HAMILTON AVENUE, STATEN ISLAND NY 10301(40.645436, -74.082149)",Yes,,Open,N,,School for International Studies IBCP / AVID Program,2586,Screened,,,,100% of offers went to this group,English as a New Language; Transitional Bilingual Education: Spanish,299,Punctuality,40.644735,,Math and English Test (On-Site),"Course Grades: English (80-100), Math (80-100), Science (80-100), Social Studies (80-100)",316.0,,,Ed. Opt.,,132,N/A - zoned program,,106.0,1,Open,100% of offers went to this group,,Y,"This program offers students the opportunity to study fine arts or graphic design through a variety of classes that are enriched by after-school programs and a design partnership with Roundabout Theater. Course offerings include: Drawing, Painting, AP Art History, IB Art, and/or CTE Graphic Design using Adobe Creative Suite.","French, Italian, Spanish",,7,College Trips; Community School; Extended Day Program; Health Center; Online Grading System; Saturday Programs; Student Parent Orientation; Summer Orientation; Weekend Programs,,,,13,Law & Government,"Double Dutch, Golf",,5.0,0.73,,New Brighton-St. George,,Partially Accessible,,65,,N/A - zoned program,,Open,Performing Arts,"Standardized Test Scores: English Language Arts (2.5-4.5), Math (2.2-4.5)",238,338.0,No,N,"Standardized Test Scores: English Language Arts (1.9-4.5), Math (1.8-4.5)",Then to New York City residents,7,,Priority to Staten Island students or residents,3,"The Naval JROTC program is a leadership and citizenship training program co-sponsored by the Department of Education and the United States Navy. The curriculum is divided into three areas: academic, military skills, and physical fitness.","The Performing Arts program offers students the opportunity to study dance, theater, or music through a variety of classes that are enriched by after-school performances and partnerships with Roundabout Theater, Battery Dance Company, Theatre for New Audiences, and The College of Staten Island. Course offerings include: IB Dance, Modern Dance, Ballet, Composition, Theater I, IB Theater, Chorus, Piano, Guitar, Orchestra, Concert Band, Symphonic Band, and Jazz Band.",,,,,CUNY College Now: Nationally recognized high school-to-college partnership with CUNY offering rigorous college coursework without cost to students.,Punctuality,Yes,,9 to 12,,501,Then to New York City residents
718-361-5395,"34-12 36TH AVENUE, ASTORIA NY 11106(40.754975, -73.926977)",,,,,,,534,,,,,,English as a New Language,,,40.755366,,,,,,,,,,,,121.0,3,Screened,,,,,"French, Mandarin, Spanish",,,Student Parent Orientation,,,,33,,,,8.0,0.99,,Queensbridge-LIC,Course Grades: Average (90-100),Fully Accessible,,,,,,,,,,,,,,,55,Attendance,,,,,,,,,"IB Diploma examinations in Experimental Sciences, Mathematics, Foreign Language, World Literature, History of the Americas, and Visual Art or Technology",,,,7 to 12,72% of offers went to this group,401,
718-629-1076,"5800 TILDEN AVENUE, BROOKLYN NY 11203(40.647728, -73.922212)",,,,,,,294,,,,,,English as a New Language,,,40.648657,,,,,,,,,,,,100.0,2,Ed. Opt.,,,,,Spanish,,,Community School,,,,26,,Stunt,,7.0,0.8,,East Flatbush,,Partially Accessible,,,,,,,,,,,,,,,936,,,,,,,,,,"Twice a year, students host student-led conferences to show their best work and set goals for personal growth.",,,,9 to 12,,317,
718-815-9638,"715 OCEAN TERRACE, STATEN ISLAND NY 10301(40.607637, -74.105883)",,,,,,,1330,,,,,,English as a New Language,,,40.608512,,,,,,,,,,,,94.0,1,Ed. Opt.,,,,,"Italian, Spanish",,,College Trips; Online Grading System,,,,14,,Golf,,5.0,0.94,,Todt Hill-Heartland Village,,Partially Accessible,,,,,,D75 Special Education Inclusive Services,,,,,,,,,177,We do not rank students for this program; all students will be selected randomly.,,,,,,,,,"Fine Arts, Sculpture, Graphic Design",,,,PK to 12,,502,
718-563-7362,"500 EAST FORDHAM ROAD, BRONX NY 10458(40.859466, -73.888625)",,,,,,,609,,,,,,English as a New Language,,,40.860043,,,,,,,,,,,,253.0,5,Ed. Opt.,,,,,Spanish,,,,,,,22,,,,51.0,0.86,,Belmont,,Partially Accessible,,,,,,,,,,,,,,,387,,,,,,,,,,,,,,6 to 12,44% of offers went to this group,206,
212-777-4702,"525 EAST HOUSTON STREET, MANHATTAN NY 10002(40.718276, -73.976093)",,,,,,,615,,,,Writing Exercise (On-Site),,English as a New Language,,,40.719029,,,,,1.0,,,,,,,200.0,4,Screened,,,,,"French, Greek, Latin, Mandarin, Spanish",,,College Trips; Extended Day Program; Student Parent Orientation; Summer Bridge Program,,,,50,,,,8.0,0.99,,Lower East Side,Course Grades: Average (88-100),Partially Accessible,,,,,,,,,,,,,,,1002,Attendance,,,,,,,,,Students must complete 60 college credits to receive the Bard College AA degree.,,,,9 to 12,,103,
718-333-7875,"2630 BENSON AVENUE, BROOKLYN NY 11214(40.593028, -73.986313)",,,,,,,669,,,,Individual Interview (On-Site),,English as a New Language,,,40.594291,,,,,1.0,,,,,,,103.0,2,Screened,,,,,Spanish,,,,,,,45,,Cricket,,6.0,1.0,,Gravesend,Punctuality,Partially Accessible,,,,,,,,,,,,,,,306,Attendance,,,,,,,,,Strategic Reading Programs,,,,6 to 12,,313,
718-944-3638,"925 ASTOR AVENUE, BRONX NY 10469(40.860443, -73.860729)",,,,,,,500,,,,,,English as a New Language,,,40.859665,,,,,,,,,,,,264.0,5,Ed. Opt.,,,,,"Italian, Spanish",,,College Trips; Dress Code; Extended Day Program; Health Center; Online Grading System; Saturday Programs; Student Parent Orientation; Summer Bridge Program; Uniform,,,,12,,,,11.0,0.73,,Bronxdale,"Course Grades: English, Math, Science, Social Studies",Partially Accessible,,,,,,,,,,,,,,,324,Attendance,,,,,,,,,Students may be programmed into Advanced Placement (AP) and College Now classes beginning their sophomore year.,,,,9 to 12,,211,
718-969-5524,"75-40 PARSONS BOULEVARD, FRESH MEADOWS NY 11366(40.72528, -73.811408)",,,,,,,702,,,,,,English as a New Language,,,40.725603,,,,,,,,,,,,79.0,3,Ed. Opt.,,,,,"Mandarin, Spanish",,,College Trips; Community Service Expected; Extended Day Program; Extended Day Tutoring; Online Grading System; Weekend Programs; Orientation,,,,24,,Golf,,3.0,0.8,,Kew Gardens Hills,Punctuality,Not Accessible,,,,,,,,,,,,,,,77908,Attendance,,,,,,,,,"CUNY College Now at RFK Campus-Queensborough Community College, Adv. Art, Digital Photography, Computer Apps, Web Design, Criminal Justice, Robotics",,,,9 to 12,,408,
212-289-7728,"105 EAST 106TH STREET, NEW YORK NY 10029(40.792932, -73.947171)",,,,,,,480,,,,Writing Exercise (On-Site),,English as a New Language,,,40.792741,,,,,,,,,,,,104.0,4,Screened,,,,,Spanish,,,,,,,35,,,,6.0,1.0,,East Harlem South,Course Grades: Average (80-100),Fully Accessible,,,,,,,,,,,,,,,172,Initial Filter: GPA of 80 or higher and 90% attendance,,,,,,,,,"Teachers partner with outside organizations to enrich the curriculum with numerous museum visits, theatrical performances, and scientific fieldwork.",,,,6 to 12,39% of offers went to this group,111,
718-987-5872,"485 CLAWSON STREET, STATEN ISLAND NY 10306(40.568299, -74.117086)",,,,,,,1331,,,,,,English as a New Language,,,40.567873,,,,,,,,,,,,,1,Test,,,,,Russian,,,,,,,14,,"Golf, Stunt",,,1.0,281.0,New Dorp,,Partially Accessible,,,,,,,,,,,,,,,134,,,,,,,,,,"Career Development Center (Work Based Learning Opportunities-Career Talks, Job Shadowing, Internships)",,,,9 to 12,,502,
718-472-9117,"47-07 30TH PLACE, LONG ISLAND CITY NY 11101(40.742217, -73.936442)",,,,,,,649,,,,,,English as a New Language,,,40.742839,,,,,,,,,,,,321.0,3,Ed. Opt.,,,,,Spanish,,,College Trips; Extended Day Program; Online Grading System; Student Parent Orientation; Summer Orientation,,,,33,,Golf,,19.0,0.96,,Hunters Point-Sunnyside,Standardized Test Scores: Average,Fully Accessible,,,,,,,,,,,,,,,199,Course Grades: Average,,,,,,,,,Year-long CORE courses for ninth graders; Student Government Association,,,,6 to 12,83% of offers went to this group,402,
718-904-5451,"750 BAYCHESTER AVENUE, BRONX NY 10475(40.874035, -73.831669)",,,,,,,295,,,,,,English as a New Language,,,40.874091,,,,,,,,,,,,209.0,5,Ed. Opt.,,,,,Spanish,,,College Trips; Extended Day Program; Health Center; Student Parent Orientation; Summer Bridge Program; Summer Internships; Uniform,,,,2,,Stunt,,10.0,0.94,,Co-op City,Punctuality,Partially Accessible,,,,,,,,,,,,,,,46201,Attendance,,,,,,,,,"Problem-Based and Project-Based Interdisciplinary Learning and Research, Hospital Volunteer, Health Occupations Students of America (HOSA)",,,,9 to 12,,210,
718-728-0218,"23-15 NEWTOWN AVENUE, ASTORIA NY 11102(40.770769, -73.92383)",,,,,,,586,,,,Writing Exercise (On-Site),,English as a New Language,,,40.771215,,,,,,,,,,,,44.0,3,Screened,,,,,Spanish,,,,,,,4,,,,4.0,0.99,,Old Astoria,Course Grades: Average (84-100),Partially Accessible,,,,,,,,,,,,,,,69,"Initial Filter: 80 grade average, 95% attendance, 90% punctuality",,,,,,,,,"Eligible students participate in focused pathways such as Advanced Placement For All, Software Engineering For All, and Algebra For All.",,,,6 to 12,30% of offers went to this group,401,
718-292-4276,"701 ST. ANNS AVENUE, BRONX NY 10455(40.818041, -73.911633)",,,,,,,519,,,,Individual Interview (On-Site),,English as a New Language,,,40.81825,,,,,,,,,,,,202.0,5,Screened,,,,,French,,,,Course Grades: Average (82-100),Punctuality,,43,Science & Math,Double Dutch,,16.0,1.0,,Melrose S.-Mott Haven N.,Punctuality,Not Accessible,,,,,,Screened,,,,985.0,No,,,,71,Attendance,,,,,,Individual Interview (On-Site),,,"Bloomberg, Early College, CUNY College Now, advisory, blended learning, project-based learning, Cornell University, Narrative 4, STEM",,,,9 to 12,,201,
212-348-6097,"230 EAST 105TH STREET, MANHATTAN NY 10029(40.790191, -73.944092)",,,,,,,389,,,,Demonstrated Interest: School Visit,,English as a New Language,,,40.790543,,,,,,,,,,,,406.0,4,Screened,,,,,Spanish,,,College Trips; Online Grading System; Saturday Programs; Student Parent Orientation; Uniform,,,,35,,,,21.0,0.99,,East Harlem South,Punctuality,Not Accessible,,,,,,,,,,,,,,,170,Attendance,,,,,,,,,"Open Honors options in all grades, Full-Time librarian, small class size of 19 students, CUNY College Now (11th and 12th grade), Data Analytics, teacher Office Hours",,,,9 to 12,,111,
718-417-8457,"21-27 HIMROD STREET, RIDGEWOOD NY 11385(40.711881, -73.909202)",Yes,,Ed. Opt.,N,,,1715,Ed. Opt.,,,,,English as a New Language; Transitional Bilingual Education: Spanish,,Course Grades: Average,40.711033,,,"Standardized Test Scores: English Language Arts, Math",282.0,,,Ed. Opt.,,186,,,65.0,3,Ed. Opt.,78% of offers went to this group,,N/A - zoned program,,"Italian, Mandarin, Spanish",,N/A - zoned program,College Trips; Extended Day Program; Online Grading System; Saturday Programs; Student Parent Orientation; Summer Internships,"Standardized Test Scores: English Language Arts, Math",Course Grades: Average,,34,"Hospitality, Travel, & Tourism",,,4.0,0.65,,Ridgewood,Course Grades: Average,Partially Accessible,,N/A - zoned program,,,,Ed. Opt.,,,,118.0,Yes,N,,Then to New York City residents,595,Attendance,Guaranteed offer to students who live in the zoned area,4,"This is designed for students interested in allied health professions and in the health care field. Students can, upon completion of rigorous requirements, be certified in First Aid, Life-guarding, Water Safety and Emergency Medical Technician (EMT).",,,,,,"Pathways (majors) of study: Info. Technology, Engineering, Hospitality/Tourism, EMT Studies, Life-guarding, Art, Music (instrumental and vocal)",,,,9 to 12,,405,Then to New York City residents
718-861-0619,"1021 JENNINGS STREET, BRONX NY 10460(40.831212, -73.885804)",,,,,,,471,,,,,,English as a New Language,,,40.83087,,,,,,,,,,,,142.0,5,Ed. Opt.,,,,,Spanish,,,College Trips; Community School; Community Service Expected; Extended Day Credit Recovery; Extended Day Tutoring; Internships Available; Summer Bridge; Summer Internships; Summer Orientation,,,,43,,,,6.0,0.68,,Crotona Park East,"Course Grades: English, Math",Partially Accessible,,,,,,,,,,,,,,,157,Attendance,,,,,,,,,Online courses are available for students wishing to register for courses not offered at the school.,,,,9 to 12,64% of offers went to this group,203,
