closed_date,cross_street_2,address_type,agency,police_precinct,city,bbl,incident_zip,council_district,resolution_action_updated_date,resolution_description,location_type,road_ramp,facility_type,bridge_highway_direction,descriptor_2
2022-04-16T02:00:59.000,DAVIDSON STREET,ADDRESS,NYPD,Precinct 121,STATEN ISLAND,5012370006.0,10303.0,49.0,2022-04-16T02:00:56.000,The Police Department responded to the complaint and determined that police action was not necessary.,Street/Sidewalk,,,,
2022-04-15T20:12:34.000,EAST   82 STREET,ADDRESS,DPR,Precinct 22,NEW YORK,1011110001.0,10028.0,6.0,2022-04-15T20:12:20.000,NYC Parks has reviewed the reported condition and corrected the problem.,Park,,,,Other
2022-04-15T17:41:37.000,WHITE PLAINS ROAD LINE,ADDRESS,NYPD,Precinct 47,BRONX,2048330083.0,10466.0,12.0,2022-04-15T17:41:06.000,The Police Department responded to the complaint and determined that police action was not necessary.,Residential Building/House,,,,
2022-04-15T19:35:00.000,SKILLMAN AVE,ADDRESS,DEP,Precinct 108,WOODSIDE,4001290016.0,11377.0,26.0,2022-04-15T19:35:00.000,"The status of this Service Request is currently not available online. Please call 311 for further assistance. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",,,,,WA2
2022-04-14T16:43:46.000,JAMAICA AVENUE,ADDRESS,NYPD,Precinct 102,WOODHAVEN,,11421.0,32.0,2022-04-14T16:43:52.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,Street/Sidewalk,,,,
2022-04-15T18:40:00.000,,INTERSECTION,DOT,Precinct 66,BROOKLYN,,11230.0,44.0,2022-04-15T18:40:00.000,"Service Request status for this request is available on the Department of Transportation's website. Please click the ""Learn More"" link below.",,,,,Operating Improperly
2022-04-27T13:19:22.000,AVENUE W,ADDRESS,DOT,Precinct 61,BROOKLYN,3073840163.0,11229.0,48.0,2022-04-27T13:19:17.000,A sidewalk dismissal inspection (work done by owner) has been scheduled. Department of Transportation is in direct contact with the responsible party.,Sidewalk,,,,Sidewalk Violation Inquiry
2022-04-16T14:18:36.000,,ADDRESS,HPD,Precinct 68,BROOKLYN,3060810062.0,11209.0,43.0,2022-04-16T00:00:00.000,"The Department of Housing Preservation and Development was not able to gain access to your apartment or others in the building to inspect for a lack of heat or hot water. The complaint has been closed. If the condition still exists, please file a new complaint.",RESIDENTIAL BUILDING,,,,NO HOT WATER
2022-04-14T14:39:39.000,30 ROAD,ADDRESS,NYPD,Precinct 114,ASTORIA,4005060006.0,11102.0,22.0,2022-04-14T14:39:43.000,The Police Department responded and upon arrival those responsible for the condition were gone.,Street/Sidewalk,,,,
2022-04-16T02:08:36.000,BEND,ADDRESS,NYPD,Precinct 88,BROOKLYN,3020340001.0,11205.0,35.0,2022-04-16T02:08:43.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,Residential Building/House,,,,
2022-04-16T00:40:16.000,,INTERSECTION,DOT,Precinct 102,QUEENS,,11421.0,30.0,2022-04-16T00:40:16.000,The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,,,,,
2022-04-17T15:02:03.000,,ADDRESS,HPD,Unspecified,NEW YORK,1008850085.0,10016.0,2.0,2022-04-17T00:00:00.000,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,RESIDENTIAL BUILDING,,,,NO HOT WATER
2022-05-02T05:56:52.000,,ADDRESS,HPD,Precinct 42,BRONX,2026097501.0,10456.0,16.0,2022-05-02T00:00:00.000,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",RESIDENTIAL BUILDING,,,,AT WALL OR CEILING
2022-04-14T20:56:48.000,,ADDRESS,HPD,Precinct 44,BRONX,2024290019.0,10456.0,16.0,2022-04-14T00:00:00.000,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,RESIDENTIAL BUILDING,,,,HOLE OR CRACKED
2022-04-15T06:09:27.000,BRYANT AVENUE,ADDRESS,NYPD,Precinct 48,BRONX,2031320131.0,10460.0,15.0,2022-04-15T06:09:31.000,The Police Department issued a summons in response to the complaint.,Street/Sidewalk,,,,
2022-04-15T20:43:41.000,EAST  171 STREET,ADDRESS,NYPD,Precinct 42,BRONX,2029270050.0,10456.0,16.0,2022-04-15T20:43:46.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,Street/Sidewalk,,,,
2022-04-15T08:50:00.000,SUTTON PL,ADDRESS,DEP,Precinct 17,NEW YORK,1013697501.0,10022.0,5.0,2022-04-15T08:50:00.000,The Department of Environmental Protection researched this complaint and determined that it could be closed.,,,,,NR5
2022-04-16T01:26:37.000,DITMARS BOULEVARD,ADDRESS,NYPD,Precinct 114,ASTORIA,4008960035.0,11105.0,22.0,2022-04-16T01:26:42.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,Street/Sidewalk,,,,
2022-05-06T17:55:04.000,,ADDRESS,HPD,Precinct 42,BRONX,2026120053.0,10456.0,16.0,2022-05-06T00:00:00.000,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,RESIDENTIAL BUILDING,,,,BOWL LOOSE OR WOBBLY
2022-04-17T06:11:51.000,WALTHER DELGADO WAY,ADDRESS,NYPD,Precinct 34,NEW YORK,1022220029.0,10034.0,10.0,2022-04-17T06:11:49.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,Street/Sidewalk,,,,
2022-04-15T19:00:37.000,JAMAICA AVENUE,INTERSECTION,NYPD,Precinct 75,,,11208.0,37.0,2022-04-15T19:00:34.000,The Police Department responded and upon arrival those responsible for the condition were gone.,Street/Sidewalk,,,,
2022-04-14T21:24:35.000,SUMMIT PLACE,ADDRESS,NYPD,Precinct 50,BRONX,2032610026.0,10463.0,14.0,2022-04-14T21:24:39.000,The Police Department responded to the complaint and took action to fix the condition.,Residential Building/House,,,,
2022-05-31T10:43:15.000,,ADDRESS,HPD,Precinct 40,BRONX,2025680076.0,10454.0,8.0,2022-05-31T00:00:00.000,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd.,RESIDENTIAL BUILDING,,,,BROKEN OR DEFECTIVE
2023-05-01T11:41:50.000,GLENMORE AVENUE,ADDRESS,DPR,Precinct 75,BROOKLYN,3041910011.0,11208.0,37.0,2023-05-01T11:41:55.000,NYC Parks performed the work necessary to correct the condition.,Street,,,,
2022-04-15T12:40:00.000,PUGSLEY AVE,ADDRESS,DEP,Precinct 43,BRONX,2037940081.0,10472.0,18.0,2022-04-15T12:40:00.000,The Department of Environmental Protection investigated this complaint and found it to be a temporary condition.,,,,,WE
2022-04-18T16:18:17.000,,ADDRESS,HPD,Precinct 77,BROOKLYN,3013720047.0,11213.0,36.0,2022-04-18T00:00:00.000,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,RESIDENTIAL BUILDING,,,,LEAKING INTO OTHER APARTMENT
2022-05-09T00:00:00.000,,ADDRESS,DOB,Precinct 19,NEW YORK,1014290128.0,10021.0,4.0,2022-05-09T00:00:00.000,The Department of Buildings has made a second attempt to conduct an inspection of this premises and was denied access. No further attempts will be made.,,,,,
2022-04-15T21:10:24.000,HARLEM RIVER PARK BRIDGE,ADDRESS,NYPD,Precinct 46,BRONX,2028820229.0,10453.0,16.0,2022-04-15T21:10:29.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,Residential Building/House,,,,
2022-04-15T20:44:01.000,JEROME AVENUE LINE,ADDRESS,NYPD,Precinct 44,BRONX,2024960052.0,10452.0,16.0,2022-04-15T20:43:58.000,The Police Department responded to the complaint and took action to fix the condition.,Street/Sidewalk,,,,
2022-04-20T12:35:00.000,7 AVE,ADDRESS,DEP,Precinct 68,BROOKLYN,3059430064.0,11209.0,43.0,2022-04-20T12:35:00.000,"Please call 311 for further information. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",,,,,WLWP
2022-04-15T21:58:28.000,LIBERTY AVENUE,ADDRESS,NYPD,Precinct 75,BROOKLYN,3036850005.0,11207.0,37.0,2022-04-15T21:58:34.000,The Police Department responded to the complaint and took action to fix the condition.,Street/Sidewalk,,,,
2022-04-14T20:34:50.000,WHITE PLAINS ROAD LINE,ADDRESS,NYPD,Precinct 47,BRONX,2048330073.0,10466.0,12.0,2022-04-14T20:34:36.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,Residential Building/House,,,,
2022-04-20T09:42:49.000,,ADDRESS,DHS,Unspecified,,,,,2022-04-20T09:42:49.000,The mobile outreach response team went to the location provided but could not find the individual that you reported.,Subway,,,A C F to Manhattan,
2022-04-15T16:24:17.000,KELLY BOULEVARD,ADDRESS,DOHMH,Precinct 121,STATEN ISLAND,5019937501.0,10314.0,50.0,2022-04-15T16:24:17.000,The Department of Health and Mental Hygiene inspected the property you reported and did not find any violations at the time of the inspection. The property passed inspection.,3+ Family Apartment Building,,,,
2022-04-15T06:46:40.000,76 STREET,ADDRESS,NYPD,Precinct 104,RIDGEWOOD,4038250034.0,11385.0,30.0,2022-04-15T06:46:45.000,The Police Department issued a summons in response to the complaint.,Street/Sidewalk,,,,
2022-04-15T19:19:43.000,EAST   33 STREET,ADDRESS,NYPD,Precinct 17,NEW YORK,1009620130.0,10016.0,4.0,2022-04-15T19:19:48.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,Street/Sidewalk,,,,
2022-04-15T17:01:22.000,9 AVENUE,ADDRESS,NYPD,Precinct 18,NEW YORK,1010460013.0,10019.0,3.0,2022-04-15T17:01:24.000,The Police Department responded to the complaint and took action to fix the condition.,Street/Sidewalk,,,,
2022-04-16T16:43:18.000,,ADDRESS,HPD,Precinct 42,BRONX,2026770070.0,10459.0,17.0,2022-04-16T00:00:00.000,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,RESIDENTIAL BUILDING,,,,NO HOT WATER
2022-05-06T17:55:04.000,,ADDRESS,HPD,Precinct 42,BRONX,2026120053.0,10456.0,16.0,2022-05-06T00:00:00.000,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd.,RESIDENTIAL BUILDING,,,,FAUCET BROKEN/MISSING/LEAKING
2022-04-15T15:59:34.000,,ADDRESS,HPD,Precinct 43,BRONX,2038050078.0,10462.0,18.0,2022-04-15T00:00:00.000,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,RESIDENTIAL BUILDING,,,,ENTIRE APARTMENT
2022-05-26T17:28:57.000,,ADDRESS,HPD,Precinct 30,NEW YORK,1020530111.0,10031.0,9.0,2022-05-26T00:00:00.000,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd.,RESIDENTIAL BUILDING,,,,AT WALL OR CEILING
2022-04-15T04:03:43.000,ROCHESTER AVENUE,ADDRESS,NYPD,Precinct 77,BROOKLYN,3013370021.0,11233.0,36.0,2022-04-15T04:03:47.000,The Police Department issued a summons in response to the complaint.,Street/Sidewalk,,,,
2022-04-21T16:04:28.000,,ADDRESS,HPD,Precinct 75,BROOKLYN,3042660006.0,11208.0,42.0,2022-04-21T00:00:00.000,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,RESIDENTIAL BUILDING,,,,BULGING/HOLE/CRACKED
2022-04-14T22:58:30.000,WEST  139 STREET,INTERSECTION,NYPD,Precinct 30,,,10031.0,7.0,2022-04-14T22:58:35.000,The Police Department responded to the complaint and took action to fix the condition.,Street/Sidewalk,,,,
2022-04-15T21:45:33.000,PASTOR ROBERT LEWIS FOLEY SR WAY,ADDRESS,DOHMH,Precinct 52,BRONX,2032130080.0,10468.0,14.0,2022-04-15T21:45:33.000,The Department of Health and Mental Hygiene found violations on the property you reported. Follow-up inspections will be scheduled.,1-2 Family Dwelling,,,,
2022-05-05T11:54:41.000,141 STREET,ADDRESS,DOT,Precinct 107,FLUSHING,4065980090.0,11367.0,24.0,2022-05-05T11:54:35.000,"The Department of Transportation will inspect the complaint location and notify the property owner within 180 days if a defective sidewalk condition exists. The property owner is responsible for maintaining, repairing and installing sidewalks adjoining their property, according to Section 19-152 of the New York City Administrative Code.",Sidewalk,,,,1-3 Residential Units
2022-04-19T15:49:03.000,FRANCIS LEWIS BOULEVARD,ADDRESS,DPR,Precinct 105,CAMBRIA HEIGHTS,4128130053.0,11411.0,27.0,2022-04-19T15:49:28.000,"NYC Parks created a work order for the tree condition.  Please note that addressing this work can take up to a year or more depending on the higher priority work identified during this period and resources available to address this work.    NYC Parks work priority categories range from Category A through D, with A being the most critical and time-sensitive. We will complete all work in Category A first and address work in lower priority categories in accordance with available resources. For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.   Alternatively, you may choose complete the work yourself by hiring an independent contractor. The contractor must complete a Tree Work Permit application on the NYC Parks website at nyc.gov/parks/trees.",Street,,,,
2022-04-14T20:44:41.000,AMSTERDAM AVENUE,ADDRESS,NYPD,Precinct 20,NEW YORK,1011440008.0,10023.0,6.0,2022-04-14T20:44:35.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,Store/Commercial,,,,
2022-04-15T02:45:00.000,W 259 ST,ADDRESS,DEP,Precinct 50,BRONX,2059530001.0,10471.0,11.0,2022-04-15T02:45:00.000,"The Department of Environmental Protection (DEP) didn't observe a violation of the NYC Air or Noise Code at the time of inspection and couldn't issue a summons.  If the problem still exists, please go to nyc.gov/311 or call 311 to file a new Service Request. If you're outside of New York City, please call (212) NEW-YORK (212-639-9675).",,,,,NQ1
2022-04-16T22:27:00.000,131 AVE,ADDRESS,DEP,Precinct 113,JAMAICA,4125420003.0,11434.0,27.0,2022-04-16T22:27:00.000,"Please call 311 for further information. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",,,,,WA1
2022-04-15T05:32:50.000,BROOKLYN AVENUE,ADDRESS,NYPD,Precinct 77,BROOKLYN,3012140138.0,11216.0,36.0,2022-04-15T05:32:57.000,The Police Department responded to the complaint and determined that police action was not necessary.,Street/Sidewalk,,,,
2022-04-18T00:00:00.000,,ADDRESS,DOB,Precinct 34,NEW YORK,1021700361.0,10040.0,10.0,2022-04-18T00:00:00.000,The Department of Buildings investigated this complaint and determined that no further action was necessary.,,,,,
2022-05-04T08:55:11.000,,ADDRESS,HPD,Precinct 47,BRONX,2045700002.0,10467.0,15.0,2022-05-04T00:00:00.000,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,RESIDENTIAL BUILDING,,,,LOOSE OR DEFECTIVE
2022-04-15T13:15:00.000,E 1 ST,ADDRESS,DEP,Precinct 60,BROOKLYN,3072160038.0,11223.0,47.0,2022-04-15T13:15:00.000,"The Department of Environmental Protection has investigated this complaint. Upon investigation, there was no indication of a city sewer issue and there is a suspected sewer backup due to an internal plumbing issue.",,,,,SA
2022-04-25T15:18:23.000,SANFORD AVENUE,ADDRESS,DSNY,Precinct 109,FLUSHING,4050590005.0,11355.0,20.0,2022-04-16T12:52:10.000,The Department of Sanitation collected the requested items.,Street,,,,
2022-04-15T21:18:08.000,ADMIRAL AVENUE,ADDRESS,NYPD,Precinct 104,MIDDLE VILLAGE,4036030043.0,11379.0,30.0,2022-04-15T21:18:06.000,The Police Department responded and upon arrival those responsible for the condition were gone.,Street/Sidewalk,,,,
2022-04-14T03:30:18.000,LORIMER STREET,ADDRESS,NYPD,Precinct 90,BROOKLYN,3027910116.0,11206.0,34.0,2022-04-14T03:30:15.000,The Police Department responded to the complaint and took action to fix the condition.,Street/Sidewalk,,,,
2023-06-09T11:34:01.000,2 AVENUE,ADDRESS,EDC,Precinct 13,NEW YORK,1009080035.0,10016.0,2.0,2023-06-09T11:34:04.000,"The New York City Economic Development Corporation determined that this issue is not within its jurisdiction because the helicopter did not belong to a tour company departing from a NYC heliport.Â  Instead, it was most likely a law enforcement or news gathering helicopter not subject to the routing protocols established for tour helicopters. It may also have been a helicopter that departed as a charter or tour from another City but flew over NYC airspace. Helicopter tours originating from outside NYC are not subject to the same City regulations as tours departing from heliports managed by NYCEDC. Any City regulation of these flights is pre-empted by federal law and subject only to the jurisdiction of the Federal Aviation Administration. To file a complaint with the FAA, you can contact the New York Flight Standards District Office at the following web address:Â https://www.faa.gov/about/office_org/field_offices/fsdo/",Above Address,,,,Flying Too Low
2022-04-16T02:09:08.000,27 AVENUE,ADDRESS,NYPD,Precinct 114,ASTORIA,4009020038.0,11102.0,22.0,2022-04-16T02:09:14.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,Street/Sidewalk,,,,
2022-04-14T22:09:35.000,200 STREET,ADDRESS,NYPD,Precinct 111,FLUSHING,4060780009.0,11358.0,19.0,2022-04-14T22:09:38.000,The Police Department responded and upon arrival those responsible for the condition were gone.,Street/Sidewalk,,,,
2022-05-04T08:51:17.000,,ADDRESS,HPD,Precinct 52,BRONX,2032250027.0,10468.0,14.0,2022-05-04T00:00:00.000,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,RESIDENTIAL BUILDING,,,,DAMAGED OR MISSING
2022-04-15T22:04:12.000,AVENUE S,ADDRESS,NYPD,Precinct 63,BROOKLYN,3085040010.0,11234.0,46.0,2022-04-15T22:04:17.000,The Police Department reviewed your complaint and provided additional information below.,Residential Building/House,,,,
2022-04-15T07:25:30.000,EAST   96 STREET,INTERSECTION,NYPD,Precinct 19,,,10128.0,5.0,2022-04-15T07:25:33.000,The Police Department responded to the complaint and determined that police action was not necessary.,Street/Sidewalk,,,,
2022-04-16T09:05:01.000,DORCHESTER ROAD,ADDRESS,DOHMH,Precinct 70,BROOKLYN,3051630027.0,11226.0,40.0,2022-04-16T09:05:01.000,The Department of Health and Mental Hygiene found violations on the property you reported. Follow-up inspections will be scheduled.,3+ Family Apt. Building,,,,
2022-04-15T22:15:00.000,97 AVENUE,ADDRESS,DSNY,Precinct 102,OZONE PARK,4090290026.0,11416.0,32.0,2022-04-15T12:00:00.000,The Department of Sanitation (DSNY) couldn't find the condition. Please file a new Service Request with more details about the location.,Street,,DSNY Garage,,
2022-05-03T20:07:34.000,,ADDRESS,HPD,Precinct 77,BROOKLYN,3013680068.0,11213.0,36.0,2022-05-03T00:00:00.000,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd.,RESIDENTIAL BUILDING,,,,HOLE IN WALKING AREA
2022-04-30T05:03:04.000,,ADDRESS,HPD,Precinct 32,NEW YORK,1019170002.0,10027.0,9.0,2022-04-30T00:00:00.000,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",RESIDENTIAL BUILDING,,,,FLIES
2022-04-16T22:54:21.000,CLINTON STREET,ADDRESS,NYPD,Precinct 7,NEW YORK,1003500036.0,10002.0,2.0,2022-04-16T22:54:24.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,Street/Sidewalk,,,,
2022-04-15T03:06:28.000,FT HAMILTON PARKWAY,ADDRESS,NYPD,Precinct 66,BROOKLYN,3055870007.0,11219.0,39.0,2022-04-15T03:06:31.000,The Police Department responded and upon arrival those responsible for the condition were gone.,Street/Sidewalk,,,,
2022-04-16T02:43:15.000,NEWKIRK AVENUE,ADDRESS,NYPD,Precinct 70,BROOKLYN,3052070030.0,11226.0,40.0,2022-04-16T02:43:19.000,The Police Department responded to the complaint and took action to fix the condition.,Residential Building/House,,,,
2023-06-20T11:56:51.000,,ADDRESS,DSNY,Precinct 83,BROOKLYN,3032327503.0,11221.0,34.0,2023-06-20T11:56:32.000,,,,,,
2022-04-15T09:04:26.000,EAST   48 STREET,ADDRESS,NYPD,Precinct 63,BROOKLYN,3078920001.0,11234.0,46.0,2022-04-15T09:04:31.000,The Police Department responded to the complaint and a report was prepared.,Street/Sidewalk,,,,
2022-05-24T06:54:39.000,LEXINGTON AVENUE,ADDRESS,TLC,Unspecified,NEW YORK,1012950058.0,10017.0,4.0,2022-05-24T06:54:44.000,The Taxi and Limousine Commission (TLC) has determined that this complaint is a duplicate of another complaint on file. TLC has closed this complaint and is proceeding with the other complaint.,Street,,,,Refused Pick-Up
2022-04-15T16:35:00.000,WEST END AVE,ADDRESS,DEP,Precinct 24,NEW YORK,1012430057.0,10025.0,6.0,2022-04-15T16:35:00.000,The Department of Environmental Protection determined that this complaint is a duplicate to another service request.,,,,,B1
2022-04-27T14:45:39.000,,ADDRESS,HPD,Precinct 32,NEW YORK,1020080006.0,10030.0,9.0,2022-04-27T00:00:00.000,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,RESIDENTIAL BUILDING,,,,CHIPPED OR RUSTED
