fax_number,appperseat3specialized,grades2018,common_audition4,admissionspriority17,directions5,prgdesc9,interest7,requirement6_2,grade9geapplicantsperseat6,offer_rate5,offer_rate2,requirement4_2,code3,method5,grade9geapplicantsperseat2,seats6specialized,seats2specialized,seats9ge9,requirement1_7,language_classes,program7,extracurricular_activities,prgdesc5,admissionspriority63,city,admissionspriority42,boys,primary_address_line_1,ptech,grade9swdfilledflag7,eligibility3,pct_stu_safe,grade9swdapplicants3,geoeligibility,seats1010,grade9gefilledflag2,grade9gefilledflag3,interest9,seats106,requirement2_7,seats108,prgdesc3,addtl_info1,grade9geapplicantsperseat3,seats1specialized,interest5,method8,end_time,requirement2_6,requirement6_6,prgdesc6,method3,psal_sports_girls,requirement5_7,grade9swdapplicantsperseat5,total_students,requirement2_1,eligibility7,seats103,longitude,admissionspriority26,requirement1_2,offer_rate3,requirement4_3
718-480-2697,,9 to 12,,,,,,,,,,,,,,,,,,Spanish,,"ACE Program, Arista Honor Society, Band, Board Game Club, Book Club, Charity Club, Chess Club, Crochet, Dance, Double Dutch, Graphic Novel & Animation, Law Team, Medical Club, Model UN, Robotics and Engineering, Slam Poetry, Step, Student Council, Yearbook Committee",,,Jamaica,,,167-01 Gothic Drive,,,,0.88,,,,,,,,,,,College Trips; Extended Day Program; Extended Day Program (Tutoring); Internships; Online Grading System; Student Parent Orientation,,,,,3pm,,,,,"Basketball, Bowling, Cross Country, Flag Football, Indoor Track, Outdoor Track, Soccer, Softball, Swimming, Volleyball",,,523,,,,-73.798658,,,,
212-825-9095,,9 to 12,,,,,,,,,,,,,,,,,,"French, Mandarin, Spanish",,"Art Therapy, Astrophysics, Best Buddies, Chess, Community Service Club, Cooking, Dance Team, Debate Club, Drama, Environmental Club, Feminism Club, Fitness, Foreign Exchange Program (two or more yearly trips), Gay-Straight Alliance, Girl Be Heard, Girls Who Code, Korean Culture Club (K-Pop), Newspaper, No Kid Hungry, School of Rock (after-school music program), Senior Officers, Shakespeare Monologue Competition, Student Government & Ethics (SGE), Video Game Club, Vocal Club",,,Manhattan,,,75 Broad Street,,,,0.95,,,,,,,,,,,College Trips; Community Service Expected; Internships; Online Grading System,,,,,3pm,,,,,"Basketball, Fencing, Outdoor Track, Soccer, Softball, Swimming, Table Tennis, Volleyball",,,659,Course Grades: Average (91-100),,,-74.011202,,,,
718-771-4815,,8 to 12,,,,,,,,,,,,,,,,,,"French, Spanish",,"After-School Homework Help and Tutoring, Art, Before-and After-School Math and English Language Arts (ELA) Enrichment Classes, Chess, Comic Book, Computer Animation, Crochet, Dance, Debate, FYI, Introduction to Law, Math, Mural, Music Band, Music Camp, Parent Support Group, Peer Mediation, School Newspaper, Sewing, Step Team, Student Ambassadors, Yearbook Committee, Youth Leadership Conference",,,Brooklyn,,,600 Kingston Avenue,,,,0.9,,,,,,,,,,,College Trips; Community Service Expected; Dress Code; Uniform,,,,,2:20pm,,,,,"Basketball, Bowling, Cross Country, Outdoor Track, Rugby, Soccer, Volleyball, Wrestling",,,603,,,,-73.943839,,,,
718-732-2129,,6 to 12,,,,,,,,,,,,,,,,,,Spanish,,,,,Brooklyn,,1.0,1137 Herkimer Street,,,,0.9,,,,,,,,,,,,,,,,3pm,,,,,,,,626,,,,-73.915106,,,,
212-666-3805,,6 to 12,,,,,,,,,,,,,,,,,,"Bengali, French, German, Hindi, Italian, Japanese, Korean, Spanish",,"Architectural Design, Architecture, Book Circles, Chess, Contrariwise Philosophy Journal, Cooking, Debate Team, Film, Gardening, Gay-Straight Student Alliance Student Government, Green Team, Journalism, Latin Dance, Math Bowl, Math Problem Solving, Model UN, Multimedia Design, Musical Theater, Neuroscience, Photography, Robotics, Science Bowl, Studio Art, Urban Ecology, Webpage; Students serve on the Borough Advisory Council",,,Manhattan,,,425 West 123rd Street,,,,0.88,,,,,,,,,,,Community Service Expected; Dress Code; Extended Day Program; Extended Day Program (Tutoring); Online Grading System; Student Parent Orientation,,,,,2:30pm,,,,,"Basketball, Cross Country, Rugby, Soccer, Volleyball",,,687,Punctuality,,,-73.955722,,,,
718-401-6626,,6 to 12,,,,,,,,,,,,,,,,,,Spanish,,"Extracurricular participation expected; After-School Tutoring, Art Club, Brazilian Jiu-Jitsu, Dance, Drama, Gender & Sexuality Alliance, Harlem RBI, Hip Hop Club, Literary Magazine (One Pen), The Moth, Open Mics, Peer Group Connection, Peer Mediation, Poetry Slams, Readings, SAT Prep, School Choir, School Newspaper (The Raven), Senior Committee, Social Justice Organization, Step Team, Student and Teacher-Recruitment Committees, Student Government, Yearbook, Young Runners, and more!",,,Bronx,,,339 Morris Avenue,,,,0.8,,,,,,,,,,,College Trips; Extended Day Program; Online Grading System; Saturday Programs; Student Parent Orientation; Summer Bridge Program; Uniform,,,,,3:50pm,,,,,"Basketball, Indoor Track, Softball, Volleyball",,,592,,,,-73.925995,,,,
718-329-8582,,9 to 12,,,,,,,,,,,,,,,,,,Spanish,,,,,Bronx,,,2780 Reservoir Avenue,,,,0.91,,,,,,,,,,,Extended Day Program; Internships,,,,,2:45pm,,,,,"Basketball, Bowling, Softball, Table Tennis, Tennis, Volleyball",,,487,,,,-73.897066,,,,
718-286-3601,,9 to 12,,,,,,,,,,,,,,,,,,"French, Italian, Spanish",,"Dance team, Drama, Film Club, Glee, Hip Hop Club, Improv Club, Law, Literary Club, MATHletes, Multicultural, National Honor Society, Photography, Robotics Team, Science, School Newspaper, Step Team, Student Government, Tutoring, Video Game Club, and Visual Arts",,,Forest Hills,,,91-30 Metropolitan Avenue,,,,0.91,,,,,,,,,,,College Trips; Community Service Expected; Extended Day Program; Extended Day Program  (Credit Recovery); Extended Day Program (Tutoring); Internships; Student Parent Orientation,,,,,2:20pm,,,,,"Basketball, Cross Country, Indoor Track, Outdoor Track, Soccer, Softball, Swimming, Volleyball",,,1067,,,,-73.855543,,,,
,,6 to 12,,,,,,,,,,,,,N/A - continuing program,,,,,Spanish,,"Drama, Media Arts, Music (Midori & Friends), PSAL Sports, Q2L Ambassadors, Technology",,,Manhattan,,,351 West 18th Street,,,,0.7,,,,N/A - continuing program,,,,,,,Health Center; Online Grading System; Student Parent Orientation,,,,,2:25pm,,,,,"Basketball, Bowling, Softball, Tennis, Volleyball",,,643,,,,-74.00254,,,,
718-466-4001,,9 to 12,,,,,,,,,,,,,,,,,,Spanish,,"buildOn, Drama, Sister 2 Sister, Student Government Committee, Summer Search, Clubs include: Stock Market, GSA, Mock Trial, Film, Pajama Reading, Performing Arts, Youth Empowerment",,,Bronx,,,1595 Bathgate Avenue,,,,0.88,,,,,,,,,,,College Trips; Community School; Extended Day Program; Extended Day Program (Credit Recovery); Extended Day Program (Tutoring); Internships; Online Grading System; Saturday Programs; Student Parent Orientation; Summer Bridge Program; Summer Internships; Uniform; Weekend Programs,,,,,2:40pm,,,,,"Basketball, Flag Football, Softball, Wrestling",,,397,Writing Sample,,,-73.901774,,,,
212-877-1138,,9 to 12,,,,,,,,,,,,,,,,,,"French, German, Italian, Mandarin, Spanish",,"Anime, Book Club, Community Service, Dance, Drama, Gay/Straight Alliance, Fashion Design, Future Teachers, Korean Club, Mock Trial Team, Model UN, STEP Team, Students for Animals, Student Government, Table Top Gaming, Weight Training, Yearbook, Young Men's Club; Students are able to start clubs based on their own interests.",,,Manhattan,,,145 West 84th Street,,,,0.85,,,,,,,,,,,College Trips; Community Service Expected; Health Center; Online Grading System; Saturday Programs; Student Parent Orientation; Weekend Programs,,,,,3:30pm,,,,,"Basketball, Bowling, Soccer, Softball, Tennis, Volleyball",,,428,,,,-73.974483,,,,
718-410-4101,,6 to 12,,,,,,,,,,,,,,,,,,Spanish,,"PSAL Sports, During-School Day Mentoring and/or Counseling, Student Interest Groups, Glee and other music clubs, School Wellness Council sponsored activities. Different college and career readiness activities for all grades, ranging from job shadowing to college tours. Student government within our school and representation on the Taft Campus Student Council. Regents preparation sessions with certified teachers throughout the semester. Student-produced literary magazine and artistic shows.",,,Bronx,,,240 East 172nd Street,,,,0.47,,,,,,,,,,,College Trips; Extended Day Program; Extended Day Program (Tutoring); Health Center; Internships; Online Grading System; Saturday Programs; Student Parent Orientation; Summer Bridge Program; Summer Internships; Summer Orientation; Weekend Programs,,,,,2:40pm,,,,,"Basketball, Cross Country, Flag Football, Indoor Track, Outdoor Track, Softball, Tennis, Volleyball, Wrestling",,,251,,,,-73.911366,,,,
718-647-4458,,9 to 12,,Priority to New York City residents who signed in at a fair or at an information session,,,Computer Science & Technology,,2,,,"Standardized Test Scores: English Language Arts (1.8-4.5), Math (1.7-4.5)",K69L,Screened,2,,,,,Spanish,Information Technology,"Career Exploration, Chess, Chemistry, Colombia Model Congress, Community Service, Conflict Resolution, Debate, Guitar, Honor Society, Moot Court and Mock Trial, Mouse Squad (Student IT Specialist), National Technical Honor Society, Peer Mediation, SkillsUSA, Steppers, Student Council, Student Mentoring, Student Peer College Advisors, Transit Yearbook Club, Yale Model Congress","Prepares students for careers in computers and wired and wireless networks. The program focuses on building, maintaining and troubleshooting computers, mobile devices, printers, and networks. Certificates/Industry exams: IC3, IT Fundamentals, A+ Computer Repair and C-Tech Copper & Fiber.",,Brooklyn,,,1 Wells Street,,N,,0.71,31,,,N,N,,Yes-10,,,"Prepares students for Green careers in residential and commercial electrical wiring systems. Students are provided with theoretical and practical knowledge, necessary to install and repair these systems. Certificates / Industry exams- OSHA 10hr, Skills USA Construction Wiring & C-Tech Energy Management. Students are eligible for direct employment with MTA agencies including NYC Transit.",College Trips; Community Service Expected; Extended Day Program; Extended Day Program (Credit Recovery); Extended Day Program (Tutoring); Internship Expected; Internships; Online Grading System; Saturday Programs; Student Parent Orientation; Summer Bridge Program; Summer Internships; Summer Orientation,1,,Computer Science & Technology,,3pm,,,"Prepares students for careers in computer engineering. Students are trained on the basic concepts and functions of computers from an engineering perspective. Students acquire knowledge of motherboards, hard drives, RAM, CPU, GPU, computer peripherals, and various operating systems. Additionally, students are trained in security, preventative maintenance. Certificates/Industry exams: IC3, IT Fundamentals, and A+ Computer Repair.",Screened,"Basketball, Indoor Track, Outdoor Track, Softball, Volleyball",,2,838,,,Yes-5,-73.875328,,Attendance,,"Standardized Test Scores: English Language Arts (1.8-4.5), Math (1.8-4.5)"
718-937-6316,,9 to 12,,,,,,,,,,,,,,,,,,"Mandarin, Spanish",,"Chorus, Concerts, Hip-Hop Dance, Human Rights, International Food Festival, Media/Video, Model UN, Multicultural Show, New Student Orientation, Peer Learning Program, Ping Pong, Orchestra, SAT Preparation, SAYA Youth Leadership Program, Science Research Club, Stage Production, Student Government, Theater, Tutoring in the After-School and Saturday Program, Video/Media Team, Yearbook Program",,,Long Island City,,,28-01 41st Avenue,,,,0.89,,Open only to Queens students/residents,,,,,,,,,College Trips; Community Service Expected; Dress Code; Extended Day Program; Extended Day Program (Tutoring); Saturday Programs; Student Parent Orientation; Summer Bridge Program,,,,,3pm,,,,,"Basketball, Tennis, Volleyball",,,934,,,,-73.936592,,,,
718-893-5982,,6 to 12,,,,,,,,,,,,,,,,,,Spanish,,"We offer a wide variety of extra curricular activities through our partnerships with UNITAS, Global Kids, and Castia Maria: Boys of Color, College Campus Tours, Culinary Arts, Literacy Art Project, Lyricist Lounge, Peer Mediation Groups, Speaker Series, SAT Prep, Tutoring. Additional activities include: Academic Hour, Student Council, Yearbook",,,Bronx,,,928 Simpson Street,,,,0.8,,,,,,,,,,,College Trips; Community Service Expected; Extended Day Program; Extended Day Program (Tutoring); Online Grading System; Saturday Programs; Student Parent Orientation; Summer Bridge Program; Summer Orientation; Uniform,,,,,2:36pm,,,,,"Basketball, Cross Country, Rugby, Volleyball, Wrestling",,,638,,,,-73.892961,,,,
718-561-5612,,9 to 12,,,,,,,,,,,,,6,,,,,"Chinese, Italian, Japanese, Spanish",,"Clubs: Chess, Fashion, Gaming, Gay-Straight Alliance, Guitar, Health, Honor Society, Math, Meditation & Yoga, Model UN, Political Action.",,,Bronx,,,99 Terrace View Avenue,,,,0.85,,,,N,,,,,,,College Trips; Community Service Expected; Dress Code; Extended Day Program; Extended Day Program (Credit Recovery); Extended Day Program (Tutoring); Health Center; Multi-Session School; Online Grading System; Saturday Programs; Student Parent Orientation; Summer Bridge Program,,,,,4:40pm,,,,,"Basketball, Flag Football, Golf, Gymnastics, Handball, Indoor Track, Outdoor Track, Soccer, Softball, Tennis, Volleyball",,,429,Interview,,,-73.912686,,,,
718-852-4593,,9 to 12,,,,,,,,,,,,,7,,,,,Spanish,,,,,Brooklyn,,,1396 Broadway,,,,0.78,,,,Y,,,,,,,,,,,,3pm,,,,,"Basketball, Indoor Track, Volleyball",,,658,Punctuality,,,-73.920603,,,,
718-463-3514,,9 to 12,,,,,,,,,,,,,,,,,,,,"Before- and After-School Academic Support, Chess, Creative Writing, Digital Video/Photography, Drama, Dream Team, Easy English Academy, Food and Cultural Explorers, Green Team, Guitar, IT, Korean Fan Dancing, MultiSquad (Multicultural Student Group), Newspaper, Regents Prep, SAT Prep, Science Challenge, Student Government",,,Flushing,,,144-80 Barclay Avenue,,,,0.86,,,,,,,,,,,College Trips; Internship Expected; Internships; Online Grading System; Saturday Programs; Student Parent Orientation,,,,,3:30pm,,,,,"Badminton, Handball, Volleyball",,,454,,,,-73.818399,,,,
718-733-3621,,9 to 12,,,,,,,,,,,,,,,,,,Spanish,,,,,Bronx,,,2780 Reservoir Avenue,,,,0.82,,,,,,,,,,,Extended Day Program; Internships,,,,,3:45pm,,,,,"Basketball, Bowling, Softball, Table Tennis, Tennis, Volleyball",,,487,,,,-73.897066,,,,
212-219-0743,,9 to 12,,,,,,,,,,,,,,,,,,"French, German, Latin, Mandarin, Spanish, Swahili",,"Black Student Union, Chess Club, Coding Club, College Peer Leaders, Creative Writing, Gender Sexuality Alliance, iCare Community Service, iNews, Jazz Band, Model UN, Natural Hair Club, Rock Band, Science Fiction Club, Social Activism Club; iSchool clubs are student-driven and clubs are created yearly, based on student interest",,,Manhattan,,,131 Avenue Of The Americas,,,,0.94,,,,,,,,,,,Online Grading System; Student Parent Orientation,,,,,3:20pm,,,,,"Basketball, Bowling, Softball",,,449,Punctuality,,,-74.005058,,,,
718-401-1632,,9 to 12,,,,,,,,,,,,,,,,,,"Japanese, Russian, Spanish",,"Art Therapy, Chorus, Cosmetology Club, Dance Team, Digital Photography, Drama, Film and Society, Healthy Angels, National Honor Society/Arista, Recycling Club, Sewing Club, Student Government, Tutoring and Peer Tutoring, Yearbook",,,Bronx,,,350 Gerard Avenue,,,,0.81,,,,,,,,,,,College Trips; Community Service Expected; Extended Day Program; Extended Day Program (Tutoring); Health Center; Internship Expected; Internships; Online Grading System; Saturday Programs; Student Parent Orientation; Summer Bridge Program; Summer Internships; Summer Orientation; Weekend Programs,,,,,2:40pm,,,,,"Basketball, Cross Country, Indoor Track, Outdoor Track, Soccer, Softball, Volleyball",,,461,,,,-73.92996,,,,
718-733-7951,,9 to 12,,,,,,,,,,,,,,,,,,"French, Greek, Italian, Japanese, Latin, Mandarin, Spanish",,"Over 70 Clubs: Big Sibs, Biology, Bridge Building, English and Social Studies Journals, Envirothon, Euro Challenge, Fed Challenge, Math, Math Team, Mock Trial, Model United Nation, Musical and Dramatic Theater Productions, National Honor Society, Physical Science, Oceanography, Robotics Teams, School Newspaper, Science Olympiad, S!NG, Speech and Debate Teams, Yearbook; Students can start new clubs.",,,Bronx,,,75 West 205th Street,,,,0.92,,,,,,,,,,,College Trips; Student Parent Orientation,,750.0,,,3:45pm,,,,,"Badminton, Basketball, Bowling, Cross Country, Fencing, Flag Football, Golf, Gymnastics, Handball, Indoor Track, Lacrosse, Outdoor Track, Soccer, Softball, Swimming, Table Tennis, Tennis, Volleyball, Wrestling",,,2979,,,,-73.889011,,,,
718-302-3726,,9 to 12,,,,,,,,,,,,,,,,,,"American Sign Language, Spanish",,"Clubs include-Art, Chess, Drama, Epic Toast Literary Journal, Gay-Straight Alliance, Global Glimpse, Guitar, International, School Newspaper, Students for Social Responsibility, Technology, Urban Explorers, Urban Farming, Video Gaming. Activities include-Advisory Trips, Cheerleading, College Now, College Trips, Flag Football, Middle School Tutoring, National Honor Society, Pace Upward Bound, Peer Mentoring, Student Ambassadors, Student Government, Vanguard, Writing Center, Y Scholars",,,Brooklyn,,,257 North 6th Street,,,,0.92,,,,,,,,,,,College Trips; Online Grading System; Summer Orientation,,,,,3:30pm,,,,,"Basketball, Flag Football, Softball, Tennis, Volleyball",,,686,,,,-73.954815,,,,
212-348-4293,,6 to 12,,,,,,,,,,,,,N/A - continuing program,,,,,"French, Spanish",,"Aim High Empowerment Institute, Arista, Art Club, Band, Cheerleading, Chess Club, Chorus, Computer Club, Gay-Straight Alliance, Fitness, Gardening, Kaplan SAT Prep, Library Squad, Model UN, Music Journalism, Natural Hair Club, Peer Mentoring, Peer Tutoring, Photography Club, Principal's Advisory Council, Restorative Circles, School Newspaper, Science Club, Step Team, Student Government, Urban Investigations, Yearbook, Young Women's Empowerment Experience",,,Manhattan,,,320 East 96th Street,,,,0.56,,,,N/A - continuing program,,,,,,,College Trips; Community Service Expected; Extended Day Program; Extended Day Program (Tutoring); Internships; Online Grading System; Saturday Programs; Student Parent Orientation; Uniform,,,,,2:40pm,,,,,"Soccer, Softball, Volleyball",,,632,,,,-73.945933,,,,
718-722-7919,,9 to 12,,,,,,,,,,,,,,,,,,"American Sign Language, French, Spanish",,"After-School Academic Support, Cook for Life, Crafts, Gay-Straight Alliance, Regents Prep, Student Leadership, Theater, Yearbook",,,Brooklyn,,,112 Schermerhorn Street,,,,0.78,,,,,,,,,,,College Trips; Extended Day Program; Extended Day Program (Tutoring); Internships; Online Grading System; Student Parent Orientation; Summer Orientation,,,,,2:40pm,,,,,,,,173,,,,-73.989369,,,,
718-904-5502,,9 to 12,,Priority to Bronx students or residents,,,Performing Arts/Visual Art & Design,,4,-100% of offers went to this group,-100% of offers went to this group,,X25D,Ed. Opt.,2,,,,,"American Sign Language, French, Italian, Spanish",Arts Academy,"AFJROTC, After-School and Saturday Tutoring, Best Buddies, buildOn, Chorus, Concert Band, Construction and Engineers Mentor Program for Future Engineers, Creative Writing, Culinary Arts, Debate Team, Drill Team, Gaming Club, Hip-Hop Dance, Journalism, Law Team, Media Arts, Men of Strength, National Honor Society, SAT Preparation, Robotics-FRC, Student Council, Swimming Club, Visual Art, Website Design and Maintenance, Weight Training, Yearbook","Learn life skills with a military focus; discipline, respect, and service are the trademarks of our AFJROTC program",,Bronx,,,750 Baychester Avenue,,N/A - new program,,0.74,82,,,N,N,,Yes-10,,Yes,"Using professional equipment and trained by experts chefs, students receive intense instruction. Students have opportunities to intern at high-profile restaurants throughout the New York area. Affiliated with C-CAP (Careers through Culinary Arts Program), inter-high school competition at Monroe College.",Community Service Expected; Extended Day Program; Health Center; Internship Expected; Internships; Multi-Session School; Online Grading System; Saturday Programs; Student Parent Orientation; Summer Bridge Program; Weekend Programs,3,,JROTC,Zoned Guarantee,2:20pm,,,"Focuses on mathematics and science to prepare students for careers in engineering and other technical fields. The curriculum is project-based and includes engineering design and production, energy applications, environmentally friendly technology, and electricity. We have partnerships with the Architecture, Construction and Engineering Mentor Program.",Ed. Opt.,"Basketball, Cross Country, Flag Football, Indoor Track, Outdoor Track, Soccer, Tennis, Volleyball, Wrestling",,4,2023,,,Yes-10,-73.831669,Then to New York City residents,,-95% of offers went to this group,
718-712-3273,,9 to 12,,,,,,,,,,,,,,,,,,Spanish,,,,,Springfield Gardens,,,143-10 Springfield Boulevard,,,,0.67,,,,,,,,,,,College Trips; Community Service Expected; Extended Day Program; Health Center; Internships; Student Parent Orientation; Summer Bridge Program,,,,,2:35pm,,,,,"Basketball, Flag Football, Indoor Track, Soccer, Softball, Tennis, Volleyball",,,480,,,,-73.757744,,,,
718-991-7872,,9 to 12,,,,,,,,,,,,,,,,,,Spanish,,"After-School Academy, Creative Writing Club, Environmental Club, Gay-Straight Alliance, Homework Help, One-to-One Tutoring, Reading, Saturday Academy, Student Government",,,Bronx,,,1300 Boynton Avenue,,,,0.95,,,,,,,,,,,College Trips; Community Service Expected; Extended Day Program; Extended Year; Health Center; Internships; Saturday Programs,,,,,5:30pm,,,,,Softball,,,456,,,,-73.878191,,,,
