dbn,bn,expected_grade_span_max,primary_address_line_1,tenth_priority10,context,school_type,open_house_info,expected_grade_span_min,independent_website,import_info_drop_down,online_ap_courses,location_1,last_year_subway,:@computed_region_yeji_bk3q,school_district,email,fax_number
21K540,K540,,50 Avenue X,,http://schema.org,,Several weekend and evening Open Houses are tentatively scheduled for October 2013 and November 2013. Tours are held every Wednesday during school hours by appointment. Please contact the Guidance Department or the parent coordinator at 718-373-6400 ext.1672.,,http://johndeweyhighschool.org,,,"{'latitude': '40.5892496', 'longitude': '-73.9818322', 'human_address': '{""address"": ""50 Avenue"", ""city"": ""X Brooklyn"", ""state"": ""NY"", ""zip"": ""11223""}'}",,2,21,contact_jdhs@johndeweyhighschool.org,718-266-4385
08X367,X367,,456 White Plains Road,,http://schema.org,,"For dates and times of Open Houses, please check our school website at www.archimedesacademy.org or call the school at 718-617-5046.",,http://www.archimedesacademy.org,"Community Service Requirement, Extended Day Program Requirement, Internship Requirement, Student Summer Orientation",,"{'latitude': '40.8150049', 'longitude': '-73.8563115', 'human_address': '{""address"": ""456 White Plains Road"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10473""}'}",1.0,5,8,archimedesacademy@gmail.com,718-617-7395
27Q260,Q260,,8-21 Bay 25 Street,,http://schema.org,,"Our Open House will be held on Saturday, October 19, 2013 from 10:00 AM - 12:00 PM",,http://schools.nyc.gov/schoolportals/27/Q260,,,"{'latitude': '40.601532', 'longitude': '-73.763979', 'human_address': '{""address"": ""8 21 Bay 25 Street"", ""city"": ""Far Rockaway"", ""state"": ""NY"", ""zip"": ""11691""}'}",,3,27,lalfred@schools.nyc.gov,718-471-2890
12X682,X682,,1021 Jennings Street,,http://schema.org,,"Open House events are scheduled for Tuesdays October 15 and November 12 from 5:30 PM to 7:30 PM and Saturdays October 19 and November 16 from 10:00 AM-12:00 PM Tuesday. If families are unable to attend either of these events, please call Parent Coordinator, Marlene Lamboy, at 718 861-0521 to make alternate arrangements.",,http://schools.nyc.gov/schoolportals/12/X682,,,"{'latitude': '40.8307779', 'longitude': '-73.8857334', 'human_address': '{""address"": ""1021 Jennings Street"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10460""}'}",,5,12,79x682@schools.nyc.gov,718-861-0619
11X270,X270,,921 East 228Th Street,,http://schema.org,,Please call the school for Open House dates and times.,,http://asescholars.org,"Community Service Requirement, Extended Day Program Requirement, Internship Requirement, Student Summer Orientation, Summer Internship Program offered, Weekend Program offered",,"{'latitude': '40.8877658', 'longitude': '-73.8524929', 'human_address': '{""address"": ""921 East 228Th Street"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10466""}'}",,5,11,zwhite2@schools.nyc.gov,718-696-3841
20K609,K609,,4200 16 Avenue,,http://schema.org,All-Girls School,"Open Houses will be held Thursdays at 9:00 AM from October 2013 - January 2014. Please call our parent coordinator, Pamela McDonald, at 718-438-3893 or email pmcdonald@uascriminaljustice.org in the fall of 2013 for more information.",,http://www.uascriminaljustice.org,Community Service Requirement,,"{'latitude': '40.6349581', 'longitude': '-73.9814523', 'human_address': '{""address"": ""4200 16 Avenue"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11204""}'}",,2,20,info@uascriminaljustice.org,718-438-3527
30Q575,Q575,,28-04 41 Avenue,,http://schema.org,,"There will be an Open House on Monday, November 4, 2013 at 6:30 PM in the auditorium. Tours are offered, by appointment only, on most Thursdays at 8:30 AM from September 19, 2013 through May 29, 2013. Please reserve a tour by calling 718-361-8786.",,http://www.academyofamericanstudies.com,"Community Service Requirement, Extended Day Program, Student Summer Orientation, Weekend Program offered",,"{'latitude': '40.7513302', 'longitude': '-73.9374509', 'human_address': '{""address"": ""28 04 41 Avenue"", ""city"": ""Long Island City"", ""state"": ""NY"", ""zip"": ""11101""}'}",,3,30,academyinfo@schools.nyc.gov,718-361-8832
28Q620,Q620,,165-65 84 Avenue,,http://schema.org,CTE School,Please call the school at 718-297-6580 ext. 1380 for information about the 2013 Open House date and time.,,http://www.thomasedisonhs.org,"Extended Day Program, Weekend Program offered",,"{'latitude': '40.7154518', 'longitude': '-73.7919103', 'human_address': '{""address"": ""165 65 84 Avenue"", ""city"": ""Jamaica"", ""state"": ""NY"", ""zip"": ""11432""}'}",,3,28,28Q620@schools.nyc.gov,718-658-0365
28 Q896,Q896,,150-91 87 Road,,http://schema.org,All-Girls School,"Our Open House will be held on Wednesday, October 16, 2013. Please contact us for additional information.",,http://www.ywlnetwork.org,,,"{'latitude': '40.708383', 'longitude': '-73.804153', 'human_address': '{""address"": ""150 91 87 Road"", ""city"": ""Jamaica"", ""state"": ""NY"", ""zip"": ""11432""}'}",,3,28,,718-725-0390
13K527,K527,,283 Adams Street,,http://schema.org,All-Girls School,Please call the school for Open House dates and times.,,http://www.uainstitute.com,Extended Day Program,,"{'latitude': '40.6945218', 'longitude': '-73.9885598', 'human_address': '{""address"": ""283 Adams Street"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11201""}'}",,2,13,uainstitute@gmail.com,718-260-2301
11X508,X508,,925 Astor Avenue,,http://schema.org,,Please contact the school for Open House information.,,http://wwww.bronxdalehighschool.org,,,"{'latitude': '40.85964', 'longitude': '-73.8607428', 'human_address': '{""address"": ""925 Astor Avenue"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10469""}'}",,5,11,nboyiatzis@schools.nyc.gov,718-944-3662
03M541,M541,,122 Amsterdam Avenue,,http://schema.org,,"For Open House tours and admissions information, please call the school at 212-501-1235. Tours of our school are conducted at least twice weekly. To schedule a tour visit our school's website.",,http://schools.nyc.gov/schoolportals/03/M541,,,"{'latitude': '40.7748238', 'longitude': '-73.9847013', 'human_address': '{""address"": ""122 Amsterdam Avenue"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10023""}'}",,4,3,SKreisman@schools.nyc.gov,212-501-1171
14K449,K449,,223 Graham Avenue,,http://schema.org,Specialized School,"Prospective students and their families may attend The Brooklyn Latin School Informative Fridays, which are held in October and May. The sessions will consist of a presentation, school tour and a student panel. Please email brooklynlatinschool@gmail.com for more information or to make reservations. Additionally, an evening Open House is held every October.",,http://www.brooklynlatin.org,,,"{'latitude': '40.710353', 'longitude': '-73.943723', 'human_address': '{""address"": ""223 Graham Avenue"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11206""}'}",,2,14,jgriffiths@schools.nyc.gov,718-381-3012
25Q240,Q240,12.0,35-01 Union Street,,http://schema.org,New School,Please contact the school for Open House dates and times.,9.0,http://schools.nyc.gov/schoolportals/25/Q240,,,"{'latitude': '40.764868', 'longitude': '-73.826819', 'human_address': '{""address"": ""35 01 Union Street"", ""city"": ""Flushing"", ""state"": ""NY"", ""zip"": ""11354""}'}",,3,25,cquatrano@schools.nyc.gov,
12X278,X278,,1180 Rev. J.A. Polite Ave.,,http://schema.org,,Please contact the school or visit our website for Open House information.,,http://www.peaceanddiversityacademy.org,"Community Service Requirement, Extended Day Program, Student Summer Orientation, Summer Internship Program offered",,"{'latitude': '40.827719', 'longitude': '-73.8970008', 'human_address': '{""address"": ""1180 Rev J A Polite Ave"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10459""}'}",,5,12,ATuray@schools.nyc.gov,718-991-2998
15K463,K463,,237 7 Avenue,,http://schema.org,,"Open House in late October/early November. Tours are conducted in October/November during the school day. Group and/or individual tours can be arranged by calling our parent coordinator, Susan Stein, at 347-563-5452.",,http://schools.nyc.gov/schoolportals/15/K463,"Extended Day Program, Student Summer Orientation, Weekend Program offered",,"{'latitude': '40.6695113', 'longitude': '-73.9791404', 'human_address': '{""address"": ""237 7 Avenue"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11215""}'}",,2,15,admissions@parkslopejournalism.com,718-832-0273
02M411,M411,,55 East 25 Street,,http://schema.org,,"Please visit the school website www.bcchsnyc.net for tour sign up information in the fall. Due to space limitations, we require attendees to register in advance for a tour. Tours are not a requirement for admission. We accept tour registration only via the website.",,http://www.bcchsnyc.net,"Community Service Requirement, Extended Day Program",Economics: Micro,"{'latitude': '40.7416521', 'longitude': '-73.9858661', 'human_address': '{""address"": ""55 East 25 Street"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10010""}'}",,4,2,bcchs@bcchsnyc.net,212-683-7338
07X223,X223,12.0,360 East 145 Street,"d) Then to Bronx students or residents, e) Then to New York City residents",http://schema.org,,Please contact the school for Open House dates and times.,6.0,http://www.ms223.org,"Community Service Requirement, Extended Day Program, Internship Requirement, Student Summer Orientation, Uniform Required, Weekend Program offered",,"{'latitude': '40.8136789', 'longitude': '-73.9205341', 'human_address': '{""address"": ""360 East 145 Street"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10454""}'}",,5,7,info@ms223.org,718-292-7435
02M580,M580,,26 Broadway,,http://schema.org,,Open Houses are held in October and November. Individual tours are available all year. Please call for an appointment.,,http://schools.nyc.gov/schoolportals/02/M580,,,"{'latitude': '40.7054386', 'longitude': '-74.0132719', 'human_address': '{""address"": ""26 Broadway"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10004""}'}",,4,2,npugh@schools.nyc.gov,646-826-8175
02M047,M047,,223 East 23 Street,,http://schema.org,,"Please call our parent coordinator, at 917-326-6658/6660 for information regarding Open House dates and times and/or check our school website: www.47aslhs.org",,http://www.47aslhs.org,"Community Service Requirement, Extended Day Program, Student Summer Orientation, Weekend Program offered",,"{'latitude': '40.7382542', 'longitude': '-73.9817613', 'human_address': '{""address"": ""223 East 23 Street"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10010""}'}",,4,2,wshama@schools.nyc.gov,917-326-6688
02M520,M520,,411 Pearl Street,,http://schema.org,,Please check our website for Information Night dates. Tours are available upon request.,,http://schools.nyc.gov/schoolportals/02/M520,,,"{'latitude': '40.7110316', 'longitude': '-74.0013216', 'human_address': '{""address"": ""411 Pearl Street"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10038""}'}",,4,2,02M520@schools.nyc.gov,212-732-6622
32K168,K168,,400 Irving Avenue,,http://schema.org,,Please visit our website at www.bsmartnow.com for Open House dates and times.,,http://www.bsmartnow.com,,,"{'latitude': '40.6969825', 'longitude': '-73.9108225', 'human_address': '{""address"": ""400 Irving Avenue"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11237""}'}",,2,32,DTorres28@schools.nyc.gov,718-381-9897
32K549,K549,,400 Irving Avenue,,http://schema.org,,"Please call our parent coordinator, Frances Carrasco, at 718-381-7100, ext. 5003 for Open House information.",,http://www.BSSJ.net,"Student Summer Orientation, Weekend Program offered",,"{'latitude': '40.6969825', 'longitude': '-73.9108225', 'human_address': '{""address"": ""400 Irving Avenue"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11237""}'}",,2,32,32k549@schools.nyc.gov,718-418-0192
28Q310,Q310,,167-01 Gothic Drive,,http://schema.org,,Please check our website at queenscollegiate.wordpress.com for Open House dates.,,http://www.queenscollegiate.wordpress.com,Our school requires an Academic Portfolio for graduation,"Art History, Biology, Calculus BC, Chemistry, Chinese Language and Culture, Computer Science A, Computer Science AB, Economics: Macro, French Language, French Literature, German Language, Government and Politics: United States, Latin Literature, Physics B, Statistics, Studio Art: Drawing, World History","{'latitude': '40.714546', 'longitude': '-73.798663', 'human_address': '{""address"": ""167 01 Gothic Drive"", ""city"": ""Jamaica"", ""state"": ""NY"", ""zip"": ""11432""}'}",,3,28,queenscollegiate@gmail.com,718-658-5149
18K633,K633,,1600 Rockaway Parkway,,http://schema.org,,"Our Open Houses are scheduled for Thursdays, November 7 and November 14, 2013, from 4:00 PM - 6:00 PM.",,http://www.hsmp.us,,,"{'latitude': '40.6404168', 'longitude': '-73.8985961', 'human_address': '{""address"": ""1600 Rockaway Parkway"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11236""}'}",,2,18,JScarma@schools.nyc.gov,718-290-8705
29Q327,Q327,12.0,171-10 Linden Boulevard,,http://schema.org,All-Boys School,Please contact the school for Open House dates and times.,6.0,http://www.eagleacademy3.org,"Community Service Requirement, Extended Day Program",,"{'latitude': '40.6916864', 'longitude': '-73.7790107', 'human_address': '{""address"": ""171 10 Linden Boulevard"", ""city"": ""Jamaica"", ""state"": ""NY"", ""zip"": ""11434""}'}",1.0,3,29,eagleacademy3@gmail.com,718-480-2610
02M534,M534,12.0,34 West 14 Street,,http://schema.org,,"Our Open Houses will be held on Thursday, October 17 and Tuesday, November 19, 2013 from 5:30 PM - 7:00 PM.",9.0,http://www.harvestcollegiate.org,,,"{'latitude': '40.7366535', 'longitude': '-73.9955421', 'human_address': '{""address"": ""34 West 14 Street"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10011""}'}",,4,2,cburch2@schools.nyc.gov,212-242-4173
02M376,M376,,131 Avenue Of The Americas,,http://schema.org,,"To register for a daytime tour or evening Open House, please visit our website at www.nycischool.org.",,http://www.nycischool.org,,,"{'latitude': '40.7248833', 'longitude': '-74.0042945', 'human_address': '{""address"": ""131 Avenue"", ""city"": ""Of The Americas New York"", ""state"": ""NY"", ""zip"": ""10013""}'}",,4,2,admissions@mail.nycischool.org,212-219-0743
20K445,K445,,1601 80 Street,,http://schema.org,,Sessions and tours scheduled for October. Call our parent coordinator at 718-232-2500 for updated information or check our website at NewUtrechthighschoolnyc.com.,,http://www.NewUtrechthighschoolnyc.com,,,"{'latitude': '40.6134712', 'longitude': '-74.0037419', 'human_address': '{""address"": ""1601 80 Street"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11214""}'}",,2,20,MGoldfa3@schools.nyc.gov,718-259-5526
11X513,X513,,921 East 228Th Street,,http://schema.org,,Please contact the school for Open House information.,,http://schools.nyc.gov/schoolportals/11/X513,,"French Language, Spanish Language","{'latitude': '40.8877658', 'longitude': '-73.8524929', 'human_address': '{""address"": ""921 East 228Th Street"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10466""}'}",,5,11,fsalazar@schools.nyc.gov,718-696-3801
31R600,R600,,290 St Marks Place,,http://schema.org,CTE School,Our Open House will be held in November 2013. Please call the school at 718-420-2600 for the date and additional information.,,http://www.mckeecths.org,"Community Service Requirement, Weekend Program offered",,"{'latitude': '40.6428034', 'longitude': '-74.0787503', 'human_address': '{""address"": ""290 St Marks Place Staten Island"", ""city"": ""NY"", ""state"": """", ""zip"": ""10301""}'}",,1,31,mckee@schools.nyc.gov,718-981-8776
29Q283,Q283,,143-10 Springfield Boulevard,,http://schema.org,,Our Open Houses are held several times during the fall and spring semesters. Please check with your guidance counselor for dates and times.,,http://www.academyforwriters.com,"Extended Day Program Requirement, Our school requires an Academic Portfolio for graduation",,"{'latitude': '40.6682589', 'longitude': '-73.7568961', 'human_address': '{""address"": ""143 10 Springfield Boulevard Springfield Gardens"", ""city"": ""NY"", ""state"": """", ""zip"": ""11413""}'}",1.0,3,29,canderson15@schools.nyc.gov,718-525-8495
11X509,X509,,925 Astor Avenue,,http://schema.org,,Evenings and weekends; please call school for specific dates.,,http://www.languagehs.org,,,"{'latitude': '40.85964', 'longitude': '-73.8607428', 'human_address': '{""address"": ""925 Astor Avenue"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10469""}'}",,5,11,jnariman@schools.nyc.gov,718-944-3641
19K510,K510,,400 Pennsylvania Avenue,,http://schema.org,,Open House sessions are held during the first week in November. Please contact the School Community Coordinator at 718-922-0650 to RSVP.,,http://www.worldacademyforhealth.org,Community Service Requirement,,"{'latitude': '40.6676012', 'longitude': '-73.8947915', 'human_address': '{""address"": ""400 Pennsylvania Avenue"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11207""}'}",,2,19,admissions@watchhealth.org,718-922-0709
14K071,K071,,215 Heyward Street,,http://schema.org,,"We conduct scheduled Open House visits for families in the summer and fall. Individual tours can be scheduled with our bilingual (Spanish & English) parent coordinator, Nereida Pena.",,http://www.juanmorelcampos.com,"Student Summer Orientation, Weekend Program offered",,"{'latitude': '40.7035561', 'longitude': '-73.9532557', 'human_address': '{""address"": ""215 Heyward Street"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11206""}'}",,2,14,14K071@schools.nyc.gov,718-302-7979
02M305,M305,,350 Grand Street,,http://schema.org,,We hold Open Houses for prospective students in October and November of each year.,,http://www.uaagl.org,"Extended Day Program Requirement, Summer Internship Program offered",,"{'latitude': '40.717321', 'longitude': '-73.989323', 'human_address': '{""address"": ""350 Grand Street"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10002""}'}",,4,2,contact@uaagl.org,212-674-8021
31R064,R064,,100 Essex Drive,,http://schema.org,,Our Open Houses will take place in November 2013. Please contact the school or check the school's website for exact dates and times.,,http://www.gaynormccownels.org,"Community Service Requirement, Our school requires an Academic Portfolio for graduation",,"{'latitude': '40.581969', 'longitude': '-74.15936', 'human_address': '{""address"": ""100 Essex Drive Staten Island"", ""city"": ""NY"", ""state"": """", ""zip"": ""10314""}'}",1.0,1,31,tfrey@schools.nyc.gov,718-370-6960
10X213,X213,,99 Terrace View Avenue,,http://schema.org,,Please call the school for Open House dates and times.,,http://schools.nyc.gov/schoolportals/10/X213,,,"{'latitude': '40.8770697', 'longitude': '-73.9126169', 'human_address': '{""address"": ""99 Terrace View Avenue"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10463""}'}",,4,10,,718-741-5263
20K505,K505,,5800 20 Avenue,,http://schema.org,,Please contact the school or visit our website for Open House information. Private tours may be arranged by calling 718-621-8854.,,http://fdrhs.schoolwires.net,,,"{'latitude': '40.621284', 'longitude': '-73.982587', 'human_address': '{""address"": ""5800 20 Avenue"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11204""}'}",,2,20,,718-232-9513
14K561,K561,,257 North 6 Street,,http://schema.org,,"Please contact Williamsburg Prep for tour dates in September, October and November at 718-302-2306 or visit our website at www.williamsburgprep.com.",,http://www.williamsburgprep.com,Community Service Requirement,,"{'latitude': '40.7151945', 'longitude': '-73.9548008', 'human_address': '{""address"": ""257 North 6 Street"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11211""}'}",,2,14,kwitkowski@williamsburgprep.org,718-302-3726
16K498,K498,,1396 Broadway,,http://schema.org,,Our Open House is held in early October; please call the school for additional information.,,http://www.bklawtech.com,,"Biology, Calculus AB, Chemistry, English Literature and Composition, Government and Politics: United States, Physics B, Spanish Language","{'latitude': '40.688391', 'longitude': '-73.920614', 'human_address': '{""address"": ""1396 Broadway"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11221""}'}",,2,16,MPrayor@schools.nyc.gov,718-852-4593
21K620,K620,,25 Brighton Fourth Road,,http://schema.org,CTE School,"Please contact the school for tours and Open House Dates. Email Jodi Infantolino, AP Guidance, at jinfant@schools.nyc.gov or visit our website, www.gradyhs.com, for additional information.",,http://www.gradyhs.com,"Community Service Requirement, Extended Day Program, Internship Requirement, Student Summer Orientation, Summer Internship Program offered",,"{'latitude': '40.583249', 'longitude': '-73.963747', 'human_address': '{""address"": ""25 Brighton Fourth Road"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11235""}'}",,2,21,21K620@schools.nyc.gov,718-332-2544
06M463,M463,,549 Audubon Avenue,,http://schema.org,,"Open House events are scheduled for October 2013 and June 2014. Please contact Dersa Gonzalez, parent coordinator, at 212-927-1841, ext. 117, for more details or to schedule a tour of the school.",,http://schools.nyc.gov/schoolportals/06/M463,"Student Summer Orientation, Weekend Program offered",,"{'latitude': '40.8565083', 'longitude': '-73.926579', 'human_address': '{""address"": ""549 Audubon Avenue"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10040""}'}",,4,6,bgalvez@schools.nyc.gov,212-927-2326
14K558,K558,,257 North 6 Street,,http://schema.org,,"For Open House information and reservations, please contact our parent coordinator at 718-388-1260, ext. 2293. Students and parents are encouraged to contact our parent coordinator to make appointments for a personal tour of the school.",,http://www.WHSAD.org,,,"{'latitude': '40.7151945', 'longitude': '-73.9548008', 'human_address': '{""address"": ""257 North 6 Street"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11211""}'}",,2,14,D14K558@schools.nyc.gov,718-486-2580
03M859,M859,12.0,129 West 67 Street,,http://schema.org,,Open Houses for prospective students and parents will be held on several Wednesdays in the fall at the Martin Luther Educational Campus. Please contact the school directly for these dates. Attendance at an Open House is not a requirement for an audition.,,http://kaufman-center.org/sms,,,"{'latitude': '40.7751661', 'longitude': '-73.9830599', 'human_address': '{""address"": ""129 West 67 Street"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10023""}'}",,4,3,smsa@kaufman-center.org,212-501-3339
05M304,M304,,6 Edgecombe Avenue,,http://schema.org,,Our Open House is held in October & November. The Round Two Open House is held in March. Please contact our parent coordinator for further information at 212-690-5501 ext. 404.,,http://schools.nyc.gov/schoolportals/05/M304,,,"{'latitude': '40.8175462', 'longitude': '-73.947563', 'human_address': '{""address"": ""6 Edgecombe Avenue"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10030""}'}",,4,5,,212-690-5047
07X600,X600,,333 East 151 Street,,http://schema.org,CTE School,"Open Houses will be held Saturday, September 28th from 10:30 AM -12:00 PM and Thursday, November 7th from 5:00 PM - 7:00 PM. Please call the school at 718-993-5000 to confirm the date. Our Open House is an interactive experience; students and parents participate in live Automotive demonstrations in our NATEF Automotive Technology program.",,http://schools.nyc.gov/schoolportals/07/X600,,,"{'latitude': '40.8182026', 'longitude': '-73.919676', 'human_address': '{""address"": ""333 East 151 Street"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10451""}'}",,5,7,Please contact the school for more information.,718-292-1944
09X297,X297,,1110 Boston Road,,http://schema.org,,"Please call our parent coordinator, Ms. Zulieka Carrion, at 718-542-3700 ext. 1260 for Open House information.",,http://morrisacademyhs.com,,,"{'latitude': '40.8280148', 'longitude': '-73.9040232', 'human_address': '{""address"": ""1110 Boston Road"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10456""}'}",,5,9,COsewal@schools.nyc.gov,718-542-3958
12X267,X267,,800 Home Street,,http://schema.org,,Please contact the school for Open House information.,,http://BronxLatin.com,,,"{'latitude': '40.826916', 'longitude': '-73.900597', 'human_address': '{""address"": ""800 Home Street"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10456""}'}",,5,12,afiorentino2@schools.nyc.gov,718-991-6627
30Q258,Q258,12.0,36-41 28th Street,,http://schema.org,"CTE, New School",Please contact the school for Open House dates and times.,9.0,http://schools.nyc.gov/schoolportals/30/Q258,,,"{'latitude': '40.7564951', 'longitude': '-73.9325837', 'human_address': '{""address"": ""36 41 28th Street"", ""city"": ""Long Island City"", ""state"": ""NY"", ""zip"": ""11106""}'}",,3,30,energytechhs@gmail.com,
