code_prog1,admissionsmethod_prog3,ellprograms,tophs1,geappsperseat_prog5,swdappsperseat_prog2,admissionsmethod_prog7,gefilled_prog15,eligibility_prog14,swdappsperseat_prog1,geseats_prog7,admissionsmethod_prog5,swdappsperseat_prog9,eligibility_prog12,gefilled_prog4,geseats_prog13,coursepassrate,geseats_prog3,council_district,admissionsmethod_prog15,geappsperseat_prog11,eligibility_prog3,swdseats_prog6,swdappsperseat_prog5,swdappsperseat_prog12,independentwebsite,swdseats_prog11,surveysafety,swdapps_prog11,geapps_prog1,name_prog8,admissionsmethod_prog13,start_time,eligibility_prog6,gefilled_prog2,geappsperseat_prog13,name_prog14,gefilled_prog11,swdfilled_prog1,priority4_prog1,tophs3,swdfilled_prog13,priority1_prog2,geapps_prog12,admissionsmethod_prog12,admissionsmethod_prog11,code_prog11,geseats_prog4,subway
K303AR,Talent Test,English as a New Language,Abraham Lincoln High School,3.0,2.0,Talent Test,,,3.0,23.0,Talent Test,0.0,,N,,98.0,23.0,47.0,,,Open to students and residents of District 21,5.0,1.0,,www.IS303.com,,71.0,,79.0,Herbert S. Eisenberg (I.S. 303) Academy for Career Exploration,,8:00am,Open to students and residents of District 21,N,,,,N,,Rachel Carson High School for Coastal Studies,,,,,,,23.0,Q to West 8th St - NY Aquarium; Q to Ocean Parkway; F to Neptune Ave-Van Siclen
K096AR,Talent Test,English as a New Language,James Madison High School,3.0,6.0,Talent Test,,,11.0,24.0,Talent Test,,,N,,96.0,24.0,44.0,,,Open to students and residents of District 21,32.0,1.0,,,,87.0,,118.0,,,8:05am,Open to students and residents of District 21,Y,,,,N,,Franklin Delano Roosevelt High School,,,,,,,24.0,N to Bay Parkway-22nd Ave
X323U,,English as a New Language,A. Philip Randolph Campus High School,,,,,,3.0,,,,,,,84.0,,16.0,,,,,,,www.bronxwritingacademy.net,,72.0,,367.0,,,8:20am,,,,,,N,,,,,,,,,,"4, B, D to 167th St"
M347M,,English as a New Language,47 The American Sign Language and English Secondary School,,,,,,6.0,,,,,,,93.0,,2.0,,,,,,,www.ps-347.org,,78.0,,45.0,,,8:25am,,,,,,Y,,Richard R. Green High School of Teaching,,,,,,,,"L to 3rd Ave; 6, N, R to 23rd St; 4, 5, Q to 14th St-Union Square"
M896S,,English as a New Language,Millennium High School,,,,,,4.0,,,,,,,100.0,,1.0,,,,,,,www.lmc896.org,,88.0,,451.0,,,8:15am,,,,,,Y,,,,,,,,,,"N to South Ferry; J, Z to Broad St; E to World Trade Center; A, C to Fulton St-Broadway-Nassau; 4, 5 to Bowling Green; 2, 3 to Wall St; 1, R to Whitehall St-South Ferry; 1, R to Rector St"
K267A,,English as a New Language,Pathways in Technology Early College High School (P-Tech),,3.0,,,,2.0,,,,,,,94.0,,36.0,,,,,,,www.ms267.org,,85.0,,89.0,,,8:20am,,N,,,,N,,Brooklyn High School for Law and Technology,,,,,,,,Z to Gates Ave; J to Kosciusko St
K291M,,English as a New Language,"Math, Engineering, and Science Academy Charter High School",,1.0,,,,6.0,,,,,,,85.0,,37.0,,,,,,,,,78.0,,184.0,,,8:00am,,N,,,,Y,,,,,,,,,,M to Knickerbocker Ave; L to Myrtle Ave-Wyckoff Ave
K098AR,Talent Test,English as a New Language,Midwood High School,5.0,6.0,Talent Test,,,3.0,57.0,Talent Test,3.0,,Y,,100.0,86.0,48.0,,,Open to students and residents of District 21,21.0,2.0,,www.is98.net,,88.0,,364.0,The Bay Academy (I.S. 98) Magnet Program (Instrumental - Strings),,7:40am,Open to students and residents of District 21,Y,,,,Y,,James Madison High School,,,,,,,30.0,"B, Q to Sheepshead Bay"
X331U,,English as a New Language,Charter High School for Law and Social Justice,,,,,,3.0,,,,,,,89.0,,14.0,,,,,,,www.MS331.com,,84.0,,287.0,,,8:00am,,,,,,Y,,,,,,,,,,"B, D to Tremont Ave; 4 to Burnside Ave; 4 to 176th St"
Q183Z,,English as a New Language,Rockaway Park High School for Environmental Sustainability,,,,,,0.0,,,,,,,60.0,,31.0,,,,,,,www.psms183q.org,,85.0,,7.0,,,8:00am,,,,,,N,,Rockaway Collegiate High School,,,,,,,,S to Beach 90th St-Holland; A to Beach 67th St-Gaston
K220A,Open,English as a New Language,Fort Hamilton High School,,,,,,3.0,,,,,N,,98.0,75.0,38.0,,,Open to students and residents of District 20,,,,www.is220.org,,68.0,,476.0,,,8:00am,,Y,,,,Y,,Sunset Park High School,,,,,,,341.0,D to Fort Hamilton Parkway
K447M,,English as a New Language,Millennium Brooklyn HS,,,,,,9.0,,,,,,,100.0,,33.0,,,,,,,www.ms447.org,,91.0,,1712.0,,,8:20am,,,,,,Y,,Beacon High School,,,,,,,,"G to Fulton St; C to Lafayette Ave; A to Hoyt & Schermerhorn; 2, 3, 4, 5, B, D, N, Q, R to Atlantic Ave - Barclays Center"
Q358U,,English as a New Language,Hillcrest High School,,,,,,10.0,,,,,,,98.0,,24.0,,,,,,,,,91.0,,548.0,,,8:20am,,,,,,Y,,,,,,,,,,"F to 169th St; E, J, Z to Jamaica Center - Parsons / Archer"
K084L,,English as a New Language;Dual Language: Spanish,Williamsburg Preparatory School,,,,,,3.0,,,,,,,91.0,,34.0,,,,,,,,,85.0,,169.0,,,8:20am,,N,,,,N,,,,,,,,,,"L to Bedford Ave; J, M, Z to Marcy Ave"
K443M,,English as a New Language,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,,,,,,9.0,,,,,,,99.0,,38.0,,,,,,,www.newvoicesbrooklyn.org,,94.0,,1723.0,,,8:15am,,,,,,Y,,Frank Sinatra School of the Arts High School,,,,,,,,"R to Prospect Ave; F, G to 15th St-Prospect Park"
K522S,,English as a New Language,Brooklyn High School for Law and Technology,,,,,,4.0,,,,,,,90.0,,41.0,,,,,,,,,91.0,,123.0,,,8:00am,,,,,,N,,,,,,,,,,"J to Chauncey St; C to Rockaway Ave; A, L, Z to Broadway Junction"
K062A,,English as a New Language,Edward R. Murrow High School,,2.0,,,,2.0,,,,,,,96.0,,40.0,,,,,,,www.ditmas.org,,82.0,,376.0,,,8:00am,,N,,,,N,,Midwood High School,,,,,,,,Q to Cortelyou Rd; F to Ditmas Ave
K180A,Zoned,English as a New Language,Midwood High School,,11.0,,,,8.0,,,,,,,100.0,75.0,44.0,,,Open to continuing 5th grade students and students residing in the elementary school zone,,,,https://www.seeallacademy.com/,,89.0,,777.0,,,8:10am,,Y,,,,Y,,Fort Hamilton High School,,,,,,,,"D, N to 62nd St - New Utrecht Ave"
K364S,,English as a New Language,Spring Creek Community School,,2.0,,,,2.0,,,,,,,95.0,,42.0,,,,,,,,,75.0,,140.0,,,8:00am,,N,,,,N,,,,,,,,,,
Q059U,,English as a New Language,"Queens High School of Teaching, Liberal Arts and the Sciences",,,,,,3.0,,,,,,,88.0,,27.0,,,,,,,,,68.0,,328.0,,,8:10am,,,,,,N,,Hillcrest High School,,,,,,,,
X127A,Zoned,English as a New Language;Dual Language: Spanish,Herbert H. Lehman High School,,4.0,,,,2.0,,,,,,,97.0,97.0,18.0,,,Open to students residing in the zone,,,,www.ms127.org,,81.0,,268.0,,,8:10am,,Y,,,,N,,,,Priority to District 11 students and residents,,,,,,6 to Castle Hill Ave
K099Z,,English as a New Language,Midwood High School,,,,,,1.0,,,,,,,97.0,,44.0,,,,,,,,,81.0,,90.0,,,8:00am,,,,,,N,,,,,,,,,,"F to Bay Parkway-22nd Ave; B, Q to Ave J"
K225Z,,English as a New Language;Dual Language: Spanish,Franklin Delano Roosevelt High School,,,,,,1.0,,,,,,,93.0,,48.0,,,,,,,ps225k.edlioschool.com,,65.0,,125.0,,,8:00am,,,,,,N,,Abraham Lincoln High School,,,,,,,,"B, Q to Brighton Beach"
X045M,,English as a New Language;Dual Language: Spanish,High School for Energy and Technology,,2.0,,,,2.0,,,,,,,96.0,,15.0,,,,,,,https://www.ms45.org/,,77.0,,279.0,,,8:20am,,N,,,,N,,Bronx High School for Law and Community Service,,Priority to residents of the middle school zone,,,,,,
K138U,,English as a New Language,Clara Barton High School,,,,,,2.0,,,,,,,94.0,,36.0,,,,,,,,,90.0,,166.0,,,8:30am,,,,,,N,,,,,,,,,,"F, S to Park Place; 3, A, C to Nostrand Ave; 2, 5 to President St; 2, 4, 5 to Franklin Ave"
Q189M,,English as a New Language;Dual Language: Chinese,Francis Lewis High School,,1.0,,,,4.0,,,,,,,96.0,,20.0,,,,,,,,,78.0,,166.0,,,8:05am,,N,,,,N,,John Bowne High School,,Priority to residents of the middle school zone,,,,,,7 to Flushing-Main St
M286L,,English as a New Language,Urban Assembly School for the Performing Arts,,,,,,3.0,,,,,,,84.0,,7.0,,,,,,,,,75.0,,89.0,,,8:20am,,,,,,Y,,A. Philip Randolph Campus High School,,,,,,,,"1, A, B, C, D to 125th St"
Q284L,,English as a New Language,York Early College Academy,,,,,,9.0,,,,,,,96.0,,27.0,,,,,,,www.yorkearlycollegeacademy.org,,89.0,,674.0,,,8:00am,,,,,,Y,,FDNY - Captain Vernon A. Richard High School for Fire and Life Safety,,,,,,,,
Q125Z,,English as a New Language,William Cullen Bryant High School,,,,,,1.0,,,,,,,94.0,,26.0,,,,,,,www.is125q.org,,87.0,,382.0,,,8:00am,,,,,,N,,Long Island City High School,,,,,,,,7 to 46th St
Q073A,Open,English as a New Language;Dual Language: Spanish,Forest Hills High School,,10.0,,,,9.0,,,,,N,,99.0,121.0,30.0,,,"Open to 5th grade students at P.S. 16, P.S. 19, and P.S. 143 and students zoned to I.S. 61 or I.S. 311",,,,www.is73.org,,87.0,,846.0,,,8:00am,,N,,,,Y,,William Cullen Bryant High School,,,,,,,272.0,
M258S,,English as a New Language,Manhattan Business Academy,,,,,,6.0,,,,,,,96.0,,6.0,,,,,,,,,86.0,,203.0,,,8:10am,,,,,,Y,,,,,,,,,,"1, 2, 3, B, C to 96th St"
Q252U,,English as a New Language,"Queens School of Inquiry, The",,,,,,5.0,,,,,,,99.0,,24.0,,,,,,,www.queensinquiry.com,,86.0,,194.0,,,7:50am,,,,,,Y,,,,,,,,,,
K238Z,,English as a New Language;Dual Language: Spanish,James Madison High School,,,,,,2.0,,,,,,,98.0,,44.0,,,,,,,,,85.0,,44.0,,,8:00am,,,,,,Y,,Edward R. Murrow High School,,,,,,,,"F to Ave P; B, Q to Kings Highway"
K218M,Zoned,English as a New Language,Transit Tech Career and Technical Education High School,,1.0,,,,2.0,,,,,,,90.0,77.0,42.0,,,Open to students residing in the zone,,,,,,72.0,,97.0,,,8:00am,,N,,,,N,,W. H. Maxwell Career and Technical Education High School,,,,,,,,"A, C to Euclid Ave"
Q287U,,English as a New Language,Hillcrest High School,,,,,,3.0,,,,,,,92.0,,27.0,,,,,,,www.theemersonschool.com,,73.0,,251.0,,,8:50am,,,,,,N,,Preparatory Academy for Writers: A College Board School,,,,,,,,
K492S,,English as a New Language,Edward R. Murrow High School,,,,,,5.0,,,,,,,98.0,,35.0,,,,,,,,,89.0,,512.0,,,8:30am,,,,,,Y,,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,,,,,,,,G to Clinton-Washington; C to Lafayette Ave
Q202Z,,English as a New Language,Robert H. Goddard High School of Communication Arts and Technology,,,,,,1.0,,,,,,,98.0,,32.0,,,,,,,,,85.0,,262.0,,,8:05am,,,,,,N,,"High School for Construction Trades, Engineering and Architecture",,,,,,,,
K554M,,English as a New Language,All City Leadership Secondary School,,,,,,15.0,,,,,,,97.0,,37.0,,,,,,,,,96.0,,868.0,,,7:45am,,,,,,Y,,,,,,,,,,"L, M to Myrtle Ave-Wyckoff Ave"
X206L,,English as a New Language,Bronx Engineering and Technology Academy,,2.0,,,,5.0,,,,,,,87.0,,14.0,,,,,,,,,81.0,,145.0,,,8:00am,,N,,,,Y,,,,Priority to residents of the middle school zone,,,,,,"B, D to 182nd-183rd Sts; 4 to 183rd St"
X224U,,English as a New Language,Bronx Collaborative High School,,,,,,3.0,,,,,,,93.0,,8.0,,,,,,,,,63.0,,219.0,,,8:00am,,,,,,N,,Community School for Social Justice,,,,,,,,"6 to Brook Ave; 2, 5 to 3rd Ave-149th St"
K206U,,English as a New Language;Dual Language: Russian,James Madison High School,,,,,,1.0,,,,,,,99.0,,48.0,,,,,,,www.PSIS206k.com,,78.0,,200.0,,,8:10am,,,,,,N,,Edward R. Murrow High School,,,,,,,,Q to Neck Rd
K051M,,English as a New Language,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,,,,,,5.0,,,,,,,99.0,,39.0,,,,,,,www.ms51.org,,91.0,,2019.0,,,8:40am,,,,,,Y,,Edward R. Murrow High School,,,,,,,,"F, G, R to 4th Ave - 9th St"
Q238U,,English as a New Language,Hillcrest High School,,,,,,1.0,,,,,,,87.0,,27.0,,,,,,,,,73.0,,374.0,,,8:00am,,,,,,N,,Martin Van Buren High School,,,,,,,,F to Jamaica - 179th St
M217S,,English as a New Language,Brooklyn Technical High School,,,,,,1.0,,,,,,,100.0,,5.0,,,,,,,,,88.0,,51.0,,,8:25am,,,,,,N,,,,,,,,,,F to Roosevelt Island
X363L,,English as a New Language,Discovery High School,,1.0,,,,,,,,,,,96.0,,14.0,,,,,,,www.ms363aple.org,,91.0,,503.0,,,8:20am,,N,,,,Y,,,,,,,,,,"B, D to Fordham Rd; 4 to 183rd St"
K201A,,English as a New Language,Fort Hamilton High School,,1.0,,,,5.0,,,,,,,99.0,,43.0,,,,,,,,,86.0,,1833.0,,,8:00am,,N,,,,Y,,Brooklyn Technical High School,,,,,,,,
R027A,Zoned,English as a New Language,Susan E. Wagner High School,,9.0,,,,6.0,,,,,,,97.0,260.0,49.0,,,Open to students residing in the zone,,,,www.IS27.org,,79.0,,428.0,,,7:40am,,Y,,,,Y,,Ralph R. McKee Career and Technical Education High School,,,,,,,,
K363L,,English as a New Language,Brooklyn Collegiate: A College Board School,,,,,,3.0,,,,,,,86.0,,37.0,,,,,,,,,91.0,,122.0,,,8:15am,,,,,,Y,,W. H. Maxwell Career and Technical Education High School,,,,,,,,L to Sutter Ave
M171S,,English as a New Language,Manhattan Center for Science and Mathematics,,,,,,4.0,,,,,,,90.0,,8.0,,,,,,,www.ps171.org,,92.0,,359.0,,,8:00am,,,,,,Y,,,,,,,,,,"6 to 103rd St; 2, 3 to Central Park North-110th St"
K409S,,English as a New Language,East New York Family Academy,,,,,,3.0,,,,,,,95.0,,37.0,,,,,,,,,87.0,,218.0,,,7:55am,,,,,,N,,,,,,,,,,3 to Van Siclen Ave
K497M,,English as a New Language;Dual Language: French,The Boerum Hill School for International Studies,,18.0,,,,12.0,,,,,,,96.0,,33.0,,,,,,,www.k497.org,,81.0,,1001.0,,,8:15am,,Y,,,,Y,,,,,,,,,,"F, G to Bergen St; A, C to Hoyt & Schermerhorn"
Q190U,,English as a New Language,Forest Hills High School,,,,,,2.0,,,,,,,96.0,,29.0,,,,,,,www.russellsagems.org,,68.0,,730.0,,,8:10am,,,,,,N,,The Bronx High School of Science,,,,,,,,"M, R to 67th Ave; E, F to Forest Hills - 71st Ave"
Q300A,,English as a New Language,The Bronx High School of Science,,,,,,,,,,,,,100.0,,22.0,,,,,,,www.ps300q.org,,91.0,,996.0,,,8:50am,,,,,,Y,,,,,,,,,,"N, Q to 30 Ave-Grand Ave"
M007S,,English as a New Language,"Heritage School, The",,,,,,2.0,,,,,,,81.0,,8.0,,,,,,,,,67.0,,98.0,,,8:00am,,,,,,N,,"Facing History School, The",,,,,,,,"6 to 116th St; 4, 5 to 125th St"
X375L,,English as a New Language,Millennium Art Academy,,,,,,1.0,,,,,,,88.0,,18.0,,,,,,,,,67.0,,132.0,,,8:20am,,,,,,N,,,,,,,,,,
K281AR,Talent Test,English as a New Language;Dual Language: Chinese,New Utrecht High School,4.0,8.0,Open,,,6.0,185.0,Screened: Language,,,Y,,99.0,20.0,47.0,,,Open to students and residents of District 21,5.0,3.0,,www.is281.com,,83.0,,208.0,Joseph B. Cavallaro (I.S. 281) Magnet Program (Vocal Music),,7:50am,Open to students and residents of District 21,Y,,,,N,,Franklin Delano Roosevelt High School,,,,,,,20.0,D to 25th Ave
X098U,,English as a New Language,Explorations Academy H.S.,,,,,,1.0,,,,,,,85.0,,17.0,,,,,,,,,61.0,,136.0,,,7:30am,,,,,,N,,,,,,,,,,"2, 5 to 174th St"
K228AR,Talent Test,English as a New Language;Dual Language: Chinese;Dual Language: Russian;Dual Language: Spanish,James Madison High School,15.0,6.0,Screened: Language,Y,Open to students and residents of District 21,5.0,24.0,Talent Test,10.0,Open to students and residents of District 21,Y,8.0,99.0,39.0,47.0,Zoned,12.0,Open to students and residents of District 21,1.0,6.0,1.0,www.is228.org,6.0,84.0,18.0,275.0,David A. Boody (I.S. 228): Russian Dual Language Program,Talent Test,8:00am,Open to students and residents of District 21,Y,10.0,David A. Boody (I.S. 228) Magnet Program (Instrumental - Winds),Y,N,,Edward R. Murrow High School,N,,57.0,Talent Test,Talent Test,K228SC,10.0,N to Ave U; F to Kings Highway
X181L,Zoned,English as a New Language,Harry S Truman High School,,3.0,,,,2.0,,,,,,,93.0,24.0,12.0,,,Open to students residing in the zone,,,,www.ms181info.weebly.com,,82.0,,465.0,,,8:00am,,Y,,,,Y,,DeWitt Clinton High School,,Priority to District 11 students and residents,,,,,,5 to Baychester Ave
K590M,,English as a New Language,Medgar Evers College Preparatory School,,,,,,42.0,,,,,,,82.0,,35.0,,,,,,,www.mecps.org,,71.0,,1342.0,,,8:10am,,,,,,Y,,New Visions Charter High School for Advanced Math and Science III,,,,,,,,"4, S to Franklin Ave; 3toNostrand Ave; 2, 5 to President St"
K935U,,English as a New Language,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,61.0,,,,,,,,,N,,,,,,,,,,
X303U,,English as a New Language,The Global Learning Collaborative,,,,,,6.0,,,,,,,99.0,,14.0,,,,,,,,,93.0,,440.0,,,8:20am,,,,,,Y,,,,,,,,,,"B, D to 174th-175th Sts; 4 to 176th St"
X214L,,English as a New Language,Harry S Truman High School,,,,,,2.0,,,,,,,96.0,,17.0,,,,,,,,,70.0,,311.0,,,8:00am,,,,,,N,,A. Philip Randolph Campus High School,,,,,,,,"2, 5 to West Farms Sq - East Tremont Ave"
X269U,,English as a New Language,Bronx Studio School for Writers and Artists,,,,,,7.0,,,,,,,86.0,,17.0,,,,,,,www.bsswa.org,,82.0,,317.0,,,8:15am,,,,,,Y,,Schuylerville Preparatory High School,,,,,,,,"6 to Hunts Point Ave; 2, 5 to Intervale Ave"
X089L,,English as a New Language,Harry S Truman High School,,1.0,,,,19.0,,,,,,,91.0,,13.0,,,,,,,www.ps89x.org,,94.0,,210.0,,,8:00am,,N,,,,Y,,Fannie Lou Hamer Freedom High School,,Priority to continuing students,,,,,,5 to Pelham Parkway; 2 to Allerton Ave
K313S,,English as a New Language,Benjamin Banneker Academy,,,,,,6.0,,,,,,,96.0,,33.0,,,,,,,,,86.0,,412.0,,,8:00am,,,,,,Y,,,,,,,,,,"F to York St; A, C to High St; 2, 3 to Clark St"
X194U,,English as a New Language,Manhattan Center for Science and Mathematics,,,,,,1.0,,,,,,,91.0,,18.0,,,,,,,,,88.0,,264.0,,,8:00am,,,,,,N,Then to Bronx students and residents,,,,,,,,,6 to Zerega Ave
M206L,,English as a New Language;Dual Language: Spanish,Renaissance Charter High School for Innovation,,,,,,28.0,,,,,,,81.0,,8.0,,,,,,,,,73.0,,98.0,,,8:00am,,,,,,Y,,,,,,,,,,
Q294U,,English as a New Language,Bayside High School,,,,,,2.0,,,,,,,98.0,,19.0,,,,,,,www.thebellacademy.com,,85.0,,536.0,,,7:50am,,,,,,Y,,Francis Lewis High School,,,,,,,,
X005U,,English as a New Language;Dual Language: Spanish,University Prep Charter High School,,,,,,5.0,,,,,,,69.0,,8.0,,,,,,,,,77.0,,159.0,,,8:20am,,,,,,Y,,,,,,,,,,"6 to East 149th St; 2, 5 to Jackson Ave"
X343U,,English as a New Language,The Laboratory School of Finance and Technology: X223,,,,,,7.0,,,,,,,97.0,,8.0,,,,,,,www.ms343.com,,89.0,,579.0,,,8:25am,,,,,,Y,,,,,,,,,,"6 to Brook Ave; 2, 5 to 3rd Ave-149th St"
Q680M,,English as a New Language,Queens Gateway to Health Sciences Secondary School,,,,,,7.0,,,,,,,98.0,,24.0,,,,,,,,,76.0,,934.0,,,8:00am,,,,,,Y,,Stuyvesant High School,,,,,,,,
M610M,,English as a New Language,Young Women's Leadership School,,,,,,5.0,,,,,,,96.0,,8.0,,,,,,,,,90.0,,263.0,,,8:40am,,,,,,Y,,Manhattan Center for Science and Mathematics,,,,,,,,"6 to 103rd St; 2, 3 to Central Park North-110th St"
Q318M,,English as a New Language,New Visions Charter High School for the Humanities IV,,0.0,,,,8.0,,,,,,,82.0,,32.0,,,,,,,www.watersideschoolforleadership.com,,94.0,,110.0,,,8:10am,,N,,,,Y,,John Adams High School,,,,,,,,"A, S to Rockaway Park-Beach 116th"
K468U,,English as a New Language,Kingsborough Early College School,,,,,,4.0,,,,,,,94.0,,47.0,,,,,,,KECSS.info,,79.0,,435.0,,,8:30am,,,,,,Y,,,,,,,,,,N to Gravesend - 86th St; N to Ave U; D to 25th Ave
X004Z,,English as a New Language,Eximius College Preparatory Academy: A College Board School,,,,,,18.0,,,,,,,80.0,,15.0,,,,,,,,,85.0,,135.0,,,8:00am,,,,,,Y,Then to Bronx students and residents,,,,,,,,,
