telephone,code_prog1,admissionsmethod_prog4,selectioncriteria2_prog3,eligibility_prog2,swdseats_prog2,selectioncriteria3_prog5,selectioncriteria12_prog4,priority2_prog4,geappsperseat_prog2,selectioncriteria9_prog3,swdapps_prog3,selectioncriteria5_prog2,district,code_prog5,priority7_prog4,communityschool,revealed_prog5,latitude,geapps_prog5,selectioncriteria11_prog1,selectioncriteria12_prog5,revealed_prog3,mathprof,priority6_prog5,admissionsmethod_prog1,selectioncriteria7_prog5,name_prog3,geseats_prog5,selectioncriteria7_prog4,swdapps_prog2,priority7_prog6,selectioncriteria5_prog1,selectioncriteria8_prog2,ellprograms,priority2_prog2,swdapps_prog1,priority3_prog1,revealed_prog2,eligibility_prog1,selectioncriteria9_prog2,acceleratedclasses,priority7_prog3,gefilled_prog4,selectioncriteria10_prog6,geapps_prog4
718-774-1002,K061A,.,.,Open to students and residents of District 17,10,.,.,.,4,.,61,,17,.,.,No,.,40.664007,.,.,.,.,16.0,.,Composite Score,.,Dr. Gladstone H. Atwell,.,.,37,.,Final 4th Grade Report Card: 40%,.,English as a New Language,,41,,.,Open to students and residents of District 17,.,"Algebra I, English, French, Global History, Italian, Living Environment, Spanish, US History",.,.,.,.
718-574-2804,K681U,.,.,,,.,.,.,,.,,,16,.,.,"Yes, The Leadership Program",.,40.692126,.,.,.,.,8.0,.,Open,.,,.,.,,.,,.,English as a New Language,,69,,.,Open to students and residents of District 16,.,"Algebra I, Living Environment",.,.,.,.
718-471-6042,Q319U,,,,,.,.,.,,.,,,27,,.,No,.,40.603622,.,.,.,.,12.0,.,Open,.,,.,.,,.,,.,English as a New Language,,88,,.,Open to students and residents of District 27,.,"Algebra I, Living Environment",.,,.,
212-228-4433,M034L,.,,,,.,.,.,,.,,.,1,.,.,No,.,40.726473,.,.,.,.,17.0,.,Limited Unscreened,.,,.,.,,.,,.,English as a New Language,,28,Then to students and residents of District 1.,.,Open to students and residents of District 1,.,,.,.,.,.
212-781-0524,M348U,,,,,.,.,.,,.,,,6,,.,No,.,40.848908,.,.,.,.,22.0,.,Open,.,,.,.,,.,,.,"English as a New Language, Dual Language: Spanish",,80,,.,Open to students and residents of District 6,.,"Algebra I, Spanish",.,,.,
718-571-6960,K308U,.,.,,,.,.,.,,.,,,16,.,.,"Yes, Partnership with Children, Inc.",.,40.688695,.,.,.,.,1.0,.,Open,.,,.,.,,.,,.,English as a New Language,,44,Then to students and residents of District 16.,.,Open to students and residents of District 16,.,"Algebra I, Chemistry",.,.,.,.
718-220-4185,X459U,,,,,.,.,.,,.,,,10,,.,"Yes, Wediko Children's Services",.,40.859752,,.,.,.,3.0,.,Open,.,,,.,,.,,.,English as a New Language,,46,,.,Open to students residing in the zone,.,,.,,.,
212-860-5801,M171S,.,.,,,.,.,.,,.,,,4,.,.,No,.,40.792122,.,.,.,.,59.0,.,Screened,.,,.,.,,.,Final 4th Grade Report Card,.,English as a New Language,,82,Then to students and residents of District 4.,.,Open to students and residents of District 4,.,Algebra I,.,.,.,.
718-881-3136,X468U,,,,,.,.,.,,.,,,11,,.,No,.,40.862109,,.,.,.,26.0,.,Open,.,,,.,,.,,.,English as a New Language,,131,,.,Open to students and residents of District 11,.,Algebra I,.,,.,
718-834-6734,K113M,Screened,Attendance and Punctuality,Open to students and residents of District 13,10,.,.,.,2,.,42,Final 4th Grade Report Card,13,K113T,.,No,.,40.688811,145,.,.,.,12.0,.,Screened: Language,.,Academy of Performing Arts,75,.,36,.,Punctuality,.,"English as a New Language, Dual Language: Spanish",,44,,.,Open to students and residents of District 13,.,"Earth Science, English",.,No,.,112
718-260-2300,K527S,,,,,.,.,.,,.,,,13,,.,No,.,40.694682,,.,.,.,14.0,.,Screened,.,,,.,,.,,.,English as a New Language,,39,,.,All-girls school; open to students and residents of Brooklyn,.,Living Environment,.,,.,
718-574-2357,K057U,.,.,,,.,.,.,,.,,,16,.,.,No,.,40.691274,.,.,.,.,14.0,.,Open,.,,.,.,,.,,.,English as a New Language,,38,,.,Open to students and residents of District 16,.,Algebra I,.,.,.,.
718-773-4869,K235M,.,.,,,.,.,.,,.,,,18,.,.,No,.,40.645685,.,.,.,.,87.0,.,Screened,.,,.,.,,.,Punctuality,.,English as a New Language,,142,,.,Open to residents of New York City,.,"Algebra I, English, Living Environment, Spanish",.,.,.,.
212-281-5028,M223S,,,,,.,.,.,,.,,,6,,.,No,.,40.815458,.,.,.,.,63.0,.,Screened,.,,.,.,,.,Final 4th Grade Report Card,.,English as a New Language,,47,,.,Open to students and residents of District 6,.,"Algebra I, Living Environment",.,,.,
718-793-2130,Q219U,.,.,,,.,.,.,,.,,,25,.,.,No,.,40.735275,.,.,.,.,60.0,.,Open,.,,.,.,,.,,.,English as a New Language,,57,Then to students and residents of District 25.,.,Open to students and residents of District 25,.,"Algebra I, Earth Science",.,.,.,.
718-977-6181,Q355U,,,,,.,.,.,,.,,,29,,.,No,.,40.664608,,.,.,.,12.0,.,Open,.,,,.,,.,,.,English as a New Language,,64,,.,Open to students and residents of District 29,.,Algebra I,.,,.,
718-365-2502,X228M,,,,,.,.,.,,.,,,10,,.,No,.,40.8609,,.,.,.,39.0,.,Screened,.,,,.,,.,,.,English as a New Language,,226,,.,Open to students and residents of Districts 9 and 10,.,Living Environment,.,,.,
718-585-8202,X223M,,,Open to students and residents of District 7,7,.,.,.,27,.,,,7,,.,"Yes, Areté",.,40.813983,.,.,.,.,40.0,.,Screened: Language,.,,.,.,166,.,Final 4th Grade Report Card,.,"English as a New Language, Dual Language: Spanish",,86,,.,Open to students and residents of District 7,.,"Algebra I, Living Environment",.,,.,
212-534-6072,M377L,.,.,,,.,.,.,,.,,,4,.,.,"Yes, Partnership with Children, Inc.",.,40.797302,.,.,.,.,15.0,.,Limited Unscreened,.,,.,.,,.,,.,English as a New Language,,96,Then to students and residents of District 4,.,Open to students and residents of Manhattan,.,Algebra I,.,.,.,.
718-457-1242,Q145U,.,,Open to students residing in the zone,,.,.,.,,.,,.,30,.,.,No,.,40.754661,.,.,.,.,31.0,.,Open,.,,.,.,,.,,.,"English as a New Language, Dual Language: Spanish, Transitional Bilingual Education: Spanish",,38,,.,Open to students and residents of District 30,.,"Algebra I, Earth Science, Living Environment, Spanish",.,.,.,.
212-289-7593,M610M,.,.,,,.,.,.,,.,,,4,.,.,No,.,40.792741,.,.,.,.,34.0,.,Screened,.,,.,.,,.,,.,English as a New Language,,68,,.,All-girls school; open to students and residents of Manhattan,.,Algebra I,.,.,.,.
718-392-5402,Q078Z,.,,,,.,.,.,,.,,.,30,.,.,No,.,40.744753,.,.,.,.,51.0,.,Zoned,.,,.,.,,.,,.,English as a New Language,,,,.,Open to continuing 5th grade students and students residing in the elementary school zone,.,Algebra I,.,.,.,.
212-304-0853,M322M,,,Open to students and residents of District 6,19,.,.,.,2,.,,,6,,.,"Yes, The Children's Aid Society",.,40.86079,.,.,.,.,21.0,.,Screened: Language,.,,.,.,50,.,Attendance at an Open House/School Tour,.,"English as a New Language, Dual Language: Spanish, Transitional Bilingual Education: Spanish",Then to students and residents of District 6.,17,,.,Open to students and residents of District 6,.,"Algebra I, Living Environment",.,,.,
718-991-4027,X448L,.,.,,,.,.,.,,.,,,8,.,.,"Yes, ASPIRA of New York, Inc.",.,40.823526,.,.,.,.,20.0,.,Limited Unscreened,.,,.,.,,.,,.,"English as a New Language, Dual Language: Spanish",,112,Then to students and residents of District 8 who sign in at an event,.,Open to students and residents of District 8,.,"Algebra I, Living Environment",.,.,.,.
212-567-3164,M293L,,,,,.,.,.,,.,,,6,,.,No,.,40.86079,.,.,.,.,43.0,.,Limited Unscreened,.,,.,.,,.,,.,English as a New Language,,81,,.,Open to students and residents of District 6,.,"Algebra I, English, Living Environment, US History",.,,.,
718-528-9053,Q138U,,,,,.,.,.,,.,,,29,,.,No,.,40.659728,,.,.,.,9.0,.,Open,.,,,.,,.,,.,English as a New Language,,48,Then to students and residents of District 29.,.,Open to students and residents of District 29,.,"Algebra I, Living Environment",.,,.,
718-338-9201,K099Z,,,,,.,.,.,,.,,,21,,.,No,.,40.621565,.,.,.,.,34.0,.,Zoned,.,,.,.,,.,,.,English as a New Language,,,,.,Open to continuing 5th grade students and students residing in the zone,.,"Algebra I, Earth Science",.,,.,
212-757-4343,M191S,.,,,,.,.,.,,.,,.,3,.,.,No,.,40.771925,.,.,.,.,6.0,.,Screened,.,,.,.,,.,,.,English as a New Language,,43,Then to students and residents of District 3.,.,Open to students and residents of District 3,.,Living Environment,.,.,.,.
718-583-5501,X390L,,,Open to students and residents of the Bronx,6,.,.,.,6,.,,,10,,.,No,.,40.854701,,.,.,.,14.0,.,Limited Unscreened,.,M.S. 390 Zoned Program,,.,23,.,,.,"English as a New Language, Dual Language: Spanish, Transitional Bilingual Education: Spanish",,60,Then to students and residents of District 10,.,Open to students and residents of Districts 9 and 10,.,"Algebra I, Living Environment, US History",.,,.,
718-589-4844,X217U,,.,,,.,.,.,,.,,.,12,.,.,"Yes, Leake and Watts Services, Inc.",.,40.822443,.,.,.,.,9.0,.,Open,.,,.,.,,.,,.,English as a New Language,,121,Then to students and residents of the Bronx.,.,Open to students and residents of the Bronx,.,,.,,.,.
212-571-9268,M289S,.,,,,.,.,.,,.,,.,2,.,.,No,.,40.716668,.,.,.,.,65.0,.,Screened,.,,.,.,,.,,.,English as a New Language,,60,,.,Open to students and residents of District 2,.,,.,.,.,.
917-326-6609,M347M,.,,,,.,.,.,,.,,.,2,.,.,No,.,40.738548,.,.,.,.,19.0,.,Screened,.,,.,.,,.,,.,English as a New Language,,47,,.,Open to New York City residents,.,,.,.,.,.
212-266-5800,M276L,.,,,,.,.,.,,.,,.,2,.,.,No,.,40.70644,.,.,.,.,66.0,.,Limited Unscreened,.,,.,.,,.,,.,English as a New Language,,53,Then to students residing in the elementary school zone,.,Open to students and residents of District 2,.,"Algebra I, Living Environment, Spanish",.,.,.,.
718-544-1083,Q164U,.,.,,,.,.,.,,.,,,25,.,.,No,.,40.720924,.,.,.,.,53.0,.,Open,.,,.,.,,.,,.,English as a New Language,,44,Then to students and residents of District 25.,.,Open to students and residents of District 25,.,"Algebra I, Earth Science, US History",.,.,.,.
718-585-2950,X301U,.,.,,,.,.,.,,.,,,8,.,.,"Yes, The Children's Aid Society",.,40.822474,.,.,.,.,5.0,.,Open,.,,.,.,,.,,.,English as a New Language,,52,Then to students and residents of the Bronx.,.,Open to students and residents of the Bronx,.,,.,.,.,.
212-267-5701,M332R,.,,Open to students and residents of District 1,21,.,.,.,2,.,,.,1,.,.,No,.,40.713684,.,.,.,.,6.0,.,Screened,.,,.,.,64,.,,.,English as a New Language,,42,,.,Open to students and residents of District 1,.,,.,.,.,.
718-342-7563,K588L,.,.,,,.,.,.,,.,,,18,.,.,"Yes, Urban Arts Partnership",.,40.658295,.,.,.,.,8.0,.,Limited Unscreened,.,,.,.,,.,,.,English as a New Language,,30,Then to students and residents of District 18 who sign in at an event,.,Open to students and residents of District 18,.,,.,.,.,.
718-333-7850,K468U,,,,,.,.,.,,.,,,21,,.,No,.,40.594291,.,.,.,.,29.0,.,Open,.,,.,.,,.,,.,English as a New Language,,87,,.,"Open to students and residents of Districts 20, 21 & 31",.,"Algebra I, Spanish",.,,.,
718-991-7490 ext. 236,X131U,.,.,,,.,.,.,,.,,,8,.,.,"Yes, ASPIRA of New York, Inc.",.,40.823526,.,.,.,.,11.0,.,Open,.,,.,.,,.,,.,English as a New Language,,98,,.,Open to students and residents of District 8,.,Algebra I,.,.,.,.
718-647-0111,K171U,.,,,,.,.,.,,.,,.,19,.,.,No,.,40.68618,.,.,.,.,10.0,.,Open,.,,.,.,,.,,.,"English as a New Language, Transitional Bilingual Education: Spanish",,46,,.,Open to students and residents of District 19,.,,.,.,.,.
718-294-8111,X327U,,,,,.,.,.,,.,,,9,,.,No,.,40.842495,,.,.,.,41.0,.,Open,.,,,.,,.,,.,English as a New Language,,216,,.,Open to students and residents of Districts 9 and 10,.,"Algebra I, Living Environment",.,,.,
718-447-8323,R048U,,.,,,.,.,.,,.,,.,31,.,.,No,.,40.603484,.,.,.,.,59.0,.,Open,.,,.,.,,.,,.,English as a New Language,,103,Then to students and residents of District 31.,.,Open to students and residents of District 31,.,Algebra I,.,,.,.
212-860-5992,M964U,.,.,,,.,.,.,,.,,,4,.,.,"Yes, The Children's Aid Society",.,40.785258,.,.,.,.,11.0,.,Open,.,,.,.,,.,,.,English as a New Language,,47,Then to students and residents of District 4.,.,Open to students and residents of District 4,.,,.,.,.,.
718-782-2527,K126U,.,.,,,.,.,.,,.,,,14,.,.,"Yes, St. Nick's Alliance",.,40.719819,.,.,.,.,19.0,.,Open,.,,.,.,,.,,.,English as a New Language,,86,,.,Open to students and residents of District 14,.,"Algebra I, Living Environment",.,.,.,.
718-941-5097,K352U,.,.,,,.,.,.,,.,,,17,.,.,"Yes, Sports and Arts in Schools Foundation, Inc.",.,40.665035,.,.,.,.,13.0,.,Open,.,,.,.,,.,,.,English as a New Language,,53,Then to students and residents of Brooklyn.,.,Open to students and residents of Brooklyn,.,,.,.,.,.
718-445-3232,Q185U,.,.,,,.,.,.,,.,,,25,.,.,No,.,40.775253,.,.,.,.,65.0,.,Open,.,,.,.,,.,,.,"English as a New Language, Dual Language: Chinese",,140,Then to students and residents of Districts 25 and 28.,.,Open to students and residents of Districts 25 and 28,.,"Algebra I, Living Environment, US History",.,.,.,.
718-369-7603,K051M,.,.,,,.,.,.,,.,,,15,.,.,No,.,40.672015,.,.,.,.,79.0,.,Open,.,,.,.,,.,,.,English as a New Language,,329,,.,Open to students and residents of District 15,.,"Algebra I, Living Environment",.,.,.,.
718-794-9749,X144U,Zoned,,Open to students and residents of District 11,6,.,.,.,11,.,35,,11,,.,No,.,40.863735,,.,.,.,9.0,.,Open,.,Academy of Math and Science,,.,67,.,,.,English as a New Language,Then to students and residents of District 11.,27,,.,Open to students and residents of District 11,.,"Algebra I, Living Environment",.,,.,
718-564-2540,K543M,.,.,,,.,.,.,,.,,,17,.,.,No,.,40.649787,.,.,.,.,45.0,.,Screened,.,,.,.,,.,Interview,.,English as a New Language,,115,,.,Open to students and residents of Brooklyn,.,"Algebra I, English, French, Living Environment, US History",.,.,.,.
631-729-1006,Q379U,.,.,,,.,.,.,,.,,,25,.,.,No,.,40.785327,.,.,.,.,,.,Open,.,,.,.,,.,,.,English as a New Language,,51,,.,Open to students and residents of District 25,.,"Algebra I, Living Environment",.,.,.,.
718-851-8070,K180A,,,Open to students and residents of District 20,4,.,.,.,16,.,,Punctuality,20,,.,No,.,40.627029,.,.,.,.,61.0,.,Composite Score,.,The SEEALL Academy Zoned Program,.,.,39,.,Punctuality: 5%,.,"English as a New Language, Transitional Bilingual Education: Spanish",,54,,.,Open to students and residents of District 20,.,"Algebra I, Earth Science",.,,.,
718-621-5730,K686A,,,,,.,.,.,,.,,,20,,.,No,.,40.60731,.,.,.,.,90.0,.,Composite Score,.,,.,.,,.,Final 4th Grade Report Card: 35%,.,English as a New Language,,107,,.,Open to New York City residents,.,"Algebra I, Living Environment, Spanish",.,,.,
718-994-1028,X370U,,,,,.,.,.,,.,,,11,,.,"Yes, Phipps Neighborhoods Inc",.,40.880873,,.,.,.,4.0,.,Open,.,,,.,,.,,.,English as a New Language,,101,Then to students and residents of the Bronx.,.,Open to students and residents of the Bronx,.,Algebra I,.,,.,
212-524-4360,M260S,.,,,,.,.,.,,.,,.,2,.,.,No,.,40.736518,.,.,.,.,77.0,.,Screened,.,,.,.,,.,,.,English as a New Language,,83,,.,Open to students and residents of District 2,.,"Algebra I, Earth Science",.,.,.,.
212-281-6339,M514L,,.,,,.,.,.,,.,,.,5,.,.,No,.,40.819481,.,.,.,.,5.0,.,Limited Unscreened,.,,.,.,,.,,.,English as a New Language,,43,,.,Open to students and residents of District 5,.,,.,,.,.
718-405-6300,X080M,,,Open to students and residents of the Bronx,24,.,.,.,3,.,,,10,,.,"Yes, Center for Supportive Schools",.,40.876299,,.,.,.,15.0,.,Screened: Language,.,,,.,105,.,,.,"English as a New Language, Transitional Bilingual Education: Spanish",Then to students and residents of District 10,57,,.,Open to students and residents of the Bronx,.,,.,,.,
212-678-2849,M180S,.,,,,.,.,.,,.,,.,3,.,.,No,.,40.807843,.,.,.,.,15.0,.,Screened,.,,.,.,,.,,.,"English as a New Language, Dual Language: Spanish",,24,Then to students and residents of District 3.,.,Open to students and residents of District 3,.,Living Environment,.,.,.,.
718-727-6040,R049A,,.,Open to students residing in the zone,,.,.,.,,.,,.,31,.,.,"Yes, Jewish Community Center",.,40.620347,.,.,.,.,13.0,.,Composite Score,.,,.,.,,.,Punctuality 5%,.,English as a New Language,,39,,.,Open to students and residents of District 31,.,"Algebra I, Spanish",.,,.,.
212-219-1204,M131M,.,Academic and Personal Behaviors,Open to students and residents of District 2,9,.,.,.,6,.,17,.,2,.,.,No,.,40.716553,.,.,.,.,53.0,.,Screened,.,M.S. 131 Mandarin Dual Language Program,.,.,23,.,,.,"English as a New Language, Dual Language: Chinese, Transitional Bilingual Education: Chinese",,66,,.,Open to students and residents of District 2,.,"Algebra I, Earth Science",.,.,.,.
718-515-9370,X020U,,,,,.,.,.,,.,,,10,,.,No,.,40.870002,,.,.,.,18.0,.,Open,.,,,.,,.,,.,English as a New Language,,117,Then to students and residents of District 10.,.,Open to students and residents of District 10,.,,.,,.,
718-584-1295,X391L,,,Open to students residing in the zone,,.,.,.,,.,,,10,,.,"Yes, Replications Incorporated",.,40.854493,,.,.,.,6.0,.,Limited Unscreened,.,,,.,,.,,.,"English as a New Language, Transitional Bilingual Education: Spanish",,42,Then to students and residents of District 10,.,Open to students and residents of the Bronx,.,,.,,.,
718-267-2839,Q286M,.,,,,.,.,.,,.,,.,30,.,.,No,.,40.771215,.,.,.,.,58.0,.,Screened,.,,.,.,,.,,.,English as a New Language,,54,,.,All-girls school; open to students and residents of Queens,.,"Algebra I, Living Environment, Spanish, US History",.,.,.,.
718-278-6403,Q141L,.,,Open to students residing in the zone,,.,.,.,,.,,.,30,.,.,No,.,40.775589,.,.,.,.,53.0,.,Limited Unscreened,.,,.,.,,.,,.,English as a New Language,,85,,.,Open to students and residents of District 30,.,"Algebra I, Living Environment",.,.,.,.
718-324-1924,X019U,,,,,.,.,.,,.,,,11,,.,No,.,40.899295,,.,.,.,49.0,.,Open,.,,,.,,.,,.,English as a New Language,,,Then to students and residents of District 11,.,Open to students and residents of District 11,.,Algebra I,.,,.,
718-574-0361,K291M,,,Open to students residing in the zone,,.,.,.,,.,,,32,,.,"Yes, Wediko Children's Services",.,40.695362,,.,.,.,7.0,.,Screened,.,,,.,,.,Writing Assignment,.,"English as a New Language, Transitional Bilingual Education: Spanish",,58,,.,Open to students and residents of Brooklyn,.,"Algebra I, Living Environment",.,,.,
718-922-3505,K066U,.,.,,,.,.,.,,.,,,18,.,.,No,.,40.64883,.,.,.,.,20.0,.,Open,.,,.,.,,.,,.,English as a New Language,,50,,.,Open to Student and Residents of District 18,.,Living Environment,.,.,.,.
718-617-5046,X367L,.,.,,,.,.,.,,.,,,8,.,.,No,.,40.814833,.,.,.,.,11.0,.,Limited Unscreened,.,,.,.,,.,,.,English as a New Language,,77,,.,Open to students and residents of District 8,.,Living Environment,.,.,.,.
718-495-7781,K323U,,.,,,.,.,.,,.,,.,23,.,.,No,.,40.666545,.,.,.,.,12.0,.,Open,.,,.,.,,.,,.,English as a New Language,,71,,.,Open to students and residents of District 23,.,,.,,.,.
718-591-9000,Q250U,.,.,,,.,.,.,,.,,,25,.,.,No,.,40.724458,.,.,.,.,28.0,.,Open,.,,.,.,,.,,.,English as a New Language,,71,Then to students and residents of Districts 25 and 28.,.,Open to students and residents of Districts 25 and 28,.,Living Environment,.,.,.,.
718-697-8488,R007Z,,.,,,.,.,.,,.,,.,31,.,.,No,.,40.523757,.,.,.,.,59.0,.,Zoned,.,,.,.,,.,,.,English as a New Language,,,,.,Open to students residing in the zone,.,"Algebra I, Living Environment, US History",.,,.,.
