building_location,community_district,census_tract,street_name,address_number,other_required,public_space_type,permitted_amenities,principal_public_space
Pearl Street bounded by Avenue of the Finest and Madison Street,1,29.0,PEARL STREET,375,Light Sculpture,Arcade; Plaza,,; Starr Whitehouse Landscape Architects & Planners PLLC (Design Change and Arcade Reduction 11/06/2017)
East side of Third Avenue between East 17th and 18th Streets,6,48.0,EAST 17 STREET,201,,Plaza,,Philip Birnbaum
"Full block bounded by Nassau, Broadway, Cedar Street, and Liberty Street",1,7.0,BROADWAY,140,,Plaza,Other Permitted,"Skidmore, Owings & Merrill; Alta Planning & Design (for alteration in 2012)"
South side of West 57th Street between Fifth and Sixth Avenues,5,112.01,WEST 57 STREET,40,,Plaza; Through Block Arcade,,Jack Brown
West side of Jay Street between Willoughby Street and Tech Place,2,11.0,JAY STREET,350,,Plaza and Plaza Connected Open Space; Urban Plaza,Other Permitted,William B. Tabler Architects/Office of William B. Kuhl; William B. Tabler Architects/Moss Gilday Group (for alteration in 2003)
,2,273.02,BRIELLE AVENUE,475,,Publicly Accessible Open Space,,
"Full block bound by Sands Street, Jay Street, High Street, and Pearl Street.",2,13.0,SANDS STREET,90,,Plaza,,
South side of East 80th Street between Third and Lexington Avenues,8,140.0,EAST 80 STREET,178,,Plaza,,Philip Birnbaum
"Northeast corner of Second Avenue and East 79th Street. Original BBL: 1542/1101-1545,12,49.",8,138.0,EAST 79 STREET,301,,Plaza,,M. Paul Friedberg; Bill Bott and Mathews Nielsen (for alteration in 2003)
Southwest corner of East 42nd Street and Park Avenue,5,82.0,PARK AVENUE,120,special exhibition area adjacent to Covered Pedestrian Space used by Whitney Museum of American Art with changing exhibits about six times a year,Arcade; Covered Pedestrian Space,,Ulrich Franzen
Southeast corner of Albany Street and Washington Street,1,13.0,WASHINGTON STREET,123,kiosk provided,Urban Plaza,,Thomas Balsley Associates
East side of Fifth Avenue between East 41st and 42nd Streets,5,82.0,FIFTH AVENUE,489,,Arcade,,Kahn and Jacobs
"Block bounded by Jackson Avenue, 45th Avenue, 23rd Street, and 44th Drive",2,19.0,COURT SQUARE,1,,Landscaped Public Open Space; Pedestrian Circulation Space,,"Skidmore, Owings & Merrill"
Full blockfront on west side of Sixth Avenue between West 41st and 42nd Streets,5,113.0,SIXTH AVENUE,1095,,Special Permit Plaza; Subway Concourse,,Kahn and Jacobs; Bonsignore Brignati & Mazzotta (for alteration in 1989); Moed de Armas & Shannon (for alteration in 2010)
Observation wheel and parking garage on northern commuter lot at the St. George ferry terminal.,1,7.0,RICHMOND TERRACE,155,,,,MPFP
West side of Second Avenue between East 54th and 55th Streets,6,108.0,EAST 54 STREET,245,video surveillance cameras,Plaza; Residential Plaza,Open Air Cafe,Sidney Philip Gilbert & Associates
"Full blockfront east side of Sixth Avenue between West 27th Street and West 26th Street. Original BBL: 828/1,4,5,74,77,80.",5,58.0,SIXTH AVENUE,776,Yes,Urban Plaza,,Thomas Balsley Associates
North side of West 57th Street between Eighth and Ninth Avenues,4,139.0,WEST 57 STREET,347,,Plaza,,Philip Birnbaum
Southeast corner of First Avenue and East 56th Street,6,106.01,EAST 56 STREET,400,,Arcade; Plaza,,Philip Birnbaum
South side of East 58th Street between Sutton Place South and First Avenue,6,106.01,EAST 58 STREET,410,,Plaza,,Max Wechsler
South of East 93rd Street between Second Avenue and Third Avenue,8,154.0,EAST 92 STREET,205,skylight,Non-Bonused Open Area; Public Plaza,,Starr Whitehouse Landcape
,6,88.0,FIRST AVENUE,685,,Public Access Area,,
East side of Fifth Avenue between East 56th and 57th Streets,5,112.02,FIFTH AVENUE,725,"Landscaped Terrace (Fifth Floor), Passageway: multiple pedestrian connections to Niketown; skylight",Covered Pedestrian Space; Landscaped Terraces; Passageway,,Swanke Hayden Connell Architects; Thomas Balsley Associates
,4,103.0,WEST 33 STREET,450,,Public Access Area,,Field Operations
Full blcokfront on west side of Third Avenue between East 64th and 65th Streets,8,120.0,EAST 65 STREET,160,,Plaza,,Emery Roth & Sons
North side of East 72nd Street between First and Second Avenues,8,126.0,EAST 72 STREET,353,,Arcade; Plaza,,Max Wechsler
West side of Third Avenue between East 39th and 40th Streets,6,80.0,THIRD AVENUE,600,,Arcade; Plaza,,Emery Roth & Sons
Southeast corner of First Avenue and East 54th Street,6,86.03,EAST 54 STREET,400,,Plaza,,"H.I. Feldman/Schuman, Lichtenstein & Claman"
West side of Seventh Avenue between West 56th and 57th Streets,5,137.0,SEVENTH AVENUE,888,,Plaza,,Emery Roth & Sons; Thomas Balsley Associates (for alteration)
Full blockfront on east side of First Avenue between East 70th and 71st Streets,8,124.0,EAST 71 STREET,400,,Plaza,,"Schuman, Lichtenstein, Claman"
Southwest corner of Ryder's Alley and Eden's Alley,1,15.02,CLIFF STREET,15,,Urban Plaza,Open Air Cafe,Avinash K. Malhotra; Weintraub Diaz Landscape Architecture PLLC (2016 design change)
Full blocks between Seventh and Eighth Avenues and West 31st and 33rd Streets,5,101.0,PENNSYLVANIA PLAZA,2,,Plaza (C6-2); Plaza (C6-4),,Charles Luckman
South side of East 72nd Street between FDR Drive and York Avenue. Original BBL: 1483/1001-1147.,8,124.0,EAST 72 STREET,524,,Residential Plaza,,Frank Williams & Associates
Northwest corner of East 50th Street and Lexington Avenue,5,100.0,LEXINGTON AVENUE,560,,Arcade; Covered Pedestrian Space; Public Access Area,,The Eggers Group; Skidmore Owings and Merrill LLP (for alteration in 2014)
Southeast corner of First Avenue and East 70th Street,8,124.0,EAST 70 STREET,400,,Residential Plaza,,Quennell Rothschild Associates
Southwest corner of Broadway and Exchange Alley,1,13.0,BROADWAY,55,,Other Public Access Areas; Urban Plaza,,Fox & Fowle; Abel Bainsson and Butz (for alteration in 2010)
Full blockfront on west side of First Avenue between East 92nd and 93rd Streets,8,154.0,EAST 93 STREET,340,"treatment of building walls with decorative lattice screen and stucco wall surfacing on East 92nd Street and East 93rd Street, gazebo in area adjacent to garage entrance on East 93rd Street",Residential Plaza,,Weintraub & di Domenico; William Q. Brothers III Architect (for alteration in 2010)
,8,238.01,WEST LOOP ROAD,2,,Public Access Area,,James Corner Field Operations
East side of Bowery between Delancey Street and Rivington Street,3,18.0,BOWERY,189,,Public Plaza,,"The Stephen B. Jacobs Group, Abel Bainnson Butz, LLP"
Northeast corner of Second Avenue and East 43rd Street,6,88.0,EAST 43 STREET,303,,Residential Plaza,,Avinash Malhotra
Northeast corner of East 42nd Street and Third Avenue,6,88.0,EAST 42 STREET,201,,Plaza,,Ted Moudis Associates [2000 Sources: Emery Roth & Sons]
West side of Broadway between West 47th Street and West 48th Street,5,125.0,BROADWAY,1585,,Through Block Connection,,
West side of Sixth Avenue between West 49th and 50th Streets,5,125.0,SIXTH AVENUE,1251,,Plaza,,Harrison and Abramovitz
North corner of Maiden Lane and William Street,1,15.02,MAIDEN LANE,59,,Arcade; Plaza,,Alfred Easton Poor Architects; Kohn Pedersen Fox (for alteration)
East side of Madison Avenue between East 49th and 50th Streets,5,102.0,MADISON AVENUE,437,,Arcade; Plaza,,M. Paul Friedberg; MPFP LLC (for alteration in 2014)
Full block bounded by Broadway and Seventh Avenue and West 39th and 40th Streets,5,113.0,BROADWAY,1411,,Arcade; Plaza,,Irwin Chanin; Moed de Armas & Shannon Architects (for alteration in 2014)
Full block bounded by Sixth and Seventh Avenues and West 51st and 52nd Streets,5,131.0,SIXTH AVENUE,1285,,Pedestrian Circulation Space; Sidewalk Widening; Through Block Galleria; Urban Plaza,,"Skidmore, Owings & Merrill/Edward Larrabee Barnes Associates"
South side of West 56th Street between Eighth and Ninth Avenues,4,139.0,WEST 56 STREET,330,,Arcade; Plaza,,Schuman Lichtenstein & Claman
,9,219.0,WEST 131 STREET,614,,Grove; Large Square; Midblock Open Area; Small Square,,
West side of Sixth Avenue between West 52nd and 53rd Streets,5,131.0,SIXTH AVENUE,1301,,Arcade; Plaza,,Shreve Lamb Harmon Associates
"North side of West 55th Street and south side of West 56th Street between Sixth Avenue and Seventh Avenue. Additional lots: 1008/19, 21, 22, 25 & 44.",5,137.0,WEST 55 STREET,125,,Through Block Connection,,Edward Larrabee Barnes
Southeast corner of East 32nd Street and Park Avenue South,5,72.0,PARK AVENUE SOUTH,475,,Arcade; Plaza,,"Shreve, Lamb & Harmon"
North side of East 57th Street between Lexington and Park Avenues,5,112.03,EAST 57 STREET,115,skylight,Covered Pedestrian Space,Other Permitted,David Kenneth Specter
Southeast corner of Lexington Avenue and East 37th Street,6,80.0,LEXINGTON AVENUE,285,,Variance Arcade,,Harry F. Green
East side of Third Avenue between East 32nd and 33rd Streets,6,70.0,EAST 33 STREET,200,,Plaza,,"Philip Birnbaum/Schuman, Lichtenstein & Claman"
