dsny_district,partnerstatus,categoriesaccepted,dsny_zone,hours,additionalmaterialinformation,email,categoriesavailable,rank,dense_rank
BKN03,,"Clothing/Personal Accessories, Footwear",BKN,,,info@helpsy.co,,1,3
BKN08,,"Arts/Crafts, Books/Media, Clothing/Personal Accessories, Electronics, Food/Beverage, Footwear, Cleaning Products, Personal Care/Hygiene",BKN,"Monday 11:00 AM-07:30 PM, Tuesday 11:00 AM-07:30 PM, Wednesday 11:00 AM-07:30 PM, Thursday 11:00 AM-07:30 PM, Friday 11:00 AM-07:30 PM, Saturday 11:00 AM-07:30 PM, Sunday Closed",,celestecameron@anchorhouseinc.com,,1,3
BKN05,,"Arts/Crafts, Books/Media, Clothing/Personal Accessories, Electronics, Food/Beverage, Footwear, Household Furniture/Furnishings, Lawn/Garden Supplies, Musical Instruments, Office Furniture/Furnishings, Office Supplies/Stationary, Sports Equipment, Toys/Ga",BKN,,,earroyo@grandsettlment.org,,1,3
QW09,,"Clothing/Personal Accessories, Footwear",QW,,,info@usagain.com,,1,1
QW09,,"Clothing/Personal Accessories, Food/Beverage, Footwear, Baby Care, Cleaning Products, Household Furniture/Furnishings, Personal Care/Hygiene, Pet Care/Food",QW,"Monday 10:00 AM-08:00 PM, Tuesday 10:00 AM-08:00 PM, Wednesday 10:00 AM-08:00 PM, Thursday 10:00 AM-08:00 PM, Friday 10:00 AM-08:00 PM, Saturday 10:00 AM-06:00 PM, Sunday Closed",,contact@calvarymission.com,"Clothing/Personal Accessories, Food/Beverage, Footwear, Baby Care, Cleaning Products, Household Furniture/Furnishings, Personal Care/Hygiene, Pet Care/Food",1,1
QW01,,"Clothing/Personal Accessories, Footwear",QW,,,info@usagain.com,,1,1
SI01,,"Clothing/Personal Accessories, Footwear",SI,,,info@recyclingtech.com,,1,1
SI01,,,SI,"Monday Closed, Tuesday 11:00 AM-07:00 PM, Wednesday 11:00 AM-07:00 PM, Thursday 11:00 AM-07:00 PM, Friday 11:00 AM-07:00 PM, Saturday 11:00 AM-07:00 PM, Sunday 11:00 AM-04:00 PM",,clothing@etgstores.com,"Clothing/Personal Accessories, Footwear",1,1
SI01,,,SI,"Monday Closed, Tuesday 11:00 AM-07:00 PM, Wednesday 11:00 AM-07:00 PM, Thursday 11:00 AM-07:00 PM, Friday 11:00 AM-07:00 PM, Saturday 11:00 AM-07:00 PM, Sunday 11:00 AM-04:00 PM",,clothing@etgstores.com,"Clothing/Personal Accessories, Footwear",1,1
SI02,,"Clothing/Personal Accessories, Footwear",SI,,,pickup@carecyclecares.com,,1,1
SI02,,,SI,"Monday 12:00 PM-07:00 PM, Tuesday 12:00 PM-07:00 PM, Wednesday 12:00 PM-07:00 PM, Thursday 12:00 PM-07:00 PM, Friday 12:00 PM-07:00 PM, Saturday 12:00 PM-07:00 PM, Sunday 12:00 PM-07:00 PM",,George.barreto@chasiny.org,Food/Beverage,2,1
SI02,,,SI,"Monday 12:00 PM-07:00 PM, Tuesday 12:00 PM-07:00 PM, Wednesday 12:00 PM-07:00 PM, Thursday 12:00 PM-07:00 PM, Friday 12:00 PM-07:00 PM, Saturday 12:00 PM-07:00 PM, Sunday 12:00 PM-07:00 PM",,George.barreto@chasiny.org,Food/Beverage,2,1
SI02,,,SI,"Monday 12:00 PM-07:00 PM, Tuesday 12:00 PM-07:00 PM, Wednesday 12:00 PM-07:00 PM, Thursday 12:00 PM-07:00 PM, Friday 12:00 PM-07:00 PM, Saturday 12:00 PM-07:00 PM, Sunday 12:00 PM-07:00 PM",,George.barreto@chasiny.org,Food/Beverage,2,1
SI03,,"Automotive, Pet Care/Food, Appliances, Cleaning Products, Storage/Haulage Containers, Tools/Equipment",SI,"Monday 10:00 AM-10:00 PM, Tuesday 10:00 AM-10:00 PM, Wednesday 10:00 AM-10:00 PM, Thursday 10:00 AM-10:00 PM, Friday 10:00 AM-10:00 PM, Saturday 10:00 AM-10:00 PM, Sunday 10:00 AM-10:00 PM",,donate@nycacc.org,,1,1
SI03,,Clothing/Personal Accessories,SI,,,dennis.mckeon@where-to-turn.org,,1,1
SI03,,Clothing/Personal Accessories,SI,,,dennis.mckeon@where-to-turn.org,,1,1
QE07,,"Clothing/Personal Accessories, Footwear",QE,,,info@usagain.com,,1,1
QE07,,"Clothing/Personal Accessories, Footwear",QE,,,tf@mycountyrecycling.org,,2,1
QE07,,"Clothing/Personal Accessories, Footwear",QE,,,tf@mycountyrecycling.org,,2,1
QE07,,"Clothing/Personal Accessories, Footwear",QE,,,tf@mycountyrecycling.org,,2,1
QE12,,"Clothing/Personal Accessories, Footwear",QE,,,no@email.com,,1,1
QE13,,Clothing/Personal Accessories,QE,"Monday 12:00 PM-08:00 PM, Tuesday 12:00 PM-08:00 PM, Wednesday 12:00 PM-08:00 PM, Thursday 12:00 PM-08:00 PM, Friday 12:00 PM-08:00 PM, Saturday 12:00 PM-08:00 PM, Sunday 12:00 PM-08:00 PM",,lovecovenantcogic@gmail.com,Clothing/Personal Accessories,1,1
QE08,,"Appliances, Arts/Crafts, Books/Media, Clothing/Personal Accessories, Electronics, Food/Beverage, Footwear, Musical Instruments, Office Furniture/Furnishings, Toys/Games",QE,,,info@indiahome.org,"Books/Media, Clothing/Personal Accessories, Food/Beverage, Footwear, Toys/Games",1,1
BX01,,"Baby Care, Building Products, Cleaning Products, Clothing/Personal Accessories, Food/Beverage, Footwear, Kitchen Items, Lawn/Garden Supplies, Office Supplies/Stationary, Personal Care/Hygiene, Tools/Equipment",BX,,,brianlyons295@gmail.com,"Clothing/Personal Accessories, Food/Beverage, Personal Care/Hygiene",1,1
BX11,,"Clothing/Personal Accessories, Footwear",BX,,,info@helpsy.co,,1,1
BX11,,HealthCare,BX,,,gumbel@optonline.net,,1,1
BX11,,HealthCare,BX,,,gumbel@optonline.net,,1,1
BX06,,Food/Beverage,BX,"Monday Closed, Tuesday 12:00 PM-08:00 PM, Wednesday 12:00 PM-08:00 PM, Thursday 12:00 PM-08:00 PM, Friday 12:00 PM-08:00 PM, Saturday 12:00 PM-08:00 PM, Sunday 12:00 PM-06:30 PM",,libresporcristo@aol.com,Food/Beverage,1,1
BX06,,"Clothing/Personal Accessories, Footwear",BX,,,info@helpsy.co,,2,1
BX12,,"Appliances, Sports Equipment, Personal Care/Hygiene, Office Supplies/Stationary, Office Furniture/Furnishings, Musical Instruments, Kitchen Items, Household Furniture/Furnishings, HealthCare, Footwear, Food/Beverage, Electronics, Clothing/Personal Access",BX,,,hosuji@africanicc.com,,1,1
MN12,,"Clothing/Personal Accessories, Footwear",MN,,,info@helpsy.co,,1,1
MN03,,,MN,,,info@countryof.com,Clothing/Personal Accessories,1,1
MN03,,,MN,"Friday 8:00 AM-8:00 PM, Thursday 8:00 AM-8:00 PM, Wednesday 8:00 AM-8:00 PM, Tuesday 8:00 AM-8:00 PM, Monday 8:00 AM-8:00 PM, Sunday 2:00 PM-4:00 PM, Wednesday Closed, Friday Closed, Thursday Closed, Saturday Closed, Tuesday Closed, Monday Closed, Saturd",,auh20shop@gmail.com,"Clothing/Personal Accessories, Footwear",1,1
MN02,Partner,"Books/Media, Clothing/Personal Accessories, Household Furniture/Furnishings, Kitchen Items, Footwear, Arts/Crafts, Musical Instruments, Office Furniture/Furnishings",MN,,,info@housingworks.org,"Books/Media, Clothing/Personal Accessories, Household Furniture/Furnishings, Kitchen Items, Footwear, Arts/Crafts, Musical Instruments, Office Furniture/Furnishings",1,1
MN02,Partner,"Books/Media, Clothing/Personal Accessories, Household Furniture/Furnishings, Kitchen Items, Footwear, Arts/Crafts, Musical Instruments, Office Furniture/Furnishings",MN,,,info@housingworks.org,"Books/Media, Clothing/Personal Accessories, Household Furniture/Furnishings, Kitchen Items, Footwear, Arts/Crafts, Musical Instruments, Office Furniture/Furnishings",1,1
MN02,,,MN,,,info@ifixscreens.com,,1,1
BKS07,Partner,"Food/Beverage, Baby Care",BKS,"Monday 9:00 AM-5:00 PM, Tuesday 9:00 AM-5:00 PM, Wednesday 9:00 AM-5:00 PM, Thursday 9:00 AM-5:00 PM, Friday 9:00 AM-5:00 PM, Saturday Closed, Sunday Closed",Only non-perishable food is accepted,fooddonations@cityharvest.org,Baby Care,1,1
BKS18,,,BKS,,Please call in advance to make an appointment for pick-up.,Info@metcouncil.org,Food/Beverage,1,2
BKS06,,,BKS,,,instagram@noemail.com,Books/Media,1,3
