dsny_district,partnerstatus,dsny_zone,categoriesaccepted,hours,categoriesavailable,email,rank,dense_rank
QW01,,QW,"Clothing/Personal Accessories, Footwear",,,info@usagain.com,1,2
BKS18,,BKS,,,Food/Beverage,Info@metcouncil.org,1,1
BKS06,,BKS,,,Books/Media,instagram@noemail.com,1,2
BKS07,Partner,BKS,"Food/Beverage, Baby Care","Monday 9:00 AM-5:00 PM, Tuesday 9:00 AM-5:00 PM, Wednesday 9:00 AM-5:00 PM, Thursday 9:00 AM-5:00 PM, Friday 9:00 AM-5:00 PM, Saturday Closed, Sunday Closed",Baby Care,fooddonations@cityharvest.org,1,2
BKN01,,BKN,"Clothing/Personal Accessories, Footwear",,,tf@mycountyrecycling.org,1,1
BKN01,,BKN,"Arts/Crafts, Baby Care, Clothing/Personal Accessories, Food/Beverage, Footwear, Musical Instruments, Office Supplies/Stationary, Personal Care/Hygiene, Sports Equipment, Toys/Games","Sunday Closed, Saturday 12:00 PM-7:00 PM, Friday 12:00 PM-12:00 PM, Thursday 12:00 PM-7:00 PM, Wednesday 12:00 PM-7:00 PM, Tuesday 12:00 PM-7:00 PM, Monday Closed",,dperez1978nun@yahoo.com,1,1
BKN01,,BKN,,,Books/Media,earwaxrec@gmail.com,1,1
BKN01,,BKN,Books/Media,,Books/Media,Blackspringbooks@gmail.com,1,1
BKN01,,BKN,,"Monday 09:00 AM-05:00 PM, Tuesday 09:00 AM-05:00 PM, Wednesday 09:00 AM-05:00 PM, Thursday 09:00 AM-05:00 PM, Friday 09:00 AM-05:00 PM, Saturday Closed, Sunday Closed",Books/Media,used@roughtrade.com,1,1
BKN01,,BKN,Books/Media,,Books/Media,Blackspringbooks@gmail.com,1,1
BKN04,,BKN,"Clothing/Personal Accessories, Footwear",,,info@usagain.com,1,1
BKN04,,BKN,"Clothing/Personal Accessories, Appliances, Kitchen Items, Footwear","Monday 08:00 AM-06:00 PM, Tuesday 08:00 AM-06:00 PM, Wednesday 08:00 AM-06:00 PM, Thursday 08:00 AM-06:00 PM, Friday 08:00 AM-06:00 PM, Saturday 10:00 AM-04:00 PM, Sunday Closed",,gboszeta@riseboro.org,1,1
BKN05,,BKN,"Arts/Crafts, Books/Media, Clothing/Personal Accessories, Electronics, Food/Beverage, Footwear, Household Furniture/Furnishings, Lawn/Garden Supplies, Musical Instruments, Office Furniture/Furnishings, Office Supplies/Stationary, Sports Equipment, Toys/Ga",,,earroyo@grandsettlment.org,1,2
BKN03,,BKN,,,,bikeplantnyc@gmail.com,1,2
BKN03,,BKN,"Arts/Crafts, Cleaning Products, Clothing/Personal Accessories, Food/Beverage, Footwear, HealthCare, Office Supplies/Stationary, Personal Care/Hygiene, Tools/Equipment",,,jborren@lgbtbrooklyn.org,1,2
BKN03,,BKN,"Clothing/Personal Accessories, Footwear",,,info@helpsy.co,1,2
BKN08,,BKN,"Arts/Crafts, Books/Media, Clothing/Personal Accessories, Electronics, Food/Beverage, Footwear, Cleaning Products, Personal Care/Hygiene","Monday 11:00 AM-07:30 PM, Tuesday 11:00 AM-07:30 PM, Wednesday 11:00 AM-07:30 PM, Thursday 11:00 AM-07:30 PM, Friday 11:00 AM-07:30 PM, Saturday 11:00 AM-07:30 PM, Sunday Closed",,celestecameron@anchorhouseinc.com,1,3
