site,total_cd_in_senate_11,councildist,ntaname,dsny_section,hours,email
Hope Gardens Multi-Service Senior Center,0.0,37.0,Bushwick (East),BKN042,"Monday 08:00 AM-06:00 PM, Tuesday 08:00 AM-06:00 PM, Wednesday 08:00 AM-06:00 PM, Thursday 08:00 AM-06:00 PM, Friday 08:00 AM-06:00 PM, Saturday 10:00 AM-04:00 PM, Sunday Closed",gboszeta@riseboro.org
Unity Plaza Community Center,0.0,42.0,East New York (North),BKN054,,earroyo@grandsettlment.org
Los Redimidos en la Sangre de Cristo,0.0,15.0,Belmont,BX061,"Monday Closed, Tuesday 12:00 PM-08:00 PM, Wednesday 12:00 PM-08:00 PM, Thursday 12:00 PM-08:00 PM, Friday 12:00 PM-08:00 PM, Saturday 12:00 PM-08:00 PM, Sunday 12:00 PM-06:30 PM",libresporcristo@aol.com
Staten Island Animal Care Center,0.0,51.0,,SI036,"Monday 10:00 AM-10:00 PM, Tuesday 10:00 AM-10:00 PM, Wednesday 10:00 AM-10:00 PM, Thursday 10:00 AM-10:00 PM, Friday 10:00 AM-10:00 PM, Saturday 10:00 AM-10:00 PM, Sunday 10:00 AM-10:00 PM",donate@nycacc.org
2275-2375 Richmond Ave,0.0,51.0,New Springville-Willowbrook-Bulls Head-Travis,SI024,,pickup@carecyclecares.com
950 Allerton Ave,0.0,13.0,Pelham Gardens,BX112,,info@helpsy.co
Clothing,0.0,49.0,St. George-New Brighton,SI012,"Monday Closed, Tuesday 11:00 AM-07:00 PM, Wednesday 11:00 AM-07:00 PM, Thursday 11:00 AM-07:00 PM, Friday 11:00 AM-07:00 PM, Saturday 11:00 AM-07:00 PM, Sunday 11:00 AM-04:00 PM",clothing@etgstores.com
Black Spring Books,0.0,34.0,Williamsburg,BKN012,,Blackspringbooks@gmail.com
iFixScreens Greenwich Village,0.0,2.0,,MN022,,info@ifixscreens.com
COUNTRY OF,0.0,1.0,Chinatown-Two Bridges,MN032,,info@countryof.com
AuH2O,0.0,2.0,East Village,MN033,"Friday 8:00 AM-8:00 PM, Thursday 8:00 AM-8:00 PM, Wednesday 8:00 AM-8:00 PM, Tuesday 8:00 AM-8:00 PM, Monday 8:00 AM-8:00 PM, Sunday 2:00 PM-4:00 PM, Wednesday Closed, Friday Closed, Thursday Closed, Saturday Closed, Tuesday Closed, Monday Closed, Saturd",auh20shop@gmail.com
City Harvest,0.0,38.0,,BKS073,"Monday 9:00 AM-5:00 PM, Tuesday 9:00 AM-5:00 PM, Wednesday 9:00 AM-5:00 PM, Thursday 9:00 AM-5:00 PM, Friday 9:00 AM-5:00 PM, Saturday Closed, Sunday Closed",fooddonations@cityharvest.org
