dsny_district,dsny_section,categoriesaccepted,dsny_zone,hours,email,rank,dense_rank
BKN01,BKN012,,BKN,"Monday 09:00 AM-05:00 PM, Tuesday 09:00 AM-05:00 PM, Wednesday 09:00 AM-05:00 PM, Thursday 09:00 AM-05:00 PM, Friday 09:00 AM-05:00 PM, Saturday Closed, Sunday Closed",used@roughtrade.com,1,1
BKN01,BKN012,Books/Media,BKN,,Blackspringbooks@gmail.com,1,1
BKN04,BKN043,"Clothing/Personal Accessories, Footwear",BKN,,info@usagain.com,1,1
BKN04,BKN042,"Clothing/Personal Accessories, Appliances, Kitchen Items, Footwear",BKN,"Monday 08:00 AM-06:00 PM, Tuesday 08:00 AM-06:00 PM, Wednesday 08:00 AM-06:00 PM, Thursday 08:00 AM-06:00 PM, Friday 08:00 AM-06:00 PM, Saturday 10:00 AM-04:00 PM, Sunday Closed",gboszeta@riseboro.org,1,1
BKN03,BKN031,,BKN,,bikeplantnyc@gmail.com,1,2
BKN03,BKN033,"Arts/Crafts, Cleaning Products, Clothing/Personal Accessories, Food/Beverage, Footwear, HealthCare, Office Supplies/Stationary, Personal Care/Hygiene, Tools/Equipment",BKN,,jborren@lgbtbrooklyn.org,1,2
BKN03,BKN032,"Clothing/Personal Accessories, Footwear",BKN,,info@helpsy.co,1,2
BKN05,BKN054,"Arts/Crafts, Books/Media, Clothing/Personal Accessories, Electronics, Food/Beverage, Footwear, Household Furniture/Furnishings, Lawn/Garden Supplies, Musical Instruments, Office Furniture/Furnishings, Office Supplies/Stationary, Sports Equipment, Toys/Ga",BKN,,earroyo@grandsettlment.org,1,2
BKN08,BKN082,"Arts/Crafts, Books/Media, Clothing/Personal Accessories, Electronics, Food/Beverage, Footwear, Cleaning Products, Personal Care/Hygiene",BKN,"Monday 11:00 AM-07:30 PM, Tuesday 11:00 AM-07:30 PM, Wednesday 11:00 AM-07:30 PM, Thursday 11:00 AM-07:30 PM, Friday 11:00 AM-07:30 PM, Saturday 11:00 AM-07:30 PM, Sunday Closed",celestecameron@anchorhouseinc.com,1,3
QW09,QW093,"Clothing/Personal Accessories, Food/Beverage, Footwear, Baby Care, Cleaning Products, Household Furniture/Furnishings, Personal Care/Hygiene, Pet Care/Food",QW,"Monday 10:00 AM-08:00 PM, Tuesday 10:00 AM-08:00 PM, Wednesday 10:00 AM-08:00 PM, Thursday 10:00 AM-08:00 PM, Friday 10:00 AM-08:00 PM, Saturday 10:00 AM-06:00 PM, Sunday Closed",contact@calvarymission.com,1,1
QW09,QW092,"Clothing/Personal Accessories, Footwear",QW,,info@usagain.com,1,2
QW01,QW013,"Clothing/Personal Accessories, Footwear",QW,,info@usagain.com,1,2
QE08,QE082,"Appliances, Arts/Crafts, Books/Media, Clothing/Personal Accessories, Electronics, Food/Beverage, Footwear, Musical Instruments, Office Furniture/Furnishings, Toys/Games",QE,,info@indiahome.org,1,1
QE12,QE122,"Clothing/Personal Accessories, Footwear",QE,,no@email.com,1,1
QE13,QE136,Clothing/Personal Accessories,QE,"Monday 12:00 PM-08:00 PM, Tuesday 12:00 PM-08:00 PM, Wednesday 12:00 PM-08:00 PM, Thursday 12:00 PM-08:00 PM, Friday 12:00 PM-08:00 PM, Saturday 12:00 PM-08:00 PM, Sunday 12:00 PM-08:00 PM",lovecovenantcogic@gmail.com,1,1
QE07,QE073,"Clothing/Personal Accessories, Footwear",QE,,info@usagain.com,1,2
QE07,QE075,"Clothing/Personal Accessories, Footwear",QE,,tf@mycountyrecycling.org,2,3
QE07,QE075,"Clothing/Personal Accessories, Footwear",QE,,tf@mycountyrecycling.org,2,3
QE07,QE075,"Clothing/Personal Accessories, Footwear",QE,,tf@mycountyrecycling.org,2,3
MN03,MN032,,MN,,info@countryof.com,1,1
MN03,MN033,,MN,"Friday 8:00 AM-8:00 PM, Thursday 8:00 AM-8:00 PM, Wednesday 8:00 AM-8:00 PM, Tuesday 8:00 AM-8:00 PM, Monday 8:00 AM-8:00 PM, Sunday 2:00 PM-4:00 PM, Wednesday Closed, Friday Closed, Thursday Closed, Saturday Closed, Tuesday Closed, Monday Closed, Saturd",auh20shop@gmail.com,1,1
MN02,MN021,"Books/Media, Clothing/Personal Accessories, Household Furniture/Furnishings, Kitchen Items, Footwear, Arts/Crafts, Musical Instruments, Office Furniture/Furnishings",MN,,info@housingworks.org,1,1
MN02,MN022,"Books/Media, Clothing/Personal Accessories, Household Furniture/Furnishings, Kitchen Items, Footwear, Arts/Crafts, Musical Instruments, Office Furniture/Furnishings",MN,,info@housingworks.org,1,1
MN02,MN022,,MN,,info@ifixscreens.com,1,1
MN12,MN124,"Clothing/Personal Accessories, Footwear",MN,,info@helpsy.co,1,2
BKS18,BKS185,,BKS,,Info@metcouncil.org,1,1
BKS06,BKS061,,BKS,,instagram@noemail.com,1,2
BKS07,BKS073,"Food/Beverage, Baby Care",BKS,"Monday 9:00 AM-5:00 PM, Tuesday 9:00 AM-5:00 PM, Wednesday 9:00 AM-5:00 PM, Thursday 9:00 AM-5:00 PM, Friday 9:00 AM-5:00 PM, Saturday Closed, Sunday Closed",fooddonations@cityharvest.org,1,2
BX01,BX012,"Baby Care, Building Products, Cleaning Products, Clothing/Personal Accessories, Food/Beverage, Footwear, Kitchen Items, Lawn/Garden Supplies, Office Supplies/Stationary, Personal Care/Hygiene, Tools/Equipment",BX,,brianlyons295@gmail.com,1,1
BX12,BX121,"Appliances, Sports Equipment, Personal Care/Hygiene, Office Supplies/Stationary, Office Furniture/Furnishings, Musical Instruments, Kitchen Items, Household Furniture/Furnishings, HealthCare, Footwear, Food/Beverage, Electronics, Clothing/Personal Access",BX,,hosuji@africanicc.com,1,2
BX06,BX061,Food/Beverage,BX,"Monday Closed, Tuesday 12:00 PM-08:00 PM, Wednesday 12:00 PM-08:00 PM, Thursday 12:00 PM-08:00 PM, Friday 12:00 PM-08:00 PM, Saturday 12:00 PM-08:00 PM, Sunday 12:00 PM-06:30 PM",libresporcristo@aol.com,1,2
BX06,BX062,"Clothing/Personal Accessories, Footwear",BX,,info@helpsy.co,2,2
BX11,BX112,"Clothing/Personal Accessories, Footwear",BX,,info@helpsy.co,1,2
BX11,BX111,HealthCare,BX,,gumbel@optonline.net,1,2
BX11,BX111,HealthCare,BX,,gumbel@optonline.net,1,2
