locationname,contact_email,nyceec_targetlang,meals,latepickup,final_address,programname1
P.S. 209,AKeegan2@schools.nyc.gov,,Breakfast/Lunch,,"313 East 183rd Street, Bronx NY 10458",Full-Day Program
Bambi Day Care IV,info@bambiacademy.com,x,Breakfast/Lunch/Snack(s),Contact program for time,"405 81st Street, Brooklyn NY 11209",Full-Day Program
Saint Margaret of Cortona,principal@smcsriverdale.org,,Breakfast/Lunch,6pm,"452 West 260th Street, Bronx NY 10471",Full-Day Program
"Yeled V'Yalda ECC, Inc.",nauerbach@yeled.org,,Lunch,,"600 McDonald Avenue, Brooklyn NY 11218",Half-Day Program
"Yeled V'Yalda ECC, Inc.",dbodenstein@yeled.org,,Lunch,,"600 McDonald Avenue, Brooklyn NY 11218",Half-Day Program
Garment Industry Day Care Center,kwong2@cpc-nyc.org,,Breakfast/Lunch/Snack(s),,"115 Chrystie Street, Manhattan NY 10002",Full-Day Program
P.S. 154 Jonathan D. Hyatt,acoviello@schools.nyc.gov,,Breakfast/Lunch,3:35pm,"333 East 135th Street, Bronx NY 10454",Full-Day Program
Brooklyn Arts and Science Elementary School,SBeauvo@schools.nyc.gov,,Breakfast/Lunch,Contact program for time,"443 Saint Marks Avenue, Brooklyn NY 11238",Full-Day Program
P.S. 202 Ernest S. Jenkyns,MSpence6@schools.nyc.gov,,Breakfast/Lunch,,"982 Hegeman Avenue, Brooklyn NY 11208",Full-Day Program
Clarkson Early Childhood Center,8801cecc@gmail.com,,Lunch/Snack(s),5:45pm,"8801 Glenwood Road, Brooklyn NY 11236",Full-Day Program
Victoria Children's Center,Admin@victoriachildrensgroup.com,x,Breakfast/Lunch/Snack(s),6:30pm,"323 Grand Street, Manhattan NY 10002",Full-Day Program
Bnos Menachem,office@bnosmenachem.org,,Contact program,,"739 East New York Avenue, Brooklyn NY 11203",Half-Day Program
Brooklyn Chinese-American Association,future@bca.net,,Contact program,,"757 60th Street, Brooklyn NY 11220",Full-Day Program
Nesivos Bais Yaakov,tgoldstein@nesivosby.com;cwolner@nesivosby.com,,Contact program,,"1021 45th Street, Brooklyn NY 11219",Half-Day Program
Ella Baker Charles Romain CDC of Medgar Evers,janetm@mec.cuny.edu,,Breakfast/Lunch/Snack(s),,"1150 Carroll Street, Brooklyn NY 11225",Full-Day Program
P.S. 335 Granville T. Woods,kthomps2@schools.nyc.gov,,Breakfast/Lunch,5:30pm,"130 Rochester Avenue, Brooklyn NY 11213",Full-Day Program
P.S. 207,Akravit2@schools.nyc.gov,,Breakfast/Lunch,,"3030 Godwin Terrace, Bronx NY 10463",Full-Day Program
Hudson Guild Children's Center I,emendez@hudsonguild.org,x,Breakfast/Lunch/Snack(s),,"441 West 26th Street, Manhattan NY 10001",Full-Day Program
