dbn,school_name,eligibility3,grade9geapplicants4,requirement3_5,admissionspriority33,college_career_rate,code7,ptech,nta,grade9swdapplicantsperseat9,postcode,grade9geapplicants10,grade9geapplicantsperseat3,eligibility10,requirement6_7,grade9swdapplicants5,auditioninformation3,seats9ge3,admissionspriority13,school_email,grade9swdapplicants9,admissionspriority23,grade9swdfilledflag6,grade9geapplicants9,admissionspriority27,diversity_in_admissions,seats9swd9,attendance_rate,requirement3_1,geoeligibility,grade9swdfilledflag7,prgdesc6,requirement1_9,interest4,grade9swdapplicantsperseat5,requirement6_2,requirement1_8,offer_rate1_1,requirement5_5,:@computed_region_f5dn_yrer,program6,seats6specialized,requirement4_5,pct_stu_enough_variety,phone_number,prgdesc2,seats9ge9,program2,eligibility4,campus_name,academicopportunities2,end_time,requirement7_4,admissionspriority110,method10,requirement7_5,auditioninformation4,council_district,start_time,grade9swdapplicants4,seats9swd4,grade9geapplicantsperseat8,primary_address_line_1,seats2specialized,girls,grade9swdfilledflag8,common_audition6,psal_sports_boys,seats5specialized,seats9ge7,appperseat1specialized
26Q435,Martin Van Buren High School,,,,,0.45,,,Bellerose,,11427,,3.0,,,,,85.0,Priority to Queens students or residents,ssochet@schools.nyc.gov,,Then to New York City residents,,,,,,0.88,"Course Grades: English (63-100), Math (55-100), Science (65-100), Social Studies (58-100)",,,,,Zoned,,,,98% of offers went to this group,,63,,,,0.83,718-776-4728,"Students interested in Engineering, Robotics, or Computer fields take STEM classes in Engineering I and II and Robotics III and IV, along with options for Calculus, Chemistry, Computer Application, Computer Languages, Computer Science, Earth Science, Physics, AP Physics, and AP Calculus. Partnerships include: NYU-Polytechnic Institute and the First Robotics Competition; and UC-Berkeley Computer Science.",,STEM Institue for Engineering and Robotics,,,MVB's award-winning Robotics team is cultivated through a sequence of Engineering and Robotics classes supplemented by Honors and AP STEM classes,3:40pm,,,,,,23,8:00am,,,,230-17 HILLSIDE AVENUE,,,,,"Baseball, Basketball, Indoor Track, Outdoor Track, Soccer, Volleyball",,,
02M135,The Urban Assembly School for Emergency Management,,,,,0.71,,,Chinatown,,10038,,,,,,,,,admissions@uasem.org,,,,,,,,0.81,Individual Interview (On-Site): Demonstration of Core Value,,,,,,,,,22% of offers went to this group,,56,,,,0.82,212-225-0998,,,,,Murry Bergtraum Educational Campus,"Cyber Security Pathway: UASEM is a Cisco Academy, students earn transferable credit with Cisco systems and a CCNA certification to become Cyber Security Analysts",3:10pm,,,,,,1,8:50am,,,,411 PEARL STREET,,,,,"Baseball, Basketball, Cross Country, Indoor Track, Lacrosse, Outdoor Track, Soccer, Volleyball, Wrestling",,,
12X684,Wings Academy,,,,,0.35,,,East Tremont,,10460,,,,,,,,,TWillia13@schools.nyc.gov,,,,,,,,0.79,,,,,,,,,,95% of offers went to this group,,35,,,,0.61,718-597-1751,,,,,,Senior Mentors CONNECT; Lehman College NOW; Student Work Study; Monroe College CONNECT,2:20pm,,,,,,15,8am,,,,1122 EAST 180TH STREET,,,,,"Baseball, Basketball",,,
11X514,The Bronxwood Preparatory Academy,,,,,0.44,,,Williamsbridge-Olinville,,10466,,,,,,,,,jgallar@schools.nyc.gov,,,,,,,,0.91,,,,,,,,,,100% of offers went to this group,,29,,,,0.48,718-696-3820,,,,,,"After-school tutoring, College Now, guest speakers, trips",2:10pm,,,,,,12,7:55am,,,,921 EAST 228TH STREET,,,,,"Basketball, Bowling, Lacrosse, Soccer",,,
26Q430,Francis Lewis High School,,3417.0,,Then to New York City residents,0.82,Q20U,,Auburndale,,11365,,39.0,,,N/A - zoned program,,70.0,Priority to students who live in the zoned area for up to 50% of the seats,CMiaoulis@schools.nyc.gov,,Then to Queens students or residents,,,,,,0.93,,,,,,Science & Math,N/A - zoned program,,,,,26,Francis Lewis High School ACES 12:1:1 Program,,,0.94,718-281-8200,"Students are programmed for honors level courses in Computer Science, Engineering, and Robotics. Students will prepare for a variety of high level regional and national competitions.",,Engineering and Robotics,,,"A wide variety of specialized programs: Science Research, Math Research and Robotics, University Scholars, Jacob Javits Law Academy",3:15pm,,,,,,20,8:30am,193.0,11.0,,58-20 UTOPIA PARKWAY,,,,,"Baseball, Basketball, Bowling, Cross Country, Fencing, Handball, Indoor Track, Outdoor Track, Soccer, Swimming, Tennis, Volleyball, Wrestling",,,
09X327,Comprehensive Model School Project M.S. 327,,,,,0.74,,,West Concourse,,10452,,,,,,,,,aricci2@schools.nyc.gov,,,,,,,,0.88,,,,,,,,,,90% of offers went to this group,,50,,,,0.78,718-294-8111,,,,,,Partnership with the College Now Program at Lehman College-Offers college courses for college credit,3:15pm,,,,,,14,8:10am,,,,1501 JEROME AVENUE,,,,,"Baseball, Basketball",,,
03M494,High School of Arts and Technology,,,,,0.44,,,Lincoln Square,,10023,,,,,,,,,admissions@hsartstech.org,,,,,,,,0.78,Course Grades: Average,,,,,,,,,,,20,,,,0.6,212-501-1198,,,Digital Media,,"Martin Luther King, Jr. Educational Campus",Advanced Placement-English Literature and Composition; English Language; and U.S. History,2:24pm,,,,,,6,8:03am,,,,122 AMSTERDAM AVENUE,,,,,"Badminton, Baseball, Basketball, Bowling, Cross Country, Handball, Outdoor Track, Soccer, Volleyball, Wrestling",,,
15K592,Khalil Gibran International Academy,,,,,0.48,,,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,,11217,,,,,,,,,imoussa@khalilgibranhs.org,,,,,,,,0.85,Attendance and Punctuality,,,,,,,,,100% of offers went to this group,,68,,,,0.7,718-237-2502,,,,,,Authorized by the International Baccalaureate (IB) Organization to offer the Diploma Programme,2:20pm,,,,,,33,8:00am,,,,362 SCHERMERHORN STREET,,,,,,,,
19K615,Transit Tech Career and Technical Education High School,,193.0,"Course Grades: English (60-100), Math (60-100), Science (60-100), Social Studies (60-100)",,0.41,K69R,,East New York,,11208,,4.0,,,84,,41.0,Open to New York City residents,19K615@schools.nyc.gov,,,Y,,,,,0.87,,,N,"Prepares students for careers in computer engineering. Students are trained on the basic concepts and functions of computers from an engineering perspective. Students acquire knowledge of motherboards, hard drives, RAM, CPU, GPU, computer peripherals, and various operating systems. Additionally, students are trained in security, preventative maintenance. Certificates/Industry exams: IC3, IT Fundamentals, and A+ Computer Repair.",,Engineering,7,,,,,45,Computer Engineering,,"Standardized Test Scores: English Language Arts (1.6-4.5), Math (1.6-4.5)",0.8,718-647-5204,"Prepares students for careers in the electronics field. Students will develop knowledge of computer circuitry, micro-technology, analog and digital electronics, basic electronics, and circuit boards. Students learn about electricity basics, voltage, and current. Students are eligible for direct employment with MTA agencies including NYC Transit. Certificates/Industry Exams: Electronics Technician Association (ETA).",,Transit Industrial Electronics,,,"Project Lead the Way: STEM courses in Introduction to Engineering Design, Digital Electronics, and Computer Science",3pm,,,,,,37,8:10am,110.0,15.0,,1 WELLS STREET,,,,,"Baseball, Basketball, Bowling, Cross Country, Handball, Indoor Track, Outdoor Track, Soccer, Volleyball",,75,
27Q334,Epic High School - North,,,,,,,,Richmond Hill,,11419,,,,,,,,,info@epicschoolsnyc.org,,,,,,,,0.83,"Course Grades: English, Math",,,,,,,,,100% of offers went to this group,,46,,,,0.76,718-570-8230,,,,,,"Experiences, college and career counseling starting in ninth grade, internships, college-level courses in upper grades",4:00pm,,,,,,28,9:00am,,,,94-25 117TH STREET,,,,,,,,
31R450,Curtis High School,,221.0,"Course Grades: English, Math, Science, Social Studies",,0.6,R19G,,West New Brighton-New Brighton-St. George,5,10301,N/A - zoned program,4.0,,,53,,78.0,Priority to Staten Island students or residents,76R450@schools.nyc.gov,83,Then to New York City residents,Y,233,Then to New York City residents,,16,0.85,,,N,This program offers two State-approved CTE health career programs. The Practical Nursing program includes 798 clinical hours in addition to the curriculum. These students are then eligible to take the NCLEX State Board examination for Licensed Practical Nurse. The Nursing Assistant program includes 108 clinical hours along with a curriculum that allows students to take the NYS certification exam to be certified as a Nursing Assistant.,,Communications,4,,Attendance,96% of offers went to this group,,4,Practical Nursing/ Nursing Assistant,,"Standardized Test Scores: English Language Arts, Math",0.88,718-390-1800,"This program offers students the opportunity to gain a basic understanding of law as the foundation of human society and our role as citizens in the justice system. In addition to standard academic curricula, students interact with representatives from the legal community, including district attorneys, judges, and special law enforcement agencies such as the FBI.",52,Human and Legal Studies/Law Enforcement Academy,,,"Foreign Exchange: Yearly exchange programs are available between Curtis students and students from France, Italy, the Netherlands, and Spain.",3:30pm,,Guaranteed offer to students who live in the zoned area,Zoned Guarantee,,,49,9:00am,78.0,16.0,6,105 HAMILTON AVENUE,,,N,,"Baseball, Basketball, Bowling, Cross Country, Football, Handball, Indoor Track, Lacrosse, Outdoor Track, Soccer, Swimming, Tennis, Volleyball, Wrestling",,52,
15K464,Park Slope Collegiate,,,,,0.48,,,Park Slope-Gowanus,,11215,,,,,,,,,jbloomb@schools.nyc.gov,,,,,,,,0.87,,,,,,,,,,25% of offers went to this group,,14,,,,0.67,718-832-4300,,,,,John Jay Educational Campus,"Four years of science and math include: Living Environment, Physics, Chemistry, Computer Programming, Algebra, Geometry, Trigonometry, and Calculus.",3:20pm,,,,,,39,8:25am,,,,237 7TH AVENUE,,,,,"Baseball, Basketball, Swimming, Volleyball",,,
27Q323,Scholars' Academy,,,,,0.98,,,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,,11694,,,,,,,,,hsadmissions@scholarsnyc.com,,,,,,,,0.95,"Course Grades: English, Math, Science, Social Studies",,,,,,,,,96% of offers went to this group,,51,,,,0.86,718-474-6918,,,,,,"Advanced Placement and college level courses in English, history, mathematics, biology, chemistry, physics, Spanish language, visual arts, and music",3:35pm,,,,,,32,8:45am,,,,320 BEACH 104TH STREET,,,,,"Baseball, Basketball, Bowling, Cross Country, Swimming",,,
15K497,The Boerum Hill School for International Studies,,,,,0.54,,,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,,11201,,,,,,,,,bhsadmissions@k497.org,,,,,,,,0.81,"Course Grades: English (65-100), Math (65-100), Science (65-100), Social Studies (65-100)",,,,,,,,,40% of offers went to this group,,14,,,,0.72,718-330-9390,"Our Culinary Arts and Career program is a four-year, rigorous sequence of courses designed to prepare students in food and industry careers. The program explores and prepares students through topics such as world cultures through food, climate and the global society, food politics, sustainability and identity. All students entering are still required to fulfill IB requirements and coursework. We have intern partnerships with C-CAP, and local restaurants and NYC companies.",,"College, Career & Culinary",,,"Every year, students must present a Global Action Project in roundtables to peers and other community members.",2:35pm,,,,,,33,8:15am,,,,284 BALTIC STREET,,,,,"Baseball, Basketball",,,
16K455,Boys and Girls High School,Open only to Brooklyn students or residents,,,,0.3,,,Crown Heights North,,11213,,2.0,,,,,100.0,,lgaston2@schools.nyc.gov,,,,,,,,0.82,Standardized Test Scores: Average (1.7-4.5),Open only to Brooklyn students/residents,,,,Zoned,,,,,,69,,,,0.79,718-467-1700,This program is comprised of a rigorous curriculum which gives scholars an opportunity to earn a New York State high school diploma and 30 transferable college credits and/or enrichment high school credits from Long Island University and the College Now program at the New York City College of Technology.,,Smart Scholars Early College Program,Open only to Brooklyn students or residents,,"Success Mentoring Program, Daily Advisory Classes and Team-Building Activities",3:40pm,,,,,,36,8:05am,,,,1700 FULTON STREET,,,,,"Basketball, Cross Country, Football, Handball, Indoor Track, Outdoor Track, Soccer, Tennis, Volleyball",,,
29Q492,"Mathematics, Science Research and Technology Magnet High School",,,,,0.46,,,Cambria Heights,,11411,,,,,,,,,admissions@masths.org,,,,,,,,0.84,"Course Grades: English, Math, Science",,,,,,,,,,,63,,,,0.63,718-978-1837,,,,,Campus Magnet Educational Campus,Amazon's Future Engineer Program,2:37pm,,,,,,27,8:20am,,,,207- 01 116TH AVENUE,,,,,"Basketball, Football, Indoor Track, Outdoor Track, Soccer, Volleyball",,,
13K350,Urban Assembly School for Music and Art,,,,,0.61,,,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,,11201,,,,,,,,,admissions@uamusicandart.org,,,,,,Diversity in Admissions (DIA): Priority to applicants eligible for free or reduced price lunch for 69% of seats,,0.77,Standardized Test Scores: English Language Arts,,,,,,,,,,,68,,,,0.85,718-858-0249,,,,,Water's Edge Educational Campus,"The Arts program offerings are the vehicles through which a rigorous college thinking, routine based curriculum is presented.",3:50pm,,,,,,33,8:30am,,,,49 FLATBUSH AVENUE EXTENSION,,,,,"Bowling, Soccer",,,
08X282,Women's Academy of Excellence,,,,,0.52,,,Soundview-Castle Hill-Clason Point-Harding Park,,10473,,,,,,,,,Nsmall-Taylor@schools.nyc.gov,,,,,,,,0.77,,,,,,,,,,,,58,,,,0.57,718-542-0740,,,,,,"College Readiness:: College Now Program at Lehman College, SAT Prep, Senior and Junior College Exploration Programs, College Access for All, College Trips, Montefiore Internship Program, College Application Week, College our WAE Girls Who Code",2:45pm,,,,,,18,8:25am,,,,456 WHITE PLAINS ROAD,,1.0,,,"Baseball, Basketball, Fencing",,,
08X559,School for Tourism and Hospitality,,,,,0.45,,,Morrisania-Melrose,,10456,,,,,,,,,agrafals2@schools.nyc.gov,,,,,,,,0.69,,,,,,,,,,100% of offers went to this group,,34,,,,0.58,718-401-4214,,,,,,Technology-driven instruction/blended learning,3:15pm,,,,,,17,8:30am,,,,900 TINTON AVENUE,,,,,"Baseball, Basketball, Soccer",,,
27Q260,Frederick Douglass Academy VI High School,,,,,0.32,,,Far Rockaway-Bayswater,,11691,,,,,,,,,cogundi@schools.nyc.gov,,,,,,,,0.81,,,,,,,,,,89% of offers went to this group,,51,,,,0.53,718-471-2154,,,,,Far Rockaway Educational Campus,Web Design,2:40pm,,,,,,31,8:20am,,,,8-21 BAY 25TH STREET,,,,,"Baseball, Basketball, Football, Indoor Track, Outdoor Track, Soccer, Swimming, Table Tennis",,,
31R600,Ralph R. McKee Career and Technical Education High School,,244.0,"Course Grades: English, Math, Science, Social Studies",,0.47,R60R,,West New Brighton-New Brighton-St. George,,10301,,7.0,,,61,,20.0,Open to New York City residents,keberle@schools.nyc.gov,,,N,,,,,0.86,"Course Grades: English, Math, Science, Social Studies",,Y,"NYS & NATEF approved Automotive Technology program uses the NATEF General Service Technician Program curriculum. NATEF sets national standards for instruction, tasks, tools, equipment, hours & instructor qualifications. Topics include electronic systems ABS (braking), air bag, fuel injection and sensor theory plus analysis and testing of related on-board computer functions, steering/suspension, and brake systems. The instructors for the program are Automotive Service Excellence (ASE) certified.",,Visual Art & Design,9,,,,,4,Automotive Technology,,"Standardized Test Scores: English Language Arts, Math",0.83,718-420-2600,"Software Engineering (SEP) gives students training and experience in coding. The core topics are Python, Scratch, HTML, CSS, processing & JAVA. Additional programming electronics and robotics skills are learned with Arduino, & LEGO robotics. Within robotics, students learn LEGO Mindstorms, EV3, & digital fabrication. Within 3-D printing using Makerbot, students learn Flash, Animation, and Action Script. Students are prepared for college and industry based positions.",,Software Engineering,,,"AVID: a premiere college & career readiness program featuring research based strategies, curriculum and enrichment of metacognitive skills.",2:34pm,,,,,,49,7:48am,106.0,22.0,,290 ST. MARKS PLACE,,,,,"Baseball, Basketball, Bowling, Cross Country, Fencing, Football, Handball, Indoor Track, Outdoor Track, Soccer, Swimming, Table Tennis, Tennis, Volleyball, Wrestling",,20,
14K685,El Puente Academy for Peace and Justice,,,,,0.42,,,Williamsburg,,11211,,,,,,,,,jmota@schools.nyc.gov,,,,,,,,0.83,,,,,,,,,,95% of offers went to this group,,36,,,,0.74,718-387-1125,,,,,,"CUNY Medgar Evers and Touro College courses on premises, iLearnNYC: Program for expanded online coursework and self-paced learning",3:40pm,,,,,,33,9:00am,,,,250 HOOPER STREET,,,,,,,,
24Q610,Aviation Career & Technical Education High School,,,,,0.83,,,Hunters Point-Sunnyside-West Maspeth,,11101,,,,,,,,,24Q610@schools.nyc.gov,,,,,,,,0.97,"Course Grades: English (81-100), Math (85-100), Science (85-100), Social Studies (85-100)",,,,,,,,,,,53,,,,0.85,718-361-2032,"Designed for students with an interest in math and science, this challenging academic and technical program will prepare students for the FAA aircraft maintenance certification and engineering colleges.",,Aviation Maintenance Engineering Technology,,,Annex Program at John F. Kennedy (JFK) International Airport with Internships at major airlines and the Port Authority of NY/NJ.,3:30pm or 4:15pm,,,,,,26,8am or 8:45am,,,,45-30 36TH STREET,,,,,"Baseball, Basketball, Bowling, Cross Country, Handball, Indoor Track, Outdoor Track, Soccer, Tennis, Volleyball, Wrestling",,,
15K684,Millennium Brooklyn High School,,,,,0.89,,,Park Slope-Gowanus,,11215,,,,,,,,,lbaumgarten@schools.nyc.gov,,,,,,"Diversity in Admissions (DIA): Priority to applicants eligible for free or reduced price lunch for 50% of seats: first to Brooklyn students or residents, and then to New York City residents",,0.95,Standardized Test Scores: Average (3.8-4.5),,,,,,,,,100% of offers went to this group,,14,,,,0.94,718-832-4333,,,Millennium Brooklyn HS ASD Nest Program,,John Jay Educational Campus,Advisory-students placed with an academic advisor for all four years of high school; Executive Functioning for students in need of extra support,2:20pm,,,,,,39,8am,,,,237 7TH AVENUE,,,,,"Baseball, Basketball, Cross Country, Fencing, Soccer, Swimming, Table Tennis",,,
04M680,"Heritage School, The",,,,,0.59,,,East Harlem South,,10029,,,,,,,,,ARodriguez21@schools.nyc.gov,,,,,,Diversity in Admissions (DIA): Priority to district 4 residents eligible for free or reduced price lunch for 43% of seats,,0.86,,,,,,,,,,,,7,,,,0.74,212-828-2858,,,,,,"College Now courses offered by our CUNY partner Hunter College. Courses offered during Fall, Spring, and Summer sessions.",3:55pm,,,,,,8,8:25am,,,,1680 LEXINGTON AVENUE,,,,,"Baseball, Basketball, Bowling, Football, Outdoor Track, Soccer, Volleyball, Wrestling",,,
21K572,Leaders High School,,,,,0.74,,,Gravesend,,11214,,,,,,,,,tmullen@leaders6-12.org,,,,,,,,0.84,Course Grades: Average,,,,,,,,,,,21,,,,0.84,718-333-7700,,,,,Lafayette Educational Campus,Our full-time internship/community service coordinator places every 11th grade student in an internship based on their interests.,3:25pm,,,,,,47,8:35am,,,,2630 BENSON AVENUE,,,,,"Baseball, Basketball, Bowling, Cross Country, Football, Handball, Indoor Track, Outdoor Track, Soccer, Table Tennis, Tennis, Volleyball, Wrestling",,,
02M305,The Urban Assembly Academy of Government and Law,,,,,0.64,,,Chinatown,,10002,,,,,,,,,ewoods@uaagl.org,,,,,,,,0.84,"Standardized Test Scores: English Language Arts, Math",,,,,,,,,15% of offers went to this group,,70,,,,0.6,212-505-0745,,,,,Seward Park Educational Campus,All students take a minimum of three Advanced Placement (AP) courses starting in 11th grade and can take CUNY College Now courses to earn college credit.,3:45pm,,,,,,1,8:30am,,,,350 GRAND STREET,,,,,"Badminton, Baseball, Basketball, Bowling, Handball, Volleyball, Wrestling",,,
28Q284,York Early College Academy,,,,,0.93,,,South Jamaica,,11433,,,,,,,,,28Q284@schools.nyc.gov,,,,,,,,0.94,"Course Grades: English, Math, Science, Social Studies",,,,,,,,,98% of offers went to this group,,41,,,,0.69,718-262-8547,,,,,,Software Engineering,2:20pm,,,,,,27,8am,,,,108-35 167TH STREET,,,,,"Basketball, Bowling",,,
02M630,Art and Design High School,,602.0,,,0.7,,,Turtle Bay-East Midtown,,10019,,6.0,,,,"Portfolio including two storyboards (each a minimum of ten frames each) depicting a scene from imagination and a 250-word essay describing your interest in filmmaking. At the audition, students will be given a visual representation and will be asked to develop a story that could be used as the basis for a film. Be prepared to address these questions: What is the story about? Who are the main characters? What are the conflicts? What type of film? How does it end? Materials are supplied at audition.",39.0,Open to New York City residents,ereingo@schools.nyc.gov,,,,,,,,0.89,Attendance and Punctuality,,,,,Visual Art & Design,,Audition with common components,,,,71,,,,0.83,212-752-4340,"9th grade: Design Foundations 10th grade: Select CTE major from Cartooning, Fashion/Costume Design or Illustration. Technical assessments are required for CTE certification. Upper grade students can apply for AP courses in Illustration or Cartooning. All portfolios are evaluated by professionals. This program offers opportunities for internships. Museum visits, rotating student exhibitions, and visiting industry professionals are all included in this program.",,Commercial Art and Design,,Midtown East Campus,"Internships through Work Based Learning as well as Apollo Theater, Bloomberg, Center for Arts Education, The Mayor's Office of Media & Entertainment",2:40pm,,,,,"Prepare a portfolio of 8-15 pieces of original work. Can be hard copy or digital in format. Include two examples of observational drawings in your portfolios. You will complete up to 3 art assignments at the audition. Check School's website for examples. They may include character design, poster design, original photographs in addition to an array of art media.",4,8:20am,125.0,28.0,,231-249 EAST 56TH STREET,,,,,"Baseball, Basketball, Bowling, Fencing, Handball, Soccer, Volleyball",,,
01M509,Marta Valle High School,,,,,0.5,,,Chinatown,,10002,,,,,,,,,RRivera60@schools.nyc.gov,,,,,,,,0.8,"Course Grades: English, Math, Science, Social Studies",,,,,,,,,45% of offers went to this group,,70,,,,0.31,212-473-8152,,,,,,"Visual Arts, Dance, Fitness & Weight Training Studio, Technology Integration in Each Classroom, New Chemistry & Science Labs",2:20pm,,,,,,1,8:00am,,,,145 STANTON STREET,,,,,Basketball,,,
