license_number,location,vehicle_safety_technology_used,serving_areas,borough,percent_hybrid_alt_fuel_vehicles,_24_hours,_2015_honor_roll_drivers,:@computed_region_yeji_bk3q,green_taxi_service,hosted_vision_zero_training,top_vehicle_models_2,year_base_opened,website,base_name
B00111,"{'latitude': '40.735627', 'longitude': '-73.93612'}",No,New York City,QUEENS   ,3.0,Not Reported,0.0,3.0,No,No,Toyota Highlander,1999.0,,
B02865,"{'latitude': '40.75273', 'longitude': '-74.006408'}",Yes,New York City,MANHATTAN,5.0,Yes,0.0,4.0,No,No,Toyota Highlander,2015.0,,(VIER)
B02382,"{'latitude': '40.592698', 'longitude': '-73.948855'}",No,New York City,BROOKLYN ,0.0,Not Reported,0.0,2.0,No,No,Toyota Avalon,2010.0,,
B01912,"{'latitude': '40.82848', 'longitude': '-73.394994'}",No,New York City,,0.0,Not Reported,0.0,,No,No,Toyota Camry,2000.0,,
B00837,"{'latitude': '40.740878', 'longitude': '-73.942043'}",No,New York City,QUEENS   ,0.0,Not Reported,0.0,3.0,No,No,Cadillac Escalade,2000.0,,
B02050,"{'latitude': '40.688403', 'longitude': '-73.819306'}",No,New York City,QUEENS   ,15.0,Not Reported,0.0,3.0,No,No,Toyota Camry,2003.0,,
B02662,"{'latitude': '40.830027', 'longitude': '-73.9723'}",No,New York City,,0.0,Not Reported,0.0,,No,No,Chevrolet Suburban,2013.0,,
B00889,"{'latitude': '40.752792', 'longitude': '-73.88013'}",Yes,New York City,QUEENS   ,3.0,Not Reported,0.0,3.0,No,Yes,Chevrolet Tahoe,1991.0,{'url': 'http://www.mexicanacarlimo.com'},
B02882,"{'latitude': '40.75273', 'longitude': '-74.00641'}",Yes,New York City,MANHATTAN,27.0,Yes,0.0,4.0,No,No,Hyundai Sonata,2015.0,,(ZWANZIG)
B01406,"{'latitude': '40.681771', 'longitude': '-73.98047'}",No,New York City,BROOKLYN ,0.0,Not Reported,0.0,2.0,No,No,Toyota Avalon,1997.0,,(LEGEND CAR SERVICE)
B02518,"{'latitude': '40.733779', 'longitude': '-73.635348'}",No,New York City,,17.0,Not Reported,0.0,,No,No,Lincoln Town Car,2011.0,,
B02536,"{'latitude': '40.59092', 'longitude': '-73.961'}",No,New York City,BROOKLYN ,64.0,Not Reported,0.0,2.0,No,No,Nissan Altima,2012.0,,
B02707,"{'latitude': '40.717166', 'longitude': '-73.857354'}",No,New York City,QUEENS   ,47.0,Not Reported,0.0,3.0,Yes,Yes,,2013.0,,
B02113,"{'latitude': '40.823087', 'longitude': '-74.155516'}",No,New York City,,0.0,Not Reported,0.0,,No,No,Cadillac Escalade,2005.0,,
B01083,"{'latitude': '40.864833', 'longitude': '-73.92718'}",No,New York City,MANHATTAN,38.0,Not Reported,0.0,4.0,Yes,No,Toyota Prius,1997.0,,
B02420,"{'latitude': '40.615053', 'longitude': '-73.98053'}",No,New York City,BROOKLYN ,0.0,Not Reported,0.0,2.0,No,No,Chrysler Town and Country,2010.0,,
B00373,"{'latitude': '40.680078', 'longitude': '-73.958011'}",No,New York City,BROOKLYN ,0.0,Not Reported,0.0,2.0,Yes,No,Ford Crown Victoria,1997.0,,
B02800,"{'latitude': '40.74393', 'longitude': '-73.98819'}",No,New York City,MANHATTAN,0.0,Not Reported,0.0,4.0,No,No,Chevrolet Suburban,2014.0,,(VIA-FLATIRON TRANSIT)
B02537,"{'latitude': '40.879679', 'longitude': '-73.906345'}",No,New York City,BRONX    ,30.0,Not Reported,2.0,5.0,Yes,Yes,Lincoln Town Car,2012.0,,
B00412,"{'latitude': '40.678782', 'longitude': '-73.98998'}",No,New York City,BROOKLYN ,18.0,Not Reported,0.0,2.0,No,Yes,Toyota Avalon,1985.0,{'url': 'http://WWW.NYC2WAY.COM'},(NYC TWO WAY )
B02480,"{'latitude': '40.763637', 'longitude': '-73.904449'}",No,New York City,QUEENS   ,6.0,Not Reported,1.0,3.0,No,Yes,Chevrolet Suburban,2011.0,,
B00013,"{'latitude': '40.638477', 'longitude': '-73.983333'}",No,New York City,BROOKLYN ,32.0,Not Reported,1.0,2.0,No,No,Toyota Avalon,1999.0,,
B02103,"{'latitude': '40.701213', 'longitude': '-73.943166'}",No,New York City,BROOKLYN ,31.0,Not Reported,0.0,2.0,No,Yes,Lincoln Town Car,2004.0,,
B00196,"{'latitude': '40.797323', 'longitude': '-73.9393'}",No,New York City,MANHATTAN,2.0,Not Reported,0.0,4.0,Yes,Yes,Toyota Camry,1997.0,,
B02729,"{'latitude': '40.86885', 'longitude': '-73.91664'}",No,New York City,MANHATTAN,14.0,Not Reported,0.0,4.0,No,No,Chevrolet Tahoe,2014.0,,
B02501,"{'latitude': '40.806649', 'longitude': '-74.373535'}",No,New York City,,0.0,Not Reported,0.0,,No,No,Lincoln MKT,1983.0,,(MY LIMOUSINE SERVICE)
B02426,"{'latitude': '40.765597', 'longitude': '-73.83262'}",Yes,New York City,QUEENS   ,0.0,Not Reported,0.0,3.0,No,No,Chevrolet Suburban,2010.0,{'url': 'http://us.tristarworldwide.com'},(TRISTAR WORLDWIDE CHAUFFEURED SERVICES)
B01667,"{'latitude': '40.770532', 'longitude': '-73.836442'}",No,New York City,QUEENS   ,3.0,Not Reported,1.0,3.0,No,Yes,Lincoln Town Car,1997.0,,
B01200,"{'latitude': '40.689376', 'longitude': '-73.91839'}",No,New York City,BROOKLYN ,3.0,Not Reported,0.0,2.0,Yes,Yes,Toyota Camry,1997.0,,(N Y LIMO & CAR SERVICE)
B01800,"{'latitude': '40.78084', 'longitude': '-74.080302'}",Yes,New York City,,0.0,Not Reported,0.0,,No,No,Cadillac Escalade,1999.0,,(EMPIRE INTERNATIONAL)
B02791,"{'latitude': '40.826385', 'longitude': '-73.939036'}",No,New York City,,7.0,Not Reported,0.0,4.0,No,No,Lincoln Town Car,2014.0,,
B02252,"{'latitude': '40.761168', 'longitude': '-73.830606'}",No,New York City,QUEENS   ,0.0,Not Reported,0.0,3.0,No,Yes,Ford E350,2008.0,,
B00531,"{'latitude': '40.622131', 'longitude': '-73.96493'}",No,New York City,BROOKLYN ,16.0,Not Reported,0.0,2.0,Yes,No,Toyota Sienna,1999.0,,
B02590,"{'latitude': '40.680577', 'longitude': '-74.00932'}",No,New York City,BROOKLYN ,0.0,Not Reported,0.0,2.0,No,No,Cadillac Escalade,2012.0,,
B00991,"{'latitude': '40.682799', 'longitude': '-73.841307'}",No,New York City,QUEENS   ,0.0,Not Reported,0.0,3.0,No,No,Ford Crown Victoria,1997.0,,(BLUE LANE CAR SERVICE)
B01601,"{'latitude': '40.633303', 'longitude': '-74.026743'}",No,New York City,BROOKLYN ,29.0,Not Reported,0.0,2.0,Yes,No,Toyota Prius,1997.0,,
B01764,"{'latitude': '40.716178', 'longitude': '-73.992475'}",No,New York City,MANHATTAN,6.0,Not Reported,0.0,4.0,No,No,Toyota Sienna,2000.0,,
B02249,"{'latitude': '40.759225', 'longitude': '-73.887802'}",No,New York City,QUEENS   ,2.0,Not Reported,0.0,3.0,No,No,Toyota Camry,2008.0,,
B02080,"{'latitude': '40.703715', 'longitude': '-73.927365'}",No,New York City,BROOKLYN ,0.0,Not Reported,0.0,2.0,No,No,Toyota Sienna,2004.0,,(4 U LUXURY CAR SERVICE)
B02651,"{'latitude': '40.638931', 'longitude': '-73.982954'}",No,New York City,BROOKLYN ,37.0,Not Reported,0.0,2.0,Yes,Yes,Ford Escape,2013.0,,
B01514,"{'latitude': '40.776102', 'longitude': '-73.90208'}",No,New York City,QUEENS   ,0.0,Not Reported,0.0,3.0,No,Yes,Toyota Sienna,1997.0,,
B02263,"{'latitude': '40.75818', 'longitude': '-73.942556'}",No,New York City,QUEENS   ,6.0,Not Reported,0.0,3.0,No,Yes,Chevrolet Suburban,2008.0,,
B01875,"{'latitude': '40.8153', 'longitude': '-73.929004'}",No,New York City,BRONX    ,25.0,Not Reported,1.0,5.0,No,No,Toyota Avalon,2000.0,,
B01020,"{'latitude': '40.668591', 'longitude': '-73.942117'}",No,Crown Heights,BROOKLYN ,4.0,No,0.0,2.0,No,No,Lincoln Town Car,1992.0,,(UNION LIMO AND CAR SERVICE )
B02465,"{'latitude': '40.745471', 'longitude': '-73.92933'}",No,New York City,QUEENS   ,0.0,Not Reported,0.0,3.0,No,No,Chevrolet Tahoe,2011.0,,(DIAL 7 CAR & LIMOUSINE SERVICE)
B02180,"{'latitude': '40.823619', 'longitude': '-74.056919'}",Yes,New York City,,0.0,Not Reported,0.0,,No,No,Mercedes-Benz Sprinter,1994.0,,
B02147,"{'latitude': '40.746496', 'longitude': '-73.98547'}",No,New York City,MANHATTAN,0.0,Not Reported,0.0,4.0,No,Yes,Cadillac Escalade,2006.0,,
B00272,"{'latitude': '40.604428', 'longitude': '-74.006622'}",No,New York City,BROOKLYN ,3.0,Not Reported,0.0,2.0,No,No,Lincoln Town Car,1989.0,{'url': 'http://www.bigapplecar.com'},
B02788,"{'latitude': '40.633484', 'longitude': '-74.02124'}",No,New York City,BROOKLYN ,14.0,Not Reported,0.0,2.0,No,No,Nissan Altima,2014.0,,(TAKE ME 2 )
B02747,"{'latitude': '40.681771', 'longitude': '-73.98047'}",No,New York City,BROOKLYN ,0.0,Not Reported,0.0,2.0,No,Yes,Toyota Sienna,2014.0,,
B01644,"{'latitude': '40.901484', 'longitude': '-74.115919'}",Yes,New York City,,1.0,Not Reported,0.0,,No,No,Lincoln Navigator,1996.0,{'url': 'http://www.musicexpress.com'},
B00160,"{'latitude': '40.608102', 'longitude': '-73.95738'}",No,New York City,BROOKLYN ,0.0,Not Reported,0.0,2.0,No,No,Lincoln Town Car,1999.0,,
B01318,"{'latitude': '40.726235', 'longitude': '-73.977574'}",Yes,Lower Manhattan,MANHATTAN,1.0,Not Reported,0.0,4.0,No,No,Toyota Sienna,1994.0,,
B01714,"{'latitude': '40.663967', 'longitude': '-73.944671'}",No,New York City,BROOKLYN ,0.0,Not Reported,1.0,2.0,No,Yes,Ford Crown Victoria,1997.0,,
B00881,"{'latitude': '40.67983', 'longitude': '-73.844979'}",No,New York City,QUEENS   ,0.0,Not Reported,0.0,3.0,No,No,Mercury Grand Marquis,1996.0,,
B02613,"{'latitude': '40.679483', 'longitude': '-73.886635'}",No,New York City,BROOKLYN ,0.0,Not Reported,0.0,2.0,No,No,Lincoln Town Car,2013.0,,(NYS CAR SERVICE)
B01479,"{'latitude': '40.693241', 'longitude': '-73.945613'}",No,New York City,BROOKLYN ,7.0,Not Reported,0.0,2.0,No,Yes,Toyota Camry,1999.0,,
B00855,"{'latitude': '40.603497', 'longitude': '-73.75385'}",Yes,The Rockaways,QUEENS   ,10.0,Not Reported,0.0,3.0,No,No,Lincoln Town Car,1967.0,,
B02532,"{'latitude': '40.763441', 'longitude': '-73.828039'}",No,New York City,QUEENS   ,4.0,Not Reported,0.0,3.0,No,No,Acura MDX,2012.0,,
B01259,"{'latitude': '40.709336', 'longitude': '-73.95656'}",No,New York City,,12.0,Not Reported,1.0,2.0,Yes,No,Lincoln Town Car,1997.0,,
B00548,"{'latitude': '40.712347', 'longitude': '-73.898775'}",No,New York City,QUEENS   ,0.0,Not Reported,0.0,3.0,No,No,Buick LeSabre,1999.0,,
B00008,"{'latitude': '40.70681', 'longitude': '-73.87768'}",No,New York City,QUEENS   ,0.0,Not Reported,0.0,3.0,Yes,No,Chrysler Town and Country,1997.0,,(FOUR ONES CAR SERVICE)
B00305,"{'latitude': '40.843558', 'longitude': '-73.856319'}",No,New York City,BRONX    ,6.0,Not Reported,0.0,5.0,No,No,Ford Focus,1997.0,,
B02887,"{'latitude': '40.75273', 'longitude': '-74.00641'}",Yes,New York City,MANHATTAN,50.0,Yes,0.0,4.0,No,No,Toyota Camry,2015.0,,(EINUNDZWANZIG)
B02229,"{'latitude': '40.816803', 'longitude': '-73.862557'}",No,New York City,BRONX    ,5.0,Not Reported,0.0,5.0,No,No,Lincoln Town Car,2007.0,,(ELEGANTE)
B02785,"{'latitude': '40.759391', 'longitude': '-73.919358'}",No,New York City,QUEENS   ,0.0,Not Reported,0.0,3.0,No,Yes,Nissan Sentra,2014.0,,
B01195,"{'latitude': '40.629636', 'longitude': '-74.028811'}",No,New York City,BROOKLYN ,0.0,Not Reported,0.0,2.0,No,Yes,Ford Crown Victoria,1999.0,,
B02727,"{'latitude': '40.803977', 'longitude': '-73.40549'}",No,New York City,,0.0,Not Reported,0.0,,No,No,Lincoln Town Car,2014.0,,
B02271,"{'latitude': '40.962195', 'longitude': '-74.249077'}",No,New York City,,0.0,Not Reported,0.0,,No,No,Cadillac Escalade ESV,2008.0,,
B01989,"{'latitude': '40.747641', 'longitude': '-73.981929'}",No,New York City,MANHATTAN,0.0,Not Reported,0.0,4.0,No,No,Mercedes-Benz Sprinter,2002.0,,
B01663,"{'latitude': '40.752202', 'longitude': '-73.85365'}",No,New York City,QUEENS   ,5.0,Not Reported,0.0,3.0,Yes,Yes,Toyota Camry,1998.0,,
B02796,"{'latitude': '40.76451', 'longitude': '-73.905073'}",No,New York City,QUEENS   ,4.0,Not Reported,0.0,3.0,No,Yes,Cadillac XTS,2014.0,,
B00469,"{'latitude': '40.615064', 'longitude': '-74.013281'}",No,New York City,BROOKLYN ,5.0,Not Reported,0.0,2.0,No,No,Lincoln Town Car,1997.0,,(MY WAY)
B01808,"{'latitude': '40.634079', 'longitude': '-74.146169'}",No,"""Staten Island",STATEN IS,10.6,OLDTOWNCARS@VERIZON.NET            ,,1.0," and Southeast Queens""",0,0%,,,(DELTA CARS)
B01081,"{'latitude': '40.648318', 'longitude': '-73.89232'}",No,New York City,BROOKLYN ,7.0,Not Reported,0.0,2.0,Yes,No,Chrysler Town and Country,1997.0,,
B02670,"{'latitude': '40.765428', 'longitude': '-73.886184'}",No,New York City,QUEENS   ,0.0,Not Reported,0.0,3.0,No,No,Cadillac XTS,2013.0,,
B01343,"{'latitude': '40.650332', 'longitude': '-73.930492'}",No,New York City,BROOKLYN ,0.0,Not Reported,1.0,2.0,No,No,Ford Crown Victoria,1996.0,,
B01651,"{'latitude': '40.831538', 'longitude': '-73.88181'}",No,New York City,BRONX    ,6.0,Not Reported,1.0,5.0,Yes,No,Lincoln Town Car,1996.0,,(WIRELESS CAR SERVICE)
B02525,"{'latitude': '40.740521', 'longitude': '-73.94747'}",No,New York City,QUEENS   ,0.0,Not Reported,0.0,3.0,No,No,Ford Expedition,2012.0,,
B01804,"{'latitude': '40.767439', 'longitude': '-73.532154'}",No,New York City,,0.0,Not Reported,0.0,,No,No,Ford Expedition,1998.0,,
B02541,"{'latitude': '40.74272', 'longitude': '-73.92612'}",No,New York City,QUEENS   ,0.0,Not Reported,0.0,3.0,Yes,No,Chevrolet Tahoe,2012.0,,
B02682,"{'latitude': '40.74844', 'longitude': '-73.93946'}",Yes,New York City,QUEENS   ,13.0,Yes,5.0,3.0,No,No,Toyota Highlander,2013.0,,(SCHMECKEN)
B02777,"{'latitude': '40.771734', 'longitude': '-73.926731'}",No,New York City,QUEENS   ,6.0,Not Reported,0.0,3.0,No,No,Ford Crown Victoria,2014.0,,
B02852,"{'latitude': '40.680275', 'longitude': '-73.848047'}",No,New York City,QUEENS   ,10.0,Not Reported,0.0,3.0,No,No,Toyota Sienna,2015.0,,
B00789,"{'latitude': '40.746697', 'longitude': '-73.926818'}",No,New York City,QUEENS   ,10.0,Not Reported,1.0,3.0,No,No,Toyota Highlander,1983.0,,
B02860,"{'latitude': '40.67239', 'longitude': '-73.82997'}",No,New York City,QUEENS   ,10.0,Not Reported,0.0,3.0,No,No,Ford Taurus,2015.0,,
B00821,"{'latitude': '40.682549', 'longitude': '-73.87676'}",No,New York City,BROOKLYN ,1.0,Not Reported,1.0,2.0,Yes,No,Lincoln Town Car,1997.0,,
B01594,"{'latitude': '40.778662', 'longitude': '-73.91488'}",No,New York City,QUEENS   ,7.0,Not Reported,0.0,3.0,Yes,No,Toyota Camry,1997.0,,(ACROPOLIS)
B02339,"{'latitude': '40.776091', 'longitude': '-73.89722'}",No,New York City,QUEENS   ,0.0,Not Reported,0.0,3.0,No,Yes,Cadillac Escalade,2009.0,,
B01413,"{'latitude': '40.739253', 'longitude': '-73.931942'}",No,New York City,QUEENS   ,2.0,Not Reported,0.0,3.0,No,No,Lincoln MKS,2000.0,,
B01282,"{'latitude': '40.664829', 'longitude': '-73.886868'}",No,New York City,BROOKLYN ,7.0,Not Reported,3.0,2.0,No,No,Lincoln Town Car,1997.0,,
B01742,"{'latitude': '40.7846', 'longitude': '-74.13671'}",No,New York City,,2.0,Not Reported,0.0,,No,No,Chrysler 300,1999.0,,
B02652,"{'latitude': '40.740154', 'longitude': '-73.8646'}",No,Manhattan & Queens,QUEENS   ,2.0,Not Reported,0.0,3.0,No,No,Chrysler 300,2013.0,{'url': 'http://patroncarandlimo.com'},
B01569,"{'latitude': '40.690245', 'longitude': '-73.824027'}",No,New York City,QUEENS   ,0.0,Not Reported,0.0,3.0,Yes,No,Ford Crown Victoria,1997.0,,(JAMAICA EXPRESS #2 CAR SERVICE)
B02713,"{'latitude': '40.751985', 'longitude': '-73.96978'}",No,New York City,MANHATTAN,0.0,Not Reported,0.0,4.0,No,No,Cadillac Escalade,2013.0,,
B02213,"{'latitude': '40.667958', 'longitude': '-73.987'}",No,New York City,BROOKLYN ,7.0,Not Reported,0.0,2.0,No,Yes,Toyota Camry,2007.0,,
B00255,"{'latitude': '40.685534', 'longitude': '-73.86372'}",No,New York City,QUEENS   ,9.0,Not Reported,0.0,3.0,No,No,Toyota Camry,2014.0,,
B01315,"{'latitude': '40.837752', 'longitude': '-73.86334'}",No,New York City,BRONX    ,14.0,Not Reported,2.0,5.0,Yes,No,Lincoln Town Car,1998.0,,
B01451,"{'latitude': '40.675605', 'longitude': '-73.99941'}",No,New York City,BROOKLYN ,34.0,Not Reported,0.0,2.0,Yes,Yes,Ford Escape,1997.0,,(COURT EXPRESS CAR AND LIMO SERVICE)
B02681,"{'latitude': '40.739787', 'longitude': '-73.863455'}",No,New York City,QUEENS   ,17.0,Not Reported,0.0,3.0,No,Yes,Toyota Prius,2013.0,,
B00941,"{'latitude': '40.69682', 'longitude': '-73.74364'}",No,New York City,QUEENS   ,0.0,Not Reported,0.0,3.0,No,Yes,Ford Crown Victoria,1997.0,,
B01537,"{'latitude': '40.551208', 'longitude': '-74.150337'}",No,New York City,STATEN IS,0.0,Not Reported,0.0,1.0,Yes,No,Honda Odyssey,1997.0,,
B01626,"{'latitude': '40.706245', 'longitude': '-73.80929'}",No,New York City,QUEENS   ,4.0,Not Reported,0.0,3.0,No,No,Toyota Sienna,1996.0,,
B01848,"{'latitude': '40.755937', 'longitude': '-73.92898'}",No,New York City,QUEENS   ,30.0,Not Reported,2.0,3.0,Yes,No,Lincoln Town Car,1999.0,,
B01693,"{'latitude': '40.773111', 'longitude': '-73.951724'}",No,New York City,MANHATTAN,0.0,Not Reported,0.0,4.0,No,No,Cadillac DTS,1999.0,,
B01821,"{'latitude': '40.594949', 'longitude': '-73.956043'}",No,New York City,BROOKLYN ,6.0,Not Reported,0.0,2.0,Yes,No,Dodge Caravan,1998.0,,
B02475,"{'latitude': '40.732487', 'longitude': '-73.95427'}",No,New York City,BROOKLYN ,10.0,Not Reported,0.0,2.0,No,No,Toyota Camry,2011.0,,
B02597,"{'latitude': '41.022593', 'longitude': '-73.619392'}",No,New York City,,0.0,Not Reported,0.0,,No,No,Chevrolet Suburban,2012.0,,(RUDY'S EXECUTIVE TRANSPORTATION)
B02795,"{'latitude': '40.641301', 'longitude': '-73.98238'}",No,New York City,BROOKLYN ,44.0,Not Reported,0.0,2.0,No,Yes,Toyota Avalon,2014.0,,
B02712,"{'latitude': '40.612302', 'longitude': '-73.963221'}",No,New York City,BROOKLYN ,12.0,Not Reported,0.0,2.0,No,No,,2013.0,,
B00325,"{'latitude': '40.762236', 'longitude': '-73.87128'}",No,New York City,QUEENS   ,6.0,Not Reported,0.0,3.0,No,Yes,Toyota Camry,1997.0,,
B02101,"{'latitude': '40.755182', 'longitude': '-73.935989'}",No,New York City,QUEENS   ,6.0,Not Reported,0.0,3.0,No,No,Chevrolet Suburban,2004.0,,(EAST COAST WORLDWIDE LIMOUSINE)
B02816,"{'latitude': '40.843784', 'longitude': '-73.845129'}",No,New York City,BRONX    ,25.0,Not Reported,0.0,5.0,Yes,No,Toyota Camry,2014.0,,
B02551,"{'latitude': '40.738362', 'longitude': '-73.895646'}",No,New York City,QUEENS   ,0.0,Not Reported,0.0,3.0,No,No,Chrysler 300,2012.0,,
B00419,"{'latitude': '40.853011', 'longitude': '-73.827527'}",Yes,The Bronx,BRONX    ,16.0,Not Reported,0.0,5.0,Yes,No,Toyota Sienna,1991.0,,
B02248,"{'latitude': '40.678782', 'longitude': '-73.989979'}",No,New York City,BROOKLYN ,92.0,Not Reported,0.0,2.0,No,No,Toyota Sienna,2008.0,,
B02345,"{'latitude': '41.083191', 'longitude': '-74.149513'}",No,New York City,,3.0,Not Reported,0.0,,No,No,Chevrolet Suburban,2009.0,,(FLYTE LINE TRANSPORTATION)
B02228,"{'latitude': '40.800928', 'longitude': '-73.961258'}",No,New York City,MANHATTAN,6.0,Not Reported,0.0,4.0,No,No,Lincoln Town Car,2007.0,,
B02554,"{'latitude': '40.755027', 'longitude': '-73.693562'}",No,New York City,,0.0,Not Reported,0.0,,No,No,Chevrolet Suburban,2012.0,,
B02705,"{'latitude': '40.897082', 'longitude': '-74.09972'}",No,New York City,,0.0,Not Reported,0.0,,No,No,BMW 7-Series,2013.0,,
B00652,"{'latitude': '40.672213', 'longitude': '-73.93892'}",No,New York City,BROOKLYN ,0.0,Not Reported,0.0,2.0,No,Yes,Toyota Camry,1997.0,,
B01455,"{'latitude': '40.742387', 'longitude': '-73.871082'}",No,New York City,QUEENS   ,12.0,Not Reported,0.0,3.0,Yes,No,Lincoln Town Car,1998.0,,
B02217,"{'latitude': '40.715345', 'longitude': '-73.90172'}",No,New York City,QUEENS   ,0.0,Not Reported,0.0,3.0,No,No,Chevrolet Suburban,2007.0,{'url': 'http://pcslimo.com'},
B02776,"{'latitude': '40.771734', 'longitude': '-73.926731'}",No,New York City,QUEENS   ,22.0,Not Reported,0.0,3.0,No,No,Chevrolet Tahoe,2014.0,,
B00492,"{'latitude': '40.898142', 'longitude': '-73.854019'}",No,The Bronx,BRONX    ,0.0,Not Reported,0.0,5.0,No,No,Toyota Camry,1999.0,,
B00381,"{'latitude': '40.638477', 'longitude': '-73.983333'}",No,New York City,BROOKLYN ,9.0,Not Reported,2.0,2.0,No,No,Toyota Avalon,1999.0,,
B01362,"{'latitude': '40.814476', 'longitude': '-73.914387'}",Yes,Manhattan & the Bronx,BRONX    ,9.0,Not Reported,2.0,5.0,Yes,Yes,Lincoln Town Car,1994.0,,
B02838,"{'latitude': '40.622281', 'longitude': '-73.99041'}",No,New York City,BROOKLYN ,8.0,Not Reported,0.0,2.0,No,No,Dodge Caravan,2015.0,,
B00095,"{'latitude': '40.70305', 'longitude': '-73.907668'}",No,New York City,QUEENS   ,5.0,Not Reported,0.0,3.0,No,Yes,Toyota Camry,1997.0,,
B02878,"{'latitude': '40.75273', 'longitude': '-74.00641'}",Yes,New York City,MANHATTAN,13.0,Yes,0.0,4.0,No,No,Toyota Highlander,2015.0,,(ELF)
B02338,"{'latitude': '40.687984', 'longitude': '-73.8337'}",No,New York City,QUEENS   ,0.0,Not Reported,0.0,3.0,No,No,Ford Crown Victoria,2009.0,,
B02003,"{'latitude': '40.638477', 'longitude': '-73.983333'}",No,New York City,BROOKLYN ,3.0,Not Reported,1.0,2.0,No,No,Chevrolet Suburban,2003.0,,
B02871,"{'latitude': '40.75242', 'longitude': '-74.00622'}",Yes,New York City,MANHATTAN,27.0,Yes,0.0,4.0,No,No,Honda Accord,2015.0,,(ACHT)
B01066,"{'latitude': '40.757541', 'longitude': '-73.867041'}",Yes,Flushing,QUEENS   ,9.0,Not Reported,0.0,3.0,No,No,Toyota Camry,1992.0,,
