service_area_linear_feet,total_marketing_materials,sanitation,days_per_week_sanitation,total_revenue,sanitation_workers_employed,planters_and_hanging_baskets,interest_income,streetscape_and_beautification,marketing_materials,hours_dedicated_to_public,g_a_miscellaneous_g_a,g_a_rent_and_utilities,bid_provides_supplemental,public_art_installations,public_events_coordinated,g_a_salaries_and_payroll,misc_income,part_time_staff,street_furniture_elements,bid_provides_supplemental_1,type_of_duties_assigned_to_1,assessment_revenue
16060,6000.0,519963.0,7.0,1470536.0,9.0,20.0,26.0,100082.0,"District guides/Maps/Directories, Event-specific posters/flyers/postcards, BID-branded merchandise",0.0,34103.0,75826.0,True,3.0,7.0,379540.0,4957.0,4.0,40.0,False,,1350000
26880,0.0,30000.0,3.0,110420.0,0.0,0.0,,,,360.0,,7985.0,True,0.0,0.0,,,0.0,0.0,True,"Monitoring Security Cameras, Crime Prevention Workshops, Street Patrol/Ambassadors",110420
47610,11500.0,2799051.0,7.0,7261465.0,70.0,330.0,199369.0,2145211.0,"District guides/Maps/Directories, Event-specific posters/flyers/postcards, BID-branded merchandise, Welcome Packet, Annual Report",13157.0,83481.0,176469.0,True,1.0,115.0,231352.0,,1.0,210.0,True,"Street Patrol/Ambassadors, Traffic Mitigation, Coordination with City Agencies (NYPD, DSNY, DOT, etc.), Homeless/Social Service Outreach, Report Quality of Life Issues to 311",6000000
9930,1000.0,215000.0,7.0,545600.0,4.0,31.0,16600.0,68125.0,Event-specific posters/flyers/postcards,0.0,2100.0,,True,0.0,4.0,,,2.0,52.0,False,,520000
17210,4010.0,191908.0,7.0,653615.0,4.0,76.0,,17803.0,"Event-specific posters/flyers/postcards, Coupon books and/or gift cards",0.0,5710.0,28320.0,True,0.0,6.0,147980.0,,,98.0,False,,534000
8070,2000.0,147750.0,7.0,343750.0,8.0,21.0,,60097.0,"Event-specific posters/flyers/postcards, BID-branded merchandise",,9338.0,245.0,True,14.0,10.0,,,1.0,30.0,False,,259000
7680,2500.0,176658.0,7.0,536750.0,2.0,12.0,,71605.0,District guides/Maps/Directories,0.0,405.0,30742.0,True,0.0,1.0,138559.0,,3.0,0.0,False,,400000
3980,100.0,,7.0,261895.0,3.0,8.0,,58549.0,Event-specific posters/flyers/postcards,,,12184.0,True,10.0,27.0,51584.0,11000.0,20.0,,False,Camera monitoring,210000
11220,10200.0,193538.0,7.0,556437.0,6.0,5.0,4560.0,137055.0,"Event-specific posters/flyers/postcards, BID-branded merchandise, Signage on trash cans, signage on Open Streets, ads in West Side rag",,750.0,8617.0,True,1.0,124.0,71688.0,,19.0,8.0,True,"Coordination with City Agencies (NYPD, DSNY, DOT, etc.)",450000
8010,2000.0,96870.0,7.0,538075.0,3.0,0.0,,76160.0,Event-specific posters/flyers/postcards,0.0,34200.0,28820.0,True,1.0,21.0,147495.0,,10.0,14.0,False,,458800
22380,1275.0,1421924.0,7.0,4263180.0,32.0,144.0,48180.0,425698.0,"Event-specific posters/flyers/postcards, Coupon books and/or gift cards, BID-branded merchandise",14790.0,37470.0,172929.0,True,3.0,14.0,257743.0,,0.0,653.0,True,"Street Patrol/Ambassadors, Coordination with City Agencies (NYPD, DSNY, DOT, etc.), Homeless/Social Service Outreach, Report Quality of Life Issues to 311",4200000
9810,3860.0,75250.0,7.0,354749.0,2.0,2.0,,22407.0,"Event-specific posters/flyers/postcards, Coupon books and/or gift cards",0.0,10072.0,24640.0,True,0.0,7.0,118406.0,,2.0,2.0,True,"Coordination with City Agencies (NYPD, DSNY, DOT, etc.), Homeless/Social Service Outreach, Report Quality of Life Issues to 311",250000
52800,2050.0,7340538.0,7.0,27116488.0,80.0,100.0,1521505.0,553179.0,"District guides/Maps/Directories, Event-specific posters/flyers/postcards, Coupon books and/or gift cards, BID-branded merchandise, Welcome brochure for new businesses, Annual Report",72300.0,,687497.0,True,13.0,90.0,2300889.0,,8.0,1000.0,True,"Monitoring Security Cameras, Crime Prevention Workshops, Street Patrol/Ambassadors, Coordination with City Agencies (NYPD, DSNY, DOT, etc.), Homeless/Social Service Outreach, Report Quality of Life Issues to 311",14347293
15295,2340.0,79292.0,7.0,395713.0,2.0,0.0,6.0,8694.0,"BID-branded merchandise, District maps",1456.0,4717.0,27536.0,True,0.0,11.0,98754.0,,1.0,0.0,True,"Street Patrol/Ambassadors, Coordination with City Agencies (NYPD, DSNY, DOT, etc.), Report Quality of Life Issues to 311",340000
1930,30000.0,86888.0,6.0,1451730.0,3.0,18.0,13500.0,10975.0,"District guides/Maps/Directories, printed monthly magazine—Diamond District Monthly",17000.0,14000.0,1000.0,True,,2.0,100000.0,,2.0,1.0,True,"Monitoring Security Cameras, Crime Prevention Workshops, Street Patrol/Ambassadors, Traffic Mitigation, Coordination with City Agencies (NYPD, DSNY, DOT, etc.)",900000
