system_code,location_code,location_name,police_precinct,community_school_sup_name,grades_final_text,highschool_network_name,tier_2_support_location_name
02M040,M040,P.S. 040 Augustus Saint-Gaudens,13,"CHUMNEY, DONALDA","PK,0K,01,02,03,04,05",,School Support Team 3- Manhattan
17K061,K061,M.S. 061 Dr. Gladstone H. Atwell,71,"ELLIS, CLARENCE","06,07,08",,School Support Team 2- Brooklyn South
02M298,M298,Pace High School,5,,"09,10,11,12",HS Network 04 Superintendent Office,School Support Team 1- Manhattan
18K500,K500,Canarsie High School,69,,"09,10,11,12",HS Network 04,
17K161,K161,P.S. 161 The Crown,71,"ELLIS, CLARENCE","0K,01,02,03,04,05",,School Support Team 2- Brooklyn South
22K109,K109,P.S. 109,67,"BOVE, JULIA","0K,01,02,03,04,05,06,07,08",,School Support Team 6- Brooklyn South
05M129,M129,P.S. 129 John H. Finley,26,"RUX, DANIKA","PK,0K,01,02,03,04,05,06,07,08",,School Support Team 5- Manhattan
84K357,K357,KIPP AMP Charter School,77,,"0K,01,02,03,04,05,06,07,08,09,10,11,12",,
02M393,M393,Business Of Sports School,18,,"09,10,11,12",HS Network 07 Superintendent Office,School Support Team 3- Affinity Group
19K158,K158,P.S. 158 Warwick,75,THOMAS MCBRYDE JR,"PK,0K,01,02,03,04,05",,School Support Team 6- Brooklyn North
22K217,K217,P.S. 217 Colonel David Marcus School,70,"BOVE, JULIA","PK,0K,01,02,03,04,05",,School Support Team 6- Brooklyn South
84K744,K744,Coney Island Preparatory Public Charter Scho ol,60,,"0K,01,02,03,04,05,06,07,08,09,10,11,12",,
18K567,K567,Brooklyn Theatre Arts High School,69,,"09,10,11,12",HS Network 06 Superintendent Office,School Support Team 1- Brooklyn South
17K006,K006,Norma Adams Clemons Academy,70,"ELLIS, CLARENCE","0K,01,02,03,04,05",,School Support Team 2- Brooklyn South
23K697,K697,Teachers Preparatory High School,73,,"09,10,11,12",HS Network 05 Superintendent Office,School Support Team 1- Brooklyn North
22K152,K152,School of Science & Technology,70,"BOVE, JULIA","PK,0K,01,02,03,04,05",,School Support Team 6- Brooklyn South
84M065,M065,Democracy Prep Endurance Charter School,28,,"06,07,08,09,10,11,12",,
19K273,K273,P.S. 273 Wortman,75,THOMAS MCBRYDE JR,"0K,01,02,03,04,05",,School Support Team 6- Brooklyn North
02M343,M343,The Peck Slip School,1,"CHUMNEY, DONALDA","0K,01,02,03,04,05",,School Support Team 4- Manhattan
06M103,M103,Dos Puentes Elementary School,34,"RAMIREZ, MANUEL","0K,01,02,03,04,05",,School Support Team 7- Manhattan
22K139,K139,P.S. 139 Alexine A. Fenty,70,"BOVE, JULIA","PK,0K,01,02,03,04,05",,School Support Team 6- Brooklyn South
06M090,M090,I S 090 Mirabel Sisters,33,Martha Madera,"05,06,07,08",,
03M166,M166,P.S. 166 The Richard Rodgers School of The Arts an,24,"LOUGHLIN, CHRISTINE","PK,0K,01,02,03,04,05",,School Support Team 5- Manhattan
84K379,K379,Explore Excel Charter School,69,,"0K,01,02,03,04,05,06,07,08",,
14K319,K319,P.S. 319,90,"WINNICKI, ALICJA","PK,0K,01",,School Support Team 4- Brooklyn North
14K034,K034,P.S. 034 Oliver H. Perry,94,"WINNICKI, ALICJA","PK,0K,01,02,03,04,05",,School Support Team 4- Brooklyn North
22K255,K255,P.S. 255 Barbara Reing School,61,"BOVE, JULIA","PK,0K,01,02,03,04,05",,School Support Team 6- Brooklyn South
05M195,M195,I.S. 195 Roberto Clemente,30,"REEVES, GALE","06,07,08",,
18K285,K285,I.S. 285 Meyer Levin,67,"WILKINS, BEVERLY","06,07,08",,School Support Team 3- Brooklyn South
02M260,M260,The Clinton School,13,"CHUMNEY, DONALDA","06,07,08,09,10,11,12",,School Support Team 4- Manhattan
21K451,K451,Shorefront High School Of Arts And Sciences At Joh,60,"DIMOLA, ISABEL",,,
79K612,K612,CPHS,13,,"09,10",,
84M335,M335,Harlem Village Academy East Charter School,25,,"01,05,06,07,08,K",,
01M370,M370,ing Project Ms,9,Daniella Phillips,,,
32K299,K299,P.S. 299 Thomas Warren Field,83,"GORSKI, SHEILA","PK,0K,01,02,03,04,05",,School Support Team 2- Brooklyn North
05M123,M123,P.S. 123 Mahalia Jackson,32,"RUX, DANIKA","PK,0K,01,02,03,04,05,06,07,08",,School Support Team 5- Manhattan
19K907,K907,Legacy School of the Arts,75,THOMAS MCBRYDE JR,,,School Support Team 6- Brooklyn North
19K007,K007,P.S. 007 Abraham Lincoln,75,THOMAS MCBRYDE JR,"PK,0K,01,02,03,04,05",,School Support Team 6- Brooklyn North
23K634,K634,General D. Chappie James Middle School of Science,73,"DEGOVIA, MAURICIERE","06,07,08",,
84K726,K726,Fahari Academy Charter School,67,,"05,06,07,08,09,10,11,12",,
13K605,K605,George Westinghouse Career and Technical Education,84,,"09,10,11,12",HS Network 05 Superintendent Office,School Support Team 1- Brooklyn North
20K205,K205,P.S. 205 Clarion,62,"COSTANTINO, KARINA","PK,0K,01,02,03,04,05",,School Support Team 4- Brooklyn South
05M133,M133,P.S. 133 Fred R Moore,25,"RUX, DANIKA","PK,0K,01,02,03,04,05",,School Support Team 5- Manhattan
04M050,M050,P.S. 050 Vito Marcantonio,23,"ESTRELLA, ALEXANDRA","0K,01,02,03,04,05,06,07,08",,
17K353,K353,Elijah Stroud Middle School,77,"ELLIS, CLARENCE","06,07,08",,School Support Team 2- Brooklyn South
15K261,K261,P.S. 261 Philip Livingston,84,"SKOP, ANITA","PK,0K,01,02,03,04,05",,School Support Team 5- Brooklyn North
14K050,K050,J.H.S. 050 John D. Wells,90,"WINNICKI, ALICJA","06,07,08",,School Support Team 4- Brooklyn North
19K224,K224,P.S. 224 Hale A. Woodruff,75,THOMAS MCBRYDE JR,"PK,0K,01,02,03,04,05",,School Support Team 6- Brooklyn North
20K062,K062,J.H.S. 062 Ditmas,66,"COSTANTINO, KARINA","06,07,08",,School Support Team 4- Brooklyn South
03M333,M333,P.S. 333 Manhattan School for Children,24,"LOUGHLIN, CHRISTINE","0K,01,02,03,04,05,06,07,08",,School Support Team 5- Manhattan
05M194,M194,P.S. 194 Countee Cullen,32,"RUX, DANIKA","0K,01,02,03,04,05",,School Support Team 6- Manhattan
22K611,K611,Origins High School,61,,"09,10,11,12",HS Network 06 Superintendent Office,School Support Team 1- Brooklyn South
14K414,K414,Brooklyn Arbor Elementary School,90,"WINNICKI, ALICJA","0K,01,02,03,04,05",,School Support Team 4- Brooklyn North
22K254,K254,P.S. 254 Dag Hammarskjold,61,"BOVE, JULIA","PK,0K,01,02,03,04,05",,School Support Team 6- Brooklyn South
15K656,K656,Brooklyn High School of the Arts,84,"SKOP, ANITA","09,10,11,12",,School Support Team 5- Brooklyn North
21K090,K090,P.S. 90 Edna Cohen School,60,"DIMOLA, ISABEL","PK,0K,01,02,03,04,05",,School Support Team 5- Brooklyn South
05M148,M148,Eagle Academy for Young Men of Harlem,32,"RUX, DANIKA","06,07,08,09,10,11,12",,School Support Team 5- Manhattan
22K198,K198,P.S. 198 Brooklyn,67,"BOVE, JULIA","PK,0K,01,02,03,04,05",,School Support Team 6- Brooklyn South
15K130,K130,P.S. 130 The Parkside,72,"SKOP, ANITA","PK,0K,01,02,03,04,05",,School Support Team 5- Brooklyn North
17K469,K469,Erasmus Campus - Humanities,70,Rhonda Hurdle Taylor,"09,10,11,12",,
13K307,K307,P.S. 307 Daniel Hale Williams,84,"SAMUELS, KAMAR","PK,0K,01,02,03,04,05",,School Support Team 3- Brooklyn North
20K682,K682,The Academy of Talented Scholars,62,"COSTANTINO, KARINA","0K,01,02,03,04,05",,School Support Team 4- Brooklyn South
84K702,K702,Community Partnership Charter School,88,,"0K,01,02,03,04,05",,
16K627,K627,Brighter Choice Community School,79,"MARTIN, YOLANDA","PK,0K,01,02,03,04,05",,School Support Team 7- Brooklyn North
13K093,K093,P.S. 093 William H. Prescott,79,"SAMUELS, KAMAR","PK,0K,01,02,03,04,05",,School Support Team 3- Brooklyn North
23K647,K647,Metropolitan Diploma Plus High School,73,,"09,10,11,12",HS Network 10 Superintendent Office,School Support Team 2- Brooklyn North
14K257,K257,P.S. 257 John F. Hylan,90,"WINNICKI, ALICJA","PK,0K,01,02,03,04,05",,School Support Team 4- Brooklyn North
23K643,K643,Brooklyn Democracy Academy,73,,"09,10,11,12",HS Network 10 Superintendent Office,School Support Team 3- Affinity Group
84M202,M202,Great Oaks Charter School,5,,"06,07,08,09,10,11,12",,
02M400,M400,High School for Environmental Studies,18,,"09,10,11,12",HS Network 04 Superintendent Office,School Support Team 1- Manhattan
21K238,K238,P.S. 238 Anne Sullivan,61,"DIMOLA, ISABEL","PK,0K,01,02,03,04,05,06,07,08",,School Support Team 5- Brooklyn South
19K306,K306,P.S. 306 Ethan Allen,75,THOMAS MCBRYDE JR,"PK,0K,01,02,03,04,05",,School Support Team 6- Brooklyn North
04M037,M037,River East Elementary,25,"ESTRELLA, ALEXANDRA","0K,01,02,03,04,05",,School Support Team 6- Manhattan
17K399,K399,P.S. 399 Stanley Eugene Clark!,67,"ELLIS, CLARENCE","0K,01,02,03,04,05",,School Support Team 2- Brooklyn South
01M142,M142,P.S. 142 Amalia Castro,7,"CHAN, CARRY","PK,0K,01,02,03,04,05",,School Support Team 3- Manhattan
23K747,K747,P.S. 747 A Great Start Academy,73,"PATE, MIATHERESA",,,
20K127,K127,P.S. 127 Mckinley Park,68,"COSTANTINO, KARINA","0K,01,02,03,04,05",,School Support Team 4- Brooklyn South
02M419,M419,Landmark High School,10,,"09,10,11,12",H.S. Network 12 Superintendent Office,School Support Team 5- Affinity Group
84K796,K796,Lefferts Gardens Charter School,71,,"0K,01,02,03,04,05",,
17K532,K532,New Bridges Elementary,77,"ELLIS, CLARENCE","PK,0K,01,02,03,04,05",,School Support Team 2- Brooklyn South
22K251,K251,P.S. 251 Paerdegat,63,"BOVE, JULIA","PK,0K,01,02,03,04,05",,School Support Team 6- Brooklyn South
06M052,M052,Harold O. Levy School,34,"RAMIREZ, MANUEL","06,07,08",,School Support Team 7- Manhattan
17K181,K181,P.S. 181 Brooklyn,67,"ELLIS, CLARENCE","PK,0K,01,02,03,04,05,06,07,08",,School Support Team 2- Brooklyn South
32K168,K168,The Brooklyn School for Math and Research,83,,"09,10,11,12",HS Network 07 Superintendent Office,School Support Team 3- Affinity Group
15K051,K051,M.S. 51 William Alexander,78,"SKOP, ANITA","06,07,08",,School Support Team 5- Brooklyn North
03M149,M149,P.S. 149 Sojourner Truth,28,"LOUGHLIN, CHRISTINE","PK,0K,01,02,03,04,05,06,07,08",,School Support Team 5- Manhattan
79K512,K512,Bushwick Outreach,83,Lillian Druck,,,
04M101,M101,P.S. 101 Andrew Draper,23,"CORTAZZO, LUZ","0K,01,02,03,04,05,06,07,08,SE",,
03M208,M208,The Alain L. Locke Magnet School for Environmental,28,"ALTSCHUL, ILENE","03,04,05",,
01M140,M140,P.S. 140 Nathan Straus,7,"CHAN, CARRY","PK,0K,01,02,03,04,05,06,07,08",,School Support Team 3- Manhattan
84M320,M320,Manhattan Charter School,7,,"0K,01,02,03,04,05",,
17K705,K705,Brooklyn Arts and Science Elementary School,77,"ELLIS, CLARENCE","PK,0K,01,02,03,04,05",,School Support Team 2- Brooklyn South
84K711,K711,Leadership Preparatory Brownsville Charter School,73,,"0K,01,02,03,04,05,06,07,08",,
05M344,M344,Academy of Collaborative Education,32,"REEVES, GALE","06,07,08",,
84K803,K803,Brooklyn LAB Charter School,84,,"06,07,08",,
18K219,K219,P.S. 219 Kennedy-King,67,"WILKINS, BEVERLY","PK,0K,01,02,03,04,05",,School Support Team 3- Brooklyn South
03M191,M191,The Riverside School for Makers and Artists,20,"LOUGHLIN, CHRISTINE","0K,01,02,03,04,05,06,07,08,SE",,School Support Team 5- Manhattan
14K586,K586,Lyons Community School,90,,"06,07,08,09,10,11,12",H.S. Network 12 Superintendent Office,School Support Team 5- Affinity Group
84M385,M385,Success Academy Charter School - Harlem 3,23,,"0K,01,02,03,04,05,06,07,08,09,10,11,12",,
13K595,K595,Bedford Academy High School-,79,,"09,10,11,12",HS Network 05 Superintendent Office,School Support Team 1- Brooklyn North
14K322,K322,Foundations Academy,79,,"09,10,11,12",H.S. Network 09 Superintendent Office,
20K247,K247,P.S. 247 Brooklyn,62,"COSTANTINO, KARINA","PK,0K,01,02,03,04,05",,School Support Team 4- Brooklyn South
02M267,M267,"East Side Elementary School, PS 267",19,"CHUMNEY, DONALDA","0K,01,02,03,04,05",,School Support Team 4- Manhattan
03M283,M283,Manhattan Theatre Lab High School,20,,"09,10,11,12",HS Network 03 Superintendent Office,
84K538,K538,&Achievement First Bushwick Charter School,83,,"0K,01,02,03,04,05,06,07,08,09,10,11,12",,
13K509,K509,Freedom Academy High School,84,,"09,10,11,12",HS Network 01,
84K766,K766,The International Charter School of New York,84,,"0K,01,02,03,04,05",,
04M038,M038,P.S. 38 Roberto Clemente,23,"ESTRELLA, ALEXANDRA","PK,0K,01,02,03,04,05",,School Support Team 6- Manhattan
84K892,K892,Brooklyn Emerging Leaders Academy,81,,"09,10,11,12",,
18K763,K763,Brooklyn Science and Engineering Academy,67,"WILKINS, BEVERLY","06,07,08",,School Support Team 3- Brooklyn South
19K618,K618,Academy of Innovative Technology,75,,"09,10,11,12",HS Network 07 Superintendent Office,School Support Team 3- Affinity Group
75M169,M169,P.S. M169 - Robert F. Kennedy,19,"LOUISSAINT, KETLER","01,02,03,04,05,06,07,08,09,10,11,12,SE",,Children First Network 754
02M412,M412,N.Y.C. Lab School for Collaborative Studies,10,,"09,10,11,12",HS Network 04 Superintendent Office,School Support Team 1- Manhattan
13K350,K350,Urban Assembly School of Music and Art,88,,"09,10,11,12",HS Network 05 Superintendent Office,School Support Team 1- Brooklyn North
23K446,K446,Riverdale Avenue Community School,73,"PATE, MIATHERESA","PK,0K,01,02,03,04,05",,School Support Team 7- Brooklyn North
84K757,K757,Unity Prep Charter School,79,,"06,07,08,09,10,11,12",,
18K415,K415,Samuel J. Tilden High School,67,,"09,10,11,12",HS Network 10,
84K789,K789,Compass Charter School,88,,"0K,01,02,03,04,05",,
15K447,K447,!The Math & Science Exploratory School,84,"SKOP, ANITA","06,07,08",,School Support Team 5- Brooklyn North
02M116,M116,P.S. 116 Mary Lindley Murray,17,"CHUMNEY, DONALDA","0K,01,02,03,04,05",,School Support Team 4- Manhattan
05M302,M302,KAPPA IV,32,"RUX, DANIKA","06,07,08",,
17K022,K022,P.S. 022,77,"SIMMONS, BUFFIE","0K,01,02,03,04,05",,
18K617,K617,High School for Innovation in Advertising and Medi,69,,"09,10,11,12",HS Network 07 Superintendent Office,School Support Team 3- Affinity Group
14K318,K318,I.S. 318 Eugenio Maria De Hostos,90,"WINNICKI, ALICJA","06,07,08",,School Support Team 4- Brooklyn North
03M403,M403,The Global Learning Collaborative,20,,"09,10,11,12",HS Network 04 Superintendent Office,School Support Team 2- Manhattan
06M326,M326,M.S. 326 - Writers Today & Leaders Tomorrow,33,"RAMIREZ, MANUEL","06,07,08",,
20K160,K160,P.S. 160 William T. Sampson,66,"COSTANTINO, KARINA","PK,0K,01,02,03,04,05",,School Support Team 4- Brooklyn South
01M292,M292,Orchard Collegiate Academy,7,"CHAN, CARRY","09,10,11,12",,School Support Team 3- Manhattan
19K504,K504,High School for Civil Rights,75,,"09,10,11,12",HS Network 05 Superintendent Office,School Support Team 1- Brooklyn North
20K170,K170,Ralph A. Fabrizio School,68,"COSTANTINO, KARINA","0K,01,02,03,04,05",,School Support Team 4- Brooklyn South
79K565,K565,HS Of Redirection,73,,"09,10,11,12",,
14K147,K147,P.S. 147 Isaac Remsen,90,"WINNICKI, ALICJA","PK,0K,01,02,03,04,05",,School Support Team 4- Brooklyn North
84M373,M373,Zeta Charter Schools - New York City 1,34,,,,
18K629,K629,Cultural Academy for the Arts and Sciences,67,,"09,10,11,12",HS Network 06 Superintendent Office,School Support Team 1- Brooklyn South
21K559,K559,Life Academy High School for Film and Music,60,,"09,10,11,12",HS Network 06 Superintendent Office,School Support Team 1- Brooklyn South
84K746,K746,Hebrew Language Academy Charter School,63,,"0K,01,02,03,04,05,06,07,08",,
06M018,M018,P.S. 018 Park Terrace,34,"RAMIREZ, MANUEL","0K,01,02,03,04,05,06,07,08",,School Support Team 7- Manhattan
22K014,K014,J.H.S. 014 Shell Bank,61,"BOVE, JULIA","06,07,08",,School Support Team 6- Brooklyn South
32K291,K291,J.H.S. 291 Roland Hayes,83,"GORSKI, SHEILA","06,07,08",,School Support Team 2- Brooklyn North
06M173,M173,P.S. 173,33,"RAMIREZ, MANUEL","PK,0K,01,02,03,04,05",,School Support Team 7- Manhattan
02M114,M114,East Side Middle School,19,"CHUMNEY, DONALDA","06,07,08",,School Support Team 4- Manhattan
01M056,M056,JHS 056 Corlears,7,Daniella Phillips,"06,07,08,09",,
13K527,K527,Urban Assembly Institute of Math and Science for Y,84,,"06,07,08,09,10,11,12",HS Network 03 Superintendent Office,School Support Team 4- Affinity Group
14K084,K084,P.S. 084 Jose De Diego,90,"WINNICKI, ALICJA","PK,0K,01,02,03,04,05,06,07,08",,School Support Team 4- Brooklyn North
19K683,K683,School for Classics High School,75,,"09,10,11,12",HS Network 05 Superintendent Office,School Support Team 3- Brooklyn North
02M394,M394,Emma Lazarus High School,5,,"09,10,11,12",HS Network 10 Superintendent Office,School Support Team 2- Manhattan
11X135,X135,J.H.S. 135 Frank D. Whalen,49,Elizabeth White,"06,07,08",,
75M226,M226,P.S. M226,13,"LOUISSAINT, KETLER","PK,0K,01,02,03,04,05,06,07,08,09,10,11,12,SE",,Children First Network 752
13K499,K499,ACORN Community High School,77,,"09,10,11,12",HS Network 05 Superintendent Office,School Support Team 1- Brooklyn North
18K588,K588,Middle School for Art and Philosophy,67,"WILKINS, BEVERLY","06,07,08",,School Support Team 3- Brooklyn South
16K672,K672,New Eagle Academy at K455,81,"MARTIN, YOLANDA",,,
84M336,M336,KIPP Infinity Charter School,30,,"0K,01,02,03,04,05,06,07,08,09,10,11,12",,
84K680,K680,Achievement First Aspire Charter School,75,,"0K,01,02,03,04,05,06,07,08",,
21K226,K226,P.S. 226 Alfred De B. Mason,66,"DIMOLA, ISABEL","PK,0K,01,02,03,04,05,06,07,08",,School Support Team 5- Brooklyn South
84K513,K513,East New York Preparatory Charter School,73,,"0K,01,02,03,04,05,06,07,08",,
23K644,K644,Eagle Academy for Young Men II,73,"PATE, MIATHERESA","06,07,08,09,10,11,12",,School Support Team 7- Brooklyn North
17K246,K246,M.S. 246 Walt Whitman,67,"ELLIS, CLARENCE","06,07,08",,School Support Team 2- Brooklyn South
17K751,K751,Academy for Health Careers,77,,"09,10,11,12",HS Network 07 Superintendent Office,School Support Team 3- Affinity Group
16K385,K385,"School of Business, Finance and Entrepreneurship",81,"AMON, RAHESHA","06,07,08",,
18K366,K366,The Science And Medicine Middle School,69,"WILKINS, BEVERLY","06,07,08",,School Support Team 3- Brooklyn South
16K021,K021,P.S. 021 Crispus Attucks,81,"MARTIN, YOLANDA","PK,0K,01,02,03,04,05",,School Support Team 7- Brooklyn North
04M012,M012,Tag Young Scholars,23,"ESTRELLA, ALEXANDRA","0K,01,02,03,04,05,06,07,08",,School Support Team 6- Manhattan
20K164,K164,P.S. 164 Caesar Rodney,66,"COSTANTINO, KARINA","PK,0K,01,02,03,04,05",,School Support Team 4- Brooklyn South
17K646,K646,Aspirations Diploma Plus High School,71,,"09,10,11,12",HS Network 10 Superintendent Office,School Support Team 1- Brooklyn South
22K630,K630,Professional Pathways High School,61,,"09,10,11,12",HS Network 10 Superintendent Office,School Support Team 1- Brooklyn South
84K883,K883,Success Academy Charter School - Bed Stuy 3,79,,"0K,01,02,03,04,05",,
19K260,K260,P.S. 260 Breuckelen,69,"STALLINGS-HARTE, JOYCE","PK,0K,01,02,03,04,05,06,SE",,
21K095,K095,P.S. 095 The Gravesend,61,"DIMOLA, ISABEL","PK,0K,01,02,03,04,05,06,07,08",,School Support Team 5- Brooklyn South
02M303,M303,"Facing History School, The",18,,"09,10,11,12",H.S. Network 12 Superintendent Office,School Support Team 5- Affinity Group
13K691,K691,Fort Greene Preparatory Academy,88,"SAMUELS, KAMAR","06,07,08",,School Support Team 3- Brooklyn North
21K098,K098,I.S. 98 Bay Academy,61,"DIMOLA, ISABEL","06,07,08",,School Support Team 5- Brooklyn South
16K262,K262,P.S. 262 El Hajj Malik El Shabazz Elementary Schoo,81,"MARTIN, YOLANDA","0K,01,02,03,04,05",,School Support Team 7- Brooklyn North
22K193,K193,P.S. 193 Gil Hodges,70,"BOVE, JULIA","PK,0K,01,02,03,04,05",,School Support Team 6- Brooklyn South
17K539,K539,High School for Service & Learning at Erasmus,70,,"09,10,11,12",HS Network 07 Superintendent Office,School Support Team 3- Affinity Group
16K057,K057,Whitelaw Reid Academy of Arts and Business,81,"MARTIN, YOLANDA","06,07,08",,School Support Team 4- Brooklyn North
22K078,K078,J.H.S. 078 Roy H. Mann,63,"BOVE, JULIA","06,07,08",,School Support Team 6- Brooklyn South
15K443,K443,New Voices School of Academic & Creative Arts,72,"SKOP, ANITA","06,07,08",,School Support Team 5- Brooklyn North
03M054,M054,J.H.S. 054 Booker T. Washington,24,"LOUGHLIN, CHRISTINE","06,07,08",,School Support Team 5- Manhattan
02M312,M312,New York City Lab Middle School for Collaborative,10,"CHUMNEY, DONALDA","06,07,08",,School Support Team 4- Manhattan
14K561,K561,Williamsburg Preparatory School,94,,"09,10,11,12",HS Network 05 Superintendent Office,School Support Team 1- Brooklyn North
06M314,M314,Muscota,34,"RAMIREZ, MANUEL","0K,01,02,03,04,05",,School Support Team 7- Manhattan
13K020,K020,P.S. 020 Clinton Hill,88,"SAMUELS, KAMAR","PK,0K,01,02,03,04,05",,School Support Team 3- Brooklyn North
84K359,K359,The Uft Charter School,75,,"09,10,11,12",,
32K556,K556,Bushwick Leaders High School for Academic Excellen,83,,"09,10,11,12",HS Network 05 Superintendent Office,School Support Team 1- Brooklyn North
18K515,K515,South Shore High School,69,,"09,10,11,12",HS Network 10,
17K440,K440,Prospect Heights Hs,71,Rhonda Hurdle Taylor,"09,10,11,12",,
20K176,K176,P.S. 176 Ovington,68,"COSTANTINO, KARINA","0K,01,02,03,04,05",,School Support Team 4- Brooklyn South
19K659,K659,Cypress Hills Collegiate Preparatory School,75,,"09,10,11,12",HS Network 05 Superintendent Office,School Support Team 3- Brooklyn North
