dbn,school_name,fax_number,prgdesc1,offer_rate8,eligibility10,school_email,seats9ge3,seats9swd3,website,interest4,council_district,grade9swdapplicants2,requirement1_1,code4,grade9geapplicantsperseat10,graduation_rate,requirement2_3,directions6,grade9geapplicants1,grade9geapplicantsperseat8,appperseat2specialized,seats9ge8,admissionspriority14,requirement2_8,seats105,grade9swdapplicantsperseat6,seats109,prgdesc4,psal_sports_coed,seats9ge2,directions7,grade9swdfilledflag9,applicants4specialized,campus_name,applicants2specialized,seats5specialized,offer_rate1,method2,appperseat6specialized,seats9ge10,community_board,requirement2_2,grade9gefilledflag7,code6,program2,method4,requirement8_1,school_10th_seats,applicants5specialized,eligibility2,prgdesc7,admissionspriority18,seats9swd9,directions1,admissionspriority35,seats9ge4,grade9swdapplicants9,grade9gefilledflag6
25Q460,Flushing High School,718-886-4255,"Introduction to Law, Criminology and Juvenile Justice, Practical Law, Constitutional Law, Civil Rights Law, Trial Techniques, and Advanced Topics in Law Enforcement. Students can choose one area of study: Legal Studies or Law Enforcement.",,,MVacarr@schools.nyc.gov,76,10,flushinghighschool.org,Zoned,20.0,95,,Q18Z,,0.63,,,505.0,,,,Priority to students who apply and live in the zoned area,,,,,,,109,,,,Flushing Educational Campus,,,,Ed. Opt.,,,7.0,,,,Academy of Health Sciences,Zoned Priority,,Y,,,,,,,,N/A - zoned program,,
09X329,DreamYard Preparatory School,718-410-4312,,,,dypreprecruitment@dreamyard.com,,,dyprep.org,,16.0,,,,,0.57,,,341.0,,,,,,,,,,Double Dutch,,,,,William Howard Taft Educational Campus,,,-77% of offers went to this group,,,,4.0,,,,,,,Y,,,,,,,,,,
28Q686,Queens Metropolitan High School,718-286-3601,,,,Kramazan@queensmetro.org,,,queensmetro.com,,29.0,,,,,0.91,,,,,,,,,,,,,Stunt,,,,,Metropolitan Educational Campus,,,-78% of offers went to this group,,,,6.0,,,,,,,Y,,,,,,,,,,
19K422,Spring Creek Commun ity School,718-688-7206,,,,CKoza@schools.nyc.gov,,,schools.nyc.gov/SchoolPortals/19/K422,,42.0,N/A - continuing program,,,,,,,351.0,,,,,,,,,,,N/A - continuing program,,,,Spring Creek Educational Campus,,,,For Continuing 8th Graders,,,5.0,,,,Spring Creek Community School for Current Students,,,,,Open only to continuing 8th graders,,,,,,,,
06M462,The College Academy,212-927-2388,The college preparatory program is an academically rigorous program that infuses a college-going culture throughout all aspects of high school life.,,,vhurtado@schools.nyc.gov,,,thecollegeacademy.com,,10.0,N/A - new program,,,,0.56,,,349.0,,,,,,,,,,,N/A - new program,,,,George Washington Educational Campus,,,-55% of offers went to this group,Screened: Language,,,12.0,,,,Dual Language Spanish,,,Y,,,,,,,,,,
19K683,"The School for Classics: An Academy of Thinkers, Writers and Performers",718-277-1873,"Our dedicated theater team has developed a rigorous sequence of courses that involve portraying complex characters, scene work, monologues, and improvisation. Students who elect to be at our school begin their high school career with introductory theater classes which progress to the writing and the performing of plays. Theater performances are staged by students guided by their teachers. Such performances take place at least two times a year.",,,,,,schools.nyc.gov/SchoolPortals/19/K683,,42.0,,,,,0.6,,,253.0,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,Y,,,,,,,,,,
08X558,Westchester Square Academy,718-904-5055,,,,info@westchestersquare.org,,,schools.nyc.gov/SchoolPortals/08/X558,,13.0,27,,,,0.77,,,681.0,,,,,,,,,,"Cricket, Stunt",43,,,,Herbert H. Lehman Educational Campus,,,-21% of offers went to this group,Screened,,,10.0,Punctuality,,,Westchester Square Academy Honors Program,,,Y,,,,,,,,,,
04M680,"Heritage School, The",212-828-2861,"While we provide a Humanities and Interdisciplinary approach to entering 9th and 10th graders, we continue to provide additional Math and Science courses in addition to Advanced Placement courses and CUNY College Now courses at Hunter College.",,,ARodriguez21@schools.nyc.gov,,,schools.nyc.gov/SchoolPortals/04/M680,,8.0,,,,,0.71,,,302.0,,,,,,,,,,,,,,,,,,-84% of offers went to this group,,,,11.0,,,,,,,Y,,,,,,,,,,
22K630,Professional Pathways High School,718-332-6296,,,,ddecamp@schools.nyc.gov,,,schools.nyc.gov/SchoolPortals/22/K630,,48.0,,,,,,,,5.0,,,,,,,,,,Cricket,,,,,Frank J. Macchiarola Educational Complex,,,,,,,15.0,,,,,,,Y,,,,,,,,,,
28Q680,Queens Gateway to Health Sciences Secondary School,718-969-3552,Provides ongoing exposure to health science careers. All students are required to take four years of mathematics and science.,,,JHenry2@schools.nyc.gov,,,queensgateway.org,,24.0,,Attendance,,,0.97,,,2156.0,,,,,,,,,,,,,,,,,,-34% of offers went to this group,,,,8.0,,,,,,,Y,,,,,,,,,,
10X243,West Bronx Academy for the Future,718-563-7362,,,,info@bronxacademy.org,,,schools.nyc.gov/SchoolPortals/10/X243,,15.0,,,,,0.87,,,740.0,,,,,,,,,,,,,,,Theodore Roosevelt Educational Campus,,,-69% of offers went to this group,,,,6.0,,,,,,,,,,,,,,,,,
09X263,Validus Preparatory Academy,718,"Through the College Bound Initiative, our full-time Director of College Counseling (DCC) works closely with principal and teachers to create a college-going culture that raises parent and student expectations. DCC guides students to overcome barriers to college entry through early college awareness activities, application, financial aid and enrollment support.",,,CHibber@schools.nyc.gov,,,validusprep.org,,16.0,,Reading and Math Assessment,,,0.72,,,357.0,,,,,,,,,,Double Dutch,,,,,,,,-100% of offers went to this group,,,,3.0,,,,,,,,,,,,,,,,,
05M362,Columbia Secondary School,212-666-3805,,,,roxanabosch@columbiasecondary.org,,,columbiasecondary.org,,7.0,,Attendance,,,0.98,,,3001.0,,,,,,,,,,,,,,,,,,-60% of offers went to this group,,,,9.0,,,,,,,,,,,,,,,,,
02M551,Urban Assembly New York Harbor School,212-458-0801,"Students choose from one of the following programs: Aquaculture, Marine Biology Research, or Ocean Engineering. Students may receive corresponding certifications for each program, such as Geographic Information System certification or US Safe Boaters License.",,,admissions@newyorkharborschool.org,,,newyorkharborschool.org,,1.0,84,Demonstrated Interest,,,0.81,,,345.0,,,,,,,,,,,45,,,,,,,,Ed. Opt.,,,1.0,,,,Marine Technology,,,Y,,,,,,,,,,
17K531,The School for Human Rights,718-771-4815,,,,malexan@schools.nyc.gov,,,schools.nyc.gov/SchoolPortals/17/K531,,40.0,,,,,0.81,,,299.0,,,,,,,,,,Cricket,,,,,George Wingate Educational Campus,,,-37% of offers went to this group,,,,9.0,,,,,,,Y,,,,,,,,,,
03M541,Manhattan / Hunter Science High School,212-501-1171,"Early College Program in which students complete college coursework at Hunter College prior to graduation. Students spend 12th grade on the Hunter campus. Strong accelerated academic programs, four years of rigorous math and science credit. Ability to earn additional college credits while at the high school.",,,hbranche@schools.nyc.gov,,,mhshs.org,,6.0,,Attendance,,,0.99,,,6166.0,,,,,,,,,,Double Dutch,,,,,"Martin Luther King, Jr. Educational Campus",,,,,,,7.0,,,,,,,Y,,,,,,Visit mhshs.org/admissions,,,,
12X682,Fannie Lou Hamer Freedom High School,718-861-0619,,,,admissions@flhfhs.org,,,flhfhs.org,,17.0,,,,,0.66,,,388.0,,,,,,,,,,,,,,,,,,-19% of offers went to this group,,,,3.0,,,,,,,Y,,,,,,,,,,
21K540,John Dewey High School,718-266-4385,"This program provides students with management theories and operational talents in partnership with National Academy of Finance, Careers through Culinary Arts Program, and Virtual Enterprise, Inc. Students are exposed to hands-on, practical experiences beginning in the ninth grade and culminating with internships prior to senior year. Graduates will have the opportunity to leave with one or more certificates related to their specialty area.",,,contact_jdhs@johndeweyhighschool.org,56,12,johndeweyhighschool.org,Health Professions,47.0,3,Demonstrated Interest: School Visit,K56L,,0.75,Punctuality,,498.0,,,,Priority to Brooklyn students or residents,,Yes-10,3,,"This program equips students with the knowledge, skills, and competencies for success in college pre-med programs. This four-year math and science program culminates in internships at various medical facilities. Students take advanced placement courses in biology, chemistry, anatomy, and physiology and participate in Health Occupation Students of America. Students graduate with their CPR certification and at least two other certification courses offered by the American Red Cross.",Double Dutch,37,,,,,,,-97% of offers went to this group,Screened: Language,,,13.0,,,K56T,Chinese Transitional Bilingual Educational Program,Screened,,Y,,Open only to students whose home language is Chinese,,,,,,56,,N
27Q334,Epic High School - North,718-570-8231,,,,info@epicschools.nyc.org,,,epicschoolsnyc.org,,28.0,,,,,,,,503.0,,,,,,,,,,,,,,,,,,(No offers went to this group),,,,9.0,,,,,,,,,,,,,,,,,
02M260,"Clinton School Writers & Artists, M.S. 260",212-524-4365,,,,admissions@theclintonschool.net,,,theclintonschool.net,,2.0,,Attendance,,,,,,1492.0,,,,,,,,,,,,,,,,,,-60% of offers went to this group,,,,5.0,,,,,,,Y,,,,,,Visit theclintonschool.net,,,,
18K633,High School for Medical Professions,718-290-8705,,,,MRuggiero3@schools.nyc.gov,,,hsmp.org,,46.0,,,,,0.87,,,1086.0,,,,,,,,,,,,,,,Canarsie Educational Campus,,,-94% of offers went to this group,,,,18.0,,,,,,,Y,,,,,,,,,,
03M494,High School of Arts and Technology,917-441-3693,"Arts and Technology Infusion Program is an Interdisciplinary program with courses in visual arts (all media), computer literacy, graphic arts, and media technology.",,,info@artsandtech.net,,,schools.nyc.gov/SchoolPortals/03/M494,,6.0,87,,,,0.67,,,823.0,,,,,,,,,,Double Dutch,57,,,,"Martin Luther King, Jr. Educational Campus",,,,Limited Unscreened,,,7.0,,,,Digital Media,,,Y,,,,,,,,,,
13K595,Bedford Academy High School,718-636-3819,Courses in fundamental and advanced technology; opportunities for our students to work with and learn from school partners in education and specialists in the field.,,,ptate@schools.nyc.gov,,,bedfordacademyhs.org,,36.0,77,Attendance,,,0.98,,,2100.0,,,,,,,,,,,33,,,,,,,-85% of offers went to this group,Screened,,,3.0,Punctuality,,,Health Professions,,Writing Exercise,,,,,,,Please contact the school about the on-site requirement.,,,,
18K617,High School for Innovation in Advertising and Media,718-290-8766,"The advertising and media program teaches students how these areas impact the creation of a business solution for clients. Students have the opportunity to explore and become certified in the technology used in advertising including programming, animation, web design, and production. Throughout four years at IAM, students will be exposed to professional settings through field trips and competitions. Students are also able to explore software engineering, including game, web, and app development.",,,info@iam-hs.org,,,iam-hs.org,,46.0,,,,,0.75,,,274.0,,,,,,,,,,,,,,,Canarsie Educational Campus,,,-39% of offers went to this group,,,,18.0,,,,,,,,,,,,,,,,,
30Q258,Energy Tech High School,718-472-0490,"Students take rigorous STEM coursework in preparation for college-level math, science, and engineering courses as early as 10th grade through a partner college. Students declare an electrical or mechanical concentration by the end of 12th grade, in preparation for intensive study and internship opportunities in 12th-14th grades. Pathways focus on engineering and technology careers in the energy/utility industry, with varied opportunities for field trips, job shadowing, mentoring, etc.",,,energytech@energytechhs.org,,,energytechschool.org,,26.0,,,,,,,,1360.0,,,,,,,,,,,,,,,,,,-100% of offers went to this group,,,,1.0,,,,,,,Y,,,,,,,,,,
23K697,Teachers Preparatory High School,718-345- 8069,College- and career-readiness program that prepares students to transition in all careers especially in the arts and teaching.,,,CSimon6@schools.nyc.gov,,,Teachersprep.org,,41.0,N/A - continuing program,,,,0.68,,,125.0,,,,,,,,,,Double Dutch,N/A - continuing program,,,,,,,,For Continuing 8th Graders,,,16.0,,,,Teachers Preparatory High School for Current Students,,,Y,,Open only to continuing eighth graders,,,,,,,,
10X440,DeWitt Clinton High School,718-548-0036,"Students explore the numerous career pathways available in the health professions. With rigorous courses and unique learning opportunities, students acquire background knowledge to continue their studies in health careers after high school. Some potential careers include medical technologists and assistants, nursing, patient care, medical billing, and veterinary studies.",,,dwc@dwchs.net,71,19,dwchs.net,Science & Math,11.0,10,,X10K,,0.48,Course Grades: Average (69-100),,607.0,,,,Priority to Bronx students or residents,,Yes-10,,,"Students develop 21st century skills as they deepen their exploration in fields of science, technology, engineering, and mathematics. Specifically, students will learn coding, computer programming, mechanical design, and how they relate to areas such as robotics. In addition, students will learn about environmental engineering with a focus in agriculture and sustainability.",Cricket,54,,,,DeWitt Clinton Educational Campus,,,-97% of offers went to this group,Screened: Language,,,7.0,,,,Newcomers'-Global Community,Ed. Opt.,,Y,,,,,,,,71,,
20K505,Franklin Delano Roosevelt High School,718-232-9513,"Students will explore the field of robotic design using a variety of hands on activities. Students begin with an introduction to the tools used to create robotic devices. As they progress through the series of classes, computer programming becomes an essential and vital element. This culminates in a capstone design project and teaching assistant positions for students to mentor our incoming engineers. Our Robotics Academy offers opportunities for scholarships and research opportunities.",,,MKatz10@schools.nyc.gov,56,12,fdrhs.org,Visual Art & Design,44.0,78,,K16E,,0.62,,,788.0,,,,,,No,N/A - new program,,"Our mission is to prepare students for college and career opportunities in fields such as advertising, graphic arts, publishing, journalism, television, and film/theater. Courses are centered on a learning environment comprised of state of the art facilities including Mac labs, the complete suite of Adobe Creative Suite software, 3-D modeling printers, advanced photography laboratories, and a Black Box Theater. There is a capstone project where students finalize their portfolio.","Cricket, Golf",56,,,,,,,,Ed. Opt.,,,12.0,,N/A - zoned program,K16G,STEAM-Environmental Studies,Ed. Opt.,,Y,,Open only to Brooklyn students or residents,Comprehensive academic program.,,,,,56,,N/A - new program
17K537,*High School for Youth and Community Development at Erasmus,718-564-2471,"Students create a web-based portfolio in fine arts, performing arts, spoken word, playwriting, screenwriting, and photography.",,,jsinovoi@ycdhs.org,,,schools.nyc.gov/SchoolPortals/17/K537 or ycdhs.org,,40.0,40,,,,0.76,,,287.0,,,,,,,,,,"Double Dutch, Stunt",45,,,,Erasmus Hall Educational Campus,,,-92% of offers went to this group,Limited Unscreened,,,14.0,,,,Media,,,Y,,,,,,,,,,
06M552,Gregorio Luperon High School for Science and Mathematics,212-928-1309,"Students take a four year sequence in Science, Mathematics, and Social Studies in a bilingual setting; extensive sequence of English as a New Language and English Language Arts; Spanish AP Language and their choice of other AP courses and/or electives; and modified programs to serve the needs of Newcomers transitioning to New York City. All four years encompass objectives of college and career preparedness and readiness.",,,ydelaro@schools.nyc.gov,,,schools.nyc.gov/SchoolPortals/06/M552,,10.0,N/A - new program,Attendance,,,0.72,,,400.0,,,,,,,,,,,N/A - new program,,,,,,,-65% of offers went to this group,Screened: Language,,,12.0,,,,Dual Language Spanish,,,Y,,,,,,,,,,
28Q505,Hillcrest High School,718-739-5137,"NYS CTE Certified Nursing Assistant program that includes supervised clinical rotations with training from registered nurses and a developing Sports Medicine program with courses such as Exercise Physiology, Human Anatomy and Nutrition. Students participate in the Health Professions Club and receive paid and unpaid internships in the health field and volunteer experience.",,,dmorris4@schools.nyc.gov,57,11,Hillcrestweb.com,Health Professions,24.0,61,Demonstrated Interest: School Visit,Q24J,,0.72,Punctuality,,834.0,N/A - zoned program,,N/A - zoned program,Open to New York City residents,,Yes-10,7,,"Courses offered leading toward medical careers; AP Biology, AP Environmental Science, AP Art History, AP Calculus, AP Spanish, AP French, AP Computer Science, AP English Composition, AP English Literature, Chemistry, Anatomy, Physics, STEM Research Academy at York College, STEM Science Research Internship opportunities, NASA-Global Warming and Climate Change, Science Research-Environmental Science, Medical Laboratory, Microbiology, and College Now Courses.","Cricket, Golf",51,,,,,,,,Ed. Opt.,,,8.0,Written Contact With School,Y,Q24P,Teachers of Tomorrow,Screened,,Y,,,"Biz-Tek prepares students for college and careers in a range of business and STEM fields. CTE endorsed programs in Virtual Enterprise, Cyber Security/Software Engineering, CAD/CAM--Computer Aided Design/Computer Aided Manufacturing; and Information Technology and Computer Networking, training for Cisco certifications, CompTIAA+, Cisco Certified Entry Networking Technician (C-CENT), and Cisco Certified Networking, Associate (CCNA).",Guaranteed offer to students who apply and live in the zoned area,,,,86,,Y
02M047, The American Sign Language and English Secondary School,917-326-6688,"Students partake in a four-year ASL program graduating with a proficiency in American Sign Language. Graduates can expect to obtain the knowledge and skills necessary to work with the Deaf and Hard of Hearing communities. In addition to learning American Sign Language, students are exposed to the culture and social perspective of the Deaf and Hard of Hearing communities.",,,wshama@schools.nyc.gov,,,47aslhs.net,,2.0,,Attendance,,,0.86,,,166.0,,,,,,,,,,Stunt,,,,,,,,(No offers went to this group),,,,6.0,,,,,,,Y,,,,,,Please contact Mr. Lasso at elasso@47aslhs.net or 917-326-6660 for interviews and tours.,,,,
02M413,School of the Future High School,212-475-9273,,,,02M413@schools.nyc.gov,,,sof.edu,,2.0,,Attendance,,,0.87,,,2038.0,,,,,,,,,,,,,,,,,,-53% of offers went to this group,,,,5.0,,,,,,,Y,,,,,,Open House and Interview dates will be posted on the school website in late August and September. Look for instructions on how to sign up.,,,,
07X551,The Urban Assembly Bronx Academy of Letters,718-401-6626,,,,Cardet.Hernandez@BXLetters.org,,,bronxletters.org,,8.0,,,,,0.53,,,243.0,,,,,,,,,,Stunt,,,,,,,,-48% of offers went to this group,,,,1.0,,,,,,,Y,,,,,,,,,,
12X550,High School of World Cultures,718-893-7152,"We offer a range of ELL programs, including Dual Language English-Spanish program as well as a traditional free standing English as a New Language program. CTE in Culinary Arts is focused on hands on instruction and demonstrations for the training and skill development involved with the culinary arts. Students are selected through survey and demonstration of intent to complete the required credits.",,,sschechter2@schools.nyc.gov,,,schools.nyc.gov/SchoolPortals/12/X550,,18.0,,,,,0.45,,,173.0,,,,,,,,,,,,,,,James Monroe Educational Campus,,,,,,,9.0,,,,,,,Y,,,,,,,,,,
13K412,Brooklyn Community Arts & Media High School (BCAM),718-230-3050,"Ninth Grade Summer Bridge Intensive, Ninth Grade High School Transition Academy",,,bcaminfo@bcamhs.org,,,bcamhs.org,,33.0,,Demonstrated Interest in Art,,,0.69,,,696.0,,,,,,,,,,Stunt,,,,,,,,,,,,3.0,,,,,,,Y,,,,,,,,,,
22K555,Brooklym College Academy,718-853-6356,,,,mmalone3@schools.nyc.gov,,,brooklyncollegeacademy.com,,39.0,,Attendance,,,0.98,,,2689.0,,,,,,,,,,,,,,,,,,-99% of offers went to this group,,,,7.0,,,,,,,Y,,,,,,,,,,
22K611,Origins High School,718-891-0047,Our school focuses on a liberal arts curriculum with an emphasis on the art that allows students to experience a wide variety of courses over their four years of high school. Our students can take multiple arts courses in both visual and performing arts (music and dance).,,,origins@originshighschool.org,,,originshighschool.org,,48.0,,,,,,,,176.0,,,,,,,,,,Cricket,,,,,Frank J. Macchiarola Educational Complex,,,-6% of offers went to this group,,,,15.0,,,,,,,Y,,,,,,,,,,
10X268,Kingsbridge International High School,718-329-8582,,,,Wgagstetter@schools.nyc.gov,,,schools.nyc.gov/SchoolPortals/10/X268,,11.0,,,,,0.46,,,343.0,,,,,,,,,,,,,,,Walton Educational Campus,,,,,,,7.0,,,,,,,,,,,,,,,,,
02M546,Academy for Software Engineering (AFSE),212-253-3289,,,,info@afsenyc.org,,,afsenyc.org,,2.0,,,,,0.94,,,1672.0,,,,,,,,,,,,,,,Washington Irving Educational Campus,,,-69% of offers went to this group,,,,6.0,,,,,,,,,,,,,,,,,
15K462,John Jay School for Law,718-499-3947,"Program emphasizes the study of law; opportunities for mentoring, internships, and mock trial/moot court.",,,33K462@schools.nyc.gov,,,LawHS.org,,39.0,,,,,0.83,,,781.0,,,,,,,,,,,,,,,John Jay Educational Campus,,,-17% of offers went to this group,,,,6.0,,,,,,,Y,,,,,,,,,,
10X141,Riverdale / Kingsbridge Academy (Middle School / High School 141) (RKA),718-796-8657,All ninth graders' transcripts are reviewed and students are programmed for classes according to their accomplishments and needs.,,,jprince4@schools.nyc.gov,,,rka141.org,,11.0,,Attendance,,,0.87,,,873.0,,,,,,,,,,Golf,,,,,,,,-92% of offers went to this group,,,,8.0,,,,,,,,,,,,,,,,,
28Q620,Thomas A. Edison Career and Technical Education High School,718-658-0365,"Prepares students for careers in one of the following areas: Graphic Arts, Commercial Art, or Web Design. Training in use of Adobe design software which allows students to pursue digital media, drawing, painting, digital photo and video, or web design as an area of focus.",,,28Q620@schools.nyc.gov,42,8,taehs.org,Engineering,24.0,167,Attendance,Q67N,,0.93,Punctuality,,1128.0,,,,Open to New York City residents,,Yes-10,23,,"The Electrical and Solar Installation Technology program focuses on low voltage systems, residential wiring, motors, and motor controls and solar technology. Students will also have access to acquiring OSHA (Occupation Safety and Health Administration), energy auditing, green building professional, National Center for Construction Education and Research (NCCER), copper cabling, energy management systems, and green professional building certifications.","Cricket, Double Dutch",118,,,,,,,,Screened,,,8.0,Punctuality,Y,Q67S,Information Technologies,Ed. Opt.,,Y,,,This program helps students to develop a complete understanding of the medical profession and the clinical and administrative skills necessary to work in a healthcare facility.,,,,,24,,Y
02M392,Manhattan Business Academy,212-647-1989,"All students take a rigorous Regents and college-preparatory curriculum. They are academically, socially, and emotionally supported by a strong advisory program and dedicated college counselors (through the CollegeBound Initiative). We promote a diverse student body.",,,kpolson@manhattanbusinessacademy.org,,,manhattanbusinessacademy.org,,3.0,,Demonstrated Interest,,,0.87,,,1267.0,,,,,,,,,,,,,,,Bayard Rustin Educational Campus,,,-87% of offers went to this group,,,,4.0,,,,,,,Y,,,,,,"Shadow current students (schedule through the MBA website), attend open house, attend school fair, and engage with MBA representatives.",,,,
02M422,Quest to Learn,,,,,Q2LUpperSchool@Q2L.org,,,schools.nyc.gov/SchoolPortals/02/M422,,3.0,N/A - continuing program,,,,0.76,,,537.0,,,,,,,,,,,N/A - continuing program,,,,Bayard Rustin Educational Campus,,,-60% of offers went to this group,For Continuing 8th Graders,,,4.0,,,,Continuing 8th Grade Program,,,,,Open only to continuing eighth graders,,,,,,,,
07X221,South Bronx Preparatory: A College Board School,718-292-2172,,,,EFlanag2@schools.nyc.gov,,,schools.nyc.gov/SchoolPortals/07/X221,,8.0,,,,,0.94,,,1348.0,,,,,,,,,,,,,,,,,,-61% of offers went to this group,,,,1.0,,,,,,,,,,,,,,,,,
23K644,Eagle Academy for Young Men II,718-732-2129,,,,eagleoceanhill@gmail.com,,,schools.nyc.gov/SchoolPortals/23/K644,,41.0,,,,,0.89,,,378.0,,,,,,,,,,,,,,,,,,-81% of offers went to this group,,,,16.0,,,,,,,,,,,,,,,,,
