fullapplicationno,oldpermitno,registeredgvwr,overallwidth,permitapplication,overallheight,manufacturergvwr,issuedate,axle5weight
SEV-201478-753,IDGP-2013824-718,54000.0,8.0,Overweight,11.09,79000.0,2014-08-02T14:47:44.000,
DEF1-2015119-89,,,9.11,Crane,11.07,76558.0,2015-03-23T14:11:26.000,
Cra-2015122-107,,,10.06,Crane,12.0,69700.0,2015-03-24T16:29:35.000,
con-2014919-977,scdt-2013326-267,60600.0,8.0,Overweight,12.0,60600.0,2014-11-01T16:22:33.000,
Emp-2015511-527,EG9Y-2013727-534,73760.0,8.0,Overweight,10.06,78000.0,2015-05-30T15:21:57.000,
NYC1-2015612-660,,,,Bulk Milk,,,2015-06-23T15:53:10.000,
con-2014922-1009,wj1o-2013322-232,60600.0,8.0,Overweight,13.0,60600.0,2014-11-01T17:09:26.000,
con-2014918-951,qjun-201342-344,63580.0,8.0,Overweight,12.0,63580.0,2014-11-01T15:53:01.000,
Bay-20141210-1312,,,8.08,Crane,11.05,51545.0,2015-04-10T12:52:40.000,
NYC1-20151019-1046,,,,Bulk Milk,,,2016-01-14T17:59:39.000,
C.-2015422-456,U7VM-2014430-520,120000.0,,Overweight,,120000.0,2015-07-11T16:16:50.000,
Wor-201492-862,,,,Bulk Milk,,,2014-09-17T17:19:42.000,
Wor-201477-744,,,,Bulk Milk,,,2014-09-17T17:06:56.000,
SJ-2014915-905,V9RR20131023855,72960.0,8.0,Overweight,10.06,72960.0,2014-11-07T13:46:35.000,
con-2014917-939,qjun-201342-328,63580.0,8.0,Overweight,12.0,63580.0,2014-11-01T15:35:44.000,
Y.M-20151130-1314,QW9G-20141217-1254,120000.0,,Overweight,,80000.0,2016-01-28T11:31:44.000,
con-2014925-1039,JI2V-20131116-1082,52000.0,8.0,Overweight,12.0,60600.0,2014-11-01T17:33:37.000,
con-2014924-1023,JI2V-20131116-1066,60600.0,8.0,Overweight,12.0,60600.0,2014-11-01T17:17:02.000,
Wor-2014128-1285,,,,Bulk Milk,,,2014-12-13T11:56:39.000,
con-2014918-959,qjun-201342-355,65400.0,8.0,Overweight,12.0,65400.0,2014-11-01T16:03:29.000,
CAS1-2014916-908,V9RR20131023859,78000.0,8.0,Overweight,12.06,78000.0,2014-11-07T14:25:02.000,
Dis-2015112-1204,AWN2-2014517-702,120000.0,,Overweight,,56000.0,2016-01-28T11:55:47.000,
con-2015112-1195,EVWI-2014111-1091,60600.0,8.0,Overweight,12.0,60600.0,2015-11-22T18:52:38.000,
con-2014925-1038,JI2V-20131116-1081,49500.0,8.0,Overweight,12.0,60600.0,2014-11-01T17:32:42.000,
con-2014925-1041,XNCY-2013123-1174,64000.0,8.0,Overweight,13.0,64000.0,2014-11-01T17:35:23.000,
Roc-2015513-530,JQ1A-2013810-665,82000.0,8.0,Overweight,10.08,82000.0,2015-08-21T18:07:02.000,
con1-20171012-658,,,9.06,Crane,11.09,70000.0,2017-11-16T16:13:35.000,
CAS1-201499-899,JQ1A2013810685,79000.0,8.0,Overweight,12.04,79000.0,2014-12-23T11:48:13.000,
con-2014924-1030,JI2V-20131116-1073,64000.0,8.0,Overweight,12.0,64000.0,2014-11-01T17:25:14.000,
A.-2014711-762,,120000.0,,Overweight,,120000.0,2014-07-11T10:27:30.000,
SJ-201539-242,df89-2014325-352,72690.0,8.0,Overweight,10.06,72690.0,2015-04-24T17:55:47.000,
NYC1-20151019-1040,,,,Bulk Milk,,,2016-01-14T17:54:37.000,
con-20151124-1298,s8w5-2015421-383,62000.0,8.0,Overweight,12.0,62000.0,2015-11-24T11:52:44.000,
New1-2015116-73,,,10.0,Crane,11.11,72495.0,2015-04-20T17:22:37.000,
CAS1-2015611-638,K87M-2014516-653,52300.0,8.0,Overweight,12.04,32900.0,2015-07-21T17:22:00.000,
Val-201546-388,VUX8-2014426-467,79000.0,8.0,Overweight,12.06,79000.0,2015-04-23T17:40:35.000,
Val-201546-393,VUX8-2014426-472,78000.0,8.0,Overweight,12.06,78000.0,2015-04-23T17:45:23.000,
NYC1-20151019-1041,,,,Bulk Milk,,,2016-01-14T17:55:13.000,
con-2014919-980,scdt-2013326-273,60600.0,8.0,Overweight,12.0,60600.0,2014-11-01T16:27:16.000,
CAS1-2015828-894,,79000.0,8.0,Overweight,12.04,79000.0,2015-09-30T17:47:02.000,
CAS1-201499-898,JQ1A2013810684,79000.0,8.0,Overweight,12.04,79000.0,2014-11-07T13:40:04.000,
Bay-20161130-994,,,9.1,Crane,12.03,69840.0,2017-01-26T14:15:54.000,
Val-201518-36,TNWH-2014311-275,78000.0,8.0,Overweight,12.06,78000.0,2015-01-26T13:22:09.000,
Cor1-201488-811,IDGP-2013824-743,72000.0,7.11,Overweight,12.01,72000.0,2014-10-09T09:49:03.000,
Atl-20161221-1116,,,9.06,Crane,13.01,105600.0,2017-02-08T17:34:12.000,
SEV-201478-757,IDGP-2013824-723,54000.0,8.0,Overweight,11.09,79000.0,2014-08-02T14:55:20.000,
Alm-201587-825,QPW6-201539-99,117000.0,,Overweight,,58000.0,2015-09-30T09:07:03.000,
con-20151027-1085,EVWI-2014111-1012,64000.0,8.0,Overweight,12.0,64000.0,2015-11-21T20:05:03.000,
NEW3-2015430-490,OW4H-2015313-107,80000.0,,Overweight,,60320.0,2015-07-14T15:46:23.000,
Wor-2015317-320,,,,Bulk Milk,,,2015-03-19T17:50:52.000,
CAS1-2014721-775,JQ1A2013810-682,79000.0,8.0,Overweight,12.0,79000.0,2014-09-25T17:36:11.000,
Bed-2015916-933,WIS5-20131118-1130,120000.0,,Overweight,,120000.0,2015-09-16T16:25:01.000,
55--2014108-1095,J12V-20131116-974,46000.0,7.06,Overweight,9.02,46000.0,2014-11-07T15:17:47.000,
con-2014918-973,scdt-2013326-270,60600.0,8.0,Overweight,12.0,60600.0,2014-11-01T16:19:49.000,
Bon-20141120-1204,DZLN-20131029-903,71760.0,7.11,Overweight,10.08,71760.0,2015-04-21T11:29:06.000,
Val-20151015-1011,V8L7-20141213-1216,55000.0,8.0,Overweight,12.06,78000.0,2015-10-22T12:29:07.000,
Lif-20141028-1159,,,8.06,Crane,13.04,65000.0,2015-03-23T11:16:13.000,
con-20151029-1116,EVWI-2014111-1040,59600.0,8.0,Overweight,12.0,59600.0,2015-11-21T20:54:57.000,
Yon-2015529-590,WIS5-20131118-1117,120000.0,,Overweight,,120000.0,2015-08-21T17:49:23.000,
Wor-201492-863,,,,Bulk Milk,,,2014-09-17T17:13:56.000,
NYC1-2015612-652,,,,Bulk Milk,,,2015-06-23T15:47:12.000,
ARC-2015910-920,DE7L-2014108-929,79000.0,7.06,Overweight,8.09,79000.0,2015-10-20T16:55:03.000,
NYC1-201586-818,,,,Bulk Milk,,,2015-08-17T17:10:12.000,
Car1-201547-401,AWN22014517692,44000.0,7.01,Overweight,8.04,18000.0,2015-04-22T14:29:31.000,
Val-201546-389,VUX8-2014426-468,79000.0,8.0,Overweight,12.06,79000.0,2015-04-23T17:41:37.000,
NYC1-201569-633,,,,Bulk Milk,,,2015-06-23T15:37:34.000,
Bay-201594-911,,,9.0,Crane,13.01,105600.0,2015-09-16T11:53:53.000,
G &-20141231-1423,,,8.04,Crane,11.09,77000.0,2015-03-26T15:07:39.000,
CRA1-201471-731,,,8.04,Crane,11.09,73689.0,2015-07-22T11:55:05.000,
LA 1-2015316-282,ZLJP-2014410-428,54000.0,8.0,Overweight,11.09,78840.0,2015-04-21T18:13:43.000,
Wor-201477-748,,,,Bulk Milk,,,2014-09-17T17:07:53.000,
con-2014917-934,qjun-201342-348,64000.0,8.0,Overweight,12.0,64000.0,2014-11-01T15:28:35.000,
ISL-2015630-708,GPQZ-201482-842,93000.0,,Overweight,,52000.0,2015-07-22T12:01:19.000,
CAS1-2015831-901,,52300.0,8.0,Overweight,12.06,32900.0,2015-09-30T17:52:44.000,
CAS1-2015831-898,,52300.0,8.0,Overweight,12.06,32900.0,2015-09-30T17:48:45.000,
G &-20141231-1426,,,8.04,Crane,12.06,71691.0,2015-03-26T15:08:53.000,
Yon-2015529-587,CMFK-201383-612,120000.0,,Overweight,,120000.0,2015-08-19T17:44:19.000,
A.-2014610-687,RT56201311201133,120000.0,,Overweight,,60320.0,2015-04-27T11:57:15.000,
TRI1-2015128-1346,,,8.06,Crane,13.06,92560.0,2016-01-09T14:35:02.000,
Eas1-2015916-939,PX16-201479-821,120000.0,,Overweight,,120000.0,2015-09-16T17:05:19.000,
DEF1-2015119-85,,,9.1,Crane,11.09,64842.0,2015-03-23T13:54:38.000,
G &-20141231-1425,,,8.0,Crane,12.03,60420.0,2015-03-26T15:06:59.000,
con-2015112-1170,EVWI-2014111-1104,64000.0,8.0,Overweight,12.0,64000.0,2015-11-22T17:56:26.000,
con-2014917-947,qjun-201342-345,63580.0,8.0,Overweight,12.0,63580.0,2014-11-01T15:52:20.000,
con-2015112-1202,EVWI-2014111-1106,49500.0,8.0,Overweight,12.0,60600.0,2015-11-23T16:21:39.000,
Wor-2015317-305,,,,Bulk Milk,,,2015-03-19T17:40:49.000,
con-2015113-1211,EVWI-2014111-1110,64000.0,8.0,Overweight,12.0,64000.0,2015-11-23T16:31:51.000,
Val-2014811-815,K8LU-2013826-766,78000.0,8.0,Overweight,12.06,78000.0,2014-10-08T17:11:05.000,
con-20151027-1073,EVWI-2014111-997,61000.0,8.0,Overweight,12.0,61000.0,2015-11-21T19:54:08.000,
con-2014925-1048,JI2V-20131116-1062,60600.0,8.0,Overweight,12.0,60600.0,2014-11-01T17:41:48.000,
Wor-2015320-340,,,,Bulk Milk,,,2015-03-20T09:47:37.000,
G &-20141231-1427,,,8.06,Crane,12.1,109897.0,2015-03-26T15:05:23.000,21979.0
Wor-201492-877,,,,Bulk Milk,,,2014-09-17T17:33:29.000,
Wor-2014128-1281,,,,Bulk Milk,,,2014-12-13T11:50:49.000,
Val-201599-918,W8JI-2013711-480,79000.0,8.0,Overweight,12.06,79000.0,2015-10-30T11:16:31.000,
Cor1-201588-829,X7BE-2014109-947,55000.0,7.11,Overweight,12.01,64740.0,2015-08-19T17:20:56.000,
con-2014919-975,scdt-2013326-268,60600.0,8.0,Overweight,12.0,60600.0,2014-11-01T16:20:34.000,
NYC1-20151019-1031,,,,Bulk Milk,,,2016-01-14T17:47:28.000,
con-2015113-1232,PMHA-20151019-878,62000.0,8.0,Overweight,12.0,62000.0,2015-11-23T16:58:07.000,
