brooklyn_condominiums_comparable_properties_condo_section,brooklyn_condominiums_comparable_properties_address,comparable_rental_3_total_units,brooklyn_condominiums_comparable_properties_year_built,comparable_rental_2_boro_block_lot,comparable_rental_3_building_classification,brooklyn_condominiums_comparable_properties_estimated_expense,comparable_rental_2_year_built,comparable_rental_1_market_value_per_sqft,brooklyn_condominiums_comparable_properties_total_units,comparable_rental_1_expense_per_sqft,comparable_rental_1_net_operating_income,comparable_rental_1_year_built,comparable_rental_3_gross_income_per_sqft,comparable_rental_2_building_classification,brooklyn_condominiums_comparable_properties_building_classification,comparable_rental_2_total_units,comparable_rental_2_estimated_expense,comparable_rental_3_net_operating_income,brooklyn_condominiums_comparable_properties_net_operating_income
1158-R1,3411 GUIDER AVENUE, ,,3-01042-0059, ,63479,2002.0,62.58,6,10.8,449004,1991, ,D1-ELEVATOR,R4-CONDOMINIUM,24.0,178463.0, ,77834
1696-R1,821 57 STREET, ,2005.0,, ,59262,,55.24,10,9.9,97515,1930, , ,R4-CONDOMINIUM,,, ,88893
0398-R1,100 STERLING PLACE,32,1990.0,3-01281-0027,D9-ELEVATOR,306302,1915.0,113.08,36,6.57,614045,1930,19.44,D9-ELEVATOR,R4-CONDOMINIUM,16.0,135050.0,"214,018",440777
2467-R1,279 LAKE STREET, ,2007.0,3-06630-0001, ,64838,1929.0,45.16,12,7.75,64425,1931, ,C1-WALK-UP,R2-CONDOMINIUM,38.0,155040.0, ,119437
0934-R1,98 HAVEMEYER STREET,20,2002.0,3-02785-0037,C1-WALK-UP,252761,2006.0,148.4,24,3.56,171775,2001,19.75,C1-WALK-UP,R2-CONDOMINIUM,14.0,58529.0,"230,181",308929
0300-R1,300 8 STREET, ,1914.0,3-01058-0042, ,189677,1910.0,96.73,19,7.77,197663,1923, ,C1-WALK-UP,R4-CONDOMINIUM,19.0,121900.0, ,130100
0922-R1,700 PACIFIC STREET,82,2002.0,3-01976-0016,D1-ELEVATOR,1137738,1931.0,31.24,168,6.47,169792,1931,15.68,D1-ELEVATOR,R4-CONDOMINIUM,20.0,112276.0,"833,938",1508162
1492-R2,231 15 STREET,35,1931.0,3-05079-0019,D9-ELEVATOR,79615,1912.0,110.9,8,13.03,1102334,1982,19.35,D9-ELEVATOR,R4-CONDOMINIUM,16.0,204184.0,"298,688",105621
1134-R1,569 CARROLL STREET,32,2003.0,3-02108-0021,D9-ELEVATOR,107095,1900.0,120.93,18,13.48,312194,1928,19.44,D9-ELEVATOR,R4-CONDOMINIUM,35.0,226573.0,"214,018",198891
0464-R1,384 NEW JERSEY AVENUE,16,1991.0,3-03772-0003,C1-WALK-UP,102750,1930.0,31.6,12,7.16,133105,1930,13.38,C1-WALK-UP,R2-CONDOMINIUM,16.0,106202.0,"106,660",97950
0752-R1,438 12 STREET, ,1920.0,3-01078-0016, ,421426,1920.0,104.27,34,7.73,585336,1920, ,D1-ELEVATOR,R4-CONDOMINIUM,47.0,364847.0, ,515077
0400-R1,95 VANDERBILT AVENUE, ,1991.0,3-01892-0061, ,460471,1946.0,78.08,24,8.0,496759,1946, ,C1-WALK-UP,R2-CONDOMINIUM,26.0,215155.0, ,570911
2415-R1,101 NORTH 5 STREET,24,2009.0,3-02408-0038,D9-ELEVATOR,339469,1907.0,70.34,40,10.17,230180,1912,22.41,D9-ELEVATOR,R4-CONDOMINIUM,11.0,132139.0,"102,967",414906
2247-R1,143 HURON STREET,20,2007.0,3-02408-0014,D9-ELEVATOR,282436,1905.0,95.17,30,13.6,166243,1906,22.13,D9-ELEVATOR,R4-CONDOMINIUM,24.0,264301.0,"230,182",355379
0535-R1,645 LEFFERTS AVENUE,38,1925.0,3-01412-0031,C1-WALK-UP,231171,1924.0,45.96,22,7.99,211065,1926,13.19,C1-WALK-UP,R2-CONDOMINIUM,39.0,212375.0,"171,740",188191
2396-R1,712 SACKETT STREET,25,2001.0,3-00957-0014,C1-WALK-UP,141673,1920.0,96.73,14,7.77,197663,1923,29.56,C1-WALK-UP,R2-CONDOMINIUM,24.0,139933.0,"370,702",176417
1977-R1,52 3 AVENUE,32,2005.0,3-02108-0021,D9-ELEVATOR,152448,1900.0,113.08,15,6.57,614045,1930,19.44,D9-ELEVATOR,R2-CONDOMINIUM,35.0,226573.0,"214,018",228673
1449-R1,790 WYTHE AVENUE,29,,3-02183-0058,D9-ELEVATOR,90960,1925.0,35.96,12,6.91,139214,1916,24.64,D9-ELEVATOR,R4-CONDOMINIUM,35.0,204336.0,"277,159",120576
1649-R1,440 KENT AVENUE, ,2003.0,3-00271-0001, ,1950552,2003.0,230.35,135,12.71,5564185,1999, ,D1-ELEVATOR,R4-CONDOMINIUM,364.0,2762431.0, ,3182479
0468-R3,971 JEROME STREET,12,1990.0,3-04478-0004,C1-WALK-UP,2235030,1930.0,17.55,542,5.65,56880,1930,11.95,C1-WALK-UP,R4-CONDOMINIUM,19.0,109564.0,"53,447",1673080
1168-R1,209 SPENCER STREET,150,2004.0,3-02104-0008,D9-ELEVATOR,186434,1927.0,110.9,18,13.03,1102334,1982,16.13,D9-ELEVATOR,R4-CONDOMINIUM,71.0,409988.0,"960,988",268284
2049-R1,1182 BRIGHTON BEACH AVENU, ,2005.0,3-08709-0014, ,170812,1946.0,48.11,24,7.99,109518,1938, ,D1-ELEVATOR,R4-CONDOMINIUM,58.0,271518.0, ,256217
1242-R1,146 MIDDLETON STREET,29,2004.0,3-02424-0006,D9-ELEVATOR,182909,1920.0,48.18,14,7.92,204336,1925,21.45,D9-ELEVATOR,R4-CONDOMINIUM,29.0,320801.0,"227,847",263211
1139-R1,835 BEDFORD AVENUE,35,2003.0,3-02424-0014,D9-ELEVATOR,144932,1915.0,40.61,10,9.97,201966,1915,15.84,D9-ELEVATOR,R4-CONDOMINIUM,24.0,305900.0,"204,336",154695
0229-R1,376 PRESIDENT STREET,35,1938.0,3-00268-0039,D9-ELEVATOR,508163,1900.0,113.08,55,6.57,614045,1930,19.35,D9-ELEVATOR,R4-CONDOMINIUM,32.0,195029.0,"298,688",557499
2218-R1,94 MASPETH AVENUE, ,2007.0,3-02785-0001, ,704584,1991.0,56.98,88,7.72,959177,2002, ,D1-ELEVATOR,R4-CONDOMINIUM,60.0,804272.0, ,1309405
0232-R1,415 CARLTON AVENUE,35,1988.0,3-00171-0049,D9-ELEVATOR,367875,1930.0,110.9,31,13.03,1102334,1982,19.35,D1-ELEVATOR,R2-CONDOMINIUM,60.0,261107.0,"298,688",531784
0007-R1,153 BAY 26 STREET,22,1922.0,3-05186-0038,D9-ELEVATOR,125420,1915.0,26.4,28,4.64,446289,1931,15.94,D9-ELEVATOR,R9-CONDOMINIUM,48.0,346061.0,"154,987",98545
1292-R1,78 SPENCER STREET,29,2003.0,3-02424-0035,D9-ELEVATOR,116717,1915.0,51.8,12,13.38,237661,1915,20.70,D9-ELEVATOR,R4-CONDOMINIUM,29.0,275528.0,"178,498",147933
2075-R1,6410 BAY PARKWAY,52,2006.0,3-01251-0001,D9-ELEVATOR,152541,1910.0,101.43,14,12.7,225645,1912,19.53,D9-ELEVATOR,R4-CONDOMINIUM,80.0,890581.0,"449,004",207009
1791-R1,63 CONSELYEA STREET,24,2005.0,3-02424-0012,D9-ELEVATOR,78441,1915.0,48.89,12,11.95,203057,1919,24.70,D9-ELEVATOR,R2-CONDOMINIUM,30.0,283683.0,"270,025",99835
0405-R1,340 11 STREET,25,1991.0,3-01041-0069,C1-WALK-UP,197011,2008.0,36.63,12,11.16,300240,2008,23.77,D9-ELEVATOR,R4-CONDOMINIUM,21.0,203531.0,"287,875",275325
0764-R1,318 WARREN STREET,12,1910.0,3-00390-0026,C1-WALK-UP,425786,1900.0,103.23,48,10.72,250664,1900,21.36,C1-WALK-UP,R2-CONDOMINIUM,25.0,107161.0,"114,840",790744
1987-R1,2964 BRIGHTON 6 STREET, ,,3-08709-0014, ,161813,1946.0,48.11,14,7.99,109518,1938, ,D1-ELEVATOR,R4-CONDOMINIUM,58.0,271518.0, ,197772
2513-R1,38 WILSON AVENUE, ,2009.0,3-03332-0047, ,120124,2008.0,72.62,15,11.97,255378,2005, ,D1-ELEVATOR,R4-CONDOMINIUM,83.0,808197.0, ,166292
2012-R1,24 LYNCH STREET,24,2006.0,3-02424-0035,D9-ELEVATOR,153702,1915.0,43.52,14,13.3,178498,1920,22.58,D9-ELEVATOR,R4-CONDOMINIUM,29.0,275528.0,"203,057",250776
0034-R1,64 7 AVENUE,12,1931.0,3-00957-0013,C1-WALK-UP,73778,1920.0,61.54,11,8.8,73616,1920,24.39,C1-WALK-UP,R2-CONDOMINIUM,9.0,51910.0,"143,547",106169
1731-R1,85 ADAMS STREET,46,2006.0,3-00221-0020,D9-ELEVATOR,577856,1900.0,92.95,79,5.79,366768,2002,23.33,D6-ELEVATOR,R4-CONDOMINIUM,137.0,985722.0,"734,254",1400864
1782-R1,85 NORTH 3 STREET,29,1910.0,3-02409-0008,D9-ELEVATOR,1052185,1915.0,49.14,63,15.3,102967,1911,23.15,D9-ELEVATOR,R4-CONDOMINIUM,24.0,231687.0,"180,892",1286004
2157-R1,3080 WEST 1 STREET,21,2007.0,3-07071-0019,C1-WALK-UP,293325,2005.0,64.24,35,8.92,336772,2005,22.63,D9-ELEVATOR,R4-CONDOMINIUM,40.0,312867.0,"137,743",439987
0063-R1,497 PACIFIC STREET,14,1922.0,3-00172-0064,C1-WALK-UP,148801,1905.0,90.36,11,11.44,136508,1915,29.80,C1-WALK-UP,R2-CONDOMINIUM,20.0,71984.0,"202,917",161201
2016-R1,461 FLUSHING AVENUE,25,2006.0,3-02424-0035,D9-ELEVATOR,209277,1915.0,43.52,14,13.3,178498,1920,21.08,D9-ELEVATOR,R4-CONDOMINIUM,29.0,275528.0,"218,542",301154
0445-R1,172 STUYVESANT AVENUE, ,,3-01826-0030, ,161446,1900.0,50.16,18,7.31,136492,1910, ,C1-WALK-UP,R2-CONDOMINIUM,20.0,110735.0, ,161445
1139-R3,108 SPENCER STREET,35,2003.0,3-02424-0014,D9-ELEVATOR,50713,1915.0,40.61,4,9.97,201966,1915,15.84,D9-ELEVATOR,R4-CONDOMINIUM,24.0,305900.0,"204,336",54129
2076-R1,133 STERLING PLACE,97,,3-02104-0008,D9-ELEVATOR,242056,1927.0,78.91,22,8.35,298688,1900,28.46,D9-ELEVATOR,R4-CONDOMINIUM,71.0,409988.0,"1,102,334",449532
1421-R1,575 EAST NEW YORK AVENUE,24,2004.0,3-01816-0001,D9-ELEVATOR,331908,1973.0,57.81,21,8.81,134996,1915,15.42,D9-ELEVATOR,R4-CONDOMINIUM,150.0,935324.0,"110,119",340665
0045-R1,3801 15 AVENUE,12,1983.0,3-05385-0056,C1-WALK-UP,368786,1930.0,54.16,22,12.29,120416,1930,14.54,C7-WALK-UP,R2-CONDOMINIUM,13.0,62693.0,"57,516",230243
1973-R1,2752 OCEAN AVENUE,16,2004.0,3-07467-0013,C9-WALK-UP,186133,1982.0,68.09,20,8.73,98233,1982,16.15,C1-WALK-UP,R4-CONDOMINIUM,16.0,93366.0,"128,271",160059
1705-R1,41 THROOP AVENUE,29,2006.0,3-02757-0028,D1-ELEVATOR,193045,1920.0,79.15,17,10.36,567889,2009,21.03,D5-ELEVATOR,R4-CONDOMINIUM,65.0,451589.0,"242,876",277796
2083-R1,14 LYNCH STREET,29,2006.0,3-02424-0012,D9-ELEVATOR,175042,1915.0,43.52,14,13.3,178498,1920,21.45,D9-ELEVATOR,R4-CONDOMINIUM,30.0,283683.0,"227,847",285595
2197-R1,100 NORTH 3 STREET,24,2007.0,3-02409-0009,D9-ELEVATOR,289672,1915.0,70.34,24,10.17,230180,1912,22.41,D9-ELEVATOR,R4-CONDOMINIUM,24.0,231550.0,"102,967",354043
2061-R1,1607 BERGEN STREET, ,2006.0,3-01372-0001, ,136305,1922.0,31.97,15,7.73,175274,1922, ,C7-WALK-UP,R2-CONDOMINIUM,66.0,383929.0, ,196145
2432-R1,8642 16 AVENUE, ,2006.0,3-06264-0029, ,92289,1991.0,101.43,6,12.7,225645,1912, ,D9-ELEVATOR,R2-CONDOMINIUM,52.0,555180.0, ,150576
1225-R1,2800 EAST 29 STREET, ,2004.0,3-07439-0006, ,275270,1928.0,56.19,18,7.7,214614,1967, ,C1-WALK-UP,R2-CONDOMINIUM,43.0,221992.0, ,298053
1229-R1,372 15 STREET, ,2004.0,3-01041-0011, ,232126,1915.0,56.48,30,11.6,143996,1912, ,C1-WALK-UP,R2-CONDOMINIUM,20.0,119104.0, ,431090
1935-R1,170 WEST 11 STREET,24,2006.0,3-02408-0012,D9-ELEVATOR,222728,1905.0,70.34,28,10.17,230180,1912,22.41,D9-ELEVATOR,R4-CONDOMINIUM,20.0,237870.0,"102,967",320512
0929-R1,40 DEAN STREET,35,2002.0,3-00311-0036,D9-ELEVATOR,175268,1900.0,113.08,22,6.57,614045,1930,19.35,C1-WALK-UP,R2-CONDOMINIUM,13.0,85467.0,"298,688",411893
2502-R1,163 WASHINGTON AVENUE,86,2009.0,3-01979-0015,D5-ELEVATOR,432848,1931.0,72.43,49,11.2,606319,1936,17.74,D1-ELEVATOR,R4-CONDOMINIUM,47.0,534037.0,"1,091,635",597742
1718-R1,425 14 STREET,8,1910.0,3-01100-0007,C1-WALK-UP,165489,1920.0,176.69,29,21.31,167077,1920,17.03,C7-WALK-UP,R2-CONDOMINIUM,10.0,51556.0,"64,186",307336
1494-R1,355 KINGS HIGHWAY,52,2003.0,3-06911-0006,D9-ELEVATOR,476427,1987.0,55.06,28,7.96,661219,1962,19.53,D1-ELEVATOR,R4-CONDOMINIUM,106.0,699264.0,"449,004",582119
2395-R1,44 BERRY STREET,115,1919.0,3-02140-0013,D1-ELEVATOR,279224,1910.0,83.4,42,9.67,242876,1916,16.08,D7-ELEVATOR,RR-CONDOMINIUM,26.0,279040.0,"959,177",291582
0233-R1,200 CORBIN PLACE,172,1961.0,3-05079-0021,D9-ELEVATOR,807705,1912.0,26.4,118,4.64,446289,1931,9.56,D9-ELEVATOR,R9-CONDOMINIUM,16.0,138530.0,"658,991",606113
2300-R1,134 WEST END AVENUE,52,2008.0,3-01251-0001,D9-ELEVATOR,79495,1910.0,101.43,9,12.7,225645,1912,19.53,D9-ELEVATOR,R4-CONDOMINIUM,80.0,890581.0,"449,004",147633
2018-R1,133 WATER STREET, ,2006.0,3-00056-0003, ,608795,1919.0,92.95,69,5.79,366768,2002, ,D5-ELEVATOR,R4-CONDOMINIUM,88.0,1533558.0, ,1130619
0976-R1,456 FLUSHING AVENUE,29,2000.0,3-02424-0035,D9-ELEVATOR,111317,1915.0,48.89,1,11.95,203057,1919,20.70,D9-ELEVATOR,R4-CONDOMINIUM,29.0,275528.0,"178,498",202861
2028-R1,2523 OCEAN AVENUE, ,2005.0,3-06781-0061, ,80583,2010.0,70.0,15,3.91,260928,2006, ,D1-ELEVATOR,R4-CONDOMINIUM,12.0,70738.0, ,218825
0695-R1,14 BOERUM STREET, ,1900.0,3-02857-0106, ,394846,2007.0,118.91,30,3.15,485955,2008, ,D1-ELEVATOR,R4-CONDOMINIUM,20.0,487374.0, ,293096
2111-R1,161 NORTH 4 STREET,10,2007.0,3-02417-0043,C7-WALK-UP,307389,2001.0,148.4,37,3.56,171775,2001,20.97,C7-WALK-UP,R2-CONDOMINIUM,9.0,37636.0,"114,773",307388
2006-R1,2955 BRIGHTON 4 STREET,20,,3-07161-0007,C1-WALK-UP,116000,1978.0,47.67,14,9.61,294982,1927,16.03,C1-WALK-UP,R4-CONDOMINIUM,12.0,119739.0,"110,477",140127
1356-R1,429 FLUSHING AVENUE,24,2003.0,3-02424-0006,D9-ELEVATOR,212477,1920.0,48.18,16,7.92,204336,1925,18.75,D9-ELEVATOR,R4-CONDOMINIUM,29.0,320801.0,"201,966",249429
1707-R1,1570 WEST 10 STREET,20,2005.0,3-07161-0012,C1-WALK-UP,71022,1978.0,31.77,9,8.85,97971,1978,16.03,C1-WALK-UP,R4-CONDOMINIUM,12.0,120030.0,"110,477",106533
1258-R1,876 BEDFORD AVENUE,71,2004.0,3-02424-0035,D9-ELEVATOR,119624,1915.0,51.8,12,13.38,237661,1915,18.79,D9-ELEVATOR,R2-CONDOMINIUM,29.0,275528.0,"417,651",172143
0904-R1,2131 57 STREET, ,2001.0,3-05607-0003, ,384740,1925.0,57.86,24,6.84,283072,1925, ,C1-WALK-UP,R2-CONDOMINIUM,66.0,373231.0, ,421582
0132-R1,159 CARLTON AVENUE,25,1987.0,3-02073-0033,C1-WALK-UP,164710,1915.0,71.56,12,7.24,144640,1915,17.09,C1-WALK-UP,R2-CONDOMINIUM,16.0,105720.0,"147,613",225225
1980-R1,75 SMITH STREET,51,2007.0,3-00275-0001,D7-ELEVATOR,409872,1926.0,83.8,50,5.15,1484649,2006,21.82,D7-ELEVATOR,R4-CONDOMINIUM,94.0,527223.0,"462,696",915116
2015-R1,463 FLUSHING AVENUE,24,2006.0,3-02424-0035,D9-ELEVATOR,174333,1915.0,43.52,14,13.3,178498,1920,22.58,D9-ELEVATOR,R4-CONDOMINIUM,29.0,275528.0,"203,057",250870
