site,senate_district,categoriesaccepted,dsny_zone,congressional_district
,18.0,"Books/Media, Clothing/Personal Accessories, Electronics, Food/Beverage",BKN,7.0
West Village Thrift Shop,27.0,"Books/Media, Clothing/Personal Accessories, Household Furniture/Furnishings, Kitchen Items, Footwear, Arts/Crafts, Musical Instruments, Office Furniture/Furnishings",MN,10.0
33-34 21 St,59.0,"Clothing/Personal Accessories, Footwear",QW,7.0
iFixScreens Greenwich Village,27.0,,MN,10.0
Hope Gardens Multi-Service Senior Center,18.0,"Clothing/Personal Accessories, Appliances, Kitchen Items, Footwear",BKN,7.0
Earwax Records,59.0,,BKN,7.0
74-39 Jamaica Ave,15.0,"Clothing/Personal Accessories, Footwear",QW,7.0
2275-2375 Richmond Ave,24.0,"Clothing/Personal Accessories, Footwear",SI,11.0
Black Spring Books,59.0,Books/Media,BKN,7.0
Rough Trade NYC,59.0,,BKN,7.0
183-14 Hillside Ave,11.0,"Clothing/Personal Accessories, Footwear",QE,5.0
Calvary's Mission,15.0,"Clothing/Personal Accessories, Food/Beverage, Footwear, Baby Care, Cleaning Products, Household Furniture/Furnishings, Personal Care/Hygiene, Pet Care/Food",QW,5.0
495 E 180 St,32.0,"Clothing/Personal Accessories, Footwear",BX,15.0
30-05 Whitestone Expy,16.0,"Clothing/Personal Accessories, Footwear",QE,6.0
Love Covenant Church,14.0,Clothing/Personal Accessories,QE,5.0
COUNTRY OF,27.0,,MN,10.0
AuH2O,27.0,,MN,10.0
Colectivo Intercultural TRANSgradiendo,13.0,"Arts/Crafts, Books/Media, Clothing/Personal Accessories, Appliances, Musical Instruments, Footwear, Personal Care/Hygiene, Cleaning Products, HealthCare",QW,14.0
Clementine,27.0,,MN,10.0
Susan's Place Classic Re-Runs,33.0,"Arts/Crafts, Books/Media, Clothing/Personal Accessories, Electronics, Appliances, Kitchen Items, Footwear, Toys/Games",BX,15.0
"Grandma's Love, Inc.",26.0,"Food/Beverage, Personal Care/Hygiene",BKS,10.0
New Settlement Community Center,29.0,"Food/Beverage, HealthCare, Kitchen Items, Lawn/Garden Supplies, Tools/Equipment",BX,15.0
,19.0,"Building Products, Cleaning Products, Clothing/Personal Accessories, Footwear, Kitchen Items, Sports Equipment, Tools/Equipment, Toys/Games, Arts/Crafts, Baby Care, Books/Media, Food/Beverage, Household Furniture/Furnishings, Musical Instruments, Office",BKN,8.0
Program Address,25.0,"Arts/Crafts, Food/Beverage, Musical Instruments, Office Supplies/Stationary, Toys/Games, Baby Care, Personal Care/Hygiene",BKN,8.0
,,"Appliances, Baby Care, Books/Media, Cleaning Products, Clothing/Personal Accessories, Electronics, Footwear, HealthCare, Kitchen Items, Musical Instruments, Office Furniture/Furnishings, Office Supplies/Stationary, Personal Care/Hygiene, Toys/Games",,
14-79 Beach Channel Dr,10.0,"Clothing/Personal Accessories, Footwear",QE,5.0
FACES NY,30.0,"Arts/Crafts, Books/Media, Clothing/Personal Accessories, Household Furniture/Furnishings, Kitchen Items, Office Furniture/Furnishings, Footwear, Toys/Games",MN,13.0
African Refuge Center,23.0,,SI,11.0
NYC Seventh Day Baptist Church,25.0,,BKN,8.0
Bronx YMCA,34.0,HealthCare,BX,14.0
Bowery,27.0,,MN,10.0
8412 Flatlands Ave,19.0,"Clothing/Personal Accessories, Footwear",BKS,8.0
Metropolis Vintage,27.0,,MN,10.0
The Chelsea Fridge,28.0,"Cleaning Products, Food/Beverage, Personal Care/Hygiene",MN,10.0
,31.0,"Arts/Crafts, Books/Media, Cleaning Products, Clothing/Personal Accessories, Food/Beverage, HealthCare, Personal Care/Hygiene",BX,13.0
112-10 Beach Channel Dr,10.0,"Clothing/Personal Accessories, Footwear",QE,5.0
,30.0,"Appliances, Arts/Crafts, Clothing/Personal Accessories, Food/Beverage, Footwear, Household Furniture/Furnishings, Musical Instruments, Office Furniture/Furnishings, Office Supplies/Stationary, Storage/Haulage Containers, Tools/Equipment",MN,13.0
Metro World Child,18.0,"Building Products, Electronics, Food/Beverage, Appliances, Household Furniture/Furnishings, Musical Instruments, Office Furniture/Furnishings, Office Supplies/Stationary",BKN,7.0
175-04 Horace Harding Expy,16.0,"Clothing/Personal Accessories, Footwear",QE,6.0
3210 Webster Ave,33.0,"Clothing/Personal Accessories, Footwear",BX,15.0
Shiloh Temple Church,36.0,"Baby Care, Cleaning Products, Clothing/Personal Accessories, Electronics, Food/Beverage, Footwear, Kitchen Items, Personal Care/Hygiene, Toys/Games",BX,15.0
80-05 Cross Island Parkway,11.0,"Clothing/Personal Accessories, Footwear",QE,3.0
1240 Morrison Ave,34.0,"Clothing/Personal Accessories, Footwear",BX,14.0
JCC Rockaway Peninsula,10.0,,QE,5.0
Jims Shoe Repair,28.0,"Clothing/Personal Accessories, Footwear",MN,12.0
Neighbors Together,25.0,"Clothing/Personal Accessories, Food/Beverage, Footwear",BKN,8.0
"United Yes We Can, Unidos Si Se Puede, Inc.",30.0,"Appliances, Sports Equipment, Pet Care/Food, Personal Care/Hygiene, Office Supplies/Stationary, Musical Instruments, Lawn/Garden Supplies, Kitchen Items, Household Furniture/Furnishings, Tools/Equipment, HealthCare, Food/Beverage, Electronics, Clothing/P",MN,13.0
475 Castle Hill Ave,34.0,"Clothing/Personal Accessories, Footwear",BX,14.0
Migration Resource Center,23.0,"Cleaning Products, Electronics, Office Furniture/Furnishings, Office Supplies/Stationary",SI,11.0
,29.0,Office Furniture/Furnishings,MN,13.0
1111 Hylan Blvd,23.0,"Clothing/Personal Accessories, Footwear",SI,11.0
St. Clement & St. Michael's Church,23.0,,SI,11.0
The Salvation Army,26.0,"Household Furniture/Furnishings, Musical Instruments, Footwear, Sports Equipment, Toys/Games, Appliances, Books/Media, Electronics, Kitchen Items, Clothing/Personal Accessories",BKN,10.0
Greenpoint,59.0,,BKN,7.0
32 Jamaica Ave,19.0,"Clothing/Personal Accessories, Footwear",BKN,7.0
4102 Ave H,21.0,"Clothing/Personal Accessories, Footwear",BKS,9.0
The Salvation Army Times Square Corps,47.0,Food/Beverage,MN,12.0
13-15 Beach Channel Dr,10.0,"Clothing/Personal Accessories, Footwear",QE,5.0
,23.0,Books/Media,SI,11.0
2421 E Tremont Ave,34.0,"Clothing/Personal Accessories, Footwear",BX,14.0
Slope Vintage,26.0,,BKS,10.0
"Second Chance Deliverance Church, Inc",14.0,"Food/Beverage, Baby Care, Cleaning Products, Clothing/Personal Accessories, Footwear, Household Furniture/Furnishings, Kitchen Items, Office Furniture/Furnishings, Personal Care/Hygiene, Toys/Games",QE,5.0
Rue St. denis,27.0,,MN,10.0
Fraternite Notre Dame,29.0,"Food/Beverage, Personal Care/Hygiene",MN,13.0
1205 Flatbush Ave,21.0,"Clothing/Personal Accessories, Footwear",BKS,9.0
Warehouse,47.0,Baby Care,MN,12.0
Park Slope Thrift Shop,26.0,"Books/Media, Clothing/Personal Accessories, Household Furniture/Furnishings, Kitchen Items, Footwear, Arts/Crafts, Musical Instruments, Office Furniture/Furnishings",BKS,10.0
200 Mcclean Ave,23.0,"Clothing/Personal Accessories, Footwear",SI,11.0
Olive's Very Vintage,26.0,,BKS,10.0
3151 Westchester Ave,34.0,"Clothing/Personal Accessories, Footwear",BX,14.0
Master Bike Shop,47.0,,MN,12.0
Mobile Richmond,24.0,,SI,11.0
Broadway,47.0,,MN,12.0
195-02 Sagamore Ave,14.0,"Clothing/Personal Accessories, Footwear",QE,5.0
,34.0,"Arts/Crafts, Books/Media, Clothing/Personal Accessories, Electronics, Food/Beverage, Appliances, Household Furniture/Furnishings, Kitchen Items, HealthCare, Musical Instruments, Office Furniture/Furnishings, Office Supplies/Stationary, Footwear, Sports E",BX,14.0
,30.0,"Clothing/Personal Accessories, Footwear, Household Furniture/Furnishings, Storage/Haulage Containers",MN,13.0
Clothing,23.0,,SI,11.0
The Corona Self Help Center Inc.,23.0,"Arts/Crafts, Automotive, Electronics, Office Furniture/Furnishings, Office Supplies/Stationary",SI,11.0
111-06 Van Wyck Expy,10.0,"Clothing/Personal Accessories, Footwear",QE,5.0
1757 Randall Ave,34.0,"Clothing/Personal Accessories, Footwear",BX,14.0
Beyond Bespoke,28.0,Clothing/Personal Accessories,MN,12.0
Holding Hands Ministries,17.0,"Appliances, Sports Equipment, Pet Care/Food, Personal Care/Hygiene, Office Supplies/Stationary, Musical Instruments, Kitchen Items, Household Furniture/Furnishings, Tools/Equipment, Footwear, Electronics, Clothing/Personal Accessories, Cleaning Products,",BKS,10.0
Washington Heights,31.0,Food/Beverage,MN,13.0
222-51 Jamaica Ave,11.0,"Clothing/Personal Accessories, Footwear",QE,3.0
Horizons Vintage,59.0,,BKN,7.0
Brooklyn Heights Thrift Shop,26.0,"Books/Media, Clothing/Personal Accessories, Household Furniture/Furnishings, Kitchen Items, Footwear, Arts/Crafts, Musical Instruments, Office Furniture/Furnishings",BKN,10.0
2432 86 St,17.0,"Clothing/Personal Accessories, Footwear",BKS,11.0
Fresh Kills,26.0,,BKS,10.0
716 Prospect Ave,32.0,"Clothing/Personal Accessories, Footwear",BX,14.0
NCJW,47.0,,MN,12.0
109-11 Liberty Ave,15.0,"Clothing/Personal Accessories, Footwear",QE,5.0
Jewish Institute of Queens,12.0,"Arts/Crafts, Building Products, Office Furniture/Furnishings",QW,6.0
3560 Amboy Rd,24.0,"Clothing/Personal Accessories, Footwear",SI,11.0
CAMBA,20.0,"Books/Media, Food/Beverage",BKN,9.0
Bethany Baptist Church,14.0,,QE,5.0
The Legacy Center,12.0,"Arts/Crafts, Automotive, Building Products, Electronics, Food/Beverage, Appliances, Household Furniture/Furnishings, Kitchen Items, HealthCare, Musical Instruments, Office Furniture/Furnishings, Office Supplies/Stationary, Sports Equipment, Toys/Games",QW,7.0
Levanjil Agogo Inc.,14.0,"Storage/Haulage Containers, Sports Equipment, Office Supplies/Stationary, Office Furniture/Furnishings, Musical Instruments, Household Furniture/Furnishings, Tools/Equipment, Food/Beverage, Electronics, Clothing/Personal Accessories, Books/Media, Automot",QE,5.0
Village Tailor & Cleaners,27.0,"Clothing/Personal Accessories, Footwear",MN,10.0
Dobbin St. Co-op,59.0,,BKN,7.0
World Association For Community Empowerment,23.0,"Arts/Crafts, Automotive, Books/Media, Building Products, Clothing/Personal Accessories, Electronics, Food/Beverage, Appliances, Household Furniture/Furnishings, Kitchen Items, HealthCare, Musical Instruments, Office Furniture/Furnishings, Office Supplies",SI,11.0
,30.0,"Arts/Crafts, Baby Care, Cleaning Products, HealthCare, Office Supplies/Stationary, Personal Care/Hygiene, Toys/Games",MN,13.0
3315 White Plains Rd,36.0,"Clothing/Personal Accessories, Footwear",BX,15.0
East New York,19.0,,BKN,8.0
197-08 Hillside Ave,11.0,"Clothing/Personal Accessories, Footwear",QE,5.0
Child Development Support Corporation,25.0,"Clothing/Personal Accessories, Food/Beverage, Footwear, Personal Care/Hygiene",BKN,8.0
Everything Goes Furniture,23.0,,SI,11.0
Big Reuse,26.0,"Books/Media, Building Products, Clothing/Personal Accessories, Appliances, Household Furniture/Furnishings, Kitchen Items, Office Furniture/Furnishings, Footwear, Camping/Outdoor Equipment, Lawn/Garden Supplies, Tools/Equipment, Arts/Crafts, Electronics,",BKS,10.0
Gifted Inc,28.0,"Appliances, Storage/Haulage Containers, Sports Equipment, Pet Care/Food, Personal Care/Hygiene, Office Supplies/Stationary, Office Furniture/Furnishings, Musical Instruments, Lawn/Garden Supplies, Kitchen Items, Household Furniture/Furnishings, HealthCar",MN,12.0
St. Mary's Church Clothing Drive,25.0,"Clothing/Personal Accessories, Footwear",BKN,7.0
156-17 73 Ave,14.0,"Clothing/Personal Accessories, Footwear",QE,6.0
St. Luke's Thrift Shop,27.0,"Books/Media, Clothing/Personal Accessories, Household Furniture/Furnishings, Kitchen Items, Footwear",MN,10.0
85-15 Grand Ave,12.0,"Clothing/Personal Accessories, Footwear",QW,6.0
Westside Records,47.0,,MN,12.0
Thriftland USA,29.0,,BX,15.0
Carol Molinaro Dialysis Center,23.0,"Arts/Crafts, Baby Care, Books/Media, Cleaning Products, Food/Beverage, HealthCare, Personal Care/Hygiene, Pet Care/Food, Toys/Games",SI,11.0
POPnGAMES,11.0,,QE,3.0
Our Lady of Grace Convent,22.0,Food/Beverage,BKS,8.0
Saint Teresa Church - Saint Vincent Depaul Society,12.0,Food/Beverage,QW,7.0
Denim Therapy,28.0,Clothing/Personal Accessories,MN,12.0
St Charles Borromeo Church,30.0,Food/Beverage,MN,13.0
African Services Committee,30.0,"Clothing/Personal Accessories, Food/Beverage, Footwear, Baby Care, Personal Care/Hygiene",MN,13.0
,25.0,"Arts/Crafts, Building Products, Cleaning Products, Electronics, Household Furniture/Furnishings, Office Furniture/Furnishings, Office Supplies/Stationary, Storage/Haulage Containers, Tools/Equipment",BKN,7.0
Paradise Transitional Housing Program,33.0,"Appliances, Arts/Crafts, Books/Media, Building Products, Cleaning Products, Clothing/Personal Accessories, Electronics, Food/Beverage, Footwear, Household Furniture/Furnishings, Kitchen Items, Office Furniture/Furnishings, Office Supplies/Stationary, Per",BX,13.0
341 10 St,26.0,"Clothing/Personal Accessories, Footwear",BKS,10.0
126-06 15 Ave,11.0,"Clothing/Personal Accessories, Footwear",QE,14.0
Applebee's Grill + Bar,24.0,Clothing/Personal Accessories,SI,11.0
The 4th Bin,59.0,Electronics,QW,7.0
Riverdale Y Sunday Market,33.0,"Clothing/Personal Accessories, Footwear",BX,15.0
1348 E Gunhill Rd,36.0,"Clothing/Personal Accessories, Footwear",BX,15.0
Saint John's Lutheran Church- The Momentum Project,18.0,"Food/Beverage, Clothing/Personal Accessories, Footwear",BKN,7.0
2107 Cornaga Ave,10.0,"Clothing/Personal Accessories, Footwear",QE,5.0
167 Chester St,25.0,"Clothing/Personal Accessories, Footwear",BKN,8.0
489 Rockaway Ave,25.0,"Clothing/Personal Accessories, Footwear",BKN,8.0
Molasses Books,18.0,,BKN,7.0
DSK Studios,36.0,"Appliances, Storage/Haulage Containers, Sports Equipment, Pet Care/Food, Personal Care/Hygiene, Office Supplies/Stationary, Office Furniture/Furnishings, Musical Instruments, Lawn/Garden Supplies, Kitchen Items, Household Furniture/Furnishings, Tools/Equ",BX,15.0
126-06 15 Ave,11.0,"Clothing/Personal Accessories, Footwear",QE,14.0
Brooklyn United Methodist Church Home,19.0,"Clothing/Personal Accessories, Electronics, Food/Beverage, Footwear, Musical Instruments",BKN,8.0
129-01 Guy R Brewer Blvd,10.0,"Clothing/Personal Accessories, Footwear",QE,5.0
40-08 30 Ave,12.0,"Clothing/Personal Accessories, Footwear",QW,14.0
The Living Room,29.0,"Clothing/Personal Accessories, Footwear, HealthCare, Personal Care/Hygiene",BX,14.0
Nomad Cycle,26.0,Sports Equipment,BKN,7.0
,36.0,"Arts/Crafts, Books/Media, Camping/Outdoor Equipment, Electronics, Food/Beverage, Office Furniture/Furnishings, Office Supplies/Stationary, Sports Equipment, Toys/Games",BX,15.0
Northeast Brooklyn Housing DC,25.0,Food/Beverage,BKN,8.0
2340 Cambreleng Ave,33.0,"Clothing/Personal Accessories, Footwear",BX,15.0
Bronx,32.0,Food/Beverage,BX,15.0
Everything Goes Furniture,23.0,,SI,11.0
3901 New Utrecht Ave,17.0,"Clothing/Personal Accessories, Footwear",BKS,10.0
"Families On The Move of NYC, Inc.",23.0,Clothing/Personal Accessories,SI,11.0
Horeb SDA Church,20.0,"Appliances, Storage/Haulage Containers, Sports Equipment, Pet Care/Food, Personal Care/Hygiene, Office Supplies/Stationary, Office Furniture/Furnishings, Musical Instruments, Lawn/Garden Supplies, Kitchen Items, Household Furniture/Furnishings, Tools/Equ",BKN,9.0
Ruth's Place Antiques,21.0,,BKS,8.0
RCCG International Center Brooklyn,19.0,Food/Beverage,BKN,8.0
Jane's Exchange,27.0,,MN,10.0
Zingara Vintage,10.0,,QE,5.0
Tompkins Square Greenmarket,27.0,"Clothing/Personal Accessories, Footwear",MN,10.0
Instant Replay,14.0,,QW,6.0
