bin,:@computed_region_92fq_4b7q,point_1,census_tract,email,borough,categoriesavailable
1008736.0,32.0,"{'type': 'Point', 'coordinates': [-74.0014000002108, 40.7294760001205]}",,villagecd@aol.com,,Books/Media
3083726.0,37.0,"{'type': 'Point', 'coordinates': [-73.8924870003757, 40.6748300000077]}",,tinalft@aol.com,,Food/Beverage
4000146.0,33.0,"{'type': 'Point', 'coordinates': [-73.9542240001385, 40.7432959998137]}",,bikesnyc@gmail.com,,
2049390.0,12.0,"{'type': 'Point', 'coordinates': [-73.8683240003533, 40.856453000209]}",2022401.0,gumbel@optonline.net,Bronx,
3026831.0,27.0,"{'type': 'Point', 'coordinates': [-73.9850580002275, 40.6623720001709]}",3014902.0,info@buymae.com,Brooklyn,"Clothing/Personal Accessories, Footwear"
5046265.0,14.0,"{'type': 'Point', 'coordinates': [-74.0868069997442, 40.6060009996496]}",5005000.0,info@usagain.com,Staten Island,
2012068.0,22.0,"{'type': 'Point', 'coordinates': [-73.8894899997646, 40.8521080003871]}",2039100.0,libresporcristo@aol.com,Bronx,Food/Beverage
3048037.0,17.0,"{'type': 'Point', 'coordinates': [-73.9244519995611, 40.678672000016]}",3029900.0,jacbikejc@gmail.com,Brooklyn,Sports Equipment
3124108.0,27.0,"{'type': 'Point', 'coordinates': [-73.9803859997151, 40.6462929997254]}",3049800.0,info@usagain.com,Brooklyn,
2023840.0,31.0,"{'type': 'Point', 'coordinates': [-73.8785380001296, 40.826329999633]}",,Bread@BLPantry.org,,"Clothing/Personal Accessories, Food/Beverage, Footwear, Personal Care/Hygiene"
2088325.0,22.0,"{'type': 'Point', 'coordinates': [-73.889512999926, 40.8604459999861]}",2038700.0,donate@nycacc.org,Bronx,
5041895.0,14.0,"{'type': 'Point', 'coordinates': [-74.1939570001164, 40.5861640003716]}",5029102.0,hm.recycle.columbus@gmail.com,Staten Island,
2064240.0,2.0,"{'type': 'Point', 'coordinates': [-73.8526349999063, 40.8916469999124]}",2042200.0,tf@mycountyrecycling.org,Bronx,
5164754.0,13.0,"{'type': 'Point', 'coordinates': [-74.0857749998174, 40.6368309995542]}",5001100.0,info@peoplespath.org,Staten Island,
2000363.0,35.0,"{'type': 'Point', 'coordinates': [-73.9209639996898, 40.8113399999442]}",2004100.0,ahadmin1@abrahamhouse.org,Bronx,"Clothing/Personal Accessories, Food/Beverage, Footwear"
4442266.0,41.0,"{'type': 'Point', 'coordinates': [-73.8436189996181, 40.6685859998472]}",4006201.0,tf@mycountyrecycling.org,Queens,
1062192.0,23.0,"{'type': 'Point', 'coordinates': [-73.9448450001976, 40.8295440003585]}",1023700.0,info@areteeducation.org,Manhattan,
3329709.0,49.0,"{'type': 'Point', 'coordinates': [-73.9464929997531, 40.6801139999643]}",,jborren@lgbtbrooklyn.org,,
3118533.0,11.0,"{'type': 'Point', 'coordinates': [-73.9601619996775, 40.6434590003358]}",3051400.0,mhernandez@wearebcs.org,Brooklyn,
4225962.0,16.0,"{'type': 'Point', 'coordinates': [-73.7541519999158, 40.7242389996333]}",4054800.0,info@usagain.com,Queens,
1035369.0,51.0,"{'type': 'Point', 'coordinates': [-73.9789399995823, 40.7545400003239]}",1009400.0,newyorkcity@mdausa.org,Manhattan,
,30.0,"{'type': 'Point', 'coordinates': [-73.9418600001399, 40.704774000423]}",,sgrant@stnicksalliance.org,,
4005788.0,4.0,"{'type': 'Point', 'coordinates': [-73.9333380001495, 40.763972000011]}",4004500.0,info@usagain.com,Queens,
2049397.0,12.0,"{'type': 'Point', 'coordinates': [-73.8674030001493, 40.856463999817]}",2022403.0,gumbel@optonline.net,Bronx,
4441026.0,46.0,"{'type': 'Point', 'coordinates': [-73.8128859996901, 40.6937090000735]}",4015200.0,info@usagain.com,Queens,
3042256.0,37.0,"{'type': 'Point', 'coordinates': [-73.9085920002216, 40.6779649997882]}",3036900.0,phas2198@gmail.com,Brooklyn,
3251816.0,30.0,"{'type': 'Point', 'coordinates': [-73.9302689998155, 40.7043469996176]}",3045300.0,LtrainVintage@gmail.com,Brooklyn,"Clothing/Personal Accessories, Footwear"
2026778.0,31.0,"{'type': 'Point', 'coordinates': [-73.8506819997754, 40.8318169999578]}",,info@usagain.com,,
2005457.0,43.0,"{'type': 'Point', 'coordinates': [-73.8965519998759, 40.8215209999974]}",2008700.0,noemail@email.com,Bronx,"Books/Media, Clothing/Personal Accessories, Household Furniture/Furnishings, Kitchen Items, Office Furniture/Furnishings, Footwear, Toys/Games"
3195689.0,45.0,"{'type': 'Point', 'coordinates': [-73.9717930000479, 40.5864500000706]}",,info@recyclingtech.com,,
2091964.0,42.0,"{'type': 'Point', 'coordinates': [-73.9032690002651, 40.8233190001749]}",2013300.0,nelspal@aol.com,Bronx,
5002121.0,13.0,"{'type': 'Point', 'coordinates': [-74.0896979999637, 40.6358559995579]}",,noemail@email.com,,"Household Furniture/Furnishings, Kitchen Items"
3337255.0,7.0,"{'type': 'Point', 'coordinates': [-74.0188419996595, 40.6482789995794]}",,fooddonations@cityharvest.org,,Baby Care
3336125.0,25.0,"{'type': 'Point', 'coordinates': [-73.8968049998518, 40.6671779996682]}",3115600.0,earroyo@grandsettlment.org,Brooklyn,
3216998.0,26.0,"{'type': 'Point', 'coordinates': [-73.9381410004078, 40.6235080002972]}",3073800.0,info@helpsy.co,Brooklyn,
5000086.0,13.0,"{'type': 'Point', 'coordinates': [-74.0766550001292, 40.6423959998787]}",5000300.0,hypnotroniccomics@gmail.com,Staten Island,"Arts/Crafts, Books/Media, Toys/Games"
,16.0,"{'type': 'Point', 'coordinates': [-73.7213059996731, 40.7349139999843]}",4157101.0,info@outmycloset.org,Queens,
,14.0,"{'type': 'Point', 'coordinates': [-74.1827119995601, 40.5952149995758]}",5029102.0,vic@bracketvillebooks.com,Staten Island,
4534092.0,24.0,"{'type': 'Point', 'coordinates': [-73.7843579998228, 40.7134070001361]}",,info@indiahome.org,,"Books/Media, Clothing/Personal Accessories, Food/Beverage, Footwear, Toys/Games"
1006282.0,50.0,"{'type': 'Point', 'coordinates': [-73.9862860001998, 40.7270170000377]}",1003800.0,auh20shop@gmail.com,Manhattan,"Clothing/Personal Accessories, Footwear"
4100763.0,3.0,"{'type': 'Point', 'coordinates': [-73.8374189996881, 40.7669180000688]}",,info@usagain.com,,
1013596.0,10.0,"{'type': 'Point', 'coordinates': [-73.9927850004284, 40.754136999726]}",1011100.0,mijusewing@hotmail.com,Manhattan,Electronics
4271036.0,47.0,"{'type': 'Point', 'coordinates': [-73.7693449999727, 40.6709340002071]}",4033000.0,admin@projecthopecharities.org,Queens,"Clothing/Personal Accessories, Food/Beverage, Footwear, Sports Equipment, Toys/Games, Personal Care/Hygiene"
3323171.0,38.0,"{'type': 'Point', 'coordinates': [-73.9661289996546, 40.7061200004409]}",3054500.0,info@usagain.com,Brooklyn,
3062466.0,30.0,"{'type': 'Point', 'coordinates': [-73.9594710001875, 40.7144430002475]}",3055300.0,Blackspringbooks@gmail.com,Brooklyn,Books/Media
,21.0,"{'type': 'Point', 'coordinates': [-73.8828490001822, 40.7479969998649]}",4028100.0,hello@ourvoicesarefree.org,Queens,
3094304.0,37.0,"{'type': 'Point', 'coordinates': [-73.8720559997855, 40.676847000392]}",3119600.0,munassinc@gmail.com,Brooklyn,
3039605.0,17.0,"{'type': 'Point', 'coordinates': [-73.9207260004056, 40.6682939998714]}",3036100.0,info@thefarmny.org,Brooklyn,"Sports Equipment, Pet Care/Food, Personal Care/Hygiene, Office Supplies/Stationary, Kitchen Items, HealthCare, Food/Beverage, Electronics, Clothing/Personal Accessories, Cleaning Products, Books/Media, Baby Care, Arts/Crafts, Footwear, Toys/Games"
4100748.0,3.0,"{'type': 'Point', 'coordinates': [-73.8335439999566, 40.7702710000098]}",,info@usagain.com,,
3023922.0,27.0,"{'type': 'Point', 'coordinates': [-73.9898669998631, 40.665363999652]}",3014102.0,timegalleries@aol.com,Brooklyn,"Household Furniture/Furnishings, Kitchen Items"
5024935.0,13.0,"{'type': 'Point', 'coordinates': [-74.1362799996232, 40.6252380000369]}",5024700.0,majorsrecords@verizon.net,Staten Island,Books/Media
,42.0,"{'type': 'Point', 'coordinates': [-73.909528000218, 40.8310220001684]}",2014500.0,amelendez@dotstrategiesllc.com,Bronx,
,27.0,"{'type': 'Point', 'coordinates': [-73.9698230000324, 40.6725160003164]}",,info@grownyc.org,,
2028411.0,22.0,"{'type': 'Point', 'coordinates': [-73.8719070001089, 40.8394019999055]}",2021800.0,info@usagain.com,Bronx,
4073962.0,28.0,"{'type': 'Point', 'coordinates': [-73.865941000178, 40.7214650003127]}",4069702.0,info@usagain.com,Queens,
4201413.0,46.0,"{'type': 'Point', 'coordinates': [-73.8376860003096, 40.6819969995651]}",4011200.0,info@usagain.com,Queens,
3067152.0,38.0,"{'type': 'Point', 'coordinates': [-73.9422449999078, 40.7246270004389]}",3059100.0,info@greentreetextiles.org,Brooklyn,
3052381.0,49.0,"{'type': 'Point', 'coordinates': [-73.9441909997158, 40.683443999744]}",3026700.0,info@byasleon.com,Brooklyn,Clothing/Personal Accessories
2041427.0,31.0,"{'type': 'Point', 'coordinates': [-73.8496709999177, 40.8346779996931]}",,sales@shivanionline.com,,
3327789.0,26.0,"{'type': 'Point', 'coordinates': [-73.9437890000633, 40.6473190002748]}",3085600.0,info@usagain.com,Brooklyn,
3079058.0,37.0,"{'type': 'Point', 'coordinates': [-73.9085170003603, 40.691080000245]}",3043700.0,info@usagain.com,Brooklyn,
3061704.0,38.0,"{'type': 'Point', 'coordinates': [-73.9559159999244, 40.7188660000691]}",3051700.0,earwaxrec@gmail.com,Brooklyn,Books/Media
,4.0,"{'type': 'Point', 'coordinates': [-73.9109979996589, 40.763373000267]}",4014700.0,development@muddypawsrescue.org,Queens,
2094835.0,31.0,"{'type': 'Point', 'coordinates': [-73.8578490002321, 40.8232889996908]}",2004200.0,gumbel@optonline.net,Bronx,
1060221.0,36.0,"{'type': 'Point', 'coordinates': [-73.942802000413, 40.8171309998989]}",1022800.0,jdiamond@iris.org,Manhattan,Food/Beverage
2021426.0,31.0,"{'type': 'Point', 'coordinates': [-73.8625450000527, 40.8169359998997]}",2002002.0,info@usagain.com,Bronx,
4062967.0,34.0,"{'type': 'Point', 'coordinates': [-73.8907219999214, 40.7281229997798]}",4049302.0,sales@americanrecyclingresources.com,Queens,
3176302.0,18.0,"{'type': 'Point', 'coordinates': [-73.9625130001758, 40.6092280000754]}",3042000.0,heresabookstore@gmail.com,Brooklyn,Books/Media
1014059.0,10.0,"{'type': 'Point', 'coordinates': [-73.9992160002192, 40.7437009996047]}",1008700.0,email@none.org,Manhattan,"Household Furniture/Furnishings, Musical Instruments, Footwear, Sports Equipment, Toys/Games, Appliances, Books/Media, Electronics, Kitchen Items, Clothing/Personal Accessories"
,50.0,"{'type': 'Point', 'coordinates': [-73.9835429996107, 40.7260549997416]}",,slm@streetlife.org,,"Cleaning Products, Clothing/Personal Accessories, Food/Beverage, Footwear, HealthCare, Personal Care/Hygiene"
1089242.0,23.0,"{'type': 'Point', 'coordinates': [-73.9425589999988, 40.8333519996982]}",1024100.0,info@cloth159.org,Manhattan,Food/Beverage
5013424.0,13.0,"{'type': 'Point', 'coordinates': [-74.0769409998283, 40.6293770002516]}",5002100.0,info@projecthospitality.org,Staten Island,Food/Beverage
3009611.0,7.0,"{'type': 'Point', 'coordinates': [-73.9979929995782, 40.6600720002258]}",3010100.0,sales@greenpathelectricbikes.com,Brooklyn,
1030888.0,19.0,"{'type': 'Point', 'coordinates': [-73.9790530002967, 40.782449999571]}",1016300.0,moreandmoreantiques@gmail.com,Manhattan,"Household Furniture/Furnishings, Kitchen Items"
3341487.0,11.0,"{'type': 'Point', 'coordinates': [-73.9633700001264, 40.6490910001528]}",3051200.0,info@camba.org,Brooklyn,"Books/Media, Clothing/Personal Accessories, Footwear, Toys/Games"
5000034.0,13.0,"{'type': 'Point', 'coordinates': [-74.076045999924, 40.6408749998846]}",5000300.0,amiller@seamenssociety.org,Staten Island,
2011507.0,22.0,"{'type': 'Point', 'coordinates': [-73.8948660003666, 40.8514990001819]}",,info@helpsy.co,,
3099519.0,17.0,"{'type': 'Point', 'coordinates': [-73.9256889999483, 40.6639370003955]}",3088400.0,noemail@email.com,Brooklyn,Food/Beverage
3047130.0,49.0,"{'type': 'Point', 'coordinates': [-73.9345809999142, 40.6814680003512]}",,indigostylevintage@gmail.com,,Clothing/Personal Accessories
1063322.0,23.0,"{'type': 'Point', 'coordinates': [-73.9446850000137, 40.8370930004448]}",1024700.0,daikenn@gmail.com,Manhattan,Food/Beverage
4009498.0,33.0,"{'type': 'Point', 'coordinates': [-73.9271099998276, 40.7550729997224]}",4005500.0,apollogallery@hotmail.com,Queens,Household Furniture/Furnishings
5155332.0,9.0,"{'type': 'Point', 'coordinates': [-74.2378560001553, 40.5279189997652]}",,donate@nycacc.org,,
4180778.0,34.0,"{'type': 'Point', 'coordinates': [-73.8666480004058, 40.6916399999892]}",4000200.0,info@usagain.com,Queens,
2015788.0,29.0,"{'type': 'Point', 'coordinates': [-73.9006799995833, 40.877664999943]}",2027700.0,info@khcc-nyc.org,Bronx,"Food/Beverage, Baby Care, Pet Care/Food"
1015281.0,51.0,"{'type': 'Point', 'coordinates': [-73.9865380001296, 40.7539399996344]}",1011300.0,awaldron@lifeadjustmentcenter.com,Manhattan,
3328842.0,44.0,"{'type': 'Point', 'coordinates': [-74.0191050000966, 40.6231180002987]}",3014000.0,svdpauto@gmail.com,Brooklyn,
3153427.0,44.0,"{'type': 'Point', 'coordinates': [-74.0321700000464, 40.6233070000212]}",3006000.0,Sheryl.Myrick-Pettersen@use.salvationarmy.org,Brooklyn,Food/Beverage
1011183.0,10.0,"{'type': 'Point', 'coordinates': [-74.0058949997554, 40.7339349998036]}",1007300.0,info@housingworks.org,Manhattan,"Books/Media, Clothing/Personal Accessories, Household Furniture/Furnishings, Kitchen Items, Footwear, Arts/Crafts, Musical Instruments, Office Furniture/Furnishings"
3.0316010E+6,49.0,"{'type': 'Point', 'coordinates': [-73.9451899999195, 40.6729309996691]}",3034100.0,celestecameron@anchorhouseinc.com,Brooklyn,
3168721.0,44.0,"{'type': 'Point', 'coordinates': [-74.0039150001781, 40.6024189999401]}",3028200.0,support@communityrecycling.biz,Brooklyn,
,14.0,"{'type': 'Point', 'coordinates': [-74.0976420002791, 40.5644940002012]}",5012804.0,info@projecthospitality.org,Staten Island,Food/Beverage
3022705.0,27.0,"{'type': 'Point', 'coordinates': [-73.9823949997304, 40.6662459998562]}",,info@sterlingplace.com,,"Household Furniture/Furnishings, Kitchen Items"
1008860.0,32.0,"{'type': 'Point', 'coordinates': [-73.9973569999266, 40.732530999809]}",,info@ifixscreens.com,,
2003085.0,42.0,"{'type': 'Point', 'coordinates': [-73.9228710003973, 40.8384409996556]}",2021100.0,info@helpsy.co,Bronx,
,12.0,"{'type': 'Point', 'coordinates': [-73.8311320002426, 40.8486399996394]}",2026601.0,Info@MyCountyRecycling.org,Bronx,
3327213.0,37.0,"{'type': 'Point', 'coordinates': [-73.8747550001441, 40.6837320004347]}",3117601.0,receptionbsbk@gmail.com,Brooklyn,Food/Beverage
3139372.0,18.0,"{'type': 'Point', 'coordinates': [-73.9955249999797, 40.6323630003554]}",3021800.0,info@masbia.org,Brooklyn,Food/Beverage
1080626.0,10.0,"{'type': 'Point', 'coordinates': [-73.9955249999797, 40.7378850002957]}",1005400.0,info@xaviermission.org,Manhattan,"Clothing/Personal Accessories, Food/Beverage, Footwear, Personal Care/Hygiene"
1052845.0,35.0,"{'type': 'Point', 'coordinates': [-73.9394260003106, 40.792456999694]}",1018000.0,donate@nycacc.org,Manhattan,
1083964.0,36.0,"{'type': 'Point', 'coordinates': [-73.9474459996342, 40.8043040001327]}",1020000.0,atlantis@cf120.org,Manhattan,
1006445.0,50.0,"{'type': 'Point', 'coordinates': [-73.9848390000208, 40.7296079999125]}",1004001.0,contact@bufex.com,Manhattan,"Clothing/Personal Accessories, Footwear"
2019006.0,40.0,"{'type': 'Point', 'coordinates': [-73.8690359999124, 40.8966129995935]}",2044902.0,info@helpsy.co,Bronx,
3002095.0,38.0,"{'type': 'Point', 'coordinates': [-73.9913649996959, 40.693500000328]}",,info@eac-network.org,,
3418261.0,38.0,"{'type': 'Point', 'coordinates': [-73.9592950001651, 40.7362949998176]}",3056302.0,dperez1978nun@yahoo.com,Brooklyn,
1.0079440E+6,32.0,"{'type': 'Point', 'coordinates': [-73.9963910003454, 40.7247089997238]}",1004300.0,info@housingworks.org,Manhattan,"Books/Media, Clothing/Personal Accessories, Household Furniture/Furnishings, Kitchen Items, Footwear, Arts/Crafts, Musical Instruments, Office Furniture/Furnishings"
1015026.0,10.0,"{'type': 'Point', 'coordinates': [-73.9933169997807, 40.7453540002901]}",1009100.0,info@2ndstreetusainc.com,Manhattan,"Clothing/Personal Accessories, Footwear"
1064706.0,39.0,"{'type': 'Point', 'coordinates': [-73.9202520001307, 40.8630830001835]}",1029300.0,info@helpsy.co,Manhattan,
5167182.0,13.0,"{'type': 'Point', 'coordinates': [-74.1202489995927, 40.6130809996916]}",5016901.0,Actcarefoundation@gmail.com,Staten Island,"Food/Beverage, HealthCare"
3070734.0,30.0,"{'type': 'Point', 'coordinates': [-73.9309990002047, 40.7040579997801]}",3045300.0,albertoandsonsbk@gmail.com,Brooklyn,"Books/Media, Clothing/Personal Accessories, Household Furniture/Furnishings, Kitchen Items"
3336621.0,7.0,"{'type': 'Point', 'coordinates': [-74.0127650000057, 40.6777370000657]}",3005301.0,instagram@noemail.com,Brooklyn,Books/Media
2012955.0,22.0,"{'type': 'Point', 'coordinates': [-73.8850300000354, 40.8456809998815]}",2036501.0,info@usagain.com,Bronx,
,1.0,"{'type': 'Point', 'coordinates': [-73.951991999732, 40.7760680002412]}",1013800.0,brosguitarshop@gmail.com,Manhattan,
3005185.0,27.0,"{'type': 'Point', 'coordinates': [-74.0042260001308, 40.6813189997753]}",3005100.0,lynette@jalopy.biz,Brooklyn,Musical Instruments
2083833.0,40.0,"{'type': 'Point', 'coordinates': [-73.9014310000416, 40.8843390001479]}",2028500.0,info@usagain.com,Bronx,
2.0000810E+6,35.0,"{'type': 'Point', 'coordinates': [-73.917014000097, 40.8085410003701]}",2003900.0,brianlyons295@gmail.com,Bronx,"Clothing/Personal Accessories, Food/Beverage, Personal Care/Hygiene"
4283794.0,47.0,"{'type': 'Point', 'coordinates': [-73.74499500032, 40.6665900004314]}",4065000.0,lovecovenantcogic@gmail.com,Queens,Clothing/Personal Accessories
2.0577010E+6,2.0,"{'type': 'Point', 'coordinates': [-73.8640740004157, 40.8787359998697]}",2038000.0,hosuji@africanicc.com,Bronx,
511005600.00%,13.0,"{'type': 'Point', 'coordinates': [-74.1388860001898, 40.6252109996911]}",5024700.0,info@recyclingtech.com,Staten Island,
3017611.0,7.0,"{'type': 'Point', 'coordinates': [-73.9941369998237, 40.6601320002948]}",3014500.0,lrobles@mixteca.org,Brooklyn,"Baby Care, Books/Media, Clothing/Personal Accessories, Food/Beverage, Footwear, HealthCare, Personal Care/Hygiene, Toys/Games"
3056359.0,49.0,"{'type': 'Point', 'coordinates': [-73.9551549999043, 40.6873310000288]}",,info@helpsy.co,,
,35.0,"{'type': 'Point', 'coordinates': [-73.9080579998778, 40.8147800002999]}",2007300.0,info@balticstreet.org,Bronx,
2114502.0,22.0,"{'type': 'Point', 'coordinates': [-73.9024140004068, 40.8519609999034]}",2038100.0,info@usagain.com,Bronx,
1008363.0,10.0,"{'type': 'Point', 'coordinates': [-74.0029970001124, 40.7299270002341]}",1006700.0,unoppressive@gmail.com,Manhattan,Books/Media
1052905.0,35.0,"{'type': 'Point', 'coordinates': [-73.9366019995836, 40.7958529998193]}",1018800.0,lrussett@lsafhs.org,Manhattan,Food/Beverage
3392437.0,38.0,"{'type': 'Point', 'coordinates': [-73.9599810003239, 40.7207729998773]}",3055700.0,used@roughtrade.com,Brooklyn,Books/Media
3063392.0,30.0,"{'type': 'Point', 'coordinates': [-73.9507689999903, 40.7076629996509]}",3052700.0,info@helpsy.co,Brooklyn,
1003611.0,32.0,"{'type': 'Point', 'coordinates': [-73.9921629996237, 40.7142630000406]}",1000600.0,Ecdysisnyc@gmail.com,Manhattan,Clothing/Personal Accessories
1015429.0,10.0,"{'type': 'Point', 'coordinates': [-73.9929550001741, 40.738871999946]}",1005400.0,academylpcd@gmail.com,Manhattan,Books/Media
3071291.0,30.0,"{'type': 'Point', 'coordinates': [-73.9427479997214, 40.7065010000243]}",,humanheadnyc@gmail.com,,"Books/Media, Electronics"
3350216.0,26.0,"{'type': 'Point', 'coordinates': [-73.92371199961, 40.6387249996622]}",3094401.0,Info@metcouncil.org,Brooklyn,Food/Beverage
4194447.0,41.0,"{'type': 'Point', 'coordinates': [-73.8435489999873, 40.6931310003986]}",4002800.0,contact@calvarymission.com,Queens,"Clothing/Personal Accessories, Food/Beverage, Footwear, Baby Care, Cleaning Products, Household Furniture/Furnishings, Personal Care/Hygiene, Pet Care/Food"
4212730.0,6.0,"{'type': 'Point', 'coordinates': [-73.7781329996392, 40.7135589999511]}",4047000.0,no@email.com,Queens,
3115281.0,11.0,"{'type': 'Point', 'coordinates': [-73.9601039997008, 40.6581960000486]}",3079801.0,recordcitybk@gmail.com,Brooklyn,Books/Media
5107371.0,9.0,"{'type': 'Point', 'coordinates': [-74.1642459996542, 40.5911409996606]}",5027706.0,pickup@carecyclecares.com,Staten Island,
3071206.0,30.0,"{'type': 'Point', 'coordinates': [-73.9439959997166, 40.7070280000454]}",3050500.0,northbrooklynangels@gmail.com,Brooklyn,Food/Beverage
,51.0,"{'type': 'Point', 'coordinates': [-73.9624330000839, 40.7645240002856]}",1011800.0,recyclinghopenonprofit@gmail.com,Manhattan,
3156003.0,44.0,"{'type': 'Point', 'coordinates': [-74.0329960003661, 40.6139829999187]}",,info@recyclingtech.com,,
1005605.0,32.0,"{'type': 'Point', 'coordinates': [-73.9910260002507, 40.7213080002672]}",1003601.0,commend@igetrvng.com,Manhattan,"Books/Media, Clothing/Personal Accessories"
4262869.0,46.0,"{'type': 'Point', 'coordinates': [-73.7919819997705, 40.6688640000768]}",4079200.0,pastordoris1@aol.com,Queens,"Clothing/Personal Accessories, Food/Beverage, HealthCare, Footwear"
1083703.0,32.0,"{'type': 'Point', 'coordinates': [-73.9902680003689, 40.7151650002678]}",1001600.0,info@countryof.com,Manhattan,Clothing/Personal Accessories
2092353.0,43.0,"{'type': 'Point', 'coordinates': [-73.9132479999962, 40.8228819998077]}",2014100.0,notanemail@callphone.com,Bronx,Food/Beverage
4270061.0,6.0,"{'type': 'Point', 'coordinates': [-73.7698030004091, 40.6827389996083]}",4033401.0,ccichurch@aol.com,Queens,Food/Beverage
,38.0,"{'type': 'Point', 'coordinates': [-73.9859409995785, 40.6986769998469]}",3002300.0,pk@thatsuitsyou.org,Brooklyn,
5170012.0,9.0,"{'type': 'Point', 'coordinates': [-74.2283630003532, 40.5307299998928]}",,dennis.mckeon@where-to-turn.org,,
4229344.0,16.0,"{'type': 'Point', 'coordinates': [-73.7364680000991, 40.7229110004455]}",4056000.0,olloutreach@netzero.net,Queens,Food/Beverage
,32.0,"{'type': 'Point', 'coordinates': [-74.0059729997551, 40.7127749997696]}",,mcglen3537@icloud.com,,
205171200.00%,12.0,"{'type': 'Point', 'coordinates': [-73.8590669997432, 40.8652749996448]}",2032600.0,info@helpsy.co,Bronx,
4004272.0,33.0,"{'type': 'Point', 'coordinates': [-73.9379840003623, 40.7590260003528]}",4004300.0,tf@mycountyrecycling.org,Queens,
,9.0,"{'type': 'Point', 'coordinates': [-74.1971489998274, 40.5164539998554]}",,info@projecthospitality.org,,Food/Beverage
1000000.0,34.0,"{'type': 'Point', 'coordinates': [-73.8685219995916, 40.7090200001761]}",4063700.0,info@bobbicares.org,Queens,
4256235.0,46.0,"{'type': 'Point', 'coordinates': [-73.8072020001731, 40.668310999756]}",4081800.0,Hhcommunity1@gmail.com,Queens,
3076116.0,37.0,"{'type': 'Point', 'coordinates': [-73.9176570000715, 40.6956489996049]}",3041700.0,gboszeta@riseboro.org,Brooklyn,
2098486.0,29.0,"{'type': 'Point', 'coordinates': [-73.9135240001334, 40.8465009999244]}",2021700.0,info@ventbiketech.com,Bronx,
2050221.0,12.0,"{'type': 'Point', 'coordinates': [-73.8552760002881, 40.8584359999247]}",2032600.0,gumbel@optonline.net,Bronx,
306684600.00%,38.0,"{'type': 'Point', 'coordinates': [-73.9479329996092, 40.7234920002588]}",3057100.0,tf@mycountyrecycling.org,Brooklyn,
4209635.0,6.0,"{'type': 'Point', 'coordinates': [-73.7947139998522, 40.7077880000194]}",,jobsearchhelp@queenslibrary.org,,Clothing/Personal Accessories
5000385.0,13.0,"{'type': 'Point', 'coordinates': [-74.0812089996966, 40.6374059999901]}",5001100.0,clothing@etgstores.com,Staten Island,"Clothing/Personal Accessories, Footwear"
