phone,:@computed_region_f5dn_yrer,community_district,additionalmaterialinformation,hours,website
(718) 808-1840,4.0,501,,"Monday 12:00 PM-07:00 PM, Tuesday 12:00 PM-07:00 PM, Wednesday 12:00 PM-07:00 PM, Thursday 12:00 PM-07:00 PM, Friday 12:00 PM-07:00 PM, Saturday 12:00 PM-07:00 PM, Sunday 12:00 PM-07:00 PM",http://chasiny.org/food-pantry-assistance
(718) 266-3666,21.0,313,,"Monday 11:00 AM-7:00 PM, Tuesday 11:00 AM-7:00 PM, Wednesday 11:00 AM-7:00 PM, Thursday 11:00 AM-7:00 PM, Friday 11:00 AM-7:00 PM, Saturday 11:00 AM-7:00 PM, Sunday 11:00 AM-06:00 PM",
(718) 434-1800,60.0,314,,"Friday 9:00 AM-5:00 PM, Thursday 9:00 AM-5:00 PM, Wednesday 9:00 AM-5:00 PM, Tuesday 9:00 AM-5:00 PM, Monday 9:00 AM-5:00 PM, Sunday Closed, Wednesday 11:30 AM-01:00 PM, Friday Closed, Thursday 11:30 AM-01:00 PM, Saturday Closed, Tuesday 11:30 AM-01:00 P",https://www.bulletproofcomix.com/home.html
(718) 356-7448,15.0,503,,"Monday Closed, Tuesday Closed, Wednesday 10:00 AM-02:00 PM, Thursday 10:00 AM-02:00 PM, Friday Closed, Saturday Closed, Sunday Closed",http://simhs.org/thrift-shops
(844) 383-5109,39.0,401,,,https://quickjewelryrepairs.com/
(718) 474-9306,51.0,414,,"Monday 12:00 PM-08:00 PM, Tuesday 12:00 PM-08:00 PM, Wednesday 12:00 PM-08:00 PM, Thursday 12:00 PM-08:00 PM, Friday 12:00 PM-08:00 PM, Saturday 12:00 PM-07:00 PM, Sunday 12:00 PM-07:00 PM",https://solidrockny.adventistchurch.org/
(718) 828-3403,43.0,210,,,https://stbenedictchurchny.org/
(718) 231-5299,29.0,212,,"Monday Closed, Tuesday 10:00 AM-01:00 PM, Wednesday 10:00 AM-01:00 PM, Thursday 10:00 AM-01:00 PM, Friday 10:00 AM-01:00 PM, Saturday Closed, Sunday Closed",http://www.rccgtor.org
(212) 254-8620,57.0,102,,,www.ascensionoutreach.org
(718) 863-6280,59.0,211,,,https://usagain.com/
(347) 429-5043,42.0,304,,,https://www.handmleasing.org/
(646) 657-8122,36.0,301,,"Monday 09:00 AM-06:00 PM, Tuesday 09:00 AM-06:00 PM, Wednesday 09:00 AM-06:00 PM, Thursday 09:00 AM-06:00 PM, Friday 09:00 AM-06:00 PM, Saturday 09:00 AM-06:00 PM, Sunday 09:00 AM-06:00 PM",
(347) 203-9838,46.0,409,,,https://usagain.com/
(917) 535-7456,8.0,202,,,https://www.bizwiztechrepair.com/
(516) 325-4810,16.0,308,,,
(718) 863-3282,59.0,211,,,https://www.solacedominic.org/
(718) 984-7873,15.0,503,,,http://www.stclaresi.com/start
(718) 463-6133,22.0,407,,,http://www.mycountyrecycling.org
(212) 645-0875,11.0,105,,,http://alliance.nyc/
(718) 297-4860,41.0,412,,"Monday 09:30 AM-01:30 PM, Tuesday Closed, Wednesday Closed, Thursday Closed, Friday Closed, Saturday Closed, Sunday Closed",
(718) 653-3143,29.0,212,,,https://usagain.com/
(718) 997-0524,9.0,307,,,https://www.helpsy.co/
(718) 282-7162,61.0,317,,"Monday 09:00 AM-06:00 PM, Tuesday 02:00 PM-05:00 PM, Wednesday Closed, Thursday Closed, Friday Closed, Saturday Closed, Sunday Closed",
(718) 251-5888,5.0,318,,,https://usagain.com/
(917) 969-0541,69.0,303,,,https://www.helpsy.co/
(718) 527-3776,61.0,317,,,https://www.haupinc.org/
(718) 634-7394,51.0,414,,,
(718) 493-9214,55.0,316,please call carima hewitt at 646-399-6779,,www.bethesda-cdc.org
(646) 657-8122,14.0,306,,"Monday 10:00 AM-05:00 PM, Tuesday 10:00 AM-07:00 PM, Wednesday Closed, Thursday Closed, Friday Closed, Saturday Closed, Sunday Closed",
(718) 773-3551,21.0,313,,"Monday 02:00 PM-05:00 PM, Tuesday 02:00 PM-05:00 PM, Wednesday 02:00 PM-05:00 PM, Thursday 02:00 PM-05:00 PM, Friday Closed, Saturday Closed, Sunday 02:00 PM-05:00 PM",http://www.tcahnyc.org/find-food/
(347) 621-4601,58.0,209,,,http://www.mycountyrecycling.org
(347) 375-8914,49.0,201,,,https://usagain.com/
(929) 351-4338,8.0,202,,,https://areyoureadycommunity.wixsite.com/areyoureadycommunity
7186228296,14.0,306,,"Saturday 12:00 PM-8:00 PM, Friday 12:00 PM-8:00 PM, Thursday 12:00 PM-8:00 PM, Wednesday 12:00 PM-8:00 PM, Tuesday 12:00 PM-8:00 PM, Monday 12:00 PM-8:00 PM, Sunday 12:00 PM-8:00 PM",
(646) 726-4715,70.0,103,,,www.loisaida.org
(347) 721-5638,55.0,316,,"Monday 1:00 PM-2:30 PM, Tuesday Closed, Wednesday Closed, Thursday Closed, Friday Closed, Saturday 11:00 AM-11:30 AM, Sunday Closed, Monday 10:00 AM-6:00 PM, Tuesday 10:00 AM-6:00 PM, Wednesday 10:00 AM-6:00 PM, Thursday 10:00 AM-6:00 PM, Friday 10:00 AM",http://tallomfoundation.org
,46.0,409,,,http://www.elohimfoodpantry.org/
(917) 923-7734,29.0,212,,,http://www.mycountyrecycling.org
(347) 365-8620,61.0,317,,"Monday 9:00 AM-5:00 PM, Tuesday 9:00 AM-5:00 PM, Wednesday 9:00 AM-5:00 PM, Thursday 9:00 AM-5:00 PM, Friday 9:00 AM-5:00 PM, Saturday Closed, Sunday Closed",
(336) 899-9733,53.0,402,"My organization is working with hundreds of partners in different ways to get food excess to those in need. I am building a network with food going to waste, connecting the food to food pantries, soup kitchens, homeless shelters and street outreach. I am",,www.thesolutiontohunger.org
(347) 350-8422,17.0,309,,"Monday Closed, Tuesday Closed, Wednesday Closed, Thursday Closed, Friday Closed, Saturday 08:00 AM-11:00 AM, Sunday Closed, Monday 9:00 AM-5:00 PM, Tuesday 9:00 AM-5:00 PM, Wednesday 9:00 AM-5:00 PM, Thursday 9:00 AM-5:00 PM, Friday 9:00 AM-5:00 PM, Satu",http://www.anyonecomics.com
(646) 548-0100,7.0,111,,"Monday Closed, Tuesday Closed, Wednesday Closed, Thursday Closed, Friday 09:00 AM-12:00 PM, Saturday 07:30 AM-11:00 AM, Sunday Closed, Monday 9:00 AM-5:00 PM, Tuesday 9:00 AM-5:00 PM, Wednesday 9:00 AM-5:00 PM, Thursday 9:00 AM-5:00 PM, Friday 9:00 AM-5:",
(347) 924-9051,53.0,402,,,http://www.violetsvolition.com/
(111) 111-1111,36.0,301,,,https://www.northbrooklynangels.org/
(718) 460-5600,22.0,407,,,
(718) 434-3266,60.0,314,,"Monday 10:00 AM-06:00 PM, Tuesday 10:00 AM-06:00 PM, Wednesday 10:00 AM-06:00 PM, Thursday 10:00 AM-06:00 PM, Friday 10:00 AM-06:00 PM, Saturday 10:00 AM-06:00 PM, Sunday Closed, Monday 10:00 AM-3:00 PM, Tuesday 10:00 AM-3:00 PM, Wednesday 10:00 AM-3:00",http://www.copo.org/
(718) 385-7305,61.0,317,,,www.hopecenterdevelopment.org
(917) 681-2569,63.0,413,,,https://usagain.com/
(718) 797-0326,14.0,306,,"Monday 09:00 AM-06:00 PM, Tuesday 09:00 AM-06:00 PM, Wednesday 09:00 AM-06:00 PM, Thursday 09:00 AM-06:00 PM, Friday 09:00 AM-06:00 PM, Saturday 10:30 AM-03:00 PM, Sunday Closed",
(646) 984-3938,49.0,201,We do not pick up. Delivered donations go to our Bronx supportive housing program - 10454.,,www.bflnyc.org
(646) 261-1973,63.0,413,,"Monday 10:00 AM-07:00 PM, Tuesday 10:00 AM-07:00 PM, Wednesday 10:00 AM-08:00 PM, Thursday 10:00 AM-08:00 PM, Friday 10:00 AM-08:00 PM, Saturday 10:00 AM-08:00 PM, Sunday 12:00 PM-06:00 PM",https://www.veteranownedbusiness.com/business/6885/vets-inc
(718) 846-6666,46.0,409,,,https://www.helpsy.co/
(718) 470-2444,41.0,412,,,https://www.helpsy.co/
(646) 294-7726,24.0,207,,,https://www.christdisciples.org/
(718) 784-2240,39.0,401,Please call in advance before making delivery: (718) 784-2240 extension 160.  Thank you!,,www.thefloatinghospital.org
(718) 808-1840,30.0,502,,"Monday 12:00 PM-07:00 PM, Tuesday 12:00 PM-07:00 PM, Wednesday 12:00 PM-07:00 PM, Thursday 12:00 PM-07:00 PM, Friday 12:00 PM-07:00 PM, Saturday 12:00 PM-07:00 PM, Sunday 12:00 PM-07:00 PM",http://chasiny.org/food-pantry-assistance
(917) 749-6771,41.0,412,,,https://www.helpsy.co/
(646) 644-5090,30.0,502,,,https://www.communityrecycling.biz/
(718) 469-8252,60.0,314,,"Monday 10:00 AM-08:00 PM, Tuesday 10:00 AM-08:00 PM, Wednesday 10:00 AM-09:00 PM, Thursday 10:00 AM-09:00 PM, Friday 10:00 AM-09:00 PM, Saturday 10:00 AM-09:00 PM, Sunday 10:00 AM-07:00 PM",
(718) 779-7795,53.0,402,,"Monday 09:00 AM-05:00 PM, Tuesday 09:00 AM-05:00 PM, Wednesday 09:00 AM-05:00 PM, Thursday 09:00 AM-05:00 PM, Friday 09:00 AM-05:00 PM, Saturday Closed, Sunday Closed",
(347) 784-0674,25.0,408,,,http://www.americanrecyclingtech.com/
(929) 309-4577,23.0,108,"460 main street Apto 18A new York, new York 10044",,www.fundavenyc.org
(718) 424-4544,66.0,404,,"Friday 11:00 AM-07:00 PM, Thursday 11:00 AM-07:00 PM, Wednesday 11:00 AM-07:00 PM, Tuesday 11:00 AM-07:00 PM, Monday 11:00 AM-07:00 PM, Saturday 11:00 AM-07:00 PM, Sunday 11:00 AM-05:00 PM",http://www.jacksonheightschurch.org/
(551) 556-4905,65.0,403,,,www.avivamiento.com
(212) 677-6464,57.0,102,,"Friday 10:00 AM-4:00 PM, Thursday 10:00 AM-4:00 PM, Wednesday 10:00 AM-4:00 PM, Tuesday 10:00 AM-4:00 PM, Monday 10:00 AM-4:00 PM, Sunday Closed, Wednesday Closed, Friday 10:00 AM-1:00 PM, Thursday Closed, Saturday Closed, Tuesday Closed, Monday Closed,",http://www.screamingmimis.com
(212) 283-4731,18.0,110,,,https://www.helpsy.co/
(929) 243-4408,14.0,306,"Please put your donations in their proper pace (i.e., hang clothing)  No perishable food, electronics, furniture accepted Please email for pick up of large donations.",,https://www.gowanusmutualaid.org/
(718) 378-2068,58.0,209,,,https://usagain.com/
(347) 492-6508,5.0,318,,"Monday Closed, Tuesday Closed, Wednesday Closed, Thursday Closed, Friday Closed, Saturday 11:00 AM-01:00 PM, Sunday Closed, Monday 11:00 AM-5:00 PM, Tuesday 11:00 AM-5:00 PM, Wednesday 11:00 AM-5:00 PM, Thursday 11:00 AM-5:00 PM, Friday 11:00 AM-5:00 PM,",
(718) 441-2506,46.0,409,,,http://www.americanrecyclingtech.com/
(718) 922-2982,61.0,317,,,https://usagain.com/
(917) 418-2307,51.0,414,,,https://www.helpsy.co/
(917) 974-8261,18.0,110,,"Monday 11:00 AM-07:00 PM, Tuesday 11:00 AM-07:00 PM, Wednesday 11:00 AM-07:00 PM, Thursday 11:00 AM-07:00 PM, Friday 11:00 AM-07:00 PM, Saturday 11:00 AM-07:00 PM, Sunday 11:00 AM-07:00 PM",
(718) 792-4744,59.0,211,,"Monday 12:00 PM-7:00 PM, Tuesday 12:00 PM-7:00 PM, Wednesday 12:00 PM-7:00 PM, Thursday 12:00 PM-7:00 PM, Friday 12:00 PM-7:00 PM, Saturday 12:00 PM-7:00 PM, Sunday 12:00 PM-7:00 PM",
(718) 498-7496,45.0,305,,,https://www.helpsy.co/
(914) 819-2751,50.0,204,Please contact Sara Boutoille to arrange for pickup and drop offs.,,https://choiceofny.org/
(267) 608-4687,36.0,301,,"Monday Closed, Tuesday 09:00 AM-12:30 PM, Wednesday 09:00 AM-12:30 PM, Thursday Closed, Friday Closed, Saturday Closed, Sunday Closed",https://www.dustyrosevintage.com/
(212) 337-7469,57.0,102,,"Monday 09:00 AM-12:00 PM, Tuesday 8:00 AM-9:00 AM, Wednesday 09:00 AM-12:00 PM, Thursday 09:00 AM-12:00 PM, Friday Closed, Saturday Closed, Sunday Closed, Monday 9:00 AM-9:00 PM, Tuesday 9:00 AM-9:00 PM, Wednesday 9:00 AM-9:00 PM, Thursday 9:00 AM-9:00 P",
(718) 257-5494,45.0,305,,,
(718) 402-1212,8.0,202,,,http://thehopeline.org/
(347) 779-2789,36.0,301,,,https://www.albertoandsons.com/
(718) 436-0242,9.0,307,,,www.childrenofthecity.org
(718) 378-3588,49.0,201,,"Monday Closed, Tuesday Closed, Wednesday Closed, Thursday Closed, Friday 10:00 AM-12:00 PM, Saturday Closed, Sunday Closed",
(212) 529-5955,71.0,106,,,https://www.housingworks.org/
(718) 636-8500,69.0,303,,"Monday 11:00 AM-08:00 PM, Tuesday 11:00 AM-08:00 PM, Wednesday 11:00 AM-08:00 PM, Thursday 11:00 AM-08:00 PM, Friday 11:00 AM-08:00 PM, Saturday 11:00 AM-08:00 PM, Sunday 11:00 AM-08:00 PM",
(718) 824-3413,58.0,209,,,
(718) 488-8855,68.0,302,,,http://www.forkandpencil.com/
(201) 406-1177,29.0,212,,,https://www.helpsy.co/
(718) 429-5806,53.0,402,,"Monday 07:00 AM-04:00 PM, Tuesday 07:00 AM-04:00 PM, Wednesday 07:00 AM-04:00 PM, Thursday 07:00 AM-04:00 PM, Friday 07:00 AM-04:00 PM, Saturday Closed, Sunday Closed",http://www.weecompany.com
(718) 260-5391,68.0,302,,,
(917) 806-6665,32.0,315,,,http://www.americanrecyclingtech.com/
(646) 292-7740,70.0,103,,"Monday 09:00 AM-12:00 PM, Tuesday 09:00 AM-12:00 PM, Wednesday 09:00 AM-12:00 PM, Thursday 09:00 AM-12:00 PM, Friday 09:00 AM-12:00 PM, Saturday Closed, Sunday Closed",
(718) 643-1825,68.0,302,,"Monday 12:00 PM-06:00 PM, Tuesday 12:00 PM-06:00 PM, Wednesday 12:00 PM-06:00 PM, Thursday 12:00 PM-06:00 PM, Friday 12:00 PM-06:00 PM, Saturday 12:00 PM-06:00 PM, Sunday 12:00 PM-06:00 PM",http://myunique.com
(212) 228-1561,57.0,102,,"Monday 11:00 AM-08:00 PM, Tuesday 11:00 AM-08:00 PM, Wednesday 11:00 AM-08:00 PM, Thursday 11:00 AM-08:00 PM, Friday 11:00 AM-08:00 PM, Saturday 11:00 AM-08:00 PM, Sunday 12:00 PM-07:00 PM",
(718) 336-0101,60.0,314,,,https://www.communityrecycling.biz/
(646) 922-2136,18.0,110,,,http://www.cinderblockpeople.com/
(347) 828-5860,24.0,207,,"Monday 12:00 PM-6:00 PM, Tuesday 12:00 PM-6:00 PM, Wednesday 12:00 PM-6:00 PM, Thursday 12:00 PM-6:00 PM, Friday 12:00 PM-6:00 PM, Saturday 12:00 PM-06:00 PM, Sunday Closed",
(718) 634-8229,51.0,414,,"Monday 12:00 PM-08:00 PM, Tuesday 12:00 PM-08:00 PM, Wednesday 12:00 PM-08:00 PM, Thursday 12:00 PM-08:00 PM, Friday 12:00 PM-08:00 PM, Saturday 12:00 PM-08:00 PM, Sunday 12:00 PM-08:00 PM",
(347) 935-0851,8.0,202,,,http://www.trippinzcareinc.org
,35.0,206,,"Monday 08:30 AM-04:00 PM, Tuesday 08:30 AM-04:00 PM, Wednesday 08:30 AM-04:00 PM, Thursday 08:30 AM-04:00 PM, Friday 08:30 AM-04:00 PM, Saturday 08:30 AM-06:00 PM, Sunday 08:30 AM-04:00 PM",
(888) 227-5500,59.0,211,,"Monday 01:00 PM-02:00 PM, Tuesday Closed, Wednesday Closed, Thursday Closed, Friday Closed, Saturday Closed, Sunday Closed",https://www.cancer.org/involved/donate/more-ways-to-give/cars-for-a-cure.html
(212) 989-8814,12.0,104,,"Monday 10:00 AM-06:00 PM, Tuesday 10:00 AM-06:00 PM, Wednesday 10:00 AM-06:00 PM, Thursday 10:00 AM-06:00 PM, Friday 10:00 AM-06:00 PM, Saturday Closed, Sunday Closed",http://ogtstore.com
(646) 321-5045,7.0,111,,"Monday 11:30 AM-09:00 PM, Tuesday 11:30 AM-09:00 PM, Wednesday 11:30 AM-09:00 PM, Thursday 11:30 AM-09:00 PM, Friday 11:30 AM-10:00 PM, Saturday 11:30 AM-10:00 PM, Sunday 11:30 AM-09:00 PM",http://unidossisepuede.org/
(718) 383-0567,36.0,301,,,https://parachutebrooklyn.com/
(718) 464-1839,63.0,413,,,https://usagain.com/
(718) 387-3130,36.0,301,,,www.awokevintage.com
(718) 291-4901,41.0,412,,,historicgrace.org
(718) 302-5656,36.0,301,,"Monday Closed, Tuesday Closed, Wednesday 12:00 PM-6:00 PM, Thursday 12:00 PM-6:00 PM, Friday Closed, Saturday Closed, Sunday 12:00 PM-6:00 PM",
