site,qe_congressional_district_total,objectid,objectid_1,site_1,dsny_district,hours,email
181 Lexington Ave,0.0,117893,117893,181 Lexington Ave,BKN03,,info@helpsy.co
Record Shop,0.0,118857,118857,Record Shop,BKS06,,instagram@noemail.com
African International Collaborative Center,0.0,118152,118152,African International Collaborative Center,BX12,,hosuji@africanicc.com
Soho Thrift Shop,0.0,118929,118929,Soho Thrift Shop,MN02,,info@housingworks.org
Rough Trade NYC,0.0,118883,118883,Rough Trade NYC,BKN01,"Monday 09:00 AM-05:00 PM, Tuesday 09:00 AM-05:00 PM, Wednesday 09:00 AM-05:00 PM, Thursday 09:00 AM-05:00 PM, Friday 09:00 AM-05:00 PM, Saturday Closed, Sunday Closed",used@roughtrade.com
Women's Facility,0.0,119186,119186,Women's Facility,BKN08,"Monday 11:00 AM-07:30 PM, Tuesday 11:00 AM-07:30 PM, Wednesday 11:00 AM-07:30 PM, Thursday 11:00 AM-07:30 PM, Friday 11:00 AM-07:30 PM, Saturday 11:00 AM-07:30 PM, Sunday Closed",celestecameron@anchorhouseinc.com
iFixScreens Greenwich Village,0.0,118585,118585,iFixScreens Greenwich Village,MN02,,info@ifixscreens.com
495 E 180 St,0.0,118056,118056,495 E 180 St,BX06,,info@helpsy.co
Love Covenant Church,5.0,118649,118649,Love Covenant Church,QE13,"Monday 12:00 PM-08:00 PM, Tuesday 12:00 PM-08:00 PM, Wednesday 12:00 PM-08:00 PM, Thursday 12:00 PM-08:00 PM, Friday 12:00 PM-08:00 PM, Saturday 12:00 PM-08:00 PM, Sunday 12:00 PM-08:00 PM",lovecovenantcogic@gmail.com
AuH2O,0.0,118189,118189,AuH2O,MN03,"Friday 8:00 AM-8:00 PM, Thursday 8:00 AM-8:00 PM, Wednesday 8:00 AM-8:00 PM, Tuesday 8:00 AM-8:00 PM, Monday 8:00 AM-8:00 PM, Sunday 2:00 PM-4:00 PM, Wednesday Closed, Friday Closed, Thursday Closed, Saturday Closed, Tuesday Closed, Monday Closed, Saturd",auh20shop@gmail.com
