property_floor_area_building,hospital_general_medical_17,date_property_last_modified,national_median_energy_cost,energy_alerts,latitude,longitude,rank,dense_rank
85550,Not Available,04/28/2014 06:20 AM EDT,Not Available,Not Available,40.852799,-73.853325,1,1
85550,Not Available,04/28/2014 06:20 AM EDT,Not Available,Not Available,40.852799,-73.853325,1,1
85550,Not Available,04/28/2014 06:20 AM EDT,Not Available,Not Available,40.852799,-73.853325,1,1
85550,Not Available,04/25/2014 12:27 PM EDT,Not Available,Not Available,40.852799,-73.853325,1,1
184489,Not Available,09/15/2013 04:29 PM EDT,Not Available,The most recent bill for one or more meters in use is either more than 120 days old or prior to your <b>Next Eligible Date</b>.,40.764627,-73.972745,1,1
791632,Not Available,09/15/2013 04:29 PM EDT,2789156.31,Not Available,40.758744,-73.968618,8,1
90374,Not Available,04/29/2014 10:01 AM EDT,Not Available,Not Available,40.768051,-73.89144,1,1
90374,Not Available,04/29/2014 10:01 AM EDT,Not Available,Not Available,40.768051,-73.89144,1,1
90374,Not Available,04/29/2014 10:01 AM EDT,Not Available,Not Available,40.768051,-73.89144,1,1
90374,Not Available,04/29/2014 10:01 AM EDT,Not Available,Not Available,40.768051,-73.89144,1,1
90374,Not Available,04/29/2014 10:01 AM EDT,Not Available,Not Available,40.768051,-73.89144,1,1
90374,Not Available,04/29/2014 10:01 AM EDT,Not Available,Not Available,40.768051,-73.89144,1,1
90374,Not Available,04/29/2014 10:00 AM EDT,Not Available,Not Available,40.768051,-73.89144,1,1
90374,Not Available,04/29/2014 10:00 AM EDT,Not Available,Not Available,40.768051,-73.89144,1,1
90374,Not Available,04/29/2014 10:00 AM EDT,Not Available,Not Available,40.768051,-73.89144,1,1
137469,Not Available,09/15/2013 04:29 PM EDT,Not Available,The most recent bill for one or more meters in use is either more than 120 days old or prior to your <b>Next Eligible Date</b>.,40.777357,-73.954614,1,1
152026,Not Available,02/06/2014 06:32 AM EST,Not Available,The most recent bill for one or more meters in use is either more than 120 days old or prior to your <b>Next Eligible Date</b>.,40.766971,-73.962639,1,1
297836,Not Available,04/07/2014 07:37 AM EDT,0,<b>STEAM 7771000000</b> has one or more bills in the selected timeframe that cover more than 65 days. Please enter energy use in bills less than 65 days.; One or more of the meters in use in the selected timeframe has estimated bills. Enter actual bills through the Meters tab for this property.,40.757534,-73.970965,1,1
110032,Not Available,12/19/2013 06:55 AM EST,458260.92,The most recent bill for one or more meters in use is either more than 120 days old or prior to your <b>Next Eligible Date</b>.,40.742093,-73.998528,1,1
795215,Not Available,02/06/2014 06:31 AM EST,Not Available,Not Available,40.77969,-73.987882,1,1
