centername,phone,inspectionsummaryresult,programtype,t4_centername,total,count,average
Gan Yisroel of Crown Heights,347-857-8746,Initial Annual Inspection - Reinspection Required; Fines pending,ALL AGE CAMP,Gan Yisroel of Crown Heights,50.0,2,25.0
Kochavim Ktanim Child Care Inc,718-441-0404,Initial Annual Inspection - Reinspection Required; Fines pending,PRESCHOOL,Kochavim Ktanim Child Care Inc,50.0,1,50.0
EVERBROOK ACADEMY,212-682-8080,Initial Annual Inspection - Passed inspection with no violations,PRESCHOOL,EVERBROOK ACADEMY,50.0,4,12.5
EVERBROOK ACADEMY,212-682-8080,Monitoring Inspection Non-Routine - Passed inspection with no violations,PRESCHOOL,EVERBROOK ACADEMY,50.0,4,12.5
BRIGHT HORIZONS AT EAST VILLAGE,332-255-8506,Initial Annual Inspection - Reinspection Required; Fines pending,PRESCHOOL,BRIGHT HORIZONS AT EAST VILLAGE,42.8571,3,14.2857
"BEGINNINGS NURSERY SCHOOL, INC.",212-228-5679,Initial Annual Inspection - Passed inspection; Violations corrected at time of inspection,PRESCHOOL,"BEGINNINGS NURSERY SCHOOL, INC.",40.0,2,20.0
NY KIDS CLUB,718-305-4057,Initial Annual Inspection - Passed inspection with no violations,PRESCHOOL,NY KIDS CLUB,33.3334,4,8.33335
"NEW YORK CHILD RESOURCE CENTER, INC.",718-585-0600,Initial Annual Inspection - Passed inspection with no violations,PRESCHOOL,"NEW YORK CHILD RESOURCE CENTER, INC.",25.0,1,25.0
SUNSHINE LEARNING CENTER,718-996-7200,Initial Annual Inspection - Passed inspection with no violations,PRESCHOOL,SUNSHINE LEARNING CENTER,25.0,2,12.5
Beanstalk Academy,718-346-1064,Monitoring Inspection Non-Routine - Reinspection Required; Violations corrected at time of inspection,PRESCHOOL,Beanstalk Academy,20.0,1,20.0
"BILINGUAL NEST, LLC",917-825-8763,Monitoring Inspection Non-Routine - Reinspection Not Required,PRESCHOOL,"BILINGUAL NEST, LLC",16.6667,1,16.6667
