schooldbn,printedschoolname,postcode,selectioncriteria2_prog6,selectioncriteria4_prog5,swdseats_prog4,selectioncriteria2_prog2,tophs3,prefnote_prog6,geappsperseat_prog3,priority3_prog2,priority1_prog4,eligibility_prog6,swdfilled_prog1,prefnote_prog5,selectioncriteria11_prog6,geseats_prog3,priority1_prog1,selectioncriteria11_prog4,swdappsperseat_prog6,priority4_prog3,selectioncriteria4_prog1,selectioncriteria8_prog4,swdapps_prog5,swdappsperseat_prog2,selectioncriteria4_prog3,selectioncriteria4_prog2,coursepassrate,champsboys,eligibility_prog3,priority4_prog4,selectioncriteria6_prog3,priority1_prog5,selectioncriteria12_prog3,priority7_prog2,gefilled_prog1,prefnote_prog4,priority2_prog3,priority1_prog3,bus,bbl,swdfilled_prog4,priority3_prog6,code_prog6,geseats_prog1,priority4_prog2,priority7_prog1,priority6_prog1,revealed_prog4,priority3_prog5,tophs2,geapps_prog1,geappsperseat_prog6,uniform,summersession,selectioncriteria6_prog4,selectioncriteria3_prog4,selectioncriteria11_prog5,admissionsmethod_prog3
21K228,I.S. 228 David A. Boody,11223.0,.,.,3,Attendance,New Utrecht High School,.,12,.,.,Open to students and residents of District 21,No,.,.,24,,.,.,.,Punctuality,.,.,2,Punctuality,Punctuality,99.0,,Open to students and residents of Brooklyn,.,.,.,.,.,No,.,,,"B3, B4, B82",3070840001.0,No,.,Talent Programs,45.0,.,.,.,.,.,Edward R. Murrow High School,185.0,.,No,Yes,.,Language Proficiency Assessment,.,Screened: Language
03M859,Special Music School,10023.0,.,.,.,,,.,,.,.,.,,.,.,,Priority to continuing 5th grade students,.,.,.,,.,.,,,,89.0,,,.,.,.,.,.,,.,.,.,"BxM2, M10, M104, M11, M20, M5, M57, M66, M7, M72",1011390008.0,.,.,.,,.,.,.,.,.,,,.,No,No,.,.,.,
07X500,Hostos-Lincoln Academy of Science,10455.0,.,.,,,,.,,.,.,,No,.,.,,,.,.,.,,.,.,,,,91.0,,,.,.,.,.,.,Yes,.,,,"Bx15, Bx17, Bx19, Bx2, Bx21, Bx4, Bx41, Bx41-SBS, Bx4A",2026160001.0,,.,,61.0,.,.,.,.,.,,401.0,.,Yes,No,.,,.,
02M167,J.H.S. 167 Robert F. Wagner,10021.0,.,.,.,Academic and Personal Behaviors,Eleanor Roosevelt High School,.,,.,.,.,Yes,.,.,,Priority to students residing in the zone,.,.,.,Final 4th Grade Report Card,.,.,2,,Final 4th Grade Report Card,97.0,,,.,.,.,.,.,No,.,.,.,"BxM1, BxM10, BxM11, BxM2, BxM3, BxM4, BxM6, BxM7, BxM8, BxM9, M1, M101, M102, M103, M15, M15-SBS, M2, M3, M31, M4, M66, M72, M79, M98",1014300005.0,.,.,.,133.0,.,.,.,.,.,N.Y.C. Lab School for Collaborative Studies,829.0,.,No,No,.,.,.,
24Q113,P.S./I.S. 113 Anthony J. Pranzo,11385.0,.,.,.,.,,.,,.,.,.,No,.,.,,Priority to continuing 5th grade students,.,.,.,,.,.,,.,.,96.0,"Developmental Basketball, Flag Football",,.,.,.,.,.,No,.,.,.,"BM5, Q11, Q21, Q23, Q29, Q47, Q52, Q53, Q54, Q55, QM12, QM15, QM42",4038460040.0,,.,.,,.,.,.,.,.,Maspeth High School,,.,No,No,.,.,.,
09X128,Mott Hall III,10456.0,.,.,,,Knowledge and Power Preparatory Academy International High School (Kappa),.,,,.,.,Yes,.,.,,Priority to students and residents of District 9,.,.,.,Interview,.,,,,,94.0,,,.,.,.,.,.,Yes,.,,,"Bx11, Bx15, Bx17, Bx21, Bx35, Bx41, Bx41-SBS",2029320001.0,,.,.,102.0,,,,.,.,Pelham Preparatory Academy,838.0,.,Yes—Official uniform must be purchased,Yes,.,,.,
17K340,M.S. 340 North Star Academy,11238.0,.,.,.,,George Westinghouse Career and Technical Education High School,.,,.,.,.,No,.,.,,,.,.,,Attendance: 10%,.,.,2,.,,99.0,,,.,.,.,.,.,No,.,,,"B41, B45, B65, B67, B69",3011640057.0,.,.,.,50.0,.,.,.,.,.,High School for Public Service: Heroes of Tomorrow,155.0,.,Yes—Official uniform must be purchased,Yes–Academic support for certain students.,.,.,.,
26Q172,Irwin Altman Middle School 172,11004.0,.,.,.,,Thomas A. Edison Career and Technical Education High School,.,,.,.,.,Yes,.,.,,Priority to students in the Gifted & Talented program at P.S. 115,.,.,,Attendance: 5%,.,.,,.,,99.0,Basketball League,,.,.,.,.,.,Yes,.,,,"Q36, Q43, Q46, QM35, QM36, QM5, QM6, QM8, X68",4087310004.0,.,.,.,87.0,.,.,.,.,.,"Queens High School of Teaching, Liberal Arts and the Sciences",329.0,.,No,No,.,.,.,
09X117,I.S. 117 Joseph H. Wade,10453.0,.,.,,,Bronx Leadership Academy High School,.,,,.,.,No,.,.,,Priority to students residing in the zone,.,.,.,,.,,,,,85.0,,,.,.,.,.,.,No,.,,,"Bx1, Bx18, Bx2, Bx3, Bx32, Bx36, Bx40, Bx41, Bx41-SBS, Bx42, BxM4",2028270001.0,,.,.,112.0,,,,.,.,Bronx Leadership Academy II High School,289.0,.,Yes,Yes–Academic support and enrichment,.,,.,
23K671,Mott Hall Bridges Academy,11212.0,.,.,.,.,,.,,.,.,.,Yes,.,.,,Priority to students and residents of District 23 who sign in at an event,.,.,.,,.,.,,.,.,89.0,,,.,.,.,.,.,No,.,.,.,"B12, B14, B60, B7",3035420001.0,,.,.,65.0,.,.,.,.,.,Brooklyn College Academy,152.0,.,Yes—Official uniform must be purchased,Yes,.,.,.,
16K898,M.S.898,,.,.,.,.,.,.,.,.,.,.,,.,.,.,PrioritytostudentsandresidentsofDistrict16,.,.,.,,.,.,.,.,.,,.,.,.,.,.,.,.,,.,.,.,"B15,B25,B26,B43,B46,B46-SBS,B52,B65",,.,.,.,76.0,.,.,.,.,.,,,.,No,Yes,.,.,.,.
12X211,P.S. 211,10457.0,.,.,.,.,High School for Teaching and the Professions,.,,.,.,.,No,.,.,,Priority to continuing 5th grade students,.,.,.,,.,.,,.,.,86.0,,,.,.,.,.,.,No,.,.,.,"Bx12, Bx15, Bx17, Bx19, Bx21, Bx36, Bx40, Bx42, Bx9",2029510032.0,,.,.,59.0,.,.,.,.,.,South Bronx Preparatory: A College Board School,183.0,.,Yes,Yes—Academic support for certain students.,.,.,.,
04M012,Tag Young Scholars,10029.0,.,.,.,,,.,,,.,.,No,.,.,,Priority to continuing 5th grade students,.,.,.,Final 4th Grade Report Card,.,.,,.,,100.0,,,.,.,.,.,.,Yes,.,,,"M1, M101, M102, M103, M106, M116, M15, M15-SBS, M2, M3, M4, M96, M98",1016560100.0,.,.,.,52.0,,.,,.,.,Stuyvesant High School,1456.0,.,"Yes—Top, bottom, and shoes specific colors or styles",No,.,.,.,
31R063,MAELS - Marsh Avenue Expeditionary Learning School,10314.0,.,.,.,.,Gaynor McCown Expeditionary Learning School,.,,.,.,.,Yes,.,.,,Priority to students and residents of District 31 who sign in at an event,.,.,.,,.,.,,.,.,74.0,,,.,.,.,.,.,Yes,.,.,.,"S44, S55, S56, S59, S61, S79-SBS, S89, S91, S94, X17, X17A, X17J, X31",5024500320.0,,.,.,112.0,.,.,.,.,.,New Dorp High School,940.0,.,Yes,No,.,.,.,
05M362,Columbia Secondary School,10027.0,.,.,.,.,,.,,.,.,.,Yes,.,.,,"Priority to students and residents of District 3 north of 96th Street and students and residents of Districts 4, 5, and 6",.,.,.,Entrance Exam,.,.,,.,.,95.0,,,.,.,.,.,.,Yes,.,.,.,"Bx15, M10, M100, M101, M104, M11, M116, M2, M3, M4, M5, M60-SBS, M7",1019640012.0,,.,.,77.0,.,.,.,.,.,Stuyvesant High School,1296.0,.,Yes,No,.,.,.,
27Q207,P.S. 207 Rockwood Park,11414.0,.,.,,,,.,,.,.,,,.,.,,Priority to continuing 5th grade students,.,.,.,,.,.,,,,96.0,,,.,.,.,.,.,,.,,,"Q21, Q41, Q52, Q53, QM15, QM16, QM17",4140090060.0,,.,,,.,.,.,.,.,,,.,Yes,No,.,,.,
06M018,P.S. 018 Park Terrace,10034.0,.,.,,,,.,,.,.,,Yes,.,.,,Priority to continuing 5th grade students,.,.,.,,.,.,,,,68.0,Basketball League,,.,.,.,.,.,Yes,.,,,"Bx12, Bx12-SBS, Bx20, Bx3, Bx32, Bx7, Bx9, BxM1, BxM18, BxM2, BxM3, M100",1022150824.0,,.,,44.0,.,.,.,.,.,,81.0,.,Yes,No,.,,.,
29Q289,Queens United Middle School,11413.0,.,.,,,,.,,,.,.,No,.,.,,Priority to students and residents of District 29 who attend an information session,.,.,.,,.,,,,,80.0,Basketball League,,.,.,.,.,.,Yes,.,,,"Q5, Q85, X63",4131700012.0,,.,.,60.0,,,,.,.,"Queens High School of Teaching, Liberal Arts and the Sciences",216.0,.,Yes,No,.,,.,
21K690,Brooklyn Studio Secondary School,11214.0,.,.,,,,.,,.,.,,Yes,.,.,,Priority to students and residents of District 21 who sign in at an event,.,.,.,,.,.,,,,97.0,Basketball League,,.,.,.,.,.,Yes,.,,,"B1, B4, B6, B64, B8, B82",3063290032.0,,.,,82.0,.,.,.,.,.,,300.0,.,No,Yes,.,,.,
01M140,P.S. 140 Nathan Straus,10002.0,.,.,.,,Lower Manhattan Arts Academy,.,,.,.,.,Yes,.,.,,Priority to continuing 5th grade students,.,.,.,Final 4th Grade Report Card,.,.,,,,91.0,,,.,.,.,.,.,Yes,.,.,.,"B39, M14A, M14D, M15, M15-SBS, M21, M22, M9",1003440001.0,.,.,.,50.0,.,.,.,.,.,Hudson High School of Learning Technologies,135.0,.,No,No,.,.,.,
14K050,John D. Wells (M.S. 50),11211.0,.,.,.,Academic and Personal Behaviors,Automotive High School,.,,.,.,.,Yes,.,.,,,.,.,,,.,.,5,.,Final 4th Grade Report Card,84.0,,,.,.,.,.,.,Yes,.,,,"B24, B32, B39, B44, B44-SBS, B46, B60, B62, Q54, Q59",3024190001.0,.,.,.,24.0,.,.,.,.,.,Williamsburg Preparatory School,151.0,.,Yes—Official uniform provided by school,Yes–Academic support and enrichment.,.,.,.,
11X532,Baychester Middle School,10466.0,.,.,,,The Bronxwood Preparatory Academy,.,,,.,.,Yes,.,.,,Priority to students residing in the zone,.,.,.,,.,,,,,87.0,,,.,.,.,.,.,Yes,.,,,"Bx16, Bx30, Bx31",2049350001.0,,.,.,65.0,,,,.,.,Academy for Scholarship and Entrepreneurship: A College Board School,340.0,.,Yes,Yes,.,,.,
05M161,P.S. 161 Pedro Albizu Campos,10027.0,.,.,.,.,The High School of Fashion Industries,.,,.,.,.,Yes,.,.,,Priority to continuing 5th grade students,.,.,.,,.,.,,.,.,82.0,,,.,.,.,.,.,No,.,.,.,"Bx15, Bx33, M10, M100, M101, M104, M11, M2, M3, M4, M5, M60-SBS",1019710001.0,,.,.,104.0,.,.,.,.,.,Thurgood Marshall Academy for Learning and Social Change,149.0,.,Yes,Yes,.,.,.,
12X267,Bronx Latin,10456.0,.,.,.,.,,.,,.,.,.,Yes,.,.,,,.,.,.,,.,.,,.,.,96.0,Basketball League,,.,.,.,.,.,Yes,.,.,.,"Bx11, Bx15, Bx17, Bx19, Bx21, Bx27, Bx35, Bx4, Bx4A, Bx5, Bx6",2026710011.0,,.,.,62.0,.,.,.,.,.,The Metropolitan Soundview High School,323.0,.,"Yes--Top, bottom, and shoes-specific colors or styles.",Yes—Academic support for certain students.,.,.,.,
09X232,The Academy School (M.S. 232),10453.0,.,.,,,Bronx Compass High School,.,,,.,.,Yes,.,.,,Priority to students residing in the zone,.,.,.,,.,,,,,90.0,,,.,.,.,.,.,Yes,.,,,"Bx1, Bx18, Bx2, Bx3, Bx32, Bx36, Bx40, Bx42, BxM4",2028660070.0,,.,.,104.0,,,,.,.,"H.E.R.O. High (Health, Education, and Research Occupations High School)",362.0,.,Yes—Top and bottom-specific colors or styles,Yes–Academic support and enrichment,.,,.,
10X279,"P.S. 279 Captain Manuel Rivera, Jr.",10453.0,.,.,,,Bronx Leadership Academy II High School,.,,,.,.,,.,.,,Priority to continuing 5th grade students,.,.,.,,.,,,,,90.0,Basketball League,,.,.,.,.,.,,.,,,"Bx1, Bx2, Bx3, Bx32, Bx36, Bx40, Bx41, Bx41-SBS, Bx42, BxM4",2031780014.0,,.,.,,,,,.,.,Charter High School for Law and Social Justice,,.,Yes,No,.,,.,
04M108,School of Authors (P.S./M.S. 108 ),10029.0,.,.,.,,Manhattan Center for Science and Mathematics,.,,,.,.,No,.,.,,Priority to continuing 5th grade students,.,.,.,,.,.,,.,,85.0,,,.,.,.,.,.,No,.,,,"BxM11, BxM2, BxM3, BxM4, M1, M101, M102, M103, M106, M116, M15, M15-SBS, M2, M3, M4, M98",1016140021.0,.,.,.,77.0,,.,,.,.,Orchard Collegiate Academy,117.0,.,Yes,Yes–Academic support for certain students.,.,.,.,
19K661,Vista Academy,11208.0,.,.,.,,Cypress Hills Collegiate Preparatory School,.,,.,.,.,Yes,.,.,,Priority to students residing in the zone who sign in at an event,.,.,.,,.,.,,,,99.0,,,.,.,.,.,.,Yes,.,.,.,"B14, Q24, Q56, Q8",3039690001.0,.,.,.,98.0,.,.,.,.,.,Transit Tech Career and Technical Education High School,468.0,.,Yes,Yes–Academic support and enrichment.,.,.,.,
06M278,Paula Hedbavny School (P.S./M.S. 278),10034.0,.,.,,,,.,,.,.,,Yes,.,.,,Priority to continuing 5th grade students,.,.,.,Writing Sample,.,.,,,,91.0,"Basketball League, Flag Football",,.,.,.,.,.,Yes,.,,,"Bx12, Bx12-SBS, Bx20, Bx3, Bx32, Bx7, Bx9, BxM1, BxM18, BxM2, BxM3, M100",1022150831.0,,.,,53.0,.,.,.,.,.,High School for Environmental Studies,223.0,.,Yes,No,.,,.,
10X363,Academy For Personal Leadership And Excellence,10468.0,.,.,,,International School for Liberal Arts,.,,,.,.,Yes,.,.,,Priority to students and residents of Districts 9 and 10 who sign in at an event,.,.,.,,.,,5,,,96.0,Developmental Basketball,,.,.,.,.,.,Yes,.,,,"Bx1, Bx12, Bx12-SBS, Bx15, Bx17, Bx2, Bx22, Bx28, Bx3, Bx32, Bx34, Bx38, Bx41, Bx41-SBS, Bx9, BxM4",2031720046.0,,.,.,17.0,,,,.,.,Manhattan Bridges High School,383.0,.,Yes—Official uniform provided by school,Yes–Academic support and enrichment,.,,.,
12X318,"I.S. 318 The School of Mathematics, Science & Technology through the Arts",10457.0,.,.,.,.,,.,,.,.,.,No,.,.,,Priority to students residing in the zone,.,.,.,,.,.,,.,.,95.0,,,.,.,.,.,.,No,.,.,.,"Bx12, Bx15, Bx17, Bx19, Bx21, Bx36, Bx40, Bx42, Bx9",2029510032.0,,.,.,101.0,.,.,.,.,.,,238.0,.,Yes,Yes—Academic support for certain students.,.,.,.,
10X206,I.S. 206B Ann Mersereau,10468.0,.,.,,,,.,,,.,.,No,.,.,,Priority to students and residents of District 10 who sign in at an event,.,.,.,,.,,,,,82.0,"Baseball, Basketball League, Flag Football",,.,.,.,.,.,Yes,.,,,"Bx1, Bx12, Bx12-SBS, Bx2, Bx3, Bx32, Bx40, Bx42, BxM3, BxM4",2032090001.0,,.,.,49.0,,,,.,.,,140.0,.,Yes,Yes,.,,.,
28Q,Catherine & Count Basie Middle School 72,11434.0,.,.,.,,John Bowne High School,.,,,.,.,Yes,.,.,,,.,.,.,,.,.,5,.,,88.0,,,.,.,.,.,.,Yes,.,,,"Q111, Q113, Q114, Q6, Q85, QM21",4124950270.0,.,.,.,25.0,,.,,.,.,Hillcrest High School,138.0,.,Yes–Official uniform must be purchased,Yes,.,.,.,
06M366,Washington Heights Academy,10034.0,.,.,,,,.,,.,.,,Yes,.,.,,Priority to continuing 5th grade students,.,.,.,,.,.,,,,97.0,Basketball League,,.,.,.,.,.,Yes,.,,,"Bx12, Bx12-SBS, Bx20, Bx7, BxM1, M100",1022260041.0,,.,,49.0,.,.,.,.,.,,317.0,.,Yes—Official uniform must be purchased,No,.,,.,
28Q287,The Emerson School,11433.0,.,.,.,,Hillcrest High School,.,,,.,.,No,.,.,,Priority to students residing in the zone,.,.,.,,.,.,,.,,86.0,Basketball League,,.,.,.,.,.,No,.,,,"Q111, Q112, Q113, Q114, Q4, Q42, Q5, Q60, Q83, Q84, Q85, X64",4101780001.0,.,.,.,91.0,,.,,.,.,Newtown High School,220.0,.,Yes,No,.,.,.,
03M421,West Prep Academy,10025.0,.,.,.,,,.,,.,.,.,Yes,.,.,,,.,.,.,,.,.,,,,84.0,Flag Football,,.,.,.,.,.,No,.,.,.,"M10, M104, M106, M11, M116, M3, M4, M5, M60-SBS, M7, M96",1018590001.0,.,.,.,78.0,.,.,.,.,.,,151.0,.,Yes,Yes–For incoming sixth graders.,.,.,.,
11X462,Cornerstone Academy for Social Action Middle School (CASA),10475.0,.,.,,,,.,,,.,.,Yes,.,.,,Priority to CASA Elementary School (11X189) 5th grade students,.,.,.,,.,,,,,91.0,,,.,.,.,.,.,Yes,.,,,"Bx16, Bx23, Bx26, Bx28, Bx30, Bx38, BxM7, Q50",2052630192.0,,.,.,66.0,,,,.,.,,303.0,.,Yes,Yes,.,,.,
08X467,Mott Hall Community School,10465.0,.,.,.,,Pelham Lab High School,.,,,.,.,No,.,.,,,.,.,.,Lab-Based Science Activity,.,.,3,.,,73.0,,,.,.,.,.,.,No,.,,,"Bx40, Bx42, Bx8, BxM9",2054380001.0,.,.,.,47.0,,.,,.,.,Westchester Square Academy,98.0,.,Yes,No,.,.,.,
13K008,P.S. 008 Robert Fulton,11201.0,.,.,,,Millennium Brooklyn HS,.,,,.,.,Yes,.,.,,Priority to continuing 5th grade students,.,.,.,,.,,,,,93.0,Basketball League,,.,.,.,.,.,Yes,.,,,"B103, B25, B26, B38, B41, B52, B54, B57, B62, B67, B69",3001310001.0,,.,.,75.0,,,,.,.,Edward R. Murrow High School,429.0,.,No,No,.,,.,
22K381,I. S. 381,11210.0,.,.,.,,James Madison High School,.,,.,.,.,No,.,.,,,.,.,.,Attendance: 10%,.,.,6,,,97.0,,,.,.,.,.,.,Yes,.,.,.,"B11, B41, B44, B44-SBS, B49, B6, B7, B82, B9, BM1, BM3, BM4",3076290030.0,.,.,.,24.0,.,.,.,.,.,Edward R. Murrow High School,175.0,.,Yes,Yes–Academic support for certain students.,.,.,.,
30Q204,I.S. 204 Oliver W. Holmes,11106.0,.,.,.,,William Cullen Bryant High School,.,,.,.,.,Yes,.,.,,,.,.,.,Attendance at an info session,.,.,2,,,86.0,,Open to students residing in the zone,.,.,.,.,.,No,.,.,.,"Q100, Q101, Q102, Q103, Q104, Q66, Q69",4003430001.0,.,.,.,75.0,.,.,.,.,.,Information Technology High School,233.0,.,Yes,Yes–For incoming sixth graders and for Academic support and enrichment.,.,.,.,Zoned
09X568,Young Women's Leadership School of the Bronx,10453.0,.,.,,,,.,,,.,.,No,.,.,,,.,.,.,,.,,,,,90.0,,,.,.,.,.,.,Yes,.,,,"Bx1, Bx18, Bx2, Bx3, Bx32, Bx36, Bx40, Bx41, Bx41-SBS, Bx42, BxM4",2028270001.0,,.,.,72.0,,,,.,.,,765.0,.,Yes—Official uniform must be purchased,Yes–For incoming sixth graders and for academic support and enrichment,.,,.,
