code_prog1,selectioncriteria10_prog4,prefnote_prog3,schoolday,selectioncriteria3_prog3,priority6_prog6,activities,borough,priority1_prog6,geseats_prog6,address,selectioncriteria9_prog4,selectioncriteria6_prog5,geappsperseat_prog1,geapps_prog3,neighborhood,geapps_prog6,priority1_prog2,overview,code_prog3,selectioncriteria12_prog1,champscoed,elaprof,priority5_prog2,swdseats_prog3,geappsperseat_prog5,selectioncriteria1_prog2,priority5_prog4,priority6_prog3,revealed_prog6,priority5_prog3,priority4_prog1,accessibility,lowestpriority_prog6,geappsperseat_prog4,selectioncriteria3_prog2,lowestpriority_prog5,code_prog4,selectioncriteria5_prog5,priority4_prog5,priority2_prog1,selectioncriteria2_prog4,selectioncriteria12_prog2,selectioncriteria10_prog2,tophs1,swdfilled_prog6,prefnote_prog2,community_board,nta,selectioncriteria7_prog1,gradespan,othersports,selectioncriteria11_prog3,swdappsperseat_prog4,swdapps_prog4,admissionsmethod_prog6,selectioncriteria1_prog3,selectioncriteria2_prog1,geseats_prog2,selectioncriteria9_prog1,selectioncriteria1_prog6,selectioncriteria8_prog1,lowestpriority_prog2,languageclasses,swdseats_prog1,bin,swdseats_prog5,electiveclasses,selectioncriteria8_prog6,name_prog6
Q0,.,.,8am-3:20pm,.,.,"Achieve 3000; ARISTA/NJHS; Band; Chorus; Dance; Drumline; English as a New Language After-School/Saturday Programs; Field Trips: High Schools, Colleges, Washington, DC; Flocabulary; Girls Empowered and Motivated for Success; Junior Deans Program; Program Partners: UFT, Teacher Center, Sports & Arts in Schools Foundation; Project BOOST; Student Government; Substance Abuse Prevention and Intervention; Young Men’s Initiative",QUEENS,.,.,"108-35 167th Street, Queens NY 11433",.,.,3,,South Jamaica,.,,"All students are encouraged to participate in school activities and community service as well as to develop meaningful relationships with adults in our school. Students enjoy the availability of interesting classes and after-school activities. There is an enrichment program to fit each student's needs. Parents appreciate our various methods of making the home/school connection. We communicate with parents using the school messenger system which notifies parents of school events over the telephone, emails, and mailings. In addition, we provide informational workshops for parents. Parents also enjoy our new Parent Center which is complete with computers, a color printer, and comfortable seating. Our parent coordinator and community assistants are available to demonstrate Skedula, Acuity, and Access web-based programs for families. Parents/Guardians also like our principal's open door policy, where they have an opportunity to meet with the principal, academy principals, and school staff.",,.,"Badminton, Baseball, Soccer, Volleyball",22.0,.,,.,,.,.,.,.,,Partially Accessible,.,.,,.,.,.,.,Then to students and residents of District 28,.,.,.,John Adams High School,.,.,412.0,South Jamaica,.,Gr 6-8,"Badminton ball League, Baseball, Basketball, NYC Middle School Baseball League, NYC Middle School Basket, Rugby, Tennis, Volleyball",.,.,.,.,,,,.,.,.,,"Korean, Spanish",20,4216655.0,.,"Foreign Language Studies (Korean & Spanish), New-Leroy Comrie Science Lab (science enrichment), New Prep Scholars, Specialized High Schools Prep Course, Talents & Arts (Art, Band)",.,.
K907U,.,.,TBD,,.,To be determined based on community input,BROOKLYN,.,.,"590 Sheffield Ave, Brooklyn, NY 11207",.,.,,,East New York,.,,"M.S. 907 opened its doors in Fall 2018. Imagine a place where your child’s creativity is tapped, their intellect is nurtured, their artistic talents are sharpened, and they are supported and happy. Welcome to M.S. 907 - a place for students to discover who they were meant to be! Our school combines standards-based academic instruction, exposure to the arts, and a projects-based approach to educate our students. And for those who exhibit exceptional academic or artistic aptitude, our Gifted and Talented program will challenge them so they can excel. Our model relies on student choice and exposure. Each semester sixth and seventh grade students will choose an arts elective (music, visual arts, creative writing, theater, and dance) to explore their skillsets. In their eighth grade year, students may narrow their focus to one specific arts connection to supplement their academics as they prepare for high school, college, and professional careers. Daily academic experiences will also be enriched for all students by authentic curricular connections to the arts. Picture it! As part of their creative arts or music elective, your child can learn to write poetry or songs to show the experiences of those they learn about in their humanities classes. Or, during dance elective, they can choreograph a jazz piece using their newfound math knowledge. As students grow at M.S. 907, they will build positive and enduring relationships with each other and the adults around them and develop their sense of self. They will also practice critical life skills such as persistence, flexible thinking, and innovation, habits of mind which will prepare them to be productive citizens in a 21st century global community. Every day our students will live our motto: Curiosity and creativity spark self-discovery!",,.,,,.,,.,Academic and Personal Behaviors: 10%  Attendance: 10%  Final 4th GradeReport Card: 45%  New York State ELA Exam: 17.5%  New York State Math Exam: 17.5%,.,.,.,.,,Accessible,.,.,,.,.,.,.,Then to students and residents of Brooklyn.,.,.,.,,.,.,305.0,East New York (Pennsylvania Ave),,6 (School willserve grades 6-8 by Fall 2020),To be determined based on community input,.,.,.,.,,,24,.,.,,,To be determined based on community input.,12,3085491.0,.,"Music, Visual Arts, Creative Writing, Theater, Dance",.,.
M346U,.,.,8am-2:50pm,,.,"Brainiacs, CHAMPS Sports including: Basketball and Track, Community League of the Heights (CLOTH) After-School Tutoring Program, Computer Squad, Dance Classes, Health Assembly Guest Speaker Series, Health Symposium, Hospital Trips, School Magazine, Service Learning, Student Government, Yearbook",MANHATTAN,.,.,"504 West 158th Street, Manhattan NY 10032",.,.,3,,Washington Heights S.,.,,"Community Health Academy of the Heights (CHAH) provides a small school setting in which students prepare for rigorous high school academics. Students like our beautiful new facility, access to sports teams, science labs, a high school gym, and a great after-school program. Parents like the fact that CHAH faculty care about the students and communicate with parents throughout the school year with telephone calls, conferences, report cards, progress reports, parent nights, curriculum nights, poetry slams, health fairs, and potlucks. Our school works hard to reach out to parents as well as the greater community.",,.,Fitness Club,29.0,.,,.,,.,.,.,.,,Fully Accessible,.,,,.,,.,.,,,.,.,Community Health Academy of the Heights,.,.,112.0,Washington Heights South,,Gr 6-12,"Baseball, Basketball, Softball, Track and Field",.,,,,,,,.,,.,,Spanish,17,1089242.0,.,,.,
K898U,.,.,8:20am-2:38pm,.,.,"Student Ambassadors, Student Government, Chess Club, Robotics, Dance, Science Club, Math Club. More to be offered based on community input.",,.,.,"130RochesterAve,BrooklynNY11213",.,.,,.,Bedford-Stuyvesant,.,.,"M.S. 898 opened its doors in the Fall of 2018, pending approval by the Panel for Educational Policy. M.S. 898 is established on the tenets of Progressive Education and based on the philosophy that students learn best through experiential and hands on learning. M.S. 898 will support and cultivate students to achieve academic excellence by challenging them to reach their highest potential in mind, body, and spirit through humanities, the sciences, arts and physical education. M.S. 898 students will understand and embrace their civic responsibility and are committed to service learning. We are committed to human health and Eco-literacy while simultaneously being dedicated to the needs of the community. At M.S. 898, learning extends beyond the school building. M.S. 898 students will be immersed in New York City through inquiry-based excursions that will afford them rich learning experiences. At M.S. 898 students will participate in service-learning and project-based approaches to learning, with emphasis on conceptual reasoning and cultivating student ability to become problem solvers. M.S. 898 students will engage in student-centered, discussion-based, cooperative learning. Educators will facilitate a learning environment whereby students will have the freedom to make mistakes, think independently, and speak their mind. At M.S. 898 students will be honored for their unique contributions, cultural backgrounds, and beliefs.",.,.,,,.,.,.,.,.,.,.,.,.,Not Accessible,.,.,.,.,.,.,.,Priority to students and residents of Brooklyn,.,.,.,,.,.,,,Students who apply to this program will be randomly selected in the order of the priority groups listed above.,6 (School will serve grades 6-8 by Fall 2020),"Basketball, Cheerleading, Soccer, Squash, Tae Kwon Do, Volleyball. More to be offered based on community input.",.,.,.,.,.,,.,.,.,.,.,,14,,.,"Music, Visual Art",.,.
X337U,.,.,8:07am-2:27pm,.,.,Art; Basketball; Computer Code Writing; Dance; Flag Football; Mock Trial Team; Music; Project BOOST; Rugby,BRONX,.,.,"1025 Morrison Avenue, Bronx NY 10472",.,.,3,,Soundview,.,,"Our students enjoy the numerous extracurricular activities we offer. They also appreciate how dedicated the faculty and staff are to the total development of the child as a scholar, citizen, and individual. Parents enjoy our dedication to creating lifelong learners who have the skills to become the leaders and inventors of tomorrow. We offer an International Academy for our new immigrant students and Regents classes in eighth grade.",,.,Fitness Club,41.0,.,,.,,.,.,.,.,,Not Accessible,.,.,,.,.,.,.,,.,.,.,Millennium Art Academy,.,.,209.0,Soundview-Bruckner,.,Gr 6-8,"Basketball, Flag Football, Tennis, Martial Arts",.,.,.,.,,,,.,.,.,,,31,2087014.0,.,,.,.
X593M,.,.,8:20am-2:40pm,,.,"LEAP Program, Dance, Visual and Performing Arts, Step, Leadership, Fitness, Chess Club. The after school academic programs include Homework assistance, Math and ELA remediation.",BRONX,.,.,"1000 Teller Avenue, Bronx NY 10456",.,.,25,,East Concourse-Concourse Village,.,,"MS 593 is a small middle school located on the Teller Avenue Campus in the Bronx. We are a Community School, and as part of the Internationals Network for Public Schools (internationalsnps.org), we serve newcomer English Language Learners, in the United States for four years or less. We pride ourselves on knowing our students and families well, and providing our students with a warm, nurturing community that will support them in developing their literacy skills to enable equity and access. Our students leave us after three critical years as literate, creative, caring, and confident participants in their community. We provide students with a robust interdisciplinary approach to skills, and a comprehensive literacy program including: close reading, independent reading, guided reading, and reading intervention. We provide students with multiple opportunities to showcase their work and learning through student-led conferences, presentations of learning and passage presentations, fostering confidence and presentation skills necessary to thrive in our community.",,.,,,.,,,,.,.,.,.,,Not Accessible,.,,,.,,.,.,Then to students and residents of the Bronx,,.,.,,.,.,204.0,East Concourse-Concourse Village,,6 (School will serve grades 6-8 by Fall 2020),,.,,,.,,,,.,.,.,,,,2097111.0,,"Eighth Grade Science Assessments, Specialized High School Preparation Classes in seventh and eight grades, Visual Art, Dance, STEM, Regents prep in Earth Science, Algebra Advisory",.,.
X269U,.,.,8:15am-2:36pm,.,.,"Academic Clinic, After-School Enrichment Activities, Casita Maria Arts Education Program, Dance, Drama, Fine Arts, Global Kids, Middle School Sports, Peer Group Connections (PGC) Eighth Grade Leadership Class, Saturday Enrichment program",BRONX,.,.,"928 Simpson Street, Bronx NY 10459",.,.,5,,Hunts Point,.,,"Our learning community is founded on the premise that every student is capable of attaining success either in college, the workplace, or both. Every BSSWA stakeholder - faculty, staff, parents, caregivers, CBO partners, and administration - also recognizes the crucial importance of providing our young Scholar-Activists leadership opportunities, scaffolds, and supports in and outside the classroom and, equally important, thoroughly exposing them to a mental model that celebrates college readiness, student voice, and leadership.",,.,,26.0,.,,.,,.,.,.,.,,Not Accessible,.,.,,.,.,.,.,,.,.,.,Bronx Studio School for Writers and Artists,.,.,202.0,Hunts Point,.,Gr 6-12,Basketball,.,.,.,.,,,,.,.,.,,,19,2116211.0,.,"Dance, Fine Arts, MS Sports, PGC (Peer Group Connections) Eighth Grade Leadership Course, Student Government, Theater",.,.
Q252U,.,.,7:50am-2:20pm,.,.,Advisory; Art Club; Career Institute and College Immersion Programs (Seventh and Eighth Grades) from QC; Daily Student Computer Use; Dance Club; Photography Club; School Play; Student Government; Urban Advantage Science Program; Yearbook Committee,QUEENS,.,.,"158-40 76th Road, Queens NY 11366",.,.,3,,Kew Gardens Hills,.,,"Students like the warm-yet-demanding teachers who challenge and engage them. They profit from their early exposure to the campus, courses, and professors at Queens College and find a wide variety of friends here. The Queens School of Inquiry (QSI) is a neighborhood school that works with Queens College (QC) beginning in the sixth grade so that students may earn up to 60 free QC credits in high school. Parents appreciate the personal contact with their child's teachers and with the principal.",,.,Badminton,41.0,.,,.,,.,.,.,.,,Partially Accessible,.,.,,.,.,.,.,Then to students and residents of District 25.,.,.,.,The Queens School of Inquiry,.,.,408.0,Kew Gardens Hills,.,6-12,"Fitness Club, Yoga",.,.,.,.,,,,.,.,.,,Spanish,12,4147847.0,.,"Daily Art, Early Morning Tutoring, Music (Sixth and Seventh Grades), and/or Stringed Instrument Instruction",.,.
X218S,.,.,8am-2:20pm,,.,"Advisory; BOKS Fitness Program; Chorus; Drama; Geek Squad (Honor Society); Health; Health Initiatives; Reach for the World; Student Council; WHEDco After-School Program: Dance, Sports, Chess, Fitness, Science, High School Preparation, the Arts",BRONX,.,.,"1220 Gerard Avenue, Bronx NY 10452",.,.,6,,West Concourse,.,,"Students at P.S./I.S. 218 spend half of their time learning content information in English and the other half learning in Spanish. We are a K-8 Dual Language School. Our goal is to have students become biliterate, meaning that they can engage in academic work in both languages. Additionally, our middle school students are given accelerated instruction in mathematics and science in anticipation of taking the Algebra I and Living Environment Regents in the eighth grade. And, through a wide variety of experiences, students view the world through a global perspective. Whether communicating with college students abroad or conducting research for a company like Time Inc., our students use the skills learned in the classroom in authentic ways. Students thrive in an environment that enables them to be productive citizens who respect and embrace linguistic and cultural differences. Parents enjoy a welcoming environment which encourages them to participate in the education of their children. They embrace the high expectations of our teachers, and work alongside us to foster well-rounded young adults. The school also encourages parents' personal growth by providing workshops on current topics.",,.,"Flag Rugby, Volleyball",37.0,.,,,,.,.,.,.,Then to students and residents of District 10.,Fully Accessible,.,,,.,,.,.,Then to students residing in the elementary school zone,,.,.,Bronx Leadership Academy II High School,.,.,204.0,West Concourse,,Gr K-8,Rafael Hernandez Wresting through Beat the Streets,.,,,.,,Attendance and Punctuality,,.,.,.,,,23,2097130.0,,"Advisory, Art, Drama, i-Ready, Music, Physical Education",.,.
X371U,.,.,8:15am-2:35pm,.,.,Ballroom Dance; Car Modeling Club; Chess Club; Chorus; Debate Team; Engineering Makers Program; LEGO Club; National Junior Honor Society; Peer Mediation; Portfolio Art Club; School Musical; Specialized High School Preparation Course; Student Government; Violin and Viola Courses; Yearbook,BRONX,.,.,"650 Hollywood Avenue, Bronx NY 10465",.,.,2,,Throgs Neck,.,,"The Urban Institute of Mathematics (UIM) stands by our mission statement: ""I'm going to college... It's never too early to start planning for the rest of my life."" UIM is a place where teamwork translates into STEAM work as we focus on science, technology, engineering, arts, and mathematics. Over the course of a scholar's three years at UIM they will have multiple entry points into a STEAM curriculum. Whether it be through web-design, our Makeosity Makers program, digital arts, or our math club, all scholars will be exposed to the world of STEAM. All classes are rooted in the Common Core and aim to prepare scholars for college and beyond. All scholars are enrolled in a strategic reading or mathematics period as we believe sound literacy and numeracy skills are the key to success in the future. A robust arts (including debate and mock trial) and foreign language program make for a well-rounded scholar and complement our rigorous core courses.",,.,Cross Country,51.0,.,,.,,.,.,.,.,,Partially Accessible,.,.,,.,.,.,.,,.,.,.,Westchester Square Academy,.,.,210.0,Schuylerville-Throgs Neck-Edgewater Park,.,Gr 6-8,"Basketball, Dance, Softball, Track, Wiffleball",.,.,.,.,,,,.,.,.,,Spanish,25,2077130.0,.,"Debate Team, Digital Art, Makeosity Maker's Club, Math Club, Orchestra, Portfolio Art Class, Shakespeare",.,.
X562U,.,.,8:34am-3pm,.,.,ASPIRA After-School Program; Book Clubs; College and Cultural Field Trips; Community Service; Dance Team; Literary Magazine; Mentoring Basketball Program; Mentoring Volleyball Program; Morning Burn Fitness Club; MOUSE Squad; Peer Mediation; Science Explorers Club; Student Council; Summer and Holiday Math and Science Institutes; Visual Art Club,BRONX,.,.,"1111 Pugsley Avenue, Bronx NY 10472",.,.,5,,Unionport,.,,"Blueprint is a college preparatory middle school. We focus on accelerating students in math and science, as the completion of high level math and science courses is a key indicator for college completion. Students love to investigate and experiment in math and science through our problem-based courses. They enjoy trips to high schools, colleges, cultural institutions, and our monthly Town Hall meetings where they meet people from different careers and learn about their paths. Our school is specifically designed to give students the knowledge that will put them on the road to high school and beyond. Each student receives a unique academic blueprint that serves as a plan for them to meet our learning standards. We hold weekly meetings to discuss student progress and invite families to participate. We also offer elective courses based on student interest such as our Music & Literature, Cooking, Fashion Passion, Photography, and the History of Hip-Hop.",,.,Fitness Club,26.0,.,,.,,.,.,.,.,,Not Accessible,.,.,,.,.,.,.,Then to students and residents of District 8.,.,.,.,"Archimedes Academy for Math, Science and Technology Applications",.,.,209.0,Soundview-Bruckner,.,Gr 6-8,"Basketball, Soccer, Volleyball",.,.,.,.,,,,.,.,.,,,19,2025717.0,.,"Students select elective courses based on their interests. Electives include: Cooking, Fashion, Filmmaking, Hip Hop, Music and Literature, Photography, STEM, Specialized High School Exam Preparation beginning in sixth grade, Technology, Visual Art",.,.
X141M,.,.,8:20am-2:40pm,,.,"Academic Centers, Class Trips, College Access for ALL Program, Community Service Projects, Enrichment Activities and Athletics, Film Festival, Honor Society and Riverdale Community Center of RNH offers free after-school programming including homework help, School Dances, Spirit Days, Teen Theater, Tiger Token Reward Parties, We've Got Talent",BRONX,.,.,"660 West 237th Street, Bronx NY 10463",.,.,2,,Fieldston-Riverdale,.,,"Our students enjoy attending school with friends from the community, learning with supportive teachers, participating in the diverse extracurricular activities and performances, and exploring their interests. Our school features after-school clubs, tutoring, celebrations, athletics, and activities (dances, family fundraisers, RKA Color Run, arts shows, film festival, car washes, spirit days, grade level trips, and events). Families appreciate sending their students to the same school for grades 6-12. They also value our extensive no-cost after-school program through a partnership with Riverdale Community Center of RNH. Each student receives a unique program based on his or her strengths and needs in individual subjects. We offer honors, general education, regents, ICT, SETSS, and self-contained courses so that all students have the best opportunity for success. We offer Math Through Technology, an introductory coding class for all MS students. Teachers use an electronic grade book called PupilPath to keep parents informed of student progress. We feature many social supports such as Tiger PRIDE and Lunch Bunches. The longevity of or staff and student population make our school a warm, friendly place which we are proud to call home.",X141Z,.,Fitness Club,50.0,.,,,Students who apply to this program will be randomly selected,.,.,.,.,,Partially Accessible,.,,,.,,.,.,,,.,.,Riverdale / Kingsbridge Academy (Middle School / High School 141),.,.,208.0,North Riverdale-Fieldston-Riverdale,,Gr 6-12,"Baseball, Basketball, Basketball and Softball Conditioning, Cheer, Flag Rugby, Tennis, Volleyball, Wrestling",.,,,.,,Attendance and Punctuality,19,.,.,.,,Spanish,23,2085870.0,,"Honors Courses; Talent Courses (Instrumental Music, Chorus, Computers, Visual Art); Technology",.,.
K189S,.,.,8am-2:20pm,.,.,Chess Club; Dance; French; Leadership/Advisory Groups; Music; Peer Tutoring; Spanish; Specialized High School Classes; Spoken Word Club; Student Leadership Program; Yoga Club,BROOKLYN,.,.,"1100 East New York Avenue, Brooklyn NY 11212",.,.,2,,Brownsville,.,,"P.S. 189 has an extensive performing arts program including our dance ensemble, band, and choir. Parents appreciate the multiple foreign languages we offer and our stimulating academic environment. Blazers are part of the uniform for seventh and eighth grade students. We integrate technology into the classroom through the use of individual laptops, SMART Boards, and projectors. Regents courses are offered in Living Environment, Earth Science, English, Algebra 1, French, and Spanish. An after-school program incorporating academic and extracurricular activities services sixth to eighth graders.",,.,"Dance, Fitness Club, Wrestling",51.0,.,,.,,.,.,.,.,,Not Accessible,.,.,,.,.,.,.,Then to students residing in the elementary school zone,.,.,.,Brooklyn High School of the Arts,.,.,317.0,Brownsville,.,K-8,Basketball,.,.,.,.,,Attendance,,.,.,.,,"French, Latin, Spanish",22,3099537.0,.,"AVID, College Preparation",.,.
X083U,.,.,8:10am-2:30pm,,.,"After-School Drama, Homework Assistance, and Sports",BRONX,.,.,"950 Rhinelander Avenue, Bronx NY 10462",.,.,,,Morris Park,.,,P.S. 83 is a K-8 school in the Morris Park community. The school accepts only continuing fifth graders and students zoned to the school.,,.,Flag Football,44.0,.,,,,.,.,.,.,,Partially Accessible,.,,,.,,.,.,Then to students residing in the zone,,.,.,Pelham Preparatory Academy,.,.,211.0,Van Nest-Morris Park-Westchester Square,,Gr K-8,"Basketball, Cheerleading",.,,,.,,,,.,.,.,,Spanish,,2045344.0,,"Art, Music",.,.
R027A,.,.,7:40am-2pm,.,.,"Academies of Engineering, After-School and Vacation Sports and Arts Program, Architecture, Band, CHAMPS Sports Before-School Program; Chorus; Current Events; Drama; Economics; Enterprise and Journalism; Fundraising and Community Service Activities; LEGO Robotics; Musical Theater; The Rainbow Club; School Newspaper; Stagecraft; Technology; Visual Arts; Zoo Crew",STATEN IS,.,.,"11 Clove Lake Place, Staten Island NY 10310",.,.,21,,West New Brighton,.,,"Students like the full range of before-, during-, and after-school programs offered at I.S. 27. They complement the staff, curriculum, and all aspects of student life at I.S. 27. Parents value our communication between home and school and our commitment to academic achievement and engagement of students.",R027Z,.,"Developmental Basketball, Soccer, Volleyball",49.0,.,,.,Students who apply to this program will be randomly selected,.,.,.,.,,Not Accessible,.,.,.,.,,.,.,,.,.,.,Susan E. Wagner High School,.,.,501.0,West New Brighton-New Brighton-St. George,,Gr 6-8,"Cycling, Flag Football, NYC Road Runners",.,.,.,.,,Final 4th Grade Report Card 45%,48,.,.,,,Spanish,8,5008403.0,.,"High School Test Preparation, Journalism, LEGO Robotics, Middle School Scholars, NYC Debate League, Performing Arts, Virtual Enterprise",.,.
X214L,.,.,8am-2:20pm,.,.,"Academic Olympics; Art Club; Boys to Men Support Group ; Dance; Each One Reach One Mentoring Program; Expanded Learning Program (Recreation, Remediation, and Homework Help); IDOL Talent Search Show and the Pi 5 NY Math Tournament; Inside Broadway Theater Group; Las Niñías; Music & Theater; Peer Mediation & Conflict Resolution; Spelling Bee Competitions; Student Action Committee; Unity Steppers",BRONX,.,.,"1970 West Farms Road, Bronx NY 10460",.,.,3,,Crotona Park East,.,,"At P.S. 214, we help students succeed by offering a challenging curriculum based on student interests and a distinctive school culture based on high expectations. Students' character development is fostered through a solid advisory program, a peer mediation program, an active student action committee, and rich service learning opportunities. Through the Skedula online program and quarterly progress reports, we strive to keep parents up-to-date with students' progress. P.S. 214 was one of the proud winners of a Campaign for Middle School Success improvement grant. Eighth graders have the opportunity to enjoy a full day filled with entertainment at the Great Adventures Amusement Park as part of senior activities. We received the distinction as one of the top five most improved mathematics schools in the Bronx by the Daily News (June 3, 2009), and were recognized by the NYC Department of Education as a model school for creating a pipeline and training site for NYC teacher apprentices.",,.,,20.0,.,,.,,.,.,.,.,Then to students and residents of District 12 who sign in at an event,Partially Accessible,.,.,.,.,,.,.,Then to students residing in the zone who sign in at an event,.,.,.,Wings Academy,.,.,206.0,Crotona Park East,,Gr K-8,"Baseball, Basketball, Cheerleading",.,.,.,.,,,,.,.,,,Spanish,27,2094603.0,.,"4Rs Advisory Class, Art Club, Band, Cookshop, Dance Arts, Drama Club, Healthy Living/Healthy Cooking, Knitting, Mentoring Program, Peer Mediator Program, Photography, Student Council, Step Team, Yearbook Club",.,.
M311M,.,.,8:20am-2:40pm,,.,"Field Day; Ice Skating Trip; LANG Program; Lang Youth Medical Program; NYC ROW; Prep for Prep; Senior Trip to Washington, DC; Specialized High School Admission Test Prep Program",MANHATTAN,.,.,"4862 Broadway, Manhattan NY 10034",.,.,4,,Inwood,.,,"Students find our staff friendly and feel that they genuinely care about them. They also enjoy our sports and physical education program, alongside many special events (including basketball and volleyball tournaments, an ice skating trip, field day, and a senior trip to Washington, DC). Parents like that we use technology in all classrooms, including SMART Boards, desktop computers, and laptops. They also value our visual and performing arts program and small classes. Our instructional staff is bilingual and share diverse backgrounds. All students are immersed in Spanish for two weeks and in English for two weeks in all courses, including: language arts, math, science, and social studies.",,.,"Developmental Basketball, Soccer, Volleyball",42.0,.,,.,,.,.,.,.,,Fully Accessible,.,,,.,,.,.,Then to students and residents of District 6.,,.,.,High School for Environmental Studies,.,.,112.0,Marble Hill-Inwood,,Gr K-8,,.,,,,,Prior participation in Spanish Dual Language Program,,.,,.,,Spanish,10,1064900.0,.,"Art Portfolio, Chorus, Dance, Theatre",.,
X219U,.,.,8:40am-4pm,,.,"Chorus; Dance; Drama; Grade Trips (Boston, Philadelphia, Baltimore, Washington, D.C.); Music; Robotics; STEAM Initiatives; Tech Lab; Univision Media Center Program",BRONX,.,.,"3630 Third Avenue, Bronx NY 10456",.,.,2,,Claremont,.,,"At M.S. 219, each student is treated as an individual who makes valuable contributions to our school. Students enjoy our integration of technology into core subject areas. Parents value M.S. 219's mission to create, promote, and sustain a school community with a culture of mutual support and collective responsibility for the educational and holistic development of learners.",,.,,10.0,.,,,,.,.,.,.,Then to students and residents of the Bronx.,Not Accessible,.,,,.,,.,.,Then to students and residents of District 9,,.,.,Eximius College Preparatory Academy: A College Board School,.,.,203.0,Claremont-Bathgate,,Gr 6-8,"Basketball, Intramural Football, Track and Field, Volleyball, Wiffle Ball",.,,,.,,,,.,.,.,,,28,2009611.0,,,.,.
R028L,.,.,8am-2:20pm,.,.,Advisory; Chess Club; Eagle Chorus Club; Eagle Extended Day Program; Robotics Team; Summer Bridge Program; Mentoring; SONYC After-School Program,STATEN IS,.,.,"101 Warren Street, Staten Island NY 10304",.,.,2,,Stapleton,.,,"Eagle Staten Island prepares all students to read, write, compute, speak well, and behave in socially acceptable ways. We are committed to meeting the needs of our students and providing them with the required support services to develop Confidence, Leadership, Effort, Academic Excellence, and Resilience (CLEAR); the core values of our school. Our scholars complete a challenging and interdisciplinary curriculum and are required to develop their critical-thinking, problem-solving, and questioning skills. Parents love our family-like atmosphere where staff members know them and each student personally. We believe that our young men are best developed in a structured environment, surrounded by dedicated educators, supportive parents, and actively engaged mentors.",,.,Soccer,22.0,.,,.,,.,.,.,.,,Not Accessible,.,.,.,.,,.,.,Then to students and residents of District 31.,.,.,.,The Eagle Academy for Young Men of Staten Island,.,.,501.0,Stapleton-Rosebank,,Gr 6-10 (School will serve grades 6-12 by Fall 2020),"Basketball, Flag Football, Soccer",.,.,.,.,,,,.,.,,,Italian,21,5014184.0,.,"Eagle Excel (Tutoring Opportunities), Eagle Up (Enrichment Opportunities), Summer Bridge Program for incoming sixth Grade Students",.,.
M224M,.,.,8am-2:20pm,.,.,"Flag Football, Soccer, and Basketball through Asphalt Green; Global Kids After-School Program; Nature’s Classroom; Queens College Honor Band; Rooftop Gardening with the NY Horticultural Society",MANHATTAN,.,.,"410 East 100th Street, Manhattan NY 10029",.,.,19,,East Harlem,.,,"The Manhattan East School for Arts & Academics will provide students with a rigorous 21st century liberal arts education in a safe and caring learning environment. Through this approach, we foster high academic expectations, knowledge of the arts, and respect for diversity and for self. Manhattan East is an inclusive, holistically screened school wherein the power and beauty of the whole community supports each student to the highest level of critical and creative thought. At Manhattan East, all students engage in a continuum of rigorous arts and academic courses, culminating in up to three Regents Level High School classes and the opportunity to specialize in an art form of choice. Teaching and learning at Manhattan East is a combination of progressive and traditional practices, with high levels of teacher facilitated student discourse (accountable talk) and a focus on high-school-preparedness and college- and career-readiness.",,.,Flag Football,39.0,.,,.,,.,.,.,.,,Not Accessible,.,.,,.,.,.,.,Then to students and residents of New York City.,.,.,.,Manhattan Center for Science and Mathematics,.,.,111.0,East Harlem South,.,Gr 6-8,"Basketball, Flag Football, Soccer, Tennis",.,.,.,.,,Academic and Personal Behaviors,,.,.,.,,Spanish,15,1052998.0,.,"Chorus, Concert Band, Dance, Drama, Jazz Ensemble, Rooftop Gardening with the NY Horticultural Society, Studio Art, Tennis Instruction at John McEnroe's Tennis Center on Randall's Island, Yearbook",.,.
M250S,.,.,8:33am-3:05pm,,.,Blended Online Learning Modules; College Tours; Customized Online Student Portals; Dance Team; High School Articulation Workshops; One-on-One Academic Coaching; Performance Arts Program with Wingspan Arts; Personalized Learning Modules in Literacy; SONYC (after-school program in collaboration with CityParks) which includes hands-on environmental science and digital media activities; Student Council; StudentLed Conferences,MANHATTAN,.,.,"735 West End Avenue, Manhattan NY 10025",.,.,5,,Upper West Side,.,,"Students are empowered to be active participants in their own learning and engage with teachers who guide them to meet and exceed the Common Core Standards. Our social-emotional curriculum and close-knit grade level teams promote an inclusive environment that cultivates acceptance and respect for all students in our diverse community. Students engage in project-based learning experiences that build independence, nurture creativity, and challenge students to think critically and analytically. Families value our student-centered community, personalized learning experiences, arts partnerships, and accelerated ELA and math enrichment programs. Families also love the dedication of our teachers who collaborate to plan meaningful classroom experiences. Parents appreciate the many workshops, special events, student-led conferences, science fairs, and portfolio exhibitions. Students have academic coaches, lead student-led conferences, develop digital portfolios, and participate in advisory.",,.,,29.0,.,,.,,.,.,.,.,,Not Accessible,.,.,,.,.,.,.,,.,.,.,Business Of Sports School,.,.,107.0,Upper West Side,,Gr 6-8,Running,.,.,.,.,,Attendance and Punctuality,,.,.,,,,12,1034190.0,.,"Dance, Drama, Drumming, Online Language Courses, Photo Club, Scratch Interactive Media, Songwriting, Video and Filmmaking, Visual Arts Program",.,.
