schooldbn,telephone,admissionsmethod_prog2,priority6_prog4,extendedday,selectioncriteria1_prog4,eligibility_prog4,census_tract,selectioncriteria1_prog5,geapps_prog2,totalstudents,name_prog5,selectioncriteria1_prog1,gefilled_prog5,prefnote_prog1,gefilled_prog6,priority3_prog4,swdfilled_prog2,swdappsperseat_prog1,gefilled_prog2,swdfilled_prog3,priority7_prog5,sharedbuilding,code_prog2,communityservice,selectioncriteria10_prog3,lowestpriority_prog1,longitude,selectioncriteria7_prog6,swdfilled_prog5,eligibility_prog5,priority6_prog2,swdseats_prog6,priority2_prog6,champsgirls,selectioncriteria4_prog6,selectioncriteria11_prog2
25Q281,718-353-0009,,.,Yes,.,.,845.0,.,,649,.,Students who apply to this program will be randomly selected,.,.,.,.,,5.0,,,.,"Yes-25Q237, 25Q281",,No,.,,-73.822073,.,.,.,.,.,.,Volleyball,.,.
14K577,718-486-6211,,.,Yes,.,.,519.0,.,,502,.,Academic and Personal Behaviors,.,.,.,.,,2.0,,,.,"Yes-14K017, 14K577",,Yes–Expected,.,,-73.956716,.,.,.,.,.,.,Track and Field,.,.
01M188,212-677-5710,,.,Yes,.,.,20.0,.,,433,.,4th Grade New York State ELA and Math Exams,.,,.,.,,3.0,,,.,Yes,,No,.,"Last year, this program admitted students from all priority groups.",-73.977904,.,.,.,.,.,.,,.,.
11X566,718-794-9750,,.,Yes,,,310.0,.,,451,,Students who apply to this program will be randomly selected in the order of the priority groups listed above,,,.,.,,4.0,,,.,Yes,,Yes–Offered,.,"Last year, this program admitted students from all priority groups.",-73.83607,.,,,.,.,.,,.,.
09X128,718-842-6138,,.,Yes,,,149.0,.,,363,,4th Grade New York State ELA and Math Exams,,,.,.,,7.0,,,.,Yes,,No,.,"Last year, this program admitted students from all priority groups.",-73.900751,.,,,.,.,.,Softball,.,.
09X593,718-588-8221,,.,Yes,,,173.0,.,,44,,English Language Learners (ELLs) in the country 4 years or less,,,.,.,,5.0,,,.,"Yes—09X328, 84X380, 09X594",,Yes — offered,.,,-73.914374,.,,,.,.,.,,.,.
16K035,718-574-2345,,.,No,.,.,273.0,.,,245,.,Students who apply to this program will be randomly selected,.,.,.,.,,6.0,,,.,"Yes-16K035, 16K628",,No,.,,-73.935963,.,.,.,.,.,.,,.,.
18K366,718-688-6400,,.,Yes,.,.,984.0,.,,399,.,Students who apply to this program will be randomly selected in the order of the priority groups listed above,.,.,.,.,,3.0,,,.,No,,Yes–Offered,.,"Last year, this program admitted students from all priority groups.",-73.892022,.,.,.,.,.,.,,.,.
26Q158,718-423-8100,Zoned,.,No,.,.,1447.0,.,,1059,.,4th Grade New York State ELA Exam: 22.5%,.,.,.,.,,,,,.,No,Q158Z,No,.,"Last year, this program admitted students from all priority groups.",-73.772862,.,.,.,.,.,.,,.,.
10X280,718-405-6360,,.,No,,,419.0,.,,876,,,,,.,.,,,,,.,Yes,,Yes–Offered,.,"Last year, this program admitted students from all priority groups.",-73.881773,.,,,.,.,.,Basketball League,.,.
17K722,718-467-4501,,.,Yes,.,.,876.0,.,,234,.,Students who apply to this program will be randomly selected in the order of the priority groups listed above,.,.,.,.,,3.0,,,.,No,,No,.,"Last year, this program only admitted students from priority groups 1, 2, and 3.",-73.936382,.,.,.,.,.,.,,.,.
14K157,718-622-9285,,.,Yes,.,.,1237.0,.,,479,.,Students who apply to this program will be randomly selected in the order of the priority groups listed above,.,.,.,.,,2.0,,,.,No,,Yes–Offered,.,"Last year, this program admitted students from all priority groups.",-73.959571,.,.,.,.,.,.,,.,.
02M408,212-247-8652,,.,Yes–After-School,.,.,127.0,.,,565,.,4th Grade New York State ELA and Math Exams,.,,.,.,,38.0,,,.,Yes,,Yes–Expected,.,,-73.988019,.,.,.,.,.,.,,.,.
15K839,718-686-2730,,.,Yes,.,.,504.0,.,,326,.,,.,.,.,.,,7.0,,,.,Yes,,Yes–Offered,.,,-73.973362,.,.,.,.,.,.,"Basketball League, Volleyball League",.,.
04M108,212-860-5803,,.,Yes,.,.,17401.0,.,,452,.,Students who apply to this program will be randomly selected in the order of the priority groups listed above,.,.,.,.,,2.0,,,.,Yes,,No,.,"Last year, this program admitted students from all priority groups.",-73.948368,.,.,.,.,.,.,,.,.
23K155,718-240-4340,,.,Yes—After-School,.,,369.0,.,,416,.,Students who apply to this program will be randomly selected in the order of the priority groups listed above,.,.,.,.,,2.0,,,.,No,,No,.,"Last year, this program admitted students from all priority groups.",-73.908734,.,.,.,.,.,.,,.,.
20K223,718-438-0155,Open,.,Yes,,,230.0,.,259,950,,4th Grade New York State ELA Exam: 22.5%,.,.,.,.,Yes,11.0,Yes,,.,"Yes-20K223, 20K609",K223U,Yes–Offered,.,,-73.981528,.,.,,.,.,.,"Fitness Club, Flag Rugby",.,.
20K187,718-236-3394,Composite Score,.,Yes,,,212.0,.,1248,873,,4th Grade New York State ELA Exam: 22.5%,.,.,.,.,Yes,4.0,Yes,Yes,.,No,K187B,Yes–Offered,.,,-74.004485,.,.,,.,.,.,,.,.
28Q,718-830-4970,,.,Yes,.,.,71305.0,.,,1055,.,Students who apply to this program will be randomly selected in the order of the priority groups listed above,.,.,.,.,,3.0,,,.,No,,No,.,"Last year, this program admitted students from all priority groups.",-73.851699,.,.,.,.,.,.,Volleyball League,.,.
25Q285,718-461-2219,,.,Yes,.,.,1139.0,.,,567,.,Students who apply to this program will be randomly selected in the order of the priority groups listed above,.,.,.,.,,3.0,,,.,"Yes-25Q025, 25Q285, 75Q233",,Yes–Offered,.,"Last year, this program admitted students from all priority groups.",-73.790083,.,.,.,.,.,.,,.,.
24Q061,718-760-3233,,.,Yes—Before-School,.,,44302.0,.,,2238,.,,.,.,.,.,,,,,.,No,,No,.,,-73.863307,.,.,.,.,.,.,,.,.
09X231,718-466-8000,,.,Yes,,,395.0,.,,511,,Students who apply to this program will be randomly selected in the order of the priority groups listed above,,,.,.,,10.0,,,.,No,,No,.,"Last year, this program admitted students from all priority groups.",-73.89705,.,,,.,.,.,,.,.
24Q311,718-507-3820,,.,,.,,409.0,.,,733,.,,.,.,.,.,,,,,.,No,,,.,,-73.865329,.,.,.,.,.,.,"Volleyball League, Yoga",.,.
27Q309,718-471-3571,,.,Yes,,,100802.0,.,,639,,Students who apply to this program will be randomly selected in the order of the priority groups listed above,.,.,.,.,,5.0,,,.,"Yes-27Q260, 27Q282, 27Q302, 27Q309",,No,.,"Last year, this program admitted students from all priority groups.",-73.762795,.,.,,.,.,.,,.,.
08X071,718-822-5351,,.,No,.,.,26602.0,.,,1646,.,Students who apply to this program will be randomly selected in the order of the priority groups listed above,.,.,.,.,,2.0,,,.,No,,Yes–Expected,.,"Last year, this program admitted students from all priority groups.",-73.829829,.,.,.,.,.,.,,.,.
32K045,718-574-0235,,.,Yes–After-School,,,401.0,.,,681,,,,,.,.,,,,,.,No,,Yes–10-30 hours expected by graduation,.,"Last year, this program admitted students from all priority groups.",-73.910693,.,,,.,.,.,,.,.
12X211,718-901-0436,,.,Yes,.,,36901.0,.,,598,.,Students who apply to this program will be randomly selected in the order of the priority groups listed above,.,.,.,.,,4.0,,,.,"Yes-12X211, 12X318, 84X124",,Yes—Offered,.,"Last year, this program admitted students from all priority groups.",-73.889755,.,.,.,.,.,.,,.,.
30Q127,718-446-4700,Zoned,.,Yes–After-School,.,.,357.0,.,,1299,.,4th Grade New York State ELA and Math Exams,.,,.,.,,6.0,,,.,No,Q127Z,Yes–Expected,.,"Last year, this program admitted students from all priority groups.",-73.871641,.,.,.,.,.,.,,.,.
03M862,212-678-2960,,.,Yes–After-School,.,.,195.0,.,,342,.,4th Grade New York State ELA and Math Exams,.,,.,.,,5.0,,,.,Yes,,Yes–Offered,.,,-73.965613,.,.,.,.,.,.,,.,.
23K518,718-922-4690,,.,Yes—After-School,.,,922.0,.,,228,.,Academic and Personal Behaviors,.,.,.,.,,4.0,,,.,"Yes-23K518, 23K643, 23K647, 84K711",,Yes—10-30 hours expected by graduation,.,"Last year, this program admitted students from all priority groups.",-73.907245,.,.,.,.,.,.,,.,.
16K898,718-574-2834,.,.,Yes,.,.,,.,.,,.,Students who apply to this program will be randomly selected.,.,.,.,.,.,,.,.,.,Yes-16K335,.,Yes,.,.,,.,.,.,.,.,.,.,.,.
27Q124,718-529-2580,,.,Yes–After-School,,,84602.0,.,,1229,,,.,.,.,.,,,,,.,No,,No,.,"Last year, this program admitted students from all priority groups.",-73.811701,.,.,,.,.,.,,.,.
20K259,718-833-1000,Zoned,.,Yes–After-School,,,206.0,.,,1852,,4th Grade New York State ELA Exam: 22.5%,.,.,.,.,,7.0,,,.,No,K259Z,Yes–Offered,.,,-74.01512,.,.,,.,.,.,Volleyball League,.,.
07X151,718-292-0260,,.,Yes,,,61.0,.,,261,,Students who apply to this program will be randomly selected,.,.,.,.,,2.0,,,.,"Yes-07X031, 07X151, 84X704",,Yes–Offered,.,,-73.921631,.,.,,.,.,.,,.,.
29Q109,718-465-0651,Composite Score,.,Yes,,,542.0,.,246,1108,,Students who apply to this program will be randomly selected in the order of the priority groups listed above,,,.,.,Yes,2.0,Yes,,.,No,Q109A,Yes–Offered,.,"Last year, this program admitted students from all priority groups.",-73.747001,.,,,.,.,.,,.,.
24Q073,718-639-3817,Screened: Language,.,No,.,Open to students residing in the zone,49302.0,.,434,1971,.,Attendance 10%,.,.,.,.,No,8.0,No,No,.,No,Q073M,Yes—Offered,.,,-73.893624,.,.,.,.,.,.,,.,.
07X031,718-292-4397,,.,Yes,,,61.0,.,,708,,Students who apply to this program will be randomly selected in the order of the priority groups listed above,.,.,.,.,,3.0,,,.,"Yes-07X031, 07X151, 84X704",,No,.,"Last year, this program admitted students from all priority groups.",-73.921631,.,.,,.,.,.,,.,.
04M057,212-876-5522,,.,Yes,.,.,182.0,.,,818,.,4th Grade New York State ELA and Math Exams,.,.,.,.,,3.0,,,.,No,,Yes–31-50 hours expected by graduation,.,"Last year, this program admitted students from all priority groups.",-73.94128,.,.,.,.,.,.,,.,.
20K192,718-633-3061,Zoned,.,Yes,,,476.0,.,,677,,Students who apply to this program will be randomly selected,.,.,.,.,,32.0,,,.,"Yes-20K192, 75K036",K192Z,Yes–Offered,.,"Last year, this program only admitted students from priority group 1.",-73.979995,.,.,,.,.,.,,.,.
29Q208,718-468-6420,,.,Yes–After-School,,,1567.0,.,,707,,Students who apply to this program will be randomly selected in the order of the priority groups listed above,,,.,.,,8.0,,,.,Yes,,Yes–Expected,.,"Last year, this program admitted students from all priority groups.",-73.727456,.,,,.,.,.,,.,.
05M670,212-283-8055,,.,Yes,.,,228.0,.,,547,.,4th Grade New York State ELA and Math Exams,.,.,.,.,,8.0,,,.,No,,No,.,,-73.944061,.,.,.,.,.,.,,.,.
30Q230,718-335-7648,Zoned,.,Yes,.,.,289.0,.,,1296,.,,.,,.,.,,,,,.,No,Q230Z,Yes–Expected,.,,-73.893193,.,.,.,.,.,.,,.,.
12X098,718-589-8200,,.,Yes,.,,155.0,.,,240,.,Students who apply to this program will be randomly selected in the order of the priority groups listed above,.,.,.,.,,1.0,,,.,"Yes-12X098, 12X251, 12X511",,Yes—Offered,.,"Last year, this program admitted students from all priority groups.",-73.890458,.,.,.,.,.,.,Volleyball,.,.
06M328,917-521-2508,Open,.,Yes,,,24301.0,.,77,229,,"English Language Learners (ELLs), Heritage Language Speakers of the target language, participants of elementary school-level Dual Language and Transitional Bilingual Education programs in the target language.",.,.,.,.,No,2.0,No,,.,"Yes-06M328, 84M338",M328U,Yes–Expected,.,,-73.937159,.,.,,.,.,.,,.,.
03M054,212-678-2861,,.,Yes,.,.,193.0,.,,852,.,4th Grade New York State ELA and Math Exams,.,,.,.,,2.0,,,.,No,,No,.,,-73.962837,.,.,.,.,.,.,,.,.
02M896,646-826-8100,,.,Yes–After-School,.,.,9.0,.,,385,.,Academic and Personal Behaviors,.,,.,.,,4.0,,,.,Yes,,Yes–Expected,.,,-74.013302,.,.,.,.,.,.,Volleyball,.,.
29Q147,718-528-2420,,.,Yes,,,598.0,.,,593,,Students who apply to this program will be randomly selected in the order of the priority groups listed above,,,.,.,,4.0,,,.,Yes,,No,.,"Last year, this program admitted students from all priority groups.",-73.740948,.,,,.,.,.,,.,.
21K226,718-234-4940,,.,Yes,,,446.0,.,,1030,,,.,.,.,.,,,,,.,No,,Yes–Expected,.,"Last year, this program admitted students from all priority groups.",-73.97635,.,.,,.,.,.,Volleyball League,.,.
05M123,212-342-6200,,.,Yes,.,,22102.0,.,,479,.,Students who apply to this program will be randomly selected in the order of the priority groups listed above,.,.,.,.,,5.0,,,.,"Yes-05M123, 84M482",,Yes—Expected,.,"Last year, this program admitted students from all priority groups.",-73.944433,.,.,.,.,.,.,,.,.
04M825,212-860-6006,,.,Yes–After-School,.,.,178.0,.,,192,.,4th Grade New York State ELA and Math Exams,.,.,.,.,,3.0,,,.,Yes,,Yes–Offered,.,,-73.934028,.,.,.,.,.,.,,.,.
20K104,718-836-4630,Zoned,.,No,,,160.0,.,,1265,,4th Grade New York State ELA Exam: 22.5%,.,.,.,.,,12.0,,,.,No,K104Z,Yes–Offered,.,"Last year, this program admitted students from all priority groups.",-74.028842,.,.,,.,.,.,,.,.
30Q227,718-335-7500,,.,No,.,.,353.0,.,,"1,398",.,,.,,.,.,,,,,.,"Yes–30Q227, 75Q811",,Yes–Expected,.,,-73.874472,.,.,.,.,.,.,,.,.
12X273,718-561-1617,,.,Yes,.,,373.0,.,,224,.,Students who apply to this program will be randomly selected,.,.,.,.,,3.0,,,.,"Yes-12X057, 12X273",,Yes—Offered,.,,-73.888561,.,.,.,.,.,.,,.,.
21K095,718-449-5050,,.,Yes–After-School,,,398.0,.,,943,,,.,.,.,.,,,,,.,No,,Yes–Expected,.,,-73.97518,.,.,,.,.,.,,.,.
12X271,718-861-8641,,.,Yes,.,,161.0,.,,671,.,Students who apply to this program will be randomly selected,.,.,.,.,,3.0,,,.,No,,No,.,,-73.888361,.,.,.,.,.,.,,.,.
22K234,718-645-1334,Open,.,Yes,.,.,558.0,.,1345,1907,.,4th Grade New York State ELA Exam: 20%,.,,.,.,Yes,15.0,Yes,,.,No,K234U,Yes–Offered,.,,-73.955485,.,.,.,.,.,.,Volleyball League,.,.
24Q102,718-446-3308,,.,Yes,.,,479.0,.,,1326,.,,.,.,.,.,,,,,.,No,,Yes—Offered,.,"Last year, this program admitted students from all priority groups.",-73.877857,.,.,.,.,.,.,,.,.
04M224,212-860-6047,,.,Yes,.,.,162.0,.,,172,.,4th Grade New York State ELA and Math Exams,.,.,.,.,,17.0,,,.,Yes,,Yes–Expected,.,"Last year, this program admitted students from all priority groups.",-73.942548,.,.,.,.,.,.,,.,.
13K266,718-245-8766,,.,Yes–After-School,,,12902.0,.,,160,,Academic and Personal Behaviors,,,.,.,,4.0,,,.,No,,Yes–Expected,.,,-73.976497,.,,,.,.,.,,.,.
23K664,718-453-3039,,.,Yes,.,,369.0,.,,95,.,Students who apply to this program will be randomly selected,.,.,.,.,,3.0,,,.,"Yes-23K599, 23K664",,No,.,,-73.910644,.,.,.,.,.,.,Volleyball,.,.
11X287,718-652-0519,,.,Yes,,,390.0,.,,568,,Students who apply to this program will be randomly selected in the order of the priority groups listed above,,,.,.,,2.0,,,.,Yes,,No,.,"Last year, this program admitted students from all priority groups.",-73.860904,.,,,.,.,.,,.,.
18K285,718-451-2200,Screened,.,Yes,.,.,936.0,.,661,666,.,4th Grade New York State ELA Exam: 20%,.,.,.,.,Yes,5.0,No,,.,No,K285M,Yes–Expected,.,,-73.920977,.,.,.,.,.,.,Basketball League,.,.
21K281,718-996-6706,Screened: Language,.,Yes–After-School,Students who apply to these programs will be selected based on their score on the District 21 Talent Tests.,Open to students and residents of District 21,304.0,.,135,1334,,4th Grade New York State ELA and Math Exams,.,.,.,.,No,2.0,No,Yes,.,"Yes-21K281, 84K744",K281N,Yes–Expected,.,"English Language Learners (ELLs), Heritage Language Speakers of the target language, participants of elementary school-level Dual Language and Transitional Bilingual Education programs in the target language.",-73.993457,.,.,,.,.,.,Volleyball League,.,.
10X308,718-515-0410,Screened,.,Yes,,,431.0,.,494,269,,Academic and Personal Behaviors,,,.,.,Yes,11.0,Yes,,.,No,X308N,No,.,"Last year, this program only admitted students from priority group 1.",-73.877679,.,,,.,.,.,,.,.
28 Q072,718-723-6200,Open,.,Yes,.,.,33402.0,.,137,375,.,"Preference is given to English Language Learners (ELLs), Heritage Language Speakers of the target language, Participants of elementary school-level Dual Language and Transitional Bilingual Education programs in the target language.",.,.,.,.,Yes,7.0,No,,.,Yes,Q072U,No,.,,-73.775951,.,.,.,.,.,.,,.,.
05M362,212-666-1278,,.,Yes,.,,20901.0,.,,702,.,4th Grade New York State ELA and Math Exams,.,.,.,.,,8.0,,,.,"Yes-05M125, 05M362, 84M726",,No,.,"Last year, this program only admitted students from priority group 1.",-73.955809,.,.,.,.,.,.,,.,.
19K364,718-642-3007,Zoned,.,Yes,.,.,105804.0,.,,350,.,4th Grade New York State ELA and Math Exams,.,,.,.,,6.0,,,.,No,K364Z,Yes–Expected,.,,-73.881671,.,.,.,.,.,.,,.,.
28Q896,718-725-0402,,.,Yes,.,.,236.0,.,,563,.,4th Grade New York State ELA and Math Exams,.,.,.,.,,5.0,,,.,No,,Yes–Expected,.,,-73.806412,.,.,.,.,.,.,"Fitness Club, Step, Track and Field",.,.
28Q310,718-658-4016,,.,Yes,.,.,452.0,.,,671,.,Students who apply to this program will be randomly selected in the order of the priority groups listed above,.,.,.,.,,6.0,,,.,Yes,,Yes–Offered,.,"Last year, this program admitted students from all priority groups.",-73.797237,.,.,.,.,.,.,,.,.
23K522,718-485-5240,,.,Yes,.,,301.0,.,,160,.,4th Grade New York State ELA and Math Exams,.,.,.,.,,6.0,,,.,"Yes-23K522, 23K644, 84K777",,Yes—50+ hours expected by graduation,.,"Last year, this program admitted students from all priority groups.",-73.915843,.,.,.,.,.,.,,.,.
15K088,718-788-4482,Open,.,Yes,.,.,147.0,.,998,1350,.,"Demonstrated academic proficiency in English and the target language, or participation in elementary school level Dual Language or Transitional Bilingual Education programs in the target language.",.,.,.,.,Yes,13.0,Yes,,.,Yes,K088S,No,.,,-73.987637,.,.,.,.,.,.,,.,.
25Q294,718-428-0587,,.,Yes–After-School,.,.,99704.0,.,,375,.,Students who apply to this program will be randomly selected in the order of the priority groups listed above,.,.,.,.,,5.0,,,.,"Yes-25Q169, 25Q294",,Yes–Expected,.,"Last year, this program admitted students from all priority groups.",-73.779099,.,.,.,.,.,.,,.,.
14K614,718-387-5641,,.,Yes,.,.,485.0,.,,406,.,4th Grade New York State ELA and Math Exams,.,.,.,.,,5.0,,,.,"Yes-14K147, 14K614",,Yes–Offered,.,,-73.939407,.,.,.,.,.,.,Developmental Basketball,.,.
26Q074,718-631-6800,Zoned,.,Yes–After-School,.,.,1367.0,.,,1160,.,4th Grade New York State ELA Exam: 22.5%,.,.,.,.,,,,,.,No,Q074Z,No,.,"Last year, this program admitted students from all priority groups.",-73.767446,.,.,.,.,.,.,,.,.
23K668,718-346-0764,,.,Yes,.,,896.0,.,,127,.,Students who apply to this program will be randomly selected in the order of the priority groups listed above,.,.,.,.,,3.0,,,.,"Yes-23K446, 23K668",,Yes—Expected,.,"Last year, this program admitted students from all priority groups.",-73.913933,.,.,.,.,.,.,,.,.
07X343,718-292-3883,,.,Yes,,,41.0,.,,300,,Students who apply to this program will be randomly selected.,.,.,.,.,,4.0,,,.,"Yes-07X224, 07X334, 07X343",,No,.,,-73.917792,.,.,,.,.,.,Volleyball League,.,.
32K562,718-455-0180,Screened: Language,.,Yes–After-School,,,413.0,.,,342,,Students who apply to this program will be randomly selected in the order of the priority groups listed above,,,.,.,,2.0,,,.,Yes,K562M,Yes–Offered,.,"Last year, this program admitted students from all priority groups.",-73.910276,.,,,.,.,.,,.,.
21K303,718-996-0100,Talent Test,.,Yes,,,354.0,.,,538,,Students who apply to this program will be randomly selected in the order of the priority groups listed above,.,.,.,.,,4.0,,,.,"Yes-21K303, 21K344",Talent Programs,Yes–Offered,.,"Last year, this program admitted students from all priority groups.",-73.973122,.,.,,.,.,.,,.,.
28Q008,718-739-6883,,.,Yes–After-School,.,.,258.0,.,,339,.,Students who apply to this program will be randomly selected in the order of the priority groups listed above,.,.,.,.,,3.0,,,.,Yes,,No,.,"Last year, this program admitted students from all priority groups.",-73.787192,.,.,.,.,.,.,Basketball League,.,.
27Q114,718-634-3382,,.,Yes–After-School,,,928.0,.,,669,,,.,.,.,.,,,,,.,No,,Yes–Offered,.,"Last year, this program admitted students from all priority groups.",-73.854403,.,.,,.,.,.,,.,.
11X326,718-325-6593,,.,Yes,,,330.0,.,,395,,Students who apply to this program will be randomly selected in the order of the priority groups listed above,,,.,.,,6.0,,,.,Yes,,Yes–Offered,.,"Last year, this program admitted students from all priority groups.",-73.864577,.,,,.,.,.,,.,.
